"","Table 5#6#5BU1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"70","58","        Grocery and related products wholesalers","C42240",122,863,-479,3218,-1325,1771,-748,-482,1443,-1758,2739,2345,-1072,-1157,1592,281,-2307,-1022,-2453,-717,1021,5582,-1254,-197,-319,-3612,667,-1561,21,-477,-1213,669,1478,30,2567,2228,1046,1924,1772,2462,3074,3042,-1666,201,-82,2140,2630,-647,-2268,-441,-679,-1780,5,6458,501,775,3684,5472
"71","59","        Farm product raw material wholesalers","C42250",1356,943,706,2468,936,1716,3973,-1661,559,1087,3548,-1306,1022,-149,-43,638,-820,1299,-331,348,-984,-3104,-2356,1648,-2783,1859,3090,5398,2350,-4390,-4645,-163,8478,1383,-40,-1273,2422,2699,-2926,6549,-9910,1415,19521,-4345,-9821,4175,-14178,523,1769,-2217,-8453,20865,-1576,-1048,15067,3437,-6880,-4864
"72","60","        Chemical and allied products wholesalers","C42260",828,375,-493,430,130,447,686,669,761,126,-282,379,19,-397,-1058,296,-61,748,133,471,547,137,180,479,-1042,-275,-718,730,-1077,839,-59,-398,326,75,-633,220,-313,35,-904,-621,2044,408,168,739,-711,-1629,1401,479,-512,-1383,-1255,-1570,-300,1193,1358,196,-540,2844
"73","61","        Petroleum amd petroleum products wholesalers","C42270",-30,252,-239,221,562,1349,1597,-1208,-326,-2077,-682,-959,-698,120,-772,-158,1510,1692,161,2705,133,-2168,-55,18,-4029,2703,91,-988,-624,259,2633,1553,748,-3098,2488,-291,1344,-1868,1375,-4115,-218,2212,-1340,-1447,-16302,4165,234,-65,9181,-599,-1377,5864,539,4330,-145,-9148,-1728,14724
"74","62","        Beer, wine, and distilled alcoholic beverages wholesalers","C42280",-1230,1309,652,668,968,-867,223,360,2448,-1086,-324,75,172,-434,197,558,-584,469,-224,-673,1010,-305,327,688,-62,-239,320,532,-512,1165,-879,1365,23,138,1014,409,584,341,938,821,894,591,1314,293,208,596,915,422,233,-351,-1885,-1013,716,375,974,951,396,1408
"75","63","        Miscellaneous nondurable goods wholesalers","C42290",30,238,3153,-197,1672,259,153,768,-825,-1743,2232,-837,-497,-340,-292,-140,-1056,1883,-2221,-3246,-1280,-1215,-783,-102,-337,-2654,2892,-450,-1502,2742,1409,4471,-482,2907,-451,66,-166,-1317,348,-1069,3072,-2916,904,1808,2266,2002,-3071,-1627,-1071,-2119,-1059,-1996,1871,-1439,1009,1111,3156,2624
"76","64","    Nonmerchant wholesale industries","C42N0",1215,2975,1285,5229,3598,299,1677,2338,1936,3434,3082,1954,3376,5225,4777,2939,-2715,-3700,-7682,-3069,-3901,2190,649,-1434,-2372,-860,-402,2090,941,3003,4141,-398,8696,77,-526,6952,1896,-3636,1804,-6032,-1477,608,1802,-6606,19063,13416,-5988,4846,-21488,-16151,-15266,-8963,7254,2849,10308,2960,16308,9816
"77","65","      Durable goods industries","C42ND0",1006,2047,663,4399,3378,-80,2389,2077,1308,2691,1087,1562,2642,3131,3755,2864,-2752,-2177,-5486,-2989,-1447,1564,1960,325,-1274,-1012,-1453,3380,529,841,3905,-1309,5542,-496,374,4173,-2752,-2808,4756,-3796,3673,-2453,-1544,-744,4996,1309,2183,-155,-9280,-9317,-3606,1047,6445,3566,5247,-518,7128,3232
"78","66","      Nondurable goods industries","C42NN0",209,928,621,830,220,379,-712,261,628,743,1995,392,734,2094,1022,75,37,-1523,-2196,-80,-2454,626,-1310,-1758,-1098,152,1051,-1290,412,2162,235,910,3154,573,-899,2780,4648,-828,-2952,-2236,-5149,3061,3346,-5863,14068,12107,-8172,5001,-12208,-6834,-11660,-10010,809,-716,5061,3477,9180,6584
"79","67","Retail trade industries","C440",6239,23084,16334,12151,28210,2369,8732,19236,37869,14075,8435,39358,7978,35237,21030,15585,-21914,6769,10596,-36717,19051,24475,16951,31699,24425,8088,16923,18163,30829,28904,12156,20865,14670,-11135,-5487,20424,11753,8245,14031,9228,-8918,9574,13886,1768,-35594,-20789,-18499,-41778,-58146,-64321,-53036,-22319,19321,35127,31385,-15378,-728,-20916
"80","68","  Motor vehicle and parts dealers","C4410",736,6955,5427,7454,9873,-6248,-4172,7876,24716,574,2534,21937,2028,23531,15812,6149,-26405,9252,8633,-28796,19699,18464,2911,28106,16957,11830,7593,14837,14431,13293,1907,-9,3197,-18975,-7480,12106,1234,234,1090,-4030,-8957,2984,18475,-1054,-13203,-9152,-15705,-11370,-44152,-43309,-32985,-9437,14377,22876,20968,-18584,-9584,-21512
"81","69","  Furniture, furnishings, electronics, and appliance stores","C44230",1358,1069,1060,1273,2696,290,1854,1721,1344,2350,1651,2063,2163,2694,-544,3411,900,-2087,-796,1283,2769,607,3622,1214,1546,2818,1386,2194,4187,2892,2678,3779,461,4325,-1006,1252,2423,850,-195,919,1968,-404,1255,1526,-5076,-1853,1272,-9201,-2485,-2100,-1450,-1321,1141,3273,1062,2024,-548,-940
"82","70","  Building material and garden equipment and supplies dealers","C4440",954,1848,1925,585,2160,573,3042,1993,2400,1375,875,3162,470,2058,2112,8,167,521,-27,-557,2278,181,1241,2203,1433,-626,3619,-278,2190,3180,-273,4192,1494,455,2882,4201,-223,-441,2344,-1813,-3487,4670,-4683,408,-3787,-2273,-1990,-7268,-831,-5439,-1344,-2584,544,-1012,320,1338,3188,-2644
"83","71","  Food and beverage stores","C4450",315,444,1361,-743,976,1780,-137,1147,1837,1524,2054,702,-75,-1890,386,-664,856,593,14,171,-145,20,1588,-839,-840,-2925,1366,-2369,401,930,363,-101,326,197,-1915,975,1747,1204,685,56,-629,1498,2285,1189,-592,507,-716,-859,2516,-822,-73,-2880,1074,-1212,29,-594,-364,2344
"84","72","  Clothing and clothing accessories stores","C4480",-1270,3069,1348,749,2027,1339,2053,-232,1512,1973,-2139,4216,2143,2607,3472,3487,-1349,-1025,162,-2308,-1332,3662,3007,1691,1661,-1359,682,937,1036,3786,2302,2541,3630,1279,680,290,3926,3526,596,5752,-428,-2286,-801,-1537,-3377,-2691,43,-4650,-4678,-5377,-6193,-4151,-779,2484,85,-307,1204,124
"85","73","  General merchandise stores","C4520",-387,3173,-1189,-1029,-185,-166,2477,-690,3022,2144,1997,3613,379,2584,-843,2040,5165,726,-145,-5106,-1790,-343,3792,4001,559,961,1831,574,6039,3133,1380,7352,5746,-52,2264,882,-2263,-1335,6463,3791,990,542,-3454,1106,-6510,-1735,918,-6065,-1779,-3041,-4403,-2087,3356,4789,4998,1589,4212,-404
"86","74","    Department stores","C45210",460,2128,-1200,-436,-1556,-1074,794,-2017,1334,128,-580,1654,-1153,498,-2680,816,1739,-1217,-1194,-6888,-3489,-2598,-532,647,-2033,-1075,-1510,-1910,1531,406,-881,1783,3941,-3924,215,-36,-3631,-2050,2839,2146,-555,643,-2104,296,-4037,-3507,-1093,-4788,-3159,-1999,-2484,-3682,-135,490,-799,756,548,-1076
"87","75","    Other general merchandise stores","C45290",-848,1045,11,-592,1370,908,1683,1327,1688,2016,2577,1959,1532,2086,1837,1224,3427,1943,1049,1781,1700,2254,4324,3354,2592,2036,3340,2484,4509,2726,2261,5569,1805,3872,2049,918,1367,715,3624,1645,1545,-101,-1350,810,-2473,1772,2011,-1278,1380,-1042,-1919,1595,3491,4299,5797,834,3664,672
"88","76","  Other retail stores","C44X0",4534,6526,6401,3863,10664,4801,3614,7421,3039,4136,1463,3667,871,3652,636,1153,-1248,-1211,2756,-1405,-2429,1883,792,-4678,3110,-2611,447,2269,2545,1691,3800,3111,-185,1635,-912,718,4909,4207,3047,4553,1626,2568,811,131,-3049,-3591,-2322,-2363,-6737,-4233,-6588,141,-393,3929,3923,-844,1164,2116
"89","77","Other industries","COTH0",8182,4558,3345,5117,3330,5503,5248,8197,7317,8679,6862,5483,10853,13462,18522,6949,1747,-818,-763,-1591,-3117,1256,-1175,-1524,-546,3657,1123,1808,6041,5603,6637,6046,2551,2593,99,3936,3064,7052,4732,4123,5771,5851,2951,3127,904,-1053,618,5255,-5148,-7619,-4729,-3750,931,-322,1156,1405,4324,1832
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
