"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70"
"109","101","      Food produced and consumed on farms (6)","DFFDRX0",592,605,573,575,575,567,530,500,499,480,463,458,473,484,498,513,497,490,463,435,426,405,404,387,365,331,320,351,355,388,393,379,355,341,316,295,319,294,309,319,323,336,356,356,392,447,440,437,368,326,321,343,366,365,344,370,383,380,382,352,315,313,309,304,263,272,264
"110","102","    Clothing and footwear","DCLORX0",197683,199777,203361,203557,204952,210012,213540,214889,214983,213066,220147,222934,227696,231523,229839,235178,243677,245780,247414,248053,252094,257555,260367,262568,258355,260041,259736,264216,267208,267332,265704,274018,274152,281222,287479,287705,295845,291500,294854,301878,306126,313044,313629,323274,326136,325265,329161,334043,338173,338842,341848,341656,338703,347658,338962,327048,324334,318385,321619,325126,334334,339643,339982,350058,352753,354681,347511
"111","103","      Garments","DGARRX0",160599,161684,165111,164801,165573,169965,173112,174161,174104,172094,178414,180830,184297,187470,185878,189650,196816,198188,199292,199428,202738,207839,209717,211954,208497,209392,209685,213722,215799,216562,215161,222339,222591,228264,233156,233358,240122,236735,239806,246232,249854,255456,256424,263613,266346,265188,267481,271757,275432,275345,278155,278404,276296,283596,276286,267242,265191,260565,263176,266661,274041,278794,278534,287444,290011,291412,283911
"112","104","        Women's and girls' clothing (10)","DWGCRX0",90299,90568,92265,91814,92348,95417,97064,97835,96772,95288,99107,100589,102969,104857,104474,107747,112590,113463,114252,114496,117439,121199,122397,122874,120353,121934,122726,125954,127085,127012,125875,130150,130539,133821,136865,137925,142155,139780,141861,145203,148332,152280,152467,156750,159047,157195,158813,160952,162275,162978,166807,166965,165374,170546,164252,159320,159290,155945,156193,158215,162446,166148,166416,171466,172664,173541,169404
"113","105","        Men's and boys' clothing (11)","DMBCRX0",62404,62911,64683,64903,65380,66517,67703,67960,68939,68779,70708,71387,72121,73287,72113,72709,74543,74875,75325,75095,75561,76594,76970,78308,77529,76822,76199,76828,77452,78260,78004,80744,80601,82768,84507,83538,85715,84741,85810,88737,88962,90531,91087,93507,94109,94766,95612,97502,99714,98833,97453,97695,97098,98967,97962,94358,92470,91385,93749,94922,97695,98714,98281,101582,102544,102814,100145
"114","106","        Children's and infants' clothing (12)","DCICRX0",7828,8163,8127,8060,7811,7970,8286,8302,8354,7996,8563,8820,9177,9290,9253,9148,9653,9828,9689,9812,9729,10053,10358,10771,10616,10635,10760,10950,11264,11289,11277,11447,11455,11682,11795,11899,12256,12217,12135,12298,12559,12647,12870,13354,13185,13232,13059,13314,13488,13546,13854,13712,13804,14073,14059,13548,13426,13216,13216,13505,13887,13916,13824,14381,14790,15047,14348
"115","107","      Other clothing materials and footwear (13 and 17)","DOCCRX0",37078,38138,38257,38796,39446,40092,40454,40756,40916,41048,41761,42122,43448,44098,44022,45630,46944,47701,48251,48791,49519,49818,50788,50711,49957,50788,50149,50566,51502,50822,50599,51715,51592,52995,54368,54390,55758,54794,55063,55641,56269,57588,57210,59659,59796,60075,61670,62278,62733,63486,63686,63252,62414,64070,62675,59832,59175,57862,58483,58543,60363,60948,61508,62725,62880,63396,63626
"116","108","        Clothing materials","DCSMRX0",2848,2742,2628,2706,2981,2705,2689,2812,2726,2785,2918,2900,2980,3162,3174,3318,3490,3521,3617,3685,3814,3980,3883,3847,3941,3963,4045,4285,4340,4360,4425,4634,4439,4519,4540,4392,4579,4404,4496,4440,4432,4388,4430,4445,4516,4309,4351,4187,4250,4420,4169,4140,4022,4214,4146,4104,4011,3956,3902,4025,4076,4090,4272,4193,4111,4192,4254
"117","109","        Standard clothing issued to military personnel","DMICRX0",291,290,289,288,283,284,289,295,309,315,317,317,311,308,303,297,287,284,287,292,305,314,322,329,334,338,340,345,344,360,389,425,495,532,542,527,448,377,329,309,343,373,395,411,407,407,415,432,427,413,405,403,389,379,384,403,432,446,439,411,371,402,382,382,388,391,392
"118","110","        Shoes and other footwear","DSHURX0",33914,35100,35349,35806,36156,37119,37498,37657,37899,37961,38533,38914,40164,40632,40549,42019,43169,43899,44349,44815,45399,45519,46584,46537,45680,46485,45757,45920,46804,46083,45763,46629,46637,47924,49270,49462,50720,50008,50232,50890,51493,52828,52386,54802,54875,55356,56900,57653,58050,58651,59095,58693,57984,59461,58132,55321,54724,53455,54133,54102,55907,56446,56850,58139,58369,58801,58969
"119","111","    Gasoline and other energy goods","DGOERX0",264040,266178,263202,263774,267342,269054,269136,268380,270145,273909,275113,276420,278768,283222,285895,287069,289000,295451,291891,293359,282848,288267,289507,287759,289025,285362,290696,291587,290568,294022,295691,295529,295921,299094,304736,307980,306471,306874,304932,305204,308866,305565,301596,299120,295108,295743,298562,298055,296545,294914,294866,291291,286277,282683,273410,280035,284861,281189,279291,279076,281768,282119,282683,278442,274167,268535,267518
"120","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRX0",234997,235205,232861,232320,235738,239859,239506,240106,243389,245921,246774,248124,251940,254987,258207,259282,259766,265246,263088,265851,257756,261810,263596,262203,262608,259688,265289,266621,265270,267398,269063,268265,271202,274426,278388,281097,281511,282774,280984,283092,286701,284877,282477,281137,278282,277321,279812,280004,277737,276934,277544,274855,270517,268323,259231,263195,266027,263080,262170,261298,264586,265429,265485,261225,257989,254223,252916
"121","113","        Gasoline and other motor fuel","DGASRX0",229303,229696,227514,227049,230517,234702,234497,235218,238858,241394,242206,243441,246821,249497,252657,254068,255162,260974,258968,261540,253301,257108,258844,257539,258119,255457,261164,262666,261296,263445,265041,264076,266821,269886,273728,276422,276871,278112,276213,278033,281259,279228,276686,275281,272463,271602,274104,274351,272014,271168,271812,269359,265244,263199,254465,258662,262115,259773,259095,258255,261395,262032,261983,257705,254496,250777,249494
"122","114","        Lubricants and fluids","DLUBRX0",5268,5133,5003,4945,4923,4892,4779,4693,4429,4439,4477,4571,4903,5167,5218,4994,4595,4392,4258,4404,4488,4706,4751,4670,4523,4297,4231,4120,4128,4128,4185,4304,4466,4600,4706,4724,4695,4717,4811,5083,5452,5644,5785,5857,5818,5717,5704,5652,5705,5751,5733,5518,5321,5160,4741,4497,4081,3673,3483,3439,3567,3725,3800,3794,3761,3710,3685
"123","115","      Fuel oil and other fuels (29)","DFULRX0",30392,32825,32079,33438,33523,30546,31048,29445,27655,29032,29429,29365,27580,29177,28525,28630,30336,31421,29735,28121,25515,27030,26422,26071,26968,26188,25850,25388,25739,27184,27156,27867,25041,24978,26755,27364,25236,24288,24139,22159,22169,20689,19122,17976,16841,18416,18755,18074,18814,17990,17325,16457,15815,14611,14425,16781,18531,17940,17030,17688,17093,16622,17081,17081,16095,14369,14632
"124","116","        Fuel oil","DOILRX0",27418,29571,28842,30150,30011,27236,27712,26160,24891,26051,26516,26513,24970,26429,25985,26098,27406,28212,26601,24761,21640,23888,23903,23341,24470,23315,22921,22959,23544,24552,23979,25102,22582,22734,24384,24792,23114,22177,21848,20203,19636,18629,17797,16716,15584,16923,17167,16570,17543,16719,15972,15178,14463,13133,12957,15459,17514,16995,16139,16540,16044,15471,15954,15904,14836,13162,13500
"125","117","        Other fuels","DLPFRX0",2971,3242,3214,3282,3463,3247,3276,3208,2748,2949,2901,2850,2624,2766,2595,2592,2918,3150,3063,3225,3666,3021,2468,2670,2479,2776,2820,2400,2224,2594,3034,2714,2425,2242,2378,2545,2138,2114,2273,1963,2513,2065,1333,1268,1260,1494,1587,1502,1273,1271,1353,1276,1360,1529,1512,1314,1037,958,896,1147,1050,1150,1127,1178,1272,1235,1139
"126","118","    Other nondurable goods","DONGRX0",436850,442142,443952,448276,450968,458934,465530,474341,478223,482077,492547,498656,502714,509412,517502,526967,536972,539983,542618,564570,558247,571962,578251,587549,583757,588529,595262,603051,609513,608563,611668,619054,629723,634363,647520,656357,657699,664464,672637,677817,683195,688690,692300,700122,710762,713756,715899,728950,732040,736327,740150,741415,737486,744458,744548,732227,728391,721375,723752,729745,737284,746360,754812,764506,774427,779589,784530
"127","119","      Pharmaceutical and other medical products (40 and 41)","DPHMRX0",113791,116141,117756,119923,121427,123899,126237,128997,130991,134169,138782,143780,147574,152255,156444,161174,167784,170506,169896,183762,174943,188817,193242,200136,197486,200810,209783,214922,217910,215505,217633,220840,228431,230440,237034,242702,240267,246692,250282,252596,253898,254677,254755,255559,258748,264647,266559,272777,275732,277991,277099,275777,277411,279819,281980,283342,283776,284589,285712,285065,283448,285820,288572,289642,292930,291419,293226
"128","120","        Pharmaceutical products","DPNPRX0",112247,114612,116233,118449,119983,122459,124826,127581,129594,132792,137402,142426,146153,150710,154787,159476,166085,168762,168130,181885,173038,186870,191228,198075,195428,198730,207717,212799,215783,213304,215409,218601,226146,228115,234627,240251,237723,244094,247627,249899,251151,251917,251934,252636,255751,261629,263486,269621,272505,274670,273710,272414,274057,276383,278565,280022,280487,281313,282431,281718,279973,282236,284882,285910,289110,287543,289236
"129","121","          Prescription drugs","DRXDRX0",90561,92417,94296,96208,98105,100231,102542,105092,107249,110795,115219,120591,124167,128729,132702,136958,142681,145360,145142,158353,149978,163312,167330,173530,171595,175001,183815,188238,190085,187273,189738,192789,199505,200874,206468,211440,208483,214615,217443,218869,218921,219345,218646,218649,221104,226574,227777,233086,235053,236884,235248,233659,235032,236700,238851,241119,242072,242978,243734,242511,240036,242097,243419,243476,245791,243944,244634
"130","122","          Nonprescription drugs","DNRDRX0",19804,20261,20127,20426,20209,20551,20673,20916,20876,20723,21011,20912,21140,21274,21476,21947,22822,22891,22545,23306,22724,23429,23801,24477,23827,23795,24091,24741,25789,26057,25747,25908,26745,27320,28230,28887,29273,29542,30234,31058,32236,32571,33284,33988,34656,35060,35726,36551,37478,37813,38502,38807,39082,39753,39774,38932,38421,38330,38698,39236,40027,40219,41626,42686,43624,43974,45094
"131","123","        Other medical products","DOMPRX0",1463,1457,1456,1423,1402,1404,1387,1397,1387,1377,1390,1381,1442,1549,1648,1690,1704,1746,1764,1880,1889,1946,2011,2061,2055,2079,2077,2133,2138,2203,2227,2243,2291,2330,2411,2457,2545,2600,2656,2697,2747,2760,2821,2924,2998,3019,3074,3158,3230,3326,3395,3370,3360,3445,3422,3322,3287,3273,3277,3348,3490,3608,3724,3770,3864,3932,4063
"132","124","      Recreational items (parts of 80, 92, and 93)","DREIRX0",57558,58919,59235,59609,60245,60591,61803,63701,63268,64044,65914,66393,67069,69346,71572,74355,75745,76755,79186,83260,84432,83840,86116,87796,88310,89264,89419,91141,93035,94909,96501,98372,98637,100223,102865,104573,104958,105658,108699,111291,114711,118299,119896,123436,126981,127338,127948,131076,134506,136499,139106,140254,139136,140212,139536,133578,131713,130781,130954,135381,139366,143608,147441,151694,154364,155962,159169
"133","125","        Games, toys, and hobbies","DDOLRX0",17165,17733,18099,18510,18313,18084,18954,19842,19567,19962,20146,20409,21370,22279,22809,23627,24886,25351,26079,27199,27962,28889,29658,29937,30520,30777,31256,32653,32658,33942,35367,37133,36574,37782,39165,40083,40833,40685,42342,44101,45756,47488,48342,49547,51396,52524,53230,54010,55955,57588,59979,61656,62047,64290,65102,65031,65337,65399,67341,70746,73493,74817,78320,81116,83458,85554,88146
"134","126","        Pets and related products","DPRPRX0",21938,22324,22337,21926,22304,23009,22587,22688,22807,23258,23986,23962,23702,24089,24928,25670,25194,25533,25951,28175,27951,27670,27682,28169,28400,28890,29267,29478,30192,30326,30344,30613,30982,31918,32466,32635,33210,32776,33584,34330,35066,35520,36089,36820,37503,37125,37478,38590,39250,40343,40475,40449,40100,40126,38946,37343,37077,36695,36371,37429,38883,39955,40889,41604,41861,42630,42767
"135","127","        Flowers, seeds, and potted plants","DFLORX0",17783,18186,18019,18187,19004,19207,19641,20455,20349,20290,21611,21848,21202,22091,23062,24329,24401,24520,25951,26700,27254,25396,26867,27742,27446,27838,27060,27003,28333,28547,28441,28090,28602,27771,28217,28645,27577,28748,29227,29201,30112,31421,31515,33016,33786,33450,32861,33782,34474,33760,33919,33437,32310,31343,31879,29107,28168,28421,27794,28040,27893,29491,29285,30218,30789,29882,30838
"136","128","        Film and photographic supplies","DFLMRX0",2807,2755,2686,2647,2609,2585,2547,2480,2425,2351,2375,2326,2387,2416,2484,2564,2618,2644,2619,2755,2682,2743,2775,2938,2813,2689,2640,2570,2620,2681,2730,2719,2790,2963,3166,3321,3387,3529,3593,3671,3778,3871,3952,4047,4306,4303,4466,4746,4927,4951,5039,5186,5276,5372,4797,3725,2908,2124,1779,1893,2014,2149,2261,2409,2324,2301,2312
"137","129","      Household supplies (parts of 32 and 36)","DHOURX0",72226,72706,72993,73609,74028,75619,76851,78164,78742,79010,80144,81063,80941,80859,80857,82254,83998,84176,84628,86261,86279,85629,84941,85268,85690,86110,85957,86435,87377,87218,87755,89868,91956,92814,94695,96244,97172,97164,98426,99390,99978,101355,102759,104532,105592,105374,105639,106998,107878,108280,109634,110175,109080,109303,108579,104643,102652,102428,102619,104033,105555,107075,107885,109266,111370,113169,113800
"138","130","        Household cleaning products","DCLERX0",27226,27535,27947,28129,28318,28899,29072,29328,29706,29733,30040,30128,29957,30009,29950,30050,30599,30509,30491,30989,30505,30639,30470,30559,30233,30354,30494,30671,30502,30530,30509,30956,31386,32002,33180,33342,33684,33869,34306,35125,35583,35928,36208,36389,36981,37137,37074,37489,37753,37988,38298,38696,38361,38304,38101,36422,35837,35714,35653,35733,36353,36987,37024,37431,37912,38933,38887
"139","131","        Household paper products","DPAPRX0",25217,25025,24367,24041,24016,24422,25015,25241,25470,25498,25931,25867,25833,25983,26188,27052,27492,27851,27587,28079,27837,27382,26928,27013,27506,27777,27669,28420,28633,28560,28970,29207,30128,30348,30903,31272,31321,31403,31092,31500,31691,32436,33040,33830,33643,33287,33670,34125,34383,34698,35072,34988,34504,34191,33784,32102,31497,31475,31552,31951,32238,32160,31766,31815,32540,32994,33034
"140","132","        Household linens","DLINRX0",14152,14502,14761,15153,15317,15726,16081,16646,16606,16732,17021,17645,17763,17596,17530,17880,18416,18305,18814,19295,19785,19642,19679,19915,20003,20041,20083,19870,20657,20515,20596,21824,22722,22667,22796,23747,24215,24081,25014,24741,24789,25128,25694,26361,26963,27246,27387,28060,28551,28396,29117,29312,29229,29811,29819,29991,29218,28997,29143,30057,30659,31716,33157,34172,34913,34828,35745
"141","133","        Sewing items","DSEWRX0",799,797,801,824,841,840,854,907,926,946,978,997,1017,1049,1033,1071,1125,1134,1161,1175,1206,1248,1209,1191,1213,1213,1229,1292,1298,1296,1311,1373,1316,1335,1334,1291,1330,1278,1301,1290,1288,1272,1272,1280,1297,1237,1236,1189,1204,1246,1197,1201,1169,1212,1191,1177,1156,1140,1124,1146,1170,1177,1233,1218,1210,1244,1268
"142","134","        Miscellaneous household products","DMHPRX0",6316,6152,6207,6349,6372,6543,6634,6696,6762,6790,6861,6906,6802,6726,6710,6794,6895,6990,7004,7121,7179,6926,6802,6703,6877,6893,6630,6417,6421,6464,6539,6558,6444,6518,6566,6626,6630,6549,6686,6725,6626,6589,6543,6678,6726,6514,6322,6227,6125,6049,6103,6143,6016,6117,6075,5712,5642,5753,5827,6001,6066,6228,6387,6588,6802,7000,6980
"143","135","      Personal care products (part of 118)","DOPCRX0",51841,52571,53147,53334,54170,55747,56168,57890,58484,58458,59837,59059,59640,60939,62415,63794,64706,64790,65074,67141,67208,68329,69065,69968,69351,70295,70365,71978,72726,72690,72428,73077,74214,74743,76717,77066,77707,77890,78961,79674,80872,81025,81249,82830,83831,84647,84889,85184,85462,85743,87350,87603,87927,88989,88680,86550,85084,84755,85210,87063,88866,90663,92086,94403,95394,96977,98786
"144","136","        Hair, dental, shaving, and miscellaneous personal care products except electrical products","DOPHRX0",25239,25886,26294,26616,27140,28159,28578,29902,30693,30643,31367,31115,31666,32541,33443,34411,35052,35163,35531,37001,36561,37481,37756,38105,37995,38746,39089,40356,40544,40313,40023,40395,41011,41037,41926,41858,42032,42241,42710,42877,43299,43101,42972,43796,44135,44127,44005,43938,44008,44032,44807,44807,45169,45742,45740,44969,44535,44023,44329,45389,45862,47015,47947,49202,49876,50934,52184
"145","137","        Cosmetic/perfumes/bath/nail preparations and implements","DCOSRX0",25300,25305,25434,25249,25520,25991,25943,26214,25923,25949,26555,26030,25938,26226,26695,26983,27146,27079,26904,27374,27854,27935,28337,28826,28266,28369,28001,28196,28672,28792,28807,29018,29462,29861,30805,31188,31597,31507,32006,32481,33145,33427,33758,34387,34926,35767,36106,36436,36554,36805,37545,37781,37786,38203,37968,36763,35853,36078,36172,36853,38075,38612,39039,39976,40211,40626,41099
"146","138","        Electric appliances for personal care","DEAPRX0",1646,1686,1711,1730,1761,1826,1851,1934,1987,1988,2038,2023,2122,2243,2340,2450,2547,2583,2663,2783,2821,2928,2991,3062,3102,3180,3257,3389,3479,3560,3579,3644,3721,3832,3977,4016,4076,4137,4240,4313,4426,4497,4520,4649,4770,4751,4777,4809,4897,4901,4990,5007,4966,5038,4968,4819,4707,4655,4711,4828,4919,5034,5105,5232,5323,5447,5555
"147","139","      Tobacco (127)","DTOBRX0",89446,89792,90149,90505,90869,91166,91399,91547,91475,91376,91452,91702,90737,89038,87334,85667,83889,82603,81636,81018,80753,80493,80206,79853,79696,79187,78610,77961,77008,76340,75734,75212,74900,74780,74673,74557,74773,74449,73942,73258,71974,71256,70693,70298,71256,69505,67984,70833,67519,66660,66849,66405,63796,65048,65462,64293,64883,59535,59489,58916,59875,58957,58169,58064,57319,58706,56740
"148","140","      Magazines, newspapers, and stationery (part of 90)","DNEWRX0",53959,54093,53036,53696,52258,53711,54361,54810,55099,54264,54606,55406,55101,55015,55774,55848,56854,57254,56987,58437,58599,59685,59683,60030,58331,57748,56647,56033,56153,56233,56123,56514,55949,55735,56223,56408,57714,57259,57113,56725,57067,57156,57742,58198,58737,57866,57756,57893,57068,56008,56016,56992,56159,57720,56636,53859,53613,53373,53947,54892,56536,57832,59403,61261,62615,63365,63965
"149","141","        Newspapers and periodicals","DMAGRX0",34712,34787,33841,34420,34081,35197,35668,36173,36690,36534,36990,37751,37008,36758,37139,36899,37263,37575,37257,38069,37726,38524,38402,39066,38309,38026,37179,36692,36798,37163,37009,37329,36649,35873,35769,35494,36104,35558,35388,34799,34822,34578,34771,34965,35215,34292,33806,33364,32631,31620,31553,32425,31663,33035,32383,30537,30077,29918,30390,31238,32571,33302,34657,35880,36776,37348,37751
"150","142","        Stationery and miscellaneous printed materials","DSTYRX0",19300,19360,19204,19314,18308,18677,18866,18847,18678,18068,18001,18091,18419,18546,18903,19161,19749,19849,19874,20494,20929,21233,21335,21081,20183,19895,19622,19482,19501,19255,19289,19366,19443,19940,20497,20934,21624,21711,21734,21930,22247,22579,22969,23232,23521,23575,23952,24532,24439,24388,24462,24568,24495,24683,24252,23326,23555,23477,23570,23644,23925,24491,24672,25294,25741,25907,26099
"151","143","      Net expenditures abroad by U.S. residents (131)","DNFRRX0",2218,1821,1661,1748,2086,2108,2265,2043,3305,4044,4811,4638,4975,4381,4667,4475,4416,4228,4792,4518,4785,5547,5479,5133,5300,5675,5644,5712,6435,6291,5980,5451,6196,6147,5759,5194,5436,5758,5467,5014,4712,4891,5183,5306,5716,4458,5199,4214,4033,5385,4551,4911,4793,4163,4202,5749,6001,6364,6273,5763,5261,5122,5007,4967,6179,5758,6152
"152","144","        Expenditures abroad by U.S. residents","DABDRX0",3657,3281,3231,3347,3537,3481,3498,3241,4613,5245,6110,5863,6118,5707,5897,5891,5763,5975,6140,5929,6287,6855,7055,6612,6912,7455,7252,7184,8079,7755,7566,7254,7756,7960,7912,7177,7430,7759,7458,7143,6887,7138,7426,7648,7834,7313,7477,7405,7760,7825,7727,7330,7418,7399,7638,9589,9405,9159,9096,8739,9554,10076,9877,9357,9191,8888,8973
"153","145","          Government employees' expenditures abroad","DARTRX0",3497,3139,3093,3205,3390,3337,3355,3110,4429,5038,5870,5633,5877,5482,5664,5658,5535,5740,5898,5696,6039,6584,6778,6351,6640,7160,6967,6900,7761,7449,7269,6968,7450,7646,7600,6894,7137,7454,7164,6861,6615,6856,7133,7347,7525,7025,7182,7113,7454,7517,7422,7041,7125,7107,7337,9211,9035,8798,8738,8394,9178,9679,9487,8989,8828,8538,8620
"154","146","          Private employees' expenditures abroad","DARSRX0",160,142,138,141,148,144,143,131,184,208,240,230,240,225,233,232,228,236,242,234,248,271,277,261,273,294,286,284,318,306,297,286,306,314,311,283,293,305,294,282,272,282,293,300,309,288,295,292,306,308,305,290,293,292,301,378,371,361,359,345,377,397,389,369,362,350,354
"155","147","        Less: Personal remittances in kind to nonresidents","DREMRX0",1439,1460,1570,1598,1451,1373,1233,1199,1308,1201,1299,1224,1142,1326,1230,1416,1348,1748,1349,1412,1503,1308,1576,1479,1612,1780,1609,1472,1644,1464,1586,1803,1560,1813,2153,1982,1994,2001,1991,2129,2175,2247,2243,2342,2118,2854,2278,3192,3727,2440,3175,2420,2624,3235,3436,3840,3404,2795,2824,2976,4293,4954,4869,4391,3011,3131,2822
"156","148","Services","DSERRX0",4159368,4196972,4226884,4250772,4292389,4320936,4344033,4369583,4405131,4435023,4487758,4533441,4583861,4639757,4696136,4728838,4768790,4822691,4880612,4940434,5015169,5073450,5120478,5165412,5189696,5211730,5225766,5249012,5283041,5310922,5329550,5350442,5372383,5401084,5435935,5463303,5507144,5538192,5576321,5629045,5664753,5708969,5751957,5781516,5819090,5862066,5889472,5931941,5961973,5982035,5998841,6017750,6039748,6032854,6006502,5988840,5953477,5928637,5926827,5932878,5947430,5984292,6008121,6027469,6039087,6067003,6096098
"157","149","  Household consumption expenditures (for services)","DHCERX0",4021739,4058066,4087369,4108438,4145223,4171968,4193919,4223321,4267015,4297936,4350853,4394569,4440390,4491600,4542404,4569593,4608405,4661149,4717870,4775717,4844967,4902635,4942909,4982379,5005683,5023675,5034347,5053329,5083627,5106536,5116782,5132147,5155150,5181174,5216620,5244656,5287297,5320317,5359996,5412650,5460733,5500724,5539820,5559087,5593879,5630673,5648281,5689731,5721583,5744559,5752461,5762197,5775918,5765084,5734418,5707123,5676346,5657048,5653532,5655164,5668116,5702586,5730617,5754730,5765938,5793236,5816550
"158","150","    Housing and utilities","DHUTRX0",1217294,1231976,1244230,1245585,1258249,1260696,1258070,1269334,1273584,1284815,1292687,1310109,1312193,1328450,1339190,1338769,1354126,1368086,1382461,1381985,1388023,1406160,1418507,1441554,1449360,1448224,1454436,1453511,1453616,1459927,1462521,1471471,1474510,1478723,1479355,1488016,1495093,1505013,1514526,1536551,1556110,1577903,1596320,1599971,1596368,1617580,1629486,1623959,1624294,1625546,1629739,1626686,1637276,1636955,1630895,1646108,1649999,1651323,1656634,1661529,1663578,1665707,1675297,1672213,1666045,1669051,1680430
"159","151","      Housing","DHSGRX0",1008376,1015064,1020478,1025475,1029749,1034333,1039383,1045049,1053041,1061765,1070406,1078973,1087143,1095639,1104958,1114753,1124938,1134653,1143545,1151612,1159374,1168397,1178589,1190297,1202953,1213300,1218765,1219941,1218535,1217934,1219048,1221887,1226113,1230223,1235217,1240615,1246278,1255583,1268806,1285891,1306059,1324007,1337812,1347708,1357394,1365825,1371270,1373819,1372316,1371165,1372567,1376225,1381027,1385458,1390056,1394832,1399185,1402128,1405393,1408081,1409489,1410878,1411250,1411115,1412060,1413443,1414935
"160","152","        Rental of tenant-occupied nonfarm housing (20)","DTENRX0",251752,253325,254384,254705,253859,253582,253621,253982,255349,256778,258074,259163,260123,261103,262289,263599,264980,266068,266735,266971,266952,267313,268102,269410,271127,272610,273312,273389,273014,271851,269869,267058,263684,261037,259668,259477,260149,260985,261724,262336,262952,263909,265147,266739,268819,271571,275026,279237,284119,287862,290080,290686,291454,293385,296251,300062,304436,307934,310684,312486,313290,313887,314157,314215,315734,317997,320295
"161","153","          Tenant-occupied mobile homes","DTMHRX0",8087,8196,8254,8258,8206,8138,8053,7963,7945,7944,7911,7841,7747,7632,7496,7342,7187,7091,7066,7112,7230,7394,7612,7881,8184,8455,8673,8833,8935,9014,9082,9132,9164,9187,9205,9213,9215,9218,9221,9224,9219,9160,9034,8859,8628,8382,8128,7871,7641,7457,7325,7238,6950,6631,6415,6302,6272,6252,6229,6202,6173,6143,6114,6082,6051,6020,5990
"162","154","          Tenant-occupied stationary homes","DTSPRX0",239752,241130,242050,242291,241425,241149,241199,241573,242889,244256,245524,246622,247620,248658,249919,251323,252798,253911,254527,254634,254406,254512,254995,255949,257279,258416,258842,258715,258201,256920,254823,251909,248446,245716,244259,243981,244569,245324,245992,246541,247107,248062,249359,251054,253278,256195,259843,264269,269388,273327,275671,276340,277365,279599,282677,286613,291041,294579,297355,299177,299997,300610,300904,300993,302538,304824,307145
"163","155","          Tenant landlord durables","DTLDRX0",4347,4415,4476,4529,4572,4616,4667,4722,4779,4833,4884,4934,4981,5029,5079,5131,5186,5244,5307,5375,5447,5521,5596,5672,5748,5817,5869,5906,5937,5968,6005,6045,6090,6142,6207,6283,6364,6442,6511,6571,6626,6687,6753,6825,6913,6994,7055,7096,7088,7075,7081,7105,7136,7152,7153,7138,7108,7083,7076,7081,7092,7104,7110,7111,7113,7114,7115
"164","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRX0",744782,749895,754242,758886,763971,768761,773697,778914,785429,792683,799892,807161,814214,821625,829712,838219,847072,855561,863406,870603,877549,885549,894583,904946,916130,925208,930094,931234,930180,930721,933804,939449,947037,953642,959653,964689,968985,976776,988676,1004674,1023870,1040535,1052788,1060794,1068575,1074565,1076723,1075077,1069370,1065223,1064798,1067921,1072021,1074627,1076393,1077318,1077202,1076574,1077048,1077929,1078563,1079379,1079477,1079259,1078615,1077644,1076738
"165","157","          Owner-occupied mobile homes","DOMHRX0",29275,29303,29342,29446,29689,29896,30091,30293,30500,30690,30818,30882,30906,30942,30988,31049,31135,31208,31264,31310,31423,31873,32783,34153,35865,37195,37914,37964,37434,36895,36481,36157,35903,35646,35387,35106,34818,34564,34341,34150,33954,33547,32878,32021,30973,29884,28768,27646,26638,25883,25410,25196,24533,23783,23298,23069,23045,23025,22976,22895,22790,22684,22577,22461,22381,22323,22267
"166","158","          Owner-occupied stationary homes","DOSTRX0",715508,720594,724901,729441,734284,738866,743607,748622,754930,761994,769075,776281,783310,790684,798725,807171,815938,824354,832143,839295,846128,853677,861801,870794,880266,888013,892180,893271,892746,893826,897324,903293,911135,917997,924266,929583,934167,942212,954336,970524,989916,1006989,1019910,1028774,1037601,1044680,1047954,1047429,1042731,1039340,1039387,1042724,1047487,1050844,1053095,1054248,1054157,1053549,1054073,1055034,1055773,1056694,1056901,1056798,1056234,1055321,1054471
"167","159","        Rental value of farm dwellings (22)","DFARRX0",11505,11505,11503,11510,11495,11526,11577,11654,11772,11816,11937,12117,12234,12303,12319,12276,12212,12332,12688,13295,14100,14741,15092,15119,14873,14668,14564,14550,14607,14640,14640,14603,14556,14672,15007,15555,16259,16940,17523,17992,18346,18676,18996,19298,19126,18826,18663,18631,17976,17234,16832,16763,16710,16602,16542,16525,16538,16540,16531,16505,16462,16431,16426,16443,16470,16499,16532
"168","160","        Group housing (23)","DGRHRX0",967,981,1000,1020,1048,1069,1076,1068,1049,1039,1041,1054,1077,1096,1107,1111,1108,1105,1103,1102,1102,1100,1096,1091,1082,1067,1044,1014,980,955,943,943,951,955,955,948,935,922,911,901,892,885,881,879,880,883,889,899,909,918,924,928,929,930,932,934,937,940,943,947,951,954,957,960,962,965,968
