"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"189","182","          Government hospitals","DGVHRX0",95059,94581,95546,97982,99646,104989,113696,115780,111700,111017,111679,113048,115956,119074,123993,128161
"190","183","        Nursing homes (52)","DNRSRX0",100988,103748,107396,110075,108258,108295,108558,110062,112809,113256,115028,115351,117877,119500,120355,121896
"191","184","          Nonprofit nursing homes' services to households","DNPNRX0",33633,34344,36518,38067,38173,38260,38915,39553,40338,40069,41039,40768,41060,40457,40979,41090
"192","185","          Proprietary and government nursing homes","DFPNRX0",67355,69404,70878,72008,70085,70035,69643,70509,72471,73187,73990,74583,76817,79043,79375,80806
"193","186","    Transportation services","DTRSRX0",213861,231388,248842,259199,273516,286252,283615,275869,276885,283763,285961,285456,287898,272000,248096,250182
"194","187","      Motor vehicle services","DMVSRX0",160874,174454,189489,195403,205842,213360,212549,203851,202765,205811,209616,209883,211018,199626,179341,179856
"195","188","        Motor vehicle maintenance and repair (60)","DVMRRX0",124612,130149,134701,139493,144331,148670,150917,148845,151752,153462,155128,150797,150929,140932,128576,127697
"196","189","        Other motor vehicle services (61)","DOVSRX0",37720,44899,54267,55462,60682,63716,60986,54788,51042,52358,54488,59142,60170,58873,50845,52296
"197","190","          Motor vehicle leasing","DMVLRX0",20938,25924,32978,33318,37086,39215,36656,31589,27594,27574,29550,34123,35459,34600,28523,29610
"198","191","            Auto leasing","DALERX0",14499,16531,20565,19494,20620,20998,21139,18212,16019,13470,14256,18226,20024,20628,17571,19046
"199","192","            Truck leasing","DTLERX0",6438,9392,12411,13822,16464,18214,15515,13376,11573,14104,15294,15897,15436,13973,10954,10566
"200","193","          Motor vehicle rental","DMVRRX0",5689,6618,7171,7474,8032,8352,8415,8243,8435,9589,9902,10150,10049,9925,8535,9087
"201","194","          Parking fees and tolls","DPFTRX0",11676,12467,13584,14255,14918,15403,15380,14716,15039,15226,15036,14896,14722,14400,13700,13562
"202","195","      Public transportation","DPUBRX0",53040,57036,59685,63886,67726,72714,70983,71929,74095,77982,76345,75581,76876,72378,68752,70334
"203","196","        Ground transportation (63)","DGRDRX0",22986,22366,22788,24612,25679,26360,26970,26715,25444,26174,26195,27027,26724,26657,25772,25546
"204","197","          Railway transportation","DIRRRX0",560,533,535,553,570,633,662,665,660,728,733,744,849,892,824,875
"205","198","          Road transportation","DROTRX0",22442,21851,22272,24084,25137,25745,26322,26062,24789,25446,25463,26283,25873,25763,24945,24669
"206","199","            Intercity buses","DIBURX0",1148,1207,1372,1423,1495,1617,1624,1576,1500,1402,1306,1215,1116,1133,913,919
"207","200","            Taxicabs","DTAXRX0",4214,4022,3986,4377,4143,3837,4084,4099,3555,3950,4029,4303,4154,3957,3890,3909
"208","201","            Intracity mass transit","DIMTRX0",12032,11057,10735,11777,12723,13589,13754,13410,13241,13357,13415,14148,13801,14120,13958,13803
"209","202","            Other road transportation service","DORTRX0",4978,5522,6185,6501,6770,6700,6860,6968,6490,6736,6714,6625,6803,6562,6206,6063
"210","203","        Air transportation (64)","DAITRX0",30286,34014,35878,38263,40847,44549,42178,43222,46319,49310,47654,45989,47461,43040,40334,42165
"211","204","        Water transportation (65)","DWATRX0",804,1107,1304,1376,1480,1760,2019,2100,2342,2507,2496,2582,2696,2791,2785,2768
"212","205","    Recreation services","DRCARX0",245291,256379,264518,273331,286666,295270,294939,296786,306145,322098,328234,339942,353191,348601,334839,341444
"213","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRX0",96920,100438,103084,106089,106235,106877,105616,106298,107989,111437,115186,118856,123241,123020,118544,122230
"214","207","        Membership clubs and participant sports centers","DMDFRX0",23529,24857,28641,28611,28743,28454,27992,28564,28633,29972,31119,31670,33264,33113,31974,32881
"215","208","        Amusement parks, campgrounds, and related recreational services","DORSRX0",39141,39476,37139,37445,36606,36374,35232,32987,33720,34577,36381,37692,39754,40814,38777,40618
"216","209","        Admissions to specified spectator amusements","DADMRX0",30429,32396,33228,35838,36500,37412,37671,39390,40196,41265,41562,43602,44786,43717,42609,43546
"217","210","          Motion picture theaters","DMOVRX0",8370,8671,9141,9786,10134,10324,10399,10758,10528,10425,9859,10117,10194,10034,10345,10501
"218","211","          Live entertainment, excluding sports","DLIGRX0",10504,10651,10853,11836,12124,12425,12838,13302,13813,14493,15269,16048,16197,15885,15218,15230
"219","212","          Spectator sports","DSPERX0",11541,13091,13244,14224,14240,14665,14423,15323,15852,16348,16434,17438,18391,17799,17061,17809
"220","213","        Museums and libraries","DMUSRX0",3728,3621,3653,3986,4218,4556,4683,5361,5467,5634,6124,5891,5445,5399,5196,5210
"221","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRX0",68098,69137,69406,72486,77404,80594,81369,78976,80736,85412,85449,86939,91929,93286,92185,93088
"222","215","        Cable and satellite television and radio services","DCTVRX0",40532,42813,43764,45283,48837,51678,53102,51549,52733,56955,59296,61323,65731,68435,69371,70913
"223","216","        Photo processing","DFDVRX0",6432,6553,6533,6580,6608,6340,6034,5895,5595,5048,3936,2922,2820,2556,2261,2214
"224","217","        Photo studios","DPICRX0",7757,7494,6862,7145,7107,7132,7035,6671,6629,6771,6945,6986,7246,7201,6846,6662
"225","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRX0",4975,4770,4798,5397,6006,6832,7013,7317,7349,7865,7652,8230,8771,8695,8311,8275
"226","219","        Video media rental","DVIDRX0",7297,6996,7104,7589,8370,8327,8080,7471,8336,8739,7620,7463,7332,6351,5333,4947
"227","220","      Gambling (91)","DGAMRX0",57909,62435,66264,66933,73050,76605,77193,80385,85604,92044,92933,97884,99442,94090,89082,89058
"228","221","        Casino gambling","DCASRX0",36369,40286,44060,44484,50724,54854,55276,57456,62145,67699,68393,71478,72897,70200,65289,64723
"229","222","        Lotteries","DLOTRX0",16821,17362,17323,17316,17024,16434,16734,17642,18175,18832,19003,20676,20817,18528,18651,18898
"230","223","        Pari-mutuel net receipts","DPARRX0",4722,4790,4884,5135,5304,5317,5184,5288,5284,5513,5538,5729,5729,5361,5142,5436
"231","224","      Other recreational services (81, 94, and part of 92)","DOTRRX0",22641,24551,25888,28056,30042,31209,30742,31106,31802,33199,34665,36263,38584,38262,35190,37144
"232","225","        Veterinary and other services for pets","DVETRX0",13568,15166,16549,17435,17938,18139,17939,18130,18454,19059,19763,20640,21405,21213,20180,20231
"233","226","        Package tours","DHOLRX0",7144,7629,7476,8141,8917,9102,8363,8062,8341,9077,9583,10073,11307,11539,10075,12022
"234","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERX0",2266,2268,2450,2944,3485,4102,4498,4923,5013,5065,5320,5550,5882,5500,4854,4924
"235","228","    Food services and accommodations","DFSARX0",416022,418766,428030,439180,450019,470532,469875,477215,494981,515078,533906,551635,559071,553892,534265,551027
"236","229","      Food services","DFSERX0",365183,365750,370936,381387,390879,408028,411277,417278,431645,447840,461256,475238,481166,473794,455658,467259
"237","230","        Purchased meals and beverages (102)","DPMBRX0",355374,355910,361089,371489,380871,397892,401010,406902,420967,436902,449470,462249,467992,460897,442786,455216
"238","231","          Meals and nonalcoholic beverages","DMABRX0",311408,313492,319465,327460,334319,347925,349426,352712,365258,379296,390217,401490,406702,400750,385209,396622
"239","232","            Meals at schools","DMSLRX0",15045,15847,16709,17137,17887,18467,18789,18841,19054,19066,19298,19516,20123,20462,20342,20980
"240","233","              Elementary and secondary school lunches","DESLRX0",5725,5975,6270,6419,6614,6815,6917,6813,6777,6802,6853,6823,6705,6448,6294,6304
"241","234","              Higher education school lunches","DHSLRX0",9320,9872,10439,10719,11273,11652,11872,12028,12276,12264,12445,12693,13418,14014,14049,14675
"242","235","            Other purchased meals","DOPMRX0",296406,297667,302762,310329,316429,329457,330635,333869,346200,360230,370918,381975,386579,380288,364866,375641
"243","236","              Meals at limited service eating places","DMLSRX0",156777,155234,152796,158338,160297,166515,167830,169764,177028,185136,191245,196534,198292,197595,190151,197096
"244","237","              Meals at other eating places","DMOERX0",137824,140671,148258,150140,154119,160713,160487,161614,166599,172557,177150,182816,185673,180169,172248,175968
"245","238","              Meals at drinking places","DMDPRX0",1818,1766,1692,1844,1996,2206,2302,2479,2567,2536,2523,2624,2612,2516,2452,2538
"246","239","          Alcohol in purchased meals","DAPMRX0",43932,42292,41428,43879,46452,49907,51557,54194,55710,57606,59254,60760,61294,60155,57588,58615
"247","240","        Food furnished to employees (including military) (103)","DFOORX0",9790,9821,9831,9889,10003,10137,10268,10377,10678,10939,11786,12988,13173,12896,12872,12052
"248","241","          Food supplied to civilians","DCFDRX0",9088,9159,9205,9284,9393,9485,9573,9574,9731,9941,10150,10361,10597,10686,10534,10516
"249","242","          Food supplied to military","DMFDRX0",703,662,626,606,610,652,695,803,947,999,1636,2628,2576,2209,2338,1535
"250","243","      Accommodations (104)","DACCRX0",50577,52847,57019,57701,59046,62401,58530,59873,63301,67227,72650,76389,77889,80046,78620,84015
"251","244","        Hotels and motels","DHOTRX0",38836,40750,44732,45405,46591,49622,45500,46530,49355,52762,57620,60826,61921,63458,61000,65173
"252","245","        Housing at schools","DSCHRX0",11900,12225,12247,12225,12355,12591,13056,13371,13964,14473,15029,15564,15968,16583,17470,18679
"253","246","    Financial services and insurance","DIFSRX0",489868,508223,525705,559144,606175,665987,661334,658934,659160,675475,698429,716423,739820,732307,676094,667831
"254","247","      Financial services","DFNLRX0",251757,277874,293845,319517,360409,404862,399380,399180,393630,411991,424034,443813,472459,477100,441670,441070
"255","248","        Financial services furnished without payment (107)","DIMPRX0",179888,195024,199808,201723,210001,216839,218356,214067,202153,217557,219902,222069,237741,245877,222585,228828
"256","249","          Commercial banks","DIMCRX0",75389,81115,79397,76424,76603,69896,73054,77714,68718,72949,69457,68827,73361,86642,77505,81184
"257","250","          Other depository institutions and regulated investment companies","DIMNRX0",75605,81253,83563,89392,97580,108585,110092,104569,102273,112737,118528,118967,129328,124699,110735,113194
"258","251","          Pension funds","DPENRX0",30433,34577,39152,37480,36769,38666,35284,31787,31261,31875,31917,34238,35068,34416,34439,34279
"259","252","        Financial service charges, fees, and commissions (108)","DOFIRX0",79786,90558,100438,121294,151596,187785,180877,184986,191578,194418,204133,221661,234652,231140,219315,211565
"260","253","          Financial service charges and fees","DFEERX0",42844,43768,43834,48426,54176,60301,65110,71345,79073,77739,83388,88374,91935,89627,92254,85062
"261","254","          Securities commissions","DEQTRX0",13712,17455,20568,26676,38020,54331,47201,45406,41733,43071,41448,43865,48116,45611,38694,37324
"262","255","            Direct commissions","DDCTRX0",6322,8183,9645,13892,22905,35325,31089,30529,26419,25855,23035,22461,21767,21912,19350,17014
"263","256","              Exchange-listed equities","DDCERX0",NA,NA,5226,7379,11342,16412,16854,16240,12306,10662,8474,7871,7791,7176,5639,2948
"264","257","              Other direct commissions","DDCORX0",NA,NA,4477,6569,11563,18830,14185,14257,14155,15208,14562,14599,13981,14737,13700,13989
"265","258","            Indirect commissions","DICTRX0",3578,4356,5024,5199,5905,7593,6300,5227,5134,5978,7227,9469,11707,9758,7919,8602
"266","259","              Over-the-counter equity securities","DICVRX0",NA,NA,148,226,430,800,732,585,615,640,581,709,752,835,974,1007
"267","260","              Other imputed commissions","DICORX0",NA,NA,9890,8438,7236,7081,5521,4635,4490,5323,6646,8760,10965,8910,6965,7601
"268","261","            Mutual fund sales charges","DMUTRX0",4499,5736,6976,8398,9081,10915,9483,9521,10143,11252,11185,12004,14908,14301,11720,11810
"269","262","          Portfolio management and investment advice services","DPMIRX0",25076,29433,35306,44373,54081,64722,60816,60327,62796,66106,71214,81830,85962,87986,80355,81022
"270","263","          Trust, fiduciary, and custody activities","DTRURX0",7371,6958,6960,7185,7660,7596,7693,7735,7788,7483,8084,7541,8611,7581,7822,7573
"271","264","      Insurance","DINSRX0",251825,238687,238456,244466,247165,260673,261955,259580,265991,263464,274395,272624,267506,255443,234663,227100
"272","265","        Life insurance (110)","DLIFRX0",88772,79972,80466,77351,74975,79746,75758,66786,65762,73652,76627,78873,79056,77763,71955,71212
"273","266","        Net household insurance (111)","DFINRX0",6231,6323,5726,6530,6571,6546,6517,5961,5529,6051,6167,5993,6923,7251,6380,6609
"274","267","          Household insurance premiums and premium supplements","DFIPRX0",9841,10087,10250,10653,11046,11523,12160,13284,14132,15339,16194,17440,18430,18430,17905,18271
"275","268","          Less: Household insurance normal losses","DFIBRX0",4575,4714,5085,5024,5303,5688,6220,7517,8605,9295,10028,11457,11476,11104,11557,11680
"276","269","        Net health insurance (112)","DHINRX0",103605,98901,97494,104581,108879,117321,121950,129959,138104,125782,133986,130337,124320,115121,104515,98723
"277","270","          Medical care and hospitalization","DMINRX0",79608,78043,77213,84935,89427,96877,99698,106233,113219,100710,106898,102882,98025,91778,83324,81704
"278","271","          Income loss","DIINRX0",1107,1182,1423,1647,1805,1926,2039,2170,2278,2323,2356,2449,2533,2537,2520,2436
"279","272","          Workers' compensation","DPWCRX0",22311,19012,18233,17868,17745,18734,20233,21575,22653,22739,24732,24995,23758,20901,18773,14609
"280","273","        Net motor vehicle and other transportation insurance (116)","DTINRX0",52470,52713,53786,55155,55957,56215,57177,57047,57080,58035,57614,57435,57302,55529,52064,50970
"281","274","    Other services","DOTSRX0",524276,541953,574061,621672,656741,704164,732627,737043,753870,768437,777094,797421,814950,804995,789504,791722
"282","275","      Communication","DCOMRX0",89354,97491,107522,117712,132860,152989,163216,167472,171428,179060,184398,195167,212098,218152,213386,220921
"283","276","        Telecommunication services (71)","DTCSRX0",77168,83909,92852,101222,111923,125342,134651,136139,137069,142119,145902,153329,155710,158028,150764,153546
"284","277","          Land-line telephone services, local charges","DLOCRX0",49385,52652,55656,59290,63419,66659,68286,66304,60199,56656,52921,53331,50092,48154,42546,40614
"285","278","          Land-line telephone services, long-distance charges","DLDTRX0",25024,25847,29257,30042,30735,30693,27811,23671,24116,25211,23627,21414,19662,18618,15535,13279
"286","279","          Cellular telephone services","DCELRX0",6193,8353,9880,13302,18590,27988,38900,47190,53155,60331,69354,78645,86301,91972,94112,102104
"287","280","        Postal and delivery services (68)","DPSSRX0",11643,12020,12189,12285,11987,11906,11126,10334,9371,8981,8608,8385,8410,7910,7332,6698
"288","281","          First-class postal service (by U.S. Postal Service)","DPSTRX0",9285,9616,9802,9768,9484,9332,8731,8140,7216,6906,6607,6345,6388,6182,5648,5281
"289","282","          Other delivery services (by non-U.S. postal facilities)","DODSRX0",2287,2318,2282,2448,2447,2541,2361,2158,2153,2075,2001,2039,2022,1749,1693,1440
"290","283","        Internet access (72)","DINTRX0",1719,2774,3568,5175,9675,16330,17792,21207,25055,27971,29888,33519,50212,55594,60071,66894
"291","284","      Education services","DTEDRX0",152989,157387,161760,166501,170368,176334,179591,175546,174216,170577,170343,171513,174170,176104,176826,179800
"292","285","        Higher education (97)","DHEDRX0",93122,95667,98956,102329,105512,109912,112956,110928,111021,108751,108747,109237,110201,111495,113040,115338
"293","286","          Proprietary and public higher education","DGEDRX0",54808,55191,56735,58843,61191,64069,65747,66913,67726,66310,66411,66991,67924,69019,70440,71898
"294","287","          Nonprofit private higher education services to households","DPEDRX0",38315,40477,42221,43487,44322,45843,47209,44016,43295,42440,42337,42247,42277,42476,42599,43440
"295","288","        Nursery, elementary, and secondary schools (98)","DNEHRX0",34238,34191,33524,32694,32681,32497,32609,32019,31839,31745,31740,31923,32395,32430,32484,32463
"296","289","          Elementary and secondary schools","DESCRX0",27139,27198,26223,25441,25222,24964,24868,24317,24095,23934,24006,24074,24078,24155,24342,24485
"297","290","          Day care and nursery schools","DNSCRX0",7235,7144,7386,7319,7502,7563,7755,7710,7746,7810,7734,7849,8320,8278,8139,7968
"298","291","        Commercial and vocational schools (99)","DVEDRX0",25502,27390,29140,31369,32085,33885,34033,32610,31375,30082,29856,30355,31591,32199,31261,31944
"299","292","      Professional and other services (121)","DPRSRX0",127744,129968,132051,136089,139286,140111,142967,142799,147877,147981,148580,148165,150216,148409,139801,135661
"300","293","        Legal services","DGALRX0",74350,76660,78400,80280,81962,81737,83404,83653,87027,87348,87219,87799,89005,87251,82562,80257
"301","294","        Accounting and other business services","DPRORX0",15888,16366,17007,18662,20028,21139,21918,22568,23307,24489,25276,25166,26579,26952,24133,22925
"302","295","          Tax preparation and other related services","DTAPRX0",11865,11808,11728,12899,13984,14866,16021,16919,17521,18491,18950,18611,19845,20852,18945,17695
"303","296","          Employment agency services","DGENRX0",1025,855,901,911,904,892,764,668,655,718,997,1215,1460,1213,793,779
"304","297","          Other personal business services","DTHERX0",2960,3670,4294,4773,5074,5324,5110,4979,5132,5282,5329,5348,5283,4848,4323,4401
"305","298","        Labor organization dues","DUNSRX0",13972,13930,14086,13370,12879,12371,11585,11074,11187,11009,10690,10717,10737,11174,11000,10563
"306","299","        Professional association dues","DAXSRX0",4901,4825,4943,5116,5377,5599,5887,6102,6310,6338,6539,6810,7011,6634,6638,6527
"307","300","        Funeral and burial services","DFUNRX0",18393,18015,17498,18566,18976,19206,20142,19391,20038,18797,18856,17677,16886,16416,15526,15431
"308","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRX0",74798,76953,80711,85257,89175,93438,92818,94608,96429,100456,102485,103670,103582,101183,95795,94576
"309","302","        Personal care services","DPCSRX0",58084,60181,62666,66615,70067,74182,74349,76772,79809,84040,86306,87430,87500,86105,81700,81034
"310","303","          Hairdressing salons and personal grooming establishments","DBBBRX0",29815,30237,32442,34071,35203,36910,37269,38580,39771,42629,44209,45319,46183,46259,45472,46470
"311","304","          Miscellaneous personal care services","DMPCRX0",28267,29933,30212,32537,34871,37291,37091,38200,40055,41414,42098,42115,41335,39892,36370,34823
"312","305","        Clothing and footwear services","DCFSRX0",16698,16767,18031,18632,19101,19250,18463,17830,16617,16415,16179,16240,16082,15080,14099,13553
"313","306","          Laundry and drycleaning services","DDRYRX0",7943,8109,8830,9175,9434,9553,9205,8865,8088,8019,8013,8209,8123,7637,7213,6833
"314","307","          Clothing repair, rental, and alterations","DLGRRX0",8090,8039,8624,8876,9074,9136,8730,8446,8052,7940,7727,7610,7544,7054,6508,6353
"315","308","          Repair and hire of footwear","DSCLRX0",675,625,578,581,592,558,523,516,479,457,439,423,416,391,383,366
"316","309","      Social services and religious activities (120)","DSOCRX0",79333,81036,83436,88033,93188,98751,106198,110600,114423,118407,120994,124387,129183,131584,132999,136359
"317","310","        Child care","DCHCRX0",22499,21742,21977,21869,22629,22957,23715,23836,23996,24183,23934,24263,25719,25574,25156,24658
"318","311","        Social assistance","DSCWRX0",36711,38552,40683,44717,49603,55420,62739,67696,70750,74286,77489,80166,83034,85819,87991,91830
"319","312","          Homes for the elderly","DELDRX0",7331,7546,7592,8410,9301,10283,11627,12373,12632,12997,13597,14381,14390,14702,15031,15548
"320","313","          Residential mental health and substance abuse","DMENRX0",2448,2553,2650,4070,5605,7411,9523,11530,12355,13111,13765,13883,14646,15416,15778,16962
"321","314","          Individual and family services","DFAMRX0",17551,18549,19859,20721,22110,23746,26099,27187,28538,30328,31540,33840,36197,37342,38744,40317
"322","315","          Vocational rehabilitation services","DVOCRX0",4513,4756,5061,5422,5753,6275,6626,6752,7002,7163,7270,6679,6152,6310,6619,6739
"323","316","          Community food and housing/emergency/other relief services","DCFORX0",1671,1767,1895,2258,2700,3182,3736,4189,4533,5055,5736,5905,6224,6739,6797,7203
"324","317","          Other social assistance, not elsewere classified","DSIARX0",3090,3267,3500,3734,4051,4461,5085,5650,5681,5628,5580,5477,5424,5304,5019,5050
"325","318","        Social advocacy and civic and social organizations","DSADRX0",14178,14327,14160,14739,14385,13997,13591,13168,13790,13940,13651,13986,14221,14206,14092,14139
"326","319","        Religious organizations' services to households","DRELRX0",5621,5987,5986,6013,5925,5742,5616,5455,5426,5493,5418,5409,5572,5443,5326,5387
"327","320","        Foundations and grantmaking and giving services to households","DGIVRX0",1183,1106,1254,1134,995,848,639,486,477,509,502,568,626,570,518,549
"328","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRX0",47579,47908,50751,55305,54873,56287,53397,51349,52383,54992,55275,55627,57504,57318,52131,49845
"329","322","        Domestic services","DDMSRX0",20745,20576,21475,24136,22595,23570,22329,21649,22947,23900,23716,24245,25469,25749,23244,21035
"330","323","        Moving, storage, and freight services","DMSERX0",12036,12552,14075,14908,15567,16105,14757,13377,13222,14514,14930,15017,15289,15045,13143,13255
"331","324","        Repair of furniture, furnishings, and floor coverings","DFRERX0",2657,2467,2354,2445,2317,2118,1787,1572,1482,1369,1329,1271,1174,1064,872,842
"332","325","        Repair of household appliances","DERERX0",3874,4293,4814,4921,4850,4700,4388,4182,4231,4234,3909,3834,3695,3487,3316,3231
"333","326","        Other household services","DMHSRX0",8429,8197,8198,9021,9663,9852,10171,10597,10513,10975,11390,11263,11879,11969,11489,11482
"334","327","      Net foreign travel","DFORRX0",-28723,-31951,-27850,-14741,-14047,-8188,-2347,-3896,-2169,-2912,-4980,-962,-10714,-25607,-19477,-22877
"335","328","        Foreign travel by U.S. residents (129)","DFTRRX0",72849,75851,82812,93162,96285,106795,101028,94637,91770,98570,99762,104109,102272,99115,94544,97137
"336","329","          Passenger fares for foreign travel","DAFTRX0",28187,29494,32580,36289,38293,42175,38727,35371,36574,41183,43072,46345,45790,43488,40123,42580
"337","330","          U.S. travel outside the United States","DUSTRX0",43279,44881,48628,54936,55878,62196,59515,56138,51558,53607,52698,53425,52225,51314,49721,49689
"338","331","          U.S. student expenditures","DUSSRX0",1422,1537,1720,2036,2264,2581,2987,3405,3703,3779,3992,4325,4241,4305,4670,4854
"339","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRX0",101572,107802,110662,107903,110332,114983,103375,98533,93939,101481,104742,105071,112986,124722,114021,120014
"340","333","          Foreign travel in the United States","DFTURX0",86161,91957,94520,91420,93388,97414,85725,80782,76646,85090,88757,89313,96921,107809,96118,102014
"341","334","          Medical expenditures of foreigners","DMEFRX0",1461,1640,1760,1844,1985,2081,1924,1747,1750,1748,1964,2037,2036,2090,2089,2087
"342","335","          Expenditures of foreign students in the United States","DEFSRX0",13364,13369,13475,14004,14336,14812,15627,16101,15674,14658,14021,13723,14062,14903,15624,15849
"343","336","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) (132)","DNPIRX0",142245,150877,140509,153872,164936,177782,191341,208977,218717,217643,211707,235135,245219,272865,277075,280013
"344","337","    Gross output of nonprofit institutions (133)","DNPERX0",636432,653411,663792,696719,720961,748985,785296,831103,844098,860458,874298,902477,926038,954929,970684,989237
"345","338","      Health, gross output","DHLGRX0",362138,367873,378324,393667,404198,412389,425377,449072,459239,468665,482156,495269,505941,517812,535539,545566
"346","339","        Outpatient services, gross output","DOUGRX0",43030,44597,44985,46050,47146,48478,51195,56604,58704,60638,61625,63186,64039,63031,64549,63474
"347","340","        Nonprofit hospitals, gross output","DHSORX0",288070,290534,297135,310122,318528,324809,333227,350630,358482,366945,378327,389591,399819,412039,427244,438133
"348","341","        Nonprofit nursing homes, gross output","DNXORX0",31085,32724,36173,37509,38545,39112,40923,41807,42033,41085,42205,42490,42074,42729,43731,43935
"349","342","      Recreation services, gross output","DRCGRX0",22494,22327,22715,23404,24744,26123,27876,29162,30205,31176,32145,33351,34867,36225,35338,35087
"350","343","      Education services, gross output","DEDGRX0",92908,96279,97180,101797,105419,109724,116875,122847,124426,126407,128705,134162,142585,146799,151804,157527
"351","344","      Social services, gross output","DSSGRX0",50418,52245,55960,61106,67311,74686,84286,89802,92336,91197,92188,93148,94445,97609,100156,100864
"352","345","      Religious organizations, gross output","DREORX0",54722,58484,57928,60934,61736,62668,65671,68263,67838,69676,69634,69531,71617,69957,68459,69245
"353","346","      Foundations and grantmaking and giving establishments, gross output","DFXORX0",13306,12446,11182,12357,14411,16237,19279,20259,19741,19810,20116,22550,23739,25953,24692,23136
"354","347","      Social advocacy establishments, gross output","DSAORX0",6359,6558,6805,6963,7444,7985,8698,10476,11211,10985,11215,12399,13457,14657,14796,14797
"355","348","      Civic and social organizations, gross output","DCIORX0",7443,7336,7216,7789,8207,8726,9317,10010,10471,10307,9762,9786,9526,9743,9569,9379
"356","349","      Professional advocacy, gross output","DSNGRX0",27482,30762,27200,29372,28020,30730,27935,31224,28610,32243,28376,32269,29788,36125,30119,33413
"357","350","    Less: Receipts from sales of goods and services by nonprofit institutions (134)","DNPSRX0",497163,505371,526787,545989,558626,573063,595172,622527,625248,642814,662591,667518,681122,683443,694985,710305
"358","351","      Health services to households","DHLRRX0",350062,354377,371300,385746,394699,404074,419821,447548,448680,464475,482509,486300,498033,500673,512857,525755
"359","352","        Outpatient services to households","DOUSRX0",33646,35093,36555,37870,38554,40530,42525,47699,49662,53307,55583,54386,54299,55848,56666,57806
"360","353","        Nonprofit hospitals' services to households","DNPHRX0",283077,285230,298593,310206,318366,325579,338663,360460,358725,371100,385887,391123,402609,404343,415170,426810
"361","354","        Nonprofit nursing homes' services to households","DNPNRX0",33633,34344,36518,38067,38173,38260,38915,39553,40338,40069,41039,40768,41060,40457,40979,41090
"362","355","      Recreation services to households","DRCRRX0",12353,12292,12440,12589,12979,13079,13365,13118,13314,14139,15561,15767,15468,14816,13975,14122
"363","356","      Education services to households","DEDRRX0",69495,71783,72771,73821,74535,76184,77978,74463,73289,72155,72108,72185,72564,72939,73160,74276
"364","357","      Social services to households","DSSRRX0",25344,26958,29511,32738,35811,39997,45345,49183,50645,52314,53126,53273,54438,54557,55006,56609
"365","358","      Religious organizations' services to households","DRELRX0",5621,5987,5986,6013,5925,5742,5616,5455,5426,5493,5418,5409,5572,5443,5326,5387
"366","359","      Foundations and grantmaking and giving services to households","DGIVRX0",1183,1106,1254,1134,995,848,639,486,477,509,502,568,626,570,518,549
"367","360","      Services of social advocacy establishments to households","DSASRX0",1641,1699,1651,1763,1884,1882,1847,1844,2074,2069,2143,2405,2582,2690,2648,2756
"368","361","      Civic and social organizations' services to households","DCISRX0",6010,6099,6016,6400,6481,6566,6543,6616,7043,7213,6793,6693,6661,6403,6242,6290
"369","362","      Professional advocacy services to households","DSNRRX0",27635,27510,27898,27454,26733,25952,25045,24216,24520,24496,24429,24922,25215,25363,25278,24615
"370",NA,"Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","363","  Control Group","DCGPRX0",1391172,1457190,1523944,1623406,1763616,1876591,1932807,2014125,2120230,2236493,2364364,2487356,2582390,2566279,2493912,2626837
"372","364","  PCE food and energy","DPFERX0",976566,991209,998955,1017138,1050072,1066689,1073150,1082892,1101348,1114334,1138236,1143406,1153817,1127846,1122087,1145870
"373","365","  PCE energy goods and services \1\","DNRGRX0",428093,438219,440969,453984,463418,465410,463923,473602,485330,490986,493743,481101,481745,464099,466544,474644
"374","366","  PCE excluding food","DPXFRX0",5527973,5734370,5961575,6296687,6650114,7003824,7202507,7409120,7627842,7891919,8159032,8391457,8589679,8545714,8380019,8547591
"375","367","  PCE excluding energy","DPXERX0",5670328,5871642,6098046,6424712,6786138,7145678,7349821,7547488,7761676,8025642,8309782,8574537,8783554,8753106,8574633,8750116
"376","368","  PCE excluding food and energy \2\","DPCCRX0",5123934,5319407,5540655,5860117,6199505,6545474,6742493,6938627,7145151,7401787,7665289,7911533,8110365,8087217,7917206,8076833
"377",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","369","    Market-based PCE","DPCMRX0",5317189,5504809,5719740,6011719,6341442,6646774,6824177,7016289,7221680,7464979,7736030,7938688,8126121,8073532,7948749,8132556
