"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65"
"64","56","          Pleasure aircraft","DAIRRX0",935,909,985,967,934,914,927,1017,1005,965,1000,966,984,1084,1107,1092,1080,1050,1006,1108,1159,1068,1094,1178,1071,1088,965,924,897,941,1061,971,928,995,1068,1077,1166,1034,1145,1219,1256,1283,1184,1152,1258,1197,1161,1373,1275,1368,1375,1438,1260,1241,1276,1054,1136,1102,1308,1456,1410,1504
"65","57","          Other recreational vehicles","DREVRX0",8609,9339,9379,8538,8708,8868,9586,9572,9711,9574,9879,10208,10513,10640,11363,11718,11510,12024,11768,12871,13666,12275,11909,11463,11260,11546,11540,11648,11986,12138,12567,12536,13173,13611,14182,14146,14589,13827,14958,16196,15365,15183,15701,14764,15201,14710,13138,14424,14649,14860,14826,13458,12689,11118,10348,8779,9186,9517,10235,10210,10001,10749
"66","58","      Recreational books (part of 90)","DRBKRX0",17525,17709,18399,17969,18142,19065,19058,19983,20423,20266,20288,20942,21014,20772,21061,21701,22526,23013,23659,24319,24453,25378,25384,25564,25337,25109,25159,25352,25526,25625,25620,25827,26233,26869,27789,27511,28275,28161,28713,28797,29292,29450,29857,30780,31682,31757,31317,31788,32379,32727,33741,34081,33245,33630,33425,32037,32183,32776,33225,33366,34496,34724
"67","59","      Musical instruments (part of 80)","DMSCRX0",2729,2711,2869,3005,2944,2988,2859,3033,2990,3089,3081,3261,3365,3362,3367,3426,3663,3704,3916,4174,4420,4711,4834,4756,4672,4864,4790,4937,5017,5104,5097,5032,4923,4820,5154,5542,5496,5582,5692,5600,5628,5735,5774,6044,6658,6182,6155,6261,6358,6756,6711,6933,6663,6559,6405,5783,5576,5605,5563,5704,5915,6055
"68","60","    Other durable goods","DODGRX0",69390,70050,70314,71130,72534,74834,75336,76843,77184,77170,79049,81138,82900,85778,87440,89322,93064,94315,97146,102137,102658,105942,106546,105873,104431,101923,101233,104388,107258,109304,110089,112561,111182,113682,117241,119959,120926,120649,121303,123944,125890,129090,128310,131115,135526,133821,131947,132203,132543,134860,135964,136237,133349,132551,130532,123331,125131,126549,128074,127804,133427,132975
"69","61","      Jewelry and watches (part of 119)","DJRYRX0",28646,29763,30116,30918,31804,32641,33008,33138,33142,33325,34181,35286,36101,37297,37837,39249,40678,41073,42312,44509,44179,45671,47029,46075,44820,44174,43770,44419,46289,46761,46766,48144,48495,49537,50892,52654,53391,52433,53075,54426,55432,56715,55237,57391,59885,57956,57515,57493,56617,57985,57738,57083,55247,53968,52455,47658,48803,50142,50622,50315,53185,52365
"70","62","        Jewelry","DJLYRX0",25346,26367,26713,27458,28280,29060,29423,29575,29601,29760,30521,31506,32168,33150,33605,34762,36097,36296,37276,39228,39035,40384,41583,40730,39449,38985,38632,39095,40578,40941,41043,42055,42535,43520,44529,46145,46889,45898,46657,47877,48765,50092,48783,50643,52847,51070,50657,50606,49886,50924,50688,49972,48166,47045,45708,41847,42793,43810,44130,43777,46392,45517
"71","63","        Watches","DWTCRX0",3294,3388,3394,3449,3511,3566,3568,3545,3522,3546,3640,3759,3915,4132,4219,4476,4568,4770,5034,5278,5137,5279,5438,5336,5368,5182,5131,5321,5715,5826,5725,6100,5963,6017,6372,6514,6505,6541,6418,6549,6666,6623,6455,6748,7038,6886,6858,6887,6729,7065,7056,7129,7122,6967,6793,5806,6013,6356,6531,6594,6830,6915
"72","64","      Therapeutic appliances and equipment (42)","DTAERX0",24004,24028,23909,24110,24549,25675,26269,27030,27448,27477,28460,28706,28987,29903,30941,31568,31397,31362,32067,33591,33977,34613,33634,33980,33449,32675,32394,33686,33569,35155,36041,36310,35263,35822,36691,36819,36660,37000,37012,37410,37506,37957,38568,38913,39835,39287,38871,39204,40400,41397,42189,42419,41957,42558,42623,41514,41425,41076,41317,41833,43331,43735
"73","65","        Therapeutic medical equipment","DTMERX0",7475,7447,7473,7429,7509,7787,7909,8147,8253,8212,8505,8523,8919,9527,10117,10409,10554,10863,11018,11774,11849,12228,12652,12994,12979,13150,13160,13536,13592,14022,14182,14286,14087,14368,14846,14997,15096,15441,15592,15664,15895,15959,16213,16764,17114,16966,17256,17650,17982,18212,18418,18522,18589,19085,19063,18576,18546,18516,18709,19059,19666,19948
"74","66","        Corrective eyeglasses and contact lenses","DEYERX0",16710,16767,16613,16871,17241,18105,18588,19116,19434,19509,20208,20445,20298,20581,21013,21344,21006,20629,21191,21943,22258,22504,21039,21030,20505,19538,19243,20165,19990,21153,21886,22052,21195,21472,21859,21833,21571,21562,21420,21748,21610,21998,22354,22150,22720,22320,21621,21566,22428,23191,23773,23900,23377,23492,23576,22953,22896,22580,22631,22801,23691,23818
"75","67","      Educational books (96)","DEBKRX0",11596,11420,11678,11217,11068,11291,11081,11309,11331,11048,10988,11302,11313,11280,11490,11606,11923,11971,11559,12411,11708,12330,11786,11431,11444,11353,11342,11477,11564,11156,10982,10997,10830,11178,11434,10802,11095,10822,10763,10521,10530,10200,10186,10026,9979,9932,9302,9237,9073,8952,9189,9240,8759,8523,8282,7853,7788,7755,7824,7334,7311,7159
"76","68","      Luggage and similar personal items (part of 119)","DLUGRX0",6942,6520,6358,6353,6494,6662,6479,6851,6812,6771,6887,7261,7627,8119,8017,7761,9237,9575,10244,10654,11206,11672,11854,11865,12028,10996,10665,11330,12083,12294,12333,12773,12236,12480,13067,13956,13865,14036,13842,14835,15292,16793,16629,16857,17380,17879,17133,16857,16923,16765,16761,17001,17094,17114,16838,16169,16264,16744,16923,16888,17400,17655
"77","69","      Telephone and facsimile equipment (67)","DTCERX0",1502,1550,1590,1606,1587,1665,1681,1722,1741,1735,1758,1766,1854,1962,2084,2159,2301,2519,2736,2907,3110,3223,3403,3556,3642,3734,4001,4303,4412,4552,4591,4842,4841,5121,5527,5893,6085,6475,6727,6805,7152,7420,7682,7918,8457,8816,9242,9585,9775,10066,10464,10987,10837,11096,11175,11306,12221,12067,12830,13103,14090,14055
"78","70","  Nondurable goods","DNDGRX0",1428144,1435165,1440261,1447690,1457063,1475787,1486286,1498322,1507432,1508261,1532540,1543316,1554719,1573924,1585529,1607217,1636906,1652274,1660134,1694136,1679513,1713067,1724719,1741570,1731414,1739683,1748107,1763233,1770395,1772672,1777696,1800221,1819521,1827959,1863817,1871298,1888935,1893954,1907813,1927578,1949629,1961527,1971843,1990700,2003718,2011559,2024538,2054704,2060218,2058983,2067748,2070345,2054493,2064619,2035625,2010114,2012022,2008290,2016855,2032344,2053486,2061657
"79","71","    Food and beverages purchased for off-premises consumption","DFXARX0",549903,547214,547280,549664,552158,554754,553710,555476,559389,556466,559770,559777,559257,563788,567602,571544,578277,584041,589071,598146,592174,600935,601719,607591,605418,609411,607286,608320,605797,606778,609159,614364,622626,617172,626488,623340,634515,635653,639118,647628,656622,658632,669936,674869,676664,684161,686608,697545,697277,693466,696380,702742,700262,699755,691232,675146,675183,681163,687798,696340,702737,698096
"80","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX0",483991,480947,480374,482130,483280,485213,484072,485930,488424,485374,487671,487065,486021,490170,493122,496097,502425,507030,511524,518817,512462,520062,519593,524451,522311,525595,524338,525667,522779,523125,525868,530745,537750,533080,540378,536758,546115,546180,549168,555927,564156,564830,573064,576093,576193,582628,583910,592979,592072,587958,590923,597426,595305,594231,585387,571598,572010,578241,584979,592537,596312,591583
"81","73","        Food purchased for off-premises consumption","DFOFRX0",427858,425170,424834,426161,426241,427695,425907,426662,428770,426970,429510,428910,427728,431097,433254,435951,441679,446338,450418,456879,452199,458813,458408,462372,460492,463043,462045,463266,460263,460607,463200,468033,473467,469393,474754,471244,479864,479502,482181,487403,495070,495767,502785,505210,505274,510925,511609,519979,519255,515405,518427,524010,522836,521597,513015,501960,502564,508304,514449,520862,523550,518730
"82","74","          Cereals and bakery products","DCBPRX0",75668,75489,75239,75519,75453,76289,76960,77847,78460,78054,78190,77694,78289,80089,81264,82596,83683,84512,85915,87729,87605,89448,90138,90952,91410,92541,92829,93951,93923,94041,94400,95239,95302,94141,95053,95026,96222,96301,96604,97687,98591,99690,101259,101802,101967,102880,102467,103295,102866,102134,102695,103643,102505,100827,99112,96207,95647,96373,96814,97689,99283,99403
"83","75","            Cereals","DGRARX0",26633,26561,26530,26633,26686,27232,27865,28391,28678,28437,28272,27942,27806,28024,28030,28147,28150,28115,28282,28670,28384,28577,28667,28694,28793,28795,28409,28248,27900,27726,27759,27821,27785,27496,27858,27970,28174,28478,28455,28748,28987,29560,30032,30276,30559,30531,30571,30761,30606,30206,30373,30593,29965,29429,28720,27787,27844,28144,28209,28662,29218,29361
"84","76","            Bakery products","DBAKRX0",48755,48650,48422,48595,48461,48708,48692,49026,49345,49193,49518,49371,50134,51748,52950,54190,55305,56197,57456,58895,59077,60754,61363,62166,62529,63675,64370,65678,66014,66314,66641,67425,67526,66652,67199,67057,68053,67823,68149,68940,69605,70130,71226,71526,71413,72348,71899,72535,72261,71924,72318,73046,72526,71384,70372,68398,67787,68215,68590,69016,70057,70038
"85","77","          Meats and poultry","DMAPRX0",109652,109655,109038,107949,108006,108834,106628,105785,105760,105269,105743,106237,106958,108242,108815,109675,111406,112037,112756,113373,110956,111177,110318,111728,110005,109551,108707,108229,107833,107736,108396,109739,111039,109886,110993,107632,109502,109583,109432,111887,112205,112842,114995,115544,115250,116160,117123,118455,118638,116590,118399,120738,121366,123050,121373,118163,118712,120569,123357,125567,126315,123197
"86","78","            Beef and veal","DBEERX0",36008,35978,35883,35606,35669,36192,35399,34721,34056,33615,33653,33732,33976,34297,34539,34740,35211,35294,35282,35118,34367,34153,33958,34419,32788,32321,32561,32874,32830,32617,33008,33159,32648,31836,31834,29070,29836,30089,30196,31216,31307,31244,32433,32516,31778,32110,32444,32706,32700,31862,32315,32736,32651,32826,31804,31203,31967,32734,33699,34114,34591,32839
"87","79","            Pork","DPORRX0",22927,22960,22588,22013,21786,21393,20563,20299,20241,19916,19995,20091,20393,20991,21371,21865,22265,22158,22214,22141,21240,20924,20743,20938,20767,20643,20284,20105,19890,20001,20403,20839,21049,21055,21341,21136,21515,21408,21070,21363,21255,21402,21996,22004,21889,21919,21985,22302,22352,22108,22577,23026,23315,23364,23089,22561,22885,23557,24363,25247,24570,23725
"88","80","            Other meats","DMEARX0",17990,17850,17900,17697,17827,18098,18034,18048,18098,17929,18054,18200,18211,18577,18745,18857,19002,19148,19441,19639,19486,19596,19400,19473,19694,19779,19713,19329,19252,19083,19027,19371,20068,19767,19977,19893,20148,20440,20616,20849,20836,20940,21030,21326,21354,21315,21490,21685,21796,21604,22152,22463,22540,22846,22568,21755,21555,21920,22078,22565,23044,22610
"89","81","            Poultry","DPOURX0",33397,33535,33338,33305,33401,33883,33354,33365,33889,34286,34500,34659,34816,34797,34600,34654,35361,35842,36185,36777,36158,36762,36484,37173,36894,36919,36311,36132,36084,36233,36176,36554,37358,37272,37867,37514,37994,37642,37553,38464,38810,39259,39534,39695,40232,40825,41213,41773,41799,41027,41369,42531,42892,44038,43949,42675,42338,42412,43292,43752,44165,44071
"90","82","          Fish and seafood","DFISRX0",8774,8596,8511,8546,8682,8714,8749,8659,8363,8355,8551,8773,8691,8547,8418,8512,8745,8826,8924,9004,8878,8926,9027,9150,9137,9230,9433,9529,9656,9532,9613,9772,9917,9826,9975,9984,10180,10273,10325,10486,10593,10684,10836,10822,10777,10781,10724,10898,10887,10681,10800,10824,10738,10576,10457,10358,10519,10632,10781,11154,11283,11096
"91","83","          Milk, dairy products, and eggs","DMDERX0",51313,50974,50531,49995,49175,49002,47520,46490,47271,47272,48311,47579,47435,47795,47764,47045,46540,48372,48742,48768,48758,49564,49601,50170,49772,49830,49261,49457,49560,49606,50029,50792,51752,51924,52221,51225,52543,51133,51883,54104,54126,54261,54450,54505,54635,55649,56631,57594,57394,56853,54110,54170,54188,54795,53505,52767,53663,55045,55443,55251,54671,54770
"92","84","            Fresh milk","DMILRX0",18630,18420,18260,17971,17416,17219,16473,15804,15898,15905,16196,15564,15588,15945,16053,15652,14884,16148,16204,15460,16008,16228,16173,16443,16133,16129,15989,16082,16380,16488,16734,16829,17123,17138,17167,16466,17253,15804,15873,16752,16603,16711,16807,16594,16491,17002,17393,17701,17930,17580,16261,16441,16708,16959,16279,16088,16667,17186,17074,16661,16264,16341
"93","85","            Processed dairy products","DDAIRX0",27887,27764,27780,27747,27649,27536,26633,26222,26625,26485,27093,26869,26606,26696,26545,26168,26212,26590,26835,27074,26939,27547,27729,28194,28125,28106,27551,27578,27562,27677,27874,28250,28663,28944,29406,29515,30276,29857,29907,30797,31060,31221,31633,31965,32018,32497,32785,33487,33310,33147,32160,32167,32156,32485,31759,31196,31447,32404,32877,33245,33108,33063
"94","86","            Eggs","DGGSRX0",5074,5056,4779,4587,4431,4537,4633,4643,4886,4998,5132,5209,5296,5236,5251,5286,5461,5680,5742,6253,5844,5823,5732,5579,5546,5620,5747,5830,5669,5501,5490,5762,6002,5875,5695,5318,5176,5480,6043,6502,6440,6326,6019,5961,6135,6157,6447,6405,6181,6145,5755,5651,5466,5504,5557,5558,5651,5608,5628,5474,5412,5473
"95","87","          Fats and oils","DFATRX0",11701,11577,11451,11394,11366,11371,11312,11315,11221,11062,11144,11140,11079,11081,10554,10273,10671,10877,10912,11144,10999,11152,11018,11013,10729,10676,10383,10348,10271,10270,10369,10556,10733,10856,11209,11220,11360,11107,11128,11372,11542,11747,11892,12119,12259,12645,12780,12855,12805,12772,12909,13193,13209,12863,12505,12018,12019,12096,12169,12354,12472,12384
"96","88","          Fresh fruits and vegetables","DFAVRX0",42757,40959,42159,43688,44331,43404,44510,45494,45754,46106,45707,45696,44754,44915,46130,46825,48336,49036,49607,51414,51820,53260,53002,52623,53324,54061,54895,55992,53536,54553,55267,56119,56266,54891,54737,55527,57021,57557,58401,54868,59832,58187,59176,59600,59077,60374,58749,60650,59914,60182,62598,62172,61686,61516,59698,60925,62315,62619,63705,65432,64021,62544
"97","89","            Fruit (fresh)","DFRURX0",17576,17095,16533,17009,17172,16583,16660,16524,16958,16879,17239,17527,17413,17697,17592,17830,17525,17264,17868,18731,18585,20163,19931,19755,20353,20037,20367,20647,20524,20713,20862,20892,21022,20651,20610,20859,20944,20496,21134,20422,21465,22208,22128,22089,21857,22463,21949,22578,22084,22177,22906,22778,22714,22839,22681,23311,23825,24094,24258,24598,24205,24582
"98","90","            Vegetables (fresh)","DVEGRX0",24970,23657,25499,26566,27058,26754,27836,29056,28807,29276,28435,28108,27268,27138,28488,28946,30861,31915,31808,32720,33310,33068,33050,32851,32948,34030,34534,35358,33004,33828,34395,35223,35240,34233,34120,34661,36071,37069,37265,34450,38370,35986,37043,37508,37220,37911,36799,38073,37833,38008,39699,39400,38975,38673,37007,37605,38483,38524,39441,40827,39809,37989
"99","91","          Processed fruits and vegetables","DPFVRX0",20217,20094,20007,20114,20029,19881,19585,19658,19632,19507,19682,19630,19107,18893,18724,18754,18835,18786,18786,18893,18602,18754,18694,18657,18400,18358,18050,17671,17265,17005,16904,17040,17555,17400,17728,17795,17930,18053,18152,18476,18637,18546,18689,18699,18407,18407,18433,18608,18609,18595,18611,18904,18741,18471,18041,17187,17005,16932,17210,17546,17713,17737
"100","92","          Sugar and sweets","DSWERX0",32347,32191,31889,31955,31805,31973,31843,32069,32098,31651,31791,31809,31503,31566,31615,31753,32277,32237,32400,32743,32265,32977,32937,33213,33143,33426,33302,33208,32912,32542,32395,32616,33057,32773,33418,33362,33852,34069,34082,34566,34796,34805,35088,35044,35112,35015,35055,35513,35578,35395,35268,35636,35525,35377,35153,34123,33749,34087,34488,34492,34747,34557
"101","93","          Food products, not elsewhere classified","DOFDRX0",75839,75974,76373,77337,77737,78448,78946,79502,80355,79923,80556,80515,80096,80218,80308,80896,81656,82126,82830,84245,82745,83931,83962,85116,84777,85515,85345,85077,85384,85419,85951,86333,87991,87798,89468,89429,91212,91446,92205,93950,94751,94999,96401,97081,97805,99024,99746,102150,102623,102202,103129,104930,105143,104461,103624,100620,99404,100500,101147,102113,103622,103447
"102","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRX0",56378,56022,55808,56202,57142,57588,58150,59176,59561,58389,58194,58181,58295,59050,59813,60097,60709,60698,61122,61956,60348,61327,61264,62135,61876,62589,62336,62447,62541,62545,62702,62770,64306,63710,65618,65505,66248,66676,66985,68530,69087,69063,70278,70882,70918,71702,72299,73000,72819,72553,72497,73414,72462,72628,72387,69627,69434,69924,70518,71664,72754,72857
"103","95","          Coffee, tea, and other beverage materials","DCTMRX0",6577,6821,6908,7186,7445,7662,7867,8071,8049,7121,6695,6957,7017,7057,7195,7308,7428,7467,7505,7584,7379,7477,7520,7620,7603,7714,7676,7669,7649,7622,7595,7638,7796,7798,8033,8049,8136,8231,8294,8458,8482,8463,8625,8743,8819,8978,9142,9271,9343,9325,9381,9505,9411,9306,9282,9165,9217,9352,9370,9513,9619,9565
"104","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRX0",49754,49178,48898,49022,49698,49927,50284,51103,51496,51250,51522,51219,51276,52000,52626,52793,53282,53230,53615,54370,52968,53849,53743,54515,54272,54874,54661,54778,54890,54920,55104,55129,56506,55911,57584,57456,58111,58445,58693,60073,60605,60600,61653,62139,62099,62725,63157,63731,63478,63230,63118,63911,63053,63323,63107,60466,60224,60582,61155,62158,63142,63298
"105","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRX0",65569,65889,66541,67161,68481,69144,69272,69215,70619,70752,71767,72375,72877,73252,74098,75050,75474,76635,77196,78992,79359,80541,81770,82796,82780,83517,82667,82348,82701,83301,82946,83293,84563,83792,85820,86301,88094,89184,89647,91383,92146,93464,96515,98422,100086,101094,102270,104145,104866,105225,105167,104971,104555,105115,105529,103198,102785,102479,102334,103334,106026,106135
"106","98","        Spirits","DLIQRX0",13927,13777,13833,13913,14264,14172,14100,13696,13811,13908,13995,14057,14579,14958,15471,15836,15898,16265,16394,16806,17042,17502,18007,18305,18477,18542,18638,19080,19374,19465,19421,19502,19602,19641,20182,20349,20591,20900,21001,21242,21307,21611,22002,22544,23209,23485,23803,24179,24613,24914,25011,24859,24818,24897,25083,24871,24678,24401,24372,24432,25157,25372
"107","99","        Wine","DWINRX0",12520,12607,12769,12890,13176,13307,13363,13262,13498,13483,13617,13738,13989,14128,14439,14748,14852,15094,15153,15550,15644,16053,16404,16594,16843,17060,17279,17622,17797,17859,17759,17725,17882,17950,18450,18808,18969,19231,19506,19746,20044,20309,20598,21202,21706,21877,22213,22755,22983,23292,23398,23237,23270,23288,23346,22981,22901,22917,23042,23356,24076,24130
"108","100","        Beer","DMLTRX0",39316,39699,40134,40555,41241,41864,42005,42460,43521,43577,44384,44814,44517,44361,44360,44622,44879,45429,45809,46794,46826,47118,47476,48013,47547,48001,46801,45654,45527,45981,45771,46074,47094,46201,47185,47137,48534,49054,49143,50395,50794,51543,53916,54675,55169,55732,56253,57209,57269,57022,56765,56877,56472,56931,57105,55367,55224,55170,54932,55551,56808,56661
"109","101","      Food produced and consumed on farms (6)","DFFDRX0",592,605,573,575,575,567,530,500,499,480,463,458,473,484,498,513,497,490,463,435,426,405,404,387,365,331,320,351,355,388,393,379,355,341,316,295,319,294,309,319,323,336,356,356,392,447,440,437,368,326,321,343,387,413,408,448,465,464,472,442,405,411
"110","102","    Clothing and footwear","DCLORX0",197633,199726,203309,203504,204899,209958,213485,214833,214928,213011,220091,222877,227638,231464,229780,235117,243615,245717,247351,247989,252029,257489,260300,262501,258289,259975,259669,264148,267139,267262,265636,273949,274219,281794,288811,288860,296406,292867,296860,302960,307428,314657,315051,325032,329488,327163,331715,337539,341650,342867,345724,345003,343094,351624,341448,330814,328205,324551,324944,329526,339005,344368
"111","103","      Garments","DGARRX0",160596,161681,165108,164798,165570,169962,173108,174157,174101,172090,178410,180826,184293,187466,185874,189646,196812,198184,199288,199424,202734,207834,209713,211949,208493,209388,209681,213717,215795,216557,215157,222335,222921,228939,234619,234663,241041,238418,242227,248026,251928,258057,259162,266755,270943,268850,271869,277192,281062,281753,284503,284002,282817,290010,281056,272776,270749,268114,268245,272687,280652,285828
"112","104","        Women's and girls' clothing (10)","DWGCRX0",90299,90568,92264,91814,92348,95417,97063,97835,96772,95288,99107,100589,102968,104856,104474,107747,112590,113462,114251,114496,117439,121199,122397,122873,120353,121934,122726,125954,127085,127012,125875,130150,130491,133777,136813,137642,141471,139348,141629,144500,147794,151840,151870,156206,159405,156842,158485,161209,162206,163593,167465,167042,166469,171714,164588,160176,160061,158075,157000,159419,163992,168074
"113","105","        Men's and boys' clothing (11)","DMBCRX0",62402,62909,64681,64901,65378,66515,67701,67958,68937,68777,70706,71385,72119,73285,72111,72707,74541,74872,75323,75093,75559,76592,76968,78305,77527,76820,76197,76826,77450,78257,78002,80742,80796,83352,85806,84893,87034,86457,87931,90682,91061,92974,93746,96454,97483,97934,99352,101519,104134,103283,101854,102024,101437,103124,101421,98134,96325,95916,97195,98886,101942,102980
"114","106","        Children's and infants' clothing (12)","DCICRX0",7827,8163,8127,8059,7811,7969,8285,8302,8353,7995,8563,8820,9177,9289,9252,9148,9652,9827,9689,9811,9728,10052,10357,10771,10615,10634,10759,10949,11263,11288,11276,11447,11633,11814,12010,12129,12535,12614,12666,12850,13073,13245,13546,14093,14049,14080,14042,14479,14784,14896,15149,14910,14894,15167,15036,14452,14361,14110,14035,14366,14705,14754
"115","107","      Other clothing materials and footwear (13 and 17)","DOCCRX0",37057,38117,38235,38774,39424,40069,40431,40733,40893,41025,41738,42099,43423,44074,43997,45605,46918,47674,48224,48764,49491,49790,50760,50682,49929,50759,50120,50538,51473,50793,50570,51686,51355,52921,54260,54265,55422,54493,54656,54934,55499,56599,55893,58275,58551,58314,59843,60347,60592,61117,61229,61013,60297,61640,60396,58061,57483,56480,56732,56912,58435,58678
"116","108","        Clothing materials","DCSMRX0",2848,2741,2628,2706,2981,2705,2689,2812,2726,2785,2917,2900,2980,3162,3174,3318,3490,3520,3617,3685,3814,3980,3882,3847,3940,3963,4044,4284,4339,4360,4424,4634,4500,4703,4796,4727,4915,4848,4956,4983,5082,5090,5181,5386,5548,5403,5504,5484,5660,5962,5879,5906,5737,5914,5821,5737,5632,5507,5432,5567,5592,5502
"117","109","        Standard clothing issued to military personnel","DMICRX0",291,290,289,288,283,284,289,295,309,315,317,317,311,308,303,297,287,284,287,292,305,314,322,329,334,338,340,345,344,360,389,425,495,532,542,527,448,377,329,309,343,373,395,411,407,406,415,432,426,413,405,403,404,406,410,414,419,415,403,382,356,396
"118","110","        Shoes and other footwear","DSHURX0",33913,35099,35348,35804,36155,37117,37497,37655,37897,37959,38532,38912,40163,40631,40547,42017,43168,43897,44347,44813,45397,45517,46583,46535,45678,46483,45756,45918,46802,46082,45762,46627,46362,47686,48924,49015,50062,49272,49372,49643,50073,51137,50317,52477,52599,52505,53923,54431,54507,54752,54951,54714,54160,55327,54173,51925,51445,50569,50903,50973,52493,52784
"119","111","    Gasoline and other energy goods","DGOERX0",264068,266206,263230,263802,267371,269082,269164,268408,270173,273937,275142,276449,278797,283252,285925,287099,289031,295483,291922,293390,282878,288297,289538,287789,289056,285392,290727,291617,290597,294052,295722,295562,296103,299370,304944,308198,306857,307539,305594,306119,309849,306406,302697,300343,296425,297229,299991,299866,298367,296372,296123,292774,287179,284008,274737,282206,286954,286473,285092,283472,283958,284517
"120","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRX0",234997,235206,232861,232320,235738,239859,239506,240107,243389,245921,246774,248124,251940,254987,258207,259282,259766,265246,263088,265851,257756,261810,263596,262203,262608,259688,265289,266621,265270,267398,269063,268265,271203,274426,278388,281097,281511,282774,280984,283092,286701,284877,282477,281136,278282,277321,279812,280006,277730,276927,277544,274869,269854,268403,259511,263623,266013,266107,265740,263285,264025,265884
"121","113","        Gasoline and other motor fuel","DGASRX0",229303,229696,227514,227049,230517,234702,234497,235218,238858,241394,242206,243441,246822,249498,252657,254068,255162,260974,258968,261540,253301,257108,258844,257539,258119,255457,261164,262666,261296,263445,265041,264077,266821,269886,273728,276422,276871,278112,276213,278033,281259,279228,276686,275281,272464,271603,274104,274351,272014,271168,271812,269359,264707,263490,254890,258922,261175,261284,260873,258439,259158,260997
"122","114","        Lubricants and fluids","DLUBRX0",5268,5133,5003,4945,4923,4892,4779,4693,4429,4440,4477,4571,4904,5167,5218,4994,4595,4392,4258,4404,4488,4706,4751,4670,4523,4297,4231,4120,4128,4128,4185,4304,4466,4600,4706,4724,4695,4717,4811,5083,5452,5644,5785,5857,5819,5717,5704,5652,5705,5752,5734,5518,5151,4914,4627,4723,4839,4842,4876,4853,4872,4895
"123","115","      Fuel oil and other fuels (29)","DFULRX0",30333,32761,32017,33374,33458,30487,30989,29388,27602,28976,29373,29308,27527,29121,28470,28575,30278,31361,29678,28066,25466,26978,26371,26022,26916,26138,25800,25338,25687,27129,27104,27818,25162,25196,26898,27512,25573,24935,24781,23071,23151,21533,20222,19197,18154,19900,20181,19879,20644,19455,18577,17916,17357,15872,15515,18472,20522,20102,19195,20048,19802,18610
"124","116","        Fuel oil","DOILRX0",27423,29576,28846,30155,30016,27241,27717,26164,24895,26055,26520,26517,24974,26433,25990,26102,27411,28216,26605,24765,21644,23892,23907,23345,24474,23318,22925,22963,23548,24556,23983,25106,22503,22806,24497,24894,23229,22516,22177,20568,20216,19122,18213,17309,16320,17762,17972,17742,18559,17483,16512,15845,15205,13611,13359,16384,18670,18319,17395,17923,17670,16508
"125","117","        Other fuels","DLPFRX0",2993,3266,3238,3307,3489,3271,3301,3232,2768,2971,2922,2871,2643,2786,2615,2612,2940,3174,3086,3250,3693,3043,2486,2690,2497,2796,2841,2418,2241,2613,3056,2734,2658,2424,2467,2650,2387,2440,2603,2502,2919,2416,2015,1893,1835,2139,2208,2135,2086,1973,2063,2071,2165,2333,2202,2085,1885,1813,1816,2133,2139,2105
"126","118","    Other nondurable goods","DONGRX0",437033,442328,444138,448464,451157,459126,465725,474540,478424,482279,492753,498865,502925,509626,517719,527188,537197,540209,542846,564807,558481,572202,578493,587795,584002,588775,595512,603304,609769,608818,611925,619313,628952,632017,645768,653625,652720,659542,667035,671235,676082,681578,683836,690681,701891,703742,706926,721078,724726,728510,732052,732842,727656,735219,736090,726059,725555,719188,721687,726037,731867,739422
"127","119","      Pharmaceutical and other medical products (40 and 41)","DPHMRX0",113966,116321,117937,120108,121614,124090,126432,129196,131193,134376,138996,144002,147802,152490,156685,161423,168043,170769,170158,184045,175213,189109,193540,200444,197790,201119,210107,215255,218249,215839,217969,221176,228085,228795,234683,239743,235497,241241,243967,245787,247052,247761,247186,247075,250377,255753,257534,263517,265883,267736,266511,265250,266465,268663,271075,272868,273361,274323,275677,274687,271231,271891
"128","120","        Pharmaceutical products","DPNPRX0",112419,114788,116411,118630,120167,122646,125017,127776,129792,132995,137613,142644,146377,150940,155024,159720,166339,169020,168387,182163,173303,187156,191521,198377,195727,199034,208035,213125,216116,213633,215738,218931,225876,226540,232351,237389,233126,238816,241519,243327,244554,245253,244639,244443,247690,253088,254823,260745,263059,264877,263621,262345,263549,265672,268085,269950,270447,271413,272737,271696,268158,268778
