"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158"
"54","46","    Farm product raw material wholesalers","S42250",12902,13459,13760,14057,13671,13564,13705,13297,13184,14081,14534,13480,13311,13410,13345,12621,12452,12954,12656,12263,12522,12937,13032,12481,12249,12151,12204,12479,12326,11985,11760,12575,12707,12745,12359,12226,12776,13073,13584,13685,13712,13076,12252,12040,12450,13240,13583,13839,13725,13614,13222,13075,13185,13305,13904,14030,13689,13362,13482,13460,13328,13113,12901,12412,12269,12674,14420,14977,15368,14516,14689,14486,14262,13938,13609,13651,13988,14102,13953,14355,15456,18976,18985,18324,19015,19472,19817,19859,18971,17979,16413,15407,14461,13971,13511,13578,14004,14734,15975,16282,15936,16289,16968,16708,16124,15952,15684,16048,16221,16514,16468,16916,17805,18032,18740,18702,18755,23775,27133,25221,23871,23112,23006,22351,22800,24015,25861,28188,32426,35155,37742,39970,42363,43394,41083,40918,40055,41836,39653,37825,33792,29254,25925,23617,24054,23572,24524,25549,28591,25822,23787,23251,22537,25288,31312
"55","47","    Chemical and allied products wholesalers","S42260",4529,4630,4672,4555,4448,4736,4766,4774,4636,4630,4770,4733,4776,4717,4735,4879,5062,4819,5026,4939,4939,4882,5046,5084,5167,5244,5209,5248,5307,5270,5439,5301,5268,5264,5306,5464,5387,5470,5571,5536,5525,5562,5616,5522,5326,5272,5308,5419,5339,5301,5488,5648,5598,5565,5553,5402,5453,5444,5372,5418,5375,5512,5619,5653,5807,5765,5733,5886,5928,5943,6055,6133,6300,6360,6256,6057,6073,6059,6106,5868,5854,5791,5749,6145,5822,6057,6060,6173,6371,6460,6734,6771,6856,6961,6972,6950,6987,7176,7222,7389,7201,7175,7137,7289,7482,7733,7793,7809,7884,7780,7823,7862,7923,8099,8002,8054,7894,7608,7576,7601,7969,8052,8118,8184,8176,8369,8562,8249,8338,8249,8651,9006,8948,9036,9208,9503,9563,9653,10383,10564,10189,9513,8676,8486,7983,8147,7687,7587,7328,7556,7529,7450,7571,7427,7455
"56","48","    Petroleum and petroleum products wholesalers","S42270",5440,5372,5141,4969,4923,4702,4664,4629,4712,4704,4636,4572,4324,4001,3967,4029,4158,4049,3998,3950,4218,4098,3953,3823,3877,3846,3909,4032,3942,4082,4312,4367,4597,4696,5017,5070,5334,5546,5623,5418,5337,5715,5636,5824,5758,5928,6277,5928,5746,5829,5764,5869,6190,6017,5845,5748,5609,5335,5238,5092,5214,5392,5736,6019,5851,5623,5830,5797,6170,6127,6147,6714,7089,7334,7159,6489,6150,6373,6287,6628,6687,6725,6904,7209,7393,7650,7507,7566,7760,7976,9260,9584,9624,10453,10415,10655,10565,10846,11801,11485,11319,11159,12484,13724,14993,14810,14431,14523,15888,15439,14972,15016,16171,15891,16190,15342,14803,14064,14547,13714,13184,13850,14793,16174,16219,16105,15933,15718,16247,17514,18666,20153,19166,19656,18526,20239,20826,22947,23699,23661,22434,17291,13639,11234,11995,12328,13139,13222,14368,14930,14806,15757,16111,17111,18608
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","S42280",4897,4737,4608,4817,4668,4941,4907,4976,5081,4909,4922,5232,5079,5184,5494,5105,5082,5269,5159,5283,5335,5441,5697,5482,5578,5769,6083,5805,5994,5816,5943,5900,5756,5747,5718,5789,5878,5918,5860,5930,6046,5893,5908,5965,5992,6047,6079,6165,6154,6150,6085,6099,6076,6232,6116,6107,6183,6146,6012,6058,6165,6128,6305,6365,6341,6248,6268,6082,6333,6464,6539,6553,6537,6452,6564,6460,6519,6518,6583,6339,6577,6601,6841,6840,6895,6888,6866,6948,6916,6982,6991,6969,6812,6841,6980,7230,7391,7502,7448,7495,7458,7491,7365,7742,7759,7924,7968,7900,7817,7785,8141,8215,8395,8225,8159,8229,8282,8273,8460,8595,8833,8902,8816,8983,8846,8980,9265,9004,9275,9318,9328,9410,9659,9747,9822,9744,9954,10010,10116,10137,10188,10278,10415,10608,10495,10609,10762,10513,10414,10563,10254,10406,9911,10078,10221
"58","50","    Miscellaneous nondurable goods wholesalers","S42290",15033,14721,14685,14913,14898,14757,14582,15115,15579,15286,15214,15442,15125,15538,15670,15388,15558,15815,15870,15760,15854,15643,16294,16608,16740,16368,16460,16587,15806,16039,16243,16616,16910,16796,16807,16764,16832,16923,16820,16650,16730,16776,16719,16892,16903,17193,17002,17223,17270,17630,17389,17567,17815,17983,17832,17874,17377,17190,17046,16633,16321,16259,16349,16388,16596,16334,16641,16534,16304,16314,16046,15969,15761,15696,16026,15783,15387,15345,15378,15530,16103,16158,16348,16295,16868,16633,16167,16393,16573,16895,17452,17153,17167,17693,18190,18426,18643,18900,18667,19336,19300,19664,19396,19439,19713,19442,19433,19919,19993,19833,20004,20039,19899,19659,19550,19848,19789,19755,19632,19852,19950,20851,21633,22047,21075,20948,21239,21267,21374,21895,22363,22540,23602,24043,24812,24839,25215,25569,25693,25786,26013,25737,25324,24446,24218,24452,24383,24203,23618,23264,23072,22691,22317,22249,22172
"59","51","Retail trade industries","S440",328633,331341,329014,332539,333318,332025,333783,332327,334476,335508,336305,335864,336111,338387,342497,346125,343787,342827,343302,342126,343996,345414,348581,349151,352798,354296,357619,359153,360180,362356,363777,364763,366692,369853,373109,377742,377162,378457,380801,383269,387593,390615,392261,394866,395710,398869,400605,400836,399708,396274,395155,396395,397299,396201,396203,397977,397999,387340,381884,386024,389141,390082,390025,390090,392887,395375,396619,395896,400004,402154,406466,407981,410553,413323,416161,416957,415570,416444,417853,415129,420256,421744,425082,425512,427375,430419,435592,441986,444162,445494,446145,449640,451779,456139,459304,460862,463270,466872,467232,466222,465769,464513,457797,461516,466903,469918,471243,473662,475019,472884,477972,475901,480615,482991,483251,486523,487767,484611,486241,491624,490440,494125,494098,497031,497255,497993,502028,505112,506134,511139,512515,513571,514925,516566,514260,515279,514791,516387,524554,520628,520716,518966,511985,506383,497210,492758,489748,488397,482958,478545,475696,470463,477134,481158,482813
"60","52","  Motor vehicle and parts dealers","S4410",101412,102458,101561,103841,103558,102364,103479,103293,103023,104299,105178,104269,104431,105525,106964,109579,109059,105520,105017,103539,104623,105828,107498,106979,109151,110460,112503,112461,112677,113013,113799,113540,114383,116888,118348,120180,120228,119358,120370,122773,124559,127000,129124,130028,131030,132207,133014,133516,132156,128495,126818,127868,128694,128710,130195,130292,130842,120350,117729,122881,125401,126538,127040,127169,128997,131191,130475,129462,131595,134288,137956,137880,139697,140928,142847,143879,144035,144658,144711,142284,144505,144454,146502,146707,148014,149071,150766,153980,154100,154469,154756,155896,156568,158691,158785,158144,158293,160231,159166,158114,157093,154799,148912,150025,153487,156259,155960,155899,155568,154619,156698,154375,156696,156939,155768,155857,156885,153132,152833,155732,153440,153718,153220,155759,154044,154473,158834,160895,160996,162154,163129,160401,160926,162308,161465,159737,159844,159930,165076,161923,161516,161597,160889,159234,152725,150139,148125,148568,144632,140933,139905,135866,143691,146955,148604
"61","53","  Furniture, furnishings, electronics, and appliance stores","S44230",24965,24765,24253,23634,23861,23492,23459,22896,22843,22893,22709,22484,22067,22088,22268,22196,21840,21618,21465,21168,21020,21083,21155,20992,21064,21218,20930,21120,21011,21252,21464,21494,21509,21532,21555,21911,21694,21920,22321,22260,22397,22898,22766,22965,22452,22806,23454,23018,22821,22399,22605,22556,22207,21793,21536,21414,21239,21347,21384,21251,21695,21757,21715,21647,21976,21755,22071,22006,22395,22430,22428,22418,22470,22631,22486,22680,22689,23127,23103,23096,23332,23785,23820,23736,23677,24013,24642,24988,25383,25327,25511,25957,25868,25647,26058,26893,26705,26754,26953,27114,27589,27828,27617,27607,27317,27076,27242,27606,27792,28032,28221,28176,28281,28256,28184,28183,28209,28128,28201,28365,28650,28969,28892,28778,28687,28852,28929,28900,29183,29904,29761,29686,29291,28796,28494,28823,28478,28682,29232,29351,29657,29911,27993,27951,27587,27121,26943,26975,26858,26731,26472,26438,26455,26823,26393
"62","54","  Building material and garden equipment and supplies dealers","S4440",32112,32231,32421,32573,32730,32956,32949,33065,33369,33191,33182,33489,33599,34036,34053,34138,33701,34225,34499,35013,34998,34929,35257,35396,35635,35803,36041,36193,36298,36583,36846,36885,36827,37077,37245,37703,37829,38066,38017,38327,38326,38443,38604,38832,38909,38914,39203,38926,39095,39010,38932,39005,39288,39149,38803,39055,39032,39131,38991,38966,39200,39188,39608,39894,39813,39869,39896,39987,40363,40988,40749,40961,40477,41156,41330,41089,41059,41326,41381,41602,42483,42444,42643,42829,42807,43463,44154,44972,45691,45933,46326,46638,46655,47250,47453,48150,49389,49311,49083,48558,48877,48929,48852,48992,49856,50429,51390,52182,52774,51849,52744,52664,52654,53027,53750,54495,54148,53935,54001,53906,53827,54366,54119,55183,55163,55246,55022,54828,54320,54859,55029,55399,55851,55748,55941,56454,56441,56754,57384,58027,58296,57839,57591,56389,55940,55920,56365,55408,54486,53584,53271,53122,53238,53093,52646
"63","55","  Food and beverage stores","S4450",27421,27495,27676,27625,27747,27627,27492,27860,28067,27960,28077,27832,27919,27832,28120,28422,28363,28600,28824,28780,28712,28748,29077,29227,29617,29566,29611,29511,29882,30106,30219,30483,30865,30901,30838,30924,30815,30876,31015,31168,31409,30762,30525,30539,30880,31058,30823,30999,31289,31604,31717,31825,31876,31908,31801,31941,32103,32189,32144,32103,32147,32419,32328,31808,31581,31660,31626,31784,32143,31549,31680,32103,32050,32133,32270,32180,32060,31814,32011,32242,32907,32867,32953,33007,32934,32803,33167,33621,34011,33836,33709,33733,34102,34459,34653,34376,34587,34695,34729,34819,34735,34613,34323,34479,34250,34717,35036,35200,35260,35008,34981,35164,35290,35426,35795,36200,36532,36468,36480,36851,37102,37378,37895,37626,37801,37911,38011,38505,39053,39780,40127,40716,40774,41133,41480,41988,42244,42607,42811,42917,43152,43228,42891,42443,42430,42241,42308,42290,42390,42171,42124,41901,42264,42742,43183
"64","56","  Clothing and clothing accessories stores","S4480",26406,26708,26106,26890,27017,26904,27008,26855,27267,27251,27191,27458,27643,27578,27988,28122,27982,28298,28377,28469,28860,28782,28795,28757,29040,29288,29088,29197,29307,29543,29289,29244,29041,29286,29585,30160,29636,30267,30685,30927,31442,31201,31595,32043,32027,32570,32574,32830,32572,32802,32703,32562,32319,32409,32184,32160,32369,32714,31886,31715,31902,31563,31265,31708,31804,32230,32771,32768,33017,33016,33099,33650,34108,34127,34246,34067,34082,34018,34197,34248,34199,34152,34604,34652,34794,34984,35050,35647,35873,35915,36015,36493,36701,37038,37407,37536,38021,38317,38448,38356,38212,38725,38692,38895,39246,39594,39456,39661,39744,40298,41149,41715,42427,42878,43080,43362,43610,43772,44373,45254,45488,46122,45626,45275,45508,45265,45154,45399,45562,45428,45548,45911,46256,46217,46065,46221,45617,45599,45812,45439,45256,45215,44879,44506,44121,43924,43295,42814,42804,42695,42185,41783,41192,41244,41213
"65","57","  General merchandise stores","S4520",57593,58091,57874,58522,58526,58684,58607,58186,58429,58046,57932,58252,58345,58398,58528,58659,57804,58686,59023,59056,59451,59535,59476,59404,59415,59572,60106,60520,60630,60726,60957,61272,61443,61169,62113,62433,62719,63026,62659,62764,63074,63352,63000,63094,63146,63621,63555,63730,64093,64271,65353,65080,65557,65635,65083,66016,65615,65566,64812,64166,63931,64101,63454,63205,63689,63259,64176,64341,64257,64260,65180,65488,65506,65286,65724,66678,66093,66118,66424,65986,66869,67701,67140,67323,67607,68132,69095,69426,69747,70288,70001,70408,70525,70847,71918,72692,72903,73179,74491,74420,74592,74521,74159,75106,75290,75031,75185,75752,75401,74922,75343,74150,74990,75242,76276,77041,77233,78095,78559,78728,78985,79567,79651,79744,80032,80080,79676,79832,79971,80698,80002,80885,81089,81632,80326,81149,81016,81072,81547,80974,81576,81687,81027,80406,79249,78762,79212,78617,78341,78635,78122,77694,77428,77548,77446
"66","58","    Department stores","S45210",41516,41875,41851,42248,42222,42385,42231,41935,42115,41960,41863,42098,42042,41953,41952,41907,41154,41760,42038,41933,42033,41870,41689,41535,41661,41463,41814,41977,41928,41903,41945,41948,41846,41512,42217,42311,42363,42504,42071,42053,42189,42160,41660,41648,41498,41907,41767,41687,41863,41837,42340,42169,42211,42051,41353,41844,41718,41149,40480,39948,39402,39459,38913,38459,38330,38215,38470,38345,38079,37760,38284,38376,38177,37720,37927,38547,37891,37697,37436,37050,37338,37593,37003,36960,37114,37146,37432,37543,37627,37593,37546,37702,37457,37737,37930,38049,38053,38142,39157,38302,38158,38219,38300,38375,38359,38162,38048,38438,37949,37581,37672,37542,37601,37304,37689,37995,38158,38401,38737,38824,38897,38954,38717,38920,38795,39025,38934,38882,39066,39535,38805,39123,39028,39040,38323,38114,38115,37749,37645,37278,37657,37783,36937,36555,35971,36005,36263,35873,35507,35716,35385,35267,35112,34924,34544
"67","59","    Other general merchandise stores","S45290",16077,16216,16023,16274,16304,16299,16376,16251,16314,16086,16069,16154,16303,16445,16576,16752,16650,16926,16985,17123,17418,17665,17787,17869,17754,18109,18292,18543,18702,18823,19012,19324,19597,19657,19896,20122,20356,20522,20588,20711,20885,21192,21340,21446,21648,21714,21788,22043,22230,22434,23013,22911,23346,23584,23730,24172,23897,24417,24332,24218,24529,24642,24541,24746,25359,25044,25706,25996,26178,26500,26896,27112,27329,27566,27797,28131,28202,28421,28988,28936,29531,30108,30137,30363,30493,30986,31663,31883,32120,32695,32455,32706,33068,33110,33988,34643,34850,35037,35334,36118,36434,36302,35859,36731,36931,36869,37137,37314,37452,37341,37671,36608,37389,37938,38587,39046,39075,39694,39822,39904,40088,40613,40934,40824,41237,41055,40742,40950,40905,41163,41197,41762,42061,42592,42003,43035,42901,43323,43902,43696,43919,43904,44090,43851,43278,42757,42949,42744,42834,42919,42737,42427,42316,42624,42902
"68","60","  Other retail stores","S44X0",58724,59593,59123,59454,59879,59998,60789,60172,61478,61868,62036,62080,62107,62930,64576,65009,65038,65880,66097,66101,66332,66509,67323,68396,68876,68389,69340,70151,70375,71133,71203,71845,72624,73000,73425,74431,74241,74944,75734,75050,76386,76959,76647,77365,77266,77693,77982,77817,77682,77693,77027,77499,77358,76597,76601,77099,76799,76043,74938,74942,74865,74516,74615,74659,75027,75411,75604,75548,76234,75623,75374,75481,76245,77062,77258,76384,75552,75383,76026,75671,75961,76341,77420,77258,77542,77953,78718,79352,79357,79726,79827,80515,81360,82207,83030,83071,83372,84385,84362,84841,84671,85098,85242,86412,87457,86812,86974,87362,88480,88156,88836,89657,90277,91223,90398,91385,91150,91081,91794,92788,92948,94005,94695,94666,96020,96166,96402,96753,97049,98316,98919,100573,100738,100732,100489,100907,101151,101743,102692,101997,101263,99489,96715,95454,95158,94651,93500,93725,93447,93796,93617,93659,92866,92753,93328
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
