"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"66","58","      Recreational books (part of 90)","DRBKRX0",17525,17709,18399,17969,18142,19065,19058,19983,20423,20266,20288,20942,21014,20772,21061,21701,22526,23013,23659,24319,24453,25378,25384,25564,25337,25109,25159,25352,25526,25625,25620,25827,26233,26869,27789,27511,28275,28161,28713,28797,29292,29450,29857,30780,31682,31757,31317,31788,32300,32603,33688,33976,33377,33705,33517,32373,32545,32955,33146,33723
"67","59","      Musical instruments (part of 80)","DMSCRX0",2729,2711,2869,3005,2944,2988,2859,3033,2990,3089,3081,3261,3365,3362,3367,3426,3663,3704,3916,4174,4420,4711,4834,4756,4672,4864,4790,4937,5017,5104,5097,5032,4923,4820,5154,5542,5496,5582,5692,5600,5628,5735,5774,6044,6658,6182,6155,6261,6366,6873,6771,7021,6777,6581,6264,5847,5603,5556,5458,5535
"68","60","    Other durable goods","DODGRX0",69390,70050,70314,71130,72534,74834,75336,76843,77184,77170,79049,81138,82900,85778,87440,89322,93064,94315,97146,102137,102658,105942,106546,105873,104431,101923,101233,104388,107258,109304,110089,112561,111182,113682,117241,119959,120926,120649,121303,123944,125890,129090,128310,131115,135526,133821,131947,132203,132289,133795,136120,135818,133317,129187,128304,121379,123521,122916,124897,125525
"69","61","      Jewelry and watches (part of 119)","DJRYRX0",28646,29763,30116,30918,31804,32641,33008,33138,33142,33325,34181,35286,36101,37297,37837,39249,40678,41073,42312,44509,44179,45671,47029,46075,44820,44174,43770,44419,46289,46761,46766,48144,48495,49537,50892,52654,53391,52433,53075,54426,55432,56715,55237,57391,59885,57956,57515,57493,57032,58007,57555,56479,55120,53389,52414,47503,49538,49937,50836,50936
"70","62","        Jewelry","DJLYRX0",25346,26367,26713,27458,28280,29060,29423,29575,29601,29760,30521,31506,32168,33150,33605,34762,36097,36296,37276,39228,39035,40384,41583,40730,39449,38985,38632,39095,40578,40941,41043,42055,42535,43520,44529,46145,46889,45898,46657,47877,48765,50092,48783,50643,52847,51070,50657,50606,50188,50878,50491,49465,48086,46582,45660,41743,43415,43646,44287,44242
"71","63","        Watches","DWTCRX0",3294,3388,3394,3449,3511,3566,3568,3545,3522,3546,3640,3759,3915,4132,4219,4476,4568,4770,5034,5278,5137,5279,5438,5336,5368,5182,5131,5321,5715,5826,5725,6100,5963,6017,6372,6514,6505,6541,6418,6549,6666,6623,6455,6748,7038,6886,6858,6887,6845,7138,7073,7031,7076,6848,6807,5751,6130,6316,6600,6774
"72","64","      Therapeutic appliances and equipment (42)","DTAERX0",24004,24028,23909,24110,24549,25675,26269,27030,27448,27477,28460,28706,28987,29903,30941,31568,31397,31362,32067,33591,33977,34613,33634,33980,33449,32675,32394,33686,33569,35155,36041,36310,35263,35822,36691,36819,36660,37000,37012,37410,37506,37957,38568,38913,39835,39287,38871,39204,40148,41042,42585,42360,42190,42618,42728,42279,41905,41304,41787,42493
"73","65","        Therapeutic medical equipment","DTMERX0",7475,7447,7473,7429,7509,7787,7909,8147,8253,8212,8505,8523,8919,9527,10117,10409,10554,10863,11018,11774,11849,12228,12652,12994,12979,13150,13160,13536,13592,14022,14182,14286,14087,14368,14846,14997,15096,15441,15592,15664,15895,15959,16213,16764,17114,16966,17256,17650,17945,18240,18608,18793,19483,20041,19977,19826,19715,19816,19560,20080
"74","66","        Corrective eyeglasses and contact lenses","DEYERX0",16710,16767,16613,16871,17241,18105,18588,19116,19434,19509,20208,20445,20298,20581,21013,21344,21006,20629,21191,21943,22258,22504,21039,21030,20505,19538,19243,20165,19990,21153,21886,22052,21195,21472,21859,21833,21571,21562,21420,21748,21610,21998,22354,22150,22720,22320,21621,21566,22214,22812,23980,23575,22737,22623,22792,22495,22233,21542,22267,22460
"75","67","      Educational books (96)","DEBKRX0",11596,11420,11678,11217,11068,11291,11081,11309,11331,11048,10988,11302,11313,11280,11490,11606,11923,11971,11559,12411,11708,12330,11786,11431,11444,11353,11342,11477,11564,11156,10982,10997,10830,11178,11434,10802,11095,10822,10763,10521,10530,10200,10186,10026,9979,9932,9302,9237,9016,8928,9176,9119,8796,8532,8280,7887,7895,7774,7647,7445
"76","68","      Luggage and similar personal items (part of 119)","DLUGRX0",6942,6520,6358,6353,6494,6662,6479,6851,6812,6771,6887,7261,7627,8119,8017,7761,9237,9575,10244,10654,11206,11672,11854,11865,12028,10996,10665,11330,12083,12294,12333,12773,12236,12480,13067,13956,13865,14036,13842,14835,15292,16793,16629,16857,17380,17879,17133,16857,16524,16182,16772,17279,16670,14332,14640,13991,14030,14258,14740,14914
"77","69","      Telephone and facsimile equipment (67)","DTCERX0",1502,1550,1590,1606,1587,1665,1681,1722,1741,1735,1758,1766,1854,1962,2084,2159,2301,2519,2736,2907,3110,3223,3403,3556,3642,3734,4001,4303,4412,4552,4591,4842,4841,5121,5527,5893,6085,6475,6727,6805,7152,7420,7682,7918,8457,8816,9242,9585,9833,9959,10408,11104,11154,11353,11245,10930,11404,10554,10835,10695
"78","70","  Nondurable goods","DNDGRX0",1428144,1435165,1440261,1447690,1457063,1475787,1486286,1498322,1507432,1508261,1532540,1543316,1554719,1573924,1585529,1607217,1636906,1652274,1660134,1694136,1679513,1713067,1724719,1741570,1731414,1739683,1748107,1763233,1770395,1772672,1777696,1800221,1819521,1827959,1863817,1871298,1888935,1893954,1907813,1927578,1949629,1961527,1971843,1990700,2003718,2011559,2024538,2054704,2070330,2066082,2076833,2085998,2070101,2081375,2051468,2026082,2035456,2025724,2033292,2054570
"79","71","    Food and beverages purchased for off-premises consumption","DFXARX0",549903,547214,547280,549664,552158,554754,553710,555476,559389,556466,559770,559777,559257,563788,567602,571544,578277,584041,589071,598146,592174,600935,601719,607591,605418,609411,607286,608320,605797,606778,609159,614364,622626,617172,626488,623340,634515,635653,639118,647628,656622,658632,669936,674869,676664,684161,686608,697545,700793,696173,699183,706564,708029,708916,699592,686387,687435,693528,700070,707305
"80","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX0",483991,480947,480374,482130,483280,485213,484072,485930,488424,485374,487671,487065,486021,490170,493122,496097,502425,507030,511524,518817,512462,520062,519593,524451,522311,525595,524338,525667,522779,523125,525868,530745,537750,533080,540378,536758,546115,546180,549168,555927,564156,564830,573064,576093,576193,582628,583910,592979,594889,590019,593027,600201,600868,600896,591496,580745,582255,588606,595755,602894
"81","73","        Food purchased for off-premises consumption","DFOFRX0",427858,425170,424834,426161,426241,427695,425907,426662,428770,426970,429510,428910,427728,431097,433254,435951,441679,446338,450418,456879,452199,458813,458408,462372,460492,463043,462045,463266,460263,460607,463200,468033,473467,469393,474754,471244,479864,479502,482181,487403,495070,495767,502785,505210,505274,510925,511609,519979,521835,517422,520496,526618,527853,527608,518587,510317,512119,518215,524836,530891
"82","74","          Cereals and bakery products","DCBPRX0",75668,75489,75239,75519,75453,76289,76960,77847,78460,78054,78190,77694,78289,80089,81264,82596,83683,84512,85915,87729,87605,89448,90138,90952,91410,92541,92829,93951,93923,94041,94400,95239,95302,94141,95053,95026,96222,96301,96604,97687,98591,99690,101259,101802,101967,102880,102467,103295,103540,102810,103227,103795,102827,101285,99344,96773,96629,97692,98232,98861
"83","75","            Cereals","DGRARX0",26633,26561,26530,26633,26686,27232,27865,28391,28678,28437,28272,27942,27806,28024,28030,28147,28150,28115,28282,28670,28384,28577,28667,28694,28793,28795,28409,28248,27900,27726,27759,27821,27785,27496,27858,27970,28174,28478,28455,28748,28987,29560,30032,30276,30559,30531,30571,30761,30870,30460,30532,30720,30295,29810,28900,28013,28156,28438,28339,28723
"84","76","            Bakery products","DBAKRX0",48755,48650,48422,48595,48461,48708,48692,49026,49345,49193,49518,49371,50134,51748,52950,54190,55305,56197,57456,58895,59077,60754,61363,62166,62529,63675,64370,65678,66014,66314,66641,67425,67526,66652,67199,67057,68053,67823,68149,68940,69605,70130,71226,71526,71413,72348,71899,72535,72672,72347,72691,73071,72525,71467,70426,68739,68457,69237,69869,70118
"85","77","          Meats and poultry","DMAPRX0",109652,109655,109038,107949,108006,108834,106628,105785,105760,105269,105743,106237,106958,108242,108815,109675,111406,112037,112756,113373,110956,111177,110318,111728,110005,109551,108707,108229,107833,107736,108396,109739,111039,109886,110993,107632,109502,109583,109432,111887,112205,112842,114995,115544,115250,116160,117123,118455,119015,116731,118743,121290,122441,124408,122733,119820,119904,121462,124425,126351
"86","78","            Beef and veal","DBEERX0",36008,35978,35883,35606,35669,36192,35399,34721,34056,33615,33653,33732,33976,34297,34539,34740,35211,35294,35282,35118,34367,34153,33958,34419,32788,32321,32561,32874,32830,32617,33008,33159,32648,31836,31834,29070,29836,30089,30196,31216,31307,31244,32433,32516,31778,32110,32444,32706,32806,31903,32380,32900,33018,33237,32075,31453,31982,32503,33338,33658
"87","79","            Pork","DPORRX0",22927,22960,22588,22013,21786,21393,20563,20299,20241,19916,19995,20091,20393,20991,21371,21865,22265,22158,22214,22141,21240,20924,20743,20938,20767,20643,20284,20105,19890,20001,20403,20839,21049,21055,21341,21136,21515,21408,21070,21363,21255,21402,21996,22004,21889,21919,21985,22302,22458,22155,22684,23169,23555,23609,23302,22767,22939,23464,24246,25059
"88","80","            Other meats","DMEARX0",17990,17850,17900,17697,17827,18098,18034,18048,18098,17929,18054,18200,18211,18577,18745,18857,19002,19148,19441,19639,19486,19596,19400,19473,19694,19779,19713,19329,19252,19083,19027,19371,20068,19767,19977,19893,20148,20440,20616,20849,20836,20940,21030,21326,21354,21315,21490,21685,21817,21677,22204,22520,22613,23090,22758,22010,21711,22218,22362,22773
"89","81","            Poultry","DPOURX0",33397,33535,33338,33305,33401,33883,33354,33365,33889,34286,34500,34659,34816,34797,34600,34654,35361,35842,36185,36777,36158,36762,36484,37173,36894,36919,36311,36132,36084,36233,36176,36554,37358,37272,37867,37514,37994,37642,37553,38464,38810,39259,39534,39695,40232,40825,41213,41773,41943,41005,41489,42720,43285,44494,44636,43624,43308,43329,44546,44963
"90","82","          Fish and seafood","DFISRX0",8774,8596,8511,8546,8682,8714,8749,8659,8363,8355,8551,8773,8691,8547,8418,8512,8745,8826,8924,9004,8878,8926,9027,9150,9137,9230,9433,9529,9656,9532,9613,9772,9917,9826,9975,9984,10180,10273,10325,10486,10593,10684,10836,10822,10777,10781,10724,10898,10913,10679,10815,10896,10909,10747,10523,10306,10245,10164,10194,10480
"91","83","          Milk, dairy products, and eggs","DMDERX0",51313,50974,50531,49995,49175,49002,47520,46490,47271,47272,48311,47579,47435,47795,47764,47045,46540,48372,48742,48768,48758,49564,49601,50170,49772,49830,49261,49457,49560,49606,50029,50792,51752,51924,52221,51225,52543,51133,51883,54104,54126,54261,54450,54505,54635,55649,56631,57594,57667,57130,54542,54667,54970,55951,55383,55796,58158,60710,62008,61989
"92","84","            Fresh milk","DMILRX0",18630,18420,18260,17971,17416,17219,16473,15804,15898,15905,16196,15564,15588,15945,16053,15652,14884,16148,16204,15460,16008,16228,16173,16443,16133,16129,15989,16082,16380,16488,16734,16829,17123,17138,17167,16466,17253,15804,15873,16752,16603,16711,16807,16594,16491,17002,17393,17701,18008,17616,16273,16436,16747,17151,16767,17188,18571,19793,20149,19891
"93","85","            Processed dairy products","DDAIRX0",27887,27764,27780,27747,27649,27536,26633,26222,26625,26485,27093,26869,26606,26696,26545,26168,26212,26590,26835,27074,26939,27547,27729,28194,28125,28106,27551,27578,27562,27677,27874,28250,28663,28944,29406,29515,30276,29857,29907,30797,31060,31221,31633,31965,32018,32497,32785,33487,33528,33393,32591,32683,32851,33222,32721,32378,32885,33958,34638,34996
"94","86","            Eggs","DGGSRX0",5074,5056,4779,4587,4431,4537,4633,4643,4886,4998,5132,5209,5296,5236,5251,5286,5461,5680,5742,6253,5844,5823,5732,5579,5546,5620,5747,5830,5669,5501,5490,5762,6002,5875,5695,5318,5176,5480,6043,6502,6440,6326,6019,5961,6135,6157,6447,6405,6162,6141,5760,5659,5534,5708,5928,6194,6647,6937,7176,7056
"95","87","          Fats and oils","DFATRX0",11701,11577,11451,11394,11366,11371,11312,11315,11221,11062,11144,11140,11079,11081,10554,10273,10671,10877,10912,11144,10999,11152,11018,11013,10729,10676,10383,10348,10271,10270,10369,10556,10733,10856,11209,11220,11360,11107,11128,11372,11542,11747,11892,12119,12259,12645,12780,12855,12895,12877,12936,13190,13283,13011,12617,12282,12504,12748,12822,13034
"96","88","          Fresh fruits and vegetables","DFAVRX0",42757,40959,42159,43688,44331,43404,44510,45494,45754,46106,45707,45696,44754,44915,46130,46825,48336,49036,49607,51414,51820,53260,53002,52623,53324,54061,54895,55992,53536,54553,55267,56119,56266,54891,54737,55527,57021,57557,58401,54868,59832,58187,59176,59600,59077,60374,58749,60650,60632,60810,62928,62707,62837,62462,60127,62021,64108,64229,64904,66993
"97","89","            Fruit (fresh)","DFRURX0",17576,17095,16533,17009,17172,16583,16660,16524,16958,16879,17239,17527,17413,17697,17592,17830,17525,17264,17868,18731,18585,20163,19931,19755,20353,20037,20367,20647,20524,20713,20862,20892,21022,20651,20610,20859,20944,20496,21134,20422,21465,22208,22128,22089,21857,22463,21949,22578,22340,22649,23326,23167,23032,23102,22764,23621,24329,24703,24834,25277
"98","90","            Vegetables (fresh)","DVEGRX0",24970,23657,25499,26566,27058,26754,27836,29056,28807,29276,28435,28108,27268,27138,28488,28946,30861,31915,31808,32720,33310,33068,33050,32851,32948,34030,34534,35358,33004,33828,34395,35223,35240,34233,34120,34661,36071,37069,37265,34450,38370,35986,37043,37508,37220,37911,36799,38073,38297,38160,39603,39541,39813,39359,37353,38391,39767,39520,40062,41705
"99","91","          Processed fruits and vegetables","DPFVRX0",20217,20094,20007,20114,20029,19881,19585,19658,19632,19507,19682,19630,19107,18893,18724,18754,18835,18786,18786,18893,18602,18754,18694,18657,18400,18358,18050,17671,17265,17005,16904,17040,17555,17400,17728,17795,17930,18053,18152,18476,18637,18546,18689,18699,18407,18407,18433,18608,18685,18610,18653,19008,18903,18616,18178,17410,17166,16992,17294,17643
"100","92","          Sugar and sweets","DSWERX0",32347,32191,31889,31955,31805,31973,31843,32069,32098,31651,31791,31809,31503,31566,31615,31753,32277,32237,32400,32743,32265,32977,32937,33213,33143,33426,33302,33208,32912,32542,32395,32616,33057,32773,33418,33362,33852,34069,34082,34566,34796,34805,35088,35044,35112,35015,35055,35513,35624,35416,35364,35798,35759,35691,35349,34181,33339,33449,33776,33600
"101","93","          Food products, not elsewhere classified","DOFDRX0",75839,75974,76373,77337,77737,78448,78946,79502,80355,79923,80556,80515,80096,80218,80308,80896,81656,82126,82830,84245,82745,83931,83962,85116,84777,85515,85345,85077,85384,85419,85951,86333,87991,87798,89468,89429,91212,91446,92205,93950,94751,94999,96401,97081,97805,99024,99746,102150,102902,102343,103357,105454,106176,105760,104745,102034,100398,101183,101735,102587
"102","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRX0",56378,56022,55808,56202,57142,57588,58150,59176,59561,58389,58194,58181,58295,59050,59813,60097,60709,60698,61122,61956,60348,61327,61264,62135,61876,62589,62336,62447,62541,62545,62702,62770,64306,63710,65618,65505,66248,66676,66985,68530,69087,69063,70278,70882,70918,71702,72299,73000,73056,72598,72533,73583,73012,73286,72924,70412,70113,70366,70894,71978
"103","95","          Coffee, tea, and other beverage materials","DCTMRX0",6577,6821,6908,7186,7445,7662,7867,8071,8049,7121,6695,6957,7017,7057,7195,7308,7428,7467,7505,7584,7379,7477,7520,7620,7603,7714,7676,7669,7649,7622,7595,7638,7796,7798,8033,8049,8136,8231,8294,8458,8482,8463,8625,8743,8819,8978,9142,9271,9354,9345,9402,9565,9540,9516,9462,9355,9347,9474,9441,9564
"104","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRX0",49754,49178,48898,49022,49698,49927,50284,51103,51496,51250,51522,51219,51276,52000,52626,52793,53282,53230,53615,54370,52968,53849,53743,54515,54272,54874,54661,54778,54890,54920,55104,55129,56506,55911,57584,57456,58111,58445,58693,60073,60605,60600,61653,62139,62099,62725,63157,63731,63704,63255,63134,64022,63476,63773,63465,61063,60773,60902,61459,62420
"105","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRX0",65569,65889,66541,67161,68481,69144,69272,69215,70619,70752,71767,72375,72877,73252,74098,75050,75474,76635,77196,78992,79359,80541,81770,82796,82780,83517,82667,82348,82701,83301,82946,83293,84563,83792,85820,86301,88094,89184,89647,91383,92146,93464,96515,98422,100086,101094,102270,104145,105540,105832,105832,106012,106816,107702,107875,105350,104820,104489,103808,103900
"106","98","        Spirits","DLIQRX0",13927,13777,13833,13913,14264,14172,14100,13696,13811,13908,13995,14057,14579,14958,15471,15836,15898,16265,16394,16806,17042,17502,18007,18305,18477,18542,18638,19080,19374,19465,19421,19502,19602,19641,20182,20349,20591,20900,21001,21242,21307,21611,22002,22544,23209,23485,23803,24179,24712,24965,25074,25008,25210,25327,25508,25312,25198,24862,24788,24704
"107","99","        Wine","DWINRX0",12520,12607,12769,12890,13176,13307,13363,13262,13498,13483,13617,13738,13989,14128,14439,14748,14852,15094,15153,15550,15644,16053,16404,16594,16843,17060,17279,17622,17797,17859,17759,17725,17882,17950,18450,18808,18969,19231,19506,19746,20044,20309,20598,21202,21706,21877,22213,22755,23076,23348,23453,23371,23659,23746,23749,23401,23272,23241,23255,23405
"108","100","        Beer","DMLTRX0",39316,39699,40134,40555,41241,41864,42005,42460,43521,43577,44384,44814,44517,44361,44360,44622,44879,45429,45809,46794,46826,47118,47476,48013,47547,48001,46801,45654,45527,45981,45771,46074,47094,46201,47185,47137,48534,49054,49143,50395,50794,51543,53916,54675,55169,55732,56253,57209,57751,57520,57308,57633,57948,58628,58620,56654,56367,56393,55778,55802
"109","101","      Food produced and consumed on farms (6)","DFFDRX0",592,605,573,575,575,567,530,500,499,480,463,458,473,484,498,513,497,490,463,435,426,405,404,387,365,331,320,351,355,388,393,379,355,341,316,295,319,294,309,319,323,336,356,356,392,447,440,437,393,368,360,359,362,359,347,389,427,447,473,454
"110","102","    Clothing and footwear","DCLORX0",197633,199726,203309,203504,204899,209958,213485,214833,214928,213011,220091,222877,227638,231464,229780,235117,243615,245717,247351,247989,252029,257489,260300,262501,258289,259975,259669,264148,267139,267262,265636,273949,274219,281794,288811,288860,296406,292867,296860,302960,307428,314657,315051,325032,329488,327163,331715,337539,343897,343347,347295,349171,347751,353590,343334,335396,333973,326935,326691,332850
"111","103","      Garments","DGARRX0",160596,161681,165108,164798,165570,169962,173108,174157,174101,172090,178410,180826,184293,187466,185874,189646,196812,198184,199288,199424,202734,207834,209713,211949,208493,209388,209681,213717,215795,216557,215157,222335,222921,228939,234619,234663,241041,238418,242227,248026,251928,258057,259162,266755,270943,268850,271869,277192,282872,282369,286063,287948,286769,291755,282658,276829,275604,270299,269772,275721
"112","104","        Women's and girls' clothing (10)","DWGCRX0",90299,90568,92264,91814,92348,95417,97063,97835,96772,95288,99107,100589,102968,104856,104474,107747,112590,113462,114251,114496,117439,121199,122397,122873,120353,121934,122726,125954,127085,127012,125875,130150,130491,133777,136813,137642,141471,139348,141629,144500,147794,151840,151870,156206,159405,156842,158485,161209,163204,163867,167878,168760,168773,172828,165090,162073,162926,159464,157359,160724
"113","105","        Men's and boys' clothing (11)","DMBCRX0",62402,62909,64681,64901,65378,66515,67701,67958,68937,68777,70706,71385,72119,73285,72111,72707,74541,74872,75323,75093,75559,76592,76968,78305,77527,76820,76197,76826,77450,78257,78002,80742,80796,83352,85806,84893,87034,86457,87931,90682,91061,92974,93746,96454,97483,97934,99352,101519,104933,103691,103004,104111,102847,103568,102310,99945,97876,96473,98087,100282
"114","106","        Children's and infants' clothing (12)","DCICRX0",7827,8163,8127,8059,7811,7969,8285,8302,8353,7995,8563,8820,9177,9289,9252,9148,9652,9827,9689,9811,9728,10052,10357,10771,10615,10634,10759,10949,11263,11288,11276,11447,11633,11814,12010,12129,12535,12614,12666,12850,13073,13245,13546,14093,14049,14080,14042,14479,14799,14833,15161,15066,15136,15363,15252,14806,14819,14370,14331,14721
"115","107","      Other clothing materials and footwear (13 and 17)","DOCCRX0",37057,38117,38235,38774,39424,40069,40431,40733,40893,41025,41738,42099,43423,44074,43997,45605,46918,47674,48224,48764,49491,49790,50760,50682,49929,50759,50120,50538,51473,50793,50570,51686,51355,52921,54260,54265,55422,54493,54656,54934,55499,56599,55893,58275,58551,58314,59843,60347,61029,60983,61242,61240,61001,61860,60678,58596,58396,56684,56952,57212
"116","108","        Clothing materials","DCSMRX0",2848,2741,2628,2706,2981,2705,2689,2812,2726,2785,2917,2900,2980,3162,3174,3318,3490,3520,3617,3685,3814,3980,3882,3847,3940,3963,4044,4284,4339,4360,4424,4634,4500,4703,4796,4727,4915,4848,4956,4983,5082,5090,5181,5386,5548,5403,5504,5484,5752,5975,5859,5967,5889,6083,5940,5945,5812,5595,5530,5736
"117","109","        Standard clothing issued to military personnel","DMICRX0",291,290,289,288,283,284,289,295,309,315,317,317,311,308,303,297,287,284,287,292,305,314,322,329,334,338,340,345,344,360,389,425,495,532,542,527,448,377,329,309,343,373,395,411,407,406,415,432,451,465,467,457,438,428,430,443,464,474,472,452
"118","110","        Shoes and other footwear","DSHURX0",33913,35099,35348,35804,36155,37117,37497,37655,37897,37959,38532,38912,40163,40631,40547,42017,43168,43897,44347,44813,45397,45517,46583,46535,45678,46483,45756,45918,46802,46082,45762,46627,46362,47686,48924,49015,50062,49272,49372,49643,50073,51137,50317,52477,52599,52505,53923,54431,54828,54554,54920,54827,54680,55363,54320,52231,52136,50628,50959,51041
"119","111","    Gasoline and other energy goods","DGOERX0",264068,266206,263230,263802,267371,269082,269164,268408,270173,273937,275142,276449,278797,283252,285925,287099,289031,295483,291922,293390,282878,288297,289538,287789,289056,285392,290727,291617,290597,294052,295722,295562,296103,299370,304944,308198,306857,307539,305594,306119,309849,306406,302697,300343,296425,297229,299991,299866,301468,301256,301476,298549,292574,289897,280083,287223,293198,293997,292685,290746
"120","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRX0",234997,235206,232861,232320,235738,239859,239506,240107,243389,245921,246774,248124,251940,254987,258207,259282,259766,265246,263088,265851,257756,261810,263596,262203,262608,259688,265289,266621,265270,267398,269063,268265,271203,274426,278388,281097,281511,282774,280984,283092,286701,284877,282477,281136,278282,277321,279812,280006,280317,280676,282065,280735,275963,274586,265500,270577,273820,274371,274196,272938
"121","113","        Gasoline and other motor fuel","DGASRX0",229303,229696,227514,227049,230517,234702,234497,235218,238858,241394,242206,243441,246822,249498,252657,254068,255162,260974,258968,261540,253301,257108,258844,257539,258119,255457,261164,262666,261296,263445,265041,264077,266821,269886,273728,276422,276871,278112,276213,278033,281259,279228,276686,275281,272464,271603,274104,274351,274721,275132,276522,275267,270625,269298,260413,265361,268519,269169,268993,267766
"122","114","        Lubricants and fluids","DLUBRX0",5268,5133,5003,4945,4923,4892,4779,4693,4429,4440,4477,4571,4904,5167,5218,4994,4595,4392,4258,4404,4488,4706,4751,4670,4523,4297,4231,4120,4128,4128,4185,4304,4466,4600,4706,4724,4695,4717,4811,5083,5452,5644,5785,5857,5819,5717,5704,5652,5597,5549,5549,5475,5347,5299,5096,5221,5297,5247,5246,5216
"123","115","      Fuel oil and other fuels (29)","DFULRX0",30333,32761,32017,33374,33458,30487,30989,29388,27602,28976,29373,29308,27527,29121,28470,28575,30278,31361,29678,28066,25466,26978,26371,26022,26916,26138,25800,25338,25687,27129,27104,27818,25162,25196,26898,27512,25573,24935,24781,23071,23151,21533,20222,19197,18154,19900,20181,19879,21136,20585,19403,17855,16753,15643,14951,16758,18996,19213,18122,17447
"124","116","        Fuel oil","DOILRX0",27423,29576,28846,30155,30016,27241,27717,26164,24895,26055,26520,26517,24974,26433,25990,26102,27411,28216,26605,24765,21644,23892,23907,23345,24474,23318,22925,22963,23548,24556,23983,25106,22503,22806,24497,24894,23229,22516,22177,20568,20216,19122,18213,17309,16320,17762,17972,17742,18964,18503,17378,15898,14850,13777,13264,15195,17541,17762,16673,15914
"125","117","        Other fuels","DLPFRX0",2993,3266,3238,3307,3489,3271,3301,3232,2768,2971,2922,2871,2643,2786,2615,2612,2940,3174,3086,3250,3693,3043,2486,2690,2497,2796,2841,2418,2241,2613,3056,2734,2658,2424,2467,2650,2387,2440,2603,2502,2919,2416,2015,1893,1835,2139,2208,2135,2170,2080,2023,1960,1914,1897,1694,1540,1454,1453,1442,1523
"126","118","    Other nondurable goods","DONGRX0",437033,442328,444138,448464,451157,459126,465725,474540,478424,482279,492753,498865,502925,509626,517719,527188,537197,540209,542846,564807,558481,572202,578493,587795,584002,588775,595512,603304,609769,608818,611925,619313,628952,632017,645768,653625,652720,659542,667035,671235,676082,681578,683836,690681,701891,703742,706926,721078,725823,726948,730713,734153,724825,733870,735380,720773,724668,714476,716656,727019
"127","119","      Pharmaceutical and other medical products (40 and 41)","DPHMRX0",113966,116321,117937,120108,121614,124090,126432,129196,131193,134376,138996,144002,147802,152490,156685,161423,168043,170769,170158,184045,175213,189109,193540,200444,197790,201119,210107,215255,218249,215839,217969,221176,228085,228795,234683,239743,235497,241241,243967,245787,247052,247761,247186,247075,250377,255753,257534,263517,264630,264019,262179,261580,254017,258910,263294,259180,263723,261216,263056,265402
"128","120","        Pharmaceutical products","DPNPRX0",112419,114788,116411,118630,120167,122646,125017,127776,129792,132995,137613,142644,146377,150940,155024,159720,166339,169020,168387,182163,173303,187156,191521,198377,195727,199034,208035,213125,216116,213633,215738,218931,225876,226540,232351,237389,233126,238816,241519,243327,244554,245253,244639,244443,247690,253088,254823,260745,261812,261156,259260,258633,250971,255778,260169,256080,260637,258116,259993,262261
"129","121","          Prescription drugs","DRXDRX0",90561,92417,94296,96208,98105,100231,102542,105092,107249,110795,115219,120591,124167,128729,132702,136958,142681,145360,145142,158353,149978,163312,167330,173530,171595,175001,183815,188238,190086,187273,189738,192789,199505,200874,206468,211440,208483,214615,217443,218870,218921,219345,218646,218649,221104,226574,227777,233086,233720,233148,230765,229778,220908,225373,229881,225779,231010,228311,230224,231923
"130","122","          Nonprescription drugs","DNRDRX0",19802,20258,20124,20423,20207,20549,20670,20914,20874,20720,21009,20909,21137,21271,21474,21944,22819,22888,22542,23303,22722,23426,23798,24474,23824,23792,24088,24738,25786,26053,25744,25905,26177,25533,25782,25880,24622,24230,24115,24485,25639,25908,25991,25790,26590,26507,27050,27663,28104,28019,28515,28882,30156,30488,30351,30376,29668,29862,29814,30401
"131","123","        Other medical products","DOMPRX0",1463,1457,1456,1423,1402,1404,1387,1397,1387,1377,1390,1381,1442,1549,1648,1690,1704,1746,1764,1880,1889,1947,2011,2061,2055,2079,2077,2133,2138,2203,2227,2243,2212,2257,2333,2357,2371,2426,2449,2461,2497,2507,2547,2633,2689,2665,2711,2773,2819,2866,2923,2953,3061,3149,3138,3115,3097,3113,3073,3154
"132","124","      Recreational items (parts of 80, 92, and 93)","DREIRX0",57563,58924,59240,59614,60250,60596,61808,63706,63274,64049,65920,66399,67075,69351,71578,74361,75752,76762,79193,83267,84439,83847,86124,87804,88317,89272,89427,91149,93043,94918,96509,98379,98599,99757,102161,103239,104034,103822,106703,108787,111184,113832,114291,116806,119862,119724,120693,123071,125931,126995,129646,131962,131828,134161,134425,131682,132566,132335,133080,137565
