"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"31","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC0",4852,4989,5131,5264,5330,5299,5261,5216,5183,5416,5546,5713,5793,5745,5675,5617,5679,5872,6112,6335,6639,6695,6717,6725,6772,7025,7339,7634,7788,7772,7734,7710,7872,8201,8612,9000,9202,9263,9380,9538,9693,9920,10205,10514,10746,10945,11298,11365,11694,12042,12513,13064,13170,13401,13471,14419,14080,14634,14724,15077,15696,16473,16567,16995,17267,17594,18410,18929,19918,19907,19964,20489,21076,21068,21924,23098,23493,24109,24776,25516,26942,27579,27607,29066,30109,31304,32367,33774,34549,35611,36682,38214,38967,39560,40583,41246,41657,42171,43244,44561,45314,47055,48218,49780,49090,49769,50766,51758,53527,55529,56020,56393,57042,57489,59299,60299,63532,65805,68073,69636,69319,71181,72703,73659,75181,78404,81876,82993,82513,83531,84802,86137,88907,91482,93951,95034,93396,93794,95016,96281,98335,100903,104077,106166,105164,106507,107568,109440,113370,116149,117675,115666,110769,110081,111943,116195,122146,128455,134360,139021,140355,143308,146767,151196,156668,161560,167838,175404,179826,184916,188865,191207,196299,202810,208741,212168,211796,212208,212267,210990,209547,209760,210347,210402,209452,210725,214745,221381,227209,237243,248137,248813,248507,244808,256206,264470,270419,273739,282558,288170,268031,259664,264877,268398
"32","23","    Gross output of nonprofit institutions \2\","DNPERC0",13664,13972,14244,14534,14837,15168,14941,15259,15276,16025,16177,16529,16858,17068,17255,17461,17801,18303,18827,19349,20132,20436,20665,20812,21350,22004,22622,23260,23882,24489,24844,25327,25891,26850,27861,28797,29613,30608,31207,32176,33105,34181,35080,36228,37356,38023,39226,40219,41315,42752,44156,45356,46615,47513,48554,49935,50602,52289,53191,54742,56438,59347,60661,62509,64782,66949,68946,72243,75005,76120,78287,80177,82994,85501,87028,89743,93100,96992,99737,102628,106233,109412,111764,116730,121163,124120,130414,136124,140667,145562,149798,155069,159060,163424,168249,172989,176457,179738,182546,186731,190638,194907,198299,202717,205227,208719,213787,219133,224404,228688,231418,235710,240557,246363,253289,258581,267184,275048,283860,289858,295145,301434,307924,315164,323541,333833,344671,350715,354792,362859,370490,379901,388597,397195,405988,411417,416016,420611,426519,430065,434549,440676,448570,454942,456199,460666,465040,471639,476722,486104,491860,500538,500158,504170,511946,520860,535117,545815,556606,564652,571754,579360,588908,601085,611287,624817,638587,653224,667568,681057,695551,707871,726016,744373,759689,768658,775205,781300,789123,797744,807810,821229,835984,845843,858158,865159,878806,896406,912841,928636,940499,952457,971656,978198,990136,1009983,1031336,1044944,1055237,1066135,1060764,1065788,1070698,1081074
"33","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC0",8812,8983,9113,9270,9507,9869,9680,10043,10093,10609,10631,10816,11065,11323,11580,11844,12122,12431,12715,13014,13493,13741,13948,14087,14578,14979,15283,15626,16094,16717,17110,17617,18019,18649,19249,19797,20411,21345,21827,22638,23412,24261,24875,25714,26610,27078,27928,28854,29621,30710,31643,32292,33445,34112,35083,35516,36522,37655,38467,39665,40742,42874,44094,45514,47515,49355,50536,53314,55087,56213,58323,59688,61918,64433,65104,66645,69607,72883,74961,77112,79291,81833,84157,87664,91054,92816,98047,102350,106118,109951,113116,116855,120093,123864,127666,131743,134800,137567,139302,142170,145324,147852,150081,152937,156137,158950,163021,167375,170877,173159,175398,179317,183515,188874,193990,198282,203652,209243,215787,220222,225826,230253,235221,241505,248360,255429,262795,267722,272279,279328,285688,293764,299690,305713,312037,316383,322620,326817,331503,333784,336214,339773,344493,348776,351035,354159,357472,362199,363352,369955,374185,384872,389389,394089,400003,404665,412971,417360,422246,425631,431399,436052,442141,449889,454619,463257,470749,477820,487742,496141,506686,516664,529717,541563,550948,556490,563409,569092,576856,586754,598263,611469,625637,635441,648706,654434,664061,675025,685632,691393,692362,703644,723149,733390,733930,745513,760917,771205,772679,777965,792733,806124,805821,812676
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","25","  Energy goods and services","DNRGRC0",22643,22771,22990,23477,23703,24208,24276,24525,24282,24719,24605,24757,25405,25550,25628,26600,27172,26402,26893,26893,27456,27782,28476,28743,28949,29903,30427,30965,31106,31990,32615,33129,33247,34127,34115,35026,35864,35704,36568,36796,38004,38614,39230,40091,40665,41053,41787,42517,43620,44004,44500,45251,45763,46515,47961,51109,51788,53220,54800,57723,60086,67366,70201,72198,72414,75800,78908,79546,81564,82597,85972,92414,93748,93053,96821,98783,101351,102798,103355,107321,114981,121240,132520,140682,153700,157772,159307,162830,171494,178180,177679,181004,184264,178057,180665,181736,178417,185353,192311,193310,189981,195634,192434,194313,199895,197383,199002,201879,193444,177088,172744,171003,177827,186248,188348,188990,191317,192124,196221,196646,200944,211966,208166,216164,209975,213319,226554,242026,226322,227694,225841,224387,222051,230088,233235,240099,240310,238222,243499,245722,246048,245506,248373,245597,247049,253414,255330,250906,266239,273917,264456,274143,277183,269400,270830,279503,259991,261836,261947,250025,250726,271707,286434,289632,302113,321018,333624,349100,352618,346354,332923,300855,293120,319667,325944,342070,377056,354541,370042,378359,401246,407632,412983,450496,452437,459055,525118,544150,522032,544790,569922,514462,544957,574097,577212,616502,643144,667344,684844,550934,495298,485123,526809,574194
"36","26","  Personal consumption expenditures excluding food and energy \4\","DPCCRC0",226175,232046,236523,237799,241467,245659,245966,247145,247220,251505,254849,261816,265897,271324,274486,279823,282535,287331,292826,297304,305268,311676,318378,320067,329925,334347,341429,351529,360389,363558,371458,376878,380300,388452,395199,400426,415769,427504,440580,447907,457373,467082,474971,483661,490902,499494,509239,513540,531507,543611,555647,569813,585397,599056,614201,633036,654375,665658,676884,686732,696949,716199,736039,740513,764202,786236,811954,839817,868474,884612,907913,932280,962876,987726,1013765,1045439,1069093,1120117,1145905,1176096,1196682,1226256,1265083,1293736,1321461,1316303,1368130,1427135,1470297,1491787,1529047,1537153,1569647,1598749,1641444,1698845,1742909,1795302,1854431,1904130,1950064,1997881,2036807,2082819,2145724,2189497,2253076,2272179,2319277,2367979,2441615,2478165,2505030,2561633,2624678,2657838,2729205,2781011,2837086,2905400,2949008,2996028,3050759,3083386,3165750,3208528,3252898,3258045,3282857,3329302,3377785,3414303,3515372,3561178,3629567,3698115,3736310,3802475,3858345,3915586,3980414,4034191,4102703,4171963,4200786,4261619,4323736,4381284,4436930,4514755,4575672,4640796,4716374,4762790,4866119,4941189,5018951,5124728,5217266,5333170,5403801,5508966,5596845,5708763,5856733,5919079,6006764,6083231,6153503,6213020,6256281,6400850,6449623,6516214,6596033,6635656,6683418,6784335,6913860,6981931,7088026,7178056,7287803,7401452,7507107,7629196,7712710,7786159,7941245,8029473,8122051,8254797,8386388,8456360,8545674,8644267,8681880,8741103,8741794,8671427,8705816,8727933,8816635,8878304
"37",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.5):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","27","      Personal consumption expenditures","DPCERC0",310058,316078,321282,323395,326935,332806,332755,334679,335206,340158,343055,350322,355603,361241,365111,371385,374950,379079,386069,390739,400372,408350,417252,419833,430533,437468,446644,460600,471036,476137,485290,491099,495416,504550,511812,519352,537343,551128,567306,576241,588443,599810,610129,622128,633204,643146,655083,661787,680809,694862,707279,723502,740875,759406,777934,802711,827303,842909,861353,876472,894660,923204,952002,961838,988078,1016845,1050630,1079591,1113375,1133042,1162427,1196170,1231661,1259667,1290867,1329097,1359078,1416706,1447739,1486962,1522584,1563196,1617680,1661199,1707955,1710038,1768722,1836591,1892399,1923951,1963424,1978219,2016169,2042679,2090696,2152427,2192241,2256377,2326528,2379161,2425486,2484127,2522758,2571970,2643442,2687420,2755851,2783735,2827237,2859187,2930635,2969914,3004750,3071877,3138264,3172952,3253507,3313020,3380394,3453317,3507724,3569989,3626753,3673508,3758718,3811849,3875207,3896024,3909742,3963292,4008695,4038575,4140147,4193515,4267652,4346246,4384909,4452115,4516277,4581056,4650404,4709848,4786316,4856664,4888650,4957494,5022885,5080087,5156543,5248780,5304411,5384689,5467062,5503981,5613341,5698114,5757518,5870215,5967995,6078213,6157445,6289967,6398875,6524861,6682986,6775651,6881730,6981120,7058139,7118678,7151248,7267166,7308976,7403386,7491203,7553191,7646893,7723836,7882490,7962831,8105326,8209373,8330684,8494915,8609637,8747203,8908833,9010315,9148209,9266611,9391773,9484070,9658459,9762519,9865560,10019218,10095079,10194711,10220068,10009814,9987653,9999329,10132872,10250501
"39","28","Household consumption expenditures \5\","DPHCRC0",305203,311086,316147,318135,321607,327507,327492,329465,330019,334743,337507,344612,349812,355496,359435,365770,369273,373205,379957,384406,393730,401654,410538,413107,423760,430442,439303,452963,463249,468367,477556,483386,487540,496350,503199,510352,528142,541863,557927,566702,578749,589888,599919,611613,622458,632197,643789,650417,669114,682818,694767,710437,727708,746004,764460,788291,813223,828276,846630,861393,878969,906735,935438,944844,970812,999252,1032219,1060659,1093458,1113136,1142463,1175682,1210587,1238598,1268947,1306002,1335581,1392598,1422958,1461448,1495640,1535621,1590070,1632133,1677846,1678738,1736352,1802817,1857853,1888342,1926743,1940010,1977204,2003118,2050117,2111181,2150582,2214205,2283289,2334601,2380167,2437073,2474537,2522191,2594349,2637651,2705084,2731975,2773709,2803651,2874616,2913520,2947708,3014386,3078964,3112654,3189971,3247217,3312319,3383679,3438405,3498810,3554044,3599846,3683537,3733447,3793333,3813030,3827230,3879761,3923895,3952438,4051246,4102033,4173700,4251214,4291515,4358320,4421261,4484776,4552063,4608941,4682237,4750498,4783487,4850984,4915318,4970646,5043173,5132633,5186734,5269022,5356288,5393900,5501398,5581918,5635372,5741759,5833634,5939192,6017093,6146658,6252105,6373665,6526315,6614094,6713891,6805716,6878310,6933760,6962385,7075962,7112674,7200581,7282465,7341021,7435095,7511626,7670230,7751839,7895774,7999619,8120338,8284514,8400188,8536478,8694088,8788938,8920999,9029372,9143630,9235255,9409951,9517717,9609354,9754749,9824658,9920972,9937510,9721640,9719617,9739665,9867989,9982102
"40","29","  Food and beverages purchased for off-premises consumption","DFXARC0",61240,61261,61769,62119,61765,62939,62513,63009,63704,63934,63601,63749,64301,64367,64997,64962,65243,65346,66350,66542,67648,68892,70398,71023,71659,73218,74788,78106,79541,80589,81217,81092,81869,81971,82498,83900,85710,87920,90158,91538,93066,94114,95928,98376,101637,102599,104057,105730,105682,107247,107132,108438,109715,113835,115772,118566,121140,124031,129669,132017,137625,139639,145762,149127,151462,154809,159768,160228,163337,165833,168542,171476,175037,178888,180281,184875,188634,193791,198479,203545,210921,215700,220077,226781,232794,235963,241285,246626,250608,253984,256698,260062,262258,265873,268587,271846,270915,275722,279786,281721,285441,290612,293517,294838,297823,300540,303773,309677,314516,314120,316276,320746,321893,323996,325238,326124,332985,339885,347087,351271,357772,361995,367828,373958,382993,390002,395755,395953,400563,406296,405069,399885,402724,402249,404850,408032,408289,411418,414433,419748,423942,430151,435240,439104,440815,442461,443819,447897,453374,460108,464283,469750,473505,471791,476392,477422,478576,483651,488782,495018,502918,509294,515596,526466,524140,535554,541342,548789,552018,559304,562044,565461,566233,567505,569226,575465,586419,584960,598588,602541,616054,623685,629898,642967,650093,658952,671005,680006,684932,692348,699800,714811,727114,732062,742674,758449,770055,786264,793430,787453,786539,786273,789428,798003
"41","30","  Clothing, footwear, and related services","DCAFRC0",27968,28698,28696,29070,29201,29480,29199,29171,29471,29613,29989,30584,30730,31548,31381,31425,31336,31869,32504,32634,33748,34539,35088,35519,35473,35624,36669,38166,39142,39446,40224,40394,40777,41429,42155,42347,43992,45086,46482,46771,47830,48577,49332,49500,49416,49518,49761,51083,51780,53354,53768,54643,55446,56923,58634,60885,63028,63413,63696,64528,65900,67187,68094,66323,68666,71073,72655,73340,74875,75665,77824,79289,80678,82341,84824,89341,89835,94393,95905,98421,98679,100163,103733,105184,105961,106442,109794,113141,116791,118450,120669,120658,121991,120751,123078,124860,126648,131635,134462,138838,141288,145174,144379,147854,150357,153054,155517,158271,161158,164802,166852,167660,172449,175142,178202,179687,182250,184785,189387,196227,196877,200487,202564,205611,207172,207456,207770,205439,207670,211597,212616,209863,217292,220620,225390,228795,227266,229777,232104,234660,236867,237607,240009,244264,241325,242591,246353,246316,247910,252756,253637,256545,257750,258828,264615,266854,269604,272806,272726,276925,283194,287327,288199,289479,292336,296601,299053,301284,297133,294826,291765,293625,295675,295101,291821,298076,295054,299683,308213,308178,314472,312430,315488,321064,325672,331843,330225,339483,343107,344171,347936,353517,360394,356660,358070,361168,359142,362195,356131,344758,346146,339795,342993,346680
"42","31","  Housing, utilities, and fuels","DHUFRC0",55494,56236,57357,58340,59377,59952,60767,62005,62520,63841,64290,65411,66573,67543,68553,70110,71264,71302,72625,73518,74469,75445,76862,78166,78897,80319,81773,83007,83834,85187,86465,87911,88845,90437,91561,93637,95344,96174,98039,100063,102331,103995,106614,109022,110706,112226,114838,117376,120404,123267,125767,128473,131303,134293,137281,141811,144228,147886,151574,155028,158619,164121,168810,173644,177665,183156,187584,190969,196099,200322,206561,215539,220997,223681,232000,238076,246589,252999,257371,265560,274827,281733,291202,302429,311966,320575,331928,343638,349087,363742,373261,383817,393185,395745,402943,412899,417957,429375,440431,450383,455378,467961,477417,486851,500882,505314,518516,531268,534095,542689,551330,559178,566052,578269,587952,599016,611602,618499,631619,641911,650907,658699,669650,690040,687182,704201,719697,725380,732463,745565,752856,760383,766583,780044,786290,800406,809236,817897,834510,845820,863263,876009,884720,892825,903524,921426,936677,945470,963540,971629,975755,991063,1001377,1014705,1027862,1048621,1052501,1073228,1087883,1093611,1112286,1130427,1149647,1157238,1174579,1199599,1224128,1259541,1288261,1297081,1311091,1316540,1325711,1342545,1353741,1374217,1393826,1405698,1412985,1430014,1447230,1466205,1487454,1521583,1552603,1586451,1619952,1656464,1666144,1700090,1729257,1737440,1765658,1779528,1793321,1810193,1839028,1867217,1879471,1895584,1900413,1891219,1892198,1912573
"43","32","  Furnishings, household equipment, and routine household maintenance","DFHHRC0",24844,25636,25922,26161,26002,26459,26078,26176,26381,26446,26790,27549,27873,27963,28594,28844,29237,29473,30195,30409,31482,32844,33093,33393,33355,33949,34974,36544,37006,37090,38456,38797,39010,39524,39772,40462,41505,42895,44179,44187,44848,45542,45388,45747,46053,46333,46527,47556,47765,48122,49049,50118,51552,52692,54232,55601,58343,59295,60433,61705,63524,64749,65714,64432,65275,66863,68631,70449,72596,73867,75639,78062,81542,82836,84617,87083,87824,93072,95158,98324,100026,102563,106626,108085,108881,108199,110702,115165,117146,118235,119268,118487,118271,120157,121420,124309,126807,129662,134368,138511,142212,146840,148276,151083,152310,154201,156760,160700,164161,166703,170914,172854,174699,176080,178203,178586,181572,185229,187245,192196,194707,196907,198513,199780,203179,200957,200049,198050,197822,200323,199593,198699,205524,207349,210933,213789,216240,220484,223918,226921,230063,236370,241677,246357,247109,249146,253995,256519,256229,263344,265525,269795,272144,274642,279638,282655,289082,294319,298775,305211,311660,315635,322222,329089,336823,342042,345221,345881,348653,349392,350517,355823,361719,363949,362382,366104,365111,372255,382161,386345,392565,397097,402990,409066,413692,421500,425428,434817,445136,442694,445060,448751,456732,454407,456100,457664,454575,457027,449972,437855,433745,428856,429421,433485
"44","33","  Health","DHLTRC0",18296,18710,19014,19323,19770,20379,20330,20972,21125,21669,21978,22537,23182,23973,24687,25437,25863,26165,26550,27040,28223,29412,30468,31101,31850,32005,31796,32257,32962,34347,35603,36954,37602,38150,38600,39280,40991,43109,44669,46376,47889,49417,50626,52138,54216,55615,57678,59888,60866,62400,64304,65967,67813,69568,71346,72963,75586,77877,79649,81608,84066,87155,90133,93255,97735,101332,103431,108369,111684,115164,118427,121760,125313,130483,133862,136648,142081,147182,151428,156785,161631,166837,172451,178585,184953,188911,198788,209241,217515,225594,233412,238915,243857,250419,258439,266972,275863,283337,291229,298104,306003,311970,317622,325019,332509,340123,349792,358871,366502,373233,381638,392133,402722,414587,426462,435738,450429,464177,478311,489970,501928,511063,523213,539729,558274,575739,593752,607131,617565,630314,644322,661295,679109,694914,708687,719062,729961,736705,746157,753902,763650,774025,785017,796891,811342,820527,830344,841816,847907,862837,872506,889998,899694,911841,927316,940668,959234,974437,987145,997789,1010708,1022183,1036088,1064359,1070874,1100399,1121417,1145686,1168583,1192123,1223074,1253834,1282082,1305984,1329767,1350488,1371094,1389632,1415137,1439466,1457141,1488617,1517032,1539806,1570539,1589590,1611338,1634358,1658503,1680427,1693310,1720070,1761121,1777827,1797241,1825282,1850035,1874990,1887446,1900304,1931990,1956565,1971658,1995339
"45","34","  Transportation","DTRNRC0",37422,39130,40151,38361,40017,41168,41517,40359,37862,38492,39557,41263,42611,43951,43852,46055,46818,47624,47982,48852,50065,50610,52240,49980,55699,55719,56937,57762,59849,57550,58993,59711,58351,61565,61883,62110,67009,68377,71771,72228,74420,75414,76546,77160,75691,77760,78724,73836,84988,87271,89812,92899,94581,96367,98750,103563,109496,109115,108241,107414,106468,112706,118593,113303,116068,118658,128643,134192,142687,144863,148321,153622,163450,166484,169230,173337,172270,186285,187536,191808,197189,198184,214004,219116,231747,216486,226175,231537,254230,247188,256261,245220,254122,249837,255664,263848,261578,280269,292853,305003,314088,322177,319952,330888,345107,353518,374196,356838,357179,352853,377534,362754,349955,373113,395755,387711,402108,403057,402031,411838,419890,434258,438218,420972,447523,434738,441605,447858,416567,412122,422851,421555,436369,444100,456927,467745,469038,482121,485699,504473,516252,518517,531202,546954,543110,549634,557849,565664,580984,599492,600407,614856,638188,623185,646805,659095,641515,660583,671474,703053,686303,731865,750290,753429,798269,786820,801415,807128,814632,812391,799799,829563,791709,812630,843332,825732,850240,839264,872922,867222,888051,895505,907539,946849,945402,964482,1024029,983464,992183,1011291,1037975,993732,1015323,1046352,1049594,1095288,1091183,1079127,1075966,899701,851561,859866,942665,960777
"46","35","  Communication","DCMCRC0",4735,4788,4862,4952,5047,5143,5267,5365,5434,5504,5588,5704,5787,5855,5934,6050,6263,6371,6491,6591,6619,6898,6999,7235,7273,7414,7617,7838,7564,8167,8282,8470,8634,8787,8919,9151,9432,9533,9719,10031,10399,10611,10840,11067,11294,11562,11659,11910,12164,12532,13019,13339,13740,13998,14669,15004,15393,15946,16349,16837,17201,17489,17776,18288,18735,19645,20364,21078,21617,22140,22774,23168,23489,24024,24380,25324,25886,26678,27504,27988,28541,29228,29767,30163,31154,30888,32153,32989,33891,35364,36372,38223,39025,40536,41701,42961,44013,44916,44861,45562,48093,48438,48078,49078,49655,52150,54969,55643,55864,56652,57530,57376,58293,59491,60988,61167,62012,62228,63834,64481,65451,66781,67781,69092,69190,70084,70903,70193,70957,73092,75097,76335,78489,80527,82504,83050,82899,84660,87164,88345,91036,92371,94258,95386,95879,97521,100054,102314,104374,107118,109468,112306,115734,118238,121648,124804,126576,128779,132524,134493,137555,142768,147386,151200,156024,161392,164370,166484,167195,170633,173644,173807,174786,176268,179193,179627,181269,181369,181939,182690,184950,187353,189663,189447,190536,192333,193108,195058,201155,206595,210527,212924,214144,218002,220039,224013,226250,228430,231251,230090,232713,231855,232392,232592
"47","36","  Recreation","DRRLRC0",18354,18590,18975,19132,19323,19835,19708,19978,19940,20207,20644,21083,21412,21909,22267,22752,23155,23633,24344,24281,25335,26210,26643,26993,27695,28424,28911,30534,31742,32804,34158,34752,35443,35321,36381,36143,38342,39283,40653,41450,42596,43811,43819,44572,46288,46324,47301,48155,48250,49675,50557,51974,53489,55199,56986,59123,61693,62280,63558,64535,65964,68401,70591,70802,73392,75916,78169,80734,83191,84757,87097,89726,90098,93409,96457,99704,101473,104736,107449,111458,114355,118206,120466,122424,124021,123493,127847,134399,136593,140421,144315,145213,147161,149774,152993,155824,160708,166787,171692,178119,183621,188022,191832,196414,202684,205186,207703,213078,217109,219852,228260,236372,239525,245927,249816,252782,261405,270283,276367,285459,286805,293815,299551,302799,310776,313357,316362,318489,321345,324825,328690,330229,338136,341836,348929,358464,366213,374312,382863,390305,398057,409576,418908,429443,434728,445697,455610,463037,466934,478059,486440,494721,499913,505243,512965,519887,530312,539111,552208,562199,573141,586572,599653,615019,629481,636460,644591,648871,650808,653507,653914,664603,674489,679050,680800,689355,690401,702214,722786,734644,749864,759349,770035,779296,792097,802447,809582,825460,847794,849970,858487,880267,891164,897485,911401,926030,925347,938775,935643,912066,918014,907361,914353,924473
"48","37","  Education","DEDURC0",3041,3083,3125,3183,3257,3330,3391,3464,3459,3644,3633,3695,3771,3892,4011,4132,4217,4295,4379,4495,4600,4746,4920,5043,5206,5377,5538,5740,5925,6107,6316,6500,6666,6805,6933,7107,7411,7595,7803,8072,8261,8488,8775,9082,9461,9701,10116,10375,10503,10753,11020,11138,11289,11511,12019,12177,12244,12666,13550,13551,13819,14282,14348,14359,14751,15423,16574,16795,16991,17271,17716,17752,18112,18398,19016,19711,20092,20654,21162,21601,22161,22545,23022,23747,24170,24859,25940,26805,27194,27769,28452,29619,29974,30668,31131,32097,33043,33935,34747,35671,36419,37378,37990,39009,39817,40635,41738,42497,43245,43998,44845,45855,47058,48342,49497,50260,52014,53481,55449,56799,58248,59975,61347,62715,64085,65259,66769,67717,68641,69794,71144,72666,74387,75731,77440,78208,79241,80243,81779,83081,84196,85498,87161,88599,90198,91572,93072,94374,96379,98528,100535,103064,104599,105851,107867,110162,112265,114156,115965,118591,120951,122986,124399,127387,129923,133472,135868,137900,140520,142996,144786,146158,146923,148220,150887,152077,154674,157963,161927,164171,166647,167817,169972,173214,176701,179174,182028,184726,188108,191490,193449,197587,201199,205074,208267,212593,215472,219227,223217,225215,228951,231889,234741,236785
"49","38","  Food services and accommodations","DFSARC0",18949,19465,20093,20446,20295,20658,20457,20528,20812,20781,20874,21388,21691,22048,22451,22836,23011,23205,23272,23735,24360,24813,25040,25298,26044,26867,27498,28313,29013,29409,30005,30110,30335,30503,31147,31843,33468,34200,35101,35609,36030,37345,37727,38742,40284,41662,42262,42287,42529,43237,44176,45246,47025,48245,49599,50674,52731,53504,55530,57566,57850,59723,61404,63477,65539,68028,68957,72760,75095,76754,79297,80061,84800,85598,85665,86595,90232,95187,99992,103005,107068,108528,111431,116658,118460,119475,122103,126847,131637,133861,134590,135573,137129,141017,144565,147322,150098,151971,155080,157049,161618,162685,167010,168351,170546,174569,175366,176715,181356,185258,187811,192323,198093,202182,205120,212123,214895,222439,230327,235726,237496,239795,244803,248292,257001,262063,266674,265200,266442,274091,275802,277246,285059,280601,284249,295341,293500,297763,301743,301418,302128,307896,311225,313426,312686,316180,318504,319492,321033,325591,328522,334446,340022,342081,347750,348388,354175,360828,364286,372747,373129,377865,381999,393332,402915,408979,413740,414870,421157,420286,421091,422379,431725,436972,440380,443654,448365,457432,469307,476217,483266,488480,495749,504195,511603,522845,527828,538956,555863,554978,558936,569195,575888,583424,592273,599982,601816,610808,614737,607284,607340,605966,603741,605706
"50","39","  Financial services and insurance","DIFSRC0",11985,12326,12620,13004,13183,13503,13714,13803,14447,14850,14686,15078,15125,15533,15353,15389,15203,15494,16106,16826,16979,17476,18145,18363,18630,18988,19499,20460,21067,21323,21420,21274,22039,22399,23321,23607,23698,25700,26544,27245,27295,28163,28762,29787,29988,30602,31376,32321,33271,33826,34461,34991,36978,37661,39006,39701,40110,41032,41866,42978,42993,44499,46899,49220,52076,53557,54234,56188,57499,57743,59897,61885,63086,65737,69462,72856,76473,80986,81588,83459,80105,89239,90931,90217,91914,91610,95901,102968,104135,102848,100218,100775,104699,109728,119023,131842,141446,139423,152561,150069,147333,154208,161773,162903,178021,178778,183119,182242,191012,194564,197726,203359,208123,204554,206732,209097,213854,217007,222085,224687,231501,234640,236332,240499,243936,253638,256417,258879,273706,278897,284367,290947,304841,306701,313798,321698,330789,340005,344487,348779,349407,345498,350024,351178,354401,361361,368483,374508,383537,390365,395595,405028,416676,423939,438353,446228,453859,463401,474727,486608,494832,507132,517898,537077,574232,567700,567480,570442,566392,565603,549843,569323,568531,573598,580230,582312,579673,595754,608874,622712,646429,658915,672582,692003,696792,710414,718461,724813,733416,744978,753022,778090,799310,819454,835278,842848,839616,842075,837288,823549,816748,824933,832378,839841
