"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"107","89","  Transportation","W660RC1","20,407.0","22,091.0","23,534.0","24,382.0","25,813.0","30,504.0","33,476.0","33,282.0","34,061.0","37,908.0","43,432.0","48,622.0","52,017.0","54,350.0","56,967.0","62,226.0","67,333.0","72,184.0","75,936.0","79,898.0","82,689.0","90,250.0","93,496.0","96,189.0","101,251.0","107,310.0","110,582.0","115,014.0","122,594.0","128,362.0","139,843.0","151,795.0","163,846.0","170,256.0","174,610.0","180,575.0","191,130.0","203,901.0","218,794.0","232,906.0","238,661.0","240,583.0","243,799.0","248,589.0","256,204.0"
"108","90","    Highways","W661RC1","18,918.0","20,611.0","22,260.0","22,727.0","24,018.0","28,258.0","31,091.0","30,743.0","31,619.0","35,129.0","40,033.0","44,202.0","47,206.0","49,128.0","51,208.0","56,165.0","61,049.0","65,356.0","68,698.0","72,349.0","74,131.0","80,425.0","83,195.0","85,420.0","89,242.0","95,033.0","98,582.0","102,494.0","109,181.0","114,323.0","123,875.0","132,380.0","143,008.0","146,154.0","148,637.0","155,217.0","167,122.0","182,812.0","196,255.0","207,367.0","209,429.0","211,282.0","215,892.0","220,616.0","226,933.0"
"109","91","    Air","W662RC1","550.0","646.0","547.0","586.0","593.0","763.0","727.0","646.0","622.0","815.0","1,095.0","1,375.0","1,319.0","1,303.0","1,500.0","1,686.0","1,825.0","2,173.0","2,475.0","2,607.0","2,899.0","3,430.0","3,872.0","4,484.0","4,835.0","4,061.0","3,346.0","3,816.0","4,531.0","5,146.0","5,919.0","7,131.0","7,843.0","8,293.0","8,484.0","8,896.0","8,636.0","7,361.0","8,292.0","9,072.0","10,185.0","10,198.0","8,786.0","8,205.0","8,222.0"
"110","92","    Water","W663RC1","275.0","252.0","194.0","214.0","237.0","272.0","349.0","335.0","303.0","420.0","562.0","731.0","732.0","665.0","629.0","613.0","727.0","761.0","755.0","809.0","844.0","883.0","786.0","746.0","964.0","982.0","1,030.0","1,171.0","1,168.0","1,221.0","1,350.0","2,837.0","2,886.0","2,542.0","2,472.0","1,580.0","1,591.0","1,563.0","1,733.0","1,817.0","2,004.0","1,981.0","1,893.0","2,213.0","2,515.0"
"111","93","    Transit and railroad","W664RC1","664.0","581.0","533.0","854.0","965.0","1,209.0","1,308.0","1,558.0","1,517.0","1,545.0","1,741.0","2,314.0","2,760.0","3,254.0","3,630.0","3,761.0","3,732.0","3,894.0","4,007.0","4,133.0","4,816.0","5,512.0","5,643.0","5,539.0","6,210.0","7,234.0","7,623.0","7,533.0","7,715.0","7,672.0","8,698.0","9,446.0","10,108.0","13,267.0","15,018.0","14,883.0","13,781.0","12,165.0","12,514.0","14,650.0","17,043.0","17,122.0","17,229.0","17,555.0","18,535.0"
"112","94","  Other economic affairs","W665RC1","4,772.0","5,201.0","5,600.0","6,128.0","6,712.0","7,877.0","8,646.0","9,685.0","10,602.0","12,663.0","14,079.0","15,610.0","17,542.0","18,119.0","18,480.0","18,939.0","21,481.0","22,324.0","22,476.0","23,199.0","24,411.0","26,109.0","27,051.0","28,704.0","29,372.0","30,125.0","31,302.0","31,648.0","32,991.0","33,809.0","37,113.0","40,473.0","43,992.0","46,650.0","48,358.0","49,592.0","51,782.0","55,464.0","61,915.0","64,301.0","65,394.0","62,083.0","60,409.0","60,898.0","63,690.0"
"113","95","    General economic and labor affairs","W656RC1","1,497.0","1,744.0","2,042.0","2,364.0","2,607.0","2,882.0","3,308.0","3,617.0","4,005.0","4,422.0","4,883.0","5,410.0","5,786.0","6,062.0","6,004.0","6,223.0","6,645.0","7,224.0","8,008.0","8,300.0","9,202.0","10,031.0","10,526.0","11,513.0","11,857.0","12,188.0","12,422.0","12,748.0","13,262.0","13,838.0","14,845.0","15,680.0","17,914.0","19,328.0","18,663.0","19,154.0","20,236.0","21,015.0","21,566.0","22,541.0","22,786.0","21,539.0","20,921.0","21,014.0","22,011.0"
"114","96","    Agriculture","W657RC1","657.0","733.0","799.0","836.0","911.0","1,043.0","1,230.0","1,332.0","1,391.0","1,529.0","1,669.0","1,890.0","2,079.0","2,254.0","2,461.0","2,637.0","2,859.0","3,043.0","3,146.0","3,266.0","3,519.0","3,822.0","3,938.0","4,011.0","4,076.0","4,120.0","4,204.0","4,328.0","4,536.0","4,794.0","5,465.0","6,059.0","6,217.0","6,233.0","6,192.0","6,140.0","6,114.0","6,091.0","6,217.0","6,367.0","6,321.0","6,305.0","6,323.0","6,224.0","6,252.0"
"115","97","    Energy","W658RC1","1,038.0","1,115.0","1,175.0","1,285.0","1,409.0","1,786.0","1,684.0","2,249.0","2,732.0","3,977.0","4,339.0","4,630.0","5,684.0","5,402.0","5,272.0","4,887.0","6,186.0","5,775.0","4,694.0","4,619.0","4,070.0","4,168.0","4,168.0","4,529.0","4,609.0","4,051.0","4,022.0","3,547.0","3,810.0","3,329.0","4,114.0","4,754.0","4,990.0","5,541.0","7,661.0","6,923.0","7,495.0","9,100.0","12,686.0","12,600.0","13,718.0","12,835.0","11,746.0","11,791.0","13,008.0"
"116","98","    Natural resources","W659RC1","1,491.0","1,539.0","1,537.0","1,561.0","1,679.0","2,008.0","2,256.0","2,343.0","2,355.0","2,603.0","3,055.0","3,529.0","3,843.0","4,215.0","4,560.0","4,963.0","5,497.0","5,938.0","6,275.0","6,669.0","7,287.0","7,755.0","8,072.0","8,367.0","8,684.0","9,604.0","10,367.0","10,739.0","11,122.0","11,479.0","12,271.0","13,548.0","14,360.0","15,028.0","15,398.0","16,838.0","17,308.0","18,670.0","20,769.0","21,968.0","21,724.0","20,742.0","20,713.0","21,124.0","21,773.0"
"117","99","    Other","W686RC1","89.0","70.0","47.0","82.0","107.0","158.0","168.0","143.0","119.0","132.0","134.0","151.0","151.0","185.0","184.0","229.0","294.0","343.0","353.0","346.0","333.0","333.0","347.0","284.0","147.0","162.0","287.0","285.0","261.0","370.0","418.0","432.0","511.0","520.0","446.0","537.0","629.0","588.0","676.0","825.0","845.0","662.0","706.0","745.0","644.0"
"118","100","Housing and community services","W666RC1","5,004.0","5,236.0","5,629.0","5,714.0","6,395.0","7,809.0","9,027.0","9,465.0","9,376.0","11,367.0","12,700.0","15,170.0","14,951.0","14,732.0","14,052.0","15,707.0","17,108.0","19,092.0","21,370.0","22,494.0","23,492.0","25,812.0","26,913.0","27,347.0","25,996.0","25,682.0","26,987.0","29,219.0","30,509.0","30,534.0","32,681.0","33,254.0","37,133.0","40,775.0","42,757.0","44,999.0","47,703.0","56,084.0","58,032.0","59,614.0","58,761.0","61,650.0","56,308.0","52,977.0","53,630.0"
"119","101","  Water","W667RC1","1,431.0","1,188.0","1,110.0","1,217.0","1,226.0","1,555.0","2,136.0","2,106.0","1,890.0","2,484.0","2,841.0","3,568.0","3,406.0","3,578.0","3,187.0","3,827.0","4,491.0","5,384.0","6,052.0","6,041.0","6,307.0","7,082.0","7,352.0","6,758.0","6,320.0","6,723.0","6,933.0","7,846.0","8,595.0","9,041.0","10,013.0","10,123.0","11,375.0","12,527.0","12,959.0","13,871.0","14,598.0","19,010.0","19,093.0","19,702.0","19,323.0","19,398.0","16,762.0","16,152.0","16,008.0"
"120","102","  Sewerage","W668RC1","1,374.0","1,576.0","1,874.0","2,050.0","2,491.0","3,464.0","3,730.0","4,249.0","4,064.0","5,135.0","5,580.0","6,618.0","5,823.0","5,521.0","4,966.0","5,804.0","5,947.0","6,619.0","7,807.0","8,053.0","7,872.0","8,488.0","8,786.0","9,288.0","8,522.0","7,681.0","8,217.0","8,980.0","9,053.0","8,678.0","9,160.0","8,912.0","10,229.0","11,779.0","12,427.0","13,442.0","14,555.0","19,711.0","20,680.0","22,209.0","21,588.0","22,655.0","21,400.0","19,995.0","20,041.0"
"121","103","  Sanitation","W669RC1","1,102.0","1,248.0","1,389.0","1,483.0","1,634.0","1,795.0","1,948.0","2,015.0","2,106.0","2,435.0","2,577.0","2,920.0","3,185.0","3,217.0","3,216.0","3,441.0","3,784.0","4,106.0","4,409.0","5,211.0","6,020.0","6,535.0","6,869.0","7,020.0","7,125.0","7,622.0","7,464.0","7,780.0","7,944.0","7,860.0","8,412.0","9,235.0","9,915.0","10,109.0","10,362.0","10,814.0","11,596.0","11,730.0","11,384.0","11,845.0","11,410.0","10,633.0","10,723.0","11,019.0","11,796.0"
"122","104","  Housing and other","W670RC1","1,097.0","1,225.0","1,257.0","964.0","1,043.0","994.0","1,214.0","1,096.0","1,315.0","1,314.0","1,703.0","2,064.0","2,537.0","2,415.0","2,683.0","2,635.0","2,886.0","2,983.0","3,101.0","3,190.0","3,293.0","3,708.0","3,905.0","4,281.0","4,029.0","3,655.0","4,373.0","4,613.0","4,919.0","4,954.0","5,095.0","4,985.0","5,614.0","6,360.0","7,010.0","6,873.0","6,954.0","5,634.0","6,875.0","5,859.0","6,439.0","8,964.0","7,423.0","5,811.0","5,787.0"
"123","105","Health (net)","W671RC1","6,612.0","7,628.0","8,792.0","9,182.0","9,853.0","11,611.0","12,812.0","13,034.0","14,320.0","15,598.0","16,571.0","18,810.0","19,869.0","20,554.0","20,076.0","21,435.0","23,288.0","24,137.0","26,160.0","28,581.0","31,286.0","34,509.0","35,464.0","35,838.0","34,720.0","34,895.0","34,472.0","34,403.0","33,353.0","34,427.0","40,123.0","41,906.0","41,864.0","47,937.0","50,496.0","55,208.0","63,843.0","65,292.0","75,667.0","83,292.0","80,912.0","79,025.0","79,857.0","82,267.0","86,608.0"
"124","106","  Gross expenditures","Y650RC1","10,175.0","11,550.0","13,544.0","14,899.0","16,555.0","19,171.0","21,427.0","23,057.0","25,379.0","28,464.0","31,956.0","36,358.0","41,045.0","45,229.0","48,069.0","50,972.0","55,444.0","59,072.0","63,390.0","69,117.0","76,477.0","84,749.0","92,665.0","101,325.0","108,066.0","113,908.0","119,643.0","121,130.0","123,374.0","128,025.0","136,973.0","146,045.0","158,169.0","168,826.0","175,496.0","186,288.0","196,304.0","206,799.0","225,660.0","241,124.0","248,080.0","254,536.0","261,762.0","272,158.0","281,831.0"
"125","107","  Less: Sales to other sectors","Y651RC1","3,562.0","3,922.0","4,752.0","5,717.0","6,702.0","7,560.0","8,615.0","10,022.0","11,059.0","12,866.0","15,385.0","17,548.0","21,176.0","24,675.0","27,993.0","29,537.0","32,157.0","34,935.0","37,230.0","40,537.0","45,191.0","50,240.0","57,201.0","65,487.0","73,347.0","79,014.0","85,171.0","86,727.0","90,021.0","93,599.0","96,850.0","104,139.0","116,305.0","120,888.0","125,001.0","131,080.0","132,460.0","141,507.0","149,993.0","157,831.0","167,168.0","175,511.0","181,905.0","189,892.0","195,223.0"
"126","108","Recreation and culture","W672RC1","1,937.0","2,167.0","2,390.0","2,531.0","2,832.0","3,388.0","4,086.0","4,173.0","4,287.0","4,848.0","5,360.0","5,838.0","6,220.0","6,730.0","7,167.0","7,707.0","8,678.0","9,456.0","10,000.0","10,739.0","12,026.0","13,466.0","14,115.0","14,715.0","14,911.0","15,762.0","17,000.0","18,195.0","19,594.0","20,665.0","22,214.0","24,820.0","27,200.0","28,845.0","28,617.0","29,919.0","31,986.0","33,370.0","36,314.0","38,211.0","38,056.0","36,856.0","35,354.0","35,522.0","36,142.0"
"127","109","Education","W673RC1","47,663.0","53,651.0","59,972.0","65,833.0","71,896.0","80,357.0","91,176.0","97,690.0","103,927.0","111,724.0","122,868.0","133,737.0","143,832.0","153,227.0","162,010.0","176,012.0","192,065.0","208,743.0","223,786.0","242,249.0","266,538.0","289,997.0","308,245.0","326,201.0","339,932.0","358,597.0","383,699.0","403,978.0","429,645.0","455,474.0","490,010.0","530,306.0","567,630.0","585,789.0","609,459.0","644,999.0","677,751.0","720,273.0","768,552.0","808,975.0","820,044.0","822,360.0","823,028.0","823,913.0","824,234.0"
"128","110","  Elementary and secondary","W674RC1","37,018.0","41,148.0","45,991.0","50,237.0","54,390.0","60,558.0","69,115.0","74,080.0","79,014.0","85,069.0","93,873.0","101,751.0","108,484.0","115,495.0","122,994.0","134,166.0","145,939.0","159,453.0","172,124.0","186,305.0","204,465.0","223,118.0","238,357.0","253,196.0","262,059.0","275,472.0","296,354.0","313,662.0","334,174.0","354,604.0","382,164.0","412,229.0","438,548.0","458,453.0","481,592.0","507,768.0","534,063.0","568,621.0","601,412.0","629,381.0","635,685.0","635,603.0","630,575.0","624,160.0","620,263.0"
"129","111","  Higher","W675RC1","8,464.0","9,922.0","11,065.0","12,359.0","14,055.0","15,787.0","17,348.0","18,663.0","19,791.0","21,210.0","23,173.0","25,684.0","28,712.0","30,840.0","31,943.0","34,190.0","37,808.0","40,427.0","42,073.0","45,522.0","50,550.0","54,570.0","57,251.0","59,815.0","64,101.0","68,560.0","71,823.0","73,916.0","78,315.0","82,848.0","88,520.0","96,857.0","106,208.0","103,671.0","103,337.0","111,632.0","116,806.0","124,271.0","138,743.0","149,866.0","153,593.0","155,691.0","161,891.0","168,666.0","171,811.0"
"130","112","  Libraries and other","W677RC1","2,181.0","2,581.0","2,917.0","3,237.0","3,451.0","4,012.0","4,714.0","4,946.0","5,122.0","5,445.0","5,822.0","6,302.0","6,636.0","6,892.0","7,073.0","7,656.0","8,318.0","8,863.0","9,589.0","10,423.0","11,523.0","12,309.0","12,637.0","13,190.0","13,772.0","14,566.0","15,521.0","16,400.0","17,156.0","18,022.0","19,326.0","21,221.0","22,874.0","23,665.0","24,531.0","25,598.0","26,882.0","27,381.0","28,397.0","29,729.0","30,766.0","31,065.0","30,563.0","31,087.0","32,160.0"
"131","113","    Libraries","W676RC1","707.0","779.0","848.0","926.0","1,012.0","1,129.0","1,288.0","1,345.0","1,409.0","1,543.0","1,696.0","1,871.0","2,041.0","2,234.0","2,385.0","2,634.0","2,927.0","3,218.0","3,463.0","3,789.0","4,130.0","4,529.0","4,875.0","5,107.0","5,210.0","5,514.0","5,868.0","6,346.0","6,777.0","7,048.0","7,476.0","8,011.0","8,695.0","9,253.0","9,642.0","10,350.0","11,035.0","11,473.0","12,232.0","12,899.0","13,197.0","12,822.0","12,557.0","12,728.0","13,102.0"
"132","114","    Other","W683RC1","1,474.0","1,802.0","2,069.0","2,311.0","2,439.0","2,883.0","3,426.0","3,601.0","3,713.0","3,902.0","4,126.0","4,431.0","4,595.0","4,657.0","4,688.0","5,021.0","5,391.0","5,645.0","6,126.0","6,634.0","7,393.0","7,780.0","7,762.0","8,082.0","8,562.0","9,052.0","9,654.0","10,054.0","10,379.0","10,973.0","11,850.0","13,210.0","14,179.0","14,412.0","14,888.0","15,248.0","15,847.0","15,908.0","16,165.0","16,829.0","17,569.0","18,243.0","18,007.0","18,359.0","19,058.0"
"133","115","Income security","W678RC1","2,577.0","3,118.0","3,722.0","4,416.0","5,175.0","5,968.0","6,770.0","7,572.0","8,463.0","9,357.0","10,285.0","11,195.0","12,318.0","13,079.0","15,007.0","16,241.0","17,720.0","18,924.0","20,145.0","21,902.0","24,447.0","27,498.0","30,121.0","32,920.0","35,070.0","38,342.0","40,329.0","41,546.0","44,393.0","48,044.0","52,132.0","56,535.0","62,495.0","67,735.0","68,471.0","68,471.0","69,744.0","70,724.0","72,830.0","75,573.0","76,675.0","75,601.0","74,798.0","75,692.0","76,740.0"
"134","116","  Disability","W679RC1","97.0","106.0","115.0","125.0","140.0","155.0","169.0","185.0","219.0","237.0","268.0","313.0","366.0","416.0","451.0","474.0","506.0","570.0","663.0","760.0","928.0","1,147.0","1,362.0","1,553.0","1,745.0","2,032.0","2,312.0","2,386.0","2,612.0","2,821.0","2,783.0","2,722.0","2,986.0","4,107.0","4,800.0","4,708.0","4,820.0","4,784.0","4,491.0","4,249.0","3,896.0","3,519.0","3,353.0","3,280.0","3,279.0"
"135","117","  Welfare and social services","W680RC1","2,480.0","3,013.0","3,607.0","4,291.0","5,035.0","5,813.0","6,601.0","7,387.0","8,244.0","9,120.0","10,016.0","10,882.0","11,952.0","12,663.0","14,556.0","15,767.0","17,214.0","18,354.0","19,482.0","21,142.0","23,519.0","26,351.0","28,759.0","31,367.0","33,325.0","36,310.0","38,017.0","39,160.0","41,781.0","45,223.0","49,349.0","53,813.0","59,509.0","63,628.0","63,671.0","63,764.0","64,923.0","65,940.0","68,339.0","71,324.0","72,779.0","72,082.0","71,445.0","72,412.0","73,461.0"
"136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","1. Consists of consumption expenditures to administer social insurance funds, including",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","old age and survivors insurance (social security) and railroad retirement. Excludes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","government employee retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","2. Consists of consumption expenditures to administer federal revenue sharing grants to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","state and local governments beginning with 1972 and ending with 1987.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","3. Consists primarily of unallocable state and local government consumption expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
