"","Table 3#6# Contributions for Government Social Insurance        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"40","22","    Old-age, survivors, disability, and hospital insurance","A1586C1",".....",".....",".....",".....",".....",".....",".....",".....","288.0","260.0","290.0","327.0","417.0","529.0","621.0","643.0","624.0","680.0","771.0","828.0","802.0","1,291.0","1,639.0","1,956.0","2,068.0","2,640.0","3,072.0","3,445.0","4,137.0","4,163.0","5,063.0","6,242.0","6,429.0","6,926.0","8,208.0","8,687.0","9,159.0","12,910.0","14,939.0","16,588.0","19,074.0","20,039.0","22,016.0","25,041.0","32,523.0","37,177.0","39,133.0","43,226.0","47,939.0","55,324.0","65,296.0","72,360.0","86,376.0","92,610.0","99,068.0","109,979.0","124,786.0","136,121.0","145,868.0","162,881.0","174,742.0","188,725.0","198,495.0","208,142.0","217,289.0","231,454.0","244,401.0","257,223.0","274,841.0","294,227.0","313,716.0","335,523.0","346,851.0","354,880.0","363,339.0","381,193.0","400,282.0","424,626.0","444,487.0","459,424.0"
"41","23","      Employees","A1587C1",".....",".....",".....",".....",".....",".....",".....",".....","288.0","260.0","290.0","327.0","417.0","529.0","621.0","643.0","624.0","680.0","771.0","828.0","802.0","1,291.0","1,639.0","1,750.0","1,849.0","2,417.0","2,774.0","2,977.0","3,615.0","3,582.0","4,473.0","5,543.0","5,604.0","6,084.0","7,324.0","7,680.0","8,138.0","11,838.0","13,144.0","14,994.0","17,294.0","18,155.0","20,121.0","22,912.0","29,976.0","34,055.0","35,781.0","39,716.0","44,050.0","51,021.0","60,324.0","66,772.0","80,448.0","85,781.0","91,943.0","101,563.0","113,914.0","123,735.0","131,636.0","147,140.0","157,090.0","169,792.0","177,430.0","185,707.0","193,698.0","206,639.0","217,672.0","229,591.0","245,923.0","263,687.0","281,326.0","301,350.0","311,246.0","317,992.0","324,864.0","340,356.0","356,238.0","377,870.0","395,670.0","408,650.0"
"42","24","        Old-age, survivors, and disability insurance","L306221",".....",".....",".....",".....",".....",".....",".....",".....","288.0","260.0","290.0","327.0","417.0","529.0","621.0","643.0","624.0","680.0","771.0","828.0","802.0","1,291.0","1,639.0","1,750.0","1,849.0","2,417.0","2,774.0","2,977.0","3,615.0","3,582.0","4,473.0","5,543.0","5,604.0","6,084.0","7,324.0","7,680.0","8,138.0","10,817.0","11,597.0","12,910.0","15,106.0","15,859.0","17,778.0","20,239.0","24,769.0","28,764.0","30,214.0","33,536.0","37,198.0","42,493.0","49,873.0","55,214.0","64,558.0","69,006.0","73,276.0","80,996.0","91,207.0","97,682.0","103,929.0","117,756.0","125,697.0","136,413.0","140,350.0","146,627.0","152,725.0","161,088.0","169,166.0","178,129.0","190,472.0","203,826.0","217,349.0","232,428.0","240,735.0","247,125.0","252,138.0","263,508.0","274,874.0","291,209.0","304,346.0","315,134.0"
"43","25","        Hospital insurance","L306231",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,021.0","1,547.0","2,084.0","2,188.0","2,296.0","2,343.0","2,673.0","5,207.0","5,291.0","5,567.0","6,180.0","6,852.0","8,528.0","10,451.0","11,558.0","15,890.0","16,775.0","18,667.0","20,567.0","22,707.0","26,053.0","27,707.0","29,384.0","31,393.0","33,379.0","37,080.0","39,080.0","40,973.0","45,551.0","48,506.0","51,462.0","55,451.0","59,861.0","63,977.0","68,922.0","70,511.0","70,867.0","72,726.0","76,848.0","81,364.0","86,661.0","91,324.0","93,516.0"
"44","26","      Self-employed","CON5201",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","206.0","219.0","223.0","298.0","468.0","522.0","581.0","590.0","699.0","825.0","842.0","884.0","1,007.0","1,021.0","1,072.0","1,795.0","1,594.0","1,780.0","1,884.0","1,895.0","2,129.0","2,547.0","3,122.0","3,352.0","3,510.0","3,889.0","4,303.0","4,972.0","5,588.0","5,928.0","6,829.0","7,125.0","8,416.0","10,872.0","12,386.0","14,232.0","15,741.0","17,652.0","18,933.0","21,065.0","22,435.0","23,591.0","24,815.0","26,729.0","27,632.0","28,918.0","30,540.0","32,390.0","34,173.0","35,605.0","36,888.0","38,475.0","40,837.0","44,044.0","46,756.0","48,817.0","50,774.0"
"45","27","    Supplementary medical insurance","CON5301",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","320.0","636.0","828.0","908.0","1,091.0","1,293.0","1,375.0","1,545.0","1,795.0","1,908.0","2,049.0","2,234.0","2,456.0","2,704.0","2,993.0","3,437.0","3,938.0","4,211.0","5,136.0","5,579.0","5,687.0","6,695.0","9,378.0","12,724.0","10,732.0","11,870.0","12,918.0","15,172.0","17,271.0","19,526.0","18,579.0","19,094.0","19,220.0","20,263.0","20,331.0","22,624.0","24,688.0","27,072.0","31,030.0","37,075.0","43,557.0","47,877.0","51,318.0"
"46","28","    State unemployment insurance","CON5441",".....",".....",".....",".....",".....",".....",".....","9.0","32.0","44.0","41.0","44.0","56.0","74.0","88.0","90.0","79.0","44.0","33.0","18.0","11.0","13.0","13.0","14.0","14.0","13.0","14.0","16.0","15.0","13.0","13.0","14.0","16.0","19.0","21.0","20.0","20.0","21.0","22.0","25.0","27.0","38.0","29.0","26.0","27.0","30.0","64.0","91.0","103.0","116.0","120.0","130.0","137.0","145.0","196.0","282.0","320.0","259.0","327.0","350.0","230.0","184.0","246.0","313.0","241.0","222.0","181.0","206.0","31.0","105.0","115.0","124.0","62.0","144.0","206.0","377.0","487.0","554.0","500.0","509.0"
"47","29","    Railroad retirement","CON5501",".....",".....",".....",".....",".....",".....",".....",".....","62.0","54.0","58.0","67.0","80.0","98.0","129.0","140.0","140.0","163.0","271.0","283.0","277.0","282.0","307.0","319.0","312.0","294.0","308.0","316.0","304.0","265.0","287.0","297.0","275.0","289.0","287.0","305.0","326.0","358.0","375.0","414.0","443.0","437.0","450.0","499.0","524.0","358.0","350.0","386.0","418.0","450.0","563.0","600.0","713.0","834.0","829.0","956.0","1,071.0","1,139.0","1,126.0","1,213.0","1,201.0","1,207.0","1,217.0","1,254.0","1,231.0","1,250.0","1,250.0","1,279.0","1,313.0","1,377.0","1,403.0","1,415.0","1,411.0","1,399.0","1,411.0","1,470.0","1,477.0","1,526.0","1,512.0","1,542.0"
"48","30","    Veterans life insurance","CON5741","66.0","66.0","65.0","63.0","59.0","62.0","60.0","61.0","61.0","60.0","59.0","56.0","65.0","181.0","607.0","932.0","1,030.0","617.0","503.0","414.0","402.0","474.0","533.0","439.0","447.0","456.0","460.0","474.0","519.0","517.0","528.0","540.0","567.0","564.0","569.0","541.0","565.0","606.0","589.0","582.0","578.0","579.0","591.0","694.0","643.0","657.0","654.0","676.0","673.0","693.0","681.0","708.0","734.0","748.0","733.0","742.0","765.0","812.0","820.0","805.0","805.0","804.0","830.0","1,098.0","805.0","793.0","762.0","772.0","763.0","707.0","660.0","625.0","613.0","585.0","542.0","495.0","447.0","411.0","380.0","354.0"
"49","31","  State and local social insurance funds \2\","B738RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0","5.0","5.0","4.0","48.0","55.0","69.0","48.0","51.0","48.0","52.0","55.0","59.0","63.0","68.0","70.0","77.0","88.0","101.0","108.0","137.0","179.0","202.0","253.0","275.0","287.0","308.0","343.0","336.0","351.0","412.0","451.0","470.0","477.0","508.0","623.0","693.0","798.0","457.0","694.0","850.0","1,034.0","1,337.0","1,115.0","1,551.0","2,017.0","2,222.0","1,856.0","2,005.0","2,392.0","2,828.0","3,008.0","3,051.0","2,560.0","2,214.0","1,606.0","1,778.0","1,789.0","2,602.0","3,649.0","3,646.0","3,920.0","4,648.0","5,457.0","4,448.0","3,746.0","4,788.0"
"50","32","Rest-of-the-world contributions \3\","W781RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","22.0","23.0","26.0","26.0","30.0","31.0","37.0","40.0","34.0","52.0","57.0","66.0","77.0","84.0","105.0","112.0","144.0","213.0","234.0","328.0","374.0","542.0","569.0","587.0","639.0","759.0","865.0","929.0","1,015.0","1,168.0","1,192.0","1,255.0","1,336.0","1,425.0","1,452.0","1,525.0","1,674.0","1,706.0","1,967.0","2,050.0","2,137.0","2,221.0","2,487.0","2,703.0","2,788.0","3,014.0","3,102.0","3,293.0","3,553.0","3,748.0","3,750.0","3,919.0","4,386.0","4,661.0","4,584.0","4,829.0","5,027.0"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","1. Consists of payments for medical services for dependents of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","active duty military personnel at nonmilitary facilities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2. Consists of contributions for temporary disability insurance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","3. Consists primarily of contributions by residents of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","U.S. territories and the Commonwealths of Puerto Rico and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
