"","Table 3#12# Government Social Benefits                          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"40","22","    Black lung benefits","TRP6501",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","110.0","379.0","554.0","1,057.0","957.0","957.0","981.0","972.0","1,038.0","1,724.0","1,751.0","1,724.0","1,651.0","1,688.0","1,636.0","1,599.0","1,579.0","1,541.0","1,499.0","1,477.0","1,435.0","1,413.0","1,396.0","1,354.0","1,300.0","1,216.0","1,151.0","1,089.0","994.0","985.0","931.0","866.0","839.0","778.0","714.0","661.0","612.0","566.0","522.0"
"41","23","    Supplemental security income","TRP7001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,959.0","4,437.0","4,631.0","4,743.0","4,920.0","5,321.0","5,905.0","6,551.0","6,923.0","7,433.0","8,284.0","8,775.0","9,496.0","10,027.0","10,733.0","11,605.0","12,892.0","14,764.0","18,245.0","20,719.0","22,469.0","23,917.0","25,262.0","25,455.0","26,402.0","26,802.0","27,287.0","28,702.0","29,895.0","30,684.0","31,883.0","33,054.0","34,673.0","36,654.0","38,564.0"
"42","24","    Direct relief","TRP7301",".....",".....",".....",".....",".....",".....","2.0","20.0","36.0","23.0","22.0","63.0","137.0","108.0","9.0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"43","25","    Earned income credit","TRP7601",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","908.0","902.0","880.0","822.0","1,326.0","1,318.0","1,201.0","1,215.0","1,190.0","1,103.0","1,420.0","1,407.0","2,710.0","4,007.0","4,353.0","4,899.0","8,278.0","9,427.0","11,417.0","15,395.0","19,209.0","21,745.0","23,199.0","26,151.0","26,981.0","26,697.0","32,933.0","38,472.0","41,941.0","49,237.0","51,629.0","54,704.0","57,360.0"
"44","26","    Other \4\","TRP7801","111.0","110.0","112.0","118.0","102.0","96.0","92.0","86.0","82.0","62.0","24.0","19.0","32.0","78.0","195.0","295.0","240.0","130.0","297.0","338.0","340.0","359.0","295.0","221.0","190.0","122.0","112.0","113.0","126.0","181.0","224.0","244.0","297.0","375.0","441.0","564.0","746.0","1,010.0","1,298.0","1,440.0","1,711.0","2,125.0","2,432.0","2,580.0","2,609.0","2,875.0","4,951.0","4,290.0","4,667.0","6,143.0","6,833.0","10,891.0","10,017.0","8,169.0","8,930.0","9,604.0","9,622.0","10,126.0","10,493.0","11,324.0","13,592.0","13,507.0","14,711.0","16,067.0","17,211.0","16,563.0","17,009.0","17,201.0","17,804.0","19,767.0","20,667.0","21,227.0","25,481.0","30,032.0","30,244.0","37,542.0","36,393.0","35,018.0","35,753.0","70,976.0"
"45","27","  State and local","B109RC1","146.0","186.0","263.0","407.0","649.0","834.0","1,045.0","725.0","879.0","1,058.0","1,115.0","1,099.0","1,067.0","1,035.0","1,010.0","1,023.0","1,088.0","1,468.0","2,045.0","2,695.0","2,657.0","3,190.0","2,644.0","2,913.0","2,972.0","3,067.0","3,252.0","3,292.0","3,601.0","4,035.0","4,339.0","4,561.0","4,982.0","5,340.0","5,697.0","6,154.0","6,651.0","7,621.0","9,232.0","11,446.0","13,217.0","16,101.0","19,332.0","21,953.0","24,084.0","25,276.0","30,802.0","34,138.0","37,039.0","40,767.0","44,316.0","51,201.0","57,090.0","61,197.0","66,906.0","71,169.0","77,260.0","84,344.0","90,726.0","98,501.0","109,348.0","127,655.0","156,517.0","179,996.0","195,210.0","206,707.0","217,636.0","224,255.0","227,558.0","235,779.0","252,349.0","271,433.0","305,069.0","333,009.0","353,410.0","384,275.0","404,765.0","402,909.0","433,658.0","455,044.0"
"46","28","    Benefits from social insurance funds","A1595C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","3.0","5.0","5.0","88.0","117.0","131.0","145.0","167.0","183.0","205.0","223.0","248.0","262.0","289.0","312.0","357.0","384.0","432.0","480.0","533.0","596.0","633.0","663.0","700.0","754.0","811.0","886.0","938.0","985.0","1,107.0","1,246.0","1,371.0","1,483.0","1,711.0","1,945.0","2,184.0","2,534.0","2,790.0","3,178.0","3,658.0","3,977.0","4,424.0","4,902.0","5,452.0","6,384.0","7,210.0","7,912.0","9,248.0","10,530.0","11,480.0","11,370.0","10,974.0","10,736.0","10,954.0","10,729.0","10,384.0","10,626.0","11,384.0","12,698.0","14,190.0","15,685.0","16,646.0","16,987.0","16,906.0","17,418.0","18,412.0"
"47","29","      Temporary disability insurance","S122001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","3.0","5.0","5.0","5.0","22.0","26.0","31.0","38.0","36.0","43.0","49.0","60.0","63.0","74.0","84.0","104.0","113.0","138.0","160.0","185.0","229.0","249.0","261.0","267.0","285.0","317.0","357.0","398.0","399.0","417.0","463.0","495.0","517.0","511.0","570.0","622.0","695.0","780.0","894.0","962.0","996.0","1,146.0","1,402.0","1,533.0","1,638.0","1,749.0","1,865.0","2,205.0","2,759.0","2,937.0","2,318.0","2,185.0","2,099.0","2,045.0","2,038.0","2,065.0","2,223.0","2,650.0","3,079.0","3,410.0","3,646.0","3,846.0","4,316.0","4,573.0","4,945.0","5,431.0"
"48","30","      Workers' compensation","S123001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","83.0","95.0","105.0","114.0","129.0","147.0","162.0","174.0","188.0","199.0","215.0","228.0","253.0","271.0","294.0","320.0","348.0","367.0","384.0","402.0","433.0","469.0","494.0","529.0","540.0","586.0","690.0","783.0","876.0","966.0","1,200.0","1,375.0","1,562.0","1,839.0","2,010.0","2,284.0","2,696.0","2,981.0","3,278.0","3,500.0","3,919.0","4,746.0","5,461.0","6,047.0","7,043.0","7,771.0","8,543.0","9,052.0","8,789.0","8,637.0","8,909.0","8,691.0","8,319.0","8,403.0","8,734.0","9,619.0","10,780.0","12,039.0","12,800.0","12,671.0","12,333.0","12,473.0","12,981.0"
"49","31","    Public assistance","A1596C1","122.0","160.0","233.0","374.0","617.0","807.0","1,019.0","699.0","855.0","1,032.0","1,091.0","1,079.0","1,051.0","1,022.0","996.0","1,008.0","1,055.0","1,246.0","1,552.0","1,810.0","2,259.0","2,443.0","2,371.0","2,483.0","2,573.0","2,745.0","2,844.0","2,910.0","3,140.0","3,524.0","3,791.0","3,929.0","4,243.0","4,600.0","4,891.0","5,274.0","5,700.0","6,551.0","7,990.0","10,021.0","11,591.0","14,273.0","17,289.0","19,642.0","21,459.0","22,101.0","26,884.0","29,596.0","32,025.0","34,324.0","37,574.0","43,952.0","49,564.0","53,081.0","58,410.0","62,299.0","67,194.0","73,287.0","78,549.0","85,265.0","94,855.0","111,085.0","138,243.0","160,212.0","174,889.0","185,783.0","195,781.0","201,919.0","205,182.0","212,850.0","228,330.0","245,433.0","275,878.0","301,242.0","319,303.0","347,776.0","366,315.0","362,190.0","389,852.0","407,153.0"
"50","32","      Medical care","B1597C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","116.0","140.0","165.0","197.0","227.0","249.0","349.0","467.0","529.0","689.0","930.0","1,070.0","1,255.0","1,476.0","1,990.0","2,780.0","4,055.0","4,616.0","5,530.0","6,829.0","8,304.0","9,719.0","11,482.0","14,240.0","15,854.0","17,335.0","19,308.0","21,764.0","24,913.0","29,202.0","32,055.0","35,935.0","38,804.0","42,425.0","46,856.0","51,388.0","56,769.0","64,976.0","78,176.0","102,116.0","121,786.0","135,145.0","144,886.0","155,007.0","163,602.0","168,291.0","175,278.0","189,252.0","205,021.0","234,643.0","258,560.0","273,916.0","299,842.0","315,032.0","310,977.0","336,753.0","352,170.0"
"51","33","        Medicaid","TRP8001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","367.0","426.0","580.0","820.0","963.0","1,148.0","1,358.0","1,881.0","2,720.0","3,997.0","4,551.0","5,455.0","6,744.0","8,211.0","9,611.0","11,176.0","13,863.0","15,457.0","16,737.0","18,619.0","21,067.0","23,855.0","27,746.0","30,159.0","33,871.0","36,572.0","39,673.0","43,645.0","47,836.0","53,027.0","60,838.0","73,144.0","96,911.0","116,248.0","130,104.0","139,429.0","149,570.0","158,188.0","163,124.0","170,195.0","184,555.0","199,493.0","227,259.0","250,070.0","264,558.0","289,673.0","304,391.0","299,043.0","324,064.0","338,567.0"
"52","34","        Other medical care \5\","TRP8101",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","100.0","103.0","109.0","110.0","107.0","107.0","118.0","109.0","60.0","58.0","65.0","75.0","85.0","93.0","108.0","306.0","377.0","397.0","598.0","689.0","697.0","1,058.0","1,456.0","1,896.0","2,064.0","2,232.0","2,752.0","3,211.0","3,552.0","3,742.0","4,138.0","5,032.0","5,205.0","5,538.0","5,041.0","5,457.0","5,437.0","5,414.0","5,167.0","5,083.0","4,697.0","5,528.0","7,384.0","8,490.0","9,358.0","10,169.0","10,641.0","11,934.0","12,689.0","13,603.0"
"53","35","      Family assistance \6\","B1598C1",".....",".....",".....",".....","72.0","80.0","115.0","218.0","397.0","509.0","566.0","630.0","718.0","778.0","818.0","850.0","900.0","1,057.0","295.0","364.0","475.0","551.0","552.0","539.0","545.0","573.0","613.0","633.0","714.0","836.0","934.0","991.0","1,146.0","1,288.0","1,356.0","1,500.0","1,650.0","1,854.0","2,256.0","2,824.0","3,545.0","4,836.0","6,195.0","6,923.0","7,218.0","7,955.0","9,305.0","10,105.0","10,639.0","10,776.0","11,078.0","12,516.0","13,144.0","12,889.0","13,847.0","14,480.0","15,185.0","16,138.0","16,415.0","16,890.0","17,485.0","19,187.0","21,132.0","22,242.0","22,826.0","23,163.0","22,637.0","20,325.0","17,877.0","17,429.0","17,920.0","18,440.0","18,106.0","17,684.0","18,367.0","18,371.0","18,216.0","18,226.0","18,457.0","18,874.0"
"54","36","      Supplemental security income \7\","B1599C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,019.0","1,165.0","1,414.0","1,504.0","1,523.0","1,590.0","1,662.0","1,665.0","1,670.0","1,734.0","1,842.0","1,907.0","1,921.0","1,947.0","1,906.0","1,931.0","2,013.0","2,051.0","2,098.0","2,201.0","2,360.0","2,419.0","2,627.0","2,953.0","3,172.0","3,365.0","3,449.0","1,322.0","1,476.0","1,506.0","1,563.0","1,636.0","1,760.0","2,036.0","2,044.0","2,056.0","1,972.0","2,088.0","2,283.0","2,583.0","2,921.0","3,052.0","3,375.0","3,778.0","3,848.0","4,083.0","3,934.0","3,800.0","3,809.0","3,641.0","3,699.0","3,920.0","4,221.0","4,388.0","4,460.0","4,769.0","5,019.0","5,212.0","5,231.0","5,219.0","5,405.0","5,498.0"
"55","37","      General assistance","B1600C1",".....",".....",".....",".....","486.0","665.0","839.0","417.0","390.0","456.0","458.0","383.0","267.0","178.0","111.0","89.0","86.0","120.0","164.0","198.0","280.0","290.0","192.0","168.0","150.0","195.0","212.0","196.0","210.0","302.0","344.0","322.0","356.0","293.0","279.0","273.0","259.0","264.0","326.0","421.0","472.0","618.0","761.0","740.0","689.0","825.0","1,138.0","1,229.0","1,238.0","1,205.0","1,230.0","1,442.0","1,590.0","1,738.0","1,886.0","2,034.0","2,182.0","2,330.0","2,478.0","2,627.0","2,888.0","2,936.0","3,211.0","3,524.0","3,584.0","3,539.0","3,561.0","3,409.0","3,322.0","3,536.0","3,641.0","3,630.0","2,944.0","4,759.0","6,043.0","7,779.0","10,985.0","10,437.0","11,580.0","11,658.0"
"56","38","      Energy assistance","B1601C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","163.0","140.0","282.0","1,325.0","1,635.0","1,647.0","1,703.0","1,864.0","2,114.0","2,034.0","1,725.0","1,753.0","1,422.0","1,608.0","1,648.0","1,621.0","1,576.0","1,840.0","1,406.0","1,233.0","1,372.0","1,244.0","1,398.0","1,657.0","2,535.0","1,920.0","2,261.0","2,124.0","2,414.0","2,996.0","2,731.0","3,419.0"
"57","39","      Other \8\","B1602C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","125.0","140.0","146.0","158.0","173.0","195.0","217.0","242.0","268.0","302.0","331.0","336.0","332.0","310.0","384.0","517.0","725.0","902.0","1,087.0","1,259.0","1,460.0","1,720.0","1,949.0","2,696.0","3,067.0","3,029.0","3,005.0","3,346.0","3,622.0","4,174.0","4,709.0","5,400.0","6,288.0","6,956.0","7,824.0","8,555.0","9,361.0","9,709.0","10,621.0","11,443.0","11,898.0","12,297.0","13,190.0","13,550.0","13,697.0","14,448.0","14,437.0","14,335.0","14,926.0","15,534.0"
"58","40","    Education","B1603C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","30.0","39.0","45.0","43.0","53.0","67.0","74.0","84.0","99.0","114.0","138.0","168.0","199.0","240.0","322.0","429.0","532.0","629.0","772.0","955.0","1,083.0","1,169.0","1,307.0","1,562.0","1,739.0","1,882.0","2,082.0","2,234.0","2,428.0","2,608.0","2,749.0","2,890.0","3,147.0","3,545.0","3,879.0","4,045.0","4,177.0","4,623.0","5,274.0","5,675.0","6,017.0","6,649.0","7,584.0","8,714.0","9,051.0","9,148.0","9,826.0","10,482.0","11,501.0","12,987.0","14,127.0","15,379.0","17,083.0","18,775.0","20,713.0","22,858.0","25,154.0"
"59","41","    Employment and training","B1604C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","153.0","573.0","896.0","934.0","1,908.0","1,687.0","1,724.0","1,423.0","1,058.0","952.0","779.0","929.0","943.0","912.0","927.0","944.0","941.0","933.0","1,122.0","1,062.0","1,076.0","1,085.0","943.0","1,034.0","1,076.0","1,092.0","1,043.0","1,437.0","1,621.0","1,439.0","1,274.0","1,183.0","1,306.0","1,045.0","1,041.0"
"60","42","    Other \9\","B1605C1","24.0","26.0","30.0","33.0","32.0","27.0","26.0","26.0","24.0","26.0","24.0","20.0","16.0","13.0","11.0","10.0","28.0","134.0","376.0","754.0","253.0","580.0","90.0","195.0","137.0","29.0","103.0","40.0","82.0","80.0","80.0","101.0","145.0","69.0","42.0","48.0","48.0","48.0","59.0","82.0","111.0","118.0","103.0","121.0","210.0","344.0","300.0","196.0","253.0","269.0","287.0","307.0","317.0","651.0","677.0","520.0","690.0","783.0","836.0","922.0","1,014.0","1,107.0","1,136.0","1,165.0","1,240.0","1,290.0","1,320.0","1,388.0","1,465.0","1,643.0","1,819.0","2,072.0","2,069.0","1,829.0","1,604.0","1,496.0","1,505.0","1,794.0","2,485.0","3,284.0"
"61","43","To the rest of the world \10\","W016RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","246.0","276.0","299.0","324.0","346.0","453.0","464.0","555.0","557.0","585.0","721.0","811.0","965.0","1,158.0","1,322.0","1,987.0","2,490.0","2,579.0","2,742.0","3,049.0","3,543.0","4,288.0","4,103.0","3,625.0","3,673.0","4,028.0","4,398.0","4,280.0","4,580.0","5,132.0","6,164.0","6,272.0","6,225.0","6,199.0","6,826.0","6,793.0","7,574.0","7,850.0","8,208.0","8,528.0","8,668.0","9,438.0","9,657.0","10,089.0","10,648.0","11,222.0","12,427.0","13,305.0","15,953.0"
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Consists of payments for medical services for dependents of active duty military personnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","at nonmilitary facilities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2. Consists of mustering out pay, terminal leave pay, and adjusted compensation benefits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","3. Prior to October 2008, benefits for the Supplemental Nutrition Assistance Program were",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","called Food Stamp benefits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","4. Consists largely of payments to nonprofit institutions, aid to students, and payments for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","medical services for retired military personnel and their dependents at nonmilitary facilities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","5. Consists of general medical assistance and state child health care programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","6. Consists of aid to families with dependent children and, beginning with 1996, assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","programs operating under the Personal Responsibility and Work Opportunity Reconciliation Act of 1996.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","7. Prior to 1974, consists of old-age assistance, aid to the blind, and aid to the permanently and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","totally disabled, when the programs were partly federally funded.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","8. Consists of expenditures for food under the supplemental program for women, infants,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","and children; foster care; adoption assistance; and payments to nonprofit welfare institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","9. Consists largely of veterans benefits, Alaska dividends, and crime-victim payments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","10. Consists of federal government social benefits to the rest of the world and includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","benefits paid to individuals in the U.S. territories and the Commonwealths of Puerto Rico and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
