"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"37","19","    Owner-occupied housing","B2607C1","877.0","873.0","798.0","646.0","635.0","705.0","699.0","737.0","824.0","858.0","876.0","924.0","1,029.0","1,115.0","1,208.0","1,315.0","1,411.0","1,577.0","2,017.0","2,341.0","2,528.0","2,768.0","3,166.0","3,439.0","3,654.0","3,864.0","4,179.0","4,546.0","4,789.0","4,994.0","5,246.0","5,452.0","5,618.0","5,772.0","6,004.0","6,341.0","6,800.0","7,285.0","7,824.0","8,543.0","9,460.0","10,134.0","11,133.0","12,274.0","13,948.0","15,950.0","17,922.0","19,677.0","22,516.0","26,320.0","30,510.0","35,025.0","38,828.0","41,412.0","42,998.0","45,478.0","47,888.0","51,214.0","54,923.0","58,866.0","62,867.0","66,381.0","68,851.0","71,307.0","75,820.0","80,855.0","86,622.0","91,192.0","96,644.0","102,267.0","110,038.0","118,546.0","127,688.0","134,972.0","146,222.0","163,454.0","181,416.0","199,185.0","207,860.0","206,809.0"
"38","20","    Nonprofit institutions serving households","B1621C1","229.0","227.0","210.0","179.0","174.0","189.0","189.0","202.0","231.0","238.0","242.0","254.0","279.0","305.0","320.0","334.0","346.0","412.0","544.0","624.0","650.0","695.0","825.0","886.0","937.0","978.0","1,047.0","1,175.0","1,288.0","1,340.0","1,417.0","1,503.0","1,586.0","1,696.0","1,815.0","1,953.0","2,127.0","2,337.0","2,544.0","2,783.0","3,093.0","3,413.0","3,794.0","4,271.0","4,900.0","5,789.0","6,777.0","7,413.0","8,177.0","9,226.0","10,441.0","11,875.0","13,230.0","14,347.0","15,128.0","16,037.0","16,908.0","17,965.0","19,224.0","20,638.0","22,341.0","24,218.0","25,989.0","27,666.0","29,398.0","30,678.0","32,043.0","33,002.0","34,596.0","37,218.0","40,358.0","43,969.0","47,364.0","50,555.0","54,277.0","58,706.0","63,669.0","68,919.0","73,213.0","77,043.0"
"39","21","Government","A264RC1","958.0","950.0","909.0","817.0","907.0","1,077.0","1,099.0","1,231.0","1,322.0","1,390.0","1,439.0","1,533.0","2,030.0","3,535.0","6,238.0","8,888.0","10,067.0","10,782.0","10,591.0","9,611.0","8,681.0","7,915.0","8,630.0","9,545.0","10,432.0","11,126.0","11,729.0","12,763.0","13,595.0","13,867.0","14,453.0","15,001.0","15,551.0","16,479.0","17,454.0","18,069.0","18,859.0","19,973.0","21,376.0","22,996.0","24,701.0","26,611.0","28,245.0","29,438.0","31,323.0","35,851.0","39,930.0","42,626.0","45,628.0","49,452.0","54,439.0","61,795.0","70,093.0","77,104.0","81,586.0","86,881.0","92,669.0","99,412.0","106,609.0","113,900.0","121,848.0","130,786.0","138,927.0","144,451.0","151,632.0","158,214.0","164,841.0","169,165.0","174,095.0","178,980.0","187,153.0","197,496.0","204,628.0","210,946.0","218,119.0","231,891.0","250,565.0","269,289.0","290,445.0","310,921.0"
"40","22","  General government","A265RC1","828.0","815.0","775.0","691.0","771.0","900.0","932.0","1,043.0","1,108.0","1,159.0","1,205.0","1,286.0","1,755.0","3,238.0","5,946.0","8,577.0","9,758.0","10,438.0","10,192.0","9,147.0","8,194.0","7,403.0","8,040.0","8,900.0","9,744.0","10,407.0","10,965.0","11,904.0","12,658.0","12,880.0","13,427.0","13,910.0","14,395.0","15,245.0","16,144.0","16,674.0","17,358.0","18,337.0","19,598.0","21,035.0","22,501.0","24,140.0","25,459.0","26,323.0","27,818.0","31,590.0","34,861.0","37,103.0","39,621.0","42,795.0","46,860.0","53,009.0","60,116.0","66,236.0","70,083.0","74,713.0","79,739.0","85,642.0","91,990.0","98,278.0","105,124.0","112,917.0","120,094.0","124,665.0","130,512.0","135,827.0","141,223.0","144,524.0","148,140.0","151,884.0","158,506.0","166,819.0","172,497.0","177,294.0","182,756.0","193,420.0","208,690.0","224,679.0","242,353.0","259,530.0"
"41","23","    Federal","B995RC1","215.0","201.0","192.0","179.0","184.0","223.0","265.0","311.0","347.0","378.0","401.0","453.0","814.0","2,114.0","4,738.0","7,446.0","8,653.0","9,230.0","8,742.0","7,491.0","6,519.0","5,747.0","6,021.0","6,748.0","7,536.0","8,165.0","8,571.0","9,131.0","9,646.0","9,756.0","10,098.0","10,443.0","10,728.0","11,310.0","11,924.0","12,145.0","12,425.0","12,881.0","13,612.0","14,406.0","15,078.0","15,703.0","16,055.0","16,149.0","16,492.0","17,529.0","18,925.0","20,497.0","22,090.0","23,933.0","25,786.0","28,670.0","32,291.0","35,906.0","38,930.0","42,708.0","46,061.0","49,488.0","53,012.0","56,777.0","60,743.0","64,932.0","68,974.0","71,298.0","74,246.0","76,311.0","77,786.0","77,862.0","77,935.0","77,994.0","79,802.0","82,139.0","82,840.0","83,459.0","85,153.0","89,001.0","94,295.0","100,500.0","106,250.0","113,220.0"
"42","24","    State and local","B986RC1","613.0","614.0","583.0","512.0","587.0","677.0","667.0","732.0","761.0","781.0","804.0","833.0","941.0","1,124.0","1,208.0","1,131.0","1,105.0","1,208.0","1,450.0","1,656.0","1,675.0","1,656.0","2,019.0","2,152.0","2,208.0","2,242.0","2,394.0","2,773.0","3,012.0","3,124.0","3,329.0","3,467.0","3,667.0","3,935.0","4,220.0","4,529.0","4,933.0","5,456.0","5,986.0","6,629.0","7,423.0","8,437.0","9,404.0","10,174.0","11,326.0","14,061.0","15,936.0","16,606.0","17,531.0","18,862.0","21,074.0","24,339.0","27,825.0","30,330.0","31,153.0","32,005.0","33,678.0","36,154.0","38,978.0","41,501.0","44,381.0","47,985.0","51,120.0","53,367.0","56,266.0","59,516.0","63,437.0","66,662.0","70,205.0","73,890.0","78,704.0","84,680.0","89,657.0","93,835.0","97,603.0","104,419.0","114,395.0","124,179.0","136,103.0","146,310.0"
"43","25","  Government enterprises","A266RC1","130.0","135.0","134.0","126.0","136.0","177.0","167.0","188.0","214.0","231.0","234.0","247.0","275.0","297.0","292.0","311.0","309.0","344.0","399.0","464.0","487.0","512.0","590.0","645.0","688.0","719.0","764.0","859.0","937.0","987.0","1,026.0","1,091.0","1,156.0","1,234.0","1,310.0","1,395.0","1,501.0","1,636.0","1,778.0","1,961.0","2,200.0","2,471.0","2,786.0","3,115.0","3,505.0","4,261.0","5,069.0","5,523.0","6,007.0","6,657.0","7,579.0","8,786.0","9,977.0","10,868.0","11,503.0","12,168.0","12,930.0","13,770.0","14,619.0","15,622.0","16,724.0","17,869.0","18,833.0","19,786.0","21,120.0","22,387.0","23,618.0","24,641.0","25,955.0","27,096.0","28,647.0","30,677.0","32,131.0","33,652.0","35,363.0","38,471.0","41,875.0","44,610.0","48,092.0","51,391.0"
"44","26","    Federal","B833RC1","1.0","1.0","1.0","2.0","3.0","4.0","4.0","4.0","5.0","6.0","6.0","7.0","10.0","12.0","14.0","18.0","18.0","22.0","25.0","30.0","32.0","39.0","46.0","60.0","65.0","72.0","77.0","87.0","95.0","98.0","116.0","133.0","144.0","157.0","165.0","177.0","192.0","214.0","242.0","273.0","308.0","351.0","401.0","461.0","537.0","651.0","789.0","879.0","959.0","1,043.0","1,167.0","1,328.0","1,508.0","1,670.0","1,754.0","1,841.0","1,972.0","2,075.0","2,163.0","2,317.0","2,567.0","2,815.0","3,073.0","3,297.0","3,589.0","3,776.0","3,916.0","4,072.0","4,593.0","4,833.0","5,242.0","5,634.0","5,756.0","5,693.0","5,686.0","5,817.0","6,141.0","6,061.0","6,337.0","6,543.0"
"45","27","    State and local","B846RC1","129.0","134.0","133.0","124.0","133.0","173.0","163.0","184.0","209.0","225.0","228.0","240.0","265.0","285.0","278.0","293.0","291.0","322.0","374.0","434.0","455.0","473.0","544.0","585.0","623.0","647.0","687.0","772.0","842.0","889.0","910.0","958.0","1,012.0","1,077.0","1,145.0","1,218.0","1,309.0","1,422.0","1,536.0","1,688.0","1,892.0","2,120.0","2,385.0","2,654.0","2,968.0","3,610.0","4,280.0","4,644.0","5,048.0","5,614.0","6,412.0","7,458.0","8,469.0","9,198.0","9,749.0","10,327.0","10,958.0","11,695.0","12,456.0","13,305.0","14,157.0","15,054.0","15,760.0","16,489.0","17,531.0","18,611.0","19,702.0","20,569.0","21,362.0","22,263.0","23,405.0","25,043.0","26,375.0","27,959.0","29,677.0","32,654.0","35,734.0","38,549.0","41,755.0","44,848.0"
"46",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","28","  Nonfarm business","B1667C1","7,011.0","6,820.0","6,347.0","5,578.0","5,270.0","5,435.0","5,463.0","5,558.0","6,215.0","6,348.0","6,318.0","6,588.0","7,290.0","8,203.0","8,209.0","8,453.0","8,698.0","9,715.0","12,634.0","14,778.0","15,971.0","17,025.0","19,416.0","20,542.0","21,692.0","22,678.0","23,890.0","26,646.0","29,181.0","30,972.0","32,169.0","32,621.0","33,478.0","34,687.0","36,115.0","38,015.0","40,835.0","44,619.0","48,786.0","53,591.0","59,378.0","65,570.0","71,952.0","78,445.0","87,773.0","102,885.0","121,903.0","134,018.0","150,300.0","170,611.0","196,849.0","227,841.0","263,204.0","292,502.0","303,953.0","319,491.0","342,745.0","365,862.0","387,540.0","415,958.0","443,527.0","469,754.0","491,202.0","502,546.0","524,079.0","553,100.0","590,140.0","623,574.0","663,441.0","707,165.0","762,703.0","831,731.0","884,782.0","917,504.0","945,043.0","989,818.0","1,058,105.0","1,136,622.0","1,203,749.0","1,269,062.0"
