"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"36","18","      Musical instruments (part of 80)","DMSCRC1","73.0","66.0","34.0","19.0","14.0","17.0","18.0","24.0","28.0","24.0","30.0","36.0","44.0","46.0","29.0","22.0","25.0","80.0","101.0","105.0","121.0","174.0","162.0","170.0","188.0","198.0","209.0","214.0","206.0","205.0","220.0","225.0","242.0","264.0","295.0","334.0","385.0","461.0","502.0","539.0","557.0","585.0","600.0","670.0","743.0","788.0","868.0","944.0","969.0","1,040.0","1,119.0","1,137.0","1,162.0","1,105.0","1,242.0","1,350.0","1,484.0","1,606.0","1,728.0","1,891.0","1,941.0","2,050.0","2,175.0","2,186.0","2,385.0","2,700.0","2,927.0","3,090.0","3,212.0","3,481.0","3,926.0","4,748.0","4,932.0","5,180.0","5,181.0","5,600.0","5,795.0","6,307.0","6,574.0","6,271.0"
"37","19","    Other durable goods","DODGRC1","1,172.0","1,062.0","798.0","592.0","486.0","580.0","646.0","722.0","843.0","820.0","882.0","967.0","1,210.0","1,504.0","1,897.0","2,078.0","2,371.0","2,801.0","2,786.0","2,874.0","2,792.0","2,881.0","3,158.0","3,382.0","3,493.0","3,553.0","3,740.0","3,955.0","4,015.0","4,063.0","4,212.0","4,255.0","4,331.0","4,712.0","4,907.0","5,466.0","5,999.0","6,897.0","7,123.0","7,991.0","8,714.0","9,374.0","10,073.0","10,966.0","12,862.0","14,535.0","16,547.0","19,108.0","21,082.0","23,470.0","25,076.0","27,627.0","29,583.0","29,920.0","33,659.0","38,288.0","41,605.0","47,450.0","52,502.0","57,808.0","61,265.0","65,462.0","64,935.0","68,001.0","71,977.0","76,478.0","79,564.0","84,347.0","87,324.0","94,150.0","102,733.0","110,380.0","108,352.0","113,380.0","117,369.0","123,390.0","128,601.0","135,959.0","142,679.0","142,816.0"
"38","20","      Jewelry and watches (part of 119)","DJRYRC1","560.0","513.0","328.0","252.0","172.0","198.0","233.0","265.0","333.0","323.0","355.0","409.0","550.0","722.0","935.0","1,004.0","1,182.0","1,427.0","1,395.0","1,374.0","1,298.0","1,318.0","1,418.0","1,537.0","1,581.0","1,661.0","1,774.0","1,844.0","1,848.0","1,881.0","1,951.0","1,933.0","1,903.0","2,044.0","2,159.0","2,424.0","2,699.0","3,200.0","3,463.0","3,827.0","4,016.0","4,096.0","4,412.0","4,784.0","6,012.0","6,996.0","8,098.0","9,844.0","10,985.0","12,316.0","13,032.0","14,978.0","16,041.0","15,635.0","17,395.0","19,759.0","21,056.0","24,333.0","26,237.0","28,288.0","29,175.0","30,279.0","30,192.0","31,645.0","33,854.0","36,014.0","37,842.0","39,892.0","39,908.0","42,557.0","46,539.0","49,088.0","47,577.0","49,111.0","50,862.0","54,112.0","56,194.0","59,649.0","61,635.0","59,969.0"
"39","21","      Therapeutic appliances and equipment (42)","DTAERC1","165.0","165.0","146.0","118.0","115.0","149.0","157.0","168.0","195.0","188.0","204.0","220.0","265.0","302.0","358.0","388.0","408.0","463.0","470.0","510.0","537.0","577.0","649.0","688.0","717.0","711.0","718.0","796.0","832.0","834.0","838.0","860.0","888.0","1,057.0","1,047.0","1,157.0","1,263.0","1,409.0","1,270.0","1,466.0","1,666.0","1,904.0","1,939.0","2,167.0","2,410.0","2,702.0","3,037.0","3,257.0","3,514.0","3,949.0","4,527.0","5,072.0","5,661.0","6,243.0","7,136.0","8,359.0","9,618.0","11,011.0","12,601.0","14,768.0","15,869.0","18,405.0","17,513.0","18,097.0","18,882.0","20,375.0","21,013.0","23,005.0","25,261.0","27,814.0","29,704.0","32,169.0","31,833.0","34,043.0","34,996.0","36,427.0","38,236.0","40,211.0","43,182.0","44,551.0"
"40","22","      Educational books (96)","DEBKRC1","78.0","67.0","64.0","39.0","38.0","42.0","46.0","52.0","61.0","56.0","57.0","59.0","64.0","73.0","92.0","114.0","131.0","149.0","134.0","147.0","158.0","170.0","196.0","199.0","210.0","204.0","219.0","241.0","249.0","259.0","275.0","288.0","306.0","325.0","357.0","407.0","417.0","466.0","468.0","509.0","583.0","737.0","751.0","743.0","778.0","827.0","940.0","957.0","1,100.0","1,346.0","1,546.0","1,746.0","1,986.0","2,175.0","2,508.0","2,913.0","3,235.0","3,646.0","4,246.0","4,645.0","4,923.0","5,298.0","5,404.0","5,641.0","6,054.0","6,484.0","6,802.0","7,007.0","7,335.0","7,855.0","8,564.0","9,043.0","9,230.0","9,702.0","10,148.0","10,367.0","10,235.0","10,222.0","10,423.0","10,306.0"
"41","23","      Luggage and similar personal items (part of 119)","DLUGRC1","366.0","315.0","258.0","182.0","160.0","190.0","209.0","235.0","252.0","251.0","264.0","277.0","328.0","404.0","509.0","568.0","646.0","757.0","782.0","837.0","792.0","808.0","886.0","950.0","977.0","970.0","1,021.0","1,066.0","1,077.0","1,080.0","1,139.0","1,164.0","1,224.0","1,275.0","1,332.0","1,465.0","1,605.0","1,806.0","1,905.0","2,170.0","2,429.0","2,616.0","2,949.0","3,248.0","3,634.0","3,979.0","4,438.0","5,011.0","5,439.0","5,707.0","5,593.0","5,178.0","4,916.0","4,668.0","5,396.0","6,013.0","6,476.0","7,204.0","8,112.0","8,671.0","9,673.0","9,698.0","9,952.0","10,569.0","10,885.0","10,929.0","10,896.0","11,054.0","11,084.0","11,747.0","13,120.0","14,565.0","13,873.0","14,281.0","14,898.0","15,402.0","16,393.0","17,665.0","18,727.0","18,956.0"
"42","24","      Telephone and facsimile equipment (67)","DTCERC1","3.0","2.0","2.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","4.0","4.0","5.0","5.0","6.0","7.0","8.0","9.0","8.0","8.0","7.0","8.0","8.0","9.0","9.0","9.0","10.0","10.0","11.0","12.0","13.0","15.0","16.0","17.0","19.0","20.0","21.0","22.0","24.0","28.0","31.0","34.0","39.0","44.0","152.0","378.0","653.0","979.0","1,199.0","1,224.0","1,244.0","1,220.0","1,256.0","1,306.0","1,436.0","1,625.0","1,782.0","1,874.0","2,049.0","2,302.0","2,676.0","3,011.0","3,389.0","3,736.0","4,177.0","4,806.0","5,515.0","5,839.0","6,243.0","6,465.0","7,082.0","7,543.0","8,212.0","8,712.0","9,034.0"
"43","25","  Nondurable goods","DNDGRC1","33,941.0","30,504.0","25,798.0","20,168.0","19,995.0","23,920.0","26,135.0","29,220.0","30,980.0","29,882.0","30,754.0","32,344.0","37,179.0","43,395.0","48,861.0","52,790.0","58,525.0","69,130.0","77,595.0","82,967.0","81,458.0","84,385.0","93,010.0","97,542.0","100,217.0","102,053.0","106,653.0","111,984.0","117,575.0","122,038.0","127,720.0","131,389.0","134,603.0","139,505.0","143,926.0","152,697.0","163,285.0","177,875.0","185,010.0","199,788.0","214,195.0","228,806.0","239,669.0","257,371.0","286,109.0","321,362.0","349,169.0","377,681.0","408,420.0","450,218.0","511,598.0","573,402.0","625,433.0","646,260.0","678,751.0","721,544.0","757,243.0","774,189.0","814,275.0","862,256.0","929,475.0","994,222.0","1,020,250.0","1,055,187.0","1,090,815.0","1,139,383.0","1,179,794.0","1,241,376.0","1,291,234.0","1,330,015.0","1,432,638.0","1,543,354.0","1,587,659.0","1,617,855.0","1,712,604.0","1,830,667.0","1,968,426.0","2,088,697.0","2,204,494.0","2,307,998.0"
"44","26","    Food and beverages purchased for off-premises consumption","DFXARC1","16,252.0","14,830.0","11,911.0","9,034.0","9,488.0","11,706.0","13,280.0","15,123.0","16,018.0","15,119.0","15,163.0","15,892.0","18,159.0","21,616.0","24,251.0","25,977.0","28,216.0","34,896.0","40,192.0","41,838.0","40,354.0","41,410.0","46,016.0","48,419.0","49,285.0","50,573.0","52,047.0","54,166.0","57,135.0","59,768.0","61,597.0","62,556.0","63,747.0","64,656.0","65,870.0","69,491.0","74,442.0","80,610.0","82,559.0","88,831.0","95,371.0","103,506.0","107,125.0","114,472.0","126,715.0","143,038.0","156,566.0","167,297.0","179,770.0","196,112.0","218,370.0","239,167.0","255,339.0","267,141.0","277,036.0","291,102.0","302,953.0","316,415.0","324,312.0","342,807.0","365,388.0","391,176.0","402,953.0","404,465.0","413,472.0","432,109.0","443,747.0","461,879.0","474,776.0","486,506.0","513,569.0","537,457.0","559,707.0","569,607.0","593,127.0","628,152.0","665,015.0","697,973.0","740,075.0","784,301.0"
"45","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRC1","14,653.0","13,387.0","10,742.0","8,134.0","8,377.0","9,218.0","10,111.0","11,360.0","12,103.0","11,607.0","11,632.0","12,230.0","13,874.0","16,373.0","18,123.0","19,221.0","20,891.0","26,780.0","31,704.0","34,131.0","33,288.0","34,363.0","38,702.0","40,819.0","41,796.0","43,335.0","44,799.0","46,813.0","49,836.0","52,400.0","53,952.0","54,929.0","56,069.0","56,661.0","57,664.0","61,034.0","65,684.0","71,300.0","72,970.0","78,247.0","83,626.0","90,403.0","92,596.0","98,682.0","109,591.0","124,183.0","136,203.0","145,643.0","156,544.0","171,120.0","190,251.0","207,982.0","221,683.0","231,345.0","239,182.0","252,733.0","262,331.0","273,849.0","281,807.0","298,998.0","319,460.0","341,238.0","351,488.0","354,596.0","362,392.0","378,285.0","388,268.0","402,756.0","412,764.0","422,087.0","444,945.0","463,125.0","482,228.0","490,397.0","510,665.0","539,300.0","569,535.0","594,309.0","629,857.0","669,441.0"
"46","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRC1",".....",".....",".....",".....","178.0","1,461.0","1,953.0","2,472.0","2,587.0","2,376.0","2,432.0","2,557.0","2,962.0","3,596.0","3,994.0","4,701.0","5,091.0","5,655.0","5,928.0","5,168.0","5,007.0","5,142.0","5,146.0","5,502.0","5,602.0","5,560.0","5,685.0","5,872.0","5,908.0","5,958.0","6,356.0","6,493.0","6,569.0","7,002.0","7,285.0","7,622.0","7,947.0","8,486.0","8,853.0","9,865.0","11,014.0","12,327.0","13,785.0","14,901.0","16,009.0","17,665.0","19,234.0","20,469.0","22,065.0","23,777.0","26,773.0","29,952.0","32,442.0","34,667.0","36,805.0","37,352.0","39,696.0","41,670.0","41,762.0","43,077.0","45,256.0","49,298.0","50,858.0","49,294.0","50,537.0","53,313.0","55,000.0","58,676.0","61,598.0","64,037.0","68,274.0","74,014.0","77,193.0","78,929.0","82,187.0","88,551.0","95,137.0","103,250.0","109,831.0","114,484.0"
"47","29","      Food produced and consumed on farms (6)","DFFDRC1","1,599.0","1,443.0","1,169.0","900.0","933.0","1,027.0","1,216.0","1,291.0","1,328.0","1,136.0","1,099.0","1,105.0","1,323.0","1,647.0","2,134.0","2,055.0","2,234.0","2,461.0","2,560.0","2,539.0","2,059.0","1,905.0","2,168.0","2,098.0","1,887.0","1,678.0","1,563.0","1,481.0","1,391.0","1,410.0","1,289.0","1,134.0","1,109.0","993.0","921.0","835.0","811.0","824.0","736.0","719.0","731.0","776.0","744.0","889.0","1,115.0","1,190.0","1,129.0","1,185.0","1,161.0","1,215.0","1,346.0","1,233.0","1,214.0","1,129.0","1,049.0","1,017.0","926.0","896.0","743.0","732.0","672.0","640.0","607.0","575.0","543.0","511.0","479.0","447.0","414.0","382.0","350.0","318.0","286.0","281.0","275.0","301.0","343.0","414.0","387.0","376.0"
"48","30","    Clothing and footwear","DCLORC1","9,029.0","7,754.0","6,691.0","4,887.0","4,483.0","5,489.0","5,828.0","6,344.0","6,607.0","6,535.0","6,893.0","7,197.0","8,497.0","10,615.0","12,914.0","14,115.0","15,856.0","17,510.0","18,037.0","19,334.0","18,613.0","18,930.0","20,478.0","21,182.0","21,320.0","21,393.0","22,375.0","23,397.0","23,579.0","23,919.0","25,367.0","25,939.0","26,571.0","27,859.0","28,618.0","31,085.0","32,659.0","35,812.0","37,547.0","41,260.0","44,331.0","45,450.0","49,046.0","53,491.0","59,243.0","62,423.0","66,867.0","72,191.0","79,305.0","89,317.0","96,371.0","103,002.0","113,178.0","116,745.0","126,445.0","137,621.0","146,845.0","157,201.0","167,726.0","178,213.0","190,397.0","195,245.0","199,098.0","211,234.0","219,054.0","227,435.0","231,245.0","239,542.0","247,496.0","257,805.0","271,097.0","280,831.0","277,868.0","278,836.0","287,021.0","300,025.0","315,543.0","330,060.0","341,218.0","337,505.0"
"49","31","      Garments","DGARRC1","7,084.0","6,141.0","5,279.0","3,719.0","3,459.0","4,254.0","4,617.0","5,007.0","5,132.0","5,079.0","5,451.0","5,691.0","6,591.0","7,870.0","9,632.0","10,689.0","12,027.0","13,833.0","14,308.0","15,449.0","14,717.0","14,759.0","16,116.0","16,993.0","17,190.0","17,320.0","17,997.0","18,815.0","18,945.0","19,010.0","20,177.0","20,611.0","21,169.0","22,206.0","22,919.0","25,040.0","26,358.0","28,789.0","30,193.0","33,119.0","35,477.0","36,617.0","39,637.0","43,168.0","47,808.0","50,826.0","54,905.0","59,203.0","65,063.0","73,082.0","78,224.0","83,275.0","91,390.0","94,941.0","103,338.0","113,149.0","120,984.0","129,527.0","138,166.0","146,880.0","156,207.0","159,977.0","163,962.0","174,421.0","180,888.0","187,271.0","190,094.0","196,380.0","203,240.0","211,129.0","221,908.0","230,023.0","227,216.0","228,008.0","234,958.0","246,418.0","258,976.0","270,450.0","280,461.0","276,525.0"
"50","32","        Women's and girls' clothing (10)","DWGCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12,454.0","12,725.0","13,087.0","13,817.0","14,303.0","15,617.0","16,299.0","17,697.0","18,299.0","20,069.0","21,299.0","21,939.0","24,019.0","25,761.0","28,305.0","29,859.0","32,158.0","34,493.0","37,532.0","42,476.0","45,544.0","48,470.0","53,260.0","55,319.0","60,745.0","66,992.0","72,201.0","77,933.0","83,096.0","87,550.0","92,654.0","94,545.0","96,473.0","103,175.0","106,397.0","108,421.0","108,922.0","111,410.0","113,922.0","118,968.0","126,520.0","132,721.0","132,134.0","133,306.0","137,441.0","144,500.0","151,928.0","158,885.0","165,203.0","162,244.0"
"51","33","        Men's and boys' clothing (11)","DMBCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7,435.0","7,582.0","7,764.0","8,055.0","8,239.0","9,044.0","9,604.0","10,597.0","11,351.0","12,437.0","13,390.0","13,724.0","14,747.0","16,331.0","18,175.0","19,303.0","20,874.0","22,549.0","25,065.0","27,601.0","29,236.0","30,894.0","33,548.0","34,524.0","37,092.0","40,190.0","42,459.0","44,884.0","48,049.0","51,723.0","55,584.0","57,381.0","59,392.0","63,009.0","66,065.0","70,095.0","72,209.0","75,838.0","79,957.0","82,193.0","84,621.0","85,874.0","83,203.0","82,445.0","85,075.0","89,057.0","93,559.0","97,424.0","100,643.0","99,520.0"
"52","34","        Children's and infants' clothing (12)","DCICRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","288.0","304.0","318.0","334.0","377.0","379.0","455.0","495.0","543.0","613.0","788.0","954.0","871.0","1,076.0","1,328.0","1,664.0","1,873.0","2,161.0","2,466.0","3,005.0","3,444.0","3,911.0","4,582.0","5,098.0","5,501.0","5,967.0","6,324.0","6,710.0","7,021.0","7,607.0","7,969.0","8,051.0","8,097.0","8,237.0","8,426.0","8,755.0","8,963.0","9,132.0","9,361.0","9,968.0","10,767.0","11,428.0","11,879.0","12,257.0","12,442.0","12,861.0","13,489.0","14,141.0","14,615.0","14,761.0"
"53","35","      Other clothing materials and footwear (13 and 17)","DOCCRC1","1,945.0","1,613.0","1,412.0","1,168.0","1,024.0","1,235.0","1,211.0","1,337.0","1,475.0","1,456.0","1,442.0","1,506.0","1,906.0","2,745.0","3,282.0","3,426.0","3,829.0","3,677.0","3,729.0","3,885.0","3,896.0","4,171.0","4,362.0","4,189.0","4,130.0","4,073.0","4,378.0","4,582.0","4,634.0","4,909.0","5,190.0","5,328.0","5,402.0","5,653.0","5,699.0","6,045.0","6,301.0","7,023.0","7,354.0","8,141.0","8,854.0","8,833.0","9,409.0","10,323.0","11,435.0","11,597.0","11,962.0","12,988.0","14,242.0","16,235.0","18,147.0","19,727.0","21,788.0","21,804.0","23,107.0","24,472.0","25,861.0","27,674.0","29,560.0","31,333.0","34,190.0","35,268.0","35,136.0","36,813.0","38,166.0","40,164.0","41,151.0","43,162.0","44,256.0","46,676.0","49,189.0","50,808.0","50,652.0","50,828.0","52,063.0","53,607.0","56,567.0","59,610.0","60,757.0","60,980.0"
"54","36","    Gasoline and other energy goods","DGOERC1","3,407.0","3,276.0","2,846.0","2,603.0","2,607.0","2,891.0","3,012.0","3,343.0","3,547.0","3,444.0","3,566.0","3,807.0","4,307.0","3,923.0","3,315.0","3,408.0","3,977.0","5,826.0","6,937.0","8,202.0","8,343.0","8,864.0","9,595.0","10,184.0","10,843.0","11,328.0","12,359.0","13,290.0","14,245.0","14,718.0","15,290.0","15,809.0","15,723.0","16,316.0","16,922.0","17,659.0","19,132.0","20,656.0","21,876.0","23,217.0","24,968.0","26,286.0","27,647.0","29,393.0","34,325.0","43,849.0","48,020.0","53,013.0","57,817.0","61,453.0","80,388.0","101,898.0","113,443.0","108,350.0","106,456.0","108,200.0","110,532.0","91,191.0","96,369.0","99,850.0","110,439.0","124,199.0","121,129.0","125,007.0","126,882.0","129,231.0","133,405.0","144,745.0","147,662.0","133,359.0","148,811.0","188,836.0","183,583.0","174,562.0","209,603.0","249,933.0","304,824.0","336,945.0","367,976.0","413,041.0"
"55","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRC1","1,814.0","1,749.0","1,540.0","1,476.0","1,466.0","1,640.0","1,743.0","1,945.0","2,143.0","2,145.0","2,181.0","2,273.0","2,649.0","2,090.0","1,339.0","1,384.0","1,809.0","3,366.0","4,015.0","4,789.0","5,317.0","5,522.0","6,126.0","6,765.0","7,441.0","7,844.0","8,617.0","9,414.0","10,200.0","10,580.0","11,281.0","12,004.0","12,009.0","12,597.0","12,952.0","13,572.0","14,751.0","16,032.0","17,100.0","18,560.0","20,460.0","21,921.0","23,150.0","24,406.0","28,131.0","36,130.0","39,703.0","43,046.0","46,934.0","50,102.0","66,243.0","86,689.0","97,919.0","94,125.0","93,081.0","94,568.0","97,205.0","80,052.0","85,355.0","88,395.0","98,716.0","111,440.0","108,852.0","112,864.0","114,518.0","116,492.0","120,410.0","130,494.0","134,428.0","121,791.0","136,456.0","172,929.0","168,083.0","160,273.0","192,793.0","231,555.0","283,798.0","314,665.0","343,912.0","386,410.0"
"56","38","      Fuel oil and other fuels (29)","DFULRC1","1,593.0","1,527.0","1,306.0","1,127.0","1,141.0","1,251.0","1,269.0","1,398.0","1,404.0","1,299.0","1,385.0","1,534.0","1,658.0","1,833.0","1,976.0","2,024.0","2,168.0","2,460.0","2,922.0","3,413.0","3,026.0","3,342.0","3,469.0","3,419.0","3,402.0","3,484.0","3,742.0","3,876.0","4,045.0","4,138.0","4,009.0","3,805.0","3,714.0","3,719.0","3,970.0","4,087.0","4,381.0","4,624.0","4,776.0","4,657.0","4,508.0","4,365.0","4,497.0","4,987.0","6,194.0","7,719.0","8,317.0","9,967.0","10,883.0","11,351.0","14,145.0","15,209.0","15,524.0","14,225.0","13,375.0","13,632.0","13,327.0","11,139.0","11,014.0","11,455.0","11,723.0","12,759.0","12,277.0","12,143.0","12,364.0","12,739.0","12,995.0","14,251.0","13,234.0","11,568.0","12,355.0","15,907.0","15,500.0","14,289.0","16,810.0","18,378.0","21,026.0","22,280.0","24,064.0","26,631.0"
"57","39","    Other nondurable goods","DONGRC1","5,253.0","4,644.0","4,350.0","3,644.0","3,417.0","3,834.0","4,015.0","4,410.0","4,808.0","4,784.0","5,132.0","5,448.0","6,216.0","7,241.0","8,381.0","9,290.0","10,476.0","10,898.0","12,429.0","13,593.0","14,148.0","15,181.0","16,921.0","17,757.0","18,769.0","18,759.0","19,872.0","21,131.0","22,616.0","23,633.0","25,466.0","27,085.0","28,562.0","30,674.0","32,516.0","34,462.0","37,052.0","40,797.0","43,028.0","46,480.0","49,525.0","53,564.0","55,851.0","60,015.0","65,826.0","72,052.0","77,716.0","85,180.0","91,528.0","103,336.0","116,469.0","129,335.0","143,473.0","154,024.0","168,814.0","184,621.0","196,913.0","209,382.0","225,868.0","241,386.0","263,251.0","283,602.0","297,070.0","314,481.0","331,407.0","350,608.0","371,397.0","395,210.0","421,300.0","452,345.0","499,161.0","536,230.0","566,501.0","594,850.0","622,853.0","652,557.0","683,044.0","723,719.0","755,225.0","773,151.0"
"58","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRC1","540.0","508.0","462.0","401.0","382.0","418.0","424.0","455.0","499.0","517.0","547.0","567.0","648.0","758.0","906.0","958.0","1,017.0","1,136.0","1,173.0","1,310.0","1,390.0","1,536.0","1,769.0","1,851.0","1,924.0","1,950.0","2,131.0","2,401.0","2,690.0","2,886.0","3,167.0","3,472.0","3,819.0","4,127.0","4,381.0","4,495.0","4,677.0","4,879.0","5,210.0","5,744.0","6,294.0","7,282.0","7,720.0","8,413.0","9,095.0","9,868.0","10,680.0","11,652.0","12,371.0","14,218.0","16,509.0","18,740.0","21,286.0","23,496.0","26,872.0","30,318.0","33,510.0","37,207.0","41,265.0","45,903.0","51,906.0","59,118.0","65,101.0","69,561.0","73,991.0","79,060.0","85,109.0","93,241.0","103,671.0","119,792.0","140,041.0","159,000.0","181,006.0","200,165.0","219,566.0","234,493.0","247,268.0","267,136.0","277,624.0","279,446.0"
"59","41","      Recreational items (parts of 80, 92, and 93)","DREIRC1","628.0","543.0","450.0","334.0","316.0","366.0","402.0","465.0","523.0","506.0","536.0","569.0","657.0","726.0","768.0","885.0","1,025.0","1,343.0","1,468.0","1,620.0","1,696.0","1,887.0","2,180.0","2,279.0","2,312.0","2,280.0","2,446.0","2,596.0","2,740.0","2,778.0","3,081.0","3,362.0","3,575.0","3,925.0","4,324.0","4,829.0","5,321.0","5,987.0","6,328.0","7,047.0","7,616.0","8,195.0","8,746.0","9,618.0","10,898.0","12,211.0","13,142.0","14,699.0","15,732.0","17,673.0","19,899.0","21,977.0","24,800.0","26,639.0","28,852.0","31,499.0","33,762.0","35,443.0","39,136.0","42,606.0","47,175.0","50,928.0","53,584.0","57,273.0","60,712.0","65,212.0","68,896.0","72,833.0","76,347.0","81,411.0","87,788.0","93,743.0","97,349.0","101,782.0","104,166.0","108,689.0","114,029.0","120,070.0","126,882.0","133,250.0"
"60","42","      Household supplies (parts of 32 and 36)","DHOURC1","1,009.0","886.0","780.0","600.0","617.0","713.0","751.0","880.0","954.0","898.0","1,005.0","1,091.0","1,275.0","1,523.0","1,730.0","1,862.0","1,858.0","2,423.0","3,079.0","3,358.0","3,327.0","3,705.0","4,045.0","3,823.0","3,987.0","4,025.0","4,349.0","4,579.0","4,851.0","4,960.0","5,416.0","5,759.0","6,289.0","6,872.0","7,263.0","7,930.0","8,564.0","9,458.0","9,953.0","10,644.0","11,024.0","11,496.0","11,651.0","12,386.0","13,849.0","15,443.0","16,793.0","18,132.0","19,715.0","22,472.0","25,921.0","29,124.0","32,216.0","34,329.0","36,760.0","39,971.0","42,051.0","44,665.0","46,404.0","49,369.0","51,937.0","54,231.0","55,592.0","58,536.0","62,079.0","66,776.0","70,402.0","74,372.0","77,865.0","79,684.0","83,906.0","86,701.0","88,954.0","90,767.0","93,713.0","97,806.0","102,955.0","108,630.0","111,876.0","113,957.0"
"61","43","      Personal care products (part of 118)","DOPCRC1","628.0","549.0","535.0","447.0","345.0","405.0","402.0","425.0","461.0","476.0","523.0","545.0","651.0","779.0","934.0","1,056.0","1,155.0","1,158.0","1,296.0","1,346.0","1,351.0","1,459.0","1,609.0","1,713.0","1,831.0","1,886.0","2,087.0","2,348.0","2,586.0","2,819.0","2,898.0","3,199.0","3,514.0","3,862.0","4,129.0","4,445.0","4,818.0","5,321.0","5,764.0","6,277.0","6,717.0","7,140.0","7,477.0","8,044.0","8,968.0","10,028.0","11,080.0","12,205.0","13,829.0","15,399.0","17,137.0","18,704.0","20,457.0","21,555.0","23,720.0","26,256.0","28,251.0","30,363.0","32,644.0","34,602.0","36,925.0","39,250.0","40,244.0","41,370.0","43,945.0","47,112.0","50,173.0","53,449.0","56,406.0","59,913.0","64,449.0","68,508.0","71,042.0","73,159.0","74,606.0","76,395.0","79,485.0","83,509.0","87,449.0","91,344.0"
"62","44","      Tobacco (127)","DTOBRC1","1,695.0","1,450.0","1,489.0","1,322.0","1,233.0","1,367.0","1,434.0","1,535.0","1,673.0","1,697.0","1,767.0","1,870.0","2,080.0","2,337.0","2,615.0","2,636.0","2,871.0","3,353.0","3,744.0","4,009.0","4,109.0","4,251.0","4,537.0","4,914.0","5,101.0","4,946.0","5,055.0","5,310.0","5,695.0","5,990.0","6,554.0","6,871.0","7,141.0","7,221.0","7,500.0","7,564.0","8,092.0","8,529.0","8,928.0","9,423.0","9,794.0","10,792.0","11,338.0","12,193.0","13,241.0","14,099.0","15,068.0","16,787.0","16,980.0","18,281.0","19,185.0","20,860.0","22,830.0","24,303.0","27,515.0","29,243.0","30,811.0","32,157.0","34,546.0","34,745.0","38,611.0","40,991.0","42,409.0","48,008.0","48,701.0","47,328.0","49,205.0","51,419.0","53,848.0","56,416.0","65,536.0","68,492.0","69,705.0","70,142.0","69,708.0","70,448.0","71,055.0","72,281.0","75,107.0","77,149.0"
"63","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRC1","732.0","688.0","614.0","520.0","506.0","549.0","582.0","632.0","681.0","673.0","734.0","786.0","880.0","965.0","1,155.0","1,261.0","1,422.0","1,629.0","1,820.0","1,962.0","2,049.0","2,127.0","2,280.0","2,452.0","2,609.0","2,691.0","2,811.0","2,893.0","3,057.0","3,199.0","3,391.0","3,504.0","3,368.0","3,762.0","4,038.0","4,216.0","4,508.0","5,332.0","5,466.0","5,849.0","6,426.0","6,896.0","7,053.0","7,661.0","8,424.0","9,195.0","9,895.0","10,787.0","11,893.0","14,055.0","16,404.0","18,136.0","19,832.0","21,038.0","22,390.0","24,513.0","25,368.0","26,569.0","28,798.0","31,662.0","33,997.0","36,492.0","37,791.0","38,773.0","40,863.0","43,785.0","46,058.0","48,192.0","50,205.0","51,888.0","54,312.0","56,567.0","55,042.0","54,801.0","56,311.0","59,683.0","63,229.0","66,811.0","70,231.0","71,728.0"
