"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"35","17","    Transportation services","DTRSRC1","2,399.0","2,098.0","1,760.0","1,421.0","1,343.0","1,453.0","1,520.0","1,691.0","1,772.0","1,701.0","1,841.0","1,930.0","2,191.0","2,562.0","3,249.0","3,511.0","3,823.0","4,662.0","4,902.0","5,236.0","5,326.0","5,403.0","5,993.0","6,291.0","6,753.0","6,761.0","7,148.0","7,594.0","8,019.0","8,128.0","8,696.0","9,180.0","9,562.0","10,133.0","10,621.0","11,350.0","12,133.0","13,067.0","14,275.0","15,872.0","17,977.0","20,043.0","22,359.0","24,544.0","26,078.0","28,472.0","32,045.0","36,155.0","41,395.0","45,200.0","50,705.0","55,366.0","59,790.0","61,729.0","68,899.0","80,016.0","90,145.0","95,009.0","103,098.0","114,150.0","121,848.0","126,372.0","123,674.0","133,622.0","146,099.0","161,896.0","177,946.0","194,955.0","214,308.0","227,160.0","243,284.0","262,252.0","262,724.0","256,730.0","263,091.0","273,199.0","285,900.0","296,998.0","307,432.0","307,752.0","304,637.0"
"36","18","    Recreation services","DRCARC1","1,582.0","1,528.0","1,420.0","1,099.0","993.0","1,099.0","1,185.0","1,337.0","1,481.0","1,428.0","1,459.0","1,589.0","1,744.0","1,996.0","2,312.0","2,559.0","2,847.0","3,503.0","3,573.0","3,593.0","3,576.0","3,612.0","3,775.0","3,977.0","4,208.0","4,480.0","4,843.0","5,230.0","5,242.0","5,398.0","5,921.0","6,480.0","6,945.0","7,455.0","7,926.0","8,480.0","8,976.0","9,768.0","10,452.0","11,703.0","12,925.0","14,001.0","15,118.0","16,329.0","18,348.0","20,948.0","23,653.0","26,535.0","29,562.0","32,850.0","36,725.0","40,837.0","47,125.0","52,473.0","59,430.0","66,117.0","73,958.0","80,369.0","87,276.0","99,233.0","110,665.0","121,766.0","127,181.0","139,799.0","153,375.0","164,661.0","181,092.0","195,583.0","208,318.0","220,587.0","238,788.0","255,475.0","263,552.0","272,833.0","289,471.0","311,957.0","326,787.0","348,824.0","371,713.0","383,101.0","382,508.0"
"37","19","    Food services and accommodations","DFSARC1","3,422.0","3,273.0","2,954.0","2,439.0","2,127.0","2,602.0","3,006.0","3,422.0","4,020.0","3,864.0","4,121.0","4,412.0","5,347.0","6,878.0","9,143.0","10,888.0","12,657.0","12,687.0","12,465.0","12,605.0","12,397.0","12,738.0","14,960.0","16,027.0","16,475.0","16,611.0","16,989.0","17,687.0","18,481.0","18,667.0","19,738.0","20,485.0","20,964.0","22,257.0","23,306.0","24,878.0","27,181.0","29,635.0","30,957.0","34,594.0","37,461.0","41,624.0","43,797.0","48,886.0","54,832.0","60,614.0","68,821.0","77,801.0","85,665.0","97,104.0","110,921.0","121,721.0","133,915.0","142,508.0","153,550.0","164,916.0","174,300.0","186,687.0","204,379.0","225,847.0","242,597.0","262,735.0","273,394.0","286,313.0","298,607.0","308,668.0","316,717.0","327,398.0","344,560.0","363,009.0","381,580.0","410,126.0","421,228.0","438,183.0","462,830.0","492,923.0","525,309.0","559,744.0","587,892.0","608,661.0","605,573.0"
"38","20","    Financial services and insurance","DIFSRC1","2,906.0","2,595.0","2,203.0","1,877.0","1,921.0","1,825.0","2,067.0","2,246.0","2,381.0","2,250.0","2,295.0","2,368.0","2,480.0","2,565.0","2,840.0","2,972.0","3,187.0","3,776.0","4,246.0","4,685.0","4,898.0","5,583.0","6,314.0","6,714.0","7,772.0","8,609.0","9,586.0","10,396.0","11,053.0","11,574.0","12,484.0","13,551.0","14,765.0","15,351.0","15,909.0","17,740.0","19,394.0","21,273.0","22,842.0","25,796.0","28,501.0","31,071.0","34,137.0","38,337.0","41,497.0","45,903.0","54,014.0","59,257.0","67,786.0","80,627.0","87,623.0","95,599.0","101,995.0","116,322.0","145,873.0","156,555.0","180,539.0","196,665.0","207,127.0","219,409.0","235,741.0","253,218.0","281,979.0","311,759.0","341,016.0","349,027.0","364,689.0","393,631.0","431,297.0","469,649.0","514,234.0","569,962.0","562,791.0","576,166.0","601,753.0","667,481.0","712,619.0","752,375.0","824,223.0","835,632.0","827,991.0"
"39","21","    Other services","DOTSRC1","6,900.0","6,483.0","5,625.0","4,539.0","4,005.0","4,356.0","4,641.0","5,093.0","5,698.0","5,445.0","5,620.0","5,801.0","6,342.0","7,144.0","8,232.0","9,147.0","10,000.0","10,829.0","11,971.0","12,870.0","13,300.0","14,111.0","15,119.0","16,006.0","17,116.0","17,814.0","19,399.0","20,935.0","22,408.0","23,767.0","25,518.0","27,058.0","28,254.0","29,853.0","31,611.0","33,760.0","36,603.0","39,875.0","43,572.0","46,751.0","50,460.0","54,595.0","58,051.0","63,677.0","69,332.0","74,361.0","80,344.0","88,620.0","97,744.0","108,319.0","117,213.0","127,144.0","137,178.0","150,931.0","169,849.0","187,441.0","207,851.0","221,175.0","242,433.0","262,845.0","281,310.0","297,888.0","300,866.0","325,813.0","344,216.0","370,704.0","390,469.0","415,340.0","452,274.0","499,783.0","540,863.0","591,076.0","633,995.0","662,679.0","704,558.0","745,283.0","781,600.0","835,963.0","884,014.0","915,009.0","943,521.0"
"40","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1","1,283.0","1,293.0","1,209.0","1,037.0","911.0","905.0","899.0","937.0","955.0","978.0","991.0","1,056.0","1,115.0","1,263.0","1,481.0","1,669.0","1,737.0","1,978.0","2,124.0","2,319.0","2,355.0","2,475.0","2,645.0","2,947.0","3,091.0","3,307.0","3,464.0","3,897.0","4,155.0","4,492.0","5,060.0","5,276.0","5,465.0","5,707.0","6,000.0","6,694.0","7,192.0","7,751.0","8,421.0","9,346.0","10,082.0","11,089.0","12,329.0","13,615.0","14,629.0","16,433.0","18,050.0","20,069.0","21,791.0","24,473.0","27,799.0","31,888.0","36,264.0","40,090.0","42,908.0","47,591.0","50,346.0","55,367.0","58,532.0","66,761.0","71,716.0","79,614.0","84,245.0","92,343.0","94,622.0","102,369.0","107,170.0","115,715.0","112,248.0","130,995.0","145,407.0","165,368.0","186,204.0","205,005.0","211,815.0","210,013.0","214,075.0","240,350.0","253,498.0","278,721.0","265,391.0"
"41","23","    Gross output of nonprofit institutions \2\","DNPERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","14,104.0","15,051.0","16,002.0","17,160.0","18,570.0","20,511.0","22,309.0","24,635.0","27,350.0","30,901.0","34,648.0","38,706.0","43,395.0","48,154.0","52,706.0","59,739.0","68,230.0","77,397.0","86,316.0","98,114.0","111,035.0","127,955.0","147,774.0","165,931.0","181,368.0","196,640.0","211,717.0","230,055.0","249,698.0","278,987.0","304,917.0","338,190.0","367,010.0","400,799.0","423,303.0","444,684.0","463,386.0","488,806.0","509,284.0","550,547.0","585,277.0","631,979.0","688,012.0","749,684.0","785,843.0","827,716.0","874,632.0","933,608.0","987,493.0","1,049,413.0","1,069,591.0"
"42","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,044.0","9,775.0","10,537.0","11,453.0","12,570.0","13,817.0","15,117.0","16,884.0","18,929.0","21,555.0","24,566.0","27,617.0","31,066.0","34,539.0","38,077.0","43,306.0","50,180.0","57,328.0","64,525.0","73,641.0","83,236.0","96,067.0","111,510.0","125,841.0","138,460.0","149,049.0","161,371.0","174,688.0","191,166.0","212,226.0","233,201.0","258,576.0","282,765.0","308,456.0","328,681.0","342,315.0","356,216.0","373,091.0","397,036.0","419,552.0","439,870.0","466,611.0","501,808.0","544,679.0","574,028.0","617,703.0","660,557.0","693,258.0","733,995.0","770,692.0","804,200.0"
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","25","  Energy goods and services \4\","DNRGRC1","4,580.0","4,511.0","4,088.0","3,813.0","3,758.0","4,068.0","4,224.0","4,598.0","4,854.0","4,789.0","4,966.0","5,305.0","5,863.0","5,581.0","5,027.0","5,219.0","5,897.0","7,932.0","9,303.0","10,866.0","11,289.0","12,219.0","13,368.0","14,338.0","15,397.0","16,374.0","17,918.0","19,388.0","20,784.0","21,824.0","22,971.0","24,178.0","24,591.0","25,796.0","26,840.0","28,114.0","30,061.0","32,210.0","34,129.0","36,233.0","38,985.0","41,505.0","44,344.0","47,837.0","54,383.0","67,463.0","76,667.0","85,637.0","95,601.0","103,706.0","127,356.0","158,402.0","177,089.0","181,181.0","187,348.0","193,090.0","199,540.0","178,570.0","185,353.0","194,076.0","209,310.0","222,968.0","226,062.0","231,368.0","241,939.0","246,381.0","251,675.0","269,688.0","274,230.0","258,450.0","274,625.0","326,465.0","333,187.0","320,201.0","369,998.0","418,089.0","495,190.0","537,801.0","578,193.0","636,566.0","516,516.0"
"45","26","  Personal consumption expenditures excluding food and energy \5\","DPCCRC1","56,556.0","50,798.0","44,674.0","35,865.0","32,697.0","35,684.0","38,423.0","42,461.0","45,962.0","44,356.0","47,076.0","50,089.0","57,046.0","61,806.0","70,624.0","77,456.0","85,871.0","101,482.0","112,495.0","122,323.0","126,854.0","138,600.0","149,148.0","156,769.0","168,395.0","173,053.0","188,799.0","198,117.0","208,944.0","214,594.0","233,136.0","245,061.0","253,847.0","272,884.0","290,003.0","313,849.0","339,308.0","368,073.0","391,095.0","432,937.0","470,768.0","503,290.0","550,144.0","607,921.0","670,915.0","722,431.0","800,555.0","898,320.0","1,002,452.0","1,127,803.0","1,245,441.0","1,358,257.0","1,507,078.0","1,627,173.0","1,824,192.0","2,016,891.0","2,215,115.0","2,401,761.0","2,587,295.0","2,813,173.0","3,019,792.0","3,221,309.0","3,351,058.0","3,601,058.0","3,828,183.0","4,072,316.0","4,291,858.0","4,542,041.0","4,821,620.0","5,173,532.0","5,554,590.0","5,966,449.0","6,255,913.0","6,549,383.0","6,840,888.0","7,238,839.0","7,658,797.0","8,086,888.0","8,508,170.0","8,709,052.0","8,782,301.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","4. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","5. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
