"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"44","25","Monetary interest received","A2068C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","46,051.0","48,568.0","54,414.0","60,402.0","67,150.0","74,436.0","84,105.0","92,205.0","104,636.0","123,383.0","141,758.0","151,022.0","168,569.0","213,535.0","266,990.0","276,131.0","298,217.0","338,109.0","412,828.0","537,851.0","688,211.0","915,482.0","1,028,203.0","1,015,750.0","1,182,438.0","1,263,060.0","1,312,171.0","1,373,710.0","1,545,522.0","1,822,808.0","1,855,486.0","1,752,458.0","1,567,752.0","1,497,325.0","1,621,582.0","1,865,091.0","1,948,552.0","2,110,945.0","2,295,069.0","2,379,884.0","2,796,584.0","2,685,571.0","2,282,557.0","2,147,854.0","2,346,762.0","3,010,109.0","3,871,400.0","4,472,979.0","3,731,199.0"
"45","26","  Domestic business \1\","A2069C1","5,945.0","6,348.0","7,125.0","7,784.0","8,578.0","9,633.0","10,829.0","12,070.0","12,892.0","14,561.0","16,713.0","18,930.0","20,031.0","23,200.0","26,366.0","27,702.0","30,896.0","34,286.0","37,858.0","41,637.0","47,003.0","51,339.0","59,305.0","70,918.0","81,273.0","86,072.0","97,265.0","127,565.0","161,911.0","163,654.0","175,550.0","196,452.0","242,895.0","317,174.0","401,360.0","536,207.0","584,269.0","566,526.0","642,115.0","698,950.0","721,909.0","774,070.0","889,884.0","1,062,102.0","1,069,554.0","1,005,528.0","895,021.0","865,373.0","948,279.0","1,132,352.0","1,180,800.0","1,296,918.0","1,397,934.0","1,500,280.0","1,815,531.0","1,730,606.0","1,428,338.0","1,328,130.0","1,543,837.0","1,994,663.0","2,588,830.0","2,977,975.0","2,319,099.0"
"46","27","    Corporate business","A2070C1","5,890.0","6,291.0","7,063.0","7,714.0","8,482.0","9,525.0","10,711.0","11,930.0","12,725.0","14,349.0","16,488.0","18,696.0","19,780.0","22,921.0","26,038.0","27,283.0","30,432.0","33,842.0","37,370.0","41,225.0","46,696.0","50,895.0","58,759.0","70,219.0","80,579.0","85,228.0","96,118.0","126,474.0","160,570.0","162,166.0","174,159.0","195,132.0","241,064.0","313,839.0","395,389.0","528,068.0","576,981.0","558,816.0","635,566.0","690,755.0","713,284.0","767,586.0","880,801.0","1,052,772.0","1,059,396.0","995,095.0","886,642.0","856,057.0","936,572.0","1,111,149.0","1,157,817.0","1,268,504.0","1,362,604.0","1,456,748.0","1,755,995.0","1,668,590.0","1,376,393.0","1,273,502.0","1,474,255.0","1,889,727.0","2,435,260.0","2,763,447.0","2,164,677.0"
"47","28","      Financial","B1134C1","5,323.0","5,782.0","6,502.0","7,100.0","7,749.0","8,694.0","9,812.0","10,992.0","11,805.0","13,250.0","15,206.0","17,231.0","18,352.0","21,065.0","23,885.0","25,117.0","28,020.0","31,024.0","34,311.0","37,969.0","42,854.0","46,647.0","53,362.0","62,958.0","72,035.0","76,561.0","86,477.0","112,209.0","141,348.0","142,938.0","152,836.0","170,445.0","209,257.0","268,380.0","334,631.0","444,882.0","490,951.0","475,430.0","537,620.0","581,395.0","597,821.0","650,744.0","746,986.0","891,071.0","893,075.0","830,317.0","737,471.0","717,861.0","786,093.0","937,910.0","962,401.0","1,052,888.0","1,156,758.0","1,237,379.0","1,494,637.0","1,423,520.0","1,157,451.0","1,065,998.0","1,253,194.0","1,625,436.0","2,109,976.0","2,419,334.0","1,862,786.0"
"48","29","      Nonfinancial","B1135C1","567.0","509.0","561.0","614.0","733.0","831.0","899.0","938.0","920.0","1,099.0","1,282.0","1,465.0","1,428.0","1,856.0","2,153.0","2,166.0","2,412.0","2,818.0","3,059.0","3,256.0","3,842.0","4,248.0","5,397.0","7,261.0","8,544.0","8,667.0","9,641.0","14,265.0","19,222.0","19,228.0","21,323.0","24,687.0","31,807.0","45,459.0","60,758.0","83,186.0","86,030.0","83,386.0","97,946.0","109,360.0","115,463.0","116,842.0","133,816.0","161,701.0","166,321.0","164,779.0","149,171.0","138,195.0","150,479.0","173,239.0","195,416.0","215,616.0","205,846.0","219,370.0","261,358.0","245,070.0","218,942.0","207,504.0","221,061.0","264,291.0","325,284.0","344,113.0","301,891.0"
"49","30","    Financial sole proprietorships and partnerships \4\","B1136C1","50.0","50.0","55.0","63.0","88.0","99.0","109.0","131.0","157.0","202.0","214.0","222.0","239.0","266.0","314.0","403.0","446.0","426.0","468.0","389.0","281.0","412.0","526.0","677.0","670.0","818.0","1,120.0","1,060.0","1,314.0","1,409.0","1,304.0","1,219.0","1,694.0","3,130.0","5,682.0","7,783.0","6,980.0","7,458.0","6,267.0","7,965.0","8,435.0","6,313.0","8,861.0","9,068.0","9,893.0","10,205.0","8,213.0","9,171.0","11,583.0","21,160.0","22,938.0","28,368.0","35,283.0","43,485.0","59,489.0","61,969.0","51,899.0","54,582.0","69,538.0","104,893.0","153,527.0","214,485.0","154,379.0"
"50","31","    Other private business","B1137C1","5.0","7.0","7.0","7.0","8.0","9.0","9.0","9.0","10.0","10.0","11.0","12.0","12.0","13.0","14.0","16.0","18.0","18.0","20.0","23.0","26.0","32.0","20.0","22.0","24.0","26.0","27.0","31.0","27.0","79.0","87.0","101.0","137.0","205.0","289.0","356.0","308.0","252.0","282.0","230.0","190.0","171.0","222.0","262.0","265.0","228.0","166.0","146.0","125.0","44.0","45.0","46.0","47.0","47.0","47.0","47.0","46.0","46.0","44.0","43.0","43.0","43.0","43.0"
"51","32","  Persons \4\","B1138C1","4,608.0","5,142.0","5,656.0","6,273.0","6,879.0","7,517.0","8,029.0","8,799.0","9,741.0","10,380.0","11,589.0","13,168.0","14,343.0","15,561.0","17,340.0","18,494.0","20,834.0","23,135.0","26,004.0","28,989.0","32,402.0","35,497.0","38,753.0","44,204.0","51,034.0","55,818.0","60,890.0","71,023.0","84,927.0","91,871.0","102,034.0","118,235.0","134,949.0","168,281.0","218,603.0","287,300.0","336,696.0","340,726.0","405,717.0","422,112.0","438,135.0","438,555.0","468,002.0","539,502.0","557,340.0","533,192.0","490,114.0","457,383.0","479,131.0","500,329.0","518,293.0","531,672.0","598,604.0","567,824.0","609,485.0","616,343.0","570,282.0","557,167.0","506,794.0","611,424.0","723,332.0","807,340.0","820,774.0"
"52","33","    Publicly administered government employee retirement plans \5\","B1169C1","218.0","233.0","253.0","283.0","313.0","349.0","388.0","411.0","472.0","504.0","541.0","582.0","653.0","853.0","994.0","1,143.0","1,296.0","1,464.0","1,698.0","1,860.0","2,193.0","2,582.0","2,724.0","2,934.0","3,769.0","4,424.0","5,299.0","5,748.0","6,345.0","7,765.0","9,605.0","10,480.0","11,972.0","14,429.0","18,290.0","21,934.0","29,171.0","35,106.0","39,202.0","45,752.0","52,727.0","58,411.0","63,185.0","69,283.0","72,840.0","77,383.0","75,751.0","79,105.0","88,192.0","97,837.0","99,743.0","111,094.0","114,862.0","117,007.0","114,054.0","104,372.0","107,241.0","112,182.0","113,544.0","115,870.0","118,966.0","128,009.0","130,064.0"
"53","34","    Other \6\","B1170C1","4,390.0","4,909.0","5,403.0","5,990.0","6,566.0","7,168.0","7,641.0","8,388.0","9,269.0","9,876.0","11,048.0","12,586.0","13,690.0","14,708.0","16,346.0","17,351.0","19,538.0","21,671.0","24,306.0","27,129.0","30,209.0","32,915.0","36,029.0","41,270.0","47,265.0","51,394.0","55,591.0","65,275.0","78,582.0","84,106.0","92,429.0","107,755.0","122,977.0","153,852.0","200,313.0","265,366.0","307,525.0","305,620.0","366,515.0","376,360.0","385,408.0","380,144.0","404,817.0","470,219.0","484,499.0","455,809.0","414,363.0","378,277.0","390,940.0","402,491.0","418,551.0","420,578.0","483,742.0","450,817.0","495,431.0","511,971.0","463,041.0","444,985.0","393,250.0","495,554.0","604,366.0","679,330.0","690,711.0"
"54","35","  Government","A2071C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,735.0","1,821.0","2,036.0","2,166.0","2,338.0","2,700.0","3,241.0","3,723.0","4,408.0","4,646.0","5,281.0","5,397.0","5,767.0","7,650.0","10,087.0","10,847.0","11,130.0","12,872.0","18,106.0","25,416.0","33,055.0","42,429.0","49,062.0","54,006.0","62,551.0","70,179.0","75,457.0","73,619.0","79,715.0","83,960.0","87,194.0","84,340.0","77,015.0","74,778.0","73,896.0","79,775.0","85,481.0","87,832.0","87,305.0","89,912.0","99,712.0","94,616.0","80,728.0","75,566.0","77,245.0","87,423.0","103,652.0","115,875.0","111,375.0"
"55","36","    Federal","B1139C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,025.0","1,096.0","1,251.0","1,262.0","1,245.0","1,358.0","1,604.0","1,870.0","2,225.0","1,866.0","1,971.0","1,981.0","2,000.0","2,112.0","2,431.0","2,910.0","3,485.0","4,123.0","6,212.0","8,351.0","10,806.0","14,413.0","17,449.0","19,565.0","22,275.0","24,465.0","27,051.0","24,181.0","26,638.0","25,065.0","26,030.0","24,645.0","21,107.0","22,001.0","19,356.0","20,212.0","21,935.0","20,338.0","16,846.0","16,006.0","18,252.0","17,804.0","14,805.0","16,021.0","16,150.0","16,249.0","18,054.0","21,037.0","19,124.0"
"56","37","    State and local","B1140C1","181.0","209.0","189.0","192.0","201.0","250.0","254.0","281.0","301.0","339.0","411.0","486.0","512.0","555.0","710.0","725.0","785.0","904.0","1,093.0","1,342.0","1,637.0","1,853.0","2,183.0","2,780.0","3,310.0","3,416.0","3,767.0","5,538.0","7,656.0","7,937.0","7,645.0","8,749.0","11,894.0","17,065.0","22,249.0","28,016.0","31,613.0","34,441.0","40,276.0","45,714.0","48,406.0","49,438.0","53,077.0","58,895.0","61,164.0","59,695.0","55,908.0","52,777.0","54,540.0","59,563.0","63,546.0","67,494.0","70,459.0","73,906.0","81,460.0","76,812.0","65,923.0","59,545.0","61,095.0","71,174.0","85,598.0","94,838.0","92,251.0"
"57","38","  Rest of the world","A2072C1","44.0","56.0","45.0","47.0","61.0","78.0","98.0","134.0","102.0","140.0","200.0","258.0","270.0","402.0","609.0","550.0","648.0","816.0","950.0","1,110.0","1,459.0","1,646.0","2,170.0","3,615.0","4,170.0","3,735.0","4,648.0","7,297.0","10,065.0","9,759.0","9,503.0","10,550.0","16,879.0","26,980.0","35,194.0","49,545.0","58,176.0","54,493.0","72,055.0","71,819.0","76,670.0","87,466.0","107,921.0","137,244.0","141,398.0","129,398.0","105,603.0","99,791.0","120,276.0","152,635.0","163,978.0","194,523.0","211,226.0","221,868.0","271,856.0","244,006.0","203,209.0","186,991.0","218,886.0","316,599.0","455,586.0","571,789.0","479,951.0"
"58","39","    From business","B1141C1","29.0","40.0","28.0","22.0","30.0","31.0","34.0","48.0","43.0","46.0","46.0","57.0","131.0","121.0","277.0","272.0","309.0","415.0","497.0","621.0","910.0","1,048.0","1,468.0","2,838.0","3,146.0","1,891.0","1,964.0","3,461.0","5,803.0","5,217.0","4,983.0","5,008.0","8,205.0","15,858.0","22,510.0","32,232.0","38,895.0","35,499.0","50,901.0","48,691.0","52,043.0","61,248.0","76,208.0","98,877.0","100,628.0","88,527.0","66,522.0","60,415.0","76,084.0","97,012.0","97,360.0","112,822.0","127,072.0","141,343.0","187,339.0","165,625.0","128,301.0","113,157.0","136,350.0","212,725.0","320,607.0","407,461.0","314,641.0"
"59","40","    From federal government","B093RC1","15.0","16.0","17.0","25.0","31.0","47.0","64.0","86.0","59.0","94.0","154.0","201.0","139.0","281.0","332.0","278.0","339.0","401.0","453.0","489.0","549.0","598.0","702.0","777.0","1,024.0","1,844.0","2,684.0","3,836.0","4,262.0","4,542.0","4,520.0","5,542.0","8,674.0","11,122.0","12,684.0","17,313.0","19,282.0","18,993.0","21,155.0","23,129.0","24,625.0","26,218.0","31,715.0","38,364.0","40,770.0","40,872.0","39,081.0","39,376.0","44,192.0","55,623.0","66,618.0","81,701.0","84,154.0","80,525.0","84,517.0","78,381.0","74,908.0","73,834.0","82,536.0","103,874.0","134,979.0","164,331.0","165,310.0"
"60",NA,"          Imputed interest"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","41","Total imputed interest paid (43+70)","W294RC1","2,885.0","2,934.0","2,772.0","2,811.0","3,009.0","2,990.0","3,347.0","3,964.0","4,291.0","4,890.0","5,312.0","5,627.0","5,801.0","6,412.0","7,103.0","7,661.0","7,960.0","8,179.0","9,290.0","9,353.0","9,590.0","10,972.0","11,239.0","14,976.0","20,068.0","25,218.0","26,750.0","23,118.0","27,064.0","53,767.0","43,337.0","45,708.0","44,739.0","30,988.0","29,788.0","25,245.0","68,926.0","131,659.0","116,072.0","149,589.0","159,579.0","158,459.0","147,162.0","138,399.0","173,509.0","217,814.0","235,783.0","225,531.0","209,618.0","215,110.0","241,170.0","283,377.0","298,096.0","324,813.0","336,161.0","335,405.0","320,775.0","279,746.0","298,680.0","275,797.0","258,076.0","353,530.0","437,209.0"
"62","42","Total imputed interest received (49+89)","W295RC1","2,885.0","2,935.0","2,773.0","2,811.0","3,010.0","2,991.0","3,347.0","3,966.0","4,290.0","4,890.0","5,312.0","5,627.0","5,800.0","6,410.0","7,103.0","7,662.0","7,961.0","8,178.0","9,290.0","9,354.0","9,590.0","10,976.0","11,244.0","14,973.0","20,064.0","25,224.0","26,751.0","23,116.0","27,060.0","53,766.0","43,340.0","45,709.0","44,740.0","30,960.0","29,795.0","25,220.0","68,927.0","131,659.0","116,072.0","149,588.0","159,579.0","158,461.0","147,162.0","138,399.0","173,510.0","217,815.0","235,782.0","225,531.0","209,618.0","215,111.0","241,170.0","283,377.0","298,098.0","324,814.0","336,162.0","335,407.0","320,776.0","279,747.0","298,682.0","275,797.0","258,075.0","353,529.0","437,207.0"
"63",NA,"Depositor and insurance services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","43","  Imputed interest paid","A2073C1","3,475.0","3,748.0","3,805.0","3,948.0","4,313.0","4,578.0","5,084.0","5,879.0","6,241.0","7,024.0","7,779.0","8,296.0","8,569.0","9,466.0","10,475.0","11,099.0","11,666.0","12,087.0","13,472.0","14,142.0","15,224.0","16,889.0","18,217.0","22,745.0","27,214.0","30,767.0","33,116.0","34,290.0","40,661.0","57,420.0","54,539.0","60,329.0","67,188.0","65,635.0","73,401.0","78,830.0","106,342.0","147,257.0","147,720.0","175,639.0","198,155.0","207,492.0","208,311.0","208,854.0","233,815.0","264,766.0","282,719.0","286,822.0","281,621.0","298,103.0","319,411.0","364,101.0","382,425.0","410,872.0","441,432.0","434,584.0","424,493.0","408,835.0","434,465.0","439,931.0","458,378.0","537,642.0","591,485.0"
"65","44","    Domestic corporate business, financial","W353RC1","3,475.0","3,748.0","3,805.0","3,948.0","4,313.0","4,578.0","5,084.0","5,879.0","6,241.0","7,024.0","7,779.0","8,296.0","8,569.0","9,466.0","10,475.0","11,099.0","11,666.0","12,087.0","13,472.0","14,142.0","15,224.0","16,889.0","18,217.0","22,745.0","27,214.0","30,767.0","33,116.0","34,290.0","40,661.0","57,420.0","54,539.0","60,329.0","67,188.0","65,635.0","73,401.0","78,830.0","106,342.0","147,257.0","147,720.0","175,639.0","197,473.0","206,650.0","207,529.0","207,855.0","232,754.0","263,523.0","281,384.0","285,306.0","279,802.0","296,249.0","317,616.0","362,193.0","379,765.0","407,849.0","437,745.0","429,673.0","418,928.0","402,786.0","427,495.0","435,495.0","451,428.0","530,425.0","586,172.0"
"66","45","      Banks, credit agencies, and investment companies","B1310C1","2,299.0","2,278.0","2,376.0","2,420.0","2,566.0","2,726.0","3,045.0","3,614.0","3,831.0","4,352.0","4,842.0","5,013.0","4,972.0","5,570.0","6,152.0","6,374.0","6,553.0","6,529.0","7,456.0","7,658.0","8,276.0","9,418.0","10,179.0","13,781.0","17,545.0","20,002.0","21,561.0","21,465.0","25,934.0","40,532.0","35,622.0","37,734.0","41,022.0","38,721.0","37,693.0","36,035.0","56,835.0","89,830.0","80,332.0","95,898.0","103,515.0","101,214.0","95,924.0","83,654.0","98,646.0","122,694.0","137,868.0","130,584.0","131,264.0","126,519.0","142,951.0","160,836.0","172,609.0","189,670.0","194,970.0","203,008.0","213,432.0","197,115.0","215,718.0","206,788.0","190,315.0","243,317.0","290,268.0"
"67","46","      Life insurance carriers","B1311C1","1,068.0","1,347.0","1,293.0","1,384.0","1,596.0","1,681.0","1,842.0","2,039.0","2,170.0","2,418.0","2,665.0","2,979.0","3,258.0","3,523.0","3,916.0","4,290.0","4,653.0","5,071.0","5,494.0","5,917.0","6,308.0","6,754.0","7,246.0","8,067.0","8,614.0","9,379.0","10,015.0","11,192.0","12,931.0","14,730.0","16,261.0","19,162.0","22,196.0","22,458.0","30,606.0","37,013.0","42,994.0","49,796.0","58,270.0","67,511.0","76,773.0","86,278.0","91,871.0","103,641.0","112,313.0","118,134.0","120,313.0","128,852.0","121,229.0","143,099.0","147,543.0","173,710.0","178,990.0","189,541.0","212,711.0","195,582.0","172,500.0","171,439.0","177,565.0","196,200.0","227,531.0","255,427.0","265,396.0"
"68","47","      Property and casualty insurance companies","W354RC1","108.0","123.0","136.0","143.0","150.0","171.0","197.0","226.0","240.0","254.0","273.0","304.0","339.0","373.0","407.0","435.0","460.0","487.0","522.0","567.0","639.0","717.0","793.0","897.0","1,056.0","1,386.0","1,539.0","1,633.0","1,796.0","2,158.0","2,656.0","3,433.0","3,970.0","4,456.0","5,102.0","5,782.0","6,514.0","7,632.0","9,118.0","12,230.0","17,185.0","19,158.0","19,734.0","20,560.0","21,795.0","22,695.0","23,203.0","25,870.0","27,309.0","26,631.0","27,122.0","27,647.0","28,166.0","28,638.0","30,064.0","31,083.0","32,996.0","34,232.0","34,212.0","32,507.0","33,582.0","31,681.0","30,508.0"
"69","48","    Rest of the world","W355RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","682.0","842.0","782.0","999.0","1,061.0","1,243.0","1,335.0","1,516.0","1,819.0","1,854.0","1,795.0","1,908.0","2,660.0","3,023.0","3,687.0","4,911.0","5,565.0","6,049.0","6,970.0","4,436.0","6,950.0","7,217.0","5,313.0"
"70","49","  Imputed interest received","A2074C1","3,475.0","3,748.0","3,805.0","3,948.0","4,313.0","4,578.0","5,084.0","5,880.0","6,241.0","7,024.0","7,779.0","8,296.0","8,569.0","9,466.0","10,475.0","11,099.0","11,667.0","12,086.0","13,472.0","14,144.0","15,226.0","16,894.0","18,223.0","22,742.0","27,210.0","30,774.0","33,119.0","34,287.0","40,658.0","57,420.0","54,542.0","60,329.0","67,191.0","65,608.0","73,407.0","78,805.0","106,343.0","147,256.0","147,720.0","175,639.0","198,155.0","207,492.0","208,311.0","208,854.0","233,815.0","264,766.0","282,719.0","286,822.0","281,621.0","298,103.0","319,411.0","364,101.0","382,425.0","410,872.0","441,432.0","434,585.0","424,493.0","408,836.0","434,465.0","439,931.0","458,378.0","537,642.0","591,485.0"
"71","50","    Domestic business \1\","A2075C1","858.0","938.0","967.0","984.0","1,036.0","1,110.0","1,288.0","1,413.0","1,429.0","1,585.0","1,777.0","1,878.0","1,852.0","2,189.0","2,420.0","2,473.0","2,525.0","2,574.0","2,794.0","2,842.0","3,106.0","3,595.0","3,930.0","5,197.0","6,637.0","7,746.0","8,141.0","7,476.0","8,892.0","15,075.0","12,684.0","13,324.0","14,160.0","13,601.0","14,985.0","16,192.0","28,094.0","34,453.0","29,828.0","32,156.0","37,195.0","33,208.0","30,928.0","24,084.0","30,304.0","38,155.0","38,006.0","33,900.0","35,735.0","35,214.0","41,329.0","47,046.0","48,736.0","53,824.0","52,794.0","61,535.0","69,230.0","63,812.0","67,681.0","52,240.0","41,474.0","62,936.0","84,542.0"
"72","51","      Corporate business","A2076C1","596.0","662.0","686.0","704.0","747.0","798.0","932.0","1,043.0","1,053.0","1,179.0","1,337.0","1,397.0","1,377.0","1,583.0","1,757.0","1,809.0","1,867.0","1,908.0","2,066.0","2,118.0","2,343.0","2,740.0","3,024.0","4,032.0","5,192.0","6,096.0","6,324.0","5,954.0","7,117.0","12,104.0","10,407.0","11,003.0","11,422.0","10,625.0","11,445.0","12,126.0","19,302.0","23,465.0","20,579.0","23,080.0","28,350.0","24,798.0","22,863.0","15,996.0","21,974.0","29,410.0","28,658.0","24,528.0","26,418.0","26,219.0","31,508.0","36,309.0","37,168.0","40,377.0","37,972.0","44,851.0","51,448.0","47,427.0","50,270.0","35,866.0","25,606.0","45,113.0","61,432.0"
"73","52","        Financial","B1143C1","120.0","150.0","160.0","167.0","167.0","164.0","205.0","243.0","250.0","284.0","331.0","314.0","309.0","520.0","572.0","562.0","571.0","555.0","580.0","621.0","744.0","859.0","970.0","1,267.0","1,658.0","1,934.0","1,778.0","1,778.0","2,165.0","3,250.0","2,992.0","3,236.0","3,616.0","3,830.0","4,413.0","5,009.0","7,195.0","8,211.0","7,058.0","6,163.0","11,576.0","7,549.0","6,088.0","-64.0","5,120.0","12,054.0","10,896.0","6,252.0","7,320.0","7,151.0","10,594.0","13,356.0","13,015.0","15,197.0","11,656.0","16,761.0","21,236.0","17,919.0","18,268.0","3,373.0","-6,244.0","12,416.0","26,772.0"
"74","53","        Nonfinancial","B1144C1","476.0","512.0","526.0","537.0","580.0","633.0","727.0","800.0","803.0","895.0","1,005.0","1,083.0","1,068.0","1,063.0","1,186.0","1,247.0","1,297.0","1,353.0","1,486.0","1,496.0","1,599.0","1,881.0","2,055.0","2,765.0","3,534.0","4,162.0","4,546.0","4,177.0","4,953.0","8,854.0","7,416.0","7,766.0","7,806.0","6,795.0","7,032.0","7,118.0","12,107.0","15,253.0","13,521.0","16,917.0","16,774.0","17,249.0","16,775.0","16,060.0","16,854.0","17,356.0","17,762.0","18,276.0","19,098.0","19,068.0","20,914.0","22,953.0","24,153.0","25,180.0","26,316.0","28,090.0","30,212.0","29,509.0","32,002.0","32,493.0","31,850.0","32,697.0","34,660.0"
"75","54","      Sole proprietorships and partnerships","A2077C1","261.0","275.0","279.0","279.0","287.0","310.0","354.0","367.0","373.0","403.0","437.0","478.0","472.0","603.0","658.0","660.0","653.0","661.0","723.0","719.0","758.0","848.0","888.0","1,144.0","1,418.0","1,619.0","1,781.0","1,489.0","1,735.0","2,906.0","2,213.0","2,245.0","2,657.0","2,899.0","3,455.0","3,976.0","8,662.0","10,830.0","9,086.0","8,875.0","8,614.0","8,178.0","7,839.0","7,867.0","8,110.0","8,524.0","9,139.0","9,133.0","9,061.0","8,737.0","9,537.0","10,401.0","11,189.0","13,049.0","14,388.0","16,238.0","17,320.0","15,884.0","16,875.0","15,868.0","15,381.0","17,324.0","22,638.0"
"76","55","        Farm","B1146C1","71.0","77.0","76.0","72.0","73.0","76.0","85.0","75.0","72.0","73.0","75.0","79.0","81.0","136.0","145.0","147.0","150.0","147.0","165.0","165.0","172.0","195.0","209.0","274.0","346.0","396.0","436.0","412.0","483.0","820.0","601.0","582.0","563.0","503.0","527.0","540.0","1,058.0","1,118.0","824.0","644.0","503.0","419.0","393.0","386.0","391.0","412.0","468.0","474.0","485.0","537.0","630.0","685.0","752.0","729.0","664.0","848.0","863.0","735.0","775.0","690.0","646.0","803.0","1,170.0"
"77","56","        Nonfarm","B1145C1","190.0","198.0","203.0","207.0","214.0","234.0","269.0","292.0","301.0","330.0","362.0","399.0","391.0","467.0","513.0","513.0","503.0","514.0","558.0","554.0","586.0","653.0","679.0","870.0","1,072.0","1,223.0","1,345.0","1,077.0","1,252.0","2,086.0","1,612.0","1,663.0","2,094.0","2,396.0","2,928.0","3,436.0","7,604.0","9,712.0","8,262.0","8,231.0","8,111.0","7,759.0","7,446.0","7,481.0","7,719.0","8,112.0","8,671.0","8,659.0","8,576.0","8,200.0","8,907.0","9,716.0","10,437.0","12,320.0","13,724.0","15,393.0","16,460.0","15,153.0","16,099.0","15,176.0","14,731.0","16,520.0","21,472.0"
"78","57","      Other private business","B2078C1","1.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","4.0","4.0","4.0","4.0","5.0","5.0","5.0","6.0","7.0","17.0","21.0","27.0","31.0","36.0","33.0","40.0","65.0","64.0","77.0","81.0","77.0","86.0","91.0","130.0","158.0","163.0","200.0","231.0","232.0","226.0","221.0","220.0","221.0","209.0","239.0","256.0","258.0","284.0","336.0","379.0","398.0","434.0","445.0","462.0","501.0","536.0","506.0","487.0","498.0","472.0"
"79","58","    Households and nonprofit institutions","W314RC1","2,103.0","2,460.0","2,430.0","2,540.0","2,855.0","3,010.0","3,284.0","3,924.0","4,247.0","4,841.0","5,365.0","5,717.0","5,992.0","6,511.0","7,216.0","7,776.0","8,261.0","8,556.0","9,589.0","10,227.0","11,043.0","12,073.0","12,926.0","15,746.0","18,227.0","20,218.0","21,983.0","23,858.0","28,361.0","37,508.0","37,588.0","42,512.0","49,284.0","49,199.0","56,326.0","61,242.0","74,405.0","105,927.0","111,917.0","134,138.0","150,790.0","165,682.0","169,914.0","178,144.0","195,301.0","215,780.0","232,840.0","241,616.0","234,550.0","252,539.0","267,095.0","305,139.0","321,829.0","344,179.0","375,824.0","361,309.0","342,806.0","333,802.0","354,698.0","376,921.0","405,526.0","460,385.0","488,617.0"
"80","59","      Households","W315RC1","2,101.0","2,458.0","2,427.0","2,537.0","2,852.0","3,008.0","3,281.0","3,920.0","4,243.0","4,837.0","5,361.0","5,712.0","5,987.0","6,506.0","7,210.0","7,769.0","8,254.0","8,549.0","9,582.0","10,219.0","11,035.0","12,064.0","12,917.0","15,735.0","18,214.0","20,201.0","21,964.0","23,838.0","28,340.0","37,482.0","37,554.0","42,387.0","49,155.0","49,062.0","56,171.0","61,052.0","74,172.0","105,632.0","111,540.0","133,553.0","149,959.0","164,756.0","169,022.0","177,185.0","194,415.0","214,861.0","231,883.0","240,517.0","233,302.0","251,360.0","265,934.0","303,977.0","320,636.0","343,005.0","374,629.0","360,092.0","341,472.0","332,423.0","353,411.0","375,635.0","404,277.0","459,246.0","487,566.0"
"81","60","        Owner-occupied housing","W316RC1","13.0","14.0","15.0","17.0","18.0","19.0","21.0","24.0","26.0","27.0","29.0","32.0","35.0","39.0","40.0","38.0","36.0","36.0","37.0","40.0","42.0","47.0","52.0","58.0","67.0","85.0","95.0","99.0","109.0","128.0","142.0","163.0","184.0","205.0","235.0","269.0","311.0","353.0","396.0","443.0","515.0","588.0","622.0","647.0","695.0","740.0","795.0","890.0","959.0","965.0","1,017.0","1,040.0","1,086.0","1,113.0","1,140.0","1,178.0","1,225.0","1,290.0","1,284.0","1,359.0","1,377.0","1,351.0","1,399.0"
