"","Table 5#7#5A# Private Inventories and Domestic Final Sales of Bu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"37","18","  Retail trade","A382RC1","10,033.0","10,162.0","10,086.0","10,999.0","11,894.0","12,041.0","12,464.0","12,753.0","12,226.0","11,858.0","12,319.0","11,841.0","11,981.0","12,376.0","13,520.0","14,928.0","16,145.0","16,327.0","15,726.0","15,393.0","14,961.0","14,530.0","14,804.0","15,160.0","15,316.0","15,713.0","15,943.0","15,722.0","15,776.0","15,810.0","15,955.0","15,815.0","16,478.0","16,910.0","17,294.0","17,952.0","18,179.0","18,357.0","18,343.0","18,586.0","18,751.0","19,113.0","19,472.0","19,736.0","19,476.0","19,268.0","19,288.0","19,507.0","19,919.0","20,589.0","20,657.0","20,516.0","21,809.0","21,849.0","22,008.0","21,879.0","21,059.0","21,004.0","21,170.0","21,322.0","21,717.0","21,855.0","22,305.0","22,667.0","22,863.0","22,923.0","23,244.0","23,931.0","24,406.0","24,992.0","25,504.0","25,194.0","26,431.0","27,032.0","27,300.0","28,030.0","28,801.0","29,805.0","29,854.0","30,587.0","30,548.0","30,496.0","30,357.0","30,915.0","31,777.0","32,707.0","32,761.0","34,215.0","34,873.0","35,418.0","36,515.0","37,477.0","37,513.0","38,235.0","38,803.0","38,512.0","41,163.0","42,521.0","44,576.0","44,707.0","45,600.0","46,928.0","47,879.0","49,771.0","52,486.0","55,666.0","55,655.0","58,404.0","58,914.0","60,244.0","61,792.0","63,926.0","62,298.0","62,517.0","64,191.0","64,425.0","67,244.0","69,611.0","71,331.0","73,002.0","75,366.0","77,082.0","78,772.0","80,903.0","84,525.0","88,422.0","90,453.0","94,121.0","97,094.0","101,527.0","101,879.0","104,702.0","107,935.0","109,174.0","111,790.0","111,687.0","113,850.0","117,691.0","120,906.0","123,229.0","120,415.0","121,822.0","124,907.0","123,206.0","125,735.0","129,831.0","133,480.0","137,640.0","146,228.0","149,352.0","150,052.0","156,969.0","158,465.0","161,151.0","163,566.0","171,412.0","175,916.0","177,342.0","175,673.0","176,196.0","185,084.0","191,403.0","191,607.0","199,076.0","198,759.0","203,295.0","207,844.0","213,241.0","222,133.0","224,142.0","224,315.0","231,370.0","228,989.0","233,122.0","236,389.0","236,590.0","231,485.0","233,004.0","236,996.0","240,188.0","239,843.0","243,998.0","246,249.0","249,373.0","259,866.0","263,531.0","264,601.0","268,551.0","272,258.0","281,684.0","287,291.0","293,619.0","301,511.0","308,130.0","309,964.0","312,212.0","309,188.0","313,789.0","320,276.0","321,961.0","321,788.0","324,485.0","326,884.0","328,181.0"
"38","19","    Durable goods","B383RC1","4,090.0","4,219.0","4,412.0","4,617.0","5,151.0","5,273.0","5,503.0","5,759.0","5,624.0","5,341.0","5,893.0","5,375.0","5,221.0","5,520.0","5,913.0","7,093.0","7,527.0","7,842.0","7,736.0","7,551.0","7,366.0","7,133.0","7,154.0","7,445.0","7,682.0","7,918.0","8,167.0","7,930.0","7,818.0","7,854.0","7,885.0","7,776.0","8,194.0","8,581.0","8,743.0","9,196.0","9,367.0","9,178.0","9,082.0","9,231.0","9,263.0","9,538.0","9,855.0","10,144.0","9,862.0","9,579.0","9,430.0","9,591.0","9,887.0","10,306.0","10,206.0","9,918.0","10,745.0","10,846.0","10,882.0","10,794.0","10,083.0","9,982.0","9,856.0","9,799.0","9,848.0","9,863.0","10,168.0","10,341.0","10,355.0","10,254.0","10,448.0","10,993.0","11,351.0","11,573.0","11,867.0","11,438.0","12,294.0","12,652.0","12,891.0","13,056.0","13,441.0","14,145.0","13,941.0","14,384.0","14,076.0","13,741.0","13,638.0","14,018.0","14,489.0","15,209.0","15,038.0","16,241.0","16,545.0","16,435.0","17,167.0","17,762.0","17,491.0","17,859.0","18,229.0","17,444.0","19,281.0","20,354.0","21,963.0","21,501.0","21,866.0","22,416.0","22,796.0","23,869.0","24,816.0","26,490.0","26,981.0","27,891.0","28,629.0","29,362.0","30,022.0","32,471.0","31,312.0","31,830.0","33,226.0","33,155.0","34,428.0","35,617.0","37,426.0","38,631.0","39,965.0","40,992.0","42,549.0","44,042.0","46,029.0","47,896.0","48,895.0","51,628.0","53,799.0","56,839.0","55,966.0","57,032.0","57,577.0","56,683.0","57,003.0","57,677.0","57,829.0","60,719.0","61,809.0","62,929.0","60,575.0","61,161.0","64,066.0","62,003.0","63,618.0","65,681.0","67,604.0","70,125.0","74,604.0","75,743.0","75,192.0","80,288.0","81,666.0","83,419.0","83,971.0","90,026.0","94,110.0","95,047.0","91,556.0","91,796.0","98,690.0","102,598.0","101,666.0","107,186.0","105,013.0","108,223.0","111,086.0","115,996.0","121,815.0","120,398.0","119,163.0","124,293.0","120,619.0","123,653.0","125,675.0","125,509.0","120,071.0","120,963.0","123,638.0","123,506.0","123,078.0","125,557.0","125,987.0","127,532.0","134,471.0","137,479.0","137,966.0","141,237.0","144,844.0","149,764.0","153,908.0","158,786.0","164,214.0","168,384.0","169,327.0","171,302.0","167,804.0","171,887.0","176,285.0","176,053.0","175,377.0","176,302.0","177,293.0","178,432.0"
"39","20","      Motor vehicle dealers \4\","B864RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,396.0","3,616.0","3,967.0","3,834.0","3,500.0","4,315.0","4,466.0","4,532.0","4,443.0","3,808.0","3,812.0","3,801.0","3,804.0","3,852.0","3,834.0","4,046.0","4,242.0","4,329.0","4,231.0","4,352.0","4,790.0","5,010.0","5,096.0","5,403.0","4,811.0","5,420.0","5,826.0","6,026.0","6,263.0","6,302.0","6,730.0","6,395.0","6,899.0","6,626.0","6,144.0","5,925.0","6,253.0","6,618.0","7,103.0","6,757.0","7,717.0","7,855.0","7,729.0","8,186.0","8,641.0","8,303.0","8,645.0","8,931.0","7,934.0","9,397.0","10,331.0","11,705.0","11,013.0","10,961.0","11,079.0","11,003.0","11,453.0","12,041.0","12,988.0","13,335.0","14,085.0","13,921.0","14,077.0","14,506.0","16,428.0","15,118.0","15,624.0","16,753.0","16,211.0","17,035.0","17,576.0","18,715.0","19,352.0","20,190.0","20,998.0","21,943.0","23,253.0","24,030.0","24,479.0","24,671.0","27,100.0","28,581.0","31,067.0","29,377.0","29,725.0","28,788.0","27,538.0","27,364.0","28,367.0","23,939.0","26,549.0","27,148.0","27,605.0","25,866.0","26,868.0","29,422.0","26,903.0","27,414.0","28,292.0","29,545.0","31,217.0","34,275.0","34,326.0","33,518.0","37,285.0","37,838.0","38,998.0","38,480.0","44,116.0","46,782.0","47,066.0","42,490.0","43,894.0","50,766.0","52,456.0","50,814.0","54,246.0","50,691.0","52,997.0","54,405.0","58,227.0","63,126.0","60,840.0","58,085.0","62,934.0","58,014.0","60,290.0","62,464.0","62,638.0","58,230.0","59,086.0","61,359.0","60,955.0","61,120.0","63,012.0","63,365.0","64,161.0","69,382.0","71,660.0","70,462.0","70,743.0","73,386.0","75,683.0","78,239.0","81,289.0","85,550.0","87,942.0","86,685.0","89,103.0","84,911.0","88,073.0","91,890.0","91,212.0","90,818.0","91,331.0","91,872.0","92,958.0"
"40","21","      Other \4\","A865RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6,195.0","6,271.0","6,339.0","6,372.0","6,418.0","6,430.0","6,380.0","6,350.0","6,351.0","6,275.0","6,170.0","6,055.0","5,995.0","5,996.0","6,029.0","6,122.0","6,099.0","6,026.0","6,023.0","6,096.0","6,203.0","6,341.0","6,477.0","6,464.0","6,627.0","6,874.0","6,826.0","6,865.0","6,793.0","7,139.0","7,415.0","7,546.0","7,485.0","7,450.0","7,597.0","7,713.0","7,765.0","7,871.0","8,106.0","8,281.0","8,524.0","8,690.0","8,706.0","8,981.0","9,121.0","9,188.0","9,214.0","9,298.0","9,510.0","9,884.0","10,023.0","10,258.0","10,488.0","10,905.0","11,337.0","11,793.0","12,416.0","12,775.0","13,502.0","13,646.0","13,806.0","14,708.0","15,285.0","15,516.0","16,043.0","16,194.0","16,206.0","16,473.0","16,944.0","17,393.0","18,041.0","18,711.0","19,279.0","19,775.0","19,994.0","20,606.0","20,789.0","21,999.0","23,417.0","24,224.0","24,528.0","25,218.0","25,772.0","26,589.0","27,307.0","28,789.0","29,145.0","29,639.0","29,310.0","33,890.0","34,170.0","34,661.0","35,324.0","34,709.0","34,293.0","34,644.0","35,100.0","36,204.0","37,389.0","38,059.0","38,908.0","40,329.0","41,417.0","41,674.0","43,003.0","43,828.0","44,421.0","45,491.0","45,910.0","47,328.0","47,981.0","49,066.0","47,902.0","47,924.0","50,142.0","50,852.0","52,940.0","54,322.0","55,226.0","56,681.0","57,769.0","58,689.0","59,558.0","61,078.0","61,359.0","62,605.0","63,363.0","63,211.0","62,871.0","61,841.0","61,877.0","62,279.0","62,551.0","61,958.0","62,545.0","62,622.0","63,371.0","65,089.0","65,819.0","67,504.0","70,494.0","71,458.0","74,081.0","75,669.0","77,497.0","78,664.0","80,442.0","82,642.0","82,199.0","82,893.0","83,814.0","84,395.0","84,841.0","84,559.0","84,971.0","85,421.0","85,474.0"
"41","22","    Nondurable goods","B384RC1","5,943.0","5,943.0","5,674.0","6,382.0","6,743.0","6,768.0","6,961.0","6,994.0","6,602.0","6,517.0","6,426.0","6,466.0","6,760.0","6,856.0","7,607.0","7,835.0","8,618.0","8,485.0","7,990.0","7,842.0","7,595.0","7,397.0","7,650.0","7,715.0","7,634.0","7,795.0","7,776.0","7,792.0","7,958.0","7,956.0","8,070.0","8,039.0","8,284.0","8,329.0","8,551.0","8,756.0","8,812.0","9,179.0","9,261.0","9,355.0","9,488.0","9,575.0","9,617.0","9,592.0","9,614.0","9,689.0","9,858.0","9,916.0","10,032.0","10,283.0","10,451.0","10,598.0","11,064.0","11,003.0","11,126.0","11,085.0","10,976.0","11,022.0","11,314.0","11,523.0","11,869.0","11,992.0","12,137.0","12,326.0","12,508.0","12,669.0","12,796.0","12,938.0","13,055.0","13,419.0","13,637.0","13,756.0","14,137.0","14,380.0","14,409.0","14,974.0","15,360.0","15,660.0","15,913.0","16,203.0","16,472.0","16,755.0","16,719.0","16,897.0","17,288.0","17,498.0","17,723.0","17,974.0","18,328.0","18,983.0","19,348.0","19,715.0","20,022.0","20,376.0","20,574.0","21,068.0","21,882.0","22,167.0","22,613.0","23,206.0","23,734.0","24,512.0","25,083.0","25,902.0","27,670.0","29,176.0","28,674.0","30,513.0","30,285.0","30,882.0","31,770.0","31,455.0","30,986.0","30,687.0","30,965.0","31,270.0","32,816.0","33,994.0","33,905.0","34,371.0","35,401.0","36,090.0","36,223.0","36,861.0","38,496.0","40,526.0","41,558.0","42,493.0","43,295.0","44,688.0","45,913.0","47,670.0","50,358.0","52,491.0","54,787.0","54,010.0","56,021.0","56,972.0","59,097.0","60,300.0","59,840.0","60,661.0","60,841.0","61,203.0","62,117.0","64,150.0","65,876.0","67,515.0","71,624.0","73,609.0","74,860.0","76,681.0","76,799.0","77,732.0","79,595.0","81,386.0","81,806.0","82,295.0","84,117.0","84,400.0","86,394.0","88,805.0","89,941.0","91,890.0","93,746.0","95,072.0","96,758.0","97,245.0","100,318.0","103,744.0","105,152.0","107,077.0","108,370.0","109,469.0","110,714.0","111,081.0","111,414.0","112,041.0","113,358.0","116,682.0","116,765.0","118,441.0","120,262.0","121,841.0","125,395.0","126,052.0","126,635.0","127,314.0","127,414.0","131,920.0","133,383.0","134,833.0","137,297.0","139,746.0","140,637.0","140,910.0","141,384.0","141,902.0","143,991.0","145,908.0","146,411.0","148,183.0","149,591.0","149,749.0"
"42","23","  Other","A385RC1","2,890.0","3,032.0","3,253.0","3,464.0","3,440.0","3,552.0","3,713.0","3,796.0","3,790.0","3,552.0","3,379.0","3,260.0","3,353.0","3,425.0","3,639.0","4,111.0","4,299.0","4,388.0","4,468.0","4,627.0","4,756.0","4,769.0","4,782.0","4,698.0","4,663.0","4,571.0","4,515.0","4,383.0","4,394.0","4,349.0","4,401.0","4,440.0","4,414.0","4,452.0","4,522.0","4,549.0","4,727.0","4,854.0","4,953.0","5,205.0","5,287.0","5,286.0","5,423.0","5,531.0","5,514.0","5,455.0","5,488.0","5,682.0","5,728.0","5,779.0","5,889.0","6,080.0","6,011.0","5,967.0","6,099.0","6,065.0","6,149.0","6,167.0","6,322.0","6,554.0","6,502.0","6,493.0","6,587.0","6,583.0","6,758.0","6,744.0","6,850.0","7,060.0","7,090.0","7,221.0","7,436.0","7,659.0","7,741.0","7,917.0","8,072.0","8,269.0","8,336.0","8,453.0","8,586.0","8,878.0","9,083.0","9,327.0","9,764.0","10,143.0","10,394.0","10,305.0","10,430.0","10,579.0","10,874.0","11,213.0","11,658.0","11,989.0","12,255.0","12,412.0","12,662.0","12,878.0","13,035.0","13,336.0","13,424.0","13,694.0","13,919.0","14,200.0","14,488.0","14,837.0","15,361.0","15,753.0","16,328.0","17,736.0","20,089.0","21,968.0","23,384.0","24,675.0","24,137.0","24,432.0","24,887.0","25,901.0","26,599.0","27,454.0","27,984.0","28,451.0","30,630.0","31,074.0","32,845.0","33,272.0","34,496.0","36,055.0","37,854.0","38,792.0","40,647.0","42,698.0","45,033.0","46,604.0","48,988.0","49,780.0","50,997.0","54,126.0","58,291.0","58,904.0","62,975.0","66,559.0","67,766.0","68,824.0","68,415.0","66,806.0","67,294.0","66,853.0","66,062.0","65,189.0","65,806.0","65,986.0","66,196.0","66,910.0","67,275.0","67,518.0","68,399.0","69,518.0","67,695.0","67,250.0","66,762.0","66,293.0","67,865.0","68,753.0","69,181.0","69,924.0","69,215.0","68,851.0","68,553.0","69,501.0","70,535.0","70,012.0","70,145.0","70,100.0","70,640.0","70,193.0","71,981.0","71,025.0","68,744.0","69,765.0","70,112.0","70,529.0","70,758.0","72,113.0","73,071.0","74,253.0","73,046.0","75,717.0","75,478.0","76,473.0","77,704.0","78,693.0","78,981.0","80,554.0","82,652.0","83,686.0","82,894.0","85,606.0","87,761.0","88,145.0","88,316.0","92,075.0","94,335.0","94,435.0","96,133.0","98,065.0"
"43","24","    Durable goods","B386RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","582.0","633.0","662.0","630.0","656.0","659.0","647.0","647.0","671.0","740.0","783.0","849.0","911.0","940.0","961.0","977.0","968.0","988.0","1,004.0","1,006.0","972.0","1,016.0","1,045.0","1,015.0","1,039.0","1,095.0","1,160.0","1,162.0","1,160.0","1,126.0","1,100.0","1,086.0","1,126.0","1,104.0","1,146.0","1,224.0","1,277.0","1,257.0","1,184.0","1,141.0","1,117.0","1,069.0","1,022.0","1,140.0","1,126.0","1,120.0","1,078.0","1,043.0","1,106.0","1,142.0","1,119.0","1,037.0","969.0","1,078.0","1,116.0","1,099.0","1,139.0","1,398.0","1,357.0","1,534.0","1,688.0","1,830.0","1,800.0","1,980.0","1,988.0","1,836.0","1,780.0","1,919.0","2,002.0","2,165.0","2,157.0","2,053.0","2,145.0","2,171.0","2,461.0","2,564.0","2,435.0","2,753.0","3,097.0","3,299.0","3,246.0","3,507.0","3,662.0","3,747.0","3,475.0","3,480.0","2,965.0","3,038.0","3,524.0","3,789.0","3,824.0","3,895.0","3,818.0","4,096.0","4,277.0","4,270.0","4,507.0","4,685.0","4,639.0","4,750.0","4,133.0","4,774.0","4,840.0","4,628.0","4,316.0","4,335.0","4,137.0","3,877.0","3,985.0","3,824.0","3,660.0","3,401.0","3,356.0","3,342.0","3,452.0","3,586.0","3,734.0","3,685.0","3,500.0","3,327.0","3,633.0","3,736.0","3,800.0","3,867.0","4,134.0","4,461.0","4,460.0","4,370.0","4,107.0","3,529.0","3,422.0","3,824.0","3,804.0","4,421.0","4,511.0","4,199.0","4,361.0","4,055.0","4,207.0","4,333.0","4,885.0","5,326.0","5,367.0","5,570.0","5,635.0","5,873.0","5,694.0","5,712.0","5,742.0","6,245.0","5,893.0","6,147.0","6,216.0","6,448.0","6,748.0","7,035.0","7,167.0"
"44","25","    Nondurable goods","B387RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,100.0","5,095.0","5,117.0","5,259.0","5,424.0","5,352.0","5,320.0","5,452.0","5,394.0","5,409.0","5,384.0","5,473.0","5,643.0","5,562.0","5,532.0","5,610.0","5,615.0","5,770.0","5,740.0","5,844.0","6,088.0","6,074.0","6,176.0","6,421.0","6,620.0","6,646.0","6,757.0","6,910.0","7,109.0","7,210.0","7,353.0","7,500.0","7,752.0","7,979.0","8,181.0","8,540.0","8,866.0","9,137.0","9,121.0","9,289.0","9,462.0","9,805.0","10,191.0","10,518.0","10,863.0","11,135.0","11,334.0","11,619.0","11,772.0","11,893.0","12,217.0","12,387.0","12,725.0","12,841.0","13,084.0","13,389.0","13,698.0","13,963.0","14,396.0","14,794.0","16,048.0","18,259.0","20,168.0","21,404.0","22,687.0","22,301.0","22,652.0","22,968.0","23,899.0","24,434.0","25,297.0","25,931.0","26,306.0","28,459.0","28,613.0","30,281.0","30,837.0","31,743.0","32,958.0","34,555.0","35,546.0","37,140.0","39,036.0","41,286.0","43,129.0","45,508.0","46,815.0","47,959.0","50,602.0","54,502.0","55,080.0","59,080.0","62,741.0","63,670.0","64,547.0","64,145.0","62,299.0","62,609.0","62,214.0","61,312.0","61,056.0","61,032.0","61,146.0","61,568.0","62,594.0","62,940.0","63,381.0","64,522.0","65,533.0","63,871.0","63,590.0","63,361.0","62,937.0","64,523.0","65,301.0","65,595.0","66,190.0","65,530.0","65,351.0","65,226.0","65,868.0","66,799.0","66,212.0","66,278.0","65,966.0","66,179.0","65,733.0","67,611.0","66,918.0","65,215.0","66,343.0","66,288.0","66,725.0","66,337.0","67,602.0","68,872.0","69,892.0","68,991.0","71,510.0","71,145.0","71,588.0","72,378.0","73,326.0","73,411.0","74,919.0","76,779.0","77,992.0","77,182.0","79,864.0","81,516.0","82,252.0","82,169.0","85,859.0","87,887.0","87,687.0","89,098.0","90,898.0"
"45","26","    Final sales of domestic business \5\","A809RC1","15,684.0","15,991.0","16,529.0","16,995.0","17,242.0","17,473.0","17,750.0","17,814.0","17,713.0","17,761.0","17,600.0","17,668.0","17,878.0","18,471.0","19,910.0","19,702.0","20,651.0","20,664.0","21,183.0","21,775.0","21,832.0","22,047.0","21,822.0","22,700.0","23,224.0","23,367.0","23,444.0","23,230.0","23,348.0","23,591.0","23,848.0","24,288.0","24,913.0","25,343.0","25,933.0","26,184.0","26,425.0","26,833.0","27,340.0","27,876.0","28,289.0","28,283.0","28,737.0","28,690.0","28,030.0","27,932.0","28,673.0","29,229.0","30,397.0","30,948.0","31,416.0","31,260.0","31,888.0","32,274.0","32,148.0","32,316.0","32,419.0","32,758.0","33,047.0","33,925.0","34,389.0","35,103.0","35,293.0","35,592.0","35,898.0","36,733.0","37,329.0","37,942.0","39,071.0","39,732.0","40,465.0","40,791.0","41,720.0","42,715.0","43,499.0","44,915.0","46,036.0","46,405.0","46,960.0","47,386.0","47,639.0","48,452.0","49,027.0","49,897.0","51,473.0","52,626.0","53,941.0","54,951.0","56,355.0","57,179.0","58,104.0","58,661.0","59,659.0","60,470.0","61,427.0","61,904.0","63,547.0","64,853.0","66,124.0","67,494.0","69,428.0","71,081.0","72,741.0","75,738.0","78,822.0","80,506.0","82,343.0","83,679.0","84,846.0","86,803.0","89,075.0","89,841.0","92,722.0","95,027.0","97,945.0","101,077.0","104,083.0","105,197.0","107,410.0","111,156.0","114,050.0","118,046.0","121,005.0","124,032.0","126,415.0","135,227.0","138,648.0","143,564.0","146,647.0","150,344.0","156,391.0","159,351.0","162,721.0","160,911.0","167,626.0","174,096.0","179,207.0","182,234.0","185,802.0","186,723.0","188,045.0","190,120.0","190,093.0","194,801.0","198,719.0","203,287.0","209,663.0","215,702.0","218,923.0","224,849.0","228,627.0","233,639.0","240,990.0","243,376.0","248,174.0","249,524.0","253,428.0","255,693.0","261,007.0","264,204.0","264,620.0","270,236.0","276,565.0","277,720.0","285,756.0","292,783.0","298,291.0","304,144.0","309,077.0","314,917.0","321,615.0","322,821.0","330,325.0","333,765.0","336,634.0","335,944.0","336,455.0","342,097.0","344,867.0","345,739.0","354,002.0","358,359.0","363,865.0","370,903.0","372,510.0","378,609.0","383,656.0","391,433.0","395,376.0","400,772.0","407,703.0","413,909.0","417,547.0","421,998.0","430,213.0","435,986.0","442,343.0","451,609.0","456,070.0","465,574.0","471,696.0","477,253.0","488,158.0","492,217.0"
"46","27","    Final sales of goods and structures of domestic business \5\","A810RC1","11,919.0","12,203.0","12,630.0","13,079.0","13,310.0","13,438.0","13,676.0","13,688.0","13,541.0","13,582.0","13,451.0","13,536.0","13,690.0","14,213.0","15,455.0","15,195.0","16,042.0","15,849.0","16,306.0","16,846.0","16,822.0","16,921.0","16,630.0","17,443.0","17,828.0","17,897.0","17,893.0","17,702.0","17,691.0","17,880.0","17,982.0","18,391.0","18,892.0","19,501.0","19,878.0","19,923.0","20,056.0","20,407.0","20,792.0","21,102.0","21,538.0","21,470.0","21,810.0","21,526.0","20,994.0","20,893.0","21,359.0","21,869.0","22,700.0","23,010.0","23,362.0","23,061.0","23,606.0","23,810.0","23,790.0","23,772.0","23,800.0","23,841.0","24,169.0","24,820.0","25,161.0","25,583.0","25,839.0","25,992.0","26,212.0","26,767.0","27,336.0","27,703.0","28,559.0","28,923.0","29,538.0","29,625.0","30,365.0","31,038.0","31,757.0","32,900.0","33,894.0","33,850.0","34,363.0","34,465.0","34,483.0","35,141.0","35,488.0","36,028.0","37,164.0","37,843.0","38,809.0","39,481.0","40,623.0","40,955.0","41,615.0","41,734.0","42,288.0","42,663.0","43,186.0","43,329.0","44,571.0","45,467.0","46,333.0","47,158.0","48,524.0","49,856.0","50,812.0","53,316.0","56,026.0","57,155.0","58,296.0","59,130.0","60,024.0","60,959.0","62,474.0","62,210.0","63,962.0","65,109.0","67,614.0","69,550.0","71,557.0","72,175.0","73,218.0","75,690.0","77,508.0","80,639.0","82,430.0","84,499.0","84,936.0","92,720.0","95,493.0","99,400.0","101,306.0","103,418.0","108,322.0","109,842.0","111,900.0","109,311.0","113,778.0","117,793.0","121,620.0","122,869.0","125,333.0","125,291.0","125,274.0","125,884.0","123,836.0","125,995.0","127,363.0","130,570.0","134,512.0","139,439.0","141,451.0","145,572.0","147,457.0","150,853.0","154,710.0","155,775.0","158,507.0","158,417.0","160,382.0","161,039.0","164,893.0","165,906.0","163,999.0","168,092.0","172,496.0","172,865.0","177,072.0","181,668.0","183,816.0","187,640.0","189,868.0","194,284.0","198,990.0","197,546.0","203,005.0","202,365.0","203,096.0","201,448.0","200,869.0","203,117.0","203,927.0","202,272.0","206,189.0","208,747.0","211,342.0","215,121.0","215,092.0","218,965.0","221,084.0","227,373.0","229,271.0","232,516.0","236,775.0","241,459.0","243,376.0","244,537.0","249,456.0","253,321.0","256,867.0","262,852.0","265,529.0","270,488.0","274,261.0","276,892.0","284,311.0","285,419.0"
"47",NA,"Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","28","  Private inventories to final sales","A811RC2","5.93","5.89","6.02","6.30","6.00","6.02","5.88","5.74","5.66","5.38","5.39","5.23","5.26","5.27","5.21","5.81","5.94","5.99","5.89","5.85","5.77","5.63","5.63","5.24","5.06","5.00","4.99","5.04","5.02","4.91","4.85","4.74","4.68","4.57","4.47","4.43","4.50","4.57","4.50","4.47","4.44","4.48","4.46","4.46","4.67","4.65","4.58","4.50","4.37","4.33","4.25","4.26","4.29","4.21","4.27","4.22","4.19","4.12","4.17","4.12","4.15","4.09","4.17","4.14","4.12","4.04","4.00","3.95","3.85","3.79","3.78","3.79","3.81","3.82","3.78","3.77","3.80","3.86","3.91","3.92","3.94","3.92","3.92","3.90","3.87","3.87","3.81","3.79","3.79","3.83","3.83","3.88","3.86","3.85","3.84","3.81","3.83","3.81","3.80","3.76","3.72","3.75","3.77","3.74","3.86","4.03","4.11","4.20","4.26","4.29","4.45","4.52","4.32","4.26","4.18","4.04","4.00","4.07","4.04","3.95","3.96","3.88","3.86","3.89","4.02","3.92","3.95","3.98","4.15","4.19","4.16","4.19","4.25","4.40","4.34","4.24","4.26","4.24","4.20","4.17","4.19","4.15","4.12","3.97","3.89","3.81","3.73","3.69","3.78","3.76","3.75","3.72","3.60","3.55","3.47","3.51","3.42","3.37","3.29","3.25","3.31","3.30","3.25","3.33","3.30","3.29","3.30","3.29","3.32","3.28","3.21","3.23","3.18","3.17","3.20","3.22","3.18","3.08","3.04","3.06","3.00","2.99","2.96","2.92","2.95","2.92","2.89","2.85","2.87","2.86","2.86","2.89","2.93","2.94","2.90","2.88","2.84","2.81","2.81","2.76","2.74","2.73","2.69","2.70"
