"","Table 1#12# National Income by Type of Income","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"44","35","    Nonfarm","A045RC1",8.4,7,5.3,3.3,3.1,4.4,5.2,6.4,6.9,6.6,7.1,8.2,10.6,13.7,16.7,18,19,21.4,20.2,22.6,22.7,24.7,27.4,28.8,30,30.6,33.7,35.4,37.4,37.8,40.6,40.3,42.2,44.4,45.7,49.8,52.1,55.4,58.4,62.8,64.7,65.7,71.6,79.1,84.6,89.9,97.8,115.2,130,147.1,158.3,162.8,164.3,163.3,186.5,222.7,241.5,253.1,273.5,314.7,330.3,348.7,350.4,393,422.6,439.4,469.5,505.9,541.8,598.4,649.7,705.7,752.2,757.8,782.1,874.9,940.4,"992.4"
"45","36","      Proprietors' income (without IVA and CCAdj)","B046RC1",8.9,7,5.3,3.4,4,4.9,5.7,6.9,7.3,6.8,7.7,8.7,11.7,14.5,17.2,18.3,19.4,23.4,21.9,23.2,22.2,25.7,27.8,28.6,30,30.5,33.7,35.6,37.4,37.9,40.3,40,42,44.1,45.5,49.5,52.2,55.7,58.7,63.4,65.5,66.6,72.6,79.9,86.6,93.8,99.5,116.6,131.3,149.1,160.2,164.2,159.5,156.7,170.9,198.3,209,214.8,239.1,279.1,294.5,322.4,327.1,366.4,393,414.2,445.2,475.4,500.7,553.4,595.2,641.8,657,646.3,658,750.3,866.2,"897.9"
"46","37","      Inventory valuation adjustment","B179RC1",0.1,0.8,0.6,0.3,-0.5,-0.1,-0.1,-0.1,0,0.2,-0.2,0,-0.6,-0.4,-0.2,-0.1,-0.1,-1.7,-1.5,-0.4,0.5,-1.1,-0.3,0.2,-0.2,0,-0.2,-0.5,-0.3,-0.1,0,0,0,0,0,-0.1,-0.2,-0.2,-0.2,-0.4,-0.5,-0.5,-0.6,-0.7,-1.9,-3.4,-1.1,-1.1,-1.1,-1.9,-2.6,-2.9,-1.3,-0.5,-0.5,-0.4,-0.2,0,-0.8,-1.2,-1.3,-1.1,-0.1,-0.5,-0.4,-0.7,-1.5,-0.4,1,1.6,-0.5,-1.6,1.4,-0.7,-1.7,-5.2,-5.1,"-3.5"
"47","38","      Capital consumption adjustment","B047RC1",-0.7,-0.7,-0.6,-0.4,-0.4,-0.4,-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,0,0.1,-0.1,0,0.2,0.2,0.1,0.3,0.3,0,0.3,0.3,0.2,0.3,0.3,0.4,0.1,-0.1,-0.1,-0.2,-0.3,-0.4,-0.4,-0.1,-0.1,-0.5,-0.6,-0.4,-0.2,-0.2,0.8,1.5,6,7,16.1,24.9,32.7,38.3,35.2,36.8,37,27.5,23.4,27.2,30,25.9,25.7,30.9,40.2,43.4,54.9,65.5,93.8,112.2,125.8,129.8,79.3,"98.0"
"48","39","  Rental income of persons with CCAdj","A048RC1",6.2,5.5,4.5,3.6,2.9,2.6,2.6,2.8,3,3.6,3.8,3.9,4.5,5.5,6.1,6.5,6.7,7.1,7.2,7.9,8.2,9.2,10.1,11.2,12.5,13.5,13.9,14.2,14.6,15.4,16.2,17.1,17.9,18.8,19.5,19.6,20.2,20.8,21.2,20.9,21.2,21.4,22.4,23.4,24.3,24.3,23.7,22.3,20.7,22.1,23.8,30,38,38.8,37.8,40.2,41.9,33.5,33.5,40.6,43.1,50.7,60.3,78,95.6,119.7,122.1,131.5,128.8,137.5,147.3,150.3,167.4,152.9,133,127,72.8,"76.7"
"49","40","    Rental income of persons (without CCAdj)","B049RC1",6.3,5.6,4.6,3.7,2.9,2.6,2.7,2.8,3.1,3.7,3.9,4,4.7,5.7,6.3,6.7,7,7.5,7.7,8.4,8.7,9.7,10.7,11.9,13.1,14.1,14.5,14.8,15.2,16,16.8,17.7,18.5,19.3,20,20.2,20.7,21.4,21.8,21.7,22.1,22.4,23.6,24.7,25.8,26.2,25.9,24.8,23.6,25.6,28,34.9,43.5,44.7,43.7,46.2,48.1,40,40.2,47.6,50.3,58.1,67.7,85.5,103.4,127.8,130.7,140.2,137.9,146.8,157.2,160.8,178.5,164.4,145.1,142.7,96.2,"91.7"
"50","41","    Capital consumption adjustment","B050RC1",-0.1,-0.1,-0.1,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,-0.9,-1,-1.2,-1.3,-1.6,-1.9,-2.3,-2.5,-2.9,-3.5,-4.2,-4.9,-5.5,-5.8,-5.9,-6,-6.2,-6.5,-6.7,-7,-7.2,-7.4,-7.5,-7.5,-7.9,-8.2,-8.5,-8.8,-9.1,-9.4,-9.9,-10.5,-11.1,-11.4,-12.1,-15.7,-23.4,"-14.9"
"51","42","  Corporate profits with IVA and CCAdj","A051RC1",10.8,7.5,2.9,-0.2,-0.1,2.5,4,6.2,7.1,5,6.6,9.8,15.5,20.6,24.9,24.9,20.3,17.8,23.7,31.2,29.1,36,41.2,39.3,39.7,38.8,49.5,48.5,48.4,43.5,55.7,53.8,54.9,63.3,69,76.5,87.5,93.2,91.3,98.8,95.4,83.6,98,112.1,125.5,115.8,134.8,163.3,192.4,216.6,223.2,201.1,226.1,209.7,264.2,318.6,330.3,319.5,368.8,432.6,426.6,437.8,451.2,479.3,541.9,600.3,696.7,786.2,868.5,801.6,851.3,817.9,767.3,886.3,993.1,1182.6,1330.7,"....."
"52","43","    Corporate profits with IVA","A052RC1",11.1,7.6,2.8,-0.4,-0.4,2.5,4,6.2,7.4,5.4,6.9,10.2,15.9,20.8,24.8,24.2,19.5,19.7,26,33.7,31.5,38.3,43.6,41.2,40.7,39,48.1,47.8,47.5,42.7,53.5,51.5,51.8,57,62.1,68.6,78.9,84.6,82,88.8,85.5,74.4,88.3,101.2,115.3,109.5,135,165.6,194.7,222.4,231.8,211.4,219.1,191,226.5,264.6,257.5,253,301.4,363.9,367.4,396.6,427.9,458.3,513.1,564.6,656,736.1,812.3,738.5,776.8,759.3,719.2,766.2,894.5,1104.5,1486.1,"....."
"53","44","      Profits before tax (without IVA and CCAdj)","A053RC1",10.6,4.3,0.4,-1.5,1.7,3.1,4.2,6.9,7.5,4.4,7.6,10.4,18.3,22,25.6,24.5,20,24.9,31.9,35.9,29.6,43.2,44.8,40.2,41.7,39.3,49.9,50.5,49.1,43,53.8,51.6,51.6,57,62.1,69.1,80.2,86.7,83.5,92.4,91.4,81,92.9,107.8,134.8,147.8,145.5,179.7,210.4,246.1,271.9,253.5,243.7,198.5,233.9,268.6,257.4,246,317.6,386.1,383.7,409.5,423,461.1,517.1,577.1,674.3,733,798.2,718.3,775.9,773.4,707.9,768.4,908.1,1144.3,1518.7,"....."
"54","45","        Taxes on corporate income","A054RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.7,218.7,231.7,246.1,248.3,258.6,265.2,204.1,192.6,243.3,300.1,399.3,"....."
"55","46","        Profits after tax (without IVA and CCAdj)","A055RC1",9.2,3.4,-0.1,-1.9,1.2,2.3,3.3,5.5,5.9,3.4,6.2,7.6,10.7,10.6,11.5,11.5,9.3,15.8,20.7,23.5,19.4,25.3,22.2,20.8,21.4,21.7,27.8,28.5,27.7,24,30,28.8,28.7,32.9,35.7,40.9,49.1,52.8,50.6,52.8,51.4,46.2,54.7,65.5,84.9,95,93.9,114.4,136,161.3,181.9,166.3,159.4,132,153.3,171.1,158,136.3,187.2,244.4,237.7,264.1,284.4,312.4,346.1,383.3,455.6,501.4,552.1,470,517.2,508.2,503.8,575.8,664.8,844.2,1119.4,"....."
"56","47","          Net dividends","B056RC1",5.8,5.5,4.1,2.5,2,2.6,2.8,4.5,4.7,3.2,3.8,4,4.4,4.3,4.4,4.6,4.6,5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2,24.3,25,26.8,29.9,33.2,33,39,44.8,50.8,57.5,64.1,73.8,77.7,83.5,90.8,97.6,106.2,112.3,129.9,158,169.1,180.7,187.9,202.8,234.7,254.2,297.6,334.5,351.6,337.4,377.9,370.9,399.2,424.7,539.5,576.9,"642.2"
"57","48","          Undistributed profits (without IVA and CCAdj)","B057RC1",3.4,-2,-4.2,-4.4,-0.8,-0.2,0.4,1,1.3,0.2,2.4,3.6,6.3,6.4,7,6.9,4.7,10.3,14.4,16.4,12.2,16.5,13.7,12.3,12.5,12.4,17.4,17.2,15.9,12.4,17.5,15.5,14.8,17.9,19.5,22.7,28.9,32.1,29.1,29.3,27.2,21.9,29.7,38.6,55,61.8,60.9,75.4,91.2,110.5,124.4,102.2,85.6,54.3,69.8,80.3,60.5,30.1,74.9,114.5,79.7,95,103.7,124.5,143.3,148.6,201.4,203.8,217.6,118.3,179.9,130.3,132.9,176.6,240.1,304.7,542.5,"....."
"58","49","      Inventory valuation adjustment","B058RC1",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,14.1,20.2,1,-14.1,11.3,-2.2,-13.6,-39.8,-32.6,"....."
"59","50","    Capital consumption adjustment","A059RC1",-0.3,-0.1,0.2,0.3,0.3,0.1,0,0,-0.3,-0.4,-0.3,-0.4,-0.4,-0.2,0.2,0.8,0.8,-1.8,-2.4,-2.6,-2.4,-2.3,-2.4,-1.9,-1,-0.2,1.4,0.8,0.8,0.8,2.2,2.3,3,6.2,6.8,7.9,8.6,8.6,9.3,10,9.9,9.2,9.7,10.9,10.2,6.2,-0.2,-2.3,-2.3,-5.8,-8.5,-10.2,7,18.6,37.8,54,72.9,66.5,67.5,68.7,59.2,41.2,23.3,21.1,28.8,35.7,40.7,50.1,56.2,63.1,74.5,58.6,48.1,120.1,98.7,78.1,-155.5,"-160.5"
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","1. Prior to 1959, subsidies (line 20) and the current surplus of government enterprises (line 25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","are not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
