"","Table 7#6# Capital Consumption Adjustment by Legal Form of Organ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"37","19","  Other private business \1\","A2206C1","-137.0","-130.0",-93,-25,-23,-53,-50,-63,"-96.0","-108.0","-107.0","-120.0","-158.0","-198.0","-226.0","-270.0","-300.0","-344.0","-485.0","-543.0","-545.0","-555.0","-623.0","-640.0","-636.0","-627.0","-634.0","-667.0","-675.0","-668.0","-667.0","-633.0","-596.0","-565.0","-548.0","-556.0","-600.0","-658.0","-732.0","-854.0","-999.0","-1,080.0","-1,246.0","-1,416.0","-1,680.0","-2,072.0","-2,514.0","-2,799.0","-3,253.0","-3,902.0","-4,581.0","-5,391.0","-6,057.0","-6,451.0","-6,513.0","-6,644.0","-6,719.0","-6,986.0","-7,284.0","-7,588.0","-7,863.0","-8,067.0","-8,114.0","-8,115.0","-8,419.0","-8,704.0","-9,082.0","-9,265.0","-9,547.0","-9,831.0","-10,297.0","-10,929.0","-11,548.0","-11,834.0","-12,531.0","-13,950.0","-15,466.0","-16,974.0","-17,372.0","-16,686.0"
"38","20","    Rental income of persons","B050RC1","-137.0","-130.0",-93,-25,-23,-53,-50,-63,"-96.0","-106.0","-106.0","-119.0","-153.0","-182.0","-213.0","-254.0","-287.0","-336.0","-457.0","-513.0","-513.0","-526.0","-585.0","-601.0","-599.0","-592.0","-604.0","-624.0","-621.0","-612.0","-607.0","-583.0","-554.0","-528.0","-514.0","-522.0","-565.0","-623.0","-689.0","-800.0","-936.0","-1,002.0","-1,149.0","-1,311.0","-1,561.0","-1,904.0","-2,268.0","-2,516.0","-2,934.0","-3,541.0","-4,164.0","-4,876.0","-5,468.0","-5,834.0","-5,901.0","-6,048.0","-6,138.0","-6,411.0","-6,707.0","-6,979.0","-7,224.0","-7,401.0","-7,448.0","-7,463.0","-7,769.0","-8,046.0","-8,416.0","-8,615.0","-8,916.0","-9,238.0","-9,728.0","-10,349.0","-10,980.0","-11,278.0","-11,989.0","-13,370.0","-14,820.0","-16,243.0","-16,566.0","-15,804.0"
"39","21","      Nonfarm tenant-occupied housing","B2611C1","-122.0","-115.0",-82,-21,-19,-46,-43,-55,"-84.0","-93.0","-94.0","-105.0","-136.0","-162.0","-192.0","-228.0","-260.0","-303.0","-412.0","-463.0","-464.0","-476.0","-528.0","-543.0","-541.0","-535.0","-545.0","-561.0","-557.0","-548.0","-544.0","-521.0","-494.0","-469.0","-457.0","-465.0","-506.0","-560.0","-621.0","-724.0","-853.0","-913.0","-1,050.0","-1,202.0","-1,439.0","-1,755.0","-2,088.0","-2,325.0","-2,724.0","-3,300.0","-3,890.0","-4,561.0","-5,121.0","-5,469.0","-5,539.0","-5,681.0","-5,769.0","-6,026.0","-6,302.0","-6,555.0","-6,780.0","-6,940.0","-6,983.0","-7,000.0","-7,287.0","-7,537.0","-7,880.0","-8,069.0","-8,357.0","-8,658.0","-9,116.0","-9,703.0","-10,300.0","-10,580.0","-11,257.0","-12,552.0","-13,885.0","-15,200.0","-15,474.0","-14,697.0"
"40","22","      Farm tenant-occupied housing","W283RC1","-6.0","-6.0",-5,-2,-2,-3,-3,-3,"-5.0","-5.0","-5.0","-6.0","-7.0","-8.0","-8.0","-10.0","-11.0","-13.0","-17.0","-19.0","-19.0","-19.0","-22.0","-23.0","-22.0","-23.0","-23.0","-24.0","-24.0","-24.0","-24.0","-24.0","-23.0","-23.0","-22.0","-22.0","-23.0","-24.0","-26.0","-28.0","-30.0","-31.0","-33.0","-36.0","-40.0","-47.0","-52.0","-55.0","-62.0","-72.0","-83.0","-93.0","-101.0","-105.0","-104.0","-106.0","-107.0","-111.0","-115.0","-119.0","-123.0","-126.0","-126.0","-126.0","-131.0","-138.0","-144.0","-146.0","-150.0","-152.0","-160.0","-166.0","-174.0","-177.0","-187.0","-208.0","-228.0","-242.0","-242.0","-231.0"
"41","23","      Farms owned by nonoperator landlords","B2614C1","-8.0","-8.0",-6,-3,-3,-4,-4,-5,"-6.0","-7.0","-7.0","-7.0","-8.0","-9.0","-11.0","-13.0","-13.0","-16.0","-21.0","-23.0","-23.0","-24.0","-26.0","-27.0","-28.0","-27.0","-28.0","-29.0","-29.0","-29.0","-28.0","-28.0","-28.0","-28.0","-27.0","-27.0","-28.0","-30.0","-31.0","-34.0","-36.0","-37.0","-40.0","-44.0","-49.0","-55.0","-62.0","-65.0","-73.0","-85.0","-96.0","-108.0","-117.0","-121.0","-120.0","-123.0","-124.0","-129.0","-133.0","-138.0","-141.0","-144.0","-143.0","-144.0","-148.0","-155.0","-160.0","-162.0","-165.0","-169.0","-175.0","-183.0","-190.0","-195.0","-204.0","-221.0","-238.0","-252.0","-251.0","-236.0"
"42","24","      Nonfarm nonresidential properties","B2615C1","-1.0","-1.0",0,1,1,0,0,0,"-1.0","-1.0","0.0","-1.0","-2.0","-3.0","-2.0","-3.0","-3.0","-4.0","-7.0","-8.0","-7.0","-7.0","-9.0","-8.0","-8.0","-7.0","-8.0","-10.0","-11.0","-11.0","-11.0","-10.0","-9.0","-8.0","-8.0","-8.0","-8.0","-9.0","-11.0","-14.0","-17.0","-21.0","-26.0","-29.0","-33.0","-47.0","-66.0","-71.0","-75.0","-84.0","-95.0","-114.0","-129.0","-139.0","-138.0","-138.0","-138.0","-145.0","-157.0","-167.0","-180.0","-191.0","-196.0","-193.0","-203.0","-216.0","-232.0","-238.0","-244.0","-259.0","-277.0","-297.0","-316.0","-326.0","-341.0","-389.0","-469.0","-549.0","-599.0","-640.0"
"43","25","    Proprietors' income","B1411C1","0.0","0.0",0,0,0,0,0,0,"0.0","-2.0","-1.0","-1.0","-5.0","-16.0","-13.0","-16.0","-13.0","-8.0","-28.0","-30.0","-32.0","-29.0","-38.0","-39.0","-37.0","-35.0","-30.0","-43.0","-54.0","-56.0","-60.0","-50.0","-42.0","-37.0","-34.0","-34.0","-35.0","-35.0","-43.0","-54.0","-63.0","-78.0","-97.0","-105.0","-119.0","-168.0","-246.0","-283.0","-319.0","-361.0","-417.0","-515.0","-589.0","-617.0","-612.0","-596.0","-581.0","-575.0","-577.0","-609.0","-639.0","-666.0","-666.0","-652.0","-650.0","-658.0","-666.0","-650.0","-631.0","-593.0","-569.0","-580.0","-568.0","-556.0","-542.0","-580.0","-646.0","-731.0","-806.0","-882.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Except for farm proprietorships and partnerships (line 15) and other private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","business (line 19), the capital consumption adjustment is calculated in two parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","The adjustment for consistent accounting at historical cost converts depreciation,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","based on the service lives and depreciation schedules employed by firms when filing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","their income tax returns, to consistent service lives and empirically based depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","schedules.  The adjustment for current-cost valuation converts the historical-cost series",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","with consistent accounting to a series valued at current cost.  For farm proprietorships",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","and partnerships and for other private business, the historical-cost series is based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","consistent service lives and empirically based depreciation schedules, so the adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","reflects only a conversion to current-cost valuation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
