"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"68","48","      Excluding imputations (46-47)","W530RC1","511.0","467.0","538.0","579.0","515.0","502.0","506.0","533.0","524.0","410.0","435.0","451.0","527.0","545.0","642.0","812.0","891.0","700.0","717.0","736.0","731.0","862.0","1,216.0","1,257.0","1,217.0","988.0","1,375.0","1,735.0","1,920.0","1,807.0","1,769.0","1,892.0","2,083.0","2,300.0","2,737.0","3,242.0","3,693.0","3,495.0","3,802.0","4,354.0","4,968.0","4,538.0","4,253.0","4,757.0","5,866.0","7,419.0","9,629.0","9,384.0","8,042.0","10,314.0","13,398.0","15,056.0","17,725.0","20,573.0","22,721.0","30,434.0","35,502.0","35,897.0","32,494.0","32,952.0","40,078.0","40,868.0","40,504.0","42,106.0","38,962.0","40,154.0","44,176.0","54,427.0","46,734.0","63,432.0","66,945.0","86,134.0","102,249.0","79,772.0","71,789.0","75,913.0","84,624.0","72,284.0","93,358.0","112,307.0"
"69","49","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","14,055.0","10,923.0","8,374.0","5,066.0","5,311.0","7,037.0","10,138.0","10,392.0","12,520.0","10,584.0","11,116.0","12,257.0","16,638.0","23,352.0","28,263.0","29,402.0","30,820.0","35,689.0","34,479.0","39,222.0","34,622.0","37,486.0","42,651.0","43,070.0","42,013.0","42,274.0","44,263.0","45,863.0","47,825.0","50,189.0","50,326.0","50,707.0","53,199.0","55,304.0","56,522.0","59,351.0","63,903.0","68,248.0","69,848.0","74,190.0","77,508.0","78,477.0","84,683.0","96,036.0","113,627.0","113,483.0","119,608.0","132,240.0","146,029.0","167,504.0","181,110.0","173,467.0","181,616.0","174,833.0","190,650.0","233,069.0","246,103.0","262,563.0","294,247.0","334,839.0","351,576.0","365,144.0","367,281.0","414,921.0","449,616.0","485,105.0","516,025.0","583,683.0","628,233.0","687,531.0","746,802.0","817,458.0","870,725.0","890,292.0","930,646.0","1,033,756.0","1,069,782.0","1,132,961.0","1,096,351.0","1,106,275.0"
"70","50","      Imputations(167+179)","A2101C1","1,186.0","1,044.0","884.0","670.0","687.0","715.0","929.0","908.0","988.0","809.0","752.0","718.0","917.0","1,182.0","1,509.0","1,425.0","1,514.0","1,728.0","1,724.0","1,868.0","1,594.0","1,533.0","1,618.0","1,530.0","1,372.0","1,274.0","1,102.0","1,031.0","955.0","971.0","868.0","805.0","828.0","782.0","804.0","774.0","741.0","727.0","728.0","771.0","752.0","762.0","864.0","1,011.0","1,361.0","1,379.0","1,483.0","2,129.0","2,801.0","3,086.0","3,250.0","2,341.0","2,058.0","1,919.0","2,856.0","2,984.0","3,055.0","3,570.0","3,309.0","3,099.0","2,885.0","2,928.0","2,399.0","3,253.0","3,013.0","3,380.0","2,754.0","2,988.0","3,062.0","2,849.0","3,226.0","2,777.0","2,816.0","3,022.0","3,091.0","3,693.0","4,283.0","3,638.0","3,173.0","2,830.0"
"71","51","      Excluding imputations (49-50)","A2102C1","12,869.0","9,879.0","7,490.0","4,396.0","4,624.0","6,322.0","9,209.0","9,484.0","11,532.0","9,775.0","10,364.0","11,539.0","15,721.0","22,170.0","26,754.0","27,977.0","29,306.0","33,961.0","32,755.0","37,354.0","33,028.0","35,953.0","41,033.0","41,540.0","40,641.0","41,000.0","43,161.0","44,832.0","46,870.0","49,218.0","49,458.0","49,902.0","52,371.0","54,522.0","55,718.0","58,577.0","63,162.0","67,521.0","69,120.0","73,419.0","76,756.0","77,715.0","83,819.0","95,025.0","112,266.0","112,104.0","118,125.0","130,111.0","143,228.0","164,418.0","177,860.0","171,126.0","179,558.0","172,914.0","187,794.0","230,085.0","243,048.0","258,993.0","290,938.0","331,740.0","348,691.0","362,216.0","364,882.0","411,668.0","446,603.0","481,725.0","513,271.0","580,695.0","625,171.0","684,682.0","743,576.0","814,681.0","867,909.0","887,270.0","927,555.0","1,030,063.0","1,065,499.0","1,129,323.0","1,093,178.0","1,103,445.0"
"72","52","    Rental income of persons with capital consumption adjustment","A048RC1","6,182.0","5,476.0","4,510.0","3,636.0","2,889.0","2,573.0","2,622.0","2,748.0","3,042.0","3,554.0","3,777.0","3,909.0","4,487.0","5,533.0","6,109.0","6,439.0","6,724.0","7,092.0","7,177.0","7,797.0","8,089.0","9,073.0","10,039.0","11,152.0","12,357.0","13,382.0","13,776.0","14,068.0","14,472.0","15,236.0","16,018.0","16,960.0","17,730.0","18,605.0","19,332.0","19,433.0","19,949.0","20,522.0","20,906.0","20,626.0","20,896.0","21,074.0","22,183.0","23,143.0","23,904.0","24,048.0","23,367.0","22,085.0","19,625.0","20,884.0","22,643.0","28,494.0","36,459.0","38,050.0","38,165.0","40,030.0","41,851.0","33,827.0","34,184.0","40,232.0","42,414.0","49,804.0","61,581.0","84,619.0","114,089.0","142,914.0","154,567.0","170,440.0","176,548.0","191,468.0","208,156.0","215,275.0","232,371.0","218,738.0","204,163.0","198,383.0","178,210.0","146,520.0","144,884.0","210,409.0"
"73","53","      Imputations (139)","B1156C1","2,851.0","2,532.0","2,177.0","1,783.0","1,393.0","1,146.0","1,174.0","1,234.0","1,353.0","1,540.0","1,607.0","1,623.0","1,813.0","2,140.0","2,456.0","2,759.0","2,986.0","3,017.0","2,972.0","3,238.0","3,639.0","4,264.0","4,922.0","5,917.0","7,029.0","7,959.0","8,394.0","8,617.0","9,059.0","9,599.0","10,537.0","11,469.0","12,174.0","13,001.0","13,481.0","13,605.0","13,926.0","14,443.0","14,910.0","14,542.0","14,871.0","14,839.0","15,767.0","15,658.0","15,112.0","15,458.0","14,608.0","13,281.0","9,928.0","10,521.0","10,988.0","13,758.0","15,722.0","12,978.0","11,395.0","10,550.0","8,196.0","3,732.0","5,680.0","13,402.0","16,000.0","19,426.0","25,921.0","40,937.0","64,789.0","88,756.0","95,888.0","109,226.0","112,118.0","127,272.0","143,984.0","150,958.0","163,905.0","155,962.0","145,520.0","139,536.0","117,854.0","83,385.0","71,146.0","123,913.0"
"74","54","      Excluding imputations (52-53)","A2103C1","3,331.0","2,944.0","2,333.0","1,853.0","1,496.0","1,427.0","1,448.0","1,514.0","1,689.0","2,014.0","2,170.0","2,286.0","2,674.0","3,393.0","3,653.0","3,680.0","3,738.0","4,075.0","4,205.0","4,559.0","4,450.0","4,809.0","5,117.0","5,235.0","5,328.0","5,423.0","5,382.0","5,451.0","5,413.0","5,637.0","5,481.0","5,491.0","5,556.0","5,604.0","5,851.0","5,828.0","6,023.0","6,079.0","5,996.0","6,084.0","6,025.0","6,235.0","6,416.0","7,485.0","8,792.0","8,590.0","8,759.0","8,804.0","9,697.0","10,363.0","11,655.0","14,736.0","20,737.0","25,072.0","26,770.0","29,480.0","33,655.0","30,095.0","28,504.0","26,830.0","26,414.0","30,378.0","35,660.0","43,682.0","49,300.0","54,158.0","58,679.0","61,214.0","64,430.0","64,196.0","64,172.0","64,317.0","68,466.0","62,776.0","58,643.0","58,847.0","60,356.0","63,135.0","73,738.0","86,496.0"
"75","55","  Consumption of fixed capital","A262RC1","9,667.0","9,451.0","8,795.0","7,686.0","7,405.0","7,774.0","7,812.0","8,086.0","8,976.0","9,233.0","9,260.0","9,680.0","11,050.0","13,681.0","16,499.0","19,544.0","21,109.0","23,096.0","26,649.0","28,465.0","29,180.0","29,942.0","33,792.0","36,285.0","38,637.0","40,596.0","42,786.0","47,104.0","50,844.0","53,255.0","55,413.0","56,584.0","58,182.0","60,558.0","63,332.0","66,366.0","70,719.0","76,454.0","82,935.0","90,418.0","99,191.0","108,313.0","117,773.0","127,151.0","140,782.0","163,686.0","190,379.0","208,170.0","231,776.0","261,414.0","298,901.0","344,085.0","393,342.0","433,542.0","451,105.0","474,347.0","505,443.0","538,475.0","571,094.0","611,014.0","651,452.0","691,202.0","724,360.0","744,351.0","778,015.0","819,167.0","869,460.0","912,517.0","963,805.0","1,020,547.0","1,094,390.0","1,184,324.0","1,256,221.0","1,304,979.0","1,354,052.0","1,432,765.0","1,541,375.0","1,660,677.0","1,760,018.0","1,847,086.0"
"76","56","    Imputations (140+144+181)","A2092C1","1,872.0","1,852.0","1,725.0","1,470.0","1,534.0","1,744.0","1,771.0","1,930.0","2,106.0","2,196.0","2,263.0","2,401.0","2,994.0","4,584.0","7,395.0","10,142.0","11,427.0","12,330.0","12,635.0","11,981.0","11,237.0","10,725.0","11,877.0","13,065.0","14,172.0","15,083.0","16,019.0","17,445.0","18,550.0","19,028.0","19,896.0","20,659.0","21,382.0","22,481.0","23,720.0","24,709.0","26,003.0","27,648.0","29,631.0","31,994.0","34,647.0","37,252.0","39,910.0","42,341.0","46,073.0","52,654.0","58,807.0","63,384.0","69,422.0","77,330.0","86,676.0","98,637.0","110,780.0","120,507.0","126,666.0","134,616.0","142,852.0","153,028.0","164,231.0","175,773.0","188,235.0","201,349.0","212,748.0","221,471.0","233,538.0","245,142.0","257,626.0","266,428.0","277,032.0","288,933.0","306,372.0","326,673.0","344,754.0","359,923.0","380,196.0","412,271.0","450,193.0","488,908.0","519,415.0","539,418.0"
"77","57","    Excluding imputations (55-56)","A2093C1","7,795.0","7,599.0","7,070.0","6,216.0","5,871.0","6,030.0","6,041.0","6,156.0","6,870.0","7,037.0","6,997.0","7,279.0","8,056.0","9,097.0","9,104.0","9,402.0","9,682.0","10,766.0","14,014.0","16,484.0","17,943.0","19,217.0","21,915.0","23,220.0","24,465.0","25,513.0","26,767.0","29,659.0","32,294.0","34,227.0","35,517.0","35,925.0","36,800.0","38,077.0","39,612.0","41,657.0","44,716.0","48,806.0","53,304.0","58,424.0","64,544.0","71,061.0","77,863.0","84,810.0","94,709.0","111,032.0","131,572.0","144,786.0","162,354.0","184,084.0","212,225.0","245,448.0","282,562.0","313,035.0","324,439.0","339,731.0","362,591.0","385,447.0","406,863.0","435,241.0","463,217.0","489,853.0","511,612.0","522,880.0","544,477.0","574,025.0","611,834.0","646,089.0","686,773.0","731,614.0","788,018.0","857,651.0","911,467.0","945,056.0","973,856.0","1,020,494.0","1,091,182.0","1,171,769.0","1,240,603.0","1,307,668.0"
"78",NA,"          Personal income, outlays, and saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","58","Personal income","A065RC1","84,938.0","76,140.0","65,238.0","49,851.0","46,798.0","53,657.0","60,322.0","68,618.0","74,072.0","68,377.0","72,861.0","78,447.0","96,048.0","123,407.0","152,118.0","165,958.0","171,643.0","178,630.0","190,872.0","209,685.0","206,973.0","228,855.0","257,898.0","275,216.0","291,658.0","294,296.0","315,998.0","339,466.0","358,543.0","368,919.0","392,341.0","411,255.0","428,809.0","456,413.0","479,503.0","514,322.0","555,499.0","603,780.0","648,072.0","711,687.0","778,327.0","838,579.0","903,097.0","992,638.0","1,110,545.0","1,222,744.0","1,334,861.0","1,474,655.0","1,632,503.0","1,836,727.0","2,059,527.0","2,301,516.0","2,582,276.0","2,766,817.0","2,952,169.0","3,268,868.0","3,496,687.0","3,696,026.0","3,924,366.0","4,231,243.0","4,557,472.0","4,846,723.0","5,031,501.0","5,347,262.0","5,568,148.0","5,874,816.0","6,200,911.0","6,591,578.0","7,000,742.0","7,525,376.0","7,910,833.0","8,559,433.0","8,883,292.0","9,060,097.0","9,378,125.0","9,937,238.0","10,485,882.0","11,268,077.0","11,894,075.0","12,238,789.0"
"80","59","  Imputations (139-136+147+160-164+167+171+172+173+174+179)","A2106C1","5,346.0","4,783.0","4,040.0","3,219.0","2,764.0","2,564.0","2,919.0","3,046.0","3,335.0","3,274.0","3,290.0","3,352.0","3,978.0","5,102.0","6,567.0","7,555.0","8,278.0","7,392.0","7,113.0","8,174.0","8,426.0","9,410.0","11,062.0","12,357.0","13,887.0","14,895.0","15,650.0","16,444.0","17,354.0","18,315.0","19,953.0","21,557.0","22,966.0","24,455.0","25,298.0","26,785.0","28,273.0","30,263.0","32,160.0","34,108.0","37,993.0","42,094.0","45,787.0","49,448.0","52,283.0","58,969.0","70,719.0","75,589.0","81,872.0","94,659.0","102,313.0","112,398.0","123,943.0","139,753.0","172,668.0","178,189.0","198,974.0","210,042.0","225,792.0","248,662.0","264,374.0","295,322.0","331,767.0","386,393.0","429,406.0","466,408.0","466,849.0","493,848.0","512,814.0","560,029.0","620,578.0","672,580.0","718,290.0","741,401.0","761,131.0","804,433.0","820,516.0","798,300.0","827,487.0","915,581.0"
"81","60","  Excluding imputations (58-59)","A2107C1","79,592.0","71,357.0","61,198.0","46,632.0","44,034.0","51,093.0","57,403.0","65,572.0","70,737.0","65,103.0","69,571.0","75,095.0","92,070.0","118,305.0","145,551.0","158,403.0","163,365.0","171,238.0","183,759.0","201,511.0","198,547.0","219,445.0","246,836.0","262,859.0","277,771.0","279,401.0","300,348.0","323,022.0","341,189.0","350,604.0","372,388.0","389,698.0","405,843.0","431,958.0","454,205.0","487,537.0","527,226.0","573,517.0","615,912.0","677,579.0","740,334.0","796,485.0","857,310.0","943,190.0","1,058,262.0","1,163,775.0","1,264,142.0","1,399,066.0","1,550,631.0","1,742,068.0","1,957,214.0","2,189,118.0","2,458,333.0","2,627,064.0","2,779,501.0","3,090,679.0","3,297,713.0","3,485,984.0","3,698,574.0","3,982,581.0","4,293,098.0","4,551,401.0","4,699,734.0","4,960,869.0","5,138,742.0","5,408,408.0","5,734,062.0","6,097,730.0","6,487,928.0","6,965,347.0","7,290,255.0","7,886,853.0","8,165,002.0","8,318,696.0","8,616,994.0","9,132,805.0","9,665,366.0","10,469,777.0","11,066,588.0","11,323,208.0"
"82","61","  Compensation of employees, received","W209RC1","51,118.0","46,867.0","39,775.0","31,090.0","29,572.0","34,331.0","37,376.0","42,948.0","47,969.0","45,034.0","48,149.0","52,170.0","64,825.0","85,296.0","109,373.0","121,445.0","123,238.0","119,644.0","130,051.0","141,924.0","141,906.0","155,252.0","181,352.0","196,184.0","210,294.0","209,156.0","225,695.0","244,491.0","257,537.0","259,547.0","280,989.0","296,409.0","305,303.0","327,144.0","345,217.0","370,670.0","399,505.0","442,655.0","475,143.0","524,314.0","577,611.0","617,218.0","658,329.0","725,134.0","811,281.0","890,729.0","949,045.0","1,059,242.0","1,180,425.0","1,335,185.0","1,498,471.0","1,647,612.0","1,819,605.0","1,919,646.0","2,035,978.0","2,245,226.0","2,411,978.0","2,557,654.0","2,735,638.0","2,954,156.0","3,131,317.0","3,326,207.0","3,438,380.0","3,647,184.0","3,790,648.0","3,980,915.0","4,178,809.0","4,387,716.0","4,668,553.0","5,023,947.0","5,348,788.0","5,788,849.0","5,979,318.0","6,110,816.0","6,367,589.0","6,708,407.0","7,060,041.0","7,475,746.0","7,862,710.0","8,042,426.0"
"83","62","    Imputations (170)","A2099C1","440.0","418.0","353.0","293.0","278.0","313.0","351.0","375.0","418.0","396.0","402.0","438.0","645.0","1,148.0","1,934.0","2,666.0","3,137.0","3,116.0","2,105.0","2,393.0","2,464.0","2,441.0","3,260.0","3,550.0","3,722.0","3,776.0","3,928.0","4,273.0","4,786.0","5,284.0","5,839.0","6,243.0","6,762.0","7,316.0","7,800.0","8,585.0","9,546.0","10,586.0","11,573.0","13,568.0","15,217.0","17,619.0","19,315.0","21,900.0","24,123.0","27,829.0","33,460.0","40,652.0","47,634.0","55,638.0","63,154.0","72,670.0","84,273.0","95,848.0","104,998.0","113,809.0","124,164.0","132,008.0","140,970.0","158,022.0","175,128.0","194,572.0","210,855.0","235,747.0","255,090.0","266,853.0","264,039.0","267,333.0","271,473.0","292,469.0","324,384.0","361,614.0","392,229.0","418,646.0","457,531.0","492,537.0","529,058.0","543,101.0","563,864.0","577,344.0"
"84","63","    Excluding imputations (61-62)","W519RC1","50,678.0","46,449.0","39,422.0","30,797.0","29,294.0","34,018.0","37,025.0","42,573.0","47,551.0","44,638.0","47,747.0","51,732.0","64,180.0","84,148.0","107,439.0","118,779.0","120,101.0","116,528.0","127,946.0","139,531.0","139,442.0","152,811.0","178,092.0","192,634.0","206,572.0","205,380.0","221,767.0","240,218.0","252,751.0","254,263.0","275,150.0","290,166.0","298,541.0","319,828.0","337,417.0","362,085.0","389,959.0","432,069.0","463,570.0","510,746.0","562,394.0","599,599.0","639,014.0","703,234.0","787,158.0","862,900.0","915,585.0","1,018,590.0","1,132,791.0","1,279,547.0","1,435,317.0","1,574,942.0","1,735,332.0","1,823,798.0","1,930,980.0","2,131,417.0","2,287,814.0","2,425,646.0","2,594,668.0","2,796,134.0","2,956,189.0","3,131,635.0","3,227,525.0","3,411,437.0","3,535,558.0","3,714,062.0","3,914,770.0","4,120,383.0","4,397,080.0","4,731,478.0","5,024,404.0","5,427,235.0","5,587,089.0","5,692,170.0","5,910,058.0","6,215,870.0","6,530,983.0","6,932,645.0","7,298,846.0","7,465,082.0"
"85","64","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","14,055.0","10,923.0","8,374.0","5,066.0","5,311.0","7,037.0","10,138.0","10,392.0","12,520.0","10,584.0","11,116.0","12,257.0","16,638.0","23,352.0","28,263.0","29,402.0","30,820.0","35,689.0","34,479.0","39,222.0","34,622.0","37,486.0","42,651.0","43,070.0","42,013.0","42,274.0","44,263.0","45,863.0","47,825.0","50,189.0","50,326.0","50,707.0","53,199.0","55,304.0","56,522.0","59,351.0","63,903.0","68,248.0","69,848.0","74,190.0","77,508.0","78,477.0","84,683.0","96,036.0","113,627.0","113,483.0","119,608.0","132,240.0","146,029.0","167,504.0","181,110.0","173,467.0","181,616.0","174,833.0","190,650.0","233,069.0","246,103.0","262,563.0","294,247.0","334,839.0","351,576.0","365,144.0","367,281.0","414,921.0","449,616.0","485,105.0","516,025.0","583,683.0","628,233.0","687,531.0","746,802.0","817,458.0","870,725.0","890,292.0","930,646.0","1,033,756.0","1,069,782.0","1,132,961.0","1,096,351.0","1,106,275.0"
"86","65","    Imputations (167+179)","A2101C1","1,186.0","1,044.0","884.0","670.0","687.0","715.0","929.0","908.0","988.0","809.0","752.0","718.0","917.0","1,182.0","1,509.0","1,425.0","1,514.0","1,728.0","1,724.0","1,868.0","1,594.0","1,533.0","1,618.0","1,530.0","1,372.0","1,274.0","1,102.0","1,031.0","955.0","971.0","868.0","805.0","828.0","782.0","804.0","774.0","741.0","727.0","728.0","771.0","752.0","762.0","864.0","1,011.0","1,361.0","1,379.0","1,483.0","2,129.0","2,801.0","3,086.0","3,250.0","2,341.0","2,058.0","1,919.0","2,856.0","2,984.0","3,055.0","3,570.0","3,309.0","3,099.0","2,885.0","2,928.0","2,399.0","3,253.0","3,013.0","3,380.0","2,754.0","2,988.0","3,062.0","2,849.0","3,226.0","2,777.0","2,816.0","3,022.0","3,091.0","3,693.0","4,283.0","3,638.0","3,173.0","2,830.0"
"87","66","    Excluding imputations (64-65)","A2102C1","12,869.0","9,879.0","7,490.0","4,396.0","4,624.0","6,322.0","9,209.0","9,484.0","11,532.0","9,775.0","10,364.0","11,539.0","15,721.0","22,170.0","26,754.0","27,977.0","29,306.0","33,961.0","32,755.0","37,354.0","33,028.0","35,953.0","41,033.0","41,540.0","40,641.0","41,000.0","43,161.0","44,832.0","46,870.0","49,218.0","49,458.0","49,902.0","52,371.0","54,522.0","55,718.0","58,577.0","63,162.0","67,521.0","69,120.0","73,419.0","76,756.0","77,715.0","83,819.0","95,025.0","112,266.0","112,104.0","118,125.0","130,111.0","143,228.0","164,418.0","177,860.0","171,126.0","179,558.0","172,914.0","187,794.0","230,085.0","243,048.0","258,993.0","290,938.0","331,740.0","348,691.0","362,216.0","364,882.0","411,668.0","446,603.0","481,725.0","513,271.0","580,695.0","625,171.0","684,682.0","743,576.0","814,681.0","867,909.0","887,270.0","927,555.0","1,030,063.0","1,065,499.0","1,129,323.0","1,093,178.0","1,103,445.0"
"88","67","  Rental income of persons with capital consumption adjustment","A048RC1","6,182.0","5,476.0","4,510.0","3,636.0","2,889.0","2,573.0","2,622.0","2,748.0","3,042.0","3,554.0","3,777.0","3,909.0","4,487.0","5,533.0","6,109.0","6,439.0","6,724.0","7,092.0","7,177.0","7,797.0","8,089.0","9,073.0","10,039.0","11,152.0","12,357.0","13,382.0","13,776.0","14,068.0","14,472.0","15,236.0","16,018.0","16,960.0","17,730.0","18,605.0","19,332.0","19,433.0","19,949.0","20,522.0","20,906.0","20,626.0","20,896.0","21,074.0","22,183.0","23,143.0","23,904.0","24,048.0","23,367.0","22,085.0","19,625.0","20,884.0","22,643.0","28,494.0","36,459.0","38,050.0","38,165.0","40,030.0","41,851.0","33,827.0","34,184.0","40,232.0","42,414.0","49,804.0","61,581.0","84,619.0","114,089.0","142,914.0","154,567.0","170,440.0","176,548.0","191,468.0","208,156.0","215,275.0","232,371.0","218,738.0","204,163.0","198,383.0","178,210.0","146,520.0","144,884.0","210,409.0"
"89","68","    Imputations (139)","B1156C1","2,851.0","2,532.0","2,177.0","1,783.0","1,393.0","1,146.0","1,174.0","1,234.0","1,353.0","1,540.0","1,607.0","1,623.0","1,813.0","2,140.0","2,456.0","2,759.0","2,986.0","3,017.0","2,972.0","3,238.0","3,639.0","4,264.0","4,922.0","5,917.0","7,029.0","7,959.0","8,394.0","8,617.0","9,059.0","9,599.0","10,537.0","11,469.0","12,174.0","13,001.0","13,481.0","13,605.0","13,926.0","14,443.0","14,910.0","14,542.0","14,871.0","14,839.0","15,767.0","15,658.0","15,112.0","15,458.0","14,608.0","13,281.0","9,928.0","10,521.0","10,988.0","13,758.0","15,722.0","12,978.0","11,395.0","10,550.0","8,196.0","3,732.0","5,680.0","13,402.0","16,000.0","19,426.0","25,921.0","40,937.0","64,789.0","88,756.0","95,888.0","109,226.0","112,118.0","127,272.0","143,984.0","150,958.0","163,905.0","155,962.0","145,520.0","139,536.0","117,854.0","83,385.0","71,146.0","123,913.0"
"90","69","    Excluding imputations (67-68)","A2103C1","3,331.0","2,944.0","2,333.0","1,853.0","1,496.0","1,427.0","1,448.0","1,514.0","1,689.0","2,014.0","2,170.0","2,286.0","2,674.0","3,393.0","3,653.0","3,680.0","3,738.0","4,075.0","4,205.0","4,559.0","4,450.0","4,809.0","5,117.0","5,235.0","5,328.0","5,423.0","5,382.0","5,451.0","5,413.0","5,637.0","5,481.0","5,491.0","5,556.0","5,604.0","5,851.0","5,828.0","6,023.0","6,079.0","5,996.0","6,084.0","6,025.0","6,235.0","6,416.0","7,485.0","8,792.0","8,590.0","8,759.0","8,804.0","9,697.0","10,363.0","11,655.0","14,736.0","20,737.0","25,072.0","26,770.0","29,480.0","33,655.0","30,095.0","28,504.0","26,830.0","26,414.0","30,378.0","35,660.0","43,682.0","49,300.0","54,158.0","58,679.0","61,214.0","64,430.0","64,196.0","64,172.0","64,317.0","68,466.0","62,776.0","58,643.0","58,847.0","60,356.0","63,135.0","73,738.0","86,496.0"
"91","70","  Personal interest income","A064RC1","6,667.0","6,258.0","6,235.0","5,841.0","5,360.0","5,466.0","5,438.0","5,238.0","5,379.0","5,258.0","5,287.0","5,284.0","5,345.0","5,200.0","5,216.0","5,295.0","5,959.0","6,699.0","7,588.0","8,070.0","8,796.0","9,716.0","10,509.0","11,291.0","12,698.0","13,962.0","15,193.0","16,924.0","18,853.0","20,299.0","22,033.0","24,517.0","26,231.0","29,058.0","31,656.0","35,557.0","39,175.0","43,404.0","47,518.0","51,623.0","59,896.0","69,199.0","75,945.0","82,774.0","94,783.0","113,184.0","129,251.0","139,477.0","160,583.0","184,048.0","217,303.0","274,687.0","348,298.0","410,790.0","446,299.0","517,238.0","555,831.0","588,423.0","603,648.0","637,297.0","716,996.0","751,945.0","748,233.0","722,160.0","698,109.0","712,700.0","751,922.0","784,372.0","835,771.0","919,345.0","910,889.0","984,168.0","976,472.0","911,857.0","889,775.0","860,199.0","986,974.0","1,127,482.0","1,266,378.0","1,307,994.0"
"92","71","    Imputations (147+160-164)","W520RC1","869.0","789.0","626.0","472.0","406.0","390.0","465.0","529.0","577.0","530.0","530.0","573.0","603.0","633.0","668.0","709.0","751.0","1,009.0","1,085.0","1,106.0","1,122.0","1,222.0","1,291.0","1,399.0","1,836.0","2,025.0","2,369.0","2,642.0","2,673.0","2,664.0","2,911.0","3,221.0","3,410.0","3,535.0","3,414.0","4,022.0","4,228.0","4,649.0","5,219.0","5,571.0","7,567.0","9,484.0","10,661.0","11,774.0","12,470.0","15,216.0","22,522.0","21,040.0","23,024.0","26,717.0","26,358.0","25,244.0","23,716.0","30,789.0","55,427.0","52,854.0","65,736.0","72,997.0","78,227.0","76,800.0","73,209.0","81,599.0","96,165.0","110,937.0","110,984.0","111,403.0","107,510.0","117,518.0","129,349.0","140,667.0","152,412.0","160,833.0","163,370.0","167,856.0","159,782.0","174,565.0","178,003.0","175,241.0","202,256.0","220,423.0"
"93","72","    Excluding imputations (70-71)","W521RC1","5,798.0","5,469.0","5,609.0","5,369.0","4,954.0","5,076.0","4,973.0","4,709.0","4,802.0","4,728.0","4,757.0","4,711.0","4,742.0","4,567.0","4,548.0","4,586.0","5,208.0","5,690.0","6,503.0","6,964.0","7,674.0","8,494.0","9,218.0","9,892.0","10,862.0","11,937.0","12,824.0","14,282.0","16,180.0","17,635.0","19,122.0","21,296.0","22,821.0","25,523.0","28,242.0","31,535.0","34,947.0","38,755.0","42,299.0","46,052.0","52,329.0","59,715.0","65,284.0","71,000.0","82,313.0","97,968.0","106,729.0","118,437.0","137,559.0","157,331.0","190,945.0","249,443.0","324,582.0","380,001.0","390,872.0","464,384.0","490,095.0","515,426.0","525,421.0","560,497.0","643,787.0","670,346.0","652,068.0","611,223.0","587,125.0","601,297.0","644,412.0","666,854.0","706,422.0","778,678.0","758,477.0","823,335.0","813,102.0","744,001.0","729,993.0","685,634.0","808,971.0","952,241.0","1,064,122.0","1,087,571.0"
"94","73","  Personal current transfer receipts","A577RC1","1,189.0","1,221.0","2,348.0","1,745.0","1,691.0","1,752.0","1,976.0","3,081.0","1,975.0","2,399.0","2,518.0","2,681.0","2,656.0","2,664.0","2,489.0","3,107.0","5,642.0","10,550.0","10,820.0","10,252.0","11,212.0","13,972.0","11,411.0","11,882.0","12,516.0","14,314.0","15,684.0","16,827.0","19,527.0","23,466.0","24,239.0","25,740.0","29,450.0","30,392.0","32,209.0","33,504.0","36,178.0","39,617.0","48,014.0","56,094.0","62,304.0","74,663.0","88,108.0","97,920.0","112,568.0","133,294.0","169,978.0","183,974.0","194,212.0","209,638.0","235,312.0","279,471.0","318,369.0","354,832.0","383,741.0","400,132.0","424,898.0","450,966.0","467,612.0","496,459.0","542,602.0","594,907.0","665,867.0","745,766.0","790,767.0","826,395.0","878,947.0","924,076.0","949,196.0","977,917.0","1,021,584.0","1,083,012.0","1,188,105.0","1,282,143.0","1,341,748.0","1,415,517.0","1,508,578.0","1,605,003.0","1,718,017.0","1,875,864.0"
