"","Table 7#16# Relation of Corporate Profits, Taxes, and Dividends ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"38","19","Equals: Profits before taxes, NIPAs","A053RC1","10,595.0","4,291.0","357.0","-1,480.0","1,728.0","3,079.0","4,216.0","6,931.0","7,450.0","4,443.0","7,628.0","10,437.0","18,342.0","22,047.0","25,552.0","24,455.0","20,021.0","24,936.0","31,945.0","35,876.0","29,607.0","43,233.0","44,788.0","40,230.0","41,683.0","39,343.0","49,884.0","50,463.0","49,080.0","42,963.0","53,756.0","51,631.0","51,569.0","57,006.0","62,079.0","69,096.0","80,150.0","86,700.0","83,547.0","92,439.0","91,371.0","80,992.0","92,879.0","108,224.0","134,972.0","147,776.0","145,542.0","179,739.0","210,510.0","246,136.0","272,134.0","253,542.0","243,742.0","198,612.0","233,999.0","268,608.0","257,464.0","245,961.0","323,099.0","389,923.0","390,453.0","411,687.0","425,386.0","474,401.0","519,023.0","599,031.0","684,296.0","740,737.0","801,763.0","722,888.0","780,514.0","772,471.0","712,723.0","765,347.0","903,474.0","1,229,403.0","1,640,158.0","1,822,720.0","1,774,389.0","1,462,749.0"
"39","20","Federal income and excess profits taxes, IRS","B1188C1","1,193.0","712.0","399.0","286.0","423.0","596.0","779.0","1,192.0","1,276.0","860.0","1,232.0","2,549.0","7,168.0","12,256.0","15,926.0","14,884.0","10,795.0","8,875.0","10,982.0","11,920.0","9,817.0","17,317.0","22,082.0","19,148.0","19,869.0","16,861.0","21,741.0","21,364.0","20,582.0","18,814.0","22,525.0","21,866.0","22,188.0","23,930.0","26,298.0","27,857.0","31,662.0","34,449.0","33,301.0","39,694.0","39,374.0","33,293.0","37,510.0","42,890.0","52,439.0","66,113.0","66,146.0","83,005.0","96,340.0","107,888.0","120,047.0","105,142.0","102,260.0","86,763.0","92,219.0","107,972.0","111,341.0","111,138.0","118,485.0","131,505.0","127,899.0","128,324.0","121,291.0","131,406.0","154,635.0","172,777.0","198,787.0","223,713.0","239,394.0","231,400.0","241,988.0","266,282.0","220,872.0","209,689.0","243,820.0","299,555.0","419,209.0","453,082.0",".....","....."
"40","21","Plus: Posttabulation amendments and revisions, including results of audit and renegotiation and carryback refunds","B1189C1","62.0","61.0","43.0","47.0","58.0","76.0","73.0","96.0","100.0","78.0","99.0","146.0","228.0","-1,123.0","-2,230.0","-2,307.0","-465.0","-71.0","-163.0","-59.0","-142.0","108.0","-36.0","-280.0","-92.0","440.0","39.0","181.0","332.0","-308.0","227.0","-92.0","109.0","139.0","420.0","290.0","272.0","197.0","53.0","-55.0","-432.0","-756.0","-120.0","-171.0","-138.0","-1,566.0","-1,516.0","-951.0","-1,057.0","7.0","-739.0","-4,362.0","-6,771.0","-13,231.0","-4,747.0","-4,809.0","-4,880.0","-7,852.0","-1,539.0","-2,264.0","-724.0","-2,024.0","-3,589.0","332.0","2,358.0","733.0","-463.0","-83.0","-1,840.0","-3,865.0","-5,475.0","-9,947.0","-29,134.0","-27,651.0","-1,724.0","7,769.0","7,404.0","12,875.0",".....","....."
"41","22","      Amounts paid to U.S. Treasury by Federal Reserve banks","B1190C1","4.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75.0","167.0","193.0","197.0","255.0","292.0","343.0","276.0","252.0","402.0","543.0","524.0","911.0","897.0","687.0","799.0","880.0","1,582.0","1,297.0","1,649.0","1,907.0","2,464.0","3,019.0","3,494.0","3,357.0","3,231.0","4,341.0","5,550.0","5,382.0","5,870.0","5,937.0","7,006.0","9,279.0","11,706.0","14,024.0","15,205.0","14,229.0","16,054.0","17,796.0","17,804.0","17,739.0","17,364.0","21,646.0","23,608.0","20,778.0","16,774.0","15,987.0","20,470.0","23,389.0","20,083.0","20,659.0","26,561.0","25,410.0","25,344.0","27,089.0","24,495.0","22,022.0","18,078.0","21,468.0","29,052.0",".....","....."
"42","23","      State and local taxes on corporate income","B1179C1","145.0","98.0","75.0","57.0","59.0","100.0","131.0","157.0","165.0","134.0","156.0","199.0","277.0","350.0","458.0","465.0","455.0","462.0","604.0","671.0","605.0","770.0","883.0","826.0","809.0","773.0","968.0","1,044.0","1,019.0","1,004.0","1,162.0","1,249.0","1,290.0","1,502.0","1,653.0","1,844.0","1,977.0","2,230.0","2,625.0","3,310.0","3,610.0","3,740.0","4,284.0","5,252.0","6,028.0","6,679.0","7,347.0","9,636.0","11,429.0","12,106.0","13,568.0","14,466.0","15,442.0","14,034.0","15,896.0","18,799.0","20,247.0","22,661.0","23,901.0","26,032.0","24,239.0","22,486.0","23,641.0","24,380.0","26,906.0","29,970.0","31,656.0","33,023.0","34,145.0","34,934.0","35,796.0","35,231.0","28,853.0","30,864.0","33,997.0","41,708.0","54,943.0","59,150.0",".....","....."
"43","24","      Taxes paid by domestic corporations to foreign governments on income earned abroad","B1199C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","81.0","86.0","109.0","123.0","140.0","170.0","189.0","223.0","248.0","263.0","303.0","401.0","425.0","482.0","685.0","991.0","740.0","1,075.0","1,397.0","1,352.0","2,020.0","2,405.0","3,196.0","3,418.0","3,407.0","3,494.0","2,894.0","3,188.0","3,352.0","4,472.0","4,615.0","4,818.0","5,013.0","5,540.0","5,659.0","6,448.0","6,862.0","7,824.0","8,281.0","9,190.0","10,021.0","10,421.0","9,773.0","11,014.0","11,965.0","14,103.0","16,483.0","19,107.0",".....","....."
"44","25","Less: U.S. tax credits claimed for foreign taxes paid","B1191C1","35.0","29.0","19.0","7.0","19.0","28.0","32.0","36.0","39.0","43.0","46.0","60.0","63.0","68.0","80.0","93.0","96.0","162.0","230.0","278.0","270.0","467.0","625.0","587.0","642.0","726.0","959.0","998.0","1,053.0","1,070.0","1,179.0","1,224.0","1,493.0","1,564.0","1,915.0","2,270.0","2,616.0","2,861.0","3,160.0","3,664.0","3,988.0","4,549.0","5,657.0","6,316.0","9,620.0","20,753.0","19,988.0","24,250.0","26,844.0","27,492.0","38,203.0","26,427.0","23,774.0","21,164.0","21,534.0","23,054.0","26,714.0","24,388.0","23,480.0","29,386.0","26,791.0","28,183.0","24,566.0","25,262.0","27,619.0","29,194.0","33,476.0","43,303.0","44,922.0","39,789.0","39,875.0","49,945.0","42,330.0","43,213.0","51,123.0","57,814.0","82,935.0","78,764.0",".....","....."
"45","26","      Investment tax credit \6\","B1192C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","834.0","1,105.0","1,318.0","1,716.0","2,006.0","2,075.0","2,384.0","1,909.0","866.0","1,634.0","3,025.0","3,753.0","4,221.0","6,460.0","9,088.0","11,038.0","12,897.0","14,635.0","15,103.0","18,888.0","17,314.0","16,145.0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"46","27","      Other tax credits \6\","B1193C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0","9.0","8.0","5.0","9.0","1,723.0","3,112.0","1,321.0","637.0","1,150.0","1,212.0","2,677.0","20,925.0","21,278.0","12,876.0","8,017.0","6,093.0","4,816.0","3,605.0","3,977.0","4,482.0","6,892.0","8,063.0","8,917.0","9,788.0","10,296.0","10,065.0","9,081.0","12,294.0","11,827.0","12,862.0","15,190.0","17,306.0","24,188.0","21,235.0",".....","....."
"47","28","Equals: Taxes on corporate income, NIPAs","A054RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,267.0","451,542.0","292,180.0"
"48","29","Profits after tax, NIPAs (19-28)","A055RC1","9,226.0","3,449.0","-141.0","-1,865.0","1,207.0","2,335.0","3,265.0","5,522.0","5,948.0","3,414.0","6,187.0","7,603.0","10,732.0","10,632.0","11,478.0","11,506.0","9,332.0","15,832.0","20,677.0","23,455.0","19,404.0","25,308.0","22,229.0","20,831.0","21,396.0","21,719.0","27,843.0","28,470.0","27,657.0","23,999.0","30,029.0","28,849.0","28,679.0","32,911.0","35,708.0","40,941.0","49,085.0","52,819.0","50,648.0","52,811.0","51,394.0","46,235.0","54,714.0","65,883.0","84,999.0","94,991.0","93,896.0","114,451.0","136,069.0","161,278.0","182,118.0","166,352.0","159,403.0","132,113.0","153,351.0","171,077.0","158,058.0","136,286.0","192,658.0","248,293.0","244,385.0","266,263.0","286,795.0","325,713.0","347,989.0","405,890.0","466,458.0","509,268.0","556,342.0","474,522.0","521,730.0","507,379.0","509,427.0","573,011.0","659,707.0","923,310.0","1,227,774.0","1,349,453.0","1,322,847.0","1,170,569.0"
"49","30","Dividends paid in cash or assets, IRS","B1194C1","8,520.0","8,184.0","6,151.0","3,886.0","3,127.0","4,859.0","5,941.0","7,379.0","7,514.0","5,013.0","5,747.0","6,089.0","6,701.0","5,607.0","5,728.0","6,057.0","6,081.0","7,497.0","8,365.0","9,386.0","9,569.0","11,553.0","11,300.0","11,263.0","11,601.0","11,913.0","13,592.0","14,498.0","14,914.0","14,952.0","16,242.0","17,193.0","18,038.0","19,565.0","21,105.0","23,305.0","25,998.0","27,033.0","28,239.0","31,563.0","32,951.0","32,013.0","32,593.0","36,039.0","41,830.0","49,281.0","44,585.0","53,397.0","61,537.0","68,643.0","82,607.0","97,379.0","120,295.0","131,179.0","128,298.0","144,931.0","161,462.0","190,715.0","197,457.0","223,957.0","263,178.0","283,172.0","290,721.0","304,135.0","341,705.0","380,887.0","445,102.0","530,828.0","655,101.0","718,333.0","769,846.0","910,343.0","724,945.0","581,456.0","614,496.0","785,026.0","976,043.0","1,275,065.0",".....","....."
"50","31","Plus: Posttabulation amendments and revisions \7\","B1195C1","22.0","18.0","13.0","5.0","13.0","18.0","20.0","21.0","26.0","38.0","38.0","44.0","39.0","40.0","49.0","30.0","-5.0","-85.0","-46.0","-37.0","-31.0","-58.0","-126.0","-117.0","-102.0","-178.0","-290.0","-377.0","-359.0","-347.0","-588.0","-590.0","-512.0","-693.0","-522.0","-89.0","-716.0","-1,557.0","-1,838.0","-2,686.0","-2,710.0","-1,068.0","-518.0","-749.0","23.0","761.0","255.0","1,106.0","-125.0","615.0","1,006.0","-735.0","-4,454.0","-6,388.0","-1,692.0","-5,127.0","-9,538.0","-30,956.0","-13,987.0","-3,083.0","-10,308.0","-14,020.0","-21,223.0","-26,008.0","-41,164.0","-39,989.0","-68,213.0","-91,828.0","-164,561.0","-176,551.0","-235,685.0","-291,198.0","-156,142.0","-18,885.0","-23,157.0","-59,441.0","-87,896.0","-256,278.0",".....","....."
"51","32","      Dividends paid by Federal Reserve banks and certain federally sponsored credit agencies \2\","B1196C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","4.0","9.0","9.0","10.0","10.0","10.0","9.0","9.0","11.0","10.0","6.0","13.0","20.0","29.0","43.0","60.0","75.0","84.0","91.0","110.0","104.0","111.0","117.0","103.0","95.0","92.0","158.0","201.0","199.0","189.0","209.0","267.0","301.0","376.0","342.0","656.0","583.0","724.0","898.0","697.0","490.0","575.0","709.0","646.0","512.0","848.0","968.0","1,072.0","1,262.0","1,428.0","1,638.0","1,881.0","1,508.0","1,788.0","1,833.0","1,616.0","1,525.0","1,245.0","1,852.0","2,540.0",".....","....."
"52","33","      U.S. receipts of dividends from abroad, net of payments to abroad","B1197C1","232.0","137.0","-4.0","-34.0","-2.0","60.0","159.0","104.0","122.0","247.0","184.0","234.0","231.0","225.0","238.0","293.0","228.0","425.0","689.0","836.0","832.0","984.0","1,162.0","1,099.0","1,135.0","1,422.0","1,579.0","1,813.0","1,886.0","1,734.0","1,862.0","1,956.0","2,395.0","2,671.0","2,674.0","3,203.0","3,331.0","2,842.0","3,180.0","3,368.0","3,836.0","3,936.0","4,690.0","4,894.0","6,800.0","9,765.0","6,556.0","8,959.0","11,079.0","11,184.0","16,041.0","16,748.0","15,445.0","16,385.0","12,145.0","12,292.0","11,843.0","17,883.0","16,705.0","31,894.0","31,600.0","24,974.0","24,327.0","28,034.0","20,582.0","38,166.0","32,772.0","40,391.0","47,210.0","42,270.0","41,697.0","29,417.0","40,862.0","48,079.0","32,095.0","62,317.0","260,861.0","77,901.0",".....","....."
"53","34","      Earnings remitted to foreign residents from their unincorporated U.S. affiliates","B1634C1","24.0","23.0","19.0","12.0","10.0","10.0","16.0","24.0","24.0","22.0","23.0","12.0","10.0","9.0","7.0","6.0","31.0","7.0","23.0","41.0","74.0","77.0","65.0","66.0","83.0","76.0","75.0","63.0","59.0","85.0","85.0","66.0","51.0","65.0","57.0","45.0","56.0","94.0","114.0","110.0","124.0","121.0","229.0","311.0","259.0","113.0","211.0","658.0","319.0","543.0","812.0","976.0","951.0","953.0","1,194.0","1,015.0","1,056.0","1,427.0","1,486.0","1,309.0","1,684.0","1,421.0","2,007.0","1,912.0","2,742.0","2,759.0","2,754.0","3,741.0","3,518.0","3,455.0","5,284.0","4,070.0","3,885.0","6,384.0","3,250.0","3,795.0","4,142.0","4,636.0",".....","....."
"54","35","      Interest payments of regulated investment companies","B1635C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-52.0","-237.0","-408.0","-294.0","-424.0","-817.0","-1,054.0","-1,036.0","-958.0","-1,479.0","-1,824.0","-4,379.0","-8,703.0","-18,339.0","-23,218.0","-17,541.0","-21,708.0","-24,439.0","-28,457.0","-45,077.0","-53,480.0","-67,499.0","-68,043.0","-60,286.0","-57,127.0","-59,615.0","-77,344.0","-79,150.0","-86,362.0","-96,076.0","-118,978.0","-118,175.0","-143,454.0","-124,059.0","-100,749.0","-71,334.0","-75,271.0","-106,193.0","-165,477.0",".....","....."
"55","36","Less: Dividends received by U.S. corporations","B1198C1","2,830.0","2,760.0","2,061.0","1,303.0","1,080.0","2,318.0","3,177.0","2,869.0","2,891.0","2,103.0","2,156.0","2,266.0","2,418.0","1,500.0","1,468.0","1,574.0","1,552.0","1,967.0","2,223.0","2,576.0","2,614.0","3,104.0","3,007.0","2,898.0","2,965.0","2,945.0","3,344.0","3,446.0","3,453.0","3,754.0","3,988.0","4,154.0","4,790.0","5,076.0","5,474.0","6,506.0","6,734.0","6,312.0","6,601.0","6,948.0","7,935.0","8,705.0","9,685.0","11,110.0","14,883.0","21,235.0","14,286.0","19,461.0","21,308.0","22,599.0","29,538.0","33,219.0","31,232.0","32,107.0","33,589.0","36,568.0","37,737.0","37,907.0","39,045.0","64,631.0","58,305.0","56,638.0","52,282.0","54,141.0","54,704.0","63,333.0","74,130.0","93,467.0","108,687.0","113,397.0","118,829.0","129,850.0","117,616.0","113,651.0","120,975.0","157,113.0","485,242.0","228,623.0",".....","....."
"56","37","      Earnings of U.S. residents remitted by their unincorporated foreign affiliates","B1636C1","167.0","134.0","52.0","22.0","30.0","62.0","115.0","136.0","135.0","52.0","70.0","97.0","132.0","127.0","108.0","196.0","184.0","303.0","491.0","623.0","601.0","624.0","834.0","863.0","875.0","1,015.0","1,145.0","1,281.0","1,311.0","1,117.0","1,063.0","1,134.0","1,324.0","1,565.0","1,679.0","1,848.0","1,821.0","1,540.0","1,688.0","1,931.0","1,907.0","1,685.0","2,083.0","2,217.0","3,463.0","4,613.0","3,524.0","4,876.0","5,463.0","6,036.0","9,330.0","8,752.0","9,252.0","9,746.0","5,934.0","4,752.0","5,993.0","7,222.0","5,717.0","6,622.0","3,085.0","2,450.0","3,093.0","9,626.0","7,584.0","6,495.0","5,993.0","7,009.0","6,938.0","5,559.0","8,249.0","3,243.0","2,790.0","4,994.0","11,040.0","10,223.0","6,248.0","4,986.0",".....","....."
"57","38","Equals: Net corporate dividend payments, NIPAs","B056RC1","5,801.0","5,468.0","4,066.0","2,544.0","2,038.0","2,567.0","2,844.0","4,523.0","4,660.0","3,165.0","3,766.0","4,016.0","4,431.0","4,254.0","4,446.0","4,617.0","4,600.0","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0","24,307.0","25,027.0","26,836.0","29,907.0","33,219.0","32,960.0","39,014.0","44,769.0","50,793.0","57,520.0","64,070.0","73,756.0","77,714.0","83,464.0","90,807.0","97,552.0","106,180.0","112,312.0","129,919.0","157,974.0","169,062.0","180,683.0","188,027.0","202,930.0","235,723.0","254,404.0","297,722.0","331,205.0","351,454.0","337,397.0","377,873.0","370,918.0","399,256.0","424,861.0","550,335.0","557,320.0","704,778.0","767,785.0","689,874.0"
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Consists largely of an adjustment to expense all meals and entertainment, of oilwell bonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","payments written off, of adjustments for insurance carriers and savings and loan associations,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","of amortization of intangible assets, and of tax-exempt interest income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2. Consists of the Farm Credit System beginning with 1947 and the Federal Home Loan Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","beginning with 1952.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists of nonprofit organizations serving business and of credit unions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Consists of disaster losses valued at historic-cost less net insurance receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","for disaster-related losses valued at replacement-cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","5. Includes the imputed financial service charge paid by corporations to domestic securities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","dealers who do not charge an explicit commission.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","6. Beginning with 1984, the investment tax credit is included in other tax credits (line 27).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","7. Consists largely of an adjustment to remove capital gains distributions of regulated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","investment companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
