"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"33","14","Services \2\","A341RX1","1,083,547.0","1,099,005.0","1,099,955.0","1,080,900.0","1,082,709.0","1,108,343.0","1,115,112.0","1,133,693.0","1,148,899.0","1,162,645.0","1,153,394.0","1,143,167.0","1,156,307.0","1,179,352.0","1,173,660.0","1,210,353.0","1,268,513.0","1,325,917.0","1,382,792.0","1,391,469.0","1,427,531.0","1,468,169.0","1,477,843.0","1,492,606.0","1,522,195.0","1,540,276.0","1,535,503.0","1,532,379.0","1,515,752.0","1,507,614.0","1,522,195.0","1,531,934.0","1,544,378.0","1,530,371.0","1,560,009.0","1,575,001.0","1,575,191.0","1,599,746.0","1,590,319.0","1,637,259.0","1,647,885.0","1,656,531.0","1,667,538.0","1,701,832.0","1,670,015.0","1,704,048.0","1,712,606.0","1,731,766.0","1,742,652.0","1,781,108.0","1,801,051.0","1,818,444.0","1,809,468.0","1,836,435.0","1,835,792.0","1,861,204.0","1,862,854.0","1,902,291.0","1,905,790.0","1,939,562.0","1,966,672.0","2,004,600.0","2,017,998.0","2,039,436.0","2,050,522.0","2,074,705.0","2,107,563.0","2,128,494.0","2,157,631.0","2,186,604.0","2,197,487.0","2,215,989.0","2,237,344.0","2,279,776.0","2,315,751.0","2,363,412.0","2,382,151.0","2,438,930.0","2,455,759.0","2,486,964.0","2,546,345.0","2,560,110.0","2,585,003.0","2,615,947.0","2,668,872.0","2,700,960.0","2,726,739.0","2,754,233.0","2,757,671.0","2,797,401.0","2,811,789.0","2,836,396.0","2,841,170.0","2,846,227.0","2,866,710.0","2,878,695.0","2,899,303.0","2,915,119.0","2,929,265.0","2,963,481.0","2,998,812.0","3,024,020.0","3,045,025.0","3,070,914.0","3,096,245.0","3,121,297.0","3,135,194.0","3,149,084.0","3,161,172.0","3,184,469.0","3,199,350.0","3,233,352.0","3,268,514.0","3,314,215.0","3,310,336.0","3,343,353.0","3,363,931.0","3,381,263.0","3,409,618.0","3,445,884.0","3,477,688.0","3,497,991.0","3,534,684.0","3,557,713.0","3,602,353.0","3,645,386.0","3,668,434.0","3,689,864.0","3,722,641.0","3,738,376.0","3,732,987.0","3,766,505.0","3,784,482.0","3,791,607.0","3,820,665.0","3,847,999.0","3,857,832.0","3,893,244.0","3,897,496.0","3,900,990.0","3,918,160.0","3,927,821.0","3,963,497.0","4,017,947.0","4,068,505.0","4,106,112.0","4,157,617.0","4,148,172.0","4,168,401.0","4,217,005.0","4,254,374.0","4,296,685.0","4,368,006.0","4,412,228.0","4,486,106.0","4,528,680.0","4,565,711.0","4,616,926.0","4,661,035.0","4,697,172.0","4,737,482.0","4,769,485.0","4,791,285.0","4,843,068.0","4,896,139.0","4,931,784.0","4,980,143.0","5,037,236.0","5,055,785.0","5,092,288.0","5,130,927.0","5,180,110.0","5,212,227.0","5,265,695.0","5,294,934.0","5,304,383.0","5,318,406.0","5,364,443.0","5,373,262.0","5,395,971.0","5,459,091.0","5,488,040.0","5,547,559.0","5,591,927.0","5,605,314.0","5,622,968.0","5,668,342.0","5,695,145.0","5,726,722.0","5,761,255.0","5,811,996.0","5,824,658.0","5,843,445.0","5,888,851.0","5,936,342.0","5,941,194.0","5,983,478.0","6,039,974.0","6,046,554.0","6,111,027.0","6,130,911.0","6,184,593.0","6,233,649.0","6,284,150.0","6,320,506.0","6,405,007.0","6,450,749.0","6,510,716.0","6,562,190.0","6,618,709.0","6,696,110.0","6,777,412.0","6,823,876.0","6,916,858.0","6,938,904.0","6,995,245.0","7,043,732.0","7,081,837.0","7,109,790.0","7,146,099.0","7,211,653.0","7,264,431.0","7,297,877.0","7,328,398.0","7,338,660.0","7,405,552.0","7,440,213.0","7,479,650.0","7,548,568.0","7,583,553.0","7,628,946.0","7,691,211.0","7,741,521.0","7,777,357.0","7,836,816.0","7,852,744.0","7,918,509.0","7,957,774.0","7,996,646.0","8,067,193.0","8,120,440.0","8,163,055.0","8,224,795.0","8,262,314.0","8,292,082.0","8,322,863.0","8,315,097.0","8,329,254.0","8,311,358.0","8,341,776.0","8,363,705.0","8,387,193.0"
"34","15","Structures","A755RX1","244,146.0","241,050.0","263,512.0","293,389.0","294,561.0","311,472.0","312,443.0","302,887.0","294,027.0","296,319.0","312,687.0","330,040.0","352,563.0","379,152.0","397,219.0","391,452.0","383,375.0","369,245.0","360,441.0","359,631.0","369,040.0","373,157.0","373,239.0","388,658.0","397,890.0","398,680.0","393,038.0","398,442.0","407,751.0","416,123.0","428,808.0","438,585.0","460,416.0","467,371.0","462,649.0","455,360.0","456,183.0","462,697.0","461,123.0","458,315.0","459,116.0","453,266.0","451,874.0","453,685.0","452,917.0","447,114.0","461,064.0","488,678.0","512,496.0","524,090.0","519,433.0","502,968.0","517,690.0","505,289.0","504,341.0","512,365.0","522,705.0","509,749.0","523,675.0","540,325.0","542,621.0","556,397.0","559,572.0","558,082.0","563,318.0","589,128.0","604,971.0","609,278.0","633,870.0","630,584.0","632,688.0","628,919.0","638,000.0","661,150.0","673,316.0","680,044.0","693,962.0","665,223.0","661,688.0","634,862.0","635,476.0","647,768.0","657,836.0","675,902.0","683,484.0","693,724.0","697,055.0","703,788.0","713,165.0","709,926.0","712,256.0","678,030.0","673,376.0","652,185.0","673,474.0","692,953.0","704,689.0","733,475.0","745,241.0","758,583.0","784,369.0","784,555.0","784,744.0","807,134.0","829,946.0","812,228.0","802,232.0","784,130.0","758,059.0","748,236.0","716,559.0","670,872.0","653,896.0","635,684.0","659,205.0","681,719.0","724,157.0","715,351.0","702,053.0","735,227.0","750,764.0","803,951.0","800,558.0","793,359.0","791,668.0","862,504.0","892,715.0","904,190.0","873,873.0","881,479.0","897,948.0","896,336.0","877,588.0","794,464.0","792,180.0","827,759.0","831,333.0","818,641.0","796,080.0","801,641.0","767,500.0","745,263.0","722,918.0","734,653.0","756,951.0","772,222.0","817,519.0","838,477.0","873,182.0","903,049.0","916,468.0","922,752.0","939,489.0","951,531.0","951,273.0","961,535.0","977,252.0","965,035.0","961,962.0","956,224.0","954,914.0","961,057.0","975,171.0","986,250.0","957,544.0","975,058.0","966,307.0","971,666.0","969,668.0","954,247.0","962,984.0","956,980.0","978,495.0","956,449.0","932,311.0","900,257.0","868,174.0","869,210.0","865,099.0","873,777.0","896,705.0","903,313.0","896,622.0","913,094.0","906,095.0","917,838.0","935,128.0","963,039.0","950,439.0","986,581.0","989,120.0","987,649.0","985,678.0","979,270.0","992,135.0","998,588.0","1,016,230.0","1,051,635.0","1,060,918.0","1,083,739.0","1,094,952.0","1,093,138.0","1,103,388.0","1,099,800.0","1,102,803.0","1,149,156.0","1,178,749.0","1,189,712.0","1,195,229.0","1,193,655.0","1,199,482.0","1,220,492.0","1,238,173.0","1,242,318.0","1,249,031.0","1,251,680.0","1,247,265.0","1,276,398.0","1,259,738.0","1,232,897.0","1,232,494.0","1,223,805.0","1,214,079.0","1,222,243.0","1,223,344.0","1,245,566.0","1,286,679.0","1,298,660.0","1,300,531.0","1,333,102.0","1,335,874.0","1,332,767.0","1,350,862.0","1,366,370.0","1,365,321.0","1,371,037.0","1,373,960.0","1,365,375.0","1,330,687.0","1,294,397.0","1,287,323.0","1,294,518.0","1,287,592.0","1,256,347.0","1,221,226.0","1,225,279.0","1,207,965.0","1,167,041.0","1,051,768.0","1,025,232.0","1,023,144.0","994,587.0"
"35","16","Residual","A959RX1","25,100.0","14,700.0","-2,900.0","4,400.0","18,000.0","6,200.0","6,300.0","1,200.0","-17,600.0","-32,500.0","-26,300.0","-40,400.0","-25,300.0","-28,600.0","4,500.0","2,200.0","-18,800.0","-30,600.0","-41,600.0","-45,200.0","-65,000.0","-95,200.0","-93,900.0","-75,600.0","-79,500.0","-83,200.0","-83,600.0","-104,600.0","-105,400.0","-103,800.0","-108,700.0","-97,500.0","-85,300.0","-59,700.0","-59,200.0","-57,300.0","-63,800.0","-74,400.0","-68,700.0","-77,000.0","-76,500.0","-81,700.0","-75,300.0","-113,500.0","-127,600.0","-138,500.0","-123,200.0","-123,700.0","-119,500.0","-117,900.0","-129,700.0","-125,100.0","-97,400.0","-113,500.0","-110,100.0","-150,700.0","-150,300.0","-140,600.0","-129,000.0","-132,400.0","-124,800.0","-142,000.0","-138,700.0","-147,700.0","-138,200.0","-151,700.0","-153,900.0","-157,900.0","-157,000.0","-154,200.0","-140,000.0","-144,400.0","-122,700.0","-141,900.0","-137,400.0","-129,100.0","-105,900.0","-116,000.0","-112,100.0","-98,700.0","-119,600.0","-135,800.0","-142,900.0","-159,500.0","-158,100.0","-151,700.0","-156,300.0","-168,900.0","-146,200.0","-162,400.0","-160,100.0","-162,200.0","-165,300.0","-151,200.0","-159,500.0","-200,000.0","-166,200.0","-182,300.0","-182,000.0","-204,400.0","-205,300.0","-172,600.0","-165,100.0","-159,700.0","-134,900.0","-114,100.0","-127,500.0","-104,400.0","-114,900.0","-116,800.0","-128,000.0","-129,500.0","-165,100.0","-164,900.0","-141,000.0","-145,100.0","-132,600.0","-121,300.0","-118,800.0","-141,800.0","-142,700.0","-140,100.0","-118,800.0","-127,700.0","-143,400.0","-117,300.0","-123,200.0","-110,200.0","-107,800.0","-118,100.0","-106,800.0","-117,300.0","-109,900.0","-119,100.0","-137,300.0","-127,800.0","-87,600.0","-117,700.0","-81,600.0","-114,200.0","-143,300.0","-125,900.0","-141,000.0","-171,000.0","-179,300.0","-156,400.0","-159,800.0","-120,400.0","-104,100.0","-102,600.0","-104,600.0","-108,300.0","-126,700.0","-132,900.0","-130,000.0","-136,100.0","-137,700.0","-144,400.0","-140,000.0","-141,500.0","-145,000.0","-137,300.0","-133,200.0","-121,100.0","-117,700.0","-111,100.0","-114,400.0","-109,100.0","-94,300.0","-84,500.0","-85,100.0","-96,100.0","-94,000.0","-95,200.0","-95,500.0","-104,500.0","-106,100.0","-108,300.0","-100,400.0","-103,600.0","-111,900.0","-101,800.0","-96,800.0","-96,300.0","-93,800.0","-91,100.0","-101,900.0","-94,300.0","-78,400.0","-75,500.0","-78,500.0","-58,500.0","-112,100.0","-116,800.0","-109,600.0","-96,800.0","-102,500.0","-97,100.0","-85,900.0","-84,300.0","-78,500.0","-67,200.0","-50,700.0","-47,000.0","-39,100.0","-47,600.0","-43,300.0","-27,100.0","-26,400.0","-17,400.0","-7,500.0","-6,800.0","-1,000.0","2,100.0","1,000.0","0.0","-1,500.0","-9,200.0","-12,500.0","-600.0","-5,700.0","-6,800.0","-2,900.0","-8,800.0","-6,500.0","-4,600.0","-400.0","100.0","-1,200.0","-4,200.0","-1,600.0","-1,200.0","-1,000.0","-300.0","200.0","900.0","-2,000.0","-2,000.0","-2,300.0","-5,300.0","-7,600.0","-7,600.0","-11,000.0","-21,200.0","-19,600.0","-25,100.0","-24,800.0","-23,500.0","-26,000.0","-26,300.0","-28,800.0","-29,500.0"
"36",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","17","  Motor vehicle output","A953RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","281,899.0","274,446.0","271,342.0","288,690.0","260,881.0","295,179.0","296,297.0","283,765.0","295,241.0","293,872.0","313,730.0","328,291.0","322,233.0","321,746.0","323,141.0","365,396.0","355,807.0","358,091.0","369,506.0","376,916.0","382,594.0","368,024.0","350,187.0","337,965.0","324,018.0","348,512.0","343,172.0","359,309.0","375,719.0","381,345.0","394,491.0","381,576.0","371,209.0","390,907.0","391,563.0","395,660.0","398,772.0","392,610.0","410,916.0","409,650.0","411,042.0","417,543.0","440,208.0","406,957.0","420,912.0","412,644.0","416,698.0","405,644.0","404,865.0","410,954.0","414,485.0","403,416.0","379,612.0","339,335.0","333,576.0","279,782.0","215,893.0","222,742.0","274,843.0","290,704.0"
"38","18","  Gross domestic product excluding motor vehicle output","A962RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,745,704.0","8,774,512.0","8,854,975.0","8,897,609.0","8,995,528.0","9,113,971.0","9,195,044.0","9,315,053.0","9,375,076.0","9,521,193.0","9,620,712.0","9,679,589.0","9,782,257.0","9,874,339.0","10,008,064.0","10,137,240.0","10,242,918.0","10,323,601.0","10,446,785.0","10,633,644.0","10,656,107.0","10,889,873.0","10,920,082.0","11,001,020.0","10,979,079.0","11,025,558.0","11,000,167.0","11,022,321.0","11,102,305.0","11,157,292.0","11,200,721.0","11,217,193.0","11,275,384.0","11,347,534.0","11,543,857.0","11,647,080.0","11,728,785.0","11,821,464.0","11,892,552.0","12,000,659.0","12,123,163.0","12,170,053.0","12,243,085.0","12,341,449.0","12,494,965.0","12,549,577.0","12,549,138.0","12,654,260.0","12,694,065.0","12,792,211.0","12,905,841.0","12,986,134.0","12,983,700.0","13,068,292.0","12,983,179.0","12,848,142.0","12,687,846.0","12,657,989.0","12,682,519.0","12,844,058.0"
"39","19","  Final sales of computers \3\","BB01RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6,040.0","6,791.0","7,497.0","8,759.0","9,966.0","10,859.0","12,022.0","13,110.0","14,909.0","16,751.0","18,951.0","19,667.0","21,500.0","23,662.0","26,400.0","28,937.0","32,307.0","35,619.0","38,192.0","37,808.0","42,404.0","46,801.0","48,153.0","50,591.0","55,163.0","53,213.0","50,704.0","53,203.0","52,730.0","52,801.0","55,853.0","57,468.0","59,041.0","58,960.0","66,952.0","69,572.0","65,289.0","65,137.0","66,049.0","70,516.0","71,833.0","77,190.0","80,365.0","86,622.0","93,069.0","97,232.0","100,139.0","105,319.0","106,127.0","112,969.0","127,241.0","136,815.0","140,065.0","149,304.0","147,932.0","148,986.0","153,003.0","150,117.0","144,608.0","144,707.0"
"40","20","  Gross domestic product excluding final sales of computers","BB00RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,183,976.0","9,193,073.0","9,261,733.0","9,311,802.0","9,363,214.0","9,517,969.0","9,590,904.0","9,687,261.0","9,748,317.0","9,881,097.0","9,991,833.0","10,064,667.0","10,150,132.0","10,231,057.0","10,354,694.0","10,525,239.0","10,607,229.0","10,679,366.0","10,808,020.0","11,005,264.0","11,020,523.0","11,225,453.0","11,231,484.0","11,292,816.0","11,244,941.0","11,324,047.0","11,297,962.0","11,333,188.0","11,431,869.0","11,492,594.0","11,545,151.0","11,544,840.0","11,589,505.0","11,682,682.0","11,868,868.0","11,973,002.0","12,063,663.0","12,150,239.0","12,238,909.0","12,340,327.0","12,462,568.0","12,510,194.0","12,602,562.0","12,662,167.0","12,823,584.0","12,866,498.0","12,867,496.0","12,957,914.0","12,996,166.0","13,094,970.0","13,202,204.0","13,266,206.0","13,240,165.0","13,283,262.0","13,193,794.0","13,011,351.0","12,793,726.0","12,771,329.0","12,845,068.0","13,020,652.0"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
