"","Table 5#10# Capital Transfers Paid and Received, by Sector and b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"44","26","    Financial corporations","W959RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","56.0","0.0","0.0","340.0","30.0","342.0","20.0","0.0","0.0","0.0","22.0","0.0","3,863.0","0.0","0.0","1,126.0","1,133.0","0.0","0.0","68,017.0"
"45","27","      Disaster-related insurance benefits","W960RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","56.0","0.0","0.0","340.0","30.0","342.0","20.0","0.0","0.0","0.0","22.0","0.0","3,863.0","0.0","0.0","1,126.0","1,133.0","0.0","0.0","352.0"
"46","28","      Other \2\","W961RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","67,665.0"
"47","29","    Nonfinancial corporations","W962RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8.0","18.0","24.0","29.0","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","77.0","125.0","139.0","194.0","157.0","223.0","241.0","198.0","161.0","164.0","243.0","276.0","202.0","199.0","38.0","8.0","4.0","0.0","0.0","0.0","1,184.0","0.0","0.0","6,955.0","602.0","3,258.0","444.0","0.0","0.0","0.0","878.0","0.0","12,532.0","9.0","89.0","6,657.0","15,519.0","21.0","33.0","3,214.0"
"48","30","      Disaster-related insurance benefits","W963RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,184.0","0.0","0.0","6,955.0","602.0","3,258.0","444.0","0.0","0.0","0.0","878.0","0.0","12,532.0","0.0","0.0","6,540.0","15,472.0","0.0","0.0","3,169.0"
"49","31","      Other \2,3\","W964RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8.0","18.0","24.0","29.0","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","77.0","125.0","139.0","194.0","157.0","223.0","241.0","198.0","161.0","164.0","243.0","276.0","202.0","199.0","38.0","8.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","89.0","117.0","47.0","21.0","33.0","45.0"
"50","32","    Noncorporate business","W965RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,651.0","0.0","1,027.0","8,642.0","1,133.0","7,060.0","1,207.0","0.0","0.0","0.0","750.0","0.0","3,191.0","0.0","0.0","13,903.0","38,658.0","0.0","0.0","8,523.0"
"51","33","      Disaster-related insurance benefits","W966RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,651.0","0.0","1,027.0","8,642.0","1,133.0","7,060.0","1,207.0","0.0","0.0","0.0","750.0","0.0","3,191.0","0.0","0.0","13,903.0","38,658.0","0.0","0.0","8,523.0"
"52","34","      Other","W967RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"53","35","  By government","W968RC1","225.0","242.0","223.0","167.0","178.0","224.0","354.0","497.0","589.0","647.0","601.0","581.0","674.0","698.0","657.0","753.0","860.0","961.0","1,139.0","1,334.0","1,287.0","1,267.0","1,382.0","1,545.0","1,708.0","1,748.0","1,966.0","2,395.0","3,075.0","3,998.0","4,878.0","4,765.0","5,240.0","5,579.0","6,383.0","7,288.0","7,562.0","8,190.0","8,153.0","9,969.0","10,406.0","9,894.0","11,591.0","12,631.0","12,404.0","13,965.0","15,861.0","17,604.0","20,244.0","18,922.0","21,712.0","25,113.0","24,674.0","24,461.0","23,733.0","26,037.0","28,352.0","29,989.0","29,537.0","30,734.0","32,298.0","36,587.0","36,805.0","38,180.0","41,113.0","45,031.0","47,298.0","51,329.0","55,785.0","61,046.0","68,570.0","71,860.0","79,152.0","77,694.0","73,438.0","76,598.0","81,227.0","85,239.0","85,547.0","89,950.0"
"54","36","    Federal","B232RC1","60.0","60.0","55.0","30.0","68.0","127.0","245.0","381.0","397.0","385.0","366.0","336.0","396.0","465.0","455.0","557.0","654.0","725.0","819.0","885.0","740.0","643.0","731.0","837.0","910.0","908.0","968.0","1,268.0","1,430.0","1,329.0","1,404.0","1,759.0","1,950.0","2,054.0","2,241.0","2,567.0","2,815.0","3,046.0","3,065.0","3,128.0","3,563.0","3,682.0","4,588.0","5,361.0","5,092.0","4,795.0","4,887.0","5,583.0","7,157.0","5,212.0","5,494.0","6,514.0","6,891.0","7,515.0","5,773.0","5,970.0","6,373.0","6,971.0","7,208.0","7,643.0","8,899.0","11,597.0","11,000.0","11,281.0","12,903.0","15,108.0","14,948.0","17,489.0","20,564.0","25,159.0","28,770.0","28,101.0","27,951.0","25,302.0","21,979.0","24,610.0","24,993.0","27,831.0","26,463.0","28,259.0"
"55","37","      Estate and gift taxes paid by persons","B232RC1","60.0","60.0","55.0","30.0","68.0","127.0","245.0","381.0","397.0","385.0","366.0","336.0","396.0","465.0","455.0","557.0","654.0","725.0","819.0","885.0","740.0","643.0","731.0","837.0","910.0","908.0","968.0","1,268.0","1,430.0","1,329.0","1,404.0","1,759.0","1,950.0","2,054.0","2,241.0","2,567.0","2,815.0","3,046.0","3,065.0","3,128.0","3,563.0","3,682.0","4,588.0","5,361.0","5,092.0","4,795.0","4,887.0","5,583.0","7,157.0","5,212.0","5,494.0","6,514.0","6,891.0","7,515.0","5,773.0","5,970.0","6,373.0","6,971.0","7,208.0","7,643.0","8,899.0","11,597.0","11,000.0","11,281.0","12,903.0","15,108.0","14,948.0","17,489.0","20,564.0","25,159.0","28,770.0","28,101.0","27,951.0","25,302.0","21,979.0","24,610.0","24,993.0","27,831.0","26,463.0","28,259.0"
"56","38","    State and local","W969RC1","165.0","182.0","168.0","137.0","110.0","97.0","109.0","116.0","192.0","262.0","235.0","245.0","278.0","233.0","202.0","196.0","206.0","236.0","320.0","449.0","547.0","624.0","651.0","708.0","798.0","840.0","998.0","1,127.0","1,645.0","2,669.0","3,474.0","3,006.0","3,290.0","3,525.0","4,142.0","4,721.0","4,747.0","5,144.0","5,088.0","6,841.0","6,843.0","6,212.0","7,003.0","7,270.0","7,312.0","9,170.0","10,974.0","12,021.0","13,087.0","13,710.0","16,218.0","18,599.0","17,783.0","16,946.0","17,960.0","20,067.0","21,979.0","23,018.0","22,329.0","23,091.0","23,399.0","24,990.0","25,805.0","26,899.0","28,210.0","29,923.0","32,350.0","33,840.0","35,221.0","35,887.0","39,800.0","43,759.0","51,201.0","52,392.0","51,459.0","51,988.0","56,234.0","57,408.0","59,084.0","61,691.0"
"57","39","      Disaster-related insurance benefits","W970RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,725.0","0.0","0.0","0.0","2,050.0","0.0","0.0","0.0"
"58","40","      Estate and gift taxes paid by persons","S210201","165.0","182.0","168.0","137.0","110.0","97.0","109.0","116.0","129.0","137.0","122.0","115.0","116.0","111.0","111.0","125.0","141.0","153.0","177.0","183.0","175.0","182.0","209.0","218.0","238.0","255.0","285.0","336.0","357.0","366.0","401.0","483.0","559.0","584.0","644.0","738.0","793.0","840.0","913.0","960.0","1,062.0","1,082.0","1,209.0","1,443.0","1,509.0","1,503.0","1,561.0","1,653.0","2,119.0","1,977.0","2,047.0","2,264.0","2,371.0","2,588.0","2,517.0","2,390.0","2,561.0","3,048.0","3,368.0","3,471.0","3,536.0","4,158.0","4,597.0","4,514.0","4,734.0","5,120.0","5,091.0","5,621.0","6,410.0","7,234.0","7,935.0","7,539.0","7,746.0","7,346.0","5,989.0","5,644.0","5,292.0","5,278.0","5,366.0","5,629.0"
"59","41","      Investment grants paid by federal government \1\","AD11RC1",".....",".....",".....",".....",".....",".....",".....",".....","63.0","125.0","113.0","130.0","162.0","122.0","91.0","71.0","65.0","83.0","143.0","266.0","372.0","442.0","442.0","490.0","560.0","585.0","713.0","791.0","1,288.0","2,303.0","3,073.0","2,523.0","2,731.0","2,941.0","3,498.0","3,983.0","3,954.0","4,304.0","4,175.0","5,881.0","5,781.0","5,130.0","5,794.0","5,827.0","5,803.0","7,667.0","9,413.0","10,368.0","10,968.0","11,733.0","14,171.0","16,335.0","15,412.0","14,358.0","15,443.0","17,677.0","19,418.0","19,970.0","18,961.0","19,620.0","19,863.0","20,832.0","21,208.0","22,385.0","23,476.0","24,803.0","27,259.0","28,219.0","28,811.0","28,653.0","31,865.0","36,220.0","41,730.0","45,046.0","45,470.0","46,344.0","48,892.0","52,130.0","53,718.0","56,062.0"
"60","42","  By persons","W971RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","359.0","0.0","257.0","3,298.0","313.0","1,850.0","279.0","0.0","0.0","0.0","100.0","0.0","3,481.0","3,592.0","14,842.0","20,018.0","26,610.0","16,359.0","28,695.0","36,816.0"
"61","43","    Disaster-related insurance benefits","W972RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","359.0","0.0","257.0","3,298.0","313.0","1,850.0","279.0","0.0","0.0","0.0","100.0","0.0","3,481.0","0.0","0.0","3,893.0","10,667.0","0.0","0.0","2,476.0"
"62","44","    Other \4\","W027RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,592.0","14,842.0","16,125.0","15,943.0","16,359.0","28,695.0","34,340.0"
"63","45","  By the rest of the world","W973RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0","5.0","16.0","30.0","37.0","36.0","57.0","51.0","64.0","87.0","108.0","128.0","122.0","113.0","101.0","98.0","143.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","228.0","828.0","1,244.0","641.0","201.0","403.0","245.0","4,479.0","370.0","283.0","552.0","2,188.0","913.0","2,604.0","1,988.0","386.0","689.0"
"64","46","    Capital transfers paid by U.S. government \5\","AD10RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0","5.0","16.0","30.0","37.0","36.0","57.0","51.0","64.0","87.0","108.0","128.0","122.0","113.0","101.0","98.0","143.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","228.0","828.0","1,244.0","641.0","201.0","403.0","245.0","4,479.0","370.0","283.0","552.0","2,188.0","913.0","2,604.0","1,988.0","386.0","689.0"
"65","47","    Other","W974RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"66",NA,"Addenda: Net capital transfers paid by sector"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","48","  By private business (2-25)","W975RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-8.0","-18.0","-24.0","-29.0","-49.0","-93.0","-123.0","-126.0","-88.0","-81.0","-81.0","-83.0","-85.0","-112.0","-77.0","-125.0","-139.0","-194.0","-157.0","-223.0","-241.0","-198.0","-161.0","-164.0","-243.0","-276.0","-202.0","-199.0","-38.0","-8.0","-4.0","0.0","0.0","0.0","359.0","0.0","257.0","1,763.0","313.0","1,850.0","279.0","0.0","0.0","0.0","100.0","0.0","-7,986.0","-9.0","-89.0","-4,378.0","-26,452.0","-21.0","-33.0","-71,796.0"
"68","49","    Corporate business (3+6-26-29)","W976RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-8.0","-18.0","-24.0","-29.0","-49.0","-93.0","-123.0","-126.0","-88.0","-81.0","-81.0","-83.0","-85.0","-112.0","-77.0","-125.0","-139.0","-194.0","-157.0","-223.0","-241.0","-198.0","-161.0","-164.0","-243.0","-276.0","-202.0","-199.0","-38.0","-8.0","-4.0","0.0","0.0","0.0","2,010.0","0.0","1,284.0","10,404.0","1,446.0","8,910.0","1,486.0","0.0","0.0","0.0","850.0","0.0","-4,795.0","-9.0","-89.0","9,524.0","12,206.0","-21.0","-33.0","-63,273.0"
"69","50","    Noncorporate business (7-32)","W977RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,651.0","0.0","-1,027.0","-8,642.0","-1,133.0","-7,060.0","-1,207.0","0.0","0.0","0.0","-750.0","0.0","-3,191.0","0.0","0.0","-13,903.0","-38,658.0","0.0","0.0","-8,523.0"
"70","51","  By government (8-35)","W978RC1","-225.0","-242.0","-223.0","-167.0","-178.0","-224.0","-354.0","-497.0","-526.0","-522.0","-488.0","-451.0","-512.0","-576.0","-566.0","-682.0","-795.0","-878.0","-996.0","-1,068.0","-915.0","-825.0","-940.0","-1,055.0","-1,148.0","-1,163.0","-1,245.0","-1,586.0","-1,763.0","-1,666.0","-1,756.0","-2,149.0","-2,386.0","-2,512.0","-2,797.0","-3,224.0","-3,527.0","-3,803.0","-3,893.0","-3,976.0","-4,546.0","-4,634.0","-5,642.0","-6,580.0","-6,407.0","-6,039.0","-6,150.0","-6,987.0","-9,051.0","-6,938.0","-7,190.0","-8,374.0","-8,938.0","-9,791.0","-8,151.0","-8,254.0","-8,787.0","-9,908.0","-10,438.0","-10,980.0","-12,087.0","-8,382.0","-10,298.0","-15,567.0","-16,809.0","-18,984.0","-19,398.0","-22,909.0","-26,571.0","-32,148.0","-32,226.0","-35,270.0","-37,139.0","-28,495.0","-10,849.0","-8,635.0","10,000.0","-14,741.0","-2,715.0","71,651.0"
"71","52","    Federal (9-36)","W979RC1","-60.0","-60.0","-55.0","-30.0","-68.0","-127.0","-245.0","-381.0","-334.0","-260.0","-253.0","-206.0","-234.0","-343.0","-364.0","-486.0","-589.0","-642.0","-676.0","-619.0","-368.0","-201.0","-289.0","-347.0","-350.0","-323.0","-247.0","-459.0","-118.0","1,003.0","1,718.0","857.0","904.0","1,013.0","1,345.0","1,497.0","1,220.0","1,341.0","1,195.0","2,865.0","2,297.0","1,578.0","1,361.0","690.0","905.0","3,131.0","4,824.0","5,034.0","4,036.0","6,772.0","9,028.0","10,225.0","8,845.0","7,155.0","9,809.0","11,813.0","13,192.0","13,110.0","11,891.0","12,111.0","11,312.0","16,608.0","15,507.0","11,332.0","11,401.0","10,939.0","12,952.0","10,931.0","8,650.0","3,739.0","7,574.0","8,489.0","14,062.0","23,897.0","40,610.0","38,889.0","59,793.0","42,667.0","56,369.0","133,342.0"
"72","53","    State and local (16-38)","W980RC1","-165.0","-182.0","-168.0","-137.0","-110.0","-97.0","-109.0","-116.0","-192.0","-262.0","-235.0","-245.0","-278.0","-233.0","-202.0","-196.0","-206.0","-236.0","-320.0","-449.0","-547.0","-624.0","-651.0","-708.0","-798.0","-840.0","-998.0","-1,127.0","-1,645.0","-2,669.0","-3,474.0","-3,006.0","-3,290.0","-3,525.0","-4,142.0","-4,721.0","-4,747.0","-5,144.0","-5,088.0","-6,841.0","-6,843.0","-6,212.0","-7,003.0","-7,270.0","-7,312.0","-9,170.0","-10,974.0","-12,021.0","-13,087.0","-13,710.0","-16,218.0","-18,599.0","-17,783.0","-16,946.0","-17,960.0","-20,067.0","-21,979.0","-23,018.0","-22,329.0","-23,091.0","-23,399.0","-24,990.0","-25,805.0","-26,899.0","-28,210.0","-29,923.0","-32,350.0","-33,840.0","-35,221.0","-35,887.0","-39,800.0","-43,759.0","-51,201.0","-52,392.0","-51,459.0","-47,524.0","-49,793.0","-57,408.0","-59,084.0","-61,691.0"
"73","54","  By persons (18-42)","W981RC1","225.0","242.0","223.0","167.0","178.0","224.0","354.0","497.0","526.0","522.0","488.0","451.0","512.0","576.0","566.0","682.0","795.0","878.0","996.0","1,068.0","915.0","825.0","940.0","1,055.0","1,148.0","1,163.0","1,253.0","1,604.0","1,787.0","1,695.0","1,805.0","2,242.0","2,509.0","2,638.0","2,885.0","3,305.0","3,608.0","3,886.0","3,978.0","4,088.0","4,625.0","4,764.0","5,797.0","6,804.0","6,601.0","6,298.0","6,448.0","7,236.0","9,276.0","7,189.0","7,541.0","8,778.0","9,262.0","10,103.0","8,290.0","8,360.0","8,934.0","10,019.0","10,576.0","11,114.0","12,076.0","15,755.0","15,340.0","12,497.0","17,324.0","18,378.0","19,760.0","23,110.0","26,974.0","32,393.0","36,605.0","35,640.0","32,216.0","29,056.0","13,126.0","10,236.0","3,675.0","16,750.0","3,134.0","-2,928.0"
"74","55","  By the rest of the world (21-45)","W982RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-2.0","-5.0","-16.0","-30.0","-37.0","-36.0","-57.0","-51.0","-64.0","-87.0","-108.0","-128.0","-122.0","-113.0","-101.0","-98.0","-143.0","-111.0","-138.0","-134.0","-348.0","-7,373.0","-5,299.0","1,307.0","-828.0","-1,244.0","-641.0","-201.0","-403.0","-245.0","-4,479.0","-370.0","12,909.0","-552.0","-2,188.0","2,778.0","12,776.0","-1,988.0","-386.0","3,073.0"
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","1. Consists of federal government investment grants for highways, transit, air and water transportation,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","and water treatment plants.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2. Consists of the implied subsidy cost of government acquisition of assets such as shares of preferred",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","stock or warrants from private business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","3. Consists of maritime construction subsidies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","4. Beginning with October 2002, consists of payments to the Uniformed Services Retiree Health Care Fund",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","to amortize the unfunded liability.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","5. Consists of forgiveness of debts owed by foreign governments to the U.S. government, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
