"","Table 8#20# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"60","53","  From life insurance carriers","B1612C","1.1","1.3","1.3","1.4","1.6","1.7","1.8","2.0","2.2","2.4","2.7","3.0","3.3","3.5",3.9,4.3,4.7,5.1,5.5,5.9,6.3,6.8,7.2,8.1,8.6,9.4,10,11.2,12.9,14.7,16.3,18.9,22.8,26.5,31.6,32.1,30.6,41,47.3,61.6,67.5,82.8,90.1,102.3,109,114.8,118.7,127.2,118.6,140.9,142.3,166,171.7,180.2,198.9,201.3
"61","54","Government","A2079C","0.4","0.2","0.2","0.2","0.3","0.3","0.4","0.4","0.5","0.5","0.6","0.6","0.7","0.7",0.8,0.8,0.9,0.9,1,1,1.1,1.2,1.3,1.6,1.9,2.1,2.2,2.4,2.4,2.2,2.1,2.5,2.8,2.7,2.8,2.7,3.3,3.5,4,4.8,5.6,6.2,5.7,6,6.4,7.2,7.3,7.3,7.8,9,9.6,10.6,9.6,10.5,11.9,11.1
"62","55","  Federal","B1148C","0.2","0.0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.1","0.2","0.2",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.7,0.8,0.7,0.4,0.4,0.5,0.6,0.3,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.7,0.9,1.1,1,1.1,1.1,1.2,1.3,1.5,1.4,1.4,1.4,1.4
"63","56","  State and local","B1149C","0.1","0.1","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.5",0.6,0.6,0.6,0.6,0.7,0.7,0.9,0.9,1,1.2,1.4,1.4,1.5,1.6,1.7,1.8,1.7,1.9,2.2,2.4,2.5,2.3,2.9,3,3.5,4.2,5,5.6,5.1,5.2,5.5,6.1,6.3,6.2,6.7,7.8,8.2,9.1,8.2,9.1,10.5,9.7
"64","57","Rest of the world","B1607C","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.5,0.6,0.8,1.2,1.5,1.4,1.5,1.8,2.1,2.4,2.3,2.9,4.2,4.9,6.1,6.6,8.1,8.6,8.5,9.2,10,10.9,11.9,13.3,14.5,15.5,17.3,18.5,16,21.1,18.3
"65",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","58","  Net interest (59+63)","B060RC","1.8","2.4","2.4","2.6","3.0","3.5","3.8","4.4","5.3","6.0","6.6","7.7","9.4","9.7",10.7,12.4,14.1,15.2,17.3,19.7,22.6,25.4,27.2,32.2,38.4,42.6,46.2,53.9,68.8,76.6,80.8,95.7,114.5,144.2,183.9,226.5,256.3,267.2,309.6,326.7,343.6,361.5,389.4,443.1,452.4,429.8,399.5,374.3,380.5,389.8,386.3,423.9,511.9,526.6,611.5,649.8
"67","59","    Domestic business (2+39-23-43)","A1626C","1.7","2.2","2.3","2.5","2.8","3.2","3.6","4.2","5.0","5.7","6.4","7.5","9.1","9.5",10.5,12,13.6,14.7,16.8,19,22,24.7,26.7,32.6,39.2,42.8,47,56.1,70.5,77.9,80.2,94.1,115.1,145.8,184,221.3,252.4,265.7,311,339.5,366.1,394.5,426.8,485.6,493.9,476.7,441.4,423,436.5,457,464.5,522.6,612.5,618.4,725.5,772.5
"68","60","      Corporate (3+39-24-44)","A453RC","-0.2","0.0","-0.3","-0.3","-0.4","-0.5","-0.6","-0.4","-0.2","-0.3","-0.4","-0.4","0.2","-0.5",-0.5,-0.1,0.1,-0.1,0.1,0.6,1.6,3,2.8,6,9.2,8.8,8.2,10,16.2,17,11.5,14.5,20.9,32,48.7,62,69.4,66.4,80.5,83.4,85.6,107,112.5,137.4,134.3,114.8,90.1,84.4,92.9,92.4,92.8,130.8,182,174.7,239.7,236.3
"69","61","      Sole proprietorships and partnerships (8-27-47)","B1649C","0.3","0.4","0.4","0.5","0.6","0.7","0.7","0.7","0.8","0.8","0.9","1.0","1.2","1.2",1.2,1.4,1.6,1.9,2.4,2.8,3.3,3.6,4,4.9,6,7.3,8.5,11.3,14.2,16.2,18.2,20.7,23.7,29.3,35.4,43.7,51.1,54.7,67.7,73.2,78.5,70.1,81,95.1,90.5,84.5,74.8,70.4,75.9,76.4,74.9,79.6,104.2,96.9,104.5,131.8
"70","62","      Other private business (11-28-50)","B1657C","1.6","1.8","2.1","2.3","2.7","3.1","3.5","3.9","4.5","5.2","5.9","6.9","7.8","8.9",9.8,10.7,11.9,12.9,14.3,15.7,17,18.1,19.9,21.8,23.9,26.7,30.3,34.7,40.2,44.8,50.4,58.9,70.6,84.5,99.8,115.6,131.9,144.6,162.8,182.9,202,217.3,233.3,253.1,269.1,277.4,276.5,268.2,267.8,288.2,296.8,312.2,326.3,346.8,381.3,404.4
"71","63","    Rest of the world (19-35-57)","A1627C1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.2","0.2","0.3","0.2",0.2,0.4,0.5,0.5,0.6,0.7,0.6,0.7,0.5,-0.5,-0.7,-0.2,-0.8,-2.2,-1.7,-1.4,0.6,1.6,-0.7,-1.6,-0.1,5.2,3.9,1.6,-1.4,-12.8,-22.5,-33,-37.4,-42.6,-41.4,-46.9,-42,-48.7,-56,-67.2,-78.2,-98.8,-100.7,-91.7,-114.1,-122.6
"72","64","  Net interest paid by government (16-32-54)","A085RC","4.3","4.4","4.5","4.6","4.7","4.8","4.9","5.0","5.2","5.2","5.7","6.2","6.0","7.1",7.9,7.5,8.2,8.9,9.6,10,10.7,11.5,13.1,14.5,16.2,17,18.4,21.2,23.1,26.9,33.1,35.5,39.3,44.8,53.2,71.6,86.6,99.4,120.7,136.5,145.1,156.7,168.3,187,204.3,223.1,232,235.8,244,268,274.4,275.3,278.8,263.1,260.1,236
"73","65","  Interest paid by persons (15)","B069RC","0.7","1.1","1.4","1.8","2.3","2.5","2.9","3.6","3.8","4.4","5.1","5.5","5.6","6.1",7,7.3,7.8,8.9,10,11.1,12,12.5,13.8,15.7,16.8,17.8,19.6,22.4,24.2,24.5,26.6,30.7,37.5,44.5,49.4,54.6,58.8,65,75,83.2,90.6,91.5,92.9,106.4,115.8,118.9,118.7,115.4,117.9,134.7,149.9,164.8,173.7,179.5,205.4,205.4
"74","66","  Personal interest income (58+64+65) or (29+51)","A064RC","6.8","7.8","8.3","9.0","10.0","10.8","11.5","13.0","14.3","15.6","17.4","19.4","21.0","23.0",25.6,27.3,30.2,33,36.9,40.8,45.3,49.4,54.1,62.3,71.5,77.5,84.2,97.6,116.1,128,140.5,161.9,191.3,233.5,286.4,352.7,401.6,431.6,505.3,546.4,579.2,609.7,650.5,736.5,772.4,771.8,750.1,725.5,742.4,792.5,810.6,864,964.4,969.2,1077,1091.3
"75"," 1. Excludes interest paid or received by government enterprises, which is included in the government sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76"," 2. Consists of interest paid on the deposit liabilities of commercial and mutual savings banks, savings and loan associations, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,"and credit unions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78"," 3. Interest received by nonfinancial sole proprietorships and partnerships is considered interest received by persons and is ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,"included in line 29.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","  Note.  In this table, imputed interest paid (line 38) is the difference between the property income received by financial ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,"intermediaries from the investment of depositors' or beneficiaries' funds and the interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,"paid by them to business, persons, governments, and the rest of the world.  In table 8.21, imputed interest (line 155)--the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,"interest component of imputations that affect gross national product--consists of the imputed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,"interest paid by financial intermediaries other than life insurance carriers to persons and government and of the interest paid ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,"on owner-occupied housing and on buildings and equipment owned and used by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,"nonprofit institutions serving individuals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
