"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"39","31","        Information processing equipment and software","A679RA3",0.147,0.139,0.145,0.142,0.15,0.144,0.141,0.154,0.146,0.132,0.125,0.123,0.127,0.146,0.149,0.16,0.148,0.157,0.167,0.169,0.178,0.198,0.172,0.19,0.202,0.204,0.214,0.193,0.189,0.178,0.182,0.183,0.177,0.196,0.227,0.241,0.226,0.255,0.243,0.249,0.254,0.277,0.3,0.271,0.253,0.237,0.243,0.252,0.256,0.26,0.266,0.294,0.311,0.333,0.327,0.35,0.331,0.364,0.37,0.381,0.408,0.4,0.392,0.407,0.437,0.469,0.495,0.504,0.53,0.538,0.539,0.577,0.588,0.628,0.664,0.713,0.773,0.834,0.883,0.927,0.904,0.913,0.896,0.951,0.97,0.96,0.987,0.983,1.06
"40","32","          Computers and peripheral equipment","B935RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006
"41","33","          Software \4\","B985RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.002,0.003,0.009,0.023,0.036,0.046,0.051,0.049,0.05,0.052,0.057,0.06,0.065,0.073,0.089,0.107,0.135,0.162,0.18,0.184,0.184,0.18,0.176,0.195,0.215,0.244,0.276,0.307,0.341,0.375,0.412,0.419,0.423,0.416,0.426,0.442,0.462,0.482,0.505,0.541
"42","34","          Other","A937RA3",2.17,2.041,2.13,2.091,2.216,2.116,2.07,2.263,2.144,1.948,1.843,1.807,1.877,2.151,2.19,2.353,2.186,2.311,2.455,2.488,2.621,2.911,2.535,2.801,2.975,3.01,3.144,2.835,2.777,2.624,2.677,2.695,2.606,2.889,3.342,3.544,3.331,3.759,3.579,3.664,3.735,4.083,4.42,3.988,3.732,3.488,3.572,3.702,3.771,3.837,3.908,4.257,4.364,4.625,4.446,4.697,4.434,4.896,4.888,5.027,5.361,5.226,4.98,4.964,5.117,5.299,5.441,5.437,5.652,5.74,5.722,6.151,6.156,6.454,6.756,6.951,7.401,7.724,7.886,7.985,7.722,7.759,7.623,8.04,8.174,7.892,7.994,7.899,8.489
"43","35","        Industrial equipment","A680RA3",31.023,28.852,29.063,26.273,28.525,26.747,24.855,26.448,24.125,20.579,19.178,18.24,19.726,23.495,24.001,27.641,23.905,26.023,28.705,27.878,28.2,30.267,25.751,26.478,28.898,30.216,31.262,31.536,30.895,30.831,32.897,31.052,28.521,30.15,31.819,34.226,32.945,33.555,36.11,35.094,35.178,35.042,35.299,33.913,30.864,29.012,27.669,28.657,29.484,28.83,28.926,30.719,31.361,33.678,31.624,30.524,28.571,29.695,29.927,32.203,32.308,32.646,31.334,30.293,31.987,33.554,35.101,36.097,36.774,36.873,38.817,42.079,42.637,44.487,47.076,47.998,49.608,52.674,53.368,53.882,54.388,53.297,50.779,51.904,52.718,51.302,50.565,51.611,53.472
"44","36","        Transportation equipment","A681RA3",15.212,15.561,14.741,16.814,17.498,16.164,15.98,15.226,15.624,16.213,16.215,16.446,15.674,16.497,20.552,18.674,18.603,17.498,16.875,15.603,15.552,14.251,11.884,14.932,16.241,16.801,17.201,17.13,15.51,14.093,14.448,14.945,17.032,18.896,20.084,19.08,17.427,17.022,15.976,17.046,17.614,17.577,18.756,18.159,14.297,12.52,11.986,13.783,15.953,17.669,19.148,16.918,19.106,18.239,18.23,16.212,15.578,16.241,16.954,19.086,19.772,20.64,21.586,21.668,20.295,19.286,19.987,21.424,22.008,22.848,24.494,22.28,27.983,27.805,28.916,30.086,32.167,32.091,30.961,31.02,28.815,30.041,31.323,31.887,36.273,34.763,36.776,38.963,39.836
"45","37","        Other equipment","A862RA3",18.08,18.121,16.519,19.558,22.392,20.88,21.731,23.214,20.238,19.397,17.412,17.211,18.021,20.056,21.115,19.317,19.681,19.281,19.176,20.749,20.553,20.912,18.064,20.174,20.9,18.962,19.715,18.244,16.976,17.89,18.941,19.456,19.502,21.297,21.951,23.282,22.91,21.868,22.584,21.421,21.868,20.607,20.787,20.599,20.046,20.984,21.961,22.056,22.321,22.732,23.033,23.256,22.033,21.848,20.086,19.905,20.546,21.112,20.794,20.566,20.782,22.041,22.578,23.175,24.25,25.157,26.275,27.289,27.506,28.204,28.181,30.159,30.76,30.208,32.222,33.522,35.014,35.619,35.726,36.126,33.267,34.026,33.075,34.227,33.117,33.094,34.092,35.968,36.858
"46","38","    Residential","B011RA3",14.61,13.883,16.011,19.105,18.877,19.979,19.342,17.91,16.564,16.277,17.672,19.843,22.094,24.236,25.569,24.364,23.07,19.963,18.689,18.862,19.355,19.712,19.514,20.562,20.882,20.941,20.147,19.974,20.183,21.497,22.809,24.246,26.046,26.431,25.867,24.769,24.115,23.972,23.501,23.133,22.802,22.252,21.952,21.92,21.053,21.105,22.644,25.057,27.908,28.899,28.353,27.526,28.316,25.987,25.199,25.165,25.263,25.354,26.723,27.62,28.118,28.997,28.973,28.935,29.98,32.137,32.732,33.728,35.795,33.993,33.437,32.827,32.942,33.199,33.329,32.608,33.348,30.673,29.676,26.563,25.764,28.693,30.131,31.886,32.081,32.892,33.482,33.9,35.12
"47","39","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","40","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","41","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","  Exports","B020RA3",6.537,6.455,6.127,5.433,5.185,4.7,4.811,4.641,5.197,5.152,4.722,4.087,4.02,4.069,4.174,4.512,4.738,5.204,5.332,5.282,5.563,4.951,4.561,4.592,4.514,4.542,4.724,4.569,4.364,4.991,4.83,5.053,5.24,5.118,5.454,5.479,5.739,6.125,6.329,6.613,7.044,6.836,6.644,6.445,5.805,5.833,5.852,5.833,6.219,6.426,6.63,6.453,7.261,7.722,7.527,7.683,7.631,7.525,7.484,7.715,7.696,8.435,7.963,7.791,7.974,8.907,8.431,8.854,9.397,9.552,9.478,9.761,8.708,10.343,9.75,10.457,10.273,10.724,10.321,10.661,10.867,10.768,10.506,10.805,11.119,11.341,12.007,11.854,10.432
"52","44","    Goods","B253RA3",7.024,6.828,6.451,5.653,5.419,4.875,5,4.801,5.433,5.355,4.928,4.254,4.12,4.167,4.306,4.663,4.853,5.336,5.461,5.363,5.662,4.972,4.612,4.683,4.515,4.595,4.822,4.648,4.384,5.169,4.905,5.175,5.378,5.209,5.548,5.564,5.864,6.272,6.508,6.801,7.274,7.038,6.796,6.352,5.867,5.806,5.845,5.777,5.46,5.616,6.171,5.885,6.824,7.156,7.282,7.294,7.342,6.839,7.195,7.324,7.235,7.706,7.72,7.317,7.343,8.105,8.247,8.637,9.027,9.017,9.264,9.452,8.062,9.574,9.271,10.048,9.938,9.769,9.802,10.013,9.974,9.955,9.805,9.973,10.308,10.458,11.181,10.906,9.439
"53","45","    Services","B646RA3",4.12,4.469,4.371,4.171,3.875,3.68,3.716,3.683,3.882,3.977,3.567,3.134,3.324,3.373,3.348,3.586,3.934,4.295,4.423,4.575,4.758,4.501,4.019,3.896,4.161,3.993,3.997,3.922,3.949,3.944,4.18,4.209,4.328,4.385,4.685,4.739,4.829,5.107,5.176,5.405,5.651,5.562,5.573,6.284,5.129,5.476,5.421,5.589,8.605,8.967,7.822,8.065,8.334,9.241,7.874,8.551,8.124,9.516,7.985,8.583,8.825,10.478,8.298,8.963,9.692,11.178,8.518,9.031,10.082,10.816,9.61,10.21,10.441,12.405,10.805,11.209,10.769,13.441,11.47,12.262,13.364,12.972,12.316,13.076,13.291,13.76,14.175,14.473,13.303
"54","46","  Imports","B021RA3",2.516,2.565,2.274,2.397,2.703,2.81,2.957,2.909,2.822,2.781,2.667,2.707,2.783,2.937,3.624,3.631,3.631,3.511,3.213,3.129,3.492,3.474,3.687,4.017,3.918,4.122,4.106,3.904,3.678,4.009,3.767,3.803,4.028,4.256,4.328,4.485,4.673,4.649,4.689,4.474,4.83,4.867,4.774,4.79,4.861,5.069,4.992,5.253,5.389,5.649,5.703,5.558,5.768,5.812,5.641,5.375,5.348,5.414,5.772,5.909,6.089,6.222,6.301,6.378,6.23,6.377,6.539,6.518,6.511,6.658,6.837,7.022,6.769,7.568,7.599,7.97,8.175,8.378,8.848,8.947,9.088,9.015,9.133,9.615,10.182,10.337,10.958,10.866,9.841
"55","47","    Goods","B255RA3",2.276,2.328,2.015,2.042,2.386,2.48,2.533,2.525,2.457,2.378,2.312,2.388,2.441,2.589,3.338,3.278,3.219,3.077,2.658,2.462,2.79,2.819,2.921,3.116,3.06,3.237,3.143,2.879,2.769,3.045,2.792,2.772,3.07,3.1,3.109,3.423,3.561,3.441,3.402,3.433,3.51,3.557,3.499,3.672,3.514,3.587,3.629,3.908,4.122,4.379,4.419,4.259,4.347,4.408,4.171,3.972,3.93,3.997,4.42,4.527,4.691,4.838,4.925,4.917,4.852,5.018,5.149,5.136,5.096,5.271,5.469,5.651,5.391,6.239,6.295,6.604,6.777,6.882,7.325,7.411,7.436,7.22,7.278,7.955,8.593,8.804,9.412,9.257,8.066
"56","48","    Services","B656RA3",3.768,3.8,3.651,4.33,4.39,4.57,5.248,4.971,4.771,4.948,4.579,4.417,4.629,4.801,5.036,5.44,5.809,5.826,6.467,7.221,7.745,7.397,8.338,9.548,9.168,9.515,10.037,10.302,9.32,9.968,9.863,10.29,9.941,11.523,12.027,11.031,11.534,12.196,12.799,10.868,13.139,13.097,12.769,11.67,13.33,14.43,13.571,13.685,13.257,13.485,13.602,13.586,14.614,14.533,14.841,14.152,14.229,14.271,14.161,14.488,14.761,14.796,14.822,15.436,14.766,14.792,15.144,15.07,15.285,15.243,15.294,15.489,15.281,15.775,15.653,16.407,16.814,17.625,18.26,18.434,19.289,20.09,20.573,19.874,20.02,19.841,20.557,20.843,20.807
"57","49","Government consumption expenditures and gross investment","B822RA3",17.184,17.293,17.451,17.193,17.534,18.378,18.735,19.523,20.081,20.99,21.201,20.75,20.403,20.737,20.339,21.635,23.948,27.241,30.332,32.023,33.015,34.134,34.472,35.09,36.281,37.079,36.631,36.517,35.54,34.282,33.455,33.252,33.212,32.882,33.082,32.365,32.347,33.025,32.713,33.563,34.252,34.039,34.3,34.925,34.535,35.4,35.621,36.381,36.145,36.696,37.158,36.753,36.029,36.322,37.197,37.456,37.946,38.037,38.783,39.635,40.336,40.555,41.478,41.538,41.285,41.233,43.001,42.61,42.768,43.045,43.071,42.947,42.843,43.396,44.897,45.862,46.687,47.514,48.8,49.594,51.699,51.418,51.953,52.307,53.22,53.466,53.578,53.622,53.674
"58","50","  Federal","B823RA3",25.544,25.597,25.611,24.718,25.559,27.116,27.669,29.169,29.756,30.874,30.534,29.021,27.64,28.254,27.251,30.451,36.413,44.208,51.849,56.15,58.6,60.92,62.487,63.469,65.942,68.018,66.162,65.201,61.731,58.425,55.519,54.873,53.552,52.337,52.889,50.91,50.53,51.855,50.911,52.735,53.672,52.858,53.05,53.793,51.864,53.53,53.321,54.566,53.666,54.95,56.085,55.268,52.782,52.58,54.212,54.41,54.339,54.847,56.387,57.381,59.488,59.733,61.53,61.199,59.714,59.161,62.445,60.783,60.473,60.07,59.598,58.76,58.02,58.132,60.48,62.158,63.579,65.262,67.904,68.469,73.163,72.103,73.249,73.097,74.368,73.771,73.136,72.689,72.285
"59","51","    National defense","B824RA3",31.436,29.376,30.894,31.105,31.023,30.767,30.306,31.82,32.659,33.252,33.158,31.069,29.815,30.075,32.052,36.49,46.253,57.332,69.12,75.329,77.918,82.119,84.015,85.514,88.146,88.851,87.687,86,80.234,76.861,72.895,70.391,70.015,67.475,68.187,65.896,65.645,67.397,67.18,69.335,69.727,70.307,70.885,70.028,69.252,69.937,69.907,70.429,68.471,67.637,69.36,68.473,67.262,66.276,68.396,67.605,69.396,68.962,70.943,72.173,74.862,74.047,75.231,74.353,72.589,71.841,74.401,72.52,71.463,70.08,69.847,68.412,66.894,66.584,68.92,71.525,74.143,75.702,80.666,82.713,87.664,87.721,89.921,88.963,91.161,91.079,89.282,88.483,87.542
"60","52","      Consumption expenditures","B997RA3",40.066,37.39,38.05,38.023,37,36.355,36.012,37.349,37.465,37.33,37.008,35.024,35.139,35.492,37.151,42.311,51.073,60.6,70.54,73.179,77.403,82.58,84.284,85.845,86.805,86.065,85.549,86.543,78.268,76.064,74.384,71.846,72.254,67.729,71.156,69.848,68.738,71.445,69.006,72.486,74.052,75.889,75.81,75.07,73.98,74.769,72.628,72.806,66.796,67.126,68.872,69.076,68.104,68.154,69.638,69.245,69.126,69.378,70.992,72.465,74.946,74.884,75.79,75.758,75.499,75.246,77.072,76.854,75.476,74.361,74.357,72.531,71.751,72.427,74.785,78.781,80.005,83.401,87.214,89.143,94.478,96.033,96.967,96.957,100.917,101.234,99.278,99.425,96.214
"61","53","      Gross investment","B788RA3",4.413,4.308,8.599,9.532,12.259,13.178,12.386,14.349,17.284,20.032,20.649,18.327,13.041,13.041,15.891,18.054,30.148,45.016,61.246,76.839,74.749,76.005,78.266,79.502,86.631,91.354,88.459,79.288,81.072,74.511,64.204,61.922,59.283,62.758,55.354,50.313,52.637,51.561,57.739,55.994,53.012,49.977,52.357,51.22,51.391,51.712,57.819,59.252,68.948,64.787,66.297,62.394,60.597,56.744,60.536,58.639,65.809,63.417,66.319,66.78,69.909,66.968,68.88,65.621,59.594,57.436,61.966,55.277,55.237,53.119,52.207,52.062,48.358,45.019,47.158,45.206,52.157,47.762,56.169,58.515,62.028,57.245,63.488,59.471,55.758,54.353,53.136,49.145,55.818
"62","54","    Nondefense","B825RA3",13.977,18.864,15.864,12.865,15.421,20.669,23.35,24.89,24.988,27.223,26.389,26.008,24.348,25.669,18.579,19.298,17.63,19.115,18.678,19.293,21.497,20.147,21.073,21.064,23.251,27.937,24.776,25.207,26.162,22.967,22.101,25.092,21.918,23.265,23.517,22.124,21.481,21.994,19.532,20.745,22.844,19.104,18.53,22.595,18.276,21.963,21.37,24.069,25.209,30.684,30.675,29.984,24.925,26.29,26.983,29.123,25.41,27.746,28.434,28.977,29.969,32.266,35.273,36.001,35.047,34.87,39.556,38.309,39.44,40.91,39.991,40.29,41.029,41.944,44.321,44.216,43.347,45.264,43.469,41.198,45.384,42.201,41.337,42.729,42.237,40.671,42.232,42.448,43.058
"63","55","      Consumption expenditures","B542RA3",13.505,19.967,18.608,14.406,15.612,23.514,26.878,27.414,28.569,31.521,27.687,26.115,25.65,26.413,16.388,19.904,17.499,18.983,19.469,17.813,21.846,20.686,22.156,21.962,25.717,31.553,27.585,28.107,30.091,24.757,24.733,29.04,25.091,27.346,28.241,25.988,24.928,24.942,21.034,22.756,25.599,20.484,19.537,25.114,18.459,23.612,22.567,26.006,27.638,34.592,34.911,33.967,27.069,28.115,28.846,30.934,25.574,28.988,29.538,29.689,30.953,33.457,37.024,37.213,36.154,35.374,40.614,38.842,39.792,41.976,40.064,39.74,40.62,41.048,43.96,43.415,41.966,44.814,42.62,40.469,46.933,43.788,42.623,44.393,44.386,42.777,45.211,45.518,46.483
"64","56","      Gross investment","B798RA3",14.066,14.098,6.912,7.485,13.586,11.101,11.682,15.489,12.816,12.88,20.452,23.47,18.497,21.138,23.012,16.446,16.64,17.851,14.96,21.468,18.617,16.957,16.407,16.89,14.611,15.693,14.977,15.115,13.158,16.23,13.043,12.073,11.369,9.914,8.242,9.483,10.133,12.084,13.957,13.608,13.41,13.841,14.371,13.941,16.69,15.753,16.596,16.886,16.437,17.139,16.164,16.277,16.984,19.206,19.748,21.908,23.442,22.306,23.371,25.073,25.182,26.713,27.836,30.184,29.608,31.284,33.989,34.411,36.019,35.23,37.411,39.656,39.925,42.364,42.867,44.209,45.314,44.025,43.654,41.119,37.589,34.484,34.652,34.737,32.674,31.338,29.917,29.818,29.202
"65","57","  State and local","B829RA3",12.014,12.177,12.461,12.663,12.644,13.008,13.239,13.559,14.12,14.925,15.546,15.843,16.237,16.375,16.387,16.397,16.235,16.511,16.591,16.564,16.616,16.969,16.51,16.9,17.262,17.232,17.693,18.124,18.775,18.848,19.373,19.463,20.28,20.546,20.514,20.634,20.857,21.113,21.218,21.434,21.973,22.158,22.471,23.03,23.681,24.023,24.548,24.996,25.203,25.272,25.294,25.159,25.597,26.223,26.614,26.919,27.792,27.604,27.838,28.61,28.403,28.607,28.972,29.288,29.839,30.11,30.915,31.346,31.813,32.544,32.899,33.247,33.562,34.414,35.383,35.893,36.338,36.619,37.042,37.995,38.465,38.675,38.827,39.504,40.197,40.979,41.568,41.927,42.268
"66","58","    Consumption expenditures","B991RA3",13.781,14.024,14.281,14.365,14.143,14.212,14.246,14.448,14.943,15.334,15.748,16.074,16.511,16.535,16.467,16.443,16.339,16.37,16.471,16.569,16.389,16.999,16.503,16.75,17.082,17.025,17.399,17.389,17.647,17.757,18.132,18.28,18.899,19.033,19.213,19.404,19.394,19.704,19.972,20.255,20.354,20.65,21.078,21.46,21.923,22.394,22.753,23.002,23.117,23.287,23.565,23.869,24.237,24.76,24.928,25.289,25.833,26.22,26.178,26.42,26.463,26.787,27.044,27.348,27.588,27.97,28.478,28.874,29.412,29.868,30.277,30.805,31.197,31.814,32.377,32.865,33.317,33.745,34.224,34.811,34.866,35.241,35.866,36.381,37.076,37.532,38.2,38.776,39.407
"67","59","    Gross investment","B799RA3",8.164,8.148,8.497,8.975,9.421,10.472,11.158,11.761,12.49,14.284,15.413,15.648,15.949,16.383,16.598,16.694,16.387,17.257,17.286,16.962,17.574,17.313,16.932,17.676,18.118,18.153,18.846,20.415,22.119,22.098,23.037,22.967,24.338,24.971,24.352,24.284,25.135,25.254,24.929,24.98,26.685,26.582,26.598,27.636,28.806,28.791,29.783,30.795,31.279,31.068,30.354,28.94,29.57,30.489,31.539,31.675,33.541,31.601,32.683,35.102,34.111,33.939,34.637,34.986,36.506,36.423,38.16,38.695,38.93,40.529,40.702,40.467,40.525,42.119,44.374,44.95,45.358,45.155,45.39,47.528,49.372,49.03,47.578,48.783,49.446,51.303,51.602,51.202,50.539
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
