"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54"
"62","55","          Pleasure boats","DBOARG3",25.334,26.147,25.944,26.251,26.734,27.193,27.498,28.144,28.924,30.007,31.492,29.356,34.731,36.589,38.76,44.266,49.695,52.268,56.086,59.589,63.45,69.803,74.236,77.187,77.849,80.646,82.883,81.952,81.765,84.231,86.616,88.68,90.172,91.766,92.073,93.105,95.025,95.003,93.924,94.115,96.66,98.279,99.765,98.987,97.742,98.241,100,103.647,103.607,104.728,105.37
"63","56","          Pleasure aircraft","DAIRRG3",25.334,26.162,25.931,26.236,26.724,27.163,27.514,28.134,28.946,30.036,31.493,29.337,34.661,36.576,38.888,44.366,49.713,52.279,56.104,59.583,63.429,69.778,74.219,77.179,77.85,80.638,82.876,81.954,81.762,84.271,86.631,88.703,90.19,91.77,92.071,93.081,95.038,95.033,93.928,94.14,96.658,98.31,99.762,98.969,97.76,98.155,100,103.646,103.618,104.727,105.379
"64","57","          Other recreational vehicles","DREVRG3",25.337,26.175,25.928,26.298,26.725,27.177,27.493,28.134,28.953,30.051,31.454,29.318,34.884,36.576,38.632,44.652,49.884,52.318,56.067,59.588,63.408,69.842,74.263,77.203,77.801,80.653,82.849,82.07,81.789,84.252,86.59,88.688,90.165,91.773,92.081,93.088,95.045,95.036,93.918,94.145,96.663,98.271,99.761,98.982,97.793,98.173,100,103.54,103.573,104.657,105.337
"65","58","      Recreational books (part of 90)","DRBKRG3",16.348,16.435,16.561,16.671,16.907,16.459,16.801,17.359,17.844,18.766,19.961,21.079,22.34,23.435,24.122,24.585,29.176,32.99,36.068,39.405,42.556,46.752,51.654,57.51,61.721,62.974,67.52,70.586,72.069,74.354,77.067,81.388,84.145,86.211,88.429,90.129,91.672,95.038,96.15,98.803,97.053,96.937,98.055,100.986,100.187,100.393,100,99.363,100.203,101.888,102.859
"66","59","      Musical instruments (part of 80)","DMSCRG3",42.751,43.699,44.441,45.2,45.78,45.529,45.182,45.09,46.055,48.616,52.167,54.558,57.108,58.017,58.384,61.024,65.644,67.231,68.033,70.993,74.606,80.345,85.96,90.444,91.378,91.754,91.39,91.735,93.187,97.57,100.881,101.944,102.062,103.325,104.215,105.089,103.489,104.554,103.43,102.982,101.594,101.456,102.416,102.323,101.384,100.128,100,99.888,97.287,98.491,99.533
"67","60","    Other durable goods","DODGRG3",31.584,31.671,31.605,31.472,31.637,32.448,32.282,32.273,33.04,33.767,35.439,36.36,37.358,38.566,39.825,42.889,46.149,48.398,50.52,53.325,57.724,69.53,73.356,74.063,76.452,78.084,78.936,80.801,86.302,91.937,96.212,102.276,106.062,108.862,109.7,111.452,113.307,112.631,111.051,109.02,106.275,104.869,105.203,103.257,101.604,101.383,100,101.938,106.078,111.534,113.348
"68","61","      Jewelry and watches (part of 119)","DJRYRG3",46.439,46.423,46.397,46.424,46.692,49.563,48.179,45.925,46.482,47.924,50.639,51.513,52.494,53.785,55.686,58.894,63.122,65.193,66.124,69.637,75.981,94.959,98.815,96.499,98.059,98.726,97.735,98.649,106.05,111.796,116.004,122.933,126.769,128.288,127.354,128.162,126.729,122.188,117.435,113.12,110.43,107.323,107.408,104.513,100.926,101.463,100,102.469,107.626,115.088,117.086
"69","62","        Jewelry","DJLYRG3",46.667,46.651,46.625,46.652,46.921,49.807,48.415,46.15,46.71,48.164,50.89,51.767,52.754,54.05,55.959,59.181,63.43,65.513,66.45,69.984,76.363,95.439,99.302,96.976,98.545,99.213,98.217,99.139,106.574,112.348,116.577,123.54,127.395,128.921,127.983,128.795,127.355,122.789,118.015,113.681,111.024,107.515,107.844,105.09,101.378,101.69,100,102.623,108.49,117.031,119.49
"70","63","        Watches","DWTCRG3",44.765,44.75,44.725,44.751,45.009,47.777,46.442,44.269,44.806,46.178,48.804,49.654,50.594,51.847,53.689,56.789,60.86,62.851,63.742,67.108,73.206,91.475,95.259,93.024,94.52,95.175,94.217,95.08,102.231,107.769,111.826,118.505,122.203,123.667,122.769,123.542,122.168,117.807,113.204,109.02,106.072,106.019,104.265,100.351,97.653,99.801,100,101.322,101.3,101.184,100.968
"71","64","      Therapeutic appliances and equipment (42)","DTAERG3",22.716,23.041,23.32,23.359,23.357,23.491,23.749,24.18,24.831,25.363,26.123,27.224,28.39,29.078,29.778,31.445,34.02,36.096,38.282,40.509,42.793,46.491,50.138,53.521,56.141,58.283,60.614,63.001,66.068,68.888,71.713,74.912,77.935,81.043,83.338,84.94,87.507,88.887,90.146,91.645,92.523,94.473,96.314,96.524,96.813,98.395,100,102.321,103.969,104.94,106.029
"72","65","        Therapeutic medical equipment","DTMERG3",29.394,29.448,29.082,28.638,28.359,28.289,28.213,28.287,28.179,28.234,28.522,29.186,29.669,29.737,29.836,30.881,33.475,35.492,37.762,40.209,42.598,46.031,50.235,54.95,58.365,61.076,63.729,66.839,69.338,71.591,75.446,79.076,82.554,85.701,88.56,90.246,93.171,94.626,95.733,96.963,97.853,98.625,98.666,98.288,98.639,99.519,100,101.451,102.472,102.781,104.202
"73","66","        Corrective eyeglasses and contact lenses","DEYERG3",19.322,19.789,20.439,20.758,20.902,21.136,21.566,22.186,23.243,24.032,25.055,26.413,27.994,29.062,30.133,32.224,34.82,36.962,39.119,41.224,43.46,47.412,50.622,52.858,54.813,56.503,58.598,60.46,63.944,67.152,69.329,72.27,75.032,78.099,80.1,81.647,84.025,85.355,86.664,88.267,89.131,91.715,94.664,95.261,95.509,97.579,100,102.98,105.123,106.645,107.448
"74","67","      Educational books (96)","DEBKRG3",8.689,8.731,8.725,8.547,8.537,8.54,8.959,9.401,9.707,10.208,10.776,11.185,11.933,12.719,13.134,13.591,14.482,15.459,16.439,17.743,18.875,20.456,22.953,25.926,28.562,30.878,33.483,36.225,38.935,41.663,44.351,47.963,50.451,53.228,55.087,57.078,59.265,62.632,65.68,68.767,71.565,76.548,80.936,86.817,91.743,95.991,100,106.342,115.048,123.073,131.937
"75","68","      Luggage and similar personal items (part of 119)","DLUGRG3",36.953,36.915,36.356,35.916,36.294,35.988,36.209,38.243,39.79,39.76,41.722,42.785,43.606,45.399,46.948,53.298,57.666,61.54,67.074,70.632,76.91,96.298,100.24,97.926,99.53,100.164,99.182,100.07,107.139,121.899,130.623,142.856,148.288,152.196,151.963,155.783,166.532,166.931,159.875,149.053,132.155,125.026,123.268,115.443,115.18,108.889,100,102.038,112.211,127.154,130.953
"76","69","      Telephone and facsimile equipment (67)","DTCERG3",28.215,28.38,28.363,27.785,27.751,27.76,29.131,30.553,31.562,33.182,35.02,36.321,38.797,41.366,42.685,44.219,47.101,50.276,53.324,57.989,61.563,66.671,74.709,84.312,92.764,100.309,108.739,117.656,126.565,135.48,144.207,155.903,164.016,173.034,179.109,185.579,192.749,203.667,213.545,207.334,183.743,165.966,148.96,135.743,120.94,108.562,100,90.991,84.373,80.873,77.247
"77","70","  Nondurable goods","DNDGRG3",21.704,21.963,22.055,22.175,22.396,22.695,23.104,23.844,24.279,25.154,26.242,27.422,28.196,29.1,31.447,36.202,39,40.27,42.577,45.299,50.181,56.338,60.689,62.066,63.131,64.443,65.65,64.811,67.015,69.146,72.576,76.736,78.977,80.124,80.776,81.206,82.055,83.913,84.789,84.16,86.259,90.006,90.952,90.878,92.791,96.12,100,103.215,106.25,112.188,108.998
"78","71","    Food and beverages purchased for off-premises consumption","DFXARG3",19.838,20.004,20.105,20.257,20.47,20.883,21.305,22.204,22.232,22.905,23.932,25.267,25.843,27.075,30.502,35.14,37.782,38.484,40.751,44.65,49.035,53.158,56.946,58.444,59.115,60.891,61.554,63.003,64.99,66.929,70.458,73.9,76.22,76.805,77.88,79.184,80.9,83.368,84.956,86.024,87.433,89.486,92.116,93.528,95.296,98.267,100,101.709,105.623,111.926,113.289
"79","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRG3",18.755,18.911,19.011,19.158,19.374,19.817,20.231,21.146,21.149,21.805,22.838,24.188,24.721,25.99,29.687,34.694,37.352,38.029,40.522,44.592,49.065,53.236,57.09,58.466,58.927,60.794,61.368,62.767,64.867,66.862,70.602,74.119,75.582,75.958,77.157,78.656,80.577,83.107,84.733,85.903,87.253,89.21,91.944,93.297,95.097,98.171,100,101.778,105.941,112.795,113.846
"80","73","        Food purchased for off-premises consumption","DFOFRG3",18.914,19.099,19.209,19.406,19.62,19.883,20.357,21.392,21.416,22.106,23.21,24.433,24.935,26.36,30.313,35.349,37.783,37.769,38.493,42.497,46.987,50.818,54.648,55.979,56.347,58.288,58.851,60.019,62.483,64.799,68.764,72.52,74.18,74.539,75.888,77.347,78.934,81.94,83.794,85.118,86.486,88.349,91.271,92.782,94.794,98.225,100,101.714,105.867,113.033,113.874
"81","74","          Cereals and bakery products","DCBPRG3",18.398,18.894,19.403,19.688,19.893,20.238,20.531,21.656,22.001,22.003,22.461,24.448,24.023,26.083,28.767,35.617,36.238,35.072,34.183,35.989,39.393,43.923,48.093,50.016,51.293,53.247,55.006,56.225,57.878,61.304,66.165,69.585,72.177,74.691,76.724,79.523,81.206,83.827,85.196,86.664,88.305,89.896,92.6,94.621,96.921,98.548,100,101.953,106.403,117.221,120.813
"82","75","            Cereals","DGRARG3",23.237,23.611,23.895,24.28,23.598,24.931,25.58,26.453,26.732,26.265,26.062,31.314,27.002,36.167,38.68,46.131,44.159,41.298,37.857,39.401,42.603,48.251,53.352,55.369,56.217,58.185,60.208,61.724,63.429,67.958,73.986,77.705,80.825,83.775,85.984,89.424,90.33,90.961,91.152,92.085,93.72,94.225,95.702,97.402,99.19,99.711,100,100.32,104.281,114.718,118.752
"83","76","            Bakery products","DBAKRG3",16.459,16.952,17.484,17.732,18.12,18.23,18.432,19.556,19.899,20.006,20.599,21.723,22.345,22.481,25.085,31.547,32.96,32.374,32.404,34.288,37.736,41.776,45.523,47.393,48.837,50.77,52.405,53.488,55.112,57.995,62.275,65.547,67.868,70.16,72.109,74.574,76.689,80.435,82.485,84.26,85.912,88.032,91.301,93.462,95.974,98.061,100,102.643,107.3,118.279,121.844
"84","77","          Meats and poultry","DMAPRG3",22.12,21.758,21.474,22.111,21.809,21.404,22.711,24.434,23.917,24.597,26.745,27.955,28.15,30.713,38.274,38.884,41.337,40.92,40.439,47.507,54.669,56.224,57.945,59.586,58.742,59.65,58.673,60.572,63.637,65.335,68.368,72.999,74.229,72.833,74.733,75.239,75.211,78.357,80.498,79.314,79.665,82.887,86.725,87.638,90.813,97.82,100,99.905,103.729,107.854,108.212
"85","78","            Beef and veal","DBEERG3",19.058,18.568,18.263,18.925,18.701,18.16,19.04,20.026,20.159,20.986,23.063,24.116,25.167,27.533,32.937,33.891,34.215,33.136,32.967,40.391,51.012,53.679,53.858,54.324,53.211,53.548,52.113,52.145,55.77,58.519,61.966,66.46,68.027,67.539,69.656,68.596,67.635,67.179,68.274,68.034,69.482,73.873,80.048,80.121,87.092,97.448,100,100.821,105.314,110.011,108.923
"86","79","            Pork","DPORRG3",20.907,20.757,21.768,21.965,21.402,21.297,24.109,27.649,25.447,25.485,27.742,29.459,26.699,30.943,40.749,40.834,49.639,50.645,48.101,54.03,54.184,52.096,56.634,63.421,62.298,61.169,60.799,65.154,70.141,67.569,67.525,76.651,78.964,74.7,76.507,77.203,77.135,84.426,88.801,83.901,82.087,88.034,91.365,91.024,92.768,98,100,99.766,101.793,104.082,102.046
"87","80","            Other meats","DMEARG3",21.307,20.85,20.935,21.102,20.987,21.055,22.183,24.468,24.274,24.6,26.294,28.141,28.045,30.096,37.268,38.553,40.878,43.29,43.02,50.38,57.443,59.16,61.289,62.668,61.982,61.766,61.708,62.791,66.342,67.617,68.991,74.876,77.174,76.678,77.222,78.564,79.246,81.708,83.596,82.641,83.489,85.654,88.102,91.209,93.556,97.714,100,101.808,104.139,107.346,109.771
"88","81","            Poultry","DPOURG3",32.515,33.043,29.745,31.524,31.081,30.403,31.318,32.988,30.92,31.89,33.681,33.492,33.689,34.164,46.937,45.38,50.147,48.078,48.46,53.226,55.293,57.685,59.634,58.148,58.358,64.03,62.933,66.963,65.579,69.623,76.009,75.366,74.5,73.629,76.038,77.733,78.377,82.967,84.923,84.916,85.246,86.268,88.983,90.179,91.282,98.078,100,98.242,103.296,108.446,110.174
"89","82","          Fish and seafood","DFISRG3",13.146,13.148,13.438,14.011,13.983,13.638,14.066,14.963,15.484,15.757,16.607,18.25,20.146,21.968,25.136,29.02,31.456,35.208,38.94,42.461,46.269,50.143,53.928,55.454,55.687,57.027,59.386,64.371,70.631,74.112,76.874,77.946,78.124,79.23,81.268,84.153,87.726,87.754,89.584,91.274,92.623,95.121,95.48,93.973,94.953,97.128,100,104.702,109.479,115.931,120.21
"90","83","          Milk, dairy products, and eggs","DMDERG3",19.951,20.609,21.083,20.836,20.848,21.031,21.114,22.992,23.274,24.166,25.467,26.625,27.018,27.499,31.286,36.918,37.754,40.955,41.52,43.665,48.592,52.747,56.693,57.254,58.068,59.236,59.319,59.745,60.702,61.964,66.819,72.681,71.834,72.721,73.425,74.244,75.121,80.899,82.338,84.311,87.711,88.616,92.099,92.81,94.088,100.532,100,100.064,109.615,119.301,110.211
"91","84","            Fresh milk","DMILRG3",22.284,22.807,22.911,22.784,22.686,22.742,22.643,24.052,25.037,26.104,26.823,27.971,28.722,29.127,31.796,38.194,38.559,40.263,40.675,42.917,47.742,51.851,54.798,55.028,55.312,55.644,56.351,55.991,57.134,58.254,62.51,68.948,66.552,68.971,69.754,71.544,71.483,76.741,77.959,79.851,84.608,84.844,88.747,87.097,87.771,98.11,100,98.782,110.02,116.93,101.523
"92","85","            Processed dairy products","DDAIRG3",13.627,14.136,15.052,14.976,15.035,15.453,15.895,17.755,18.577,18.979,19.996,21.438,22.477,23.147,25.662,31.141,32.604,36.845,37.974,40.711,45.526,50.541,54.965,56.234,57.183,58.191,59.554,60.058,61.594,63.007,66.562,72.071,72.729,73.808,73.728,74.346,75.293,79.691,81.788,84.83,89.216,90.129,93.435,95.411,94.748,99.088,100,99.784,104.599,113.998,110.932
"93","86","            Eggs","DGGSRG3",41.103,43.965,44.414,41.899,42.528,42.119,41.172,46.871,39.249,41.802,49.547,48.504,42.549,42.253,62.446,62.514,61.886,67.596,64.861,61.65,67.224,65.422,71.003,68.625,71.154,77.769,65.663,70.287,65.968,66.885,84.494,87.999,85.469,76.082,81.611,79.356,83.421,98.82,97.287,93.956,88.716,91.43,94.562,95.876,108.683,114.65,100,104.979,135.276,154.488,131.512
"94","87","          Fats and oils","DFATRG3",22.15,21.36,22.773,22.617,21.947,21.937,23.428,24.029,24.096,23.888,23.993,25.504,27.824,28.108,30.376,42.938,47.86,41.868,46.155,50.372,54.194,57.517,63.403,61.364,61.91,67.497,68.713,66.892,67.608,70.474,75.178,78.041,80.926,79.413,79.105,81.067,83.179,84.853,85.325,87.742,88.369,87.896,92.823,92.681,93.846,100.018,100,100.174,103.134,117.158,119.952
"95","88","          Fresh fruits and vegetables","DFAVRG3",14.724,15.484,15.044,15.57,16.256,17.59,17.974,18.345,18.377,20.055,20.469,21.459,22.242,23.656,27.811,29.907,30.667,31.465,35.628,39.663,41.374,43.375,47.842,48.45,47.661,51.37,50.771,51.04,55.734,58.102,61.694,64.816,67.487,65.175,66.526,67.771,73.898,74.69,75.817,80.961,81.62,82.982,86.409,90.419,92.773,96.081,100,105.149,109.065,114.85,109.794
"96","89","            Fruit (fresh)","DFRURG3",16.63,18.088,18.412,18.619,20.495,20.646,19.781,20.631,20.972,23.682,22.916,23.207,24.581,25.987,29.064,31.579,33.679,33.677,38.78,45.242,49.216,50.59,51.527,55.238,51.071,54.668,58.218,57.313,61.482,64.221,66.091,71.324,77.852,71.747,70.743,72.908,77.926,82.331,82.305,83.901,89.503,86.794,89.083,90.854,93.863,96.386,100,105.978,110.778,116.138,109.126
"97","90","            Vegetables (fresh)","DVEGRG3",13.701,14.108,13.321,13.979,14.143,15.991,17.007,17.124,16.998,18.136,19.161,20.509,20.974,22.399,27.266,29.104,28.924,30.321,33.856,36.283,36.643,38.973,45.433,44.313,45.349,49.095,46.168,47.11,52.113,54.249,58.954,60.681,60.873,61.077,64.121,64.733,71.652,70.136,71.957,79.288,77.008,80.717,84.82,90.176,92.135,95.904,100,104.66,108.054,114.089,110.325
"98","91","          Processed fruits and vegetables","DPFVRG3",20.685,19.965,20.797,20.154,21.25,21.715,21.044,21.564,21.246,22.511,22.68,23.358,24.874,25.85,28.171,37.818,38.644,39.934,41.064,45.14,48.212,51.348,57.207,59.945,60.063,63.07,64.24,63.076,64.865,68.901,73.695,76.688,75.697,76.254,75.802,78.02,78.859,82.049,83.74,85.931,87.559,88.469,91.319,94.757,95.613,96.796,100,102.908,106.642,116.625,124.589
"99","92","          Sugar and sweets","DSWERG3",15.205,15.293,14.986,15.001,16.222,17.067,16.768,16.45,16.957,17.53,18.501,19.516,20.241,20.494,21.789,32.397,41.58,36.959,38.887,43.602,46.901,57.192,61.837,61.569,62.584,64.842,66.302,68.16,69.185,70.89,74.041,77.12,79.755,81.929,81.931,82.828,83.966,87.496,89.851,91.124,92.217,93.224,94.308,96.242,98.094,98.784,100,103.806,107.03,112.924,119.208
"100","93","          Food products, not elsewhere classified","DOFDRG3",19.403,19.528,19.713,19.412,19.758,20.263,20.467,20.298,20.512,20.913,21.623,22.445,23.113,23.524,24.421,29.489,33.437,34.759,35.989,38.7,42.806,47.518,52.634,55.025,56.952,58.782,60.702,62.367,65.031,67.195,71.24,73.829,76.79,78.106,79.65,81.478,83.229,86.147,88.787,90.375,92.202,94.183,96.245,96.8,97.763,98.361,100,101.329,103.206,108.948,113.379
"101","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRG3",16.255,16.14,16.152,15.891,16.108,18.055,17.929,17.81,17.656,18.014,18.458,20.696,21.459,21.418,22.97,27.42,31.591,37.628,56.563,60.761,64.523,71.648,75.364,77.039,78.3,79.454,80.1,83.329,82.512,82.011,84.043,85.819,85.884,86.376,86.517,88.301,92.699,91.669,91.621,91.666,92.887,95.532,96.869,97.05,97.295,97.781,100,102.234,106.472,111.084,113.671
"102","95","          Coffee, tea, and other beverage materials","DCTMRG3",20.03,19.888,19.903,19.582,19.849,22.248,22.093,21.946,21.756,22.198,22.744,25.503,26.443,26.392,28.304,33.787,38.927,46.366,69.698,66.952,63.412,69.281,59.473,60.689,60.598,62.704,64.083,79.981,69.807,68.776,71.592,69.473,67.872,64.815,64.01,78.196,94.124,86.089,96.145,96.593,94.476,95.628,94.699,94.036,95.039,95.237,100,101.595,105.65,110.084,110.572
"103","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRG3",15.421,15.311,15.323,15.076,15.281,17.128,17.009,16.896,16.75,17.09,17.51,19.634,20.358,20.319,21.791,26.012,29.969,35.697,53.659,58.948,64.05,71.354,78.188,79.954,81.551,82.43,82.873,83.097,84.406,84.037,85.88,88.422,88.803,89.928,90.24,89.856,92.531,92.531,90.994,90.983,92.666,95.519,97.174,97.472,97.612,98.139,100,102.325,106.589,111.227,114.175
"104","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRG3",29.242,29.703,29.804,29.944,30.236,30.411,30.592,30.939,31.387,32.096,32.797,33.904,34.874,35.458,36.044,38.273,40.895,41.771,42.422,44.702,48.203,52.223,55.693,57.992,60.167,61.311,62.693,64.489,65.639,67.19,69.248,72.136,80.551,82.767,82.851,82.749,82.969,85.003,86.298,86.749,88.581,91.244,93.197,95.027,96.556,98.854,100,101.326,103.806,107.058,110.233
"105","98","        Spirits","DLIQRG3",36.657,37.22,37.434,37.58,37.993,38.147,38.257,38.508,38.956,39.481,39.923,40.902,41.459,42.324,42.533,43.184,44.423,45.186,45.783,47.591,49.29,51.868,54.675,56.481,57.631,58.114,60.116,64.642,65.181,66.019,68.127,71.356,78.894,80.19,81.069,81.555,82.274,83.245,85.036,86.085,88.04,91.487,94.684,96.599,97.586,98.815,100,101.257,102.008,104.285,106.675
"106","99","        Wine","DWINRG3",27.159,27.594,27.705,27.741,28.034,28.151,28.287,28.461,28.747,29.893,31.168,33.591,35.208,36.561,38.925,42.393,44.302,45.3,46.598,51.115,55.609,60.254,64.614,67.255,67.126,66.131,66.669,68.017,70.07,71.191,73.069,75.139,84.77,86.415,87.027,86.375,86.371,89.794,93.68,94.489,95.628,97.069,96.979,97.513,98.033,98.473,100,102.243,104.27,107.985,110.172
"107","100","        Beer","DMLTRG3",24.613,25.007,25.054,25.197,25.418,25.606,25.822,26.24,26.699,27.413,28.153,29.091,30.145,30.403,30.867,33.825,37.469,38.387,38.953,41.087,45.277,49.785,53.282,55.652,58.741,60.657,62.041,63.05,64.157,66.039,68.113,71.082,79.425,82.179,81.77,81.613,81.724,83.67,83.988,84.125,86.136,88.914,91.106,93.388,95.539,99.02,100,100.996,104.395,107.885,111.835
"108","101","      Food produced and consumed on farms (6)","DFFDRG3",27.772,27.026,27.063,27.538,26.739,25.862,28.526,31.447,30.219,31.931,35.031,35.5,36.018,42.379,55.551,49.559,50.654,52.031,52.232,66.86,80.285,77.229,76.814,79.116,74.956,78.029,73.086,74.162,80.998,82.353,86.744,93.556,89.791,86.328,88.605,81.795,81.638,82.265,87.233,77.667,74.289,78.381,83.59,74.231,84.025,97.109,100,96.42,104.647,103.178,89.465
"109","102","    Clothing and footwear","DCLORG3",52.777,53.484,53.793,53.954,54.428,54.941,55.419,56.951,59.298,62.649,66.038,68.494,70.93,72.217,74.614,80.15,83.744,86.43,90.119,91.822,93.619,97.052,100.257,101.726,103.118,103.653,105.877,105.441,108.479,111.969,113.607,117.311,119.543,120.433,119.79,117.774,115.023,113.638,113.673,111.604,110.127,108.816,106.659,103.851,101.27,100.926,100,99.573,98.638,97.823,98.714
"110","103","      Garments","DGARRG3",56.449,56.97,57.252,57.293,57.783,58.387,58.793,60.063,62.439,66.011,69.475,71.842,74.438,75.627,78.004,84.046,87.868,90.57,94.392,95.915,96.769,99.544,102.464,103.81,105.491,106.002,108.592,108.194,111.455,114.801,116.057,120.062,122.305,122.846,122.005,119.755,116.589,115.044,115.244,113.012,111.834,110.557,108.034,104.85,102.029,101.646,100,99.352,98.472,97.196,97.803
"111","104","        Women's and girls' clothing (10)","DWGCRG3",66.08,66.375,66.492,66.389,66.814,67.375,67.648,68.941,71.879,76.022,79.506,81.93,85.331,86.81,89.262,95.349,99.015,101.621,105.288,106.886,107.252,109.021,110.505,110.568,111.715,111.656,114.307,112.907,117.111,120.375,120.592,125.421,127.155,127.579,126.639,123.959,119.384,116.458,116.319,113.29,111.275,109.707,107.652,104.528,102.049,101.949,100,99.937,99.563,97.041,97.629
"112","105","        Men's and boys' clothing (11)","DMBCRG3",47.084,47.922,48.497,48.761,49.379,50.086,50.689,52.029,53.897,56.981,60.647,63.124,64.918,65.763,68.152,73.489,76.69,79.409,83.089,84.359,85.724,89.289,93.494,96.316,98.316,99.525,101.779,102.218,104.513,107.941,110.654,113.184,116.213,116.941,116.519,114.768,113.317,113.38,114.304,113.284,112.893,111.733,108.277,104.875,101.628,101.171,100,98.337,96.833,97.409,98.034
"113","106","        Children's and infants' clothing (12)","DCICRG3",33.806,33.677,32.481,31.841,31.831,31.943,32.106,32.36,32.713,34.111,35.204,35.874,36.65,37.698,38.952,49.183,59.088,62.277,68.295,70.928,72.343,78.262,85.087,88.18,92.569,93.945,98.106,102.369,102.367,106.08,108.206,113.931,115.972,116.426,113.504,112.224,111.423,112.857,111.013,108.155,110.49,111.747,110.613,108.291,104.587,101.537,100,99.851,97.663,97.503,98.184
"114","107","      Other clothing materials and footwear (13 and 17)","DOCCRG3",39.415,40.589,40.955,41.446,41.845,42.065,42.74,45.005,47.169,49.7,52.714,55.35,57.186,58.75,61.132,64.82,67.546,70.122,73.269,75.579,80.711,86.483,90.689,92.608,92.858,93.483,94.212,93.621,95.738,99.789,102.972,105.436,107.612,109.956,110.155,109.141,108.163,107.463,106.799,105.424,102.702,101.251,100.628,99.407,97.863,97.687,100,100.585,99.4,100.737,102.971
"115","108","        Clothing materials","DCSMRG3",49.692,49.969,50.166,50.081,50.453,50.748,51.151,52.174,54.546,57.758,60.899,63.342,65.547,67.115,69.388,73.564,75.335,77.49,79.87,79.479,82.132,88.147,93.601,96.66,98.155,98.684,99.946,101.923,101.641,107.531,108.949,114.634,115.613,116.698,115.91,115.028,120.224,120.815,113.318,107.173,104.133,104.013,103.937,103.529,101.285,101.849,100,99.138,95.354,95.68,98.533
"116","109","        Standard clothing issued to military personnel","DMICRG3",38.584,38.901,38.814,38.997,39.161,39.526,39.904,40.327,41.051,42.444,44.076,45.449,46.295,47.134,48.828,53.243,54.709,57.427,60.421,62.489,65.723,70.555,76.311,79.761,81.025,82.592,83.759,84.804,86.465,89.102,91.333,93.723,95.491,97.52,98.278,98.478,99.095,99.803,100.075,100.883,101.186,101.484,101.009,99.91,100.12,99.968,100,100.288,101.153,101.968,103.198
"117","110","        Shoes and other footwear","DSHURG3",38.078,39.385,39.779,40.354,40.761,40.97,41.68,44.134,46.31,48.792,51.816,54.486,56.297,57.871,60.28,63.901,66.779,69.417,72.686,75.38,80.864,86.627,90.677,92.452,92.542,93.172,93.836,92.939,95.346,99.196,102.598,104.716,107.026,109.509,109.804,108.766,107.25,106.44,106.28,105.25,102.534,100.961,100.29,98.994,97.501,97.252,100,100.735,99.807,101.257,103.439
"118","111","    Gasoline and other energy goods","DGOERG3",11.146,11.344,11.357,11.415,11.443,11.337,11.724,12.003,12.394,12.621,13.008,13.19,13.406,13.565,14.98,20.832,22.295,23.362,25.03,26.182,35.267,49.04,55.313,52.744,50.706,50.181,50.289,39.481,40.94,41.245,44.901,51.419,50.557,50.173,49.68,49.802,50.47,53.908,53.906,46.996,50.883,65.768,63.48,59.378,69.37,81.537,100,112.926,122.378,143.694,104.053
"119","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRG3",12.289,12.644,12.52,12.598,12.568,12.486,12.958,13.256,13.694,13.896,14.354,14.482,14.588,14.777,16.19,21.871,23.339,24.331,25.74,26.858,35.993,49.955,55.584,52.772,51.047,50.283,50.689,39.81,41.34,41.691,45.539,51.843,51.162,50.963,50.446,50.685,51.491,54.645,54.634,47.555,51.788,66.17,63.776,59.915,69.782,82.086,100,112.842,122.411,142.242,103.691
"120","113","        Gasoline and other motor fuel","DGASRG3",12.205,12.559,12.425,12.499,12.465,12.375,12.849,13.144,13.575,13.768,14.219,14.338,14.432,14.616,16.029,21.715,23.173,24.163,25.57,26.674,35.925,50.043,55.707,52.776,50.991,50.214,50.608,39.519,41.094,41.415,45.279,51.705,50.919,50.734,50.212,50.416,51.16,54.349,54.34,47.124,51.432,65.998,63.477,59.501,69.491,81.926,100,112.773,122.331,142.146,102.611
"121","114","        Lubricants and fluids","DLUBRG3",17.331,17.606,18.422,18.897,19.21,19.884,20.111,20.643,21.569,22.577,23.584,24.658,25.861,26.637,27.561,31.378,33.474,34.403,35.811,37.825,41.061,48.733,53.212,55.546,56.705,56.525,57.493,57.327,56.29,58.351,61.439,61.873,66.094,65.275,64.912,66.582,70.072,71.783,71.659,71.425,71.71,75.522,80.484,83.821,85.998,90.512,100,116.156,126.269,146.92,160.787
