"","Table 5#14# Gross Government Fixed Investment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"50","    National defense","43","A873RC",0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,3.6,15.7,31.5,33,21,1.2,0.8,1.6,2.6,1.9,7.1,10.1,11.4,9.4,8,8.4,8.2,8.7,11.2,10.1,11.5,12.5,11,10.2,8.9,11.1,13.1,11.9,11,10.9,7.9,9.4,9.2,10.1,12.1,13.2,14.4,15.3,18.9,21.1,25.7,30.8,37.1,43.8,51.3,56.1,58.8,53.9,56.3,59.8,58.8,56.3,50.7,48.3,46.9,47.9,42.7,44,47,48.2,50
"51","      Aircraft","44","B874RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.3,2.3,3.6,3.4,3.7,3.7,4.8,6.1,7.5,8.4,10.1,10.9,13.4,17.9,17.6,13.5,12.2,12,9.2,8.3,9.3,10.5,9,9.2,5.9,5.6,6.9,7.7,8.3
"52","      Missiles","45","B875RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,1.7,1.3,1.4,1.2,1.1,1.8,2.3,2.8,3.4,4.6,5.7,6.6,7.9,8.7,7.8,8.8,11.2,10.8,10.6,7.9,5.7,4.7,4.1,2.9,3.3,2.7,2.5,3.3
"53","      Ships","46","B876RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.6,2.2,2.2,2.4,3.1,3.9,4.3,4.1,5.1,6.2,7.1,8,9,8.9,8.8,8.6,10,10.8,10.2,10.1,8.7,8.1,8,6.8,6.1,6.4,6.8,6.6,7.2
"54","      Vehicles","47","B877RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.3,0.3,0.5,0.6,0.8,0.9,1.2,1.1,2.1,3.4,4.2,3.7,3.8,4.3,3.7,3.1,3.2,3.4,2.8,1.9,1,1.1,1.2,1.4,1.5,1.7,1.8,1.8
"55","      Electronics and software","48","B878RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.9,1,1.2,1.3,1.5,1.8,2.1,2.6,3.2,3.8,4.6,5.6,7,7.8,8.7,9.2,9.6,9.9,9.7,9.8,10.4,10.3,10.5,11.6,12.4,13.4,14.2,14.9,13.7
"56","      Other equipment","49","B879RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.5,2.6,3.6,4.2,4.2,4,5,4.8,6.1,6.8,7.3,9.3,11.5,9.9,10.6,11.1,12.6,12.8,15.4,14.8,12.5,12.7,13.6,15.2,14,13.8,14.7,14.7,15.7
"57","    Nondefense","50","B880RC",0,0,0,0,0,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.8,0.6,0.4,0.3,0.5,0.4,0.5,0.4,0.3,0.4,0.4,0.5,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.6,0.8,1.2,1.6,1.9,2.1,1.9,1.7,1.7,1.7,1.7,1.8,1.8,2.2,2.4,2.7,3,3.7,4,4.9,5.3,6,7.8,8.7,9.6,9.5,10.4,11.7,13.4,14.6,15.7,16.9,17.7,16.8,18.4,20.5,23.2,25.5,29.4,31.6,33.8
"58","  State and local","51","B881RC",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.1,1.1,1.2,1.3,1.3,1.5,1.8,1.9,2.1,2.3,2.4,2.7,3,3.1,3.5,4.1,4.9,5.5,5.7,5.9,6.6,7.8,8.9,9.5,10.6,12.2,14.4,16.8,18.6,19.6,21.5,26,28.7,28.9,30.1,31.7,35.5,38.6,41.3,44,48.6,53,56.5,58.6
"59","Addenda:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","  Government enterprise gross fixed investment","52","A882RC",0.5,0.6,0.6,0.4,0.3,0.4,0.4,0.9,0.7,0.8,0.9,0.9,0.8,1.5,2,1.5,0.2,0.5,0.9,1.2,1.6,1.7,2.1,2.2,2.2,2.2,2.2,2.7,3,3.3,3.6,3.8,4.2,4.5,4.6,5.4,5.7,5.8,6.5,7.6,7.7,8.1,8.3,9,10,12.4,13.7,15.1,15.3,19.1,21.5,25.3,26.7,26.6,26.2,28.1,31.1,33.1,35.1,35.6,36.8,40.6,42.6,45.2,44.9,43,44.6,45.4,49,49.4,53.8,55.9,56
"61","    Federal","53","A883RC",0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,1.8,1.3,0,0,0.1,0.1,0.2,0.3,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.5,0.5,0.5,0.5,0.7,0.7,0.8,0.8,0.8,0.9,1,1.1,1.4,1.5,1.8,2,2.3,2.4,2.9,3,3.3,3.7,3.8,3.5,3.9,4.2,4.1,4.5,4.4,4.9,5.4,6,7.5,7.2,6,6.1,5.8,6.3,7.3,8.3,8.6,8.5
"62","      Structures","54","B884RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.3,1.4,1.8,1.8,2.1,2.4,2.2,2.3,2.4,2.4,2.5,3.1,2.1,2.2,2.7,2.7,3.1,2.5,2.7,2.8,2.2,2.2,2.4,2.8,2.5,2.3
"63","      Equipment and software","55","B885RC",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.7,1.3,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.7,0.7,0.9,0.9,1,1,1.2,1.1,1.2,1.3,1.6,1.3,1.5,1.8,1.6,1.5,2.2,2.7,2.7,3.2,4.4,4.7,3.3,3.3,3.6,4.1,4.8,5.5,6.1,6.2
"64","    State and local","56","A886RC",0.5,0.6,0.6,0.4,0.2,0.4,0.4,0.8,0.7,0.8,0.9,0.9,0.8,0.5,0.2,0.2,0.2,0.5,0.9,1.1,1.4,1.5,1.9,1.9,2,2,2.1,2.5,2.7,3,3.3,3.3,3.7,4,4,4.7,5,5.1,5.7,6.8,6.9,7,7.1,7.7,8.5,10.6,11.7,12.7,12.9,16.2,18.5,22,23,22.9,22.7,24.2,26.9,29,30.6,31.3,31.9,35.2,36.6,37.7,37.7,37,38.5,39.6,42.7,42.1,45.4,47.2,47.5
"65","      Structures","57","B887RC",0.5,0.6,0.6,0.4,0.2,0.3,0.4,0.8,0.7,0.8,0.9,0.9,0.7,0.5,0.2,0.2,0.2,0.4,0.8,1,1.3,1.4,1.8,1.8,1.9,1.9,2,2.4,2.6,2.9,3.1,3.1,3.5,3.8,3.8,4.5,4.8,4.8,5.4,6.5,6.5,6.6,6.7,7,7.8,9.9,10.7,11.8,12,15.1,17.1,20.3,21.1,20.7,20,21,23.5,25.3,26.7,27.8,27.8,30.5,32.1,32.7,32.2,31,32.1,32.7,35.8,34.1,36.8,38.4,38.5
"66","      Equipment and software","58","B888RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.7,0.8,1,1,0.9,1.1,1.4,1.7,1.8,2.2,2.7,3.2,3.4,3.8,3.8,3.5,4.1,4.7,4.6,5,5.5,6,6.4,6.9,6.9,8,8.6,8.8,9
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68"," 1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69"," 2. Structures and software include compensation of government employees engaged in new own-account investment and related ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71"," 3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72"," 4. Consists primarily of general office buildings, police and fire stations, courthouses, auditoriums, garages, and passenger ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","terminals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74"," 5. Consists primarily of electric and gas facilities, transit systems, and airfields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
