"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139"
"27","Equals: Federal Government current receipts, national income and product accounts","18","M318181B",39,46.3,43.1,40.2,46,54.2,47.2,42.6,45.6,52.1,46,40.6,46,52.2,48.3,43.3,51.5,60.8,54.9,50.4,60.2,64.7,64.2,59.4,64,73.8,73.7,65.9,65.5,68.4,73.6,68.7,73.5,86.1,83.3,76,82,100.5,93.1,84.3,92.8,116,107.3,101.2,110.5,132.3,120.7,114.8,122.3,139.7,132.1,128.7,141.9,167.4,151.7,144.5,146.1,166.6,150.4,136.4,151.1,162.9,159.1,150.8,170.4,179.9,173.8,164,186.3,197.6,189.3,174.2,192.4,208,198.5,187.4,203.9,248.7,215.9,202,224.2,256.5,228.8,219.3,242.9,294,244.4,229,247.6,303.6,259.3,245.3,250.2,301,269.2,251.9,264.3,310.7,277.4,268.8,290.1,315.5,299.9,291.8,316.5,342.8,324.7,309.7,340.9,379.3,341.2,322.4,356.3,423,366.8,353,381.9,465.7,398.4,379.5,412.8,513.3,425.1,398.5,434.9,540.8,451.8,439.8,467.2,622.2,490.3,454.3,488.9,636.6,436.4,446.4
"28","      Current expenditures",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Budget outlays","19","M318191B",44.9,47.4,46.8,46.4,46.1,45.2,50.4,48.5,47.8,49.8,54.3,49.9,52.3,54.9,56.3,55.2,58.6,61.8,57.6,60.9,64.7,63.3,65.5,64.9,67.6,70.4,74.5,78.9,83.1,88.1,90.8,93.7,89.6,91.5,94.5,99,97.6,101.8,103.4,113.3,111.2,111.3,114.9,123.2,122.6,123,124.4,138.5,141.5,148.2,150.8,160.6,167.3,167.4,165.3,194.2,167.3,181.4,185.5,205.3,200.8,195.7,194.1,212.7,209.4,211.4,208.4,238.6,229.8,234,234.5,252.4,240.9,245.2,251.4,254.4,251.4,251.1,245.4,285.3,244.5,268.3,264.6,289.3,280.7,285.7,288.4,298.4,310.7,331.7,311,332.8,298.1,333.4,359.5,338.2,352.9,351.3,338.4,385.6,325.1,349.3,348.5,378.5,348.5,362.5,371,382.3,379.1,380.6,373.4,379.9,393.7,392.1,394.4,404.4,401.6,395.7,399.8,425.8,408.7,407.2,409.5,467.6,396.4,420,418.9,464.2,448.7,444.3,431.1,463.6,482.2,466.6,450.8,503.5
"30","Less: Coverage differences","20","M318201B",4.4,5,3.8,3.5,3.6,0.2,2.7,3.3,2.3,0.9,1.4,1.6,1.5,0.3,1.4,2.5,1.8,0.5,-0.4,0.9,1.2,-1.6,1.1,0.1,0.8,-3,4.4,2.8,1.8,-1.5,7.1,4.9,2.2,-3.4,6.2,6.9,3.1,4.4,-1.7,9.1,6.8,3.1,1.9,11,9.3,4.8,-1.7,10.5,10.9,10,-2.8,9.6,13.1,8,-7.1,12.3,13.5,7.4,-4.9,13.7,15.7,1,-11.2,12.7,11.3,8.2,-2.9,11.6,17.9,11.5,2.5,9.3,19,3.9,4.5,1.5,17.2,6.4,0.7,-3.1,18.5,10.7,5.1,2.4,16.4,9,11.1,1.5,23.2,34,14.9,11.7,22.2,19.8,40.9,-12.1,30.6,7.4,-8.8,-11.2,14.4,-6.6,-8.7,-4.5,2.5,3.5,-2.1,-9,12.3,-6.7,-10.4,-14.1,18.5,-2.6,-1.9,-19.1,14.1,-11.6,-6.5,-15.6,16.5,-5.3,-2.2,-10.9,23.2,-0.9,0,-9.1,19.5,0.3,-8.2,-7.9,25.9,0.7,-6.4,-5.8
"31","        Geographic \7\","21","M318211B",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1,1,1,1.1,1.1,1,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.3,1.4,1.4,1.4,1.3,1.5,1.4,1.5,1.5,1.5,1.5,1.6,1.8,1.8,1.8,1.8,2.2,1.6,1.6,1.7,1.6,1.7,1.7,1.7,1.8,1.7,1.7,1.9,1.9,1.9,1.9,1.8,2.1,2,1.9,2,2.1,2.1,2.1,2.2,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.6,2.4,2.4,2.4,2.7,2.6,2.6,2.7,2.7,2.7,2.8,2.8,2.9
"32","        Federal employee retirement plan transactions \2\","22","M318221B",0.7,0.4,0.8,0.4,0.8,0.6,0.8,0.6,1,0.2,1.1,0.8,1,0,0.9,0.8,1.4,0.1,1,1,1.7,-0.2,1.9,1.3,2.1,-1.1,2.4,1.7,2.6,-2.1,3,2.1,3.2,-2.8,3.5,2.2,3.6,2.3,-3.7,2.6,4.1,2.9,-3.7,3,4.7,3,-4.5,3.2,5.5,3.7,-5.9,4,6.7,4.3,-7.4,3.7,7.3,4.1,-7.6,3.7,7.9,3.5,-8.1,3.2,8.5,3,-7.9,-13.2,4.8,-2.5,-13.1,-14.2,4.6,-3.5,-13.1,-14.5,3.6,-3.8,-12.1,-15.4,5.6,-5.4,-12.1,-16.1,6.1,-6.5,-12.1,-16.9,7.5,-6,-13.1,-18,8.4,-7.9,-13.2,-19.2,8.2,-7.8,-13.8,-20.4,9.8,-8,-13.1,-20,9.9,-7.8,-12.3,-20,11,-8.1,-11.9,-18.4,11.4,-8,-12,-23.2,11.9,-7.5,-13,-23.3,12.3,-7.8,-12.7,-24.7,12.5,-7.7,-12.3,-23.8,12.5,-8.2,-12,-25.3,13.7,-8.5,-11.7,-26
"33","          Interest received","23","M318231B",0,-0.3,0,-0.4,0,-0.4,0,-0.4,0,-0.7,0,-0.4,-0.1,-0.6,-0.1,-0.7,-0.1,-0.7,-0.1,-0.7,-0.1,-0.7,-0.1,-0.8,-0.1,-0.8,-0.1,-1,-0.1,-1,-0.1,-1.2,-0.1,-1.2,-0.1,-1.4,-0.1,-1.3,-0.1,-1.5,-0.1,-1.4,-0.2,-1.7,-0.1,-2,-0.1,-2.2,-0.1,-2.4,-0.1,-2.7,-0.1,-2.9,-0.1,-3.5,-0.1,-3.9,-0.1,-4.3,-0.1,-4.8,-0.1,-5.2,-0.1,-5.6,-0.1,-6.8,-0.1,-7.2,0,-8.4,-0.3,-8.3,-0.4,-9.1,-1.1,-8.9,-0.2,-10.4,-0.2,-11.3,-0.2,-12,-0.2,-12.7,-0.2,-13.2,-0.6,-13.1,-1.1,-14.6,-0.2,-15.6,-0.2,-16,-0.5,-16.5,-0.2,-17.3,-0.2,-17.9,-0.1,-18.1,-0.1,-18.6,-0.1,-19.5,-0.3,-19.6,-0.3,-19.7,-0.6,-20.3,-0.8,-20.4,-1.1,-20.5,-1.1,-20.9,-1.4,-21.2,-1.3,-22.6,-1.4,-21.4,-1.4,-21.9,-1.5,-22.3,-0.9,-23.4,-1.2,-23.4,-1.2,-23.5
"34","          Contributions received (employer)","24","M318241B",-0.3,-0.3,-0.4,-0.5,-0.4,-0.3,-0.5,-0.4,-0.4,-0.6,-0.4,-0.5,-0.6,-1.1,-0.9,-0.5,-0.5,-1.2,-1.1,-0.5,-0.6,-1.8,-0.6,-0.5,-0.6,-3.1,-0.6,-0.6,-0.8,-4.7,-0.7,-0.7,-0.7,-5.9,-0.7,-0.7,-0.7,-1,-8.4,-0.8,-0.8,-0.8,-8.8,-0.8,-0.8,-0.8,-10.4,-1,-0.9,-0.9,-13,-1,-1,-0.9,-15.5,-1.2,-1,-1,-16.6,-1.2,-1.1,-1.1,-17.6,-1.3,-1.1,-1.1,-17.7,-14.8,-5.4,-5.6,-23.5,-16.3,-5.6,-5.9,-23.4,-16.2,-6.3,-6.3,-23.5,-16.5,-6.2,-6.4,-24.1,-16.1,-6.4,-6.6,-24.8,-16.6,-5.7,-6.5,-25.7,-17.1,-6.4,-6.9,-27.4,-17.5,-6.5,-6.5,-28.5,-18.1,-5.6,-5.8,-28.8,-17.6,-5.9,-5.6,-28.8,-17.1,-5.6,-5.6,-29,-16,-5.4,-5.5,-29,-20.7,-5.4,-5.5,-30.4,-20.8,-5.3,-5.6,-30.4,-21,-5.4,-5.7,-30.5,-21.4,-6,-6.1,-31.2,-22.1,-6.3,-6.2,-31.6,-23.6
"35","          Benefits paid","25","M318251B",1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.7,1.7,1.7,1.9,1.9,1.9,2,2.2,2.2,2.3,2.3,2.6,2.7,2.8,2.9,3.1,3.2,3.5,3.6,3.7,3.9,3.9,4.2,4.3,4.3,4.4,4.6,4.7,4.9,5,5.1,5.2,5.5,5.6,5.8,6,6.4,6.5,6.9,7.1,7.6,7.8,8.1,8.2,8.4,8.4,9,9.1,9.1,9.1,9.4,9.6,9.6,9.7,9.8,9.8,8.5,10.2,10.3,10.4,10.5,10.5,10.6,10.7,10.8,11,11.4,11.5,11.4,12.1,12.4,12.2,12.1,12.7,12.9,12.9,12.9,13.7,13.6,13.6,13.6,15,14.6,14.5,14.3,15.2,15.1,14.9,15,15.6,15.7,15.8,15.8,15.8,16.3,16.5,16.6,16.8,17.2,17.3,17.3,17.3,17.9,17.8,17.9,18.4,18.5,18.4,18.5,18.9,19,19,18.9,19.3,19.4,19.6,19.5,20,20.1,20.1,20.1,21.1,21.1,21.1,21
"36","          Administrative expenses","26","M318261B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","        Financing disbursements from credit programs \8\","27","M318271B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,-0.3,-0.3,-0.3,0.3,0.3,0.3,0.3,-0.6,-0.6,-0.6,-0.6,-1.1,-1.1,-1.1,-1.1,-2.9,-2.9,-2.9,-2.9,-5.2,-5.2,-5.2,-5.2,-2.8,-2.8,-2.8,-2.8,-3.6,-3.8,-3.8,-3.8,-4.3,-4.3,-4.3,-4.3,-5.8,-5.8,-5.8,-5.8,-4.4
"38","        Other differences in funds covered \9\","28","M318281B",-0.4,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.7,-0.7,-0.7,-0.8,-0.9,-0.9,-1,-1,-0.9,-1.2,-1.1,-2.4,-1.1,-1.4,-1.4,-1.1,-2.3,-2.4,-2.8,-2,-2.6,-6.9,-4.2,-2.7,-4.4,-6.4,-2.7,-3.9,-1.6,-6.3,-2.1,-7.2,-3.5,-5.9,-4.6,-5.5,-2.6,-5.5,-7.7,-6.8,-3.8,-6.7,-7.7,-7.9,-5.4,-9.7,-9,-10.4,-7,-5.8,-9.5,-9.8,-5,-5.4,-8.4,-9.4,-3.2,-6.3,-7.9,-9,1.1,-2.8,-4.4,-2.5,0.1,0.1,-1.9,-0.8,-1.5,0,0,0,0,0,-0.1,-0.2,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0.1,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,-0.2,-0.3,-0.2,-0.1,-0.1,-0.4,0.8,0.1,0.1,0.2,-0.2,0.2,0.3,0.5,0.5,0.5,0.6,0.9,0.8,1.4,1.3,0.5,-0.8,1.3,0.9,1,1,1.1
"39","        Net investment \10\","29","M318291B",0.6,0.5,0.4,0.3,0.5,0,0.1,-0.3,-0.1,-0.1,-0.3,-0.2,-0.8,-0.9,-0.9,-1,-0.7,-0.4,-0.9,-1,-0.6,-0.6,-1.1,-0.9,-1,-0.3,-0.7,-0.4,-0.3,-0.1,-0.2,-0.1,-0.2,-0.2,-0.1,-0.2,-0.1,0.2,0.4,-0.4,-0.5,0.2,0.8,0.7,0.3,0.5,1.9,0.9,1.4,1.2,1.5,1.2,1.1,1.7,2.6,1.9,1.1,2.2,2.4,2.3,2.6,3,4.4,4,3.9,4.1,4.4,5.5,4.7,5.8,8,6.7,5.4,6.1,8.7,7.3,6.2,7.4,8.6,7.3,4.6,4.8,5.2,5,4.2,4.5,5.9,4,4.4,5.3,6.1,4.1,3.2,4.9,4.8,2.3,2.5,3.4,4.5,3.1,1.5,1.7,2,0.7,-1.1,-0.5,2.2,-0.7,0.1,-0.3,0.4,-1.9,0.7,0.5,1.2,-1.4,-3,-1.6,0.5,-1.3,-2.4,-0.9,1.8,-0.6,-1.9,0.6,1.7,1.5,-1.1,0.2,0.5,0.4,-1.4,0.1,0.8,1.4
"40","        Capital transfers paid \11\","30","M318301B",1.2,1.2,1.8,1.8,1.3,1.3,1.6,1.7,1.2,1.2,1.4,1.5,1.1,1.5,1.6,1.7,1.2,1.3,1.9,1.7,1.2,1.5,1.4,1.8,1.8,2.1,1.7,2.3,2.1,2.1,2.6,2.8,2.2,2.3,2.9,3.2,2.3,2.5,3.4,3,2.4,2.6,3.3,3.6,2.9,3,4,4.5,3.3,3.8,4.4,5.1,3.5,3.8,4.2,4.2,2.9,3.6,4.1,4,3.3,3.4,4.5,4.3,3.4,4.1,5.1,5.1,3.3,4.6,5.7,5.7,3.9,5,6.2,4.9,3.8,4.7,5.4,5,3.9,4.7,5.9,5.2,4.2,4.7,5.4,5.5,4.5,4.8,5.9,5.7,4.6,5.1,6,5.5,4.5,5.4,6.4,6.1,4.6,5.2,7.1,6.7,5,5.6,7.3,6.8,6,6.6,7.6,6.9,6.3,6.6,7.8,7.4,6.1,6.9,8.3,7.4,5.8,6.6,8.4,8,5.8,7.7,9.7,8.7,7.5,8.6,10.2,9.8,8.3,9.9,11.8,10.8
"41","        Financial transactions","31","M318311B",2.9,3,0.9,1.5,0.9,-0.1,0.8,1.9,0.6,0.3,0,0.4,1.4,0.5,0.5,1.8,0.9,0.3,0.4,0.8,1.6,-1.6,1.2,0.4,1.2,2.1,2.5,2.7,4,2.2,3.9,3.9,2.8,0.4,4.2,2.9,2.9,1,5.6,7.1,5.8,1.9,5.9,5.4,6.5,4.9,3.2,6,6.9,7.9,4.3,6.6,10.6,7.5,6.1,9.3,8,6.3,5.2,10.1,6.2,1.9,-2.5,3.2,1.2,5.2,4.2,12.4,6.4,6.7,4.1,9.6,3.7,-1.3,2.1,5.1,2.2,-3.2,-2.3,-1.1,2.9,4.7,5.5,7.1,0.4,5.2,10.6,7.4,5.2,28.5,14.8,17.9,4.5,16.1,41.6,-2.1,13.9,5,-7.3,-2.2,-3.6,-7.6,-6.9,6.7,-12.6,5.1,-0.8,3.8,-5.5,-5,-0.3,0.3,1.3,-0.5,1,4.5,2.1,0.1,1.2,2.1,2,-0.4,1.6,7.7,8.2,-0.6,1.5,4.9,0.9,1.2,-4.7,9.3,8.5,1.6,-5.9,8.3
"42","          Loan disbursements less loan repayments and sales","32","M318321B",2.6,2.8,0.9,1.6,0.9,-0.2,0.8,1.9,0.6,0.3,0,0.5,1.5,0.4,0.5,1.8,0.8,0.1,0.5,0.8,1.6,-1.7,1.2,0.4,1.2,2,2.6,2.6,4.2,2.3,3.9,3.8,2.8,0.4,4.1,2.9,3,1.1,5.7,7.1,5.9,2,6.2,5.5,6.4,4.9,3.4,6.1,7.2,7.8,4.6,6.6,10.6,6.3,6,8.7,8.2,5.1,4.9,9.1,4.1,4.3,2.1,3.8,1.5,7.3,2.9,9.2,5.4,8.8,2.7,2.8,3.1,3.2,3.4,0.6,0.2,2.8,-3.7,0.7,0.1,1.6,-2.3,8.8,4.3,4.2,-5.1,1,1.1,2.5,1,3.6,2.7,1.3,5.3,2.7,2.6,0.8,-1.5,3.2,1.8,-1.2,0.4,4.9,-6.2,1.3,1.5,6.8,3.4,1.9,3,3.9,5.6,2,3.7,7.4,7,4.1,3.9,2.8,2.9,2.3,3.2,8.2,9.8,4.7,3.8,4.2,4.2,4.9,-5.2,11.2,9.9,5,-4.5,6.2
"43","          Deposit insurance","33","B1069C1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0.4,-0.3,0.8,0.3,0.9,0.3,-0.2,0.5,0.4,1.5,-1.3,1.7,-0.3,0.6,-0.3,0.7,-1.4,-0.2,-1.6,-0.6,-0.6,-0.3,-1.1,0.3,-2,1.3,1.5,0.8,1.3,0,3.4,19.2,6.8,6.2,28.4,16.5,15.5,2.2,15,36.9,-4.4,11.5,4.1,-5.7,-6.7,-4.6,-5.8,-5.8,1.2,-5.1,4.2,-2,-3.4,-5.4,-4.6,-1.4,-2.6,-2.5,-1.5,-1.2,-2,-3.7,-2.6,-1.5,-0.7,-0.8,-0.5,-1.1,-1.7,-0.2,-0.7,-0.3,-0.1,-1.6,-0.3,-0.1,-0.4,-0.4,-0.2,0.2,0.6
"44","          Net purchases of foreign currency","34","M318341B",0.3,0.2,0.1,0.1,0,0.2,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","          Other","35","M318351B",0,0,0,-0.2,0,-0.1,0,-0.1,-0.1,-0.1,0,-0.1,-0.1,0,-0.1,0,0.1,0.1,-0.1,0,0,0.1,0,0,0,0.1,-0.1,0,-0.1,-0.1,0,0.1,0,0,0,0,-0.1,-0.1,-0.1,0,-0.2,-0.1,-0.3,-0.1,0.1,0,-0.2,0,-0.3,0.1,-0.2,0,0,0.4,0,0.2,0.1,0.4,0,0.1,1.8,-2.2,-5.1,-1,-1.8,-0.9,-0.4,3.5,0.4,-1.8,0.7,8.2,0.8,-2.9,-0.7,5,2.4,-5,1.1,0.1,1.5,1.6,7,-3,-3.8,-2.3,-3.5,-0.4,-2,-2.4,-2.7,-1.3,-0.4,-0.2,-0.5,-0.4,-0.2,0.2,-0.1,1.4,-0.8,-0.6,-1.5,0.6,-1.3,-0.4,-0.3,0.4,-3.5,-2.3,-2,-1.1,-1.8,-1.1,-1.6,-0.9,-1.1,-1.3,-1.2,0,-0.1,-2.2,-0.5,1.2,-1.3,-4.6,-2,0.8,-1.7,-3.4,0.6,-1.5,-1,-3.2,-1.7,1.5
"46","        Net purchases of nonproduced assets","36","M318361B",-0.5,-0.2,-0.2,0.1,0,0,0,0,0,-0.1,0,-0.1,-0.6,0,0.1,0,0.1,0.1,-0.1,-0.7,-1.3,-0.3,-1.2,-0.4,-0.9,-3.5,0.1,-1.3,-0.2,-0.1,-0.1,0,-0.2,-0.7,-1.1,-0.3,0,-0.2,-0.9,-0.4,0,-0.8,0.3,-0.1,-0.6,-0.1,-0.7,-1.5,-0.7,0.2,-0.5,-3.1,0.1,-1.3,-3.3,-1,-0.9,-0.2,-0.1,-2.4,0,-3.6,-1.3,0,-0.7,-1.5,-1.1,-0.6,0.1,0,-1.1,-0.1,0,-1.8,0,-1.1,0,0,-0.2,-0.2,0.1,0.6,-0.6,-0.2,0,-0.4,-0.2,-0.2,-0.1,-0.3,-0.3,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,-0.2,0.4,0,0.1,-0.6,-6.9,0,-0.2,0,0.1,-3.7,-0.2,-6.7,-0.4,-0.3,-0.8,-2.8,-1.2,-0.8,-0.5,-0.3,0,-0.1,0,-0.3,0.1,-0.1,-1,-0.3,0.6,0
"47","          Outer Continental Shelf","37","M318371B",-0.6,-0.3,-0.3,0,0,0,0,0,-0.1,-0.1,-0.1,-0.2,-0.6,0,0,0,0,0,-0.1,-0.8,-1.3,-0.3,-1.3,-0.5,-1,-3.6,0,-1.4,-0.3,-0.2,-0.2,-0.1,-0.3,-0.8,-1.1,-0.4,0,-0.3,-0.9,-0.4,0,-0.8,0,-0.3,-0.7,-0.2,-0.8,-1.6,-0.8,0.1,-0.6,-3.1,0,-1.4,-3.3,-1,-0.9,-0.3,-0.1,-2.5,0,-3.7,-1.3,0,-0.7,-1.6,-1.1,-0.7,0,-0.1,-1.2,-0.1,0,-1.9,0,-1.2,-0.1,-0.1,-0.2,-0.2,0,-0.4,-0.6,-0.2,0,-0.4,-0.2,-0.2,-0.1,-0.4,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.3,0.3,-0.1,0,0,0.1,-0.1,-0.1,-0.1,0.2,-0.1,-0.2,-0.1,0.3,-0.2,-0.4,-0.4,0.6,-0.6,-0.2,-0.1,0.8,-0.1,0,-0.3,0.2,-0.2,0,-0.4,0.5,0
"48","          Land and other \12\","38","M318381B",0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0.1,0,0.1,0,0.1,1,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,-0.6,-7,0.1,-0.1,0.1,-0.1,-3.6,0,-6.6,-0.7,-0.1,-0.4,-2.4,-1.8,-0.2,-0.4,-0.2,-0.8,0,0,0,-0.1,0,-1,0,0,0.1
"49","        Other \13\","39","M318391B",-0.2,0.4,0.5,-0.1,0.6,-1.2,-0.2,0,0.2,-0.1,-0.2,-0.2,-0.1,-0.1,-0.1,-0.2,-0.1,0.1,-0.5,0,-0.3,0.6,-0.4,-0.2,-0.1,0.1,0,0,-0.1,0,-0.1,-0.1,0.2,-0.3,-0.1,0,0,0,-0.1,-0.2,0,-0.1,0,0,0.1,0.1,0.1,0,0,0,0.1,0.1,-0.2,-0.1,-0.2,0,-0.3,-0.3,-0.3,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","      Netting and grossing differences","40","M318401B",-0.6,-0.4,-0.5,-0.4,-0.9,-0.4,-0.4,-0.4,-0.8,-0.8,-0.4,-0.5,-0.8,-0.6,-0.6,-0.6,-0.7,-1,-0.6,-0.5,-0.9,-1,-0.6,-0.5,-1,-0.8,-0.8,-0.8,-0.9,-1.5,-1,-1,-1.1,-1.1,-1.1,-1,-1.7,-1.4,-1.2,-1,-1.1,-1,-1,-0.9,-1.2,-1.1,-1.1,-1.2,-1.2,-1,-1.1,-1.3,-1.8,-1.5,-1.4,-2.9,-2.9,-3.1,-2.8,-2.8,-3.1,-3.2,-2.9,-3.2,-4.1,-3.8,-3.6,-4.1,-3.8,-5.3,-4.1,-3.6,-4.1,-3.8,-3.8,-3.7,-4,-3.9,-4.1,-5,-4.3,-5.2,-4.4,-4.2,-5.7,-5.5,-5.5,-5.5,-5.9,-6,-5.7,-6.2,-6.7,-6.9,-7.4,-7.5,-8.4,-8.2,-8.6,-9.8,-8.5,-9.4,-9.7,-9.3,-10.1,-9.8,-10,-8.7,-9.8,-9.4,-9.4,-8.6,-9.2,-9,-10.2,-12.9,-9.5,-9.2,-9.9,-9.7,-10.4,-9.9,-11.7,-10.2,-9.1,-10.2,-12.1,-10.6,-11.3,-10.9,-12.7,-10.7,-12.9,-12.9,-13.5,-11.3
"51","        Supplementary medical insurance premiums","41","M318411B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2,-0.7,-0.9,-1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.3,-1.3,-1.3,-1.3,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.5,-1.7,-1.7,-1.7,-2.4,-1.7,-2.4,-2.4,-2.4,-3,-3.1,-3.1,-3.1,-2.8,-2.8,-2.9,-2.9,-3.1,-3.1,-3.1,-3.1,-3.3,-3.4,-3.4,-4.5,-2.8,-4,-4,-4.1,-4.5,-4.6,-4.6,-4.6,-5.2,-5.2,-5.3,-5,-5.1,-4.9,-5,-5,-5.2,-5.1,-5.2,-5.2,-5.2,-5.2,-5.2,-6.7,-4.1,-5.4,-5.4,-5.5,-5.4,-5.5,-5.5,-5.5,-6.1,-6,-6.1,-6.1
