"","Table 7#13# Chain-Type Quantity and Price Indexes for Gross Gove","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"48","    Net purchases of used structures","40","B870RA",34.8,29.18,29.5,30.45,27.23,21.34,21.9,21.92,21.34,23.38,37.44,48.79,29.88,13.09,9.71,8.21,12.37,10.06,10.52,12.5,21.46,28.63,26.43,23.75,30.78,34.38,56.79,59.63,60.51,67.13,80.14,74.83,84.44,92.32,98.34,117.89,138.97,140.32,140.45,133.23,118.24,121.21,123.79,109.94,99.97,89.22,76.16,73.55,65.17,53.6,54.49,53.82,53.86,53.47,58.97,66.13,73.08,82.22,86.43,86.94,97.87,111.01,114.05,109.29,98.36,95.02,94.96,100,96.51,112.21,118.6,117,39.84
"49","Equipment and software \2\","41","A871RA",0.84,0.79,0.91,0.81,0.84,1.44,1.58,1.42,1.55,1.88,2.05,2.18,13.77,56.6,113.72,127.59,89.56,6.74,5.33,7.51,10.3,8.3,22.33,30.97,34.71,28.62,23.73,23.27,22.23,23.16,28.73,26.9,30.51,32.89,30.24,29.64,28.07,33.27,36.62,32.63,30.19,28.71,22.29,24.63,24.69,26.5,28.6,28.69,29.15,30.29,34.81,37.45,40.19,44.3,52.27,60.41,71.17,79.67,86.28,84.72,91.62,97.36,95.71,95.87,91.75,91.24,93.28,100,102.85,114.02,126.14,133.06,140.27
"50","  Federal","42","B872RA",0.14,0.22,0.29,0.22,0.43,1.41,1.62,1.4,1.4,1.82,1.92,2.36,20.64,87.66,177.04,198.7,139.31,9.5,6.76,9.78,14.1,10.89,33.07,46.61,52.4,42.4,34.7,33.56,31.16,32.63,41.12,37.75,43.26,46.69,41.86,40.23,37.34,44.8,49.74,43.18,38.78,36.1,26.04,28.7,27.7,29.55,33.08,33.42,34.41,35.53,41.52,44.78,49.28,54.94,65.47,75.34,89.18,100.44,109.92,104.76,109.7,115.37,113.15,111.31,102.2,95.83,94.41,100,98.58,106.5,117.04,122.04,128.96
"51","    National defense","43","B873RA",0.1,0.21,0.31,0.24,0.45,0.4,0.39,0.74,0.76,0.94,1.22,1.67,26.7,136.89,281.25,317.96,219.63,11.32,6.43,12.05,18.83,13.58,47.01,67.17,76.8,61.71,50.53,48.72,45.27,47.66,60.75,55.05,62.1,66.19,57.09,52.84,46.22,56.65,65.21,56.83,50.46,47.4,32.35,36.05,34.87,36.87,41.81,41.85,42.55,42.25,50.54,53.33,59.81,66.91,78.19,90.55,108.61,125.1,136.97,126.71,130.57,136.5,131.28,125.12,110.23,102.68,97.58,100,91.01,95.85,102.2,105.09,110.58
"52","      Aircraft","44","B874RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.61,38.35,38.99,59.29,55.47,57.89,54.67,68.46,81.4,94.03,94.56,106.26,111.24,150.95,229.81,263.94,216.81,196.24,180.75,130.05,113.69,122.73,123.14,100.9,100,68.01,68,77.12,90.43,104.86
"53","      Missiles","45","B875RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.52,37.25,41.09,30.16,25.54,19.5,16,32.58,46.8,54.32,70.08,88.57,106.47,121.56,154.21,175.85,159.97,181.61,239.92,240.87,240.04,174.91,131.09,112.06,100,74.08,84.19,71.99,63.93,86.17
"54","      Ships","46","B876RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.45,79.68,98.31,87.96,90.12,105.16,118.39,121.87,107.17,122.08,142.4,158.23,167.66,184.28,177.97,173.11,164.07,182.05,192.05,172.3,166.45,140.23,126.93,118.14,100,88.6,95.07,100.87,95.93,105.26
"55","      Vehicles","47","B877RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.14,83.57,84.21,68.96,99.97,123.07,151.3,158.72,176,119.33,187.28,317.99,423.15,383.21,418.94,436.7,373,311.25,312.01,328.39,257.12,163.4,88.1,92.15,100,115.01,125.81,140.19,156.94,160.62
"56","      Electronics and software","48","B878RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.68,8.53,8.76,9.88,10.12,11.13,13.99,15.46,19,22.45,25.98,31.73,39.88,51.11,58.19,66.55,70.18,73.43,76.3,74.82,79.24,84.56,85.5,87.35,100,112.12,126.11,136.97,143.57,132.69
"57","      Other equipment","49","B879RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.05,45.51,44.03,57.09,61.86,58.78,50.95,59,51.49,58.47,60.89,63.58,79.2,96.77,81.78,86.69,87.23,95.89,94.9,111.65,104.44,86.57,86.51,90.8,100,92.29,90.73,96.66,96.1,101.96
"58","    Nondefense","50","B880RA",0.24,0.31,0.35,0.25,0.54,3.49,4.12,2.92,2.87,3.85,3.56,4.01,11.07,7.11,6.78,4.14,7.58,6.38,7.5,5.47,4.97,5.77,5.7,6.17,4.38,4.42,3.55,3.82,3.45,2.98,2.19,3.46,5.89,7.96,11.47,14.73,18.83,20.28,18.15,15.35,14.87,13.08,12.69,13.25,12.65,14.12,14.81,15.72,17.25,21.21,22.29,26.55,26.81,29.39,38.59,43.04,47.54,47.08,51.37,57.02,64.07,69.09,73.16,80.5,83.96,80.22,87.14,100,116.33,131.54,151.96,161.93,172.2
"59","  State and local","51","B881RA",3.06,2.62,2.94,2.75,2.27,2.15,2.14,2.08,2.67,2.91,3.32,2.73,2.05,1.57,1.17,1.16,1.13,1.84,2.74,3.46,3.64,3.7,3.84,4.15,4.4,4.89,4.75,5.35,6.55,6.56,7.01,7.89,8.15,8.71,9.99,11.3,12.11,13.36,13.91,14.52,15.64,16.35,16.54,18.43,20.63,22.49,22.1,21.74,21.29,22.52,24.65,26.32,26.14,27.72,31.56,37.06,42.9,46.96,49.01,53.04,62.93,68.7,67.96,71.23,74.97,83.8,91.42,100,109.93,126.56,141.34,151.59,159.28
"60","Addenda:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","  Government enterprise gross fixed investment","52","B882RA",15.99,19.52,20.65,16.5,10.01,11.19,12.89,24.36,19.45,21.81,25.35,24.98,20.63,43.79,58.21,43.13,5.02,11,17.24,19.23,25.69,27.55,31.35,32.51,31.5,30.7,31.17,34.8,37.09,41.37,45.88,47.44,53.42,43.15,43.77,50.54,61.99,54.64,59.06,68.88,65.88,63.84,60.97,62.68,64.79,69.65,67.57,70.74,68.01,79.29,81.37,86.32,83.57,79.66,77.14,81.22,88.5,92.2,95.56,93.94,93.85,100.57,104.19,109.72,106.13,99.02,99.62,100,105.68,105.28,112.52,113,110.98
"62","    Federal","53","B883RA",0.82,1.59,3.04,6.5,5.27,3.2,4.38,5.31,4.99,4.27,4.72,4.7,7.48,130.64,232.11,175.17,3.13,4.26,5.08,7.17,12.42,17.99,17.04,22.94,16.17,11.96,9.27,11.69,15.62,19.34,21.35,27.55,31.01,30.13,31.96,37.48,38.52,41.51,41.27,40.59,41.51,45.55,47.87,56.9,57.35,65.47,65.72,70.9,68.53,79.78,75.91,76.12,78.74,76.2,70.92,77.35,82.49,79.49,87,81.83,88.4,95.12,103.25,131.29,125.31,104.05,104.74,100,108.78,128.66,148.08,151.06,149.02
"63","      Structures","54","B884RA",4.46,8.67,14.2,34.73,27.88,17.82,24.39,29.52,27.75,23.78,26.25,25.03,24.74,22.66,17.45,11.79,10.47,14.2,14.22,21.42,37.81,43.66,32.3,26.77,28.49,27.2,20.49,26.96,35.56,44.1,52.02,61.79,69.82,86.84,98.54,121.96,125.1,123.67,111.64,100.27,96.5,103.3,106.36,107.78,109.86,111.9,119.64,139.15,134.23,161.83,155.26,156.35,166.11,141.37,142.21,146.84,146.81,148.35,179.46,121.25,120.9,140.5,140.7,157.85,124.44,131.9,130.61,100,96.26,104.28,117.06,101.18,87.75
"64","      Equipment and software","55","B885RA",0,0,0.38,0.19,0.19,0,0,0,0,0,0,0.19,2.48,112.42,204.87,154.95,0.74,1.01,1.75,2.16,3.56,7.68,9.36,16.69,9.29,5.22,4.21,4.98,6.79,8.39,8.32,12.12,13.57,8.18,7.03,6.81,7.05,10.41,13.25,15.49,17.41,19.77,21.34,30.62,30.48,39.1,36.83,36.23,35.11,38.85,36.49,36.33,35.82,42.72,35.18,42.01,49.22,44.27,40.5,60.77,70.54,70.8,82.71,115.85,124.42,87.72,89.53,100,116.56,144.3,168.18,185.26,192.14
"65","    State and local","56","B886RA",21.44,25.93,26.87,19.89,11.57,13.84,15.71,30.72,24.26,27.66,32.24,31.76,24.96,15.89,7.31,4.69,5.34,12.48,20.04,21.92,28.46,29.19,34.17,34,34.55,34.64,35.87,39.73,41.6,45.95,50.98,51.33,57.8,45.88,46.27,53.31,66.79,57.36,62.74,74.73,70.9,67.55,63.58,63.77,66.2,70.45,67.95,70.76,67.97,79.26,82.39,88.17,84.49,80.34,78.3,81.97,89.63,94.46,97.14,96.09,94.92,101.65,104.53,106.41,103.2,98.27,98.85,100,105.23,101.99,107.57,107.73,105.71
"66","      Structures","57","B887RA",21.39,26.33,27.19,19.82,11.17,13.64,15.57,31.19,24.27,27.72,32.33,32.05,25.23,15.95,7.18,4.48,5.15,12.34,19.9,21.58,28.35,29.09,34.22,33.93,34.42,34.33,35.66,39.49,40.97,45.5,50.56,50.37,57.06,59.93,59.34,69.95,72.88,70.72,77.72,88.68,83.44,79.18,73.63,71.52,74.31,79.71,76.54,80.57,77.88,91.05,93.91,99.88,95.58,89.61,85.05,87.72,96.67,101.49,104.86,105.15,101.85,108.67,113.13,114.09,108.87,101.52,101.09,100,106.29,98.85,103.6,103.28,100.33
"67","      Equipment and software","58","B888RA",7.42,6.42,7.2,6.82,5.73,5.21,5.25,5.11,6.56,7.13,8.23,6.71,5.04,3.92,2.88,2.81,2.81,4.47,6.66,8.42,8.85,8.96,9.39,10.13,10.72,11.91,11.63,12.96,16,16,17.2,21.1,21.33,5.29,7.29,5.56,19.93,8.06,8.01,15.92,17.76,18.15,20.63,30.41,31.29,30.39,30.89,28.35,25.09,28.26,32.55,37.56,36.59,40.36,49.12,57.08,59.18,64,63.74,56.97,65.01,71.29,67.5,73.18,78.43,83.87,88.86,100,100.13,117.9,127.76,130.48,133.7
"68","Chain-type price indexes",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","      Gross government fixed investment \1\","59","B782RG",15.18,14.29,12.84,10.52,11.82,13.55,13.41,14.3,14.7,14.65,14.39,14.46,15.89,16,16.04,14.97,13.93,15.47,17.68,19.36,19.39,19.04,21.33,21.69,21.45,21.37,21.74,23.69,24.78,24.71,24.8,24.65,24.74,25.24,25.64,25.94,26.25,27.07,27.93,29.22,30.98,33.4,35.8,37.82,40.37,46.27,50.99,52.86,55.41,58.65,63.4,69.86,76.85,81.8,83.19,84.16,84.43,84.4,84.92,86.27,88.18,90.33,91.88,92.17,94.02,96.21,98.89,100,100.72,101.01,102.66,105.28,107.04
"70","  Federal","60","B787RG",19.02,18.06,16.65,14.24,15.28,16.96,17.58,18.28,19.04,19.11,19.09,19.44,21.14,20.86,20.87,19.46,18.07,20.14,22.41,23.84,24.45,24.49,26.74,27.04,26.68,26.94,27.68,29.99,31.64,32,32.26,32.27,32.43,33.15,33.73,34.14,33.96,34.61,35.75,37.42,39.23,41.84,44.4,47.13,49.39,52.86,57.34,61.11,65.28,69.35,73.43,78.67,85.24,90.72,92.79,94.55,93.52,90.45,88.23,88.51,90.3,92.02,93.95,94.18,96.07,98.03,100.11,100,98.67,97.29,97.96,98.71,98.74
"71","    National defense","61","B788RG",17.85,16.33,15.23,13.48,13.55,15.05,15.44,15.9,17.57,17.92,18.2,18.59,20.47,20.05,20.12,18.71,17.39,19.77,22.61,24.06,24.77,25.24,27.72,27.87,27.43,27.79,28.64,31.12,32.81,33.25,33.45,33.42,33.58,34.33,34.9,34.99,35,35.61,36.66,38.35,40.19,42.49,44.99,48.13,50.36,53.13,56.68,60.9,65.58,70.33,74.03,78.76,85.25,91.07,93.71,95.93,94.31,90.11,87.01,86.77,88.46,90.08,92.1,92.73,95.08,97.53,99.8,100,98.51,96.91,97.49,97.62,96.77
"72","    Nondefense","62","B798RG",19.78,18.97,17.42,14.77,16.05,17.81,18.49,19.26,19.69,19.65,19.51,19.79,21.05,22.48,20.62,22.51,20.13,20.26,20.83,22.17,22.57,21.96,23.59,24.83,25.09,24.43,24.27,25.58,27.09,27.03,27.68,27.95,28.08,28.7,29.31,30.56,29.99,30.7,31.98,33.58,35.26,38.7,41.32,43.09,45.29,50.09,56.41,58.99,61.95,64.63,69.35,75.33,81.83,86.37,86.84,87.29,88.11,89.05,90.07,92.18,94.24,96.24,97.87,97.07,97.96,98.94,100.67,100,98.95,97.86,98.66,100.21,101.39
"73","  State and local","63","B799RG",9.55,8.99,8.05,6.55,7.47,8.7,8.37,9.06,9.25,9.19,8.97,8.96,9.91,11.57,12.34,12.09,12.04,13.17,15.42,17.21,16.93,16.38,18.82,19.32,19.2,18.68,18.78,20.59,21.35,21,20.99,20.72,20.77,21.14,21.45,21.69,22.24,23.12,23.84,24.94,26.61,28.87,31.09,32.78,35.31,41.78,46.38,47.43,49.22,51.99,56.85,63.67,70.69,75.26,76.2,76.61,77.83,80.13,82.84,85.02,87.02,89.47,90.77,91.11,92.93,95.25,98.25,100,101.72,102.8,104.91,108.41,111
"74","Structures \2\","64","B760RG",7.84,7.35,6.58,5.29,6.06,7.05,6.82,7.41,7.63,7.63,7.48,7.49,8.17,9.49,10.22,9.98,10.18,11.52,13.42,14.9,14.75,14.16,16.23,16.75,16.7,16.21,16.22,17.76,18.58,18.4,18.46,18.25,18.28,18.64,18.91,19.16,19.65,20.46,21.12,22.14,23.75,25.85,27.98,29.68,32.3,38.26,42.49,43.42,45.17,47.64,52.42,58.97,65.59,70,70.9,71.65,73.04,75.3,78.21,80.61,82.96,85.71,87.03,87.65,90.01,93.03,97.05,100,103.4,106.26,110.05,115.12,119.29
"75","  Federal","65","B801RG",6.32,6,5.47,4.59,5,5.64,5.54,6,6.37,6.49,6.47,6.55,7,8.08,8.71,8.5,8.76,10.13,11.7,12.55,12.76,12.19,13.75,14.28,14.31,13.94,14.03,15.11,15.92,16.17,16.24,16.19,16.19,16.5,16.68,16.98,17.28,17.93,18.56,19.58,21.29,23.01,25.04,26.88,29.99,33.7,38.18,40.1,42.84,45.2,50.57,56.08,61.32,65.21,66.3,68.73,70.45,71.38,73.84,76.48,80.72,83.45,85.66,86.79,90,93.37,97.2,100,103.26,106.01,109.43,113.84,117.41
"76","    National defense","66","B808RG",4.76,4.36,3.97,3.34,3.57,4,4.02,4.23,4.65,4.76,4.85,5.08,5.52,6.48,7,6.84,7.01,8.2,9.65,10,10.18,9.7,11.42,11.77,11.72,11.38,11.51,12.39,13.01,13.37,13.44,13.41,13.3,13.58,13.7,13.91,13.92,14.58,15,16.04,17.94,19.39,21.3,23.03,27.5,30.91,34.04,35.46,38.87,40.45,48.09,52.4,55.66,58.18,58.95,63.1,65.03,65.16,68.28,71.06,76.43,78.77,81.16,82.86,88.73,93.1,97.22,100,103.34,106.16,110.17,114.8,118.8
"77","      New","67","B814RG",4.75,4.35,3.97,3.33,3.56,3.99,3.95,4.18,4.56,4.62,4.62,4.83,5.24,6.16,6.66,6.5,6.65,7.83,9.57,10.22,10.29,9.84,11.55,11.9,11.85,11.51,11.63,12.51,13.13,13.52,13.57,13.48,13.52,13.68,13.96,14.14,14.36,14.59,15.32,16.36,17.6,19.08,20.94,22.67,27.35,30.84,33.94,35.55,38.86,40.45,48.09,52.45,55.67,58.19,58.96,63.11,65.04,65.17,68.29,71.07,76.44,78.78,81.16,82.87,88.74,93.1,97.22,100,103.34,106.17,110.17,114.8,118.8
"78","        Buildings","68","B815RG",3.99,3.79,3.54,3.36,3.43,4.03,3.98,4.13,4.58,4.67,4.64,5.16,5.71,6.52,6.97,6.87,7.06,8.38,10.32,11.16,11.37,10.73,12.33,12.65,12.73,12.42,12.63,13.44,14.6,15.45,14.77,14.72,14.66,14.46,14.67,15.1,15.49,16.39,16.75,17.48,18.81,19.99,21.99,22.5,25.41,27.11,29.02,30.2,34.26,36.23,47.46,50.25,53.21,59.53,61.52,68.24,67.81,62.84,66.45,73.22,83.4,86.33,88.15,86.23,90.16,93.75,97.73,100,103.14,106.21,110.81,115.86,119.91
"79","          Residential","69","B816RG",6.71,6.32,5.85,5.37,5.54,5.65,5,5.21,5.76,5.99,6.22,6.22,6.79,7.32,7.77,8.47,8.94,10.03,12.72,12.27,12.56,12.42,13.88,14.7,14.59,14.99,17.24,13.44,14.82,15.25,15.22,15.32,15.34,15.38,15.29,15.37,15.59,16.03,15.15,15.97,17.68,18.1,19.14,19.87,22.81,23.49,24.98,26.33,30.6,32.41,46.69,47.48,48.42,55.83,58.65,69.4,67.74,58.41,62.29,70.44,83.58,86.15,87.67,84.05,89.55,94.26,98.21,100,102.83,105.49,110.25,115.32,119.69
"80","          Industrial","70","B817RG",5.35,5.03,4.65,4.25,4.39,5.07,5.49,5.49,6.59,5.99,5.74,6.45,7.15,8.24,8.82,8.45,8.65,10.65,12.86,14.19,14.44,13.53,15.57,15.97,16.07,15.66,15.89,17.26,18.68,20.12,18.25,17.97,17.83,17.34,17.88,18.71,19.39,21.04,22.34,23.25,24.69,26.81,30.07,30.27,32.72,38.66,42.29,41.91,44.14,46.5,51.07,57.75,64.92,69.56,70.18,70.77,72.11,74.35,77.34,80.36,83.35,87.12,89.41,89.5,91.13,92.58,96.65,100,103.94,108.14,112.36,117.41,120.85
"81","        Military facilities \3\","71","B818RG",4.85,4.44,4.05,3.41,3.64,4.06,4.03,4.32,4.56,4.56,4.55,4.69,5.04,6.03,6.58,6.36,6.47,7.58,9.16,9.7,9.67,9.37,11.23,11.62,11.43,11.04,11.09,11.99,12.43,12.64,12.98,12.88,12.95,13.23,13.53,13.66,13.83,13.89,14.67,15.77,16.97,18.51,20.3,22.5,27.94,32.28,35.97,37.8,40.68,42.08,47.96,53.04,56.37,56.33,56.29,58.79,62.15,65.54,68.35,69.03,71.89,73.88,76.69,80.98,88.02,92.81,97,100,103.42,106.13,109.81,114.21,118.18
"82","      Net purchases of used structures","72","B819RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,16.5,17.13,19.17,16.21,18.2,14.55,22,27.84,20.37,28.58,30.21,20.88,24.17,26.92,29.01,32.91,36.1,39.62,43.46,45.6,49.41,58.64,73.62,68.86,74.92,72.02,74.04,74.56,77.13,78.69,80.81,83.01,86.38,88.73,89.15,90.6,92.53,96.63,100,103.77,106.95,110.55,115.39,118.65
"83","    Nondefense","73","B830RG",8.94,8.55,7.79,6.53,7.13,8.06,7.89,8.58,9.03,9.19,9.11,9.02,9.27,9.01,9.21,8.99,9.82,0.94,13.27,14.48,14.72,14.07,15.3,16.18,16.52,16.28,16.13,17.37,18.48,18.29,18.36,18.3,18.49,18.81,19.05,19.42,19.9,20.57,21.35,22.35,23.85,25.78,27.88,29.76,31.73,35.65,41.09,43.34,45.74,48.56,53,59.21,65.56,70.33,71.67,72.62,74.13,75.83,77.58,80,82.85,85.88,87.96,88.78,90.66,93.52,97.2,100,103.22,105.93,109.07,113.37,116.73
"84","      New","74","B831RG",8.68,8.3,7.56,6.34,6.93,7.82,7.66,8.34,8.73,8.85,8.71,8.65,8.92,8.72,9.1,8.82,9.34,10.95,13.21,14.47,14.64,14.01,15.22,16.1,16.44,16.2,16.04,17.28,18.47,18.26,18.36,18.3,18.49,18.81,19.07,19.43,19.91,20.59,21.35,22.36,23.88,25.8,27.89,29.77,31.75,35.67,41.12,43.36,45.76,48.49,52.91,59.13,65.57,70.34,71.67,72.61,74.13,75.77,77.58,80.03,82.84,85.89,87.98,88.77,90.67,93.53,97.17,100,103.29,106,109.1,113.44,116.73
"85","        Buildings","75","B832RG",6.38,5.81,5.05,4.24,4.15,4.66,4.68,4.98,5.76,5.81,5.84,5.91,6.53,7.08,7.05,8.01,7.86,9.29,13.02,14.44,13.91,13.81,15.88,16.35,16.45,16,16.25,17.61,18.35,18.21,18.17,18.31,18.34,18.49,18.6,18.91,19.34,19.98,20.56,21.45,23.58,25.38,27.75,29.58,31.96,36.16,39.63,40.18,42.53,45.55,50.12,56.28,62.29,66.88,68.63,70.54,72.66,74.76,77.1,80.65,83.6,86.43,87.96,88.32,90.92,93.85,97.49,100,103.4,107.36,111.84,116.77,121.2
"86","          Residential","76"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","          Industrial","77","B834RG",9.2,8.73,8.17,7.74,7.91,7.81,13.16,10.71,10.15,9.89,9.54,9.77,12.45,11.05,10.46,9.29,9.24,7.9,8.99,11.45,13.18,12.97,15.82,15.67,15.44,15.18,15.55,16.92,17.48,17.91,18.48,18.33,18.43,18.58,18.31,19.36,19.86,20.79,21.38,22.36,24.56,26.9,28.94,30.25,32.84,38.79,42.26,41.92,44.14,46.45,51.04,57.76,64.73,69.5,70.18,70.74,72.06,74.36,77.38,80.37,83.34,87.06,89.41,89.56,91.12,92.68,96.59,100,103.76,108.05,112.36,117.45,120.76
"88","          Educational","78","B835RG",5.91,5.91,4.04,3.66,3.84,4.04,4.04,4.04,5.12,5.12,5.12,5.49,5.49,5.49,6.99,6.99,6.86,7.69,10.98,12.3,12.3,12.3,12.3,13.84,14.19,13.18,13.67,14.06,15.87,15.73,16.19,16.82,16.79,16.92,17.18,17.08,17.43,17.91,19.78,20.6,22.98,23.86,26.75,28.36,30.74,33.81,37.39,38.68,42,45.73,50.78,56.25,61.63,65.4,67.34,70.01,72.18,74.2,76.38,80.42,83.45,85.94,87.21,87.72,90.68,94.2,97.83,100,103.04,106.93,111.19,116.84,121.1
"89","          Hospital","79","B836RG",8.08,6.46,5.38,4.61,4.61,4.97,4.97,5.38,6.46,6.46,6.46,5.87,7.18,7.18,8.08,8.73,8.73,9.79,13.44,14.88,14.39,14.29,16.41,16.84,16.9,16.61,16.9,18.09,18.86,18.67,16.94,17.22,17.33,17.41,17.81,18.24,18.77,19.38,19.73,20.71,22.79,24.9,27.69,29.97,31.98,36.07,39.64,40,41.2,43.48,47.73,53.25,58.7,63.88,67.48,70.93,74.11,76.21,78.61,81.53,84.28,87.18,89.35,89.52,91.13,93.79,97.34,100,103.57,108.38,112.33,117.23,121.79
"90","          Other \4\","80","B837RG",6.22,5.69,4.99,4.17,4.07,4.59,4.62,4.91,5.66,5.71,5.74,5.84,6.42,7.02,6.84,7.91,7.73,9.37,13.1,14.18,13.5,13.4,15.46,15.82,15.9,15.45,15.65,17.14,17.71,17.6,17.86,17.99,17.99,18.15,18.26,18.49,18.9,19.5,20.03,20.87,22.94,24.41,26.63,28.48,30.79,34.13,37.53,38.82,41.71,45.82,50.53,56.38,61.46,65.47,67.51,70.09,72.38,74.38,76.46,80.41,83.43,85.98,87.18,87.63,90.74,94.17,97.76,100,103.28,106.97,111.58,116.48,121.08
"91","        Highways and streets","81","B838RG",10.44,9.79,8.65,6.64,8.48,9.73,9.4,10.45,9.51,9.15,8.89,8.55,9.98,13.22,14.62,14.62,12.97,13.47,15.09,17.1,17.57,15.28,19.37,19.19,18.5,17.42,17.08,19.04,20.19,19.68,19.6,18.87,18.91,19.52,20.01,20.24,20.86,22.06,22.35,23.62,25.15,27.87,29.95,30.95,33.35,42.96,47.73,46.29,46.97,47.31,51.26,59.31,70.08,76.28,75.04,72.33,72.78,76.41,80.94,82.46,82.9,86.2,87.6,87.66,88.64,90.94,95.8,100,103.92,105.92,109.87,115.26,119.31
"92","        Conservation and development","82","B839RG",7.72,7.54,7.02,5.95,6.72,7.6,7.41,8.13,8.48,8.61,8.4,8.36,8.54,8.39,8.68,9.06,9.74,11.26,13.26,14.45,14.79,14.06,14.94,15.96,16.42,16.27,16.05,17.19,18.49,18.29,18.47,18.43,18.7,19.06,19.38,19.79,20.28,20.92,21.85,22.87,24.2,26.05,28.12,30.17,31.97,35.05,41.4,44.9,47.56,50.49,54.96,60.97,67.02,71.68,73.17,74.05,75.34,76.38,77.37,79.22,82.31,85.53,88.23,89.61,91.06,94,97.29,100,102.9,104.57,106.31,109.86,112.12
"93","        Other \5\","83","B840RG",8.97,8.4,8.03,7,9.92,9.92,11.34,7.61,8.82,10.27,12.03,11.53,10.89,7.75,8.49,5.24,7.22,12.03,14.33,16.28,16.28,15.68,15.2,16.18,16.18,16.29,16.66,18.57,19.29,18.94,18.94,18.52,18.64,18.96,19.19,19.35,19.93,20.91,21.54,22.53,24.04,26.22,28.28,30.43,32.58,39.17,43.83,44.29,46.67,48.54,52.84,60.07,67.77,73.83,73.56,72.82,73.93,76.2,79.23,80.88,82.72,85.76,87.94,88.57,89.78,92.47,96.55,100,103.62,105.32,107.93,112.48,115.74
