"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"37","27","      Structures","A009RS2",NA,0.15,0.44,0.4,0.27,0.3,0.29,0.06,-0.32,-0.29,-0.16,-0.07,-0.14,-0.11,0.28,0.63,0.68,0.39,0.23,0.07,0.01,-0.13,-0.07,0.02,0.07,0.19,0.15,-0.08,-0.3,-0.22,-0.04,-0.01,0.02,0.13,0.24,0.41,0.81,0.06,0.53,0.22,0.2,0.21,0.09,-0.05,-0.46,0.09,0.05,0.05,-0.09,0.09,0.06,0.01,0.05,-0.09,-0.07,-0.1,0,0.03,0.02,0.05,0.02,0.05,-0.01,0.04,0.04,0.03,0.04,0.01,-0.02,0.16,0.02,0.23,0.03,0.11,0.04,0.32,-0.04,0.36,0.02,0.2,0.06,0.08,0.11,0.21,0.22,0.19,0.12,0.37,0.21,0.25
"38","28","      Equipment and software","A010RS2",NA,1.11,0.61,0.26,-0.11,0.8,1.08,0.46,-0.07,0.11,-0.13,-0.33,-0.03,0.34,0.51,0.78,0.85,0.32,0.11,0.28,0.03,0.1,-0.13,-0.05,-0.05,0.05,0.09,-0.02,0.33,0.32,-0.29,0.01,-0.21,0.07,0.38,0.47,0.42,0.36,0.59,0.37,0.46,0.01,0.19,0.36,0,0.12,0.01,0.07,0.17,0.14,0.12,0.07,-0.04,0.12,0.03,-0.05,-0.08,-0.07,-0.06,-0.03,0,0.02,0.02,-0.08,-0.01,-0.05,-0.01,-0.02,0.02,0.02,-0.01,-0.02,0.03,-0.01,0.09,-0.09,0,0.1,0.09,0.21,0.16,0.14,0.18,0.2,0.11,0.23,0.24,0.3,0.12,0.17
"39","29","        Information processing equipment and software","A679RS2",NA,0.1,0.06,0.02,-0.03,0.02,0.03,0.01,0,-0.02,-0.01,0.02,0.02,-0.03,0.03,0.05,0.1,0.02,0.02,-0.02,0.02,-0.03,-0.08,-0.04,0.03,0.02,0.01,0.01,-0.04,0.03,0,0.07,-0.01,-0.04,-0.01,0.02,0.08,-0.13,0.19,-0.04,0.09,-0.02,-0.01,0.15,-0.08,0.02,0,0,0,0.01,0.02,0.02,-0.04,0.01,-0.03,-0.03,-0.03,0.01,-0.06,0.01,-0.03,0,-0.04,-0.04,-0.04,-0.01,-0.03,-0.03,0,-0.01,-0.04,0,-0.02,-0.07,0.04,-0.11,-0.05,-0.05,-0.08,-0.05,-0.02,-0.01,0.01,-0.01,-0.02,0,0,0.03,0.01,0
"40","30","          Computers and peripheral equipment","B935RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-0.02,0.03,-0.01,-0.02,-0.03,0.02,-0.06,0.01,-0.02,0.01,-0.04,-0.05,-0.04,-0.02,-0.02,-0.02,-0.01,-0.02,-0.06,-0.03,0,-0.07,0.04,-0.11,-0.05,-0.08,-0.09,-0.07,-0.05,-0.03,-0.01,-0.04,-0.05,-0.04,-0.04,-0.01,-0.01,-0.02
"41","31","          Software \1\","B985RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","32","          Other","A937RS2",NA,0.1,0.06,0.02,-0.03,0.02,0.03,0.01,0,-0.02,-0.01,0.02,0.02,-0.03,0.03,0.05,0.1,0.02,0.02,-0.02,0.02,-0.03,-0.08,-0.04,0.03,0.02,0.01,0.01,-0.04,0.03,0,0.07,-0.01,-0.04,-0.01,0.02,0.08,-0.13,0.19,-0.04,0.09,-0.02,-0.01,0.15,-0.08,0.02,0.01,0,0,0.02,0.03,0.02,-0.01,-0.02,-0.02,-0.01,0,0,0,0,0,-0.01,0,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.03,-0.02,0,0,0,0.01,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.03,0.02
"43","33","        Industrial equipment","A680RS2",NA,0.36,0.16,0.23,-0.07,0.14,0.34,0.21,0.04,-0.03,-0.06,-0.11,0.05,0.08,0.25,0.31,0.46,0.03,-0.04,0.06,-0.1,0.14,-0.07,0.02,0.04,0.11,0.06,-0.01,0.13,-0.02,-0.1,0.01,0.1,0.05,0.1,0.27,0.13,0.28,0.14,0.24,0.16,0,0.15,0.15,-0.05,0.04,0.02,0.02,0.04,0.07,0.07,0.05,0.03,0.01,0,-0.02,-0.02,-0.03,-0.01,0,0.01,0.03,0.03,0.01,-0.01,-0.01,0,0.02,0.03,0.02,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.06,0.1,0.12,0.11,0.09,0.08,0.08,0.08,0.12,0.1,0.1,0.04,0.04
"44","34","        Transportation equipment","A681RS2",NA,0.13,0.13,0.19,0.05,0.12,0.37,0.27,-0.05,0.01,-0.08,0.01,0,0.08,0.03,0.14,0.19,0.14,0.15,0.17,0.13,0.05,-0.02,-0.06,-0.12,-0.14,-0.03,-0.11,0.25,0.27,-0.17,0.02,-0.33,0.06,0.18,0.03,0.28,0.16,0.15,0.09,0.15,-0.01,-0.03,-0.11,0.15,0.06,0,0.02,0.08,0.01,-0.01,0,-0.06,0.05,0.03,-0.02,0,-0.03,0,-0.04,0,-0.03,0.02,-0.04,0.01,-0.02,0,-0.03,-0.02,0,0,-0.03,-0.01,0.03,0,-0.04,-0.02,0.03,0.02,0.04,-0.01,0.03,0.05,0.08,0.02,0.06,0.05,0.09,0,0.07
"45","35","        Other equipment","A862RS2",NA,0.52,0.25,-0.18,-0.06,0.52,0.34,-0.04,-0.06,0.14,0.02,-0.25,-0.1,0.2,0.2,0.28,0.1,0.13,-0.02,0.08,-0.02,-0.06,0.03,0.04,-0.01,0.06,0.05,0.08,-0.01,0.04,-0.03,-0.09,0.03,0,0.1,0.14,-0.07,0.05,0.11,0.07,0.06,0.03,0.08,0.16,-0.03,-0.01,-0.02,0.03,0.05,0.04,0.03,0,0.03,0.06,0.02,0.02,-0.03,-0.02,0.01,0,0.03,0.02,0.01,-0.01,0.02,0,0.03,0.02,0.02,0.01,0,-0.02,0.03,0.01,0.02,0.02,0.03,0.06,0.05,0.09,0.07,0.04,0.04,0.05,0.04,0.05,0.09,0.07,0.06,0.06
"46","36","    Residential","A011RS2",NA,1.01,0.46,0.62,0.5,0.3,0.58,0.11,0.13,-0.06,-0.57,-0.01,-0.06,0.64,1.11,-0.03,0.95,0.3,0.13,0.2,0.11,0.18,0.19,-0.13,0.01,0.02,0.17,-0.09,-0.12,0.06,0.26,0.01,0.13,0.23,0.19,0.05,0.22,0.36,0.06,-0.08,-0.05,0.06,0.13,-0.07,-0.09,0.02,0,0.02,0.04,0.02,-0.01,0.02,0.06,0.08,0,0.02,-0.06,0.08,0.01,-0.02,0.03,0,-0.01,-0.03,0.01,-0.08,-0.24,0.14,-0.2,0.35,0.06,0.44,-0.03,0.02,-0.01,0.53,-0.25,0.65,-0.1,0.33,0.01,0.04,0.09,0.32,0.3,0.16,0.01,0.68,0.34,0.27
"47","37","  Change in private inventories","A014RS2",NA,0.04,0.38,-0.64,0.12,0.02,0.01,-0.28,-0.02,0.04,0.11,0.02,-0.02,-0.01,0.12,0.5,0.71,0.22,-0.18,0.01,-0.03,-0.03,0.01,-0.08,-0.04,0.01,0.02,-0.01,0.04,-0.01,-0.03,-0.01,0.01,0.02,0.04,0.05,0.07,0.02,0.04,0.01,0.03,0,0.01,0.01,0.04,0.05,-0.01,-0.01,-0.13,-0.01,-0.01,0.01,0.01,-0.01,-0.01,0,0.01,-0.03,0,0,-0.01,-0.02,0,-0.01,-0.02,-0.04,-0.01,0.01,0,-0.03,0.01,-0.01,0,0.01,0,0.02,0.02,0.01,0.02,0.04,0.02,-0.01,-0.02,0.04,0.02,0.03,0.01,0.01,0.01,0.03
"48","38","    Farm","B018RS2",NA,-0.01,0.34,-0.66,0.03,-0.01,-0.01,-0.29,0.01,0.02,0.03,0,0,-0.01,0.01,0.07,0.14,-0.01,-0.06,0.05,-0.03,-0.02,0.01,-0.07,-0.04,-0.01,0,-0.01,0.03,-0.02,-0.01,0,0,0,0.01,0.01,0,-0.04,0,0,0.01,0,0.01,0.01,0.05,0.04,-0.01,-0.01,0,-0.01,0,0.02,0.01,0.01,-0.01,0.01,0,-0.01,0.01,0.01,0,0,0,0.01,-0.01,-0.01,0,0.01,0,0.01,0,0,0,0.01,-0.01,0.02,0.02,0,-0.01,0.01,0,-0.01,-0.01,0.01,0.01,0.03,0,-0.01,0,0.02
"49","39","    Nonfarm","A015RS2",NA,0.05,0.04,0.02,0.1,0.03,0.02,0,-0.03,0.02,0.08,0.02,-0.02,-0.01,0.11,0.43,0.57,0.23,-0.11,-0.04,0,-0.01,0,-0.02,0,0.02,0.02,0,0.01,0,-0.02,-0.01,0,0.01,0.03,0.04,0.06,0.06,0.03,0.01,0.02,0,0,0,-0.01,0.01,0,0,-0.14,0,-0.01,-0.01,0,-0.01,0,-0.01,0.01,-0.02,0,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.03,0,0.01,0,-0.03,0.01,0,0,0,0,0,0.01,0.01,0.02,0.03,0.02,0,-0.01,0.03,0.01,0,0.01,0.02,0.02,0.01
"50","40","Government consumption expenditures and gross investment","A822RS2",NA,0.19,-0.89,0.85,1.13,0.61,1.47,0.45,1.19,-0.61,-1.04,0.49,-0.64,-0.53,0.94,0.87,3.35,-0.61,0.56,1.1,-1.08,1.31,1.09,0.98,-0.74,0.12,-0.52,0.37,0.53,0.78,0.69,0.63,0.5,1.39,0.97,0.9,1.32,1.25,0.84,0.4,1.66,0.79,0.56,0.48,0.56,0.92,0.8,0.51,0.1,-0.13,-0.35,0.2,0.3,0.29,0.91,0.74,0.09,0.5,0.19,0.61,0.95,0.34,0.4,0.82,0.55,0.28,-0.1,1.43,0.57,0.38,0.87,0.18,0.56,0.38,0.84,1.23,0.6,0.74,1.58,0.64,0.64,1.05,1.11,1.49,1.13,1.13,1.29,1.51,0.76,1.58
"51","41","  Federal","A823RS2",NA,-0.21,-1.4,0.05,0.25,0.09,0.55,0.05,1.48,-0.14,-0.97,0.72,-0.26,-0.69,0.11,0.03,2.32,-1.1,0.05,0.74,-1.08,1.01,0.58,1.05,-1,0.23,-0.51,0.45,0.62,0.12,0.53,0.47,0.75,1.28,0.48,0.55,0.64,0.84,0.31,0.09,1.33,0.31,0.41,0.51,0.64,0.6,0.58,0.36,-0.33,-0.19,-0.36,0.14,-0.01,0.13,0.74,0.6,-0.11,0.14,-0.07,0.3,0.45,0.17,0.33,0.59,0.23,0.07,-0.18,1.11,0.39,0.19,0.69,0,0.17,0.15,0.51,0.91,0.07,0.07,1.01,0.11,-0.04,0.61,0.52,0.99,0.45,0.6,0.9,0.68,0.08,0.69
"52","42","    National defense","A824RS2",NA,0.01,-2.6,0.07,0.54,0.27,0.53,0.16,0.67,-0.21,-0.38,0.27,-0.18,-0.43,0.38,0.44,1.33,-0.76,0.14,0.79,-1.38,0.9,0.49,0.96,-1.01,0.22,-0.44,0.37,0.76,0,0.6,0.44,0.52,1.17,0.63,0.54,0.63,0.72,0.19,0.14,1.21,0.18,0.39,0.41,0.56,0.43,0.59,0.27,-0.47,-0.16,-0.25,0.14,-0.04,0.14,0.52,0.55,-0.19,0.18,-0.09,0.27,0.27,0.17,0.31,0.33,0.34,0.02,-0.23,0.99,0.17,0.01,0.52,0,0.13,0.18,0.44,0.75,-0.05,0.03,0.91,0.01,-0.08,0.52,0.47,0.9,0.21,0.48,0.72,0.52,0.06,0.61
"53","43","      Consumption expenditures","A997RS2",NA,0.02,-2.64,0.03,0.55,0.23,0.42,0.15,0.58,-0.09,-0.34,0.26,-0.21,-0.43,0.35,0.21,1.2,-0.89,0.05,0.54,-1.29,0.93,0.36,0.89,-0.67,0.3,-0.34,0.48,0.7,-0.02,0.36,0.25,0.67,1.04,0.48,0.36,0.32,0.58,0.04,0.07,0.98,0.14,0.27,0.33,0.66,0.41,0.46,0.19,-0.47,-0.18,-0.29,0.12,0.04,0.14,0.44,0.55,-0.19,0.13,-0.09,0.14,0.37,0.14,0.18,0.21,0.44,-0.03,-0.18,0.98,0.2,-0.01,0.51,0,0.18,0.11,0.46,0.72,-0.02,-0.07,0.91,-0.05,-0.04,0.45,0.41,0.84,0.22,0.44,0.69,0.42,0.01,0.46
"54","44","      Gross investment","A788RS2",NA,-0.01,0.04,0.04,0,0.04,0.12,0,0.09,-0.12,-0.04,0,0.03,0,0.03,0.22,0.13,0.13,0.08,0.24,-0.09,-0.04,0.12,0.07,-0.34,-0.08,-0.1,-0.11,0.06,0.02,0.23,0.19,-0.15,0.13,0.14,0.18,0.32,0.13,0.15,0.07,0.24,0.04,0.12,0.08,-0.1,0.02,0.13,0.09,0.01,0.01,0.04,0.02,-0.07,0,0.07,0,0,0.06,0,0.13,-0.1,0.03,0.14,0.12,-0.1,0.05,-0.05,0.01,-0.03,0.02,0.01,0.01,-0.04,0.07,-0.02,0.03,-0.03,0.1,0,0.06,-0.04,0.06,0.06,0.07,-0.01,0.05,0.04,0.1,0.05,0.15
"55","45","    Nondefense","A825RS2",NA,-0.22,1.2,-0.01,-0.29,-0.18,0.02,-0.11,0.81,0.07,-0.59,0.45,-0.08,-0.26,-0.27,-0.4,0.99,-0.34,-0.09,-0.04,0.3,0.11,0.09,0.09,0,0.01,-0.06,0.08,-0.13,0.12,-0.06,0.04,0.23,0.11,-0.15,0.01,0.01,0.12,0.12,-0.06,0.11,0.13,0.03,0.11,0.08,0.17,0,0.09,0.14,-0.03,-0.11,0,0.02,-0.01,0.23,0.05,0.09,-0.04,0.02,0.03,0.17,0,0.02,0.25,-0.11,0.04,0.04,0.12,0.22,0.18,0.17,0,0.03,-0.03,0.06,0.16,0.12,0.03,0.1,0.1,0.04,0.1,0.06,0.09,0.23,0.12,0.18,0.16,0.02,0.08
"56","46","      Consumption expenditures","A542RS2",NA,-0.25,0.9,0.06,-0.26,-0.2,-0.07,-0.09,0.73,0.02,-0.23,0.27,0.01,-0.22,-0.27,-0.49,0.92,-0.35,-0.14,0.03,0.26,0.05,0.06,0.1,-0.02,0.06,-0.09,0.1,-0.13,0.15,-0.08,0.06,0.24,0.1,-0.16,0.01,0,0.1,0.1,-0.06,0.1,0.1,0,0.1,0.13,0.15,-0.01,0.08,0.12,-0.03,-0.11,0,0.02,-0.01,0.22,0.05,0.1,-0.05,0.01,0.02,0.16,-0.02,0.02,0.24,-0.12,0.03,0.06,0.06,0.19,0.11,0.2,0.02,0.05,0.01,0.06,0.15,0.1,0,0.1,0.06,0.01,0.07,0.04,0.09,0.19,0.09,0.16,0.15,0.01,0.06
"57","47","      Gross investment","A798RS2",NA,0.03,0.3,-0.08,-0.03,0.02,0.08,-0.01,0.08,0.05,-0.36,0.19,-0.1,-0.04,-0.01,0.09,0.07,0.02,0.06,-0.08,0.04,0.06,0.03,-0.01,0.02,-0.05,0.03,-0.03,-0.01,-0.03,0.01,-0.02,-0.01,0.01,0.01,0,0.01,0.02,0.02,0,0.01,0.04,0.02,0,-0.05,0.02,0,0.01,0.02,0.01,0,-0.01,0,0.01,0.01,0,-0.01,0.01,0.01,0.01,0.01,0.01,0,0.02,0.01,0.02,-0.01,0.07,0.03,0.07,-0.03,-0.02,-0.02,-0.04,0,0.01,0.02,0.04,0,0.04,0.03,0.03,0.02,0,0.04,0.03,0.01,0.02,0.01,0.02
"58","48","  State and local","A829RS2",NA,0.4,0.51,0.79,0.88,0.52,0.92,0.4,-0.28,-0.47,-0.07,-0.23,-0.38,0.17,0.84,0.84,1.03,0.49,0.51,0.36,0,0.3,0.52,-0.07,0.27,-0.1,-0.02,-0.08,-0.09,0.66,0.15,0.16,-0.25,0.11,0.49,0.36,0.68,0.42,0.53,0.31,0.33,0.47,0.15,-0.03,-0.08,0.32,0.22,0.15,0.43,0.06,0.01,0.06,0.32,0.16,0.16,0.14,0.2,0.36,0.26,0.31,0.5,0.17,0.07,0.23,0.32,0.21,0.09,0.32,0.18,0.2,0.18,0.17,0.4,0.23,0.34,0.32,0.53,0.68,0.57,0.53,0.68,0.44,0.59,0.5,0.69,0.53,0.39,0.83,0.68,0.89
"59","49","      Consumption expenditures","A991RS2",NA,0.32,0.35,0.63,0.7,0.37,0.73,0.37,-0.21,-0.3,0.07,-0.11,0.01,0.21,0.55,0.46,0.55,0.24,0.35,0.3,0.11,0.19,0.33,0.12,0.18,0.02,-0.02,0.16,0.13,0.38,0.27,0.1,0.03,0.08,0.12,0.22,0.4,0.16,0.3,0.23,0.28,0.3,0.15,0.11,0.19,0.19,0.11,0.16,0.35,0.18,0.08,0.13,0.35,0.17,0.16,0.14,0.19,0.35,0.25,0.28,0.41,0.1,0.05,0.17,0.29,0.16,0.06,0.25,0.16,0.17,0.16,0.14,0.29,0.13,0.26,0.24,0.46,0.44,0.47,0.4,0.61,0.43,0.44,0.4,0.44,0.43,0.39,0.54,0.45,0.62
"60","50","      Gross investment","A799RS2",NA,0.08,0.17,0.16,0.17,0.14,0.19,0.03,-0.07,-0.17,-0.14,-0.12,-0.39,-0.04,0.28,0.38,0.48,0.25,0.16,0.06,-0.11,0.12,0.19,-0.19,0.08,-0.12,0,-0.23,-0.23,0.28,-0.12,0.07,-0.28,0.03,0.37,0.13,0.28,0.25,0.23,0.08,0.05,0.18,-0.01,-0.15,-0.26,0.13,0.11,-0.01,0.07,-0.11,-0.07,-0.06,-0.03,0,0,0,0.01,0.01,0.01,0.03,0.09,0.07,0.02,0.06,0.02,0.05,0.02,0.06,0.02,0.03,0.02,0.04,0.11,0.1,0.07,0.08,0.08,0.24,0.09,0.13,0.06,0.01,0.15,0.11,0.25,0.1,0,0.28,0.23,0.27
"61",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","51","  Final sales of computers to domestic purchasers \2\","W489RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","52","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","53","  Food \3\","B981RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","54","  Energy goods and services","B982RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","55","  Gross domestic purchases excluding food and energy","B983RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","3. Food excludes personal consumption expenditures for purchased meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","beverages, which are classified in food services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
