"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"63","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRC1","732.0","688.0","614.0","520.0","506.0","549.0","582.0","632.0","681.0","673.0","734.0","786.0","880.0","965.0","1,155.0","1,261.0","1,422.0","1,629.0","1,820.0","1,962.0","2,049.0","2,127.0","2,280.0","2,452.0","2,609.0","2,691.0","2,811.0","2,893.0","3,057.0","3,199.0","3,391.0","3,504.0","3,368.0","3,762.0","4,038.0","4,216.0","4,508.0","5,332.0","5,466.0","5,849.0","6,426.0"
"64","46","      Net expenditures abroad by U.S. residents (131)","DNFRRC1","21.0","20.0","20.0","20.0","18.0","16.0","20.0","18.0","17.0","17.0","20.0","20.0","25.0","153.0","273.0","632.0","1,128.0","-144.0","-151.0","-12.0","226.0","216.0","501.0","725.0","1,005.0","981.0","993.0","1,004.0","997.0","1,001.0","959.0","918.0","856.0","905.0","881.0","983.0","1,072.0","1,291.0","1,379.0","1,496.0","1,654.0"
"65","47","Services","DSERRC1","33,619.0","31,974.0","28,965.0","24,587.0","22,187.0","22,975.0","24,299.0","26,213.0","28,460.0","28,259.0","29,284.0","30,654.0","33,620.0","37,978.0","43,571.0","48,120.0","52,360.0","58,067.0","62,562.0","67,606.0","70,416.0","75,399.0","83,782.0","90,742.0","98,244.0","104,236.0","111,366.0","119,518.0","127,258.0","134,618.0","145,097.0","154,780.0","163,376.0","174,367.0","184,559.0","199,200.0","214,135.0","231,273.0","248,792.0","273,386.0","300,447.0"
"66","48","  Household consumption expenditures (for services)","DHCERC1","32,336.0","30,681.0","27,756.0","23,550.0","21,276.0","22,070.0","23,400.0","25,276.0","27,505.0","27,281.0","28,293.0","29,598.0","32,505.0","36,715.0","42,090.0","46,451.0","50,623.0","56,089.0","60,438.0","65,287.0","68,061.0","72,924.0","81,137.0","87,795.0","95,153.0","100,929.0","107,902.0","115,621.0","123,103.0","130,126.0","140,037.0","149,504.0","157,911.0","168,660.0","178,559.0","192,506.0","206,943.0","223,522.0","240,371.0","264,040.0","290,365.0"
"67","49","    Housing and utilities","DHUTRC1","12,876.0","12,499.0","11,782.0","10,499.0","9,357.0","9,106.0","9,248.0","9,604.0","10,172.0","10,614.0","10,888.0","11,306.0","12,082.0","12,990.0","13,535.0","14,189.0","14,713.0","16,312.0","18,276.0","20,536.0","22,591.0","25,088.0","28,102.0","31,175.0","34,470.0","37,367.0","40,033.0","42,898.0","45,934.0","49,187.0","52,849.0","56,720.0","60,301.0","64,476.0","68,208.0","72,148.0","76,618.0","81,226.0","86,344.0","92,748.0","100,982.0"
"68","50","      Housing","DHSGRC1","11,418.0","10,961.0","10,237.0","9,005.0","7,932.0","7,623.0","7,720.0","8,018.0","8,529.0","8,937.0","9,140.0","9,444.0","10,153.0","10,943.0","11,427.0","11,966.0","12,368.0","13,743.0","15,411.0","17,340.0","19,087.0","21,127.0","23,678.0","26,298.0","29,133.0","31,483.0","33,553.0","35,817.0","38,344.0","41,009.0","43,954.0","46,976.0","49,955.0","53,381.0","56,469.0","59,764.0","63,627.0","67,511.0","71,866.0","77,316.0","84,207.0"
"69","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRC1","4,542.0","4,454.0","4,280.0","3,858.0","3,415.0","3,277.0","3,323.0","3,490.0","3,763.0","4,003.0","4,132.0","4,298.0","4,580.0","4,827.0","4,837.0","4,816.0","4,670.0","4,918.0","5,290.0","5,895.0","6,505.0","7,058.0","7,745.0","8,406.0","9,194.0","9,756.0","10,094.0","10,514.0","11,151.0","11,822.0","12,532.0","13,279.0","14,150.0","15,115.0","16,045.0","17,034.0","18,156.0","19,238.0","20,390.0","22,168.0","24,042.0"
"70","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRC1","5,868.0","5,552.0","5,101.0","4,416.0","3,844.0","3,643.0","3,646.0","3,759.0","3,950.0","4,104.0","4,179.0","4,310.0","4,706.0","5,192.0","5,588.0","6,060.0","6,496.0","7,356.0","8,456.0","9,731.0","10,968.0","12,391.0","14,089.0","15,901.0","17,899.0","19,724.0","21,407.0","23,233.0","25,036.0","26,953.0","29,047.0","31,273.0","33,285.0","35,714.0","37,787.0","39,991.0","42,668.0","45,338.0","48,329.0","51,883.0","56,627.0"
"71","53","        Rental value of farm dwellings (22)","DFARRC1","913.0","865.0","775.0","664.0","614.0","640.0","683.0","693.0","733.0","745.0","741.0","744.0","767.0","821.0","879.0","955.0","1,052.0","1,303.0","1,447.0","1,505.0","1,408.0","1,464.0","1,607.0","1,736.0","1,765.0","1,711.0","1,741.0","1,734.0","1,787.0","1,861.0","2,031.0","2,098.0","2,202.0","2,258.0","2,360.0","2,443.0","2,481.0","2,599.0","2,747.0","2,838.0","3,046.0"
"72","54","        Group housing (23)","DGRHRC1","95.0","90.0","81.0","67.0","59.0","63.0","68.0","76.0","83.0","85.0","88.0","92.0","100.0","103.0","123.0","135.0","150.0","166.0","218.0","209.0","206.0","214.0","237.0","255.0","275.0","292.0","311.0","336.0","370.0","373.0","344.0","326.0","318.0","294.0","277.0","296.0","322.0","336.0","400.0","427.0","492.0"
"73","55","      Household utilities","DUTLRC1","1,458.0","1,538.0","1,545.0","1,494.0","1,425.0","1,483.0","1,528.0","1,586.0","1,643.0","1,677.0","1,748.0","1,862.0","1,929.0","2,047.0","2,108.0","2,223.0","2,345.0","2,569.0","2,865.0","3,196.0","3,504.0","3,961.0","4,424.0","4,877.0","5,337.0","5,884.0","6,480.0","7,081.0","7,590.0","8,178.0","8,895.0","9,744.0","10,346.0","11,095.0","11,739.0","12,384.0","12,991.0","13,715.0","14,478.0","15,432.0","16,775.0"
"74","56","        Water supply and sanitation (25)","DWRSRC1","285.0","303.0","303.0","284.0","274.0","306.0","316.0","331.0","336.0","332.0","348.0","364.0","373.0","389.0","396.0","412.0","425.0","463.0","499.0","532.0","558.0","606.0","651.0","723.0","783.0","838.0","921.0","983.0","1,051.0","1,072.0","1,214.0","1,375.0","1,478.0","1,615.0","1,821.0","1,929.0","2,062.0","2,161.0","2,225.0","2,416.0","2,758.0"
"75","57","        Electricity and gas","DELGRC1","1,173.0","1,235.0","1,242.0","1,210.0","1,151.0","1,177.0","1,212.0","1,255.0","1,307.0","1,345.0","1,400.0","1,498.0","1,556.0","1,658.0","1,712.0","1,811.0","1,920.0","2,106.0","2,366.0","2,664.0","2,946.0","3,355.0","3,773.0","4,154.0","4,554.0","5,046.0","5,559.0","6,098.0","6,539.0","7,106.0","7,681.0","8,369.0","8,868.0","9,480.0","9,918.0","10,455.0","10,929.0","11,554.0","12,253.0","13,016.0","14,017.0"
"76","58","          Electricity (27)","DELCRC1","616.0","660.0","674.0","662.0","645.0","671.0","697.0","726.0","766.0","810.0","849.0","910.0","965.0","1,017.0","1,045.0","1,125.0","1,194.0","1,328.0","1,473.0","1,668.0","1,879.0","2,138.0","2,395.0","2,652.0","2,932.0","3,213.0","3,496.0","3,802.0","4,097.0","4,381.0","4,714.0","5,061.0","5,327.0","5,678.0","5,950.0","6,294.0","6,607.0","7,043.0","7,527.0","8,093.0","8,772.0"
"77","59","          Natural gas (28)","DGHERC1","557.0","575.0","568.0","548.0","506.0","506.0","515.0","529.0","541.0","535.0","551.0","588.0","591.0","641.0","667.0","686.0","726.0","778.0","893.0","996.0","1,067.0","1,217.0","1,378.0","1,502.0","1,622.0","1,833.0","2,063.0","2,296.0","2,442.0","2,725.0","2,967.0","3,308.0","3,541.0","3,802.0","3,968.0","4,161.0","4,322.0","4,511.0","4,726.0","4,923.0","5,245.0"
"78","60","    Health care","DHLCRC1","2,251.0","2,205.0","2,012.0","1,676.0","1,530.0","1,629.0","1,733.0","1,883.0","1,981.0","1,979.0","2,069.0","2,192.0","2,319.0","2,580.0","2,779.0","3,185.0","3,396.0","4,320.0","5,005.0","5,762.0","5,973.0","6,389.0","6,874.0","7,605.0","8,359.0","9,287.0","9,904.0","10,881.0","11,966.0","13,405.0","14,831.0","16,030.0","17,120.0","19,135.0","20,978.0","24,150.0","26,038.0","28,678.0","31,929.0","36,576.0","42,059.0"
"79","61","      Outpatient services","DOUTRC1","1,679.0","1,608.0","1,418.0","1,120.0","1,025.0","1,111.0","1,177.0","1,308.0","1,364.0","1,344.0","1,411.0","1,497.0","1,587.0","1,740.0","1,827.0","2,128.0","2,243.0","2,900.0","3,277.0","3,778.0","3,815.0","3,980.0","4,219.0","4,604.0","5,066.0","5,697.0","5,961.0","6,514.0","7,101.0","7,872.0","8,653.0","9,155.0","9,618.0","10,712.0","11,506.0","13,528.0","14,450.0","15,395.0","16,279.0","17,813.0","19,946.0"
"80","62","        Physician services (44)","DPHYRC1","962.0","926.0","821.0","663.0","619.0","680.0","733.0","822.0","856.0","835.0","868.0","915.0","960.0","1,051.0","1,095.0","1,325.0","1,374.0","1,811.0","2,124.0","2,446.0","2,470.0","2,575.0","2,752.0","3,001.0","3,285.0","3,680.0","3,819.0","4,190.0","4,580.0","5,131.0","5,533.0","5,768.0","5,945.0","6,529.0","6,954.0","8,193.0","8,559.0","9,095.0","10,067.0","10,948.0","12,431.0"
"81","63","        Dental services (45)","DDENRC1","482.0","463.0","408.0","312.0","276.0","295.0","302.0","331.0","350.0","356.0","386.0","419.0","459.0","505.0","539.0","573.0","620.0","772.0","785.0","910.0","920.0","962.0","1,003.0","1,110.0","1,247.0","1,428.0","1,532.0","1,654.0","1,781.0","1,897.0","1,950.0","2,028.0","2,115.0","2,272.0","2,307.0","2,685.0","2,849.0","3,002.0","3,387.0","3,719.0","4,326.0"
"82","64","        Paramedical services (46)","DPMSRC1","235.0","219.0","189.0","145.0","130.0","136.0","142.0","155.0","158.0","153.0","157.0","163.0","168.0","184.0","193.0","230.0","249.0","317.0","368.0","422.0","425.0","443.0","464.0","493.0","534.0","589.0","610.0","670.0","740.0","844.0","1,170.0","1,359.0","1,558.0","1,911.0","2,245.0","2,650.0","3,042.0","3,298.0","2,825.0","3,146.0","3,189.0"
"83","65","      Hospital and nursing home services","DHPNRC1","572.0","597.0","594.0","556.0","505.0","518.0","556.0","575.0","617.0","635.0","658.0","695.0","732.0","840.0","952.0","1,057.0","1,153.0","1,420.0","1,728.0","1,984.0","2,158.0","2,409.0","2,655.0","3,001.0","3,293.0","3,590.0","3,943.0","4,367.0","4,865.0","5,533.0","6,178.0","6,875.0","7,502.0","8,423.0","9,472.0","10,622.0","11,588.0","13,283.0","15,650.0","18,763.0","22,113.0"
"84","66","        Hospitals (51)","DHSPRC1","543.0","567.0","564.0","528.0","480.0","492.0","528.0","546.0","586.0","603.0","625.0","660.0","695.0","798.0","904.0","1,004.0","1,095.0","1,349.0","1,641.0","1,884.0","2,049.0","2,288.0","2,521.0","2,850.0","3,127.0","3,409.0","3,745.0","4,147.0","4,620.0","5,255.0","5,863.0","6,303.0","6,770.0","7,545.0","8,341.0","9,080.0","9,996.0","11,330.0","13,234.0","15,736.0","18,303.0"
"85","67","        Nursing homes (52)","DNRSRC1","29.0","30.0","30.0","28.0","25.0","26.0","28.0","29.0","31.0","32.0","33.0","35.0","37.0","42.0","48.0","53.0","58.0","71.0","87.0","100.0","109.0","121.0","134.0","151.0","166.0","181.0","198.0","220.0","245.0","278.0","315.0","572.0","732.0","878.0","1,131.0","1,542.0","1,592.0","1,953.0","2,416.0","3,027.0","3,810.0"
"86","68","    Transportation services","DTRSRC1","2,399.0","2,098.0","1,760.0","1,421.0","1,343.0","1,453.0","1,520.0","1,691.0","1,772.0","1,701.0","1,841.0","1,930.0","2,191.0","2,562.0","3,249.0","3,511.0","3,823.0","4,662.0","4,902.0","5,236.0","5,326.0","5,403.0","5,993.0","6,291.0","6,753.0","6,761.0","7,148.0","7,594.0","8,019.0","8,128.0","8,696.0","9,180.0","9,562.0","10,133.0","10,621.0","11,350.0","12,133.0","13,067.0","14,275.0","15,872.0","17,977.0"
"87","69","      Motor vehicle services","DMVSRC1","795.0","643.0","528.0","403.0","411.0","464.0","478.0","542.0","568.0","542.0","625.0","678.0","806.0","628.0","587.0","726.0","991.0","1,749.0","2,015.0","2,261.0","2,454.0","2,605.0","3,040.0","3,237.0","3,668.0","3,802.0","4,167.0","4,512.0","4,866.0","5,064.0","5,467.0","5,829.0","6,169.0","6,566.0","7,023.0","7,516.0","8,029.0","8,628.0","9,351.0","10,301.0","11,487.0"
"88","70","        Motor vehicle maintenance and repair (60)","DVMRRC1","721.0","580.0","473.0","358.0","364.0","413.0","424.0","483.0","504.0","480.0","554.0","601.0","717.0","552.0","518.0","646.0","889.0","1,583.0","1,822.0","2,038.0","2,204.0","2,331.0","2,672.0","2,835.0","3,211.0","3,320.0","3,643.0","3,951.0","4,269.0","4,441.0","4,814.0","5,136.0","5,433.0","5,779.0","6,183.0","6,602.0","7,041.0","7,568.0","8,221.0","9,055.0","10,110.0"
"89","71","        Other motor vehicle services (61)","DOVSRC1","74.0","63.0","55.0","45.0","47.0","51.0","54.0","59.0","64.0","62.0","71.0","77.0","89.0","76.0","69.0","80.0","102.0","166.0","193.0","223.0","250.0","274.0","368.0","402.0","457.0","482.0","524.0","561.0","597.0","623.0","653.0","693.0","736.0","787.0","840.0","914.0","988.0","1,060.0","1,130.0","1,246.0","1,377.0"
"90","72","      Public transportation","DPUBRC1","1,604.0","1,455.0","1,232.0","1,018.0","932.0","989.0","1,042.0","1,149.0","1,204.0","1,159.0","1,216.0","1,252.0","1,385.0","1,934.0","2,662.0","2,785.0","2,832.0","2,913.0","2,887.0","2,975.0","2,872.0","2,798.0","2,953.0","3,054.0","3,085.0","2,959.0","2,981.0","3,082.0","3,153.0","3,064.0","3,229.0","3,351.0","3,393.0","3,567.0","3,598.0","3,834.0","4,104.0","4,439.0","4,924.0","5,571.0","6,490.0"
"91","73","        Ground transportation (63)","DGRDRC1","1,599.0","1,452.0","1,229.0","1,014.0","928.0","984.0","1,035.0","1,140.0","1,195.0","1,150.0","1,203.0","1,233.0","1,361.0","1,910.0","2,637.0","2,751.0","2,776.0","2,830.0","2,794.0","2,872.0","2,754.0","2,655.0","2,763.0","2,826.0","2,817.0","2,659.0","2,630.0","2,686.0","2,706.0","2,583.0","2,637.0","2,672.0","2,630.0","2,682.0","2,670.0","2,749.0","2,823.0","2,962.0","3,109.0","3,331.0","3,639.0"
"92","74","        Air transportation (64)","DAITRC1","3.0","2.0","2.0","3.0","3.0","4.0","6.0","8.0","8.0","8.0","12.0","18.0","23.0","23.0","24.0","33.0","55.0","82.0","92.0","102.0","117.0","142.0","189.0","227.0","267.0","299.0","350.0","395.0","446.0","480.0","591.0","678.0","762.0","884.0","927.0","1,084.0","1,279.0","1,475.0","1,812.0","2,236.0","2,846.0"
"93","75","        Water transportation (65)","DWATRC1","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","3.0","4.0","5.0"
"94","76","    Recreation services","DRCARC1","1,582.0","1,528.0","1,420.0","1,099.0","993.0","1,099.0","1,185.0","1,337.0","1,481.0","1,428.0","1,459.0","1,589.0","1,744.0","1,996.0","2,312.0","2,559.0","2,847.0","3,503.0","3,573.0","3,593.0","3,576.0","3,612.0","3,775.0","3,977.0","4,208.0","4,480.0","4,843.0","5,230.0","5,242.0","5,398.0","5,921.0","6,480.0","6,945.0","7,455.0","7,926.0","8,480.0","8,976.0","9,768.0","10,452.0","11,703.0","12,925.0"
"95","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRC1","1,314.0","1,287.0","1,209.0","922.0","836.0","905.0","966.0","1,086.0","1,189.0","1,150.0","1,172.0","1,274.0","1,388.0","1,613.0","1,881.0","2,032.0","2,249.0","2,735.0","2,729.0","2,692.0","2,660.0","2,601.0","2,628.0","2,661.0","2,722.0","2,886.0","3,121.0","3,337.0","3,190.0","3,199.0","3,476.0","3,799.0","4,073.0","4,333.0","4,566.0","4,808.0","5,048.0","5,443.0","5,711.0","6,346.0","6,926.0"
"96","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRC1","146.0","141.0","126.0","103.0","93.0","107.0","122.0","139.0","161.0","153.0","160.0","171.0","192.0","219.0","251.0","286.0","319.0","374.0","424.0","474.0","504.0","602.0","712.0","797.0","903.0","1,003.0","1,093.0","1,204.0","1,314.0","1,416.0","1,562.0","1,718.0","1,832.0","1,935.0","2,059.0","2,183.0","2,315.0","2,537.0","2,803.0","3,164.0","3,538.0"
"97","79","      Gambling (91)","DGAMRC1","36.0","35.0","30.0","22.0","22.0","37.0","45.0","51.0","64.0","66.0","66.0","82.0","94.0","98.0","108.0","164.0","192.0","293.0","310.0","315.0","305.0","300.0","320.0","395.0","445.0","444.0","465.0","508.0","543.0","575.0","643.0","700.0","750.0","858.0","930.0","1,045.0","1,102.0","1,176.0","1,268.0","1,379.0","1,518.0"
"98","80","      Other recreational services (81, 94, and part of 92)","DOTRRC1","86.0","65.0","55.0","52.0","42.0","50.0","52.0","61.0","67.0","59.0","61.0","62.0","70.0","66.0","72.0","77.0","87.0","101.0","110.0","112.0","107.0","109.0","115.0","124.0","138.0","147.0","164.0","181.0","195.0","208.0","240.0","263.0","290.0","329.0","371.0","444.0","511.0","612.0","670.0","814.0","943.0"
"99","81","    Food services and accommodations","DFSARC1","3,422.0","3,273.0","2,954.0","2,439.0","2,127.0","2,602.0","3,006.0","3,422.0","4,020.0","3,864.0","4,121.0","4,412.0","5,347.0","6,878.0","9,143.0","10,888.0","12,657.0","12,687.0","12,465.0","12,605.0","12,397.0","12,738.0","14,960.0","16,027.0","16,475.0","16,611.0","16,989.0","17,687.0","18,481.0","18,667.0","19,738.0","20,485.0","20,964.0","22,257.0","23,306.0","24,878.0","27,181.0","29,635.0","30,957.0","34,594.0","37,461.0"
"100","82","      Food services","DFSERC1","3,168.0","3,033.0","2,739.0","2,262.0","1,971.0","2,433.0","2,824.0","3,221.0","3,799.0","3,639.0","3,887.0","4,166.0","5,081.0","6,603.0","8,815.0","10,527.0","12,256.0","12,244.0","11,884.0","12,050.0","11,848.0","12,168.0","14,330.0","15,348.0","15,743.0","15,833.0","16,162.0","16,791.0","17,494.0","17,674.0","18,660.0","19,310.0","19,740.0","20,906.0","21,815.0","23,277.0","25,382.0","27,686.0","28,767.0","32,128.0","34,736.0"
"101","83","        Purchased meals and beverages (102)","DPMBRC1","2,911.0","2,788.0","2,541.0","2,102.0","1,816.0","2,248.0","2,610.0","2,985.0","3,528.0","3,392.0","3,633.0","3,888.0","4,611.0","5,670.0","7,138.0","8,129.0","9,503.0","10,895.0","10,861.0","11,029.0","10,848.0","11,092.0","12,698.0","13,579.0","14,093.0","14,355.0","14,870.0","15,593.0","16,276.0","16,430.0","17,454.0","18,101.0","18,459.0","19,567.0","20,465.0","21,903.0","23,897.0","25,917.0","26,823.0","30,155.0","32,683.0"
"102","84","        Food furnished to employees (including military) (103)","DFOORC1","257.0","245.0","198.0","160.0","155.0","185.0","214.0","236.0","271.0","247.0","254.0","278.0","470.0","933.0","1,677.0","2,398.0","2,753.0","1,349.0","1,023.0","1,021.0","1,000.0","1,076.0","1,632.0","1,769.0","1,650.0","1,478.0","1,292.0","1,198.0","1,218.0","1,244.0","1,206.0","1,209.0","1,281.0","1,339.0","1,350.0","1,374.0","1,485.0","1,769.0","1,944.0","1,973.0","2,053.0"
"103","85","      Accommodations (104)","DACCRC1","254.0","240.0","215.0","177.0","156.0","169.0","182.0","201.0","221.0","225.0","234.0","246.0","266.0","275.0","328.0","361.0","401.0","443.0","581.0","555.0","549.0","570.0","630.0","679.0","732.0","778.0","827.0","896.0","987.0","993.0","1,078.0","1,175.0","1,224.0","1,351.0","1,491.0","1,601.0","1,799.0","1,949.0","2,190.0","2,466.0","2,725.0"
"104","86","    Financial services and insurance","DIFSRC1","2,906.0","2,595.0","2,203.0","1,877.0","1,921.0","1,825.0","2,067.0","2,246.0","2,381.0","2,250.0","2,295.0","2,368.0","2,480.0","2,565.0","2,840.0","2,972.0","3,187.0","3,776.0","4,246.0","4,685.0","4,898.0","5,583.0","6,314.0","6,714.0","7,772.0","8,609.0","9,586.0","10,396.0","11,053.0","11,574.0","12,484.0","13,551.0","14,765.0","15,351.0","15,909.0","17,740.0","19,394.0","21,273.0","22,842.0","25,796.0","28,501.0"
"105","87","      Financial services","DFNLRC1","1,728.0","1,386.0","1,043.0","790.0","841.0","689.0","802.0","935.0","974.0","853.0","842.0","866.0","885.0","916.0","1,091.0","1,143.0","1,296.0","1,678.0","1,747.0","1,905.0","1,957.0","2,329.0","2,464.0","2,559.0","3,098.0","3,605.0","4,194.0","4,573.0","4,731.0","4,979.0","5,653.0","6,055.0","6,810.0","6,935.0","7,081.0","8,048.0","8,782.0","9,923.0","11,088.0","12,363.0","14,127.0"
"106","88","        Financial services furnished without payment (107)","DIMPRC1","855.0","775.0","614.0","465.0","398.0","379.0","454.0","514.0","559.0","513.0","513.0","557.0","584.0","631.0","683.0","713.0","753.0","1,064.0","1,184.0","1,246.0","1,297.0","1,447.0","1,557.0","1,682.0","2,184.0","2,384.0","2,785.0","3,132.0","3,212.0","3,181.0","3,497.0","3,899.0","4,130.0","4,302.0","4,222.0","4,906.0","5,246.0","5,805.0","6,377.0","7,017.0","9,112.0"
"107","89","        Financial service charges, fees, and commissions (108)","DOFIRC1","873.0","611.0","429.0","325.0","443.0","310.0","348.0","421.0","415.0","340.0","329.0","309.0","301.0","285.0","408.0","430.0","543.0","614.0","563.0","659.0","660.0","882.0","907.0","877.0","914.0","1,221.0","1,409.0","1,441.0","1,519.0","1,798.0","2,156.0","2,156.0","2,680.0","2,633.0","2,859.0","3,142.0","3,536.0","4,118.0","4,711.0","5,346.0","5,015.0"
"108","90","      Insurance","DINSRC1","1,178.0","1,209.0","1,160.0","1,087.0","1,080.0","1,136.0","1,265.0","1,311.0","1,407.0","1,397.0","1,453.0","1,502.0","1,595.0","1,649.0","1,749.0","1,829.0","1,891.0","2,098.0","2,499.0","2,780.0","2,941.0","3,254.0","3,850.0","4,155.0","4,674.0","5,004.0","5,392.0","5,823.0","6,322.0","6,595.0","6,831.0","7,496.0","7,955.0","8,416.0","8,828.0","9,692.0","10,612.0","11,350.0","11,754.0","13,433.0","14,374.0"
"109","91","        Life insurance (110)","DLIFRC1","870.0","897.0","879.0","849.0","843.0","870.0","969.0","976.0","1,019.0","996.0","1,008.0","1,023.0","1,034.0","1,019.0","1,069.0","1,101.0","1,087.0","1,174.0","1,410.0","1,532.0","1,596.0","1,753.0","1,907.0","1,958.0","2,099.0","2,208.0","2,430.0","2,788.0","3,032.0","3,222.0","3,153.0","3,553.0","3,712.0","3,887.0","4,128.0","4,631.0","5,145.0","5,318.0","5,362.0","5,885.0","6,258.0"
"110","92","        Net household insurance (111)","DFINRC1","20.0","19.0","18.0","16.0","15.0","16.0","17.0","19.0","21.0","21.0","22.0","23.0","26.0","30.0","36.0","43.0","49.0","51.0","57.0","62.0","63.0","68.0","76.0","82.0","89.0","94.0","101.0","109.0","115.0","121.0","142.0","166.0","185.0","201.0","212.0","222.0","227.0","227.0","252.0","274.0","300.0"
"111","93","        Net health insurance (112)","DHINRC1","175.0","177.0","147.0","112.0","107.0","132.0","150.0","178.0","214.0","225.0","249.0","268.0","326.0","396.0","464.0","497.0","547.0","601.0","707.0","778.0","783.0","847.0","871.0","984.0","1,199.0","1,312.0","1,366.0","1,348.0","1,526.0","1,525.0","1,654.0","1,764.0","1,963.0","2,143.0","2,171.0","2,372.0","2,621.0","2,897.0","2,939.0","3,821.0","4,105.0"
"112","94","        Net motor vehicle and other transportation insurance (116)","DTINRC1","113.0","116.0","116.0","110.0","115.0","118.0","129.0","138.0","153.0","155.0","174.0","188.0","209.0","204.0","180.0","188.0","208.0","272.0","325.0","408.0","499.0","586.0","996.0","1,131.0","1,287.0","1,390.0","1,495.0","1,578.0","1,649.0","1,727.0","1,882.0","2,013.0","2,095.0","2,185.0","2,317.0","2,467.0","2,619.0","2,908.0","3,201.0","3,453.0","3,711.0"
"113","95","    Other services","DOTSRC1","6,900.0","6,483.0","5,625.0","4,539.0","4,005.0","4,356.0","4,641.0","5,093.0","5,698.0","5,445.0","5,620.0","5,801.0","6,342.0","7,144.0","8,232.0","9,147.0","10,000.0","10,829.0","11,971.0","12,870.0","13,300.0","14,111.0","15,119.0","16,006.0","17,116.0","17,814.0","19,399.0","20,935.0","22,408.0","23,767.0","25,518.0","27,058.0","28,254.0","29,853.0","31,611.0","33,760.0","36,603.0","39,875.0","43,572.0","46,751.0","50,460.0"
"114","96","      Communication","DCOMRC1","674.0","678.0","649.0","565.0","514.0","527.0","563.0","610.0","650.0","653.0","690.0","733.0","831.0","983.0","1,161.0","1,305.0","1,445.0","1,557.0","1,674.0","1,894.0","2,059.0","2,298.0","2,566.0","2,851.0","3,151.0","3,279.0","3,589.0","3,909.0","4,248.0","4,523.0","4,825.0","5,196.0","5,547.0","5,896.0","6,417.0","6,925.0","7,521.0","8,104.0","8,856.0","9,659.0","10,709.0"
"115","97","        Telecommunication services (71)","DTCSRC1","569.0","577.0","554.0","482.0","436.0","443.0","472.0","511.0","542.0","542.0","576.0","615.0","695.0","825.0","973.0","1,078.0","1,190.0","1,289.0","1,377.0","1,570.0","1,732.0","1,943.0","2,171.0","2,422.0","2,684.0","2,790.0","3,062.0","3,342.0","3,649.0","3,893.0","4,186.0","4,516.0","4,829.0","5,111.0","5,525.0","5,953.0","6,493.0","7,013.0","7,675.0","8,343.0","9,285.0"
"116","98","        Postal and delivery services (68)","DPSSRC1","105.0","101.0","95.0","83.0","78.0","84.0","91.0","99.0","108.0","111.0","114.0","118.0","136.0","158.0","188.0","227.0","255.0","268.0","297.0","324.0","327.0","355.0","395.0","429.0","467.0","489.0","527.0","567.0","599.0","630.0","639.0","680.0","718.0","785.0","892.0","972.0","1,028.0","1,091.0","1,181.0","1,316.0","1,424.0"
"117","99","        Internet access (72)","DINTRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"118","100","      Education services","DTEDRC1","540.0","563.0","559.0","481.0","409.0","411.0","424.0","452.0","495.0","511.0","518.0","530.0","573.0","652.0","745.0","758.0","766.0","836.0","1,020.0","1,153.0","1,249.0","1,329.0","1,436.0","1,529.0","1,633.0","1,743.0","1,917.0","2,129.0","2,369.0","2,604.0","2,832.0","3,073.0","3,302.0","3,627.0","3,990.0","4,420.0","5,048.0","5,746.0","6,409.0","7,211.0","8,069.0"
"119","101","        Higher education (97)","DHEDRC1","235.0","259.0","266.0","238.0","213.0","220.0","228.0","238.0","247.0","252.0","259.0","269.0","277.0","297.0","330.0","354.0","362.0","418.0","537.0","599.0","652.0","679.0","713.0","746.0","788.0","840.0","919.0","1,020.0","1,142.0","1,262.0","1,374.0","1,495.0","1,639.0","1,811.0","2,004.0","2,297.0","2,727.0","3,124.0","3,466.0","3,931.0","4,457.0"
