"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"53","32","    Profits before tax (without IVA and CCAdj)","A446RC1","31,876.0","30,008.0","29,624.0","32,328.0","33,860.0","35,648.0","35,072.0","33,880.0","30,828.0","27,104.0","28,224.0","27,772.0","31,840.0","38,288.0","46,508.0","51,220.0","50,380.0","42,360.0","38,264.0","41,172.0","38,840.0","36,800.0","36,860.0","40,868.0","42,644.0","42,672.0","41,836.0","32,388.0","34,696.0","35,828.0","38,112.0","40,888.0","46,064.0","46,736.0","47,744.0","49,576.0","47,568.0","48,624.0","45,792.0","48,584.0","49,324.0","46,824.0","45,840.0","41,964.0","35,940.0","36,680.0","41,400.0","47,740.0","50,840.0","55,660.0","49,540.0","48,112.0","53,520.0","49,060.0","46,856.0","44,540.0","43,460.0","46,560.0","49,340.0","53,652.0","52,748.0","52,224.0","53,864.0","54,100.0","53,984.0","57,760.0","59,396.0","60,852.0","63,960.0","64,100.0","65,668.0","64,780.0","71,616.0","74,012.0","75,604.0","80,544.0","82,964.0","83,040.0","82,240.0","80,444.0","77,372.0","77,316.0","78,016.0","82,384.0","84,968.0","86,632.0","86,756.0","88,856.0","88,960.0"
"54","33","    Profits after tax (without IVA and CCAdj)","A448RC1","20,316.0","19,072.0","18,828.0","20,548.0","21,716.0","22,852.0","22,492.0","21,716.0","19,784.0","17,388.0","18,104.0","17,840.0","18,212.0","21,980.0","26,584.0","29,380.0","24,100.0","20,096.0","18,120.0","19,624.0","19,036.0","18,148.0","18,252.0","20,336.0","21,028.0","20,948.0","20,604.0","15,812.0","18,292.0","18,924.0","20,192.0","21,620.0","24,720.0","25,128.0","25,588.0","26,520.0","25,528.0","26,136.0","24,648.0","26,284.0","26,500.0","24,952.0","24,412.0","22,396.0","19,020.0","19,432.0","22,012.0","25,440.0","27,340.0","29,936.0","26,424.0","25,544.0","28,416.0","25,996.0","24,832.0","23,604.0","22,804.0","24,468.0","25,948.0","28,232.0","28,844.0","28,564.0","29,500.0","29,648.0","29,428.0","31,496.0","32,392.0","33,192.0","36,056.0","36,136.0","37,084.0","36,612.0","42,060.0","43,508.0","44,520.0","47,428.0","48,796.0","48,832.0","48,368.0","47,168.0","44,872.0","45,112.0","45,532.0","47,976.0","46,240.0","47,136.0","47,092.0","48,232.0","47,500.0"
"55","34","    Inventory valuation adjustment","B058RC1","-9,652.0","-4,676.0","-4,048.0","-5,220.0","-2,876.0","-2,868.0","-2,796.0","-68.0","1,404.0","2,836.0","2,984.0","200.0","-700.0","-3,316.0","-7,304.0","-8,540.0","-8,724.0","-1,012.0","3,464.0","1,476.0","1,272.0","1,156.0","700.0","796.0","-432.0","-1,596.0","-2,004.0","44.0","-12.0","-36.0","-684.0","-540.0","-1,108.0","-884.0","-2,192.0","-2,760.0","-2,912.0","-3,644.0","-1,192.0","-3,024.0","-2,424.0","-1,508.0","-1,280.0","-944.0","-220.0","312.0","-244.0","-868.0","-628.0","-996.0","-332.0","848.0","-868.0","-604.0","516.0","264.0","-76.0","1,016.0","324.0","-180.0","444.0","-124.0","-752.0","536.0","984.0","216.0","-232.0","-752.0","-236.0","-144.0","-900.0","-696.0","-400.0","-1,120.0","-1,520.0","-1,940.0","-1,196.0","-2,664.0","-3,612.0","-956.0","-372.0","-1,324.0","-1,728.0","-2,792.0","-4,676.0","-2,924.0","-2,952.0","-4,052.0","-4,932.0"
"56","35","    Capital consumption adjustment","A059RC1","-2,414.0","-2,349.0","-2,716.0","-2,757.0","-2,780.0","-2,889.0","-2,896.0","-2,831.0","-2,729.0","-2,776.0","-2,779.0","-2,728.0","-2,501.0","-2,630.0","-2,550.0","-2,851.0","-2,948.0","-2,854.0","-2,792.0","-2,558.0","-2,495.0","-2,412.0","-2,373.0","-2,208.0","-2,115.0","-1,766.0","-1,405.0","-990.0","-1,074.0","-845.0","-635.0","-210.0","302.0","633.0","1,395.0","1,074.0","974.0","420.0","-127.0","-407.0","-242.0","-61.0","255.0","440.0","126.0","-382.0","-404.0","-340.0","-129.0","403.0","347.0","767.0","1,313.0","1,528.0","1,810.0","1,901.0","2,127.0","2,418.0","2,413.0","2,430.0","5,113.0","5,234.0","5,412.0","5,493.0","5,596.0","6,197.0","6,318.0","6,697.0","6,952.0","6,782.0","7,039.0","6,915.0","7,308.0","7,586.0","7,957.0","7,645.0","7,796.0","7,943.0","7,913.0","8,160.0","7,932.0","8,006.0","8,393.0","8,397.0","8,411.0","8,509.0","8,410.0","8,522.0","9,090.0"
"57",NA,"  Nonfinancial corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","36","    Profits before tax (without IVA and CCAdj)","A464RC1","29,960.0","28,140.0","27,744.0","30,232.0","31,440.0","33,008.0","32,216.0","30,812.0","27,580.0","23,812.0","24,896.0","24,440.0","28,556.0","35,012.0","43,220.0","47,836.0","46,952.0","38,808.0","34,516.0","37,000.0","34,812.0","32,496.0","32,316.0","36,092.0","37,968.0","37,924.0","36,880.0","27,396.0","29,664.0","30,724.0","33,032.0","35,664.0","40,780.0","41,392.0","42,408.0","44,220.0","42,172.0","43,012.0","39,992.0","42,688.0","43,364.0","40,964.0","39,776.0","35,856.0","29,612.0","30,300.0","35,040.0","41,008.0","43,848.0","48,360.0","41,616.0","39,900.0","45,068.0","40,564.0","38,492.0","36,128.0","34,912.0","38,304.0","41,116.0","45,376.0","44,344.0","43,552.0","45,116.0","45,548.0","45,576.0","49,496.0","51,152.0","52,588.0","55,316.0","55,368.0","56,868.0","55,944.0","62,936.0","65,136.0","66,296.0","70,200.0","72,204.0","72,440.0","71,392.0","69,704.0","66,460.0","66,220.0","66,832.0","70,808.0","72,488.0","73,724.0","73,728.0","76,084.0","75,316.0"
"59","37","    Profits after tax (without IVA and CCAdj)","A466RC1","18,880.0","17,664.0","17,424.0","19,000.0","19,940.0","20,916.0","20,404.0","19,492.0","17,472.0","15,036.0","15,716.0","15,456.0","16,072.0","19,856.0","24,456.0","27,184.0","22,020.0","17,944.0","15,832.0","17,064.0","16,584.0","15,520.0","15,480.0","17,424.0","18,204.0","18,088.0","17,612.0","12,788.0","15,344.0","15,924.0","17,188.0","18,516.0","21,320.0","21,700.0","22,192.0","23,128.0","22,088.0","22,572.0","20,968.0","22,560.0","22,928.0","21,468.0","20,828.0","18,812.0","15,580.0","15,952.0","18,488.0","21,684.0","23,048.0","25,484.0","21,712.0","20,752.0","23,636.0","21,196.0","20,080.0","18,772.0","17,816.0","19,644.0","21,152.0","23,420.0","23,856.0","23,424.0","24,320.0","24,596.0","24,652.0","26,824.0","27,748.0","28,572.0","31,584.0","31,656.0","32,584.0","32,120.0","37,048.0","38,404.0","39,156.0","41,412.0","42,300.0","42,536.0","41,988.0","40,948.0","38,924.0","39,024.0","39,392.0","41,668.0","39,628.0","40,344.0","40,292.0","41,624.0","40,336.0"
"60","38","    Inventory valuation adjustment","B058RC1","-9,652.0","-4,676.0","-4,048.0","-5,220.0","-2,876.0","-2,868.0","-2,796.0","-68.0","1,404.0","2,836.0","2,984.0","200.0","-700.0","-3,316.0","-7,304.0","-8,540.0","-8,724.0","-1,012.0","3,464.0","1,476.0","1,272.0","1,156.0","700.0","796.0","-432.0","-1,596.0","-2,004.0","44.0","-12.0","-36.0","-684.0","-540.0","-1,108.0","-884.0","-2,192.0","-2,760.0","-2,912.0","-3,644.0","-1,192.0","-3,024.0","-2,424.0","-1,508.0","-1,280.0","-944.0","-220.0","312.0","-244.0","-868.0","-628.0","-996.0","-332.0","848.0","-868.0","-604.0","516.0","264.0","-76.0","1,016.0","324.0","-180.0","444.0","-124.0","-752.0","536.0","984.0","216.0","-232.0","-752.0","-236.0","-144.0","-900.0","-696.0","-400.0","-1,120.0","-1,520.0","-1,940.0","-1,196.0","-2,664.0","-3,612.0","-956.0","-372.0","-1,324.0","-1,728.0","-2,792.0","-4,676.0","-2,924.0","-2,952.0","-4,052.0","-4,932.0"
"61","39","    Capital consumption adjustment","B470RC1","-2,227.0","-2,128.0","-2,475.0","-2,494.0","-2,522.0","-2,633.0","-2,645.0","-2,596.0","-2,503.0","-2,557.0","-2,555.0","-2,501.0","-2,262.0","-2,378.0","-2,291.0","-2,581.0","-2,670.0","-2,575.0","-2,504.0","-2,267.0","-2,206.0","-2,116.0","-2,077.0","-1,917.0","-1,823.0","-1,476.0","-1,116.0","-701.0","-781.0","-550.0","-350.0","69.0","561.0","883.0","1,634.0","1,314.0","1,237.0","695.0","161.0","-117.0","43.0","219.0","540.0","734.0","440.0","-55.0","-72.0","-5.0","212.0","742.0","667.0","1,059.0","1,569.0","1,749.0","2,006.0","2,080.0","2,304.0","2,592.0","2,584.0","2,608.0","5,217.0","5,354.0","5,530.0","5,639.0","5,750.0","6,360.0","6,471.0","6,827.0","7,021.0","6,852.0","7,095.0","7,016.0","7,440.0","7,715.0","8,098.0","7,787.0","7,983.0","8,148.0","8,112.0","8,353.0","8,109.0","8,169.0","8,532.0","8,542.0","8,552.0","8,639.0","8,524.0","8,617.0","9,174.0"
"62",NA,"  Value added, in millions of chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","40","    Gross value added of nonfinancial corporate business \2\","B455RX1","587,242.0","600,399.0","599,426.0","609,197.0","638,097.0","647,063.0","645,640.0","654,041.0","646,536.0","638,211.0","647,666.0","630,597.0","669,462.0","711,588.0","749,123.0","765,834.0","757,198.0","759,252.0","767,967.0","774,260.0","779,215.0","777,695.0","778,111.0","831,613.0","851,951.0","862,525.0","857,250.0","823,780.0","823,990.0","828,480.0","837,449.0","868,353.0","908,535.0","938,135.0","951,846.0","965,353.0","961,260.0","971,788.0","963,002.0","986,773.0","991,841.0","985,620.0","985,334.0","970,049.0","923,296.0","919,871.0","948,108.0","987,415.0","1,022,475.0","1,071,125.0","1,050,762.0","1,062,079.0","1,098,603.0","1,087,835.0","1,086,065.0","1,074,589.0","1,066,773.0","1,099,245.0","1,122,407.0","1,156,596.0","1,180,114.0","1,199,053.0","1,214,746.0","1,231,265.0","1,244,910.0","1,273,436.0","1,291,013.0","1,305,568.0","1,336,864.0","1,358,432.0","1,386,052.0","1,394,664.0","1,442,949.0","1,463,971.0","1,492,152.0","1,532,146.0","1,567,023.0","1,584,014.0","1,595,945.0","1,609,576.0","1,610,748.0","1,619,903.0","1,635,166.0","1,662,122.0","1,690,529.0","1,728,258.0","1,755,466.0","1,777,300.0","1,792,365.0"
"64","41","      Consumption of fixed capital \3\","N456RX1","45,933.0","46,845.0","47,740.0","48,621.0","49,488.0","50,292.0","51,030.0","51,702.0","52,307.0","52,885.0","53,437.0","53,962.0","54,460.0","54,982.0","55,528.0","56,095.0","56,685.0","57,242.0","57,764.0","58,250.0","58,700.0","59,211.0","59,785.0","60,423.0","61,126.0","61,810.0","62,474.0","63,118.0","63,741.0","64,377.0","65,026.0","65,689.0","66,364.0","67,065.0","67,793.0","68,546.0","69,323.0","70,097.0","70,867.0","71,633.0","72,395.0","73,235.0","74,155.0","75,161.0","76,255.0","77,120.0","77,751.0","78,143.0","78,294.0","78,447.0","78,602.0","78,759.0","78,918.0","79,207.0","79,625.0","80,174.0","80,857.0","81,532.0","82,200.0","82,860.0","83,514.0","84,245.0","85,056.0","85,946.0","86,920.0","87,895.0","88,871.0","89,848.0","90,825.0","91,930.0","93,164.0","94,530.0","96,029.0","97,657.0","99,415.0","101,306.0","103,331.0","105,320.0","107,271.0","109,181.0","111,053.0","112,889.0","114,689.0","116,452.0","118,178.0","119,980.0","121,860.0","123,819.0","125,859.0"
"65","42","      Net value added \4\","A457RX1","541,309.0","553,554.0","551,686.0","560,576.0","588,609.0","596,771.0","594,610.0","602,339.0","594,229.0","585,326.0","594,229.0","576,635.0","615,002.0","656,606.0","693,595.0","709,739.0","700,513.0","702,010.0","710,203.0","716,010.0","720,515.0","718,484.0","718,326.0","771,190.0","790,825.0","800,715.0","794,776.0","760,662.0","760,249.0","764,103.0","772,423.0","802,664.0","842,171.0","871,070.0","884,053.0","896,807.0","891,937.0","901,691.0","892,135.0","915,140.0","919,446.0","912,385.0","911,179.0","894,888.0","847,041.0","842,751.0","870,357.0","909,272.0","944,181.0","992,678.0","972,160.0","983,320.0","1,019,685.0","1,008,628.0","1,006,440.0","994,415.0","985,916.0","1,017,713.0","1,040,207.0","1,073,736.0","1,096,600.0","1,114,808.0","1,129,690.0","1,145,319.0","1,157,990.0","1,185,541.0","1,202,142.0","1,215,720.0","1,246,039.0","1,266,502.0","1,292,888.0","1,300,134.0","1,346,920.0","1,366,314.0","1,392,737.0","1,430,840.0","1,463,692.0","1,478,694.0","1,488,674.0","1,500,395.0","1,499,695.0","1,507,014.0","1,520,477.0","1,545,670.0","1,572,351.0","1,608,278.0","1,633,606.0","1,653,481.0","1,666,506.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Estimates for financial corporate business and nonfinancial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","corporate business for 2000 and earlier periods are based on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1987 Standard Industrial Classification (SIC); later estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Chained-dollar consumption of fixed capital of nonfinancial corporate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","business is calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","the 2005 current-dollar value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","4. Chained-dollar net value added of nonfinancial corporate business is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","difference between the gross product and the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
