"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"124","106","      Social services and religious activities (120)","DSOCRX1","79,327.0","81,029.0","83,429.0","88,026.0","93,180.0","98,743.0","106,189.0","110,591.0","114,233.0","117,735.0","118,702.0","121,826.0","125,891.0","129,361.0","131,037.0"
"125","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRX1","47,582.0","47,911.0","50,756.0","55,310.0","54,877.0","56,292.0","53,401.0","51,353.0","52,707.0","55,638.0","57,012.0","58,179.0","60,517.0","60,538.0","55,135.0"
"126","108","      Net foreign travel","DFORRX1","-28,723.0","-31,950.0","-27,849.0","-14,740.0","-14,046.0","-8,188.0","-2,347.0","-3,896.0","-2,226.0","-3,012.0","-5,112.0","-997.0","-10,749.0","-21,932.0","-16,456.0"
"127","109","        Foreign travel by U.S. residents (129)","DFTRRX1","72,848.0","75,850.0","82,811.0","93,161.0","96,284.0","106,794.0","101,026.0","94,636.0","91,767.0","98,568.0","99,762.0","104,107.0","102,271.0","99,485.0","95,342.0"
"128","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRX1","101,571.0","107,800.0","110,660.0","107,901.0","110,330.0","114,982.0","103,373.0","98,532.0","93,993.0","101,581.0","104,874.0","105,103.0","113,020.0","121,416.0","111,798.0"
"129","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1","142,294.0","150,929.0","140,557.0","153,925.0","164,993.0","177,843.0","191,406.0","209,049.0","219,345.0","218,314.0","214,076.0","235,398.0","245,325.0","267,332.0","256,028.0"
"130","112","    Gross output of nonprofit institutions (133) \2\","DNPERX1","636,438.0","653,417.0","663,797.0","696,725.0","720,967.0","748,991.0","785,303.0","831,110.0","844,015.0","860,604.0","874,632.0","901,014.0","922,559.0","946,805.0","952,052.0"
"131","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRX1","497,148.0","505,355.0","526,771.0","545,972.0","558,609.0","573,046.0","595,154.0","622,508.0","624,537.0","642,289.0","660,557.0","665,769.0","677,520.0","680,589.0","695,967.0"
"132","114","  Residual","A965RX1","-198,800.0","-173,000.0","-147,800.0","-114,100.0","-74,700.0","-45,900.0","-35,100.0","-19,800.0","-11,800.0","-3,200.0","400.0","-3,500.0","-14,500.0","-21,400.0","-25,400.0"
"133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","government, and the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","3. Excludes unrelated sales, secondary sales, and sales to business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","and the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Note.  Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","formula for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","chained-dollar estimates are usually not additive. The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
