"","Table 3#15# Government Consumption Expenditures and Gross Invest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"69","62","  Other"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","63","Housing and community services","G15063",0,0,0,-0.3,0,0,0.1,0,0.1,0.2,0.2,0.3,0.2,0.2,0.3,0.4,0.2,0.2,0.4,0.7,0.6,0.7,0.6,0.2,0.2,0.2,0.1,-0.1,0.1,0.3,0.1,0.1,0.3,0.7,1,0.8,0.3,0.4,0,0.3,0.7,1.9,0.8,1.4,1.6,1.5,1.5,2.3,1.4,1.3
"71","64","Health","G15064",1.1,1.1,0.9,1,1.1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.1,2.1,2.5,2.7,3,3.3,3.9,4.1,5.4,6.3,7,8.4,9.1,9.9,11.1,11.8,14,15.3,15.6,17.9,19.8,20.8,21.8,23.3,25,26.9,29.3,32.1,34.3,37.1,40.4,40.9,42.4,44,46.1,46.4,51.4,55.4
"72","65","Recreation and culture","G15065",0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.9,0.9,1.1,1.2,1.2,1.2,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.5,1.6,1.6,1.9,2.1,2.2,2.3,2.4,2.3,2.9,2.8,2.9,3.4,3.2
"73","66","Education","G15066",0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.8,0.9,0.8,0.7,0.9,1,1,1,0.8,1.1,1.1,1.1,1.2,1.3,1.5,1.7,1.7,1.9,2.1,2.1,2.2,2.3,2.3,2.5,2.7,3.1,3.2,3.3,3.9,4.3,5,5,5.7,5.5,5.9,6.8
"74","67","  Elementary and secondary","G15067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.4,0.5,0.6,0.6,0.6,0.5,0.7,0.8,0.7,0.7
"75","68","  Higher","G15068",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.7,0.9,0.9,0.9,1,1.2,1.3,1.4
"76","69","  Other","G15069",0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.8,1.1,1.1,1.2,1.4,1.4,1.5,1.5,1.6,1.7,1.9,2.1,2.2,2.2,2.6,2.8,3.5,3.5,4.1,3.5,3.9,4.7
"77","70","Income security","G15070",0.1,0.2,0.2,0.2,0.5,0.5,0.5,0.4,0.3,0.6,0.8,0.7,0.6,0.9,1,1.1,0.8,0.9,1,1.1,1.5,1.5,2.5,2.5,2.9,3.7,3.7,4,4.7,4.5,4.5,4.4,4.7,4.5,4.1,4.4,4.3,4.7,5.1,5.5,7.1,7.8,6.9,5.9,6,7.1,8.1,7.7,8.5,8.6
"78","71","  Disability","G15071",NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.4,0.5,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.5,0.6,0.3,0.5,0.5
"79","72","  Retirement \1\","G15072",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1,1,1.2,1.1,1.1,1,1,1.1,1.1,1.1,1,1.1,1.2,1.2,1.2,1.3,1.2,1.3,1.6,1,1.5,1.4
"80","73","  Welfare and social services","G15073",0.1,0.1,0.2,0.1,0.4,0.4,0.3,0.2,0.1,0.2,0.4,0.4,0.2,0.5,0.6,0.6,0.2,0.3,0.3,0.3,0.4,0.4,1,1.1,1.4,1.8,1.9,2,2.5,2.3,2.1,1.9,2.1,2,2,2.1,2.1,2.4,2.8,2.9,3.3,3.8,3.4,3.1,3.3,3.8,4.2,4.7,4.6,4.5
"81","74","  Unemployment","G15074",0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4
"82","75","  Other","G15075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.2,0.1,0.1,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.9,1.9,2.2,1.7,0.9,1,1.5,1.7,1.7,1.7,1.8
"83","76","      State and local","A829RC",24.7,26.4,29.2,31.9,35.1,38.8,42.6,45.1,47.9,52,55.3,59.9,65.3,71.6,79.9,88.6,98.8,108.5,120.7,133.5,144.4,160.1,184.2,209,223.9,239.3,263.8,291.8,324.4,349.6,371.6,391.5,424.4,464.9,503.6,537.5,574.3,617.7,673,708.1,736,765.7,806.8,850.5,890.4,949.7,999.3,1076,1161.8,1229.9
"84","77","General public service","G15077",1.9,1.9,2.2,2.4,2.5,3,3.3,3.5,3.8,4.2,4.4,4.7,5.1,5.8,6.4,7.3,8.5,9.9,10.7,12,13.6,16.1,19.1,22.6,24.5,27.1,29.4,32.1,35.7,38.3,40.6,43.8,47.7,52.4,57.8,61.1,64.2,69.6,75.2,79.5,83.1,87,92.7,96.7,99.7,111.5,118.8,129.8,142.2,147.5
"85","78","  Executive and legislative","G15078",0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.8,0.9,1,1.1,1.3,1.4,1.6,1.8,2,2.4,2.7,3.2,3.5,3.9,3.6,4,4.6,5.2,5.8,6,6.3,6.9,7.5,8.2,8.8,9.5,10.7,11.4,11.7,12.1,12.9,13.5,14.3,15.2,16.7,18.2,19.9,21.1
"86","79","  Tax collection and financial management","G15079",0.9,0.9,1,1,1.2,1.3,1.4,1.4,1.5,1.6,1.7,1.7,1.9,2,2.2,2.4,2.7,3.1,3.5,3.7,4,4.4,5,5.5,5.8,6.7,7.7,8.5,9.1,9.6,10.5,11.5,12.8,14.8,16.6,17.6,18.4,19.4,20.4,22.1,23.3,24.2,26.2,27.2,27.7,29.9,30.3,32.6,35.8,35.6
"87","80","  Other \3\","G15080",0.7,0.5,0.7,0.9,0.8,1,1.2,1.5,1.6,1.9,2,2.2,2.4,2.9,3.2,3.8,4.6,5.3,5.6,6.5,7.6,9.3,11.4,13.9,15.1,16.5,18,19.5,22,23.6,24.3,26.3,28.7,30.7,33.7,35.3,37,40.6,44,46,48.2,50.6,53.7,55.9,57.8,66.4,71.8,78.9,86.6,90.7
"88","81","Public order and safety","G15081",2.3,2.5,2.7,3,3.2,3.5,3.8,4.1,4.4,4.7,5,5.3,5.7,6.1,6.7,7.4,8.6,9.6,10.9,12.4,13.8,15.4,17.6,20.2,22.2,24.3,27.7,30.8,34.5,38.8,43.6,47.4,51.5,57.5,63.1,68.9,74.9,82.9,92,98.8,105.3,110.8,118.8,126.9,135.7,144.2,153.6,164.6,178.8,192.4
"89","82","  Police","G15082",1,1.1,1.2,1.3,1.4,1.6,1.7,1.8,2,2.1,2.3,2.4,2.6,2.8,3.1,3.5,4.2,4.6,5.2,6,6.6,7.5,8.4,9.6,10.4,11.4,12.5,13.7,15.1,16.9,18.6,19.8,21.2,23.3,25.1,26.8,28.6,30.9,33.7,36.3,38.7,40.8,43.5,46.8,50.8,54.1,58,62.4,68.4,75
"90","83","  Fire","G15083",0.6,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2.1,2.4,2.7,2.9,3.2,3.6,4.1,4.5,4.8,5.3,5.8,6.4,7.1,7.9,8.4,9,9.9,10.9,11.8,12.3,13.4,14.4,15.1,16.4,17,17.9,18.5,19.3,20.4,21.9,23,24.7,26.4
"91","84","  Law courts","G15084",0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.3,1.5,1.6,1.8,2.1,2.4,2.7,2.9,3.2,4.4,5.1,5.8,6.5,7.3,8,8.5,9.4,10.2,11,12.5,14.1,15.7,16.9,18.1,19,20.3,21.6,23.1,25,26.6,28.5,30.8,32.6
"92","85","  Prisons","G15085",0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.3,1.4,1.6,1.8,2.1,2.4,2.7,3.2,3.8,4.3,4.9,5.5,6.3,7.2,8.3,9.8,11.2,12.7,14.9,16.9,19.3,21.6,24.6,28.2,30.4,32,34,37.2,40,42.6,44.7,47,50.7,54.9,58.4
"93","86","Economic affairs","G15086",7.2,7.6,8.5,9.2,10.2,11.5,12.5,13.3,13.4,14.4,15.1,16.7,17.5,19,20.7,22.3,24.1,25.4,27.5,29.3,30.6,32.6,38.5,42.2,43.2,44.8,50.8,57.8,64.7,70.1,73,76,81.7,89.4,95.2,98.9,103.5,107.1,116.1,120.1,123.8,129.7,136.3,140.6,146.2,157.2,163.6,177.3,189.7,198.9
"94","87","  General economic and labor affairs","G15087",0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6,1.8,2.1,2.4,2.6,2.9,3.2,3.5,3.9,4.4,4.8,5.5,5.9,6.2,6.1,6.3,6.7,7.3,7.7,8.1,8.9,9.6,10.1,10.7,11.2,11.4,11.6,11.8,13.4,13.5,14.3,15.2,15.6
"95","88","  Agriculture","G15088",0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.9,0.9,1,1.1,1.2,1.4,1.4,1.5,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.3,3.4,3.5,3.7,4,4.1,4.2,4.3,4.3,4.4,4.5,4.7,4.8,5.4,6.1,6.1
"96","89","  Energy","G15089",0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.5,0.6,0.8,0.9,0.7,0.9,1,1,1.1,1.2,1.3,1.4,1.8,1.7,2.2,2.7,4,4.3,4.6,5.7,5.4,5.3,4.9,6.2,5.8,4.7,4.6,4.1,4.2,4.2,4.5,4.6,4.1,4,3.5,4.3,3.9,4.8,7.1,4
"97","90","  Natural resources","G15090",0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1.2,1.4,1.5,1.5,1.5,1.5,1.5,1.6,1.7,2,2.3,2.4,2.4,2.7,3.1,3.6,3.9,4.3,4.7,5.1,5.6,6.1,6.5,6.8,7.4,7.9,8.2,8.4,8.8,9.7,10.5,10.8,10.9,11.1,11.7,12.5,13.3
"98","91","  Transportation","G15091",5.9,6.3,7,7.6,8.4,9.4,10.3,11.1,11,11.8,12.5,13.7,14.1,15.2,16.8,17.9,19.4,20.4,22.1,23.5,24.3,25.8,30.5,33.5,33.4,34.2,38,43.5,48.8,52.2,54.6,57.1,62.4,67.5,72.5,76.3,80.2,82.6,90.1,93.2,95.6,100.7,106.6,109.8,115.2,123.6,130,140.7,148.4,159.4
"99","92","    Highways","G15092",5.8,6.1,6.9,7.4,8.2,9.2,10,10.7,10.6,11.3,12.1,13.1,13.5,14.5,15.9,16.7,18.1,18.9,20.6,22.2,22.6,24,28.2,31.1,30.8,31.7,35.2,40.1,44.4,47.4,49.3,51.4,56.3,61.3,65.6,69.1,72.6,74,80.2,82.9,84.9,88.7,94.3,97.7,102.8,110,116,125,131.6,141.2
"100","93","    Air","G15093",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.5,0.6,0.6,0.8,0.7,0.6,0.6,0.8,1.1,1.4,1.3,1.3,1.5,1.7,1.8,2.2,2.5,2.6,2.9,3.4,3.9,4.5,4.8,4.1,3.3,3.4,4.5,5.2,6,6.1,6.5
"101","94","    Water","G15094",0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.7,0.7,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.8,0.7,1,1,1,1.2,1.2,1.2,1.4,1.6,1.8
"102","95","    Transit and railroad","G15095",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.6,0.7,0.6,0.5,0.9,1,1.2,1.3,1.6,1.5,1.5,1.7,2.3,2.8,3.3,3.6,3.8,3.7,3.9,4,4.1,4.8,5.5,5.6,5.5,6.2,7.3,7.7,7.8,7.9,7.6,8.3,9.2,9.9
"103","96","  Other","G15096",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.3,0.3,0.2,0.3,0.4,0.4,0.4
"104","97","Housing and community services","G15097",1.8,1.9,1.8,1.9,2.1,2.3,2.5,2.7,2.7,2.9,3.3,3,3.6,3.8,3.9,4.1,5,4.9,5.1,5.5,5.6,6.3,7.7,8.9,9.4,9.3,11.3,12.6,15.1,14.8,14.6,13.9,15.6,17,18.9,21.2,22.3,23.2,25.5,26.6,26.9,25.5,25.2,26.5,27.8,29.2,28.1,28.1,26.7,28.2
"105","98","  Water","G15098",0.4,0.4,0.5,0.5,0.6,0.7,0.6,0.7,0.7,0.8,0.7,1,1,1.3,1.1,1.4,1.6,1.4,1.2,1.1,1.2,1.2,1.6,2.1,2.1,1.9,2.5,2.8,3.6,3.4,3.6,3.2,3.8,4.5,5.4,6.1,6,6.3,7.1,7.4,6.7,6.3,6.7,6.9,8,8.6,8.8,9.2,8.3,9.1
"106","99","  Sewerage","G15099",0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.9,1.1,1,1.3,1.2,1.3,1.1,1.6,1.4,1.6,1.9,2.1,2.5,3.5,3.7,4.2,4.1,5.1,5.6,6.6,5.8,5.5,5,5.8,5.9,6.6,7.8,8.1,7.9,8.5,8.8,9.3,8.5,7.7,8.2,8.9,9.2,8.2,7.9,7.1,7.5
"107","100","  Sanitation","G15100",0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,1,1,1.1,1.3,1.3,1.5,1.7,1.8,1.9,2,2.3,2.5,2.8,3.1,3.1,3.1,3.3,3.6,3.9,4.3,5,5.7,6.2,6.5,6.6,6.6,7.1,6.9,7.1,7.5,7.3,7.6,8.2,8.3
"108","101","  Other","G15101",0.7,0.6,0.4,0.3,0.3,0.4,0.5,0.5,0.5,0.7,0.9,0.5,0.6,0.6,0.7,0.9,0.9,1.1,1.2,1.3,1,1,1,1.2,1.1,1.3,1.3,1.7,2.1,2.5,2.4,2.7,2.6,2.9,3,3.1,3.2,3.3,3.7,3.9,4.3,4.1,3.7,4.4,3.7,3.9,3.7,3.4,3.1,3.4
"109","102","Health","G15102",2,2.1,2.2,2.3,2.5,2.8,2.9,3.1,3.2,3.4,3.5,3.7,4,4.3,4.6,5.1,5.7,6.5,7.5,8.6,9,9.7,11.5,12.7,13.2,14.4,15.7,16.7,19,20.1,20.8,20.3,21.5,23.4,24.4,26.7,28.7,30.6,33.6,34.1,33.5,32.6,32.4,31.7,32.5,30.6,30.8,35.6,41.3,43.9
"110","103","Recreation and culture","G15103",0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.3,1.5,1.8,2,2.2,2.3,2.6,3.2,3.9,4,4.2,4.7,5.2,5.7,6.1,6.6,7,7.5,8.5,9.3,9.8,10.5,11.7,13,13.6,14,14.2,15,16.2,17,18.5,19.4,20.6,21.8,22.9
"111","104","Education","G15104",8.7,9.7,11,12.3,13.5,14.7,16.4,17.1,18.9,20.8,22.4,24.7,27.4,30.4,35.1,39.4,43.2,48,54,59.8,65.3,72.3,80.7,91.8,99.9,106.7,114.8,126.4,138.5,148.9,159.1,167.9,182.4,198.9,215.7,230.4,248,268.3,290.2,305.7,316.9,331,348.5,371.9,390.1,415.1,437.9,469.1,505.8,537.2
"112","105","  Elementary and secondary","G15105",7.3,8.3,9.4,10.6,11.6,12.4,13.9,14.2,15.8,17.2,18.3,19.9,22,24.2,27.6,30.5,33.4,36.9,41.2,45.5,49.5,54.4,60.6,69.3,75.2,80.5,86.8,95.7,104.3,111.3,118.9,126.4,137.8,149.7,163.1,175.4,188.7,204.2,221.8,234.8,245,254.8,267.9,288.2,304.7,325,343.1,368.4,396.5,420.5
"113","106","  Higher","G15106",1.1,1.1,1.2,1.4,1.5,1.8,2,2.4,2.6,3,3.3,4,4.5,5.1,6.1,7.2,7.9,8.9,10.3,11.4,12.6,14.5,16.3,17.9,19.8,21.1,22.7,25,27.9,31.1,33.4,34.6,37.1,40.9,43.9,45.5,49,52.9,56.6,58.7,59.4,63.1,66.7,68.9,70,73.7,77.7,82.5,89.4,95.6
"114","107","  Libraries","G15107",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2,2.2,2.3,2.6,2.8,3.1,3.4,3.7,3.9,4.3,4.6,4.7,4.8,5.1,5.4,5.8,6.4,6.7,7.1,7.7,8
"115","108","  Other","G15108",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.8,1.1,1.2,1.5,1.8,2,2.3,2.4,2.8,3.4,3.6,3.7,3.9,4.1,4.4,4.6,4.7,4.7,5,5.4,5.7,6.1,6.6,7.3,7.6,7.6,7.8,8.2,8.7,9.3,9.7,9.9,10.4,11.2,12.2,13
"116","109","Income security","G15109",0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,1.1,1.2,1.5,1.7,2.1,2.5,3,3.6,4.3,5.1,5.9,6.7,7.6,8.5,9.4,10.4,11.3,12.4,13.2,15.2,16.4,17.9,19.1,20.4,22.1,24.4,27.4,29.8,32.4,34.9,37.9,40,41.3,43.5,47.1,50.8,55.4,58.8
"117","110","  Disability","G15110",0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.5,1.7,1.8,2.3,2.4,2.6,3,2.9,2.9,3
"118","111","  Welfare and social services","G15111",0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.8,1,1.2,1.4,1.7,2,2.4,2.9,3.5,4.2,5,5.8,6.6,7.4,8.3,9.2,10.1,11,12.1,12.8,14.7,15.9,17.4,18.6,19.8,21.3,23.5,26.2,28.5,30.9,33.2,36.1,37.8,38.9,40.9,44.1,47.9,52.5,55.8
"119","112","  Other"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121"," 1. Consists of consumption expenditures to administer social insurance funds, including old age and survivors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","insurance (social security) and railroad retirement. Excludes government employee retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123"," 2. Consists of consumption expenditures to administer Federal revenue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","sharing grants to State and local governments beginning with 1972 and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","ending with 1987.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126"," 3. Consists primarily of unallocable State and local government consumption expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
