"","Table 7#4# Chain-Type Quantity and Price Indexes for Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"46","36","Services","B005RG",9.97,9.71,9.08,8.26,7.72,7.56,7.66,7.81,8.09,8.16,8.17,8.22,8.43,8.87,9.32,9.77,10.09,10.55,11.2,11.83,12.15,12.51,13.05,13.57,14.26,14.69,15,15.39,15.83,16.28,16.74,17.19,17.51,17.82,18.07,18.4,18.76,19.29,19.86,20.69,21.73,22.89,24.17,25.22,26.37,28.46,30.8,32.9,35.49,38.31,41.43,45.88,50.58,54.81,58.33,61.35,64.36,67.31,70.2,73.61,77.12,80.95,84.82,88.5,91.57,94.16,97.25,100,103.12,105.53,107.81,110.85,114.32,117.44
"47","37","  Housing","B174RG",16.69,16.21,15.3,13.71,12.32,11.25,11.32,11.57,12.11,12.48,12.46,12.49,12.71,13.05,13.17,13.29,13.47,13.8,14.3,15.17,15.65,16.17,16.86,17.56,18.43,18.98,19.24,19.58,19.95,20.34,20.7,21.04,21.35,21.62,21.9,22.14,22.38,22.73,23.19,23.8,24.62,25.64,26.86,27.86,29.06,30.19,32.17,34.31,37.22,39.87,43.06,47.11,51.97,56.36,59.74,62.88,66.68,70.61,73.89,77.16,80.36,84.12,86.79,89.16,91.55,94.08,97,100,102.96,106.31,109.3,112.77,117.15,121.74
"48","38","  Household operation","B186RG",13.54,13,12.2,11.46,11.07,11.08,11.15,11.19,11.49,11.25,11.3,11.4,11.68,12.42,13.64,14.78,15.55,15.85,16.31,16.84,17.18,17.57,18.08,18.84,19.45,19.67,19.97,20.27,20.73,21.39,22.03,22.76,22.98,23.16,23.41,23.66,23.86,24.11,24.53,25.27,26.1,27.18,29.07,30.54,31.96,35.31,38.66,42.1,45.11,47.74,50.92,56.29,63.34,70.6,75.41,79.3,81.81,83.09,82.74,83.96,86.01,87.6,90.76,92.8,95.24,96.92,98.06,100,101.71,100.61,100.46,102.23,106.18,105.32
"49","39","    Electricity and gas","B175RG",21.28,20.71,20.11,19.56,19.28,18.92,18.56,18.17,17.87,17.81,17.7,17.53,17.39,17.31,17.22,17.17,17.04,16.5,16.43,16.74,17.09,17.13,17.2,17.43,17.75,17.93,18.34,18.48,18.64,19.2,19.61,20.26,20.44,20.44,20.39,20.4,20.35,20.39,20.48,20.66,21.06,21.93,23.43,24.58,25.98,30.21,34.73,38.15,42.13,45.15,49.81,58.31,66.85,75.53,81.51,85.07,86.91,86.34,85.02,85.7,88.08,89.58,92.33,94.1,97,97.52,97.74,100,102.21,98.44,98.19,103.88,114.84,108.62
"50","40","    Other household operation","B176RG",11.36,10.84,10.01,9.21,8.77,8.9,9.09,9.26,9.74,9.45,9.54,9.73,10.16,11.2,12.9,14.53,15.67,16.34,17.06,17.73,18.07,18.68,19.48,20.63,21.47,21.72,21.95,22.38,23.11,23.87,24.72,25.53,25.8,26.15,26.7,27.17,27.61,28.06,28.81,30.11,31.36,32.67,34.97,36.75,38.2,40.69,42.86,46.35,48.4,50.67,52.45,54.9,60.6,66.59,70.33,74.56,77.68,80.54,81.01,82.68,84.46,86.12,89.6,91.86,93.94,96.49,98.29,100,101.38,101.95,101.86,101.39,101.45,103.47
"51","41","  Transportation","B177RG",9.87,9.69,9.2,8.58,8.09,8.3,8.52,8.5,8.43,8.46,8.54,8.37,8.5,9,9.27,9.2,9.29,9.59,10.36,11.2,11.99,12.65,13.31,14.04,15.02,15.57,15.57,15.63,16.12,17.01,17.78,18.28,18.89,19.09,19.04,19.07,19.67,20.28,20.8,21.4,22.51,24.73,27.3,28.26,28.81,30.65,32.25,35.83,39.82,42.08,45.01,51.91,56.87,59.59,62.52,64.5,65.52,67.7,71.8,75.15,78.23,81.75,86.75,90.62,94.12,95.68,98.36,100,103.55,104.93,105.36,105.86,108.08,110.2
"52","42","  Medical care","B494RG",4.83,4.85,4.47,3.93,3.9,4.07,4.3,4.41,4.53,4.63,4.6,4.73,4.84,5.16,5.56,5.92,6.21,6.73,7.32,7.65,7.58,7.65,7.78,8.22,8.73,9.09,9.31,9.48,9.88,10.24,10.54,10.96,11.28,11.58,11.84,12.21,12.62,13.25,14.1,15.13,16.08,17.12,18.06,18.99,19.84,21.44,23.64,25.74,28.25,30.95,33.58,37.17,41.61,46.15,49.66,53.07,55.9,57.81,60.5,65.15,70.63,76.04,80.48,85.26,90.35,94.15,97.87,100,102.3,104.82,107.03,110.19,114.27,117.36
"53","43","  Recreation","A490RG",10.26,10.06,9.58,9.09,8.58,8.67,8.79,8.99,9.34,9.5,9.44,9.49,9.82,10.35,11.14,12.49,13.13,14.03,15.15,15.74,15.99,16.17,16.74,17.33,18.13,18.9,19.54,20.15,20.9,21.7,22.26,22.98,23.5,24.01,24.52,25.28,25.97,26.85,27.81,29.43,30.81,32.35,33.83,34.69,35.92,38.28,40.93,42.7,44.52,46.95,50.04,53.7,57.26,60.11,62.62,65.36,67.91,70.48,72.96,75.76,79.15,83.31,87.49,90.05,92.76,94.56,96.82,100,103.09,105.76,108.78,112.81,116.58,120.04
"54","44","  Other","B178RG",6.76,6.56,6.01,5.48,5.23,5.4,5.46,5.61,5.86,5.82,5.82,5.88,6.14,6.58,7.1,7.62,7.96,8.55,9.29,9.9,10.19,10.52,11.18,11.45,12.05,12.44,12.94,13.68,14.19,14.53,15.05,15.51,15.81,16.26,16.54,17,17.42,18.15,18.67,19.6,21.02,22.15,23.18,24.31,25.82,29.15,31.89,32.94,34.79,38.35,42.06,47.06,50.92,53.88,57.39,59.82,62.99,66.97,70.73,74.01,76.44,79.53,84.03,88.75,90.42,92.57,96.29,100,104.68,107.72,110.75,114.26,116.35,119.94
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","45","  Energy goods and services \1\","BA02RG",14.18,13.74,12.53,12.21,11.98,12.37,12.22,12.39,12.51,12.34,12.01,11.99,12.36,12.87,13.15,13.33,13.28,13.52,14.73,16.32,16.58,16.73,17.08,17.37,17.93,18.19,18.45,18.89,19.54,19.57,19.9,20.37,20.41,20.49,20.5,20.41,20.84,21.16,21.64,21.96,22.55,23.09,23.93,24.55,26.66,34.74,38.21,40.75,44.17,46.62,57.9,75.52,85.65,87.24,88.17,89.33,90.32,79.4,80.15,80.78,85.44,92.5,93.09,93.59,94.53,94.91,95.63,100,101.1,92.7,96.31,113.42,116.62,109.37
"57","46","  Personal consumption expenditures less food and energy","BA03RG",12.56,12.11,11.13,9.96,9.46,9.66,9.7,9.83,10.24,10.23,10.17,10.26,10.76,11.86,12.73,13.7,14.36,15.14,16.37,17.3,17.39,17.65,18.7,19.06,19.56,19.8,20.01,20.5,21.11,21.59,22.06,22.45,22.73,23.01,23.28,23.61,23.91,24.42,25.12,26.17,27.37,28.61,29.96,30.93,32.05,34.43,37.21,39.43,42.01,44.84,48,52.43,56.92,60.76,63.94,66.51,69.19,71.78,74.76,77.94,81.16,84.65,88.17,91.36,93.78,95.85,98.16,100,101.94,103.48,105,106.85,108.78,110.64
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59"," 1. Consists of gasoline, fuel oil, and other energy goods and of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60"," electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
