"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"33","14","  Household consumption expenditures (for services)","DHCERC1","279,905.0","287,226.0","293,307.0","301,026.0","308,365.0","314,643.0","322,061.0","328,620.0","335,234.0","342,998.0","350,901.0","359,540.0","369,963.0","377,636.0","386,787.0","396,818.0","405,956.0","415,593.0","425,913.0","435,517.0","443,461.0","458,133.0","471,443.0","486,787.0","502,819.0","517,709.0","529,469.0","547,610.0","562,724.0","574,166.0","592,012.0","610,620.0","630,189.0","645,672.0","665,045.0","681,692.0","706,340.0","731,597.0","750,599.0","769,781.0","787,774.0","813,450.0","836,793.0","863,696.0","885,845.0","900,905.0","934,491.0","975,336.0","997,759.0","1,024,555.0","1,045,690.0","1,067,463.0","1,090,912.0","1,115,170.0","1,148,286.0","1,190,086.0","1,224,672.0","1,251,573.0","1,292,485.0","1,318,809.0","1,342,275.0","1,373,430.0","1,407,897.0","1,435,569.0","1,483,957.0","1,511,640.0","1,548,150.0","1,574,878.0","1,602,830.0","1,628,911.0","1,657,866.0","1,693,381.0","1,731,828.0","1,763,005.0","1,797,767.0","1,835,923.0","1,881,147.0","1,920,452.0","1,971,154.0","2,011,197.0","2,049,428.0","2,077,717.0","2,112,121.0","2,156,624.0","2,193,973.0","2,254,184.0","2,296,655.0","2,313,329.0","2,341,391.0","2,382,748.0","2,415,165.0","2,454,285.0","2,517,393.0","2,553,826.0","2,600,559.0","2,653,337.0","2,684,531.0","2,724,151.0","2,772,096.0","2,805,705.0","2,846,400.0","2,882,129.0","2,923,350.0","2,955,658.0","2,995,387.0","3,047,098.0","3,089,086.0","3,126,737.0","3,172,163.0","3,216,747.0","3,260,869.0","3,311,099.0","3,369,584.0","3,419,386.0","3,480,916.0","3,536,562.0","3,590,154.0","3,651,187.0","3,711,852.0","3,756,682.0","3,809,984.0","3,871,034.0","3,937,677.0","4,010,857.0","4,108,442.0","4,171,351.0","4,238,355.0","4,305,334.0","4,371,527.0","4,415,395.0","4,438,390.0","4,489,078.0","4,543,119.0","4,601,333.0","4,650,488.0","4,701,971.0","4,760,590.0","4,832,016.0","4,900,979.0","4,965,659.0","5,050,085.0","5,124,057.0","5,208,837.0","5,293,344.0","5,390,886.0","5,475,870.0","5,554,963.0","5,638,651.0","5,715,491.0","5,801,108.0","5,869,513.0","5,959,045.0","6,056,231.0","6,126,334.0","6,182,250.0","6,252,832.0","6,324,950.0","6,377,818.0","6,389,163.0","6,385,110.0","6,366,895.0","6,361,262.0","6,386,710.0","6,438,707.0","6,484,023.0","6,562,281.0","6,610,878.0","6,656,036.0","6,699,983.0","6,771,625.0","6,834,434.0","6,873,529.0","6,929,216.0"
"34","15","    Housing and utilities","DHUTRC1","97,712.0","99,524.0","102,197.0","104,494.0","106,212.0","107,939.0","110,471.0","113,065.0","115,841.0","118,633.0","121,302.0","124,148.0","126,807.0","129,575.0","132,238.0","136,119.0","138,559.0","141,794.0","145,318.0","148,269.0","151,488.0","156,434.0","160,795.0","165,599.0","169,970.0","174,897.0","178,722.0","182,518.0","186,962.0","190,900.0","196,503.0","204,286.0","210,162.0","213,282.0","221,138.0","226,642.0","234,466.0","241,253.0","246,733.0","254,664.0","262,397.0","268,138.0","275,988.0","287,089.0","296,109.0","305,653.0","316,937.0","328,573.0","333,837.0","347,861.0","357,660.0","368,451.0","378,127.0","381,666.0","388,879.0","399,200.0","405,576.0","415,679.0","426,573.0","436,818.0","441,280.0","454,149.0","463,916.0","473,733.0","487,646.0","492,024.0","505,202.0","517,799.0","521,744.0","531,664.0","540,557.0","548,772.0","555,327.0","567,035.0","577,081.0","587,794.0","600,015.0","607,002.0","620,042.0","630,753.0","640,091.0","647,246.0","658,369.0","676,702.0","675,231.0","692,182.0","706,053.0","711,956.0","719,717.0","733,894.0","740,371.0","748,179.0","755,129.0","766,941.0","774,463.0","788,213.0","797,011.0","805,825.0","821,890.0","833,279.0","849,502.0","863,945.0","871,783.0","880,635.0","891,370.0","908,171.0","923,572.0","932,008.0","948,823.0","957,663.0","961,960.0","976,541.0","987,946.0","1,001,344.0","1,014,697.0","1,035,642.0","1,040,927.0","1,061,188.0","1,076,292.0","1,082,548.0","1,101,001.0","1,118,115.0","1,136,933.0","1,144,131.0","1,159,621.0","1,184,388.0","1,208,100.0","1,242,108.0","1,271,151.0","1,281,324.0","1,295,739.0","1,302,760.0","1,313,006.0","1,328,430.0","1,339,205.0","1,358,416.0","1,375,352.0","1,389,916.0","1,397,408.0","1,412,869.0","1,428,574.0","1,449,323.0","1,470,733.0","1,500,884.0","1,531,778.0","1,566,313.0","1,600,387.0","1,631,830.0","1,643,203.0","1,676,818.0","1,707,832.0","1,716,860.0","1,735,889.0","1,749,735.0","1,763,365.0","1,775,616.0","1,802,039.0","1,825,184.0","1,838,565.0","1,858,366.0","1,867,241.0","1,866,713.0","1,872,108.0","1,880,251.0","1,883,586.0","1,887,078.0","1,900,839.0","1,901,110.0","1,901,654.0","1,913,335.0","1,937,677.0","1,932,573.0","1,930,370.0"
"35","16","    Health care","DHLCRC1","40,259.0","41,601.0","42,540.0","43,831.0","45,474.0","46,654.0","48,272.0","50,256.0","51,257.0","52,882.0","54,632.0","56,129.0","57,619.0","59,037.0","60,637.0","62,079.0","64,445.0","66,479.0","68,055.0","69,722.0","71,857.0","74,612.0","77,426.0","80,434.0","84,534.0","87,718.0","89,522.0","94,225.0","97,328.0","100,338.0","103,356.0","106,376.0","109,719.0","114,804.0","117,979.0","120,260.0","125,249.0","129,524.0","132,784.0","137,249.0","141,661.0","146,077.0","151,006.0","156,614.0","162,440.0","165,681.0","174,674.0","183,848.0","191,413.0","199,026.0","206,166.0","211,047.0","215,362.0","221,097.0","228,279.0","235,991.0","243,577.0","250,173.0","256,245.0","262,505.0","269,178.0","273,638.0","278,739.0","284,352.0","290,984.0","297,707.0","306,086.0","314,004.0","320,589.0","325,844.0","332,633.0","341,572.0","350,593.0","360,978.0","371,927.0","380,547.0","392,680.0","404,418.0","416,734.0","426,373.0","437,112.0","444,815.0","454,494.0","468,414.0","483,084.0","499,376.0","515,239.0","527,102.0","536,322.0","548,092.0","561,328.0","577,295.0","593,101.0","607,776.0","620,468.0","629,794.0","638,783.0","644,977.0","652,806.0","658,668.0","667,116.0","675,466.0","684,685.0","694,578.0","707,806.0","715,580.0","723,568.0","732,589.0","736,339.0","748,009.0","754,783.0","769,130.0","776,346.0","785,383.0","796,489.0","805,572.0","820,166.0","829,312.0","836,745.0","841,958.0","848,878.0","856,132.0","867,807.0","881,542.0","893,835.0","910,022.0","926,690.0","943,151.0","966,200.0","985,031.0","1,006,119.0","1,028,907.0","1,052,407.0","1,074,898.0","1,094,207.0","1,109,978.0","1,123,030.0","1,139,082.0","1,156,031.0","1,174,464.0","1,195,045.0","1,218,006.0","1,241,558.0","1,259,348.0","1,287,796.0","1,300,878.0","1,316,295.0","1,330,594.0","1,351,218.0","1,367,409.0","1,377,619.0","1,398,368.0","1,434,292.0","1,447,476.0","1,462,153.0","1,486,851.0","1,513,026.0","1,526,494.0","1,538,997.0","1,551,956.0","1,571,777.0","1,596,228.0","1,615,412.0","1,633,534.0","1,632,938.0","1,659,075.0","1,677,107.0","1,700,358.0","1,708,118.0","1,729,544.0","1,734,424.0","1,749,333.0","1,756,251.0"
"36","17","    Transportation services","DTRSRC1","17,128.0","17,726.0","18,232.0","18,823.0","19,400.0","19,706.0","20,344.0","20,725.0","21,189.0","22,047.0","22,846.0","23,356.0","23,990.0","24,286.0","24,709.0","25,192.0","25,570.0","25,918.0","26,225.0","26,598.0","27,365.0","28,079.0","28,827.0","29,615.0","30,457.0","31,418.0","32,607.0","33,695.0","34,892.0","35,730.0","36,442.0","37,557.0","39,437.0","40,832.0","42,313.0","42,998.0","43,720.0","44,991.0","45,830.0","46,257.0","48,139.0","49,916.0","51,311.0","53,454.0","54,188.0","53,833.0","56,035.0","57,412.0","59,299.0","58,834.0","60,497.0","60,528.0","60,037.0","60,918.0","62,396.0","63,564.0","64,970.0","67,107.0","70,341.0","73,178.0","76,751.0","79,170.0","80,359.0","83,783.0","87,355.0","89,632.0","91,044.0","92,549.0","93,374.0","94,046.0","95,436.0","97,178.0","99,500.0","101,803.0","104,447.0","106,637.0","109,379.0","112,617.0","115,904.0","118,700.0","121,107.0","121,817.0","121,993.0","122,471.0","124,655.0","126,738.0","126,862.0","127,233.0","122,886.0","122,767.0","123,874.0","125,166.0","129,306.0","130,819.0","135,354.0","139,007.0","141,732.0","144,102.0","147,304.0","151,259.0","155,542.0","160,090.0","164,175.0","167,782.0","170,630.0","175,505.0","180,763.0","184,886.0","187,498.0","192,189.0","196,997.0","203,137.0","208,428.0","212,751.0","216,594.0","219,458.0","222,301.0","224,951.0","229,075.0","232,315.0","236,021.0","240,612.0","246,112.0","250,396.0","255,535.0","260,745.0","264,676.0","268,052.0","268,161.0","266,341.0","260,517.0","255,881.0","256,584.0","256,774.0","256,132.0","257,436.0","259,725.0","260,397.0","264,980.0","267,723.0","270,638.0","272,152.0","274,272.0","277,769.0","280,782.0","284,122.0","287,847.0","291,093.0","293,069.0","297,169.0","298,245.0","301,492.0","305,028.0","306,116.0","307,817.0","309,129.0","309,324.0","309,433.0","306,948.0","297,940.0","290,379.0","285,301.0","285,024.0","287,554.0","291,180.0","295,294.0","296,956.0","298,535.0","302,147.0","304,583.0","305,563.0","308,252.0","311,698.0"
"37","18","    Recreation services","DRCARC1","12,577.0","12,950.0","12,949.0","13,226.0","13,676.0","13,864.0","14,123.0","14,346.0","14,598.0","14,927.0","15,190.0","15,753.0","15,857.0","16,111.0","16,450.0","16,899.0","17,593.0","18,205.0","18,501.0","19,093.0","19,589.0","20,416.0","21,372.0","22,413.0","23,056.0","23,159.0","23,800.0","24,596.0","25,174.0","25,892.0","27,097.0","27,976.0","28,178.0","29,022.0","30,024.0","31,025.0","31,663.0","32,280.0","33,380.0","34,077.0","35,263.0","36,345.0","37,281.0","38,012.0","39,066.0","39,898.0","41,256.0","43,129.0","44,683.0","46,548.0","48,199.0","49,075.0","50,677.0","51,654.0","53,142.0","54,426.0","56,375.0","58,815.0","60,331.0","62,195.0","63,641.0","65,115.0","66,968.0","68,745.0","70,987.0","73,147.0","74,788.0","76,908.0","78,432.0","79,267.0","80,644.0","83,134.0","84,578.0","86,126.0","87,961.0","90,443.0","93,812.0","97,619.0","100,942.0","104,564.0","107,777.0","109,733.0","112,027.0","113,124.0","117,217.0","120,886.0","123,463.0","125,507.0","124,856.0","125,994.0","127,706.0","130,172.0","135,071.0","138,345.0","141,052.0","144,734.0","147,895.0","151,516.0","156,124.0","157,967.0","160,564.0","163,111.0","166,417.0","168,546.0","173,685.0","179,594.0","183,293.0","187,797.0","189,818.0","193,625.0","198,349.0","200,540.0","204,108.0","207,286.0","209,510.0","212,366.0","216,549.0","218,040.0","222,027.0","225,730.0","229,602.0","235,452.0","242,450.0","247,642.0","250,208.0","254,211.0","258,150.0","259,328.0","263,430.0","263,203.0","262,995.0","264,579.0","267,909.0","271,052.0","273,549.0","278,818.0","281,078.0","286,639.0","293,300.0","299,329.0","306,733.0","312,071.0","315,939.0","318,427.0","322,985.0","325,793.0","328,870.0","335,289.0","341,936.0","347,614.0","353,159.0","363,076.0","367,829.0","374,131.0","377,944.0","381,495.0","384,752.0","385,559.0","382,344.0","374,980.0","373,261.0","369,649.0","369,993.0","372,000.0","374,174.0","379,906.0","388,599.0","387,660.0","387,947.0","398,638.0","407,281.0","408,195.0","416,037.0"
"38","19","    Food services and accommodations","DFSARC1","36,030.0","37,345.0","37,727.0","38,742.0","40,284.0","41,662.0","42,262.0","42,287.0","42,529.0","43,237.0","44,176.0","45,246.0","47,025.0","48,245.0","49,599.0","50,674.0","52,731.0","53,504.0","55,530.0","57,566.0","57,850.0","59,723.0","61,404.0","63,477.0","65,539.0","68,028.0","68,957.0","72,760.0","75,095.0","76,754.0","79,297.0","80,061.0","84,800.0","85,598.0","85,665.0","86,595.0","90,232.0","95,187.0","99,992.0","103,005.0","107,068.0","108,528.0","111,431.0","116,658.0","118,460.0","119,475.0","122,103.0","126,847.0","131,637.0","133,861.0","134,590.0","135,573.0","137,129.0","141,017.0","144,565.0","147,322.0","150,098.0","151,971.0","155,080.0","157,049.0","161,618.0","162,685.0","167,010.0","168,351.0","170,546.0","174,569.0","175,366.0","176,715.0","181,356.0","185,258.0","187,811.0","192,323.0","198,093.0","202,182.0","205,120.0","212,123.0","214,895.0","222,439.0","230,327.0","235,726.0","237,496.0","239,795.0","244,803.0","248,292.0","257,001.0","262,063.0","266,674.0","265,200.0","266,442.0","274,091.0","275,802.0","277,246.0","285,059.0","280,601.0","284,249.0","295,341.0","293,500.0","297,763.0","301,743.0","301,418.0","302,128.0","307,896.0","311,225.0","313,426.0","312,686.0","316,180.0","318,504.0","319,492.0","321,033.0","325,591.0","328,522.0","334,446.0","340,022.0","342,081.0","347,750.0","348,388.0","354,175.0","360,828.0","364,286.0","372,747.0","373,129.0","377,865.0","381,999.0","393,332.0","402,915.0","408,979.0","413,740.0","414,870.0","421,157.0","420,286.0","421,091.0","422,379.0","431,725.0","436,972.0","440,380.0","443,654.0","448,381.0","459,218.0","470,269.0","478,805.0","487,720.0","493,707.0","502,962.0","511,924.0","520,312.0","530,921.0","536,769.0","547,625.0","562,082.0","563,669.0","571,102.0","583,943.0","588,381.0","595,651.0","604,024.0","613,937.0","612,359.0","620,044.0","622,014.0","618,590.0","612,828.0","608,602.0","608,231.0","611,553.0","624,232.0","634,907.0","642,777.0","650,145.0","663,697.0","673,908.0","685,604.0","697,023.0","710,653.0"
"39","20","    Financial services and insurance","DIFSRC1","27,295.0","28,163.0","28,762.0","29,787.0","29,988.0","30,602.0","31,376.0","32,321.0","33,271.0","33,826.0","34,461.0","34,991.0","36,978.0","37,661.0","39,006.0","39,701.0","40,110.0","41,032.0","41,866.0","42,978.0","42,993.0","44,499.0","46,899.0","49,220.0","52,076.0","53,557.0","54,234.0","56,188.0","57,499.0","57,743.0","59,897.0","61,885.0","63,086.0","65,737.0","69,462.0","72,856.0","76,473.0","80,986.0","81,588.0","83,459.0","80,105.0","89,239.0","90,931.0","90,217.0","91,914.0","91,610.0","95,901.0","102,968.0","104,135.0","102,848.0","100,218.0","100,775.0","104,699.0","109,728.0","119,023.0","131,842.0","141,446.0","139,423.0","152,561.0","150,069.0","147,333.0","154,208.0","161,773.0","162,903.0","178,021.0","178,778.0","183,119.0","182,242.0","191,012.0","194,564.0","197,726.0","203,359.0","208,123.0","204,554.0","206,732.0","209,097.0","213,854.0","217,007.0","222,085.0","224,687.0","231,501.0","234,640.0","236,332.0","240,499.0","243,936.0","253,638.0","256,417.0","258,879.0","273,706.0","278,897.0","284,367.0","290,947.0","304,841.0","306,701.0","313,798.0","321,698.0","330,789.0","340,005.0","344,487.0","348,779.0","349,407.0","345,498.0","350,024.0","351,178.0","354,401.0","361,361.0","368,483.0","374,508.0","383,537.0","390,365.0","395,595.0","405,028.0","416,676.0","423,939.0","438,353.0","446,228.0","453,859.0","463,401.0","474,727.0","486,608.0","494,832.0","507,132.0","517,898.0","537,077.0","574,232.0","567,700.0","567,480.0","570,442.0","566,392.0","565,603.0","549,843.0","569,323.0","568,531.0","573,598.0","580,230.0","582,312.0","581,859.0","597,858.0","610,186.0","619,963.0","634,629.0","644,263.0","656,270.0","671,580.0","680,946.0","695,051.0","705,227.0","712,492.0","719,706.0","727,399.0","731,047.0","752,349.0","768,182.0","783,193.0","797,900.0","811,884.0","816,959.0","819,737.0","807,667.0","783,555.0","753,847.0","744,309.0","741,892.0","751,181.0","770,501.0","788,600.0","779,197.0","782,683.0","795,693.0","803,085.0","811,879.0","808,710.0","822,891.0"
"40","21","    Other services","DOTSRC1","48,904.0","49,917.0","50,900.0","52,123.0","53,331.0","54,216.0","55,213.0","55,620.0","56,549.0","57,446.0","58,294.0","59,917.0","61,687.0","62,721.0","64,148.0","66,154.0","66,948.0","68,661.0","70,418.0","71,291.0","72,319.0","74,370.0","74,720.0","76,029.0","77,187.0","78,932.0","81,627.0","83,628.0","85,774.0","86,809.0","89,420.0","92,479.0","94,807.0","96,397.0","98,464.0","101,316.0","104,537.0","107,376.0","110,292.0","111,070.0","113,141.0","115,207.0","118,845.0","121,652.0","123,668.0","124,755.0","127,585.0","132,559.0","132,755.0","135,577.0","138,360.0","142,014.0","144,881.0","149,090.0","152,002.0","157,741.0","162,630.0","168,405.0","171,354.0","176,995.0","182,474.0","184,465.0","189,132.0","193,702.0","198,418.0","205,783.0","212,545.0","214,661.0","216,323.0","218,268.0","223,059.0","227,043.0","235,614.0","240,327.0","244,499.0","249,282.0","256,512.0","259,350.0","265,120.0","270,394.0","274,344.0","279,671.0","284,103.0","287,122.0","292,849.0","299,301.0","301,947.0","297,452.0","297,462.0","299,013.0","301,717.0","305,280.0","314,886.0","322,643.0","331,175.0","334,550.0","334,821.0","339,963.0","347,742.0","354,335.0","362,141.0","366,123.0","375,041.0","379,513.0","384,809.0","390,707.0","390,903.0","395,457.0","405,115.0","409,305.0","424,663.0","422,277.0","436,058.0","446,602.0","457,523.0","468,908.0","482,177.0","493,467.0","508,700.0","514,776.0","526,521.0","535,726.0","544,478.0","556,737.0","572,096.0","585,306.0","599,519.0","607,383.0","615,036.0","633,607.0","642,086.0","645,249.0","652,957.0","659,609.0","666,785.0","671,357.0","691,165.0","698,906.0","708,805.0","712,506.0","726,746.0","734,535.0","747,103.0","753,412.0","766,287.0","772,792.0","779,568.0","789,728.0","804,277.0","821,030.0","830,509.0","842,957.0","856,630.0","870,032.0","869,047.0","873,920.0","886,491.0","891,367.0","892,628.0","899,723.0","897,562.0","890,460.0","894,050.0","902,634.0","907,412.0","917,421.0","925,403.0","935,545.0","940,727.0","948,532.0","952,006.0","969,443.0","981,316.0"
"41","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1","9,693.0","9,920.0","10,205.0","10,514.0","10,746.0","10,945.0","11,298.0","11,365.0","11,694.0","12,042.0","12,513.0","13,064.0","13,170.0","13,401.0","13,471.0","14,419.0","14,080.0","14,634.0","14,724.0","15,077.0","15,696.0","16,473.0","16,567.0","16,995.0","17,267.0","17,594.0","18,410.0","18,929.0","19,918.0","19,907.0","19,964.0","20,489.0","21,076.0","21,068.0","21,924.0","23,098.0","23,493.0","24,109.0","24,776.0","25,516.0","26,942.0","27,579.0","27,607.0","29,066.0","30,109.0","31,304.0","32,367.0","33,774.0","34,549.0","35,611.0","36,682.0","38,214.0","38,967.0","39,560.0","40,583.0","41,246.0","41,657.0","42,171.0","43,244.0","44,561.0","45,314.0","47,055.0","48,218.0","49,780.0","49,090.0","49,769.0","50,766.0","51,758.0","53,527.0","55,529.0","56,020.0","56,393.0","57,042.0","57,489.0","59,299.0","60,299.0","63,532.0","65,805.0","68,073.0","69,636.0","69,319.0","71,181.0","72,703.0","73,659.0","75,181.0","78,404.0","81,876.0","82,993.0","82,513.0","83,531.0","84,802.0","86,137.0","88,907.0","91,482.0","93,951.0","95,034.0","93,396.0","93,794.0","95,016.0","96,281.0","98,335.0","100,903.0","104,077.0","106,166.0","105,164.0","106,507.0","107,568.0","109,440.0","113,370.0","116,149.0","117,675.0","115,666.0","110,769.0","110,081.0","111,943.0","116,195.0","122,146.0","128,455.0","134,360.0","139,021.0","140,355.0","143,308.0","146,767.0","151,196.0","156,668.0","161,560.0","167,838.0","175,404.0","179,826.0","184,916.0","188,865.0","191,207.0","196,299.0","202,810.0","208,741.0","212,168.0","211,366.0","211,578.0","211,600.0","210,500.0","209,405.0","209,616.0","209,748.0","208,734.0","200,143.0","205,314.0","214,039.0","227,333.0","229,608.0","236,515.0","246,255.0","247,530.0","248,737.0","245,455.0","256,741.0","264,730.0","271,215.0","281,810.0","290,539.0","294,778.0","284,130.0","276,742.0","278,790.0","281,368.0","281,551.0","282,434.0","279,226.0","277,640.0","279,445.0","281,692.0","288,811.0","287,986.0","295,841.0"
"42","23","    Gross output of nonprofit institutions \2\","DNPERC1","33,105.0","34,181.0","35,080.0","36,228.0","37,356.0","38,023.0","39,226.0","40,219.0","41,315.0","42,752.0","44,156.0","45,356.0","46,615.0","47,513.0","48,554.0","49,935.0","50,602.0","52,289.0","53,191.0","54,742.0","56,438.0","59,347.0","60,661.0","62,509.0","64,782.0","66,949.0","68,946.0","72,243.0","75,005.0","76,120.0","78,287.0","80,177.0","82,994.0","85,501.0","87,028.0","89,743.0","93,100.0","96,992.0","99,737.0","102,628.0","106,233.0","109,412.0","111,764.0","116,730.0","121,163.0","124,120.0","130,414.0","136,124.0","140,667.0","145,562.0","149,798.0","155,069.0","159,060.0","163,424.0","168,249.0","172,989.0","176,457.0","179,738.0","182,546.0","186,731.0","190,638.0","194,907.0","198,299.0","202,717.0","205,227.0","208,719.0","213,787.0","219,133.0","224,404.0","228,688.0","231,418.0","235,710.0","240,557.0","246,363.0","253,289.0","258,581.0","267,184.0","275,048.0","283,860.0","289,858.0","295,145.0","301,434.0","307,924.0","315,164.0","323,541.0","333,833.0","344,671.0","350,715.0","354,792.0","362,859.0","370,490.0","379,901.0","388,597.0","397,195.0","405,988.0","411,417.0","416,016.0","420,611.0","426,519.0","430,065.0","434,549.0","440,676.0","448,570.0","454,942.0","456,199.0","460,666.0","465,040.0","471,639.0","476,722.0","486,104.0","491,860.0","500,538.0","500,158.0","504,170.0","511,946.0","520,860.0","535,117.0","545,815.0","556,606.0","564,652.0","571,754.0","579,360.0","588,908.0","601,085.0","611,287.0","624,817.0","638,587.0","653,224.0","667,568.0","681,057.0","695,551.0","707,871.0","726,016.0","744,373.0","759,689.0","768,658.0","775,305.0","781,431.0","789,239.0","797,743.0","807,660.0","820,994.0","835,853.0","845,816.0","853,371.0","864,430.0","880,101.0","899,290.0","914,601.0","929,283.0","941,570.0","955,178.0","975,603.0","981,555.0","991,563.0","1,008,743.0","1,025,939.0","1,041,335.0","1,055,402.0","1,063,387.0","1,065,011.0","1,071,121.0","1,082,686.0","1,093,823.0","1,094,547.0","1,113,937.0","1,125,302.0","1,141,644.0","1,143,491.0","1,154,919.0","1,159,798.0","1,172,325.0","1,186,023.0"
"43","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1","23,412.0","24,261.0","24,875.0","25,714.0","26,610.0","27,078.0","27,928.0","28,854.0","29,621.0","30,710.0","31,643.0","32,292.0","33,445.0","34,112.0","35,083.0","35,516.0","36,522.0","37,655.0","38,467.0","39,665.0","40,742.0","42,874.0","44,094.0","45,514.0","47,515.0","49,355.0","50,536.0","53,314.0","55,087.0","56,213.0","58,323.0","59,688.0","61,918.0","64,433.0","65,104.0","66,645.0","69,607.0","72,883.0","74,961.0","77,112.0","79,291.0","81,833.0","84,157.0","87,664.0","91,054.0","92,816.0","98,047.0","102,350.0","106,118.0","109,951.0","113,116.0","116,855.0","120,093.0","123,864.0","127,666.0","131,743.0","134,800.0","137,567.0","139,302.0","142,170.0","145,324.0","147,852.0","150,081.0","152,937.0","156,137.0","158,950.0","163,021.0","167,375.0","170,877.0","173,159.0","175,398.0","179,317.0","183,515.0","188,874.0","193,990.0","198,282.0","203,652.0","209,243.0","215,787.0","220,222.0","225,826.0","230,253.0","235,221.0","241,505.0","248,360.0","255,429.0","262,795.0","267,722.0","272,279.0","279,328.0","285,688.0","293,764.0","299,690.0","305,713.0","312,037.0","316,383.0","322,620.0","326,817.0","331,503.0","333,784.0","336,214.0","339,773.0","344,493.0","348,776.0","351,035.0","354,159.0","357,472.0","362,199.0","363,352.0","369,955.0","374,185.0","384,872.0","389,389.0","394,089.0","400,003.0","404,665.0","412,971.0","417,360.0","422,246.0","425,631.0","431,399.0","436,052.0","442,141.0","449,889.0","454,619.0","463,257.0","470,749.0","477,820.0","487,742.0","496,141.0","506,686.0","516,664.0","529,717.0","541,563.0","550,948.0","556,490.0","563,939.0","569,853.0","577,639.0","587,243.0","598,255.0","611,378.0","626,105.0","637,082.0","653,228.0","659,116.0","666,062.0","671,957.0","684,993.0","692,768.0","695,315.0","707,648.0","726,866.0","736,100.0","734,822.0","744,013.0","754,724.0","759,525.0","764,863.0","768,609.0","780,881.0","794,379.0","803,896.0","812,455.0","812,996.0","831,503.0","846,076.0","864,004.0","864,046.0","873,227.0","870,987.0","884,339.0","890,182.0"
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
