"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"34","15","  Private","A024RC1","71,580.0","73,436.0","75,420.0","77,524.0","79,752.0","81,425.0","82,538.0","83,093.0","85,967.0","88,541.0","90,816.0","92,788.0","94,462.0","96,431.0","98,699.0","101,260.0","104,120.0","107,398.0","111,099.0","115,219.0","119,760.0","124,806.0","130,357.0","136,417.0","142,981.0","148,593.0","153,257.0","156,965.0","159,730.0","163,160.0","167,259.0","172,027.0","177,465.0","183,114.0","188,971.0","195,042.0","201,318.0","208,088.0","215,347.0","223,095.0","231,335.0","239,882.0","248,736.0","257,895.0","267,363.0","277,120.0","287,169.0","297,508.0","308,139.0","318,437.0","328,397.0","338,023.0","347,317.0","354,681.0","360,121.0","363,633.0","365,218.0","367,572.0","370,697.0","374,589.0","379,255.0","384,407.0","390,041.0","396,161.0","402,770.0","409,414.0","416,097.0","422,815.0","429,573.0","436,074.0","442,314.0","448,291.0","454,016.0","460,493.0","467,725.0","475,706.0","484,447.0","493,010.0","501,395.0","509,604.0","517,631.0","525,631.0","533,604.0","541,550.0","549,467.0","557,013.0","564,190.0","570,994.0","577,428.0","583,206.0","588,320.0","592,778.0","596,576.0","599,425.0","601,324.0","602,275.0","612,656.0","622,298.0","631,205.0","639,373.0","646,801.0","655,432.0","665,270.0","676,309.0","688,557.0","699,880.0","710,281.0","719,758.0","728,311.0","737,750.0","748,071.0","759,276.0","771,361.0","783,535.0","795,797.0","808,147.0","820,584.0","833,951.0","848,252.0","863,481.0","879,643.0","897,145.0","915,989.0","936,171.0","957,694.0","977,956.0","996,961.0","1,014,701.0","1,031,187.0","1,045,943.0","1,058,972.0","1,070,270.0","1,079,847.0","1,089,352.0","1,098,786.0","1,108,147.0","1,117,442.0","1,128,553.0","1,141,490.0","1,156,247.0","1,172,825.0","1,190,676.0","1,209,799.0","1,230,196.0","1,251,865.0","1,276,112.0","1,302,934.0","1,332,329.0","1,357,425.0","1,381,050.0","1,403,199.0","1,423,879.0","1,449,582.0","1,468,596.0","1,484,822.0","1,501,780.0","1,514,989.0","1,534,601.0","1,555,546.0","1,566,524.0","1,562,591.0","1,545,189.0","1,530,528.0","1,531,439.0","1,529,603.0","1,534,369.0","1,542,620.0","1,557,030.0","1,570,471.0","1,590,465.0","1,607,586.0","1,622,917.0","1,637,409.0"
"35","16","    Domestic business","W276RC1","59,493.0","61,032.0","62,708.0","64,515.0","66,456.0","67,914.0","68,883.0","69,367.0","71,711.0","73,805.0","75,649.0","77,239.0","78,580.0","80,151.0","81,954.0","83,987.0","86,251.0","88,899.0","91,936.0","95,358.0","99,164.0","103,459.0","108,243.0","113,518.0","119,282.0","124,174.0","128,197.0","131,347.0","133,632.0","136,473.0","139,875.0","143,836.0","148,358.0","153,006.0","157,778.0","162,678.0","167,698.0","173,195.0","179,164.0","185,607.0","192,521.0","199,684.0","207,092.0","214,747.0","222,648.0","230,905.0","239,519.0","248,488.0","257,817.0","266,899.0","275,731.0","284,317.0","292,656.0","299,200.0","303,951.0","306,909.0","308,071.0","309,864.0","312,291.0","315,346.0","319,037.0","323,280.0","328,072.0","333,415.0","339,314.0","345,138.0","350,891.0","356,569.0","362,177.0","367,504.0","372,548.0","377,307.0","381,790.0","387,003.0","392,945.0","399,614.0","407,018.0","414,216.0","421,208.0","427,998.0","434,577.0","441,137.0","447,676.0","454,194.0","460,690.0","466,939.0","472,942.0","478,697.0","484,206.0","488,966.0","492,972.0","496,228.0","498,734.0","500,613.0","501,867.0","502,494.0","510,398.0","517,865.0","524,900.0","531,497.0","537,658.0","544,826.0","553,005.0","562,191.0","572,387.0","581,891.0","590,707.0","598,831.0","606,266.0","614,397.0","623,224.0","632,745.0","642,961.0","653,251.0","663,615.0","674,053.0","684,565.0","695,775.0","707,689.0","720,299.0","733,611.0","748,228.0","764,150.0","781,375.0","799,906.0","817,080.0","832,902.0","847,364.0","860,475.0","872,145.0","882,377.0","891,167.0","898,522.0","905,458.0","911,974.0","918,070.0","923,750.0","930,693.0","938,907.0","948,386.0","959,135.0","971,266.0","984,779.0","999,676.0","1,015,955.0","1,034,376.0","1,054,936.0","1,077,633.0","1,096,721.0","1,114,982.0","1,132,414.0","1,149,018.0","1,169,327.0","1,184,894.0","1,197,477.0","1,211,176.0","1,223,239.0","1,240,075.0","1,259,386.0","1,270,479.0","1,267,152.0","1,253,131.0","1,240,617.0","1,238,804.0","1,235,603.0","1,241,185.0","1,247,206.0","1,258,678.0","1,270,069.0","1,287,781.0","1,303,172.0","1,316,748.0","1,330,581.0"
"36","17","    Households and institutions","W279RC1","12,087.0","12,404.0","12,712.0","13,009.0","13,296.0","13,511.0","13,655.0","13,726.0","14,256.0","14,736.0","15,167.0","15,549.0","15,882.0","16,280.0","16,745.0","17,273.0","17,869.0","18,499.0","19,163.0","19,861.0","20,596.0","21,347.0","22,114.0","22,899.0","23,699.0","24,419.0","25,060.0","25,618.0","26,098.0","26,687.0","27,384.0","28,191.0","29,107.0","30,108.0","31,193.0","32,364.0","33,620.0","34,893.0","36,183.0","37,488.0","38,814.0","40,198.0","41,644.0","43,148.0","44,715.0","46,215.0","47,650.0","49,020.0","50,322.0","51,538.0","52,666.0","53,706.0","54,661.0","55,481.0","56,170.0","56,724.0","57,147.0","57,708.0","58,406.0","59,243.0","60,218.0","61,127.0","61,969.0","62,746.0","63,456.0","64,276.0","65,206.0","66,246.0","67,396.0","68,570.0","69,766.0","70,984.0","72,226.0","73,490.0","74,780.0","76,092.0","77,429.0","78,794.0","80,187.0","81,606.0","83,054.0","84,494.0","85,928.0","87,356.0","88,777.0","90,074.0","91,248.0","92,297.0","93,222.0","94,240.0","95,348.0","96,550.0","97,842.0","98,812.0","99,457.0","99,781.0","102,258.0","104,433.0","106,305.0","107,876.0","109,143.0","110,606.0","112,265.0","114,118.0","116,170.0","117,989.0","119,574.0","120,927.0","122,045.0","123,353.0","124,847.0","126,531.0","128,400.0","130,284.0","132,182.0","134,094.0","136,019.0","138,176.0","140,563.0","143,182.0","146,032.0","148,917.0","151,839.0","154,796.0","157,788.0","160,876.0","164,059.0","167,337.0","170,712.0","173,798.0","176,595.0","179,103.0","181,325.0","183,894.0","186,812.0","190,077.0","193,692.0","197,860.0","202,583.0","207,861.0","213,690.0","219,410.0","225,020.0","230,520.0","235,910.0","241,736.0","247,998.0","254,696.0","260,704.0","266,068.0","270,785.0","274,859.0","280,257.0","283,703.0","287,345.0","290,603.0","291,749.0","294,525.0","296,161.0","296,045.0","295,438.0","292,058.0","289,912.0","292,636.0","294,000.0","293,184.0","295,414.0","298,351.0","300,402.0","302,684.0","304,413.0","306,168.0","306,828.0"
"37","18","  Government","A264RC1","24,058.0","24,548.0","24,860.0","25,341.0","25,831.0","26,362.0","26,862.0","27,391.0","27,865.0","28,180.0","28,384.0","28,550.0","29,001.0","29,159.0","29,546.0","30,048.0","30,467.0","31,033.0","31,591.0","32,199.0","33,316.0","34,928.0","36,872.0","38,287.0","39,070.0","39,543.0","40,167.0","40,936.0","41,700.0","42,332.0","42,910.0","43,564.0","44,591.0","45,288.0","45,825.0","46,807.0","47,857.0","48,955.0","50,072.0","50,924.0","51,965.0","53,549.0","55,299.0","56,947.0","58,603.0","60,815.0","62,771.0","64,990.0","67,201.0","69,213.0","71,090.0","72,872.0","74,749.0","76,602.0","78,073.0","78,991.0","79,927.0","80,839.0","82,300.0","83,280.0","84,772.0","86,201.0","87,495.0","89,057.0","90,512.0","91,671.0","93,396.0","95,097.0","96,323.0","98,469.0","100,431.0","102,425.0","104,375.0","105,710.0","107,421.0","108,925.0","111,013.0","112,909.0","114,770.0","116,907.0","118,782.0","120,739.0","122,855.0","125,016.0","127,353.0","129,542.0","131,959.0","134,294.0","136,384.0","138,111.0","139,945.0","141,272.0","142,134.0","143,769.0","145,013.0","146,889.0","149,305.0","150,964.0","152,407.0","153,848.0","155,426.0","157,300.0","158,988.0","161,143.0","162,815.0","164,239.0","165,385.0","166,926.0","167,890.0","168,538.0","169,629.0","170,603.0","172,179.0","173,583.0","174,474.0","176,146.0","176,718.0","177,990.0","179,676.0","181,533.0","183,513.0","186,030.0","188,175.0","190,891.0","193,903.0","196,457.0","198,884.0","200,740.0","202,268.0","204,008.0","205,423.0","206,811.0","208,439.0","210,099.0","211,718.0","213,527.0","215,710.0","217,307.0","218,924.0","220,535.0","223,845.0","228,860.0","234,607.0","240,251.0","243,806.0","248,059.0","253,096.0","257,299.0","260,569.0","267,128.0","272,022.0","277,439.0","284,348.0","289,049.0","293,385.0","298,482.0","302,448.0","308,133.0","314,075.0","319,992.0","322,593.0","323,161.0","323,571.0","325,615.0","328,999.0","332,499.0","335,533.0","339,106.0","343,813.0","349,420.0","355,247.0","360,486.0","365,927.0"
"38","19","    Federal","A918RC1","15,160.0","15,332.0","15,448.0","15,604.0","15,800.0","15,980.0","16,152.0","16,284.0","16,472.0","16,504.0","16,488.0","16,360.0","16,556.0","16,508.0","16,608.0","16,768.0","16,812.0","16,972.0","17,128.0","17,204.0","17,424.0","17,820.0","18,496.0","18,980.0","19,216.0","19,444.0","19,856.0","20,340.0","20,812.0","21,148.0","21,568.0","21,976.0","22,580.0","22,928.0","23,048.0","23,640.0","24,268.0","24,780.0","25,296.0","25,560.0","25,884.0","26,572.0","27,356.0","28,000.0","28,588.0","29,668.0","30,360.0","31,376.0","32,404.0","33,352.0","34,288.0","35,152.0","36,252.0","37,272.0","38,096.0","38,684.0","39,356.0","40,100.0","41,280.0","42,000.0","43,140.0","44,108.0","44,916.0","46,032.0","46,816.0","47,396.0","48,484.0","49,436.0","49,912.0","51,104.0","52,152.0","53,084.0","54,236.0","54,684.0","55,504.0","56,276.0","57,464.0","58,564.0","59,532.0","60,816.0","61,816.0","62,720.0","63,792.0","64,912.0","66,112.0","67,092.0","68,188.0","69,596.0","70,808.0","71,548.0","72,564.0","73,268.0","73,608.0","74,292.0","74,768.0","75,712.0","76,956.0","77,536.0","78,192.0","78,656.0","79,016.0","79,860.0","80,244.0","81,228.0","81,468.0","81,644.0","81,672.0","82,024.0","81,980.0","81,876.0","81,932.0","81,948.0","82,428.0","82,544.0","82,468.0","82,672.0","82,348.0","82,712.0","82,920.0","83,328.0","83,964.0","84,724.0","85,372.0","86,116.0","87,192.0","87,488.0","88,096.0","88,316.0","88,260.0","88,652.0","88,776.0","88,696.0","88,800.0","88,880.0","89,144.0","89,784.0","90,168.0","90,660.0","91,088.0","91,440.0","92,592.0","94,136.0","95,480.0","97,064.0","98,764.0","99,724.0","100,884.0","102,372.0","103,768.0","105,964.0","107,780.0","108,732.0","110,500.0","112,000.0","113,196.0","114,896.0","116,668.0","119,152.0","121,268.0","122,724.0","123,208.0","124,080.0","125,072.0","126,412.0","127,940.0","129,376.0","130,516.0","132,328.0","134,600.0","136,836.0","139,192.0","141,024.0","143,404.0"
"39","20","    State and local","A919RC1","8,898.0","9,216.0","9,412.0","9,737.0","10,031.0","10,382.0","10,710.0","11,107.0","11,393.0","11,676.0","11,896.0","12,190.0","12,445.0","12,651.0","12,938.0","13,280.0","13,655.0","14,061.0","14,463.0","14,995.0","15,892.0","17,108.0","18,376.0","19,307.0","19,854.0","20,099.0","20,311.0","20,596.0","20,888.0","21,184.0","21,342.0","21,588.0","22,011.0","22,360.0","22,777.0","23,167.0","23,589.0","24,175.0","24,776.0","25,364.0","26,081.0","26,977.0","27,943.0","28,947.0","30,015.0","31,147.0","32,411.0","33,614.0","34,797.0","35,861.0","36,802.0","37,720.0","38,497.0","39,330.0","39,977.0","40,307.0","40,571.0","40,739.0","41,020.0","41,280.0","41,632.0","42,093.0","42,579.0","43,025.0","43,696.0","44,275.0","44,912.0","45,661.0","46,411.0","47,365.0","48,279.0","49,341.0","50,139.0","51,026.0","51,917.0","52,649.0","53,549.0","54,345.0","55,238.0","56,091.0","56,966.0","58,019.0","59,063.0","60,104.0","61,241.0","62,450.0","63,771.0","64,698.0","65,576.0","66,563.0","67,381.0","68,004.0","68,526.0","69,477.0","70,245.0","71,177.0","72,349.0","73,428.0","74,215.0","75,192.0","76,410.0","77,440.0","78,744.0","79,915.0","81,347.0","82,595.0","83,713.0","84,902.0","85,910.0","86,662.0","87,697.0","88,655.0","89,751.0","91,039.0","92,006.0","93,474.0","94,370.0","95,278.0","96,756.0","98,205.0","99,549.0","101,306.0","102,803.0","104,775.0","106,711.0","108,969.0","110,788.0","112,424.0","114,008.0","115,356.0","116,647.0","118,115.0","119,639.0","121,219.0","122,574.0","123,743.0","125,542.0","126,647.0","127,836.0","129,095.0","131,253.0","134,724.0","139,127.0","143,187.0","145,042.0","148,335.0","152,212.0","154,927.0","156,801.0","161,164.0","164,242.0","168,707.0","173,848.0","177,049.0","180,189.0","183,586.0","185,780.0","188,981.0","192,807.0","197,268.0","199,385.0","199,081.0","198,499.0","199,203.0","201,059.0","203,123.0","205,017.0","206,778.0","209,213.0","212,584.0","216,055.0","219,462.0","222,523.0"
"40","21","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1","202,679.0","199,695.0","205,391.0","197,500.0","197,259.0","201,754.0","203,636.0","196,091.0","217,260.0","220,666.0","225,337.0","217,684.0","230,422.0","244,679.0","249,855.0","259,880.0","282,230.0","298,165.0","299,882.0","320,506.0","312,068.0","311,499.0","303,725.0","319,284.0","299,187.0","296,280.0","320,088.0","337,079.0","358,392.0","366,405.0","364,249.0","372,751.0","385,436.0","415,131.0","438,116.0","433,032.0","438,181.0","495,037.0","520,653.0","555,691.0","558,413.0","575,683.0","593,994.0","592,627.0","596,257.0","580,191.0","569,506.0","606,113.0","672,387.0","657,022.0","705,044.0","696,087.0","633,902.0","661,056.0","626,902.0","583,100.0","606,570.0","634,321.0","655,576.0","711,896.0","764,098.0","784,228.0","802,137.0","789,094.0","779,743.0","781,888.0","770,947.0","790,113.0","800,547.0","781,624.0","763,399.0","762,672.0","792,888.0","796,867.0","803,333.0","867,418.0","852,207.0","896,762.0","905,545.0","913,425.0","968,469.0","979,658.0","990,823.0","982,061.0","1,002,368.0","1,023,335.0","1,000,229.0","981,266.0","1,050,915.0","1,020,079.0","1,014,182.0","1,039,028.0","1,015,522.0","1,050,601.0","1,045,419.0","1,057,610.0","1,090,684.0","1,089,525.0","1,085,808.0","1,110,829.0","1,162,115.0","1,215,966.0","1,200,991.0","1,234,831.0","1,273,160.0","1,249,107.0","1,258,592.0","1,305,372.0","1,307,266.0","1,361,755.0","1,393,071.0","1,419,004.0","1,443,241.0","1,536,923.0","1,546,729.0","1,519,879.0","1,577,483.0","1,534,834.0","1,561,959.0","1,602,092.0","1,650,155.0","1,609,418.0","1,620,511.0","1,667,768.0","1,606,613.0","1,720,835.0","1,667,375.0","1,669,841.0","1,590,827.0","1,644,852.0","1,571,943.0","1,561,641.0","1,559,344.0","1,534,952.0","1,539,989.0","1,521,115.0","1,487,145.0","1,511,808.0","1,593,206.0","1,685,136.0","1,678,609.0","1,713,757.0","1,746,816.0","1,726,156.0","1,813,875.0","1,798,792.0","1,828,651.0","1,853,714.0","1,956,682.0","1,968,454.0","1,907,678.0","1,982,347.0","1,927,196.0","2,017,836.0","2,091,654.0","2,106,032.0","1,951,378.0","1,954,614.0","1,898,432.0","1,818,635.0","1,740,835.0","1,667,312.0","1,600,137.0","1,690,764.0","1,711,239.0","1,834,336.0","1,875,741.0","1,863,781.0","1,843,204.0","1,880,515.0","1,950,668.0","1,991,231.0","....."
"41","22","Gross domestic investment","W170RC1","201,074.0","199,050.0","203,939.0","194,786.0","193,468.0","196,528.0","200,145.0","193,706.0","212,920.0","220,595.0","225,682.0","220,505.0","235,453.0","249,432.0","253,454.0","262,662.0","280,025.0","292,757.0","287,407.0","305,149.0","295,550.0","308,836.0","303,416.0","314,892.0","281,298.0","274,826.0","301,699.0","315,456.0","345,240.0","357,411.0","361,843.0","368,925.0","393,458.0","423,973.0","445,973.0","451,967.0","463,191.0","507,892.0","532,039.0","556,953.0","560,222.0","578,382.0","591,560.0","595,213.0","606,924.0","570,345.0","541,349.0","599,406.0","670,724.0","656,857.0","697,977.0","691,503.0","633,257.0","643,624.0","640,945.0","600,358.0","614,472.0","661,964.0","703,492.0","768,669.0","842,643.0","872,160.0","892,582.0","892,521.0","869,167.0","893,260.0","892,229.0","925,286.0","928,874.0","923,496.0","913,632.0","912,982.0","943,839.0","951,258.0","957,391.0","1,024,441.0","979,085.0","1,006,732.0","1,012,012.0","1,033,057.0","1,075,174.0","1,073,246.0","1,072,497.0","1,069,556.0","1,092,428.0","1,096,220.0","1,082,619.0","1,035,599.0","1,004,354.0","1,005,333.0","1,027,236.0","1,055,844.0","1,037,339.0","1,090,018.0","1,098,148.0","1,126,058.0","1,147,236.0","1,163,221.0","1,162,385.0","1,218,250.0","1,254,210.0","1,324,265.0","1,321,832.0","1,372,511.0","1,391,582.0","1,367,726.0","1,357,628.0","1,389,638.0","1,409,332.0","1,470,210.0","1,525,696.0","1,532,431.0","1,574,407.0","1,638,041.0","1,668,773.0","1,682,868.0","1,741,560.0","1,730,108.0","1,785,774.0","1,837,105.0","1,893,848.0","1,888,417.0","1,933,571.0","1,999,634.0","1,992,240.0","2,111,786.0","2,096,991.0","2,105,120.0","2,013,720.0","2,030,282.0","1,984,656.0","1,907,189.0","1,965,840.0","1,988,851.0","1,997,168.0","2,009,843.0","2,020,437.0","2,030,127.0","2,106,833.0","2,184,373.0","2,214,947.0","2,328,247.0","2,379,235.0","2,441,284.0","2,508,456.0","2,502,679.0","2,563,330.0","2,682,723.0","2,746,245.0","2,779,483.0","2,761,003.0","2,722,032.0","2,721,172.0","2,784,675.0","2,773,640.0","2,727,285.0","2,660,648.0","2,661,261.0","2,594,338.0","2,422,780.0","2,123,203.0","2,004,978.0","1,990,722.0","2,089,877.0","2,193,112.0","2,316,524.0","2,363,641.0","2,328,515.0","2,336,700.0","2,373,487.0","2,392,906.0","2,494,985.0","2,522,879.0"
"42","23","  Gross private domestic investment","A006RC1","155,715.0","155,659.0","160,338.0","154,066.0","150,671.0","153,909.0","156,067.0","148,892.0","171,256.0","178,824.0","183,352.0","179,234.0","193,163.0","206,537.0","212,361.0","218,378.0","232,515.0","246,045.0","241,777.0","257,617.0","244,068.0","252,314.0","245,438.0","255,847.0","218,656.0","216,771.0","237,811.0","247,639.0","274,792.0","291,562.0","296,536.0","304,949.0","326,579.0","354,908.0","378,375.0","385,496.0","396,771.0","430,884.0","451,368.0","472,785.0","481,115.0","492,969.0","497,868.0","499,527.0","505,180.0","470,440.0","443,478.0","497,914.0","563,127.0","551,394.0","592,769.0","582,233.0","526,511.0","530,800.0","528,670.0","482,946.0","496,593.0","542,230.0","577,689.0","640,682.0","709,680.0","735,110.0","753,453.0","744,254.0","720,018.0","735,315.0","727,219.0","762,181.0","763,820.0","752,989.0","732,523.0","736,748.0","764,951.0","767,598.0","769,481.0","837,778.0","797,578.0","820,403.0","825,695.0","842,615.0","884,057.0","878,170.0","870,316.0","867,253.0","879,985.0","882,491.0","866,798.0","814,595.0","787,910.0","784,062.0","805,258.0","834,339.0","810,243.0","865,402.0","876,838.0","906,660.0","931,293.0","942,320.0","943,352.0","996,408.0","1,043,643.0","1,106,920.0","1,092,877.0","1,145,715.0","1,160,622.0","1,132,668.0","1,126,240.0","1,156,651.0","1,170,036.0","1,227,838.0","1,279,781.0","1,283,110.0","1,320,633.0","1,385,032.0","1,414,876.0","1,434,098.0","1,494,945.0","1,471,509.0","1,512,730.0","1,563,952.0","1,617,322.0","1,604,729.0","1,644,498.0","1,699,482.0","1,688,823.0","1,810,936.0","1,791,713.0","1,797,363.0","1,701,288.0","1,699,427.0","1,670,419.0","1,576,574.0","1,627,985.0","1,648,117.0","1,650,381.0","1,661,334.0","1,671,460.0","1,678,522.0","1,745,056.0","1,823,585.0","1,853,606.0","1,956,044.0","2,001,297.0","2,063,284.0","2,130,817.0","2,115,300.0","2,166,689.0","2,276,322.0","2,336,568.0","2,352,092.0","2,333,430.0","2,286,452.0","2,277,350.0","2,329,638.0","2,313,421.0","2,260,524.0","2,185,672.0","2,165,381.0","2,086,320.0","1,912,970.0","1,620,100.0","1,493,767.0","1,481,171.0","1,592,218.0","1,702,343.0","1,809,665.0","1,850,530.0","1,817,970.0","1,853,071.0","1,895,256.0","1,906,565.0","2,010,052.0","2,044,868.0"
"43","24","    Domestic business","W987RC1","118,259.0","118,214.0","122,999.0","118,722.0","115,439.0","119,618.0","121,034.0","110,733.0","130,201.0","133,177.0","134,799.0","128,129.0","138,104.0","150,017.0","154,569.0","156,462.0","167,209.0","181,551.0","177,484.0","195,004.0","184,406.0","193,320.0","185,652.0","200,469.0","164,180.0","159,596.0","175,864.0","181,766.0","202,377.0","215,153.0","219,819.0","217,853.0","234,412.0","250,671.0","271,376.0","276,991.0","285,407.0","311,538.0","328,566.0","348,738.0","359,196.0","370,772.0","373,658.0","376,696.0","386,957.0","369,917.0","339,286.0","382,462.0","447,953.0","437,711.0","484,371.0","479,928.0","425,748.0","430,128.0","426,708.0","373,787.0","371,603.0","404,033.0","426,232.0","481,276.0","545,283.0","566,264.0","584,479.0","574,197.0","550,243.0","564,268.0","553,771.0","582,783.0","575,598.0","553,409.0","526,810.0","527,049.0","552,290.0","549,959.0","548,106.0","611,864.0","572,224.0","589,894.0","593,046.0","605,699.0","646,873.0","644,524.0","637,274.0","637,859.0","646,354.0","655,679.0","648,403.0","604,822.0","586,605.0","576,619.0","588,136.0","612,386.0","578,279.0","621,948.0","631,088.0","651,442.0","674,907.0","682,074.0","673,702.0","711,801.0","748,721.0","801,165.0","788,237.0","843,105.0","864,183.0","846,183.0","832,435.0","854,599.0","856,883.0","898,844.0","945,209.0","947,777.0","980,641.0","1,037,221.0","1,058,291.0","1,069,385.0","1,119,215.0","1,080,439.0","1,107,443.0","1,146,640.0","1,196,134.0","1,176,424.0","1,209,733.0","1,257,200.0","1,233,355.0","1,351,462.0","1,334,006.0","1,336,022.0","1,226,537.0","1,215,657.0","1,178,171.0","1,084,611.0","1,122,537.0","1,128,052.0","1,126,474.0","1,122,856.0","1,116,037.0","1,110,570.0","1,146,505.0","1,198,665.0","1,204,893.0","1,270,458.0","1,295,421.0","1,342,031.0","1,387,731.0","1,344,536.0","1,368,240.0","1,464,656.0","1,516,845.0","1,555,624.0","1,573,101.0","1,552,315.0","1,574,645.0","1,645,937.0","1,660,885.0","1,651,751.0","1,618,565.0","1,615,656.0","1,563,076.0","1,436,238.0","1,183,128.0","1,083,151.0","1,063,642.0","1,178,847.0","1,295,352.0","1,389,303.0","1,452,788.0","1,417,107.0","1,454,696.0","1,489,957.0","1,498,395.0","1,593,817.0","1,615,798.0"
"44","25","    Households and institutions","W988RC1","37,456.0","37,445.0","37,339.0","35,344.0","35,232.0","34,291.0","35,033.0","38,159.0","41,055.0","45,647.0","48,553.0","51,105.0","55,059.0","56,520.0","57,792.0","61,916.0","65,306.0","64,494.0","64,293.0","62,613.0","59,662.0","58,994.0","59,786.0","55,378.0","54,476.0","57,175.0","61,947.0","65,873.0","72,415.0","76,409.0","76,717.0","87,096.0","92,167.0","104,237.0","106,999.0","108,505.0","111,364.0","119,346.0","122,802.0","124,047.0","121,919.0","122,197.0","124,210.0","122,831.0","118,223.0","100,523.0","104,192.0","115,452.0","115,174.0","113,683.0","108,398.0","102,305.0","100,763.0","100,672.0","101,962.0","109,159.0","124,990.0","138,197.0","151,457.0","159,406.0","164,397.0","168,846.0","168,974.0","170,057.0","169,775.0","171,047.0","173,448.0","179,398.0","188,222.0","199,580.0","205,713.0","209,699.0","212,661.0","217,639.0","221,375.0","225,914.0","225,354.0","230,509.0","232,649.0","236,916.0","237,184.0","233,646.0","233,042.0","229,394.0","233,631.0","226,812.0","218,395.0","209,773.0","201,305.0","207,443.0","217,122.0","221,953.0","231,964.0","243,454.0","245,750.0","255,218.0","256,386.0","260,246.0","269,650.0","284,607.0","294,922.0","305,755.0","304,640.0","302,610.0","296,439.0","286,485.0","293,805.0","302,052.0","313,153.0","328,994.0","334,572.0","335,333.0","339,992.0","347,811.0","356,585.0","364,713.0","375,730.0","391,070.0","405,287.0","417,312.0","421,188.0","428,305.0","434,765.0","442,282.0","455,468.0","459,474.0","457,707.0","461,341.0","474,751.0","483,770.0","492,248.0","491,963.0","505,448.0","520,065.0","523,907.0","538,478.0","555,423.0","567,952.0","598,551.0","624,920.0","648,713.0","685,586.0","705,876.0","721,253.0","743,086.0","770,764.0","798,449.0","811,666.0","819,723.0","796,468.0","760,329.0","734,137.0","702,705.0","683,701.0","652,536.0","608,773.0","567,107.0","549,725.0","523,244.0","476,732.0","436,972.0","410,616.0","417,529.0","413,371.0","406,991.0","420,362.0","397,742.0","400,863.0","398,375.0","405,299.0","408,170.0","416,235.0","429,070.0"
