"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"44","25","      Personal current transfer receipts","A577RC1","60,444.0","61,536.0","62,896.0","64,340.0","66,104.0","76,080.0","76,348.0","80,120.0","82,024.0","89,584.0","89,568.0","91,256.0","94,348.0","94,896.0","96,040.0","106,396.0","109,056.0","111,452.0","113,296.0","116,468.0","121,876.0","129,888.0","137,120.0","144,292.0","155,904.0","171,544.0","174,824.0","177,640.0","181,404.0","179,668.0","186,368.0","188,456.0","190,604.0","191,060.0","196,204.0","198,980.0","203,092.0","204,876.0","213,640.0","216,944.0","222,476.0","227,140.0","242,744.0","248,888.0","258,748.0","263,896.0","295,908.0","299,332.0","305,860.0","309,320.0","327,856.0","330,440.0","335,664.0","344,896.0","361,512.0","377,256.0","380,180.0","386,356.0","381,936.0","386,492.0","393,388.0","397,760.0","400,496.0","408,884.0","419,568.0","422,148.0","427,464.0","430,412.0","442,648.0","448,485.0","455,488.0","457,244.0","462,606.0","467,564.0","468,649.0","471,628.0","488,928.0","492,526.0","498,610.0","505,771.0","529,807.0","537,163.0","546,237.0","557,200.0","577,532.0","588,503.0","598,044.0","615,549.0","639,362.0","659,124.0","668,502.0","696,478.0","724,729.0","743,320.0","755,327.0","759,688.0","779,400.0","783,821.0","797,727.0","802,120.0","815,576.0","820,288.0","824,309.0","845,405.0","869,445.0","878,953.0","885,880.0","881,509.0","910,910.0","931,258.0","926,658.0","927,479.0","944,560.0","944,327.0","950,505.0","957,393.0","968,692.0","975,075.0","978,514.0","989,387.0","1,009,962.0","1,013,246.0","1,026,335.0","1,036,795.0","1,052,429.0","1,079,426.0","1,093,717.0","1,106,478.0","1,149,972.0","1,182,604.0","1,188,161.0","1,231,687.0","1,257,681.0","1,280,383.0","1,288,632.0","1,301,876.0","1,318,124.0","1,333,694.0","1,355,593.0","1,359,585.0","1,392,457.0","1,411,031.0","1,418,500.0","1,440,080.0","1,481,323.0","1,506,419.0","1,516,743.0","1,529,829.0","1,569,014.0","1,597,879.0","1,620,716.0","1,632,402.0","1,701,627.0","1,698,577.0","1,719,784.0","1,753,846.0","1,798,920.0","1,936,087.0","1,872,190.0","1,909,742.0","2,029,755.0","2,167,672.0","2,170,067.0","2,184,915.0","2,242,143.0","2,252,097.0","2,289,369.0","2,341,150.0","2,328,065.0","2,347,260.0","2,336,607.0","2,333,058.0","2,343,600.0"
"45","26","Equals: Personal income","A065RC1","751,049.0","769,051.0","789,360.0","803,854.0","814,418.0","835,794.0","848,012.0","856,099.0","875,154.0","898,155.0","911,140.0","927,928.0","956,144.0","972,485.0","998,403.0","1,043,503.0","1,064,410.0","1,094,794.0","1,122,258.0","1,160,714.0","1,177,807.0","1,204,090.0","1,241,944.0","1,267,140.0","1,283,895.0","1,314,024.0","1,351,666.0","1,389,859.0","1,425,400.0","1,453,363.0","1,491,446.0","1,528,415.0","1,559,887.0","1,606,133.0","1,651,769.0","1,712,225.0","1,750,300.0","1,811,071.0","1,865,393.0","1,920,142.0","1,976,678.0","2,019,681.0","2,086,372.0","2,155,376.0","2,215,952.0","2,242,877.0","2,319,031.0","2,428,204.0","2,487,641.0","2,535,677.0","2,635,340.0","2,670,446.0","2,702,330.0","2,748,548.0","2,787,140.0","2,829,248.0","2,864,608.0","2,914,930.0","2,973,399.0","3,055,749.0","3,150,185.0","3,235,081.0","3,316,012.0","3,374,195.0","3,434,946.0","3,473,634.0","3,507,036.0","3,571,020.0","3,628,642.0","3,670,203.0","3,721,280.0","3,763,932.0","3,823,176.0","3,876,999.0","3,949,921.0","4,047,376.0","4,117,113.0","4,186,763.0","4,269,945.0","4,351,142.0","4,476,526.0","4,525,868.0","4,578,213.0","4,649,277.0","4,744,544.0","4,829,309.0","4,892,624.0","4,920,414.0","4,940,971.0","5,005,802.0","5,053,105.0","5,126,120.0","5,220,675.0","5,306,796.0","5,370,658.0","5,490,914.0","5,420,484.0","5,549,724.0","5,593,146.0","5,709,238.0","5,706,721.0","5,844,104.0","5,921,817.0","6,026,613.0","6,107,206.0","6,161,334.0","6,230,379.0","6,304,705.0","6,427,311.0","6,562,704.0","6,642,010.0","6,734,279.0","6,855,557.0","6,930,432.0","7,041,525.0","7,175,450.0","7,347,693.0","7,479,781.0","7,590,432.0","7,683,596.0","7,760,886.0","7,831,620.0","7,936,182.0","8,114,652.0","8,379,611.0","8,506,573.0","8,644,209.0","8,707,348.0","8,859,008.0","8,881,247.0","8,880,636.0","8,912,282.0","8,978,259.0","9,060,740.0","9,074,586.0","9,126,829.0","9,194,457.0","9,321,052.0","9,418,714.0","9,578,304.0","9,679,787.0","9,847,086.0","9,999,061.0","10,223,052.0","10,238,553.0","10,386,728.0","10,577,480.0","10,740,818.0","11,026,667.0","11,204,025.0","11,336,868.0","11,504,755.0","11,714,256.0","11,838,953.0","11,954,395.0","12,141,416.0","12,415,593.0","12,571,736.0","12,513,270.0","12,340,025.0","11,964,373.0","11,944,081.0","11,874,139.0","11,938,176.0","12,137,724.0","12,325,615.0","12,453,221.0","12,577,595.0","12,846,858.0","12,955,347.0","13,056,785.0","13,162,101.0","13,281,677.0"
"46",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","27","  Gross domestic income","A261RC1","954,238.0","972,817.0","993,941.0","1,005,249.0","1,012,020.0","1,025,597.0","1,042,640.0","1,045,543.0","1,083,023.0","1,105,155.0","1,125,855.0","1,149,166.0","1,183,137.0","1,206,037.0","1,238,145.0","1,288,412.0","1,327,545.0","1,355,387.0","1,385,325.0","1,428,737.0","1,443,642.0","1,472,049.0","1,509,158.0","1,533,705.0","1,550,361.0","1,587,667.0","1,650,736.0","1,696,806.0","1,750,477.0","1,780,262.0","1,817,284.0","1,856,430.0","1,905,725.0","1,981,856.0","2,045,289.0","2,102,792.0","2,144,460.0","2,250,897.0","2,303,485.0","2,371,984.0","2,435,057.0","2,480,766.0","2,538,030.0","2,607,169.0","2,662,054.0","2,669,776.0","2,745,711.0","2,893,861.0","2,992,965.0","3,048,394.0","3,150,985.0","3,168,682.0","3,187,937.0","3,241,573.0","3,272,291.0","3,291,971.0","3,357,717.0","3,438,136.0","3,522,020.0","3,621,782.0","3,766,149.0","3,869,942.0","3,945,702.0","4,015,636.0","4,093,209.0","4,141,589.0","4,206,352.0","4,259,413.0","4,326,350.0","4,359,914.0","4,410,987.0","4,471,993.0","4,551,390.0","4,648,368.0","4,754,887.0","4,859,285.0","4,955,574.0","5,059,101.0","5,157,805.0","5,267,328.0","5,356,275.0","5,395,219.0","5,454,533.0","5,498,137.0","5,611,079.0","5,715,095.0","5,761,269.0","5,777,867.0","5,827,520.0","5,884,437.0","5,941,625.0","5,995,839.0","6,119,337.0","6,204,905.0","6,252,874.0","6,352,135.0","6,391,526.0","6,498,164.0","6,546,504.0","6,690,021.0","6,802,061.0","6,917,603.0","7,032,531.0","7,153,204.0","7,231,382.0","7,298,253.0","7,417,789.0","7,501,090.0","7,614,857.0","7,763,251.0","7,863,550.0","8,008,480.0","8,146,184.0","8,259,673.0","8,423,669.0","8,555,817.0","8,661,422.0","8,804,610.0","8,967,347.0","9,081,880.0","9,244,531.0","9,339,242.0","9,458,901.0","9,655,542.0","9,930,398.0","10,036,056.0","10,171,025.0","10,204,402.0","10,376,695.0","10,410,273.0","10,394,764.0","10,376,354.0","10,541,941.0","10,647,192.0","10,681,093.0","10,787,352.0","10,895,521.0","11,037,638.0","11,194,224.0","11,374,762.0","11,567,278.0","11,778,405.0","11,989,257.0","12,167,496.0","12,408,431.0","12,584,495.0","12,809,131.0","13,070,157.0","13,375,659.0","13,538,514.0","13,706,294.0","13,857,500.0","13,925,110.0","14,039,063.0","14,040,553.0","14,157,921.0","14,332,676.0","14,386,338.0","14,403,702.0","14,053,190.0","13,851,653.0","13,763,730.0","13,816,488.0","14,014,189.0","14,285,064.0","14,474,425.0","14,612,878.0","14,730,536.0","14,919,801.0","15,022,749.0","15,214,804.0","15,410,263.0","....."
"48","28","  Gross national income","A023RC1","960,572.0","978,978.0","999,889.0","1,011,266.0","1,018,307.0","1,032,234.0","1,049,224.0","1,051,607.0","1,090,437.0","1,113,130.0","1,133,115.0","1,156,894.0","1,191,312.0","1,214,153.0","1,247,064.0","1,297,435.0","1,338,215.0","1,367,013.0","1,399,202.0","1,443,039.0","1,460,709.0","1,488,446.0","1,524,435.0","1,547,044.0","1,561,757.0","1,599,323.0","1,663,734.0","1,712,772.0","1,766,223.0","1,796,907.0","1,834,403.0","1,874,307.0","1,926,490.0","2,002,605.0","2,066,174.0","2,121,561.0","2,166,553.0","2,269,646.0","2,324,375.0","2,396,575.0","2,460,737.0","2,510,217.0","2,574,124.0","2,643,667.0","2,700,043.0","2,705,587.0","2,780,125.0","2,922,387.0","3,024,368.0","3,078,407.0","3,183,679.0","3,206,311.0","3,223,929.0","3,282,501.0","3,307,318.0","3,326,064.0","3,391,768.0","3,474,877.0","3,559,887.0","3,661,462.0","3,803,189.0","3,907,481.0","3,983,058.0","4,048,860.0","4,119,492.0","4,170,246.0","4,230,551.0","4,286,459.0","4,349,932.0","4,376,319.0","4,429,470.0","4,483,971.0","4,565,527.0","4,666,864.0","4,772,918.0","4,879,237.0","4,980,934.0","5,082,438.0","5,178,879.0","5,291,005.0","5,379,847.0","5,418,250.0","5,480,002.0","5,529,761.0","5,641,204.0","5,746,227.0","5,787,832.0","5,827,739.0","5,865,419.0","5,911,358.0","5,965,141.0","6,027,145.0","6,150,007.0","6,235,199.0","6,280,021.0","6,380,585.0","6,428,123.0","6,528,430.0","6,583,003.0","6,711,386.0","6,830,358.0","6,942,052.0","7,054,500.0","7,174,793.0","7,262,879.0","7,332,758.0","7,438,324.0","7,533,176.0","7,653,302.0","7,793,197.0","7,890,127.0","8,040,192.0","8,169,336.0","8,290,558.0","8,446,877.0","8,572,371.0","8,686,830.0","8,827,360.0","8,976,967.0","9,093,370.0","9,267,347.0","9,367,223.0","9,483,867.0","9,690,987.0","9,961,374.0","10,070,450.0","10,201,568.0","10,259,469.0","10,417,831.0","10,459,873.0","10,421,739.0","10,466,279.0","10,592,959.0","10,679,971.0","10,728,496.0","10,852,590.0","10,947,343.0","11,103,190.0","11,259,797.0","11,466,578.0","11,677,875.0","11,864,223.0","12,086,053.0","12,239,122.0","12,515,255.0","12,680,722.0","12,916,244.0","13,148,586.0","13,456,168.0","13,614,031.0","13,768,224.0","13,929,205.0","13,995,376.0","14,118,534.0","14,185,305.0","14,356,517.0","14,511,301.0","14,567,637.0","14,602,673.0","14,170,951.0","13,984,335.0","13,904,075.0","13,980,161.0","14,186,539.0","14,454,525.0","14,670,606.0","14,820,250.0","14,914,946.0","15,146,916.0","15,283,982.0","15,482,114.0","15,636,527.0","....."
"49","29","  Gross national factor income \2\","X023RC1","878,533.0","894,623.0","913,321.0","923,096.0","929,306.0","942,205.0","957,135.0","958,236.0","993,810.0","1,014,707.0","1,031,887.0","1,053,564.0","1,088,191.0","1,108,362.0","1,139,820.0","1,186,796.0","1,223,682.0","1,250,710.0","1,280,107.0","1,322,599.0","1,337,545.0","1,360,546.0","1,394,295.0","1,417,052.0","1,431,233.0","1,464,151.0","1,524,005.0","1,570,339.0","1,621,398.0","1,648,903.0","1,684,142.0","1,721,474.0","1,771,200.0","1,844,696.0","1,905,637.0","1,961,929.0","2,001,504.0","2,096,967.0","2,153,386.0","2,222,989.0","2,281,978.0","2,329,818.0","2,390,990.0","2,457,895.0","2,509,930.0","2,508,786.0","2,576,934.0","2,711,817.0","2,793,388.0","2,841,098.0","2,945,728.0","2,966,523.0","2,984,660.0","3,041,508.0","3,062,985.0","3,082,468.0","3,143,487.0","3,216,649.0","3,295,316.0","3,386,951.0","3,517,151.0","3,612,876.0","3,682,524.0","3,741,689.0","3,806,809.0","3,845,333.0","3,905,088.0","3,959,354.0","4,011,483.0","4,044,579.0","4,093,899.0","4,144,902.0","4,222,507.0","4,317,628.0","4,418,689.0","4,519,800.0","4,614,928.0","4,703,844.0","4,792,885.0","4,896,978.0","4,974,022.0","5,004,659.0","5,058,086.0","5,108,902.0","5,205,769.0","5,312,304.0","5,346,957.0","5,379,271.0","5,404,149.0","5,441,288.0","5,485,767.0","5,537,015.0","5,655,110.0","5,735,831.0","5,775,770.0","5,870,330.0","5,924,990.0","6,018,319.0","6,067,045.0","6,178,119.0","6,280,435.0","6,379,544.0","6,484,282.0","6,600,440.0","6,684,118.0","6,754,995.0","6,854,430.0","6,945,360.0","7,056,018.0","7,187,706.0","7,279,188.0","7,399,372.0","7,545,761.0","7,650,688.0","7,795,242.0","7,914,671.0","8,018,295.0","8,151,948.0","8,293,215.0","8,394,678.0","8,570,936.0","8,663,297.0","8,767,952.0","8,961,540.0","9,214,541.0","9,312,948.0","9,439,517.0","9,490,563.0","9,644,731.0","9,692,014.0","9,657,030.0","9,674,849.0","9,795,849.0","9,874,313.0","9,909,292.0","10,034,116.0","10,117,714.0","10,277,088.0","10,411,645.0","10,607,023.0","10,797,751.0","10,970,190.0","11,183,804.0","11,315,754.0","11,571,785.0","11,720,134.0","11,948,049.0","12,174,248.0","12,459,750.0","12,606,613.0","12,747,443.0","12,897,019.0","12,935,174.0","13,060,881.0","13,117,085.0","13,285,945.0","13,422,606.0","13,470,722.0","13,508,473.0","13,079,866.0","12,912,487.0","12,822,894.0","12,919,983.0","13,098,403.0","13,350,129.0","13,556,528.0","13,693,281.0","13,789,391.0","14,000,446.0","14,126,242.0","14,327,042.0","14,480,167.0","....."
"50","30","  Net domestic product","A362RC1","865,240.0","878,115.0","896,023.0","901,593.0","911,528.0","925,275.0","941,085.0","942,199.0","984,225.0","1,002,040.0","1,019,854.0","1,030,053.0","1,066,672.0","1,099,961.0","1,121,025.0","1,155,286.0","1,200,512.0","1,233,026.0","1,248,014.0","1,284,381.0","1,293,434.0","1,325,109.0","1,346,428.0","1,378,066.0","1,387,382.0","1,416,851.0","1,469,023.0","1,516,021.0","1,570,479.0","1,598,744.0","1,627,526.0","1,668,903.0","1,716,441.0","1,776,823.0","1,831,171.0","1,868,976.0","1,899,885.0","2,017,668.0","2,069,808.0","2,142,022.0","2,180,012.0","2,233,011.0","2,295,703.0","2,344,558.0","2,398,108.0","2,390,081.0","2,435,245.0","2,552,803.0","2,676,024.0","2,696,615.0","2,777,539.0","2,783,771.0","2,762,853.0","2,809,663.0","2,836,181.0","2,869,901.0","2,935,820.0","3,033,825.0","3,134,100.0","3,230,263.0","3,343,355.0","3,435,681.0","3,498,422.0","3,548,734.0","3,623,910.0","3,674,584.0","3,748,841.0","3,800,801.0","3,856,528.0","3,888,706.0","3,948,564.0","3,992,562.0","4,052,692.0","4,120,520.0","4,189,361.0","4,298,477.0","4,353,160.0","4,453,340.0","4,526,650.0","4,624,498.0","4,723,918.0","4,807,219.0","4,876,477.0","4,915,176.0","5,031,318.0","5,110,810.0","5,154,478.0","5,140,675.0","5,166,376.0","5,240,704.0","5,305,407.0","5,358,465.0","5,452,027.0","5,551,990.0","5,643,357.0","5,744,439.0","5,782,519.0","5,849,477.0","5,904,711.0","6,020,607.0","6,114,103.0","6,231,538.0","6,307,561.0","6,410,772.0","6,456,323.0","6,491,723.0","6,576,865.0","6,655,860.0","6,741,970.0","6,893,670.0","6,975,009.0","7,093,103.0","7,193,446.0","7,319,693.0","7,439,649.0","7,521,443.0","7,603,284.0","7,686,703.0","7,819,276.0","7,982,515.0","8,085,419.0","8,169,378.0","8,300,932.0","8,480,666.0","8,557,942.0","8,774,707.0","8,821,608.0","8,914,364.0","8,931,621.0","9,051,309.0","9,040,805.0","9,096,051.0","9,210,427.0","9,302,443.0","9,391,199.0","9,445,263.0","9,554,203.0","9,665,722.0","9,894,666.0","10,038,026.0","10,193,235.0","10,343,400.0","10,491,913.0","10,653,422.0","10,866,171.0","10,975,827.0","11,172,572.0","11,311,764.0","11,543,447.0","11,682,265.0","11,757,538.0","11,882,900.0","12,024,613.0","12,219,188.0","12,347,959.0","12,452,898.0","12,456,487.0","12,572,727.0","12,525,432.0","12,195,206.0","12,008,555.0","11,985,725.0","12,066,446.0","12,230,380.0","12,419,295.0","12,600,969.0","12,727,312.0","12,858,869.0","12,953,530.0","13,072,903.0","13,213,235.0","13,335,956.0","13,458,446.0"
"51","31","  Net domestic income","W256RC1","858,600.0","874,833.0","893,661.0","902,384.0","906,437.0","917,810.0","933,240.0","935,059.0","969,191.0","988,434.0","1,006,655.0","1,027,828.0","1,059,674.0","1,080,447.0","1,109,900.0","1,157,104.0","1,192,958.0","1,216,956.0","1,242,635.0","1,281,319.0","1,290,566.0","1,312,315.0","1,341,929.0","1,359,001.0","1,368,310.0","1,399,531.0","1,457,312.0","1,498,905.0","1,549,047.0","1,574,770.0","1,607,115.0","1,640,839.0","1,683,669.0","1,753,454.0","1,810,493.0","1,860,943.0","1,895,285.0","1,993,854.0","2,038,066.0","2,097,965.0","2,151,757.0","2,187,335.0","2,233,995.0","2,292,327.0","2,336,088.0","2,331,841.0","2,395,771.0","2,531,363.0","2,617,625.0","2,660,744.0","2,751,498.0","2,757,787.0","2,765,871.0","2,810,290.0","2,834,097.0","2,849,347.0","2,912,572.0","2,989,725.0","3,069,023.0","3,163,913.0","3,302,122.0","3,399,334.0","3,468,166.0","3,530,418.0","3,599,927.0","3,640,504.0","3,696,859.0","3,741,501.0","3,800,454.0","3,825,371.0","3,868,242.0","3,921,277.0","3,992,999.0","4,082,165.0","4,179,741.0","4,274,654.0","4,360,114.0","4,453,182.0","4,541,640.0","4,640,817.0","4,719,862.0","4,748,849.0","4,798,074.0","4,831,571.0","4,934,259.0","5,028,540.0","5,065,120.0","5,072,579.0","5,113,708.0","5,163,120.0","5,213,360.0","5,261,789.0","5,380,627.0","5,461,711.0","5,506,537.0","5,602,971.0","5,629,565.0","5,724,902.0","5,762,892.0","5,896,800.0","5,999,834.0","6,104,871.0","6,208,273.0","6,315,752.0","6,380,010.0","6,434,134.0","6,542,123.0","6,614,406.0","6,718,656.0","6,856,963.0","6,945,850.0","7,078,601.0","7,202,644.0","7,302,555.0","7,453,398.0","7,571,524.0","7,664,120.0","7,792,669.0","7,939,419.0","8,036,866.0","8,181,375.0","8,256,067.0","8,354,737.0","8,528,480.0","8,778,801.0","8,861,643.0","8,975,180.0","8,988,961.0","9,143,240.0","9,160,322.0","9,130,369.0","9,099,273.0","9,253,655.0","9,347,741.0","9,370,589.0","9,465,678.0","9,562,369.0","9,691,778.0","9,833,810.0","9,997,980.0","10,170,608.0","10,358,869.0","10,544,851.0","10,697,049.0","10,912,760.0","11,060,324.0","11,253,101.0","11,480,529.0","11,757,665.0","11,890,336.0","12,031,073.0","12,156,182.0","12,191,180.0","12,281,418.0","12,262,346.0","12,357,659.0","12,515,239.0","12,543,604.0","12,534,081.0","12,166,674.0","11,966,469.0","11,895,380.0","11,962,389.0","12,157,135.0","12,426,462.0","12,607,557.0","12,734,725.0","12,834,400.0","13,005,517.0","13,082,864.0","13,251,971.0","13,426,860.0","....."
"52","32","  Net national factor income \3\","X032RC1","782,895.0","796,639.0","813,041.0","820,231.0","823,723.0","834,418.0","847,735.0","847,752.0","879,978.0","897,986.0","912,687.0","932,226.0","964,728.0","982,772.0","1,011,575.0","1,055,488.0","1,089,095.0","1,112,279.0","1,137,417.0","1,175,181.0","1,184,469.0","1,200,812.0","1,227,066.0","1,242,348.0","1,249,182.0","1,276,015.0","1,330,581.0","1,372,438.0","1,419,968.0","1,443,411.0","1,473,973.0","1,505,883.0","1,549,144.0","1,616,294.0","1,670,841.0","1,720,080.0","1,752,329.0","1,839,924.0","1,887,967.0","1,948,970.0","1,998,678.0","2,036,387.0","2,086,955.0","2,143,053.0","2,183,964.0","2,170,851.0","2,226,994.0","2,349,319.0","2,418,048.0","2,453,448.0","2,546,241.0","2,555,628.0","2,562,594.0","2,610,225.0","2,624,791.0","2,639,844.0","2,698,342.0","2,768,238.0","2,842,319.0","2,929,082.0","3,053,124.0","3,142,268.0","3,204,988.0","3,256,471.0","3,313,527.0","3,344,248.0","3,395,595.0","3,441,442.0","3,485,587.0","3,510,036.0","3,551,154.0","3,594,186.0","3,664,116.0","3,751,425.0","3,843,543.0","3,935,169.0","4,019,468.0","4,097,925.0","4,176,720.0","4,270,467.0","4,337,609.0","4,358,289.0","4,401,627.0","4,442,336.0","4,528,949.0","4,625,749.0","4,650,808.0","4,673,983.0","4,690,337.0","4,719,971.0","4,757,502.0","4,802,965.0","4,916,400.0","4,992,637.0","5,029,433.0","5,121,166.0","5,163,029.0","5,245,057.0","5,283,433.0","5,384,898.0","5,478,208.0","5,566,812.0","5,660,024.0","5,762,988.0","5,832,746.0","5,890,876.0","5,978,764.0","6,058,676.0","6,159,817.0","6,281,418.0","6,361,488.0","6,469,493.0","6,602,221.0","6,693,570.0","6,824,971.0","6,930,378.0","7,020,993.0","7,140,007.0","7,265,287.0","7,349,664.0","7,507,780.0","7,580,122.0","7,663,788.0","7,834,478.0","8,062,944.0","8,138,535.0","8,243,672.0","8,275,122.0","8,411,276.0","8,442,063.0","8,392,635.0","8,397,768.0","8,507,563.0","8,574,862.0","8,598,788.0","8,712,442.0","8,784,562.0","8,931,228.0","9,051,231.0","9,230,241.0","9,401,081.0","9,550,654.0","9,739,398.0","9,845,307.0","10,076,114.0","10,195,963.0","10,392,019.0","10,584,620.0","10,841,756.0","10,958,435.0","11,072,222.0","11,195,701.0","11,201,244.0","11,303,236.0","11,338,878.0","11,485,683.0","11,605,169.0","11,627,988.0","11,638,852.0","11,193,350.0","11,027,303.0","10,954,544.0","11,065,884.0","11,241,349.0","11,491,527.0","11,689,660.0","11,815,128.0","11,893,255.0","12,086,162.0","12,186,357.0","12,364,209.0","12,496,764.0","....."
"53","33","  Net domestic purchases","W367RC1","865,069.0","876,871.0","895,047.0","898,260.0","908,132.0","919,890.0","937,242.0","939,030.0","979,803.0","1,002,232.0","1,019,943.0","1,031,710.0","1,070,206.0","1,104,218.0","1,123,663.0","1,158,347.0","1,201,913.0","1,230,572.0","1,241,576.0","1,275,430.0","1,287,039.0","1,327,823.0","1,353,400.0","1,378,033.0","1,370,901.0","1,395,269.0","1,456,980.0","1,502,220.0","1,565,829.0","1,599,239.0","1,631,599.0","1,675,506.0","1,737,520.0","1,797,958.0","1,851,749.0","1,898,560.0","1,938,568.0","2,040,292.0","2,093,568.0","2,158,423.0","2,198,169.0","2,255,201.0","2,318,731.0","2,371,358.0","2,433,912.0","2,405,290.0","2,429,774.0","2,559,486.0","2,690,287.0","2,710,130.0","2,785,105.0","2,798,531.0","2,779,135.0","2,814,056.0","2,865,835.0","2,899,493.0","2,960,375.0","3,079,266.0","3,199,307.0","3,301,651.0","3,438,368.0","3,539,988.0","3,602,276.0","3,656,497.0","3,715,813.0","3,790,027.0","3,867,447.0","3,935,683.0","3,983,969.0","4,018,500.0","4,087,842.0","4,126,185.0","4,193,716.0","4,267,869.0","4,335,099.0","4,444,165.0","4,477,522.0","4,560,503.0","4,626,838.0","4,733,224.0","4,826,064.0","4,896,759.0","4,952,746.0","4,998,781.0","5,120,482.0","5,179,174.0","5,228,870.0","5,219,176.0","5,211,968.0","5,262,281.0","5,324,914.0","5,379,627.0","5,470,529.0","5,583,046.0","5,679,808.0","5,789,757.0","5,836,842.0","5,911,480.0","5,972,580.0","6,093,966.0","6,194,764.0","6,322,812.0","6,404,237.0","6,513,067.0","6,562,529.0","6,602,325.0","6,652,239.0","6,726,446.0","6,831,083.0","6,987,431.0","7,089,056.0","7,181,383.0","7,301,530.0","7,404,344.0","7,535,869.0","7,637,908.0","7,737,765.0","7,848,492.0","7,993,178.0","8,159,658.0","8,297,381.0","8,420,318.0","8,583,844.0","8,783,159.0","8,915,835.0","9,139,100.0","9,217,557.0","9,324,339.0","9,327,026.0","9,415,062.0","9,407,834.0","9,453,816.0","9,585,311.0","9,720,521.0","9,827,048.0","9,925,149.0","10,057,758.0","10,170,007.0","10,394,148.0","10,547,160.0","10,739,513.0","10,949,481.0","11,127,820.0","11,339,921.0","11,543,608.0","11,666,022.0","11,906,548.0","12,101,087.0","12,319,249.0","12,463,679.0","12,563,262.0","12,597,215.0","12,749,484.0","12,948,930.0","13,051,378.0","13,147,155.0","13,198,766.0","13,318,777.0","13,282,284.0","12,788,871.0","12,392,082.0","12,324,003.0","12,473,150.0","12,667,931.0","12,915,137.0","13,132,157.0","13,267,625.0","13,359,105.0","13,524,824.0","13,670,013.0","13,775,561.0","13,920,206.0","14,079,997.0"
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
