"","Table 7#2#6B# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"63","43","  Final sales of motor vehicles to domestic purchasers","AB75RX1","326,647.0","323,343.0","330,726.0","338,295.0","338,251.0","342,738.0","346,804.0","352,041.0","366,152.0","354,260.0","373,884.0","381,697.0","370,308.0","401,167.0","401,600.0","447,952.0","427,026.0","452,062.0","463,296.0","451,551.0","482,061.0","447,347.0","447,573.0","441,182.0","456,162.0","446,495.0","441,452.0","497,997.0","468,041.0","470,963.0","502,122.0","467,614.0","463,923.0","483,169.0","500,089.0","486,916.0","491,095.0","495,093.0","513,143.0","524,643.0","514,339.0","533,060.0","552,972.0","498,268.0","528,885.0","524,078.0","529,928.0","530,307.0","523,344.0","517,037.0","514,994.0","512,127.0","489,601.0","445,703.0","409,589.0","335,351.0","321,739.0","318,101.0","352,072.0","335,110.0","360,054.0","378,208.0","392,089.0","419,294.0","446,567.0","424,435.0","440,801.0","468,969.0","500,495.0"
"64","44","  Private fixed investment in new autos and new light trucks","AB76RX1","107,448.0","104,145.0","109,922.0","111,330.0","115,833.0","122,468.0","129,450.0","130,236.0","135,443.0","133,397.0","138,111.0","141,356.0","139,483.0","152,079.0","137,362.0","158,648.0","158,772.0","160,576.0","171,376.0","169,265.0","176,446.0","165,921.0","164,996.0","154,855.0","163,384.0","159,960.0","152,467.0","150,096.0","148,773.0","156,936.0","162,217.0","151,870.0","144,999.0","143,502.0","154,180.0","153,651.0","149,513.0","156,844.0","168,931.0","173,796.0","164,703.0","171,974.0","187,378.0","182,144.0","198,381.0","186,185.0","185,803.0","190,680.0","192,478.0","187,943.0","194,327.0","191,478.0","185,965.0","165,489.0","150,543.0","111,451.0","88,744.0","98,137.0","103,117.0","117,900.0","132,919.0","139,873.0","144,190.0","143,627.0","153,996.0","146,944.0","160,340.0","156,992.0","170,470.0"
"65","45","  Domestic output of new autos \2\","B148RX1","120,589.0","107,978.0","105,358.0","108,179.0","98,687.0","115,831.0","114,764.0","100,803.0","105,177.0","106,535.0","108,498.0","106,887.0","104,552.0","99,281.0","109,719.0","115,085.0","110,692.0","110,180.0","111,821.0","113,497.0","118,782.0","116,364.0","113,179.0","106,072.0","103,570.0","107,085.0","105,068.0","106,536.0","112,319.0","112,473.0","110,586.0","103,556.0","95,643.0","98,051.0","96,058.0","98,471.0","95,394.0","94,997.0","96,662.0","101,388.0","106,667.0","104,634.0","107,776.0","112,081.0","114,500.0","107,911.0","105,728.0","104,967.0","104,600.0","106,158.0","103,212.0","105,143.0","108,948.0","100,066.0","107,260.0","84,315.0","41,289.0","48,265.0","68,889.0","77,770.0","78,593.0","78,090.0","75,085.0","71,638.0","78,883.0","80,192.0","82,047.0","90,504.0","108,311.0"
"66","46","  Sales of imported new autos \3\","B149RX1","53,418.0","53,386.0","53,864.0","56,502.0","52,849.0","52,076.0","53,241.0","53,086.0","56,965.0","53,879.0","58,872.0","60,000.0","61,032.0","66,116.0","61,912.0","69,208.0","69,713.0","73,864.0","75,258.0","81,168.0","83,100.0","79,599.0","78,542.0","78,589.0","77,217.0","78,308.0","75,689.0","81,917.0","82,855.0","84,138.0","86,774.0","83,994.0","84,951.0","82,682.0","83,120.0","79,891.0","83,507.0","86,587.0","82,664.0","88,057.0","83,093.0","84,617.0","88,862.0","88,855.0","93,718.0","93,631.0","96,235.0","97,708.0","99,835.0","100,856.0","98,161.0","98,150.0","94,001.0","103,312.0","87,103.0","70,904.0","68,986.0","69,947.0","82,048.0","75,437.0","79,997.0","80,696.0","84,802.0","86,559.0","98,955.0","89,176.0","84,044.0","90,154.0","107,193.0"
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Note. Chained (2005) dollar series are calculated as the product of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","series, divided by 100. Because the formula for the chain-type quantity indexes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","are usually not additive. The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","line and the sum of the most detailed lines, excluding the lines in the addenda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
