"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"104","82","        Farm","W302RC1","-32.0","-45.0","-57.0","-62.0","-70.0","-87.0","-94.0","-92.0","-86.0","-90.0","-100.0","-101.0","-114.0","-133.0","-147.0","-149.0","-160.0","-172.0","-178.0","-189.0","-219.0","-234.0","-271.0","-269.0"
"105","83","        Nonfarm","W303RC1","-15.0","-21.0","-26.0","-28.0","-32.0","-39.0","-42.0","-49.0","-49.0","-56.0","-75.0","-86.0","-87.0","-97.0","-110.0","-115.0","-124.0","-128.0","-137.0","-157.0","-193.0","-212.0","-254.0","-286.0"
"106","84","      Other private business","W304RC1","-21.0","-29.0","-37.0","-40.0","-45.0","-56.0","-61.0","-65.0","-68.0","-74.0","-77.0","-79.0","-81.0","-88.0","-92.0","-91.0","-97.0","-105.0","-112.0","-125.0","-145.0","-148.0","-177.0","-181.0"
"107","85","        Rental income of persons and proprietors' income","W359RC1","-21.0","-29.0","-37.0","-40.0","-45.0","-56.0","-61.0","-65.0","-68.0","-74.0","-77.0","-79.0","-81.0","-88.0","-92.0","-91.0","-97.0","-105.0","-112.0","-125.0","-145.0","-148.0","-177.0","-181.0"
"108","86","    Households and nonprofit institutions","W305RC1","-141.0","-222.0","-298.0","-346.0","-416.0","-505.0","-553.0","-655.0","-692.0","-788.0","-906.0","-981.0","-986.0","-1,115.0","-1,242.0","-1,287.0","-1,373.0","-1,462.0","-1,578.0","-1,782.0","-2,048.0","-2,108.0","-2,508.0","-2,591.0"
"109","87","      Households","W306RC1","-137.0","-216.0","-290.0","-337.0","-406.0","-493.0","-540.0","-642.0","-678.0","-772.0","-888.0","-962.0","-965.0","-1,091.0","-1,215.0","-1,259.0","-1,341.0","-1,427.0","-1,539.0","-1,737.0","-1,994.0","-2,051.0","-2,438.0","-2,518.0"
"110","88","        Owner-occupied housing","W307RC1","-77.0","-108.0","-137.0","-149.0","-169.0","-208.0","-226.0","-253.0","-273.0","-307.0","-348.0","-365.0","-378.0","-422.0","-443.0","-432.0","-455.0","-485.0","-508.0","-558.0","-640.0","-661.0","-775.0","-795.0"
"111","89","        Persons","W308RC1","-60.0","-108.0","-153.0","-188.0","-237.0","-285.0","-314.0","-389.0","-405.0","-465.0","-540.0","-597.0","-587.0","-669.0","-772.0","-827.0","-886.0","-942.0","-1,031.0","-1,179.0","-1,354.0","-1,390.0","-1,663.0","-1,723.0"
"112","90","      Nonprofit institutions","W309RC1","-4.0","-6.0","-8.0","-9.0","-10.0","-12.0","-13.0","-13.0","-14.0","-16.0","-18.0","-19.0","-21.0","-24.0","-27.0","-28.0","-32.0","-35.0","-39.0","-45.0","-54.0","-57.0","-70.0","-73.0"
"113","91","    Government","W310RC1","-63.0","-52.0","-52.0","-50.0","-49.0","-45.0","-36.0","-25.0","-29.0","-16.0","-4.0","0.0","-28.0","0.0","0.0","-9.0","-33.0","-1.0","0.0","-1.0","-11.0","-53.0","-36.0","-462.0"
"114","92","      Federal","W311RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"115","93","      State and local","W312RC1","-63.0","-52.0","-52.0","-50.0","-49.0","-45.0","-36.0","-25.0","-29.0","-16.0","-4.0","0.0","-28.0","0.0","0.0","-9.0","-33.0","-1.0","0.0","-1.0","-11.0","-53.0","-36.0","-462.0"
"116","94","    Rest of the world","W313RC1","0.0","0.0","0.0","0.0","0.0","0.0","-24.0","-21.0","-23.0","-34.0","-42.0","-53.0","-67.0","-76.0","-81.0","-90.0","-113.0","-111.0","-138.0","-179.0","-183.0","-174.0","-179.0","-159.0"
"117","95","  Imputed interest received","W360RC1","-590.0","-813.0","-1,032.0","-1,137.0","-1,303.0","-1,587.0","-1,737.0","-1,914.0","-1,951.0","-2,134.0","-2,467.0","-2,669.0","-2,769.0","-3,056.0","-3,372.0","-3,437.0","-3,706.0","-3,908.0","-4,182.0","-4,790.0","-5,636.0","-5,918.0","-6,979.0","-7,769.0"
"118","96","    Domestic corporate business, financial","W361RC1","-590.0","-813.0","-1,032.0","-1,137.0","-1,303.0","-1,587.0","-1,737.0","-1,914.0","-1,951.0","-2,134.0","-2,467.0","-2,669.0","-2,769.0","-3,056.0","-3,372.0","-3,437.0","-3,706.0","-3,908.0","-4,182.0","-4,790.0","-5,636.0","-5,918.0","-6,979.0","-7,769.0"
"119","97","      Banks, credit agencies, and investment companies","W362RC1","-590.0","-813.0","-1,032.0","-1,137.0","-1,303.0","-1,587.0","-1,737.0","-1,914.0","-1,951.0","-2,134.0","-2,467.0","-2,669.0","-2,769.0","-3,056.0","-3,372.0","-3,437.0","-3,706.0","-3,908.0","-4,182.0","-4,790.0","-5,636.0","-5,918.0","-6,979.0","-7,769.0"
"120",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","98","  Net interest (99+103+104+105)","B060RC1","1,794.0","2,329.0","2,441.0","2,687.0","2,968.0","3,437.0","3,820.0","4,466.0","5,305.0","5,925.0","6,539.0","7,679.0","9,165.0","9,302.0","10,244.0","12,037.0","13,729.0","14,681.0","16,890.0","19,083.0","21,743.0","24,720.0","26,503.0","32,491.0"
"122","99","    Domestic business (2+42+77-26-55-96)","A1626C1","823.0","1,146.0","1,013.0","1,109.0","1,190.0","1,329.0","1,450.0","1,796.0","2,155.0","2,391.0","2,501.0","2,985.0","3,669.0","3,205.0","3,448.0","4,332.0","5,045.0","5,253.0","6,449.0","7,620.0","9,454.0","11,587.0","12,474.0","17,910.0"
"123","100","      Corporate (3+42+78-27-56-96)","W499RC1","-27.0","190.0","-127.0","-207.0","-325.0","-442.0","-488.0","-290.0","-134.0","-145.0","-288.0","-168.0","178.0","-512.0","-529.0","-8.0","238.0","-114.0","268.0","678.0","1,661.0","3,224.0","3,327.0","7,530.0"
"124","101","      Sole proprietorships and partnerships (8+81-30-59)","B1649C1","281.0","366.0","454.0","515.0","584.0","714.0","753.0","762.0","811.0","901.0","1,012.0","1,133.0","1,266.0","1,318.0","1,373.0","1,495.0","1,748.0","2,015.0","2,485.0","2,918.0","3,450.0","3,783.0","4,210.0","5,058.0"
"125","102","      Other private business (11+84-31-62)","B1657C1","569.0","590.0","686.0","801.0","931.0","1,057.0","1,185.0","1,324.0","1,478.0","1,635.0","1,777.0","2,020.0","2,225.0","2,399.0","2,604.0","2,845.0","3,059.0","3,352.0","3,696.0","4,024.0","4,343.0","4,579.0","4,938.0","5,323.0"
"126","103","    Owner-occupied housing (16+88-65)","W318RC1","915.0","1,071.0","1,262.0","1,419.0","1,620.0","1,909.0","2,206.0","2,491.0","2,886.0","3,293.0","3,904.0","4,573.0","5,238.0","5,887.0","6,568.0","7,246.0","8,141.0","8,830.0","9,752.0","10,664.0","11,468.0","12,154.0","13,122.0","14,516.0"
"127","104","    Nonprofit institutions (18+90)","B1131C1","55.0","57.0","57.0","62.0","65.0","65.0","69.0","71.0","74.0","76.0","77.0","80.0","81.0","86.0","98.0","112.0","123.0","140.0","184.0","230.0","302.0","390.0","470.0","567.0"
"128","105","    Rest of the world (22+53+94-36-75)","A1627C1","1.0","55.0","109.0","97.0","93.0","134.0","95.0","108.0","190.0","165.0","57.0","41.0","177.0","124.0","130.0","347.0","420.0","458.0","505.0","569.0","519.0","589.0","437.0","-502.0"
"129","106","  Net interest paid by government (19+50+91-33-72)","A085RC1","5,535.0","5,808.0","6,040.0","6,431.0","6,812.0","7,202.0","7,564.0","8,050.0","8,596.0","9,011.0","10,062.0","11,266.0","11,597.0","13,247.0","14,483.0","14,695.0","15,901.0","17,143.0","18,430.0","19,506.0","21,070.0","22,460.0","25,078.0","27,966.0"
"130","107","  Personal interest payments (17+89)","B069RC1","672.0","943.0","1,275.0","1,566.0","2,038.0","2,229.0","2,555.0","3,187.0","3,410.0","3,983.0","4,563.0","4,867.0","4,991.0","5,457.0","6,242.0","6,517.0","6,963.0","7,935.0","8,941.0","9,945.0","10,679.0","11,147.0","12,184.0","13,990.0"
"131","108","  Personal interest income (98+106+107) or (32+66+71)","A064RC1","8,003.0","9,080.0","9,756.0","10,684.0","11,818.0","12,868.0","13,939.0","15,702.0","17,311.0","18,919.0","21,164.0","23,812.0","25,753.0","28,006.0","30,969.0","33,249.0","36,593.0","39,759.0","44,261.0","48,534.0","53,492.0","58,327.0","63,765.0","74,447.0"
"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","1. Excludes interest paid or received by government enterprises, which is included in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","government sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","2. Consists of interest paid on the deposit liabilities of commercial and mutual savings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","banks, savings and loan associations, and credit unions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","3. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","4. Includes monetary interest received by employee pension plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","5. Interest received by nonfinancial sole proprietorships and partnerships is considered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","interest received by persons and is included in line 32.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","6. Includes interest imputed to persons from employee pension plans and imputed interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","income attributable to under- or over-funded defined benefit employee pension plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","7. Consists of the imputed interest attributable to the under- or over-funded defined benefit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","employee pension plans of other financial entities, including those establishments providing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","nondepository credit intermediation services; securities, commodity contracts, and other financial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","investment services; insurance, brokerage, and related services; and real estate investment trust",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","8. Consists of the imputed interest attributable to the under- or over-funded defined benefit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","employee pension plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Note. In this table, imputed interest paid (line 39) is the sum of (1) premium supplements paid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","to property and casualty insurance carriers by households and institutions, governments,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","domestic business, and the rest of the world as a measure of imputed services provided to these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","sectors by the property and casualty insurance providers, (2) the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","property income received by financial intermediaries from the investment of depositors' or",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","beneficiaries' funds and the interest paid by them to business, households and institutions,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","governments, and the rest of the world, and (3) the imputed services provided to these sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","in the role of borrowers of financial services; these services are included as negative amounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","paid by the borrowers and received by the financial intermediaries.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
