"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"55","36","    Durable goods","B697RC1","3,396.0","4,132.0","4,156.0","4,232.0","4,268.0","4,244.0","4,484.0","4,652.0","4,788.0","5,272.0","4,592.0","5,524.0","6,976.0","6,736.0","6,872.0","7,196.0","7,888.0","8,028.0","8,176.0","8,124.0","8,368.0","9,268.0","9,764.0","9,212.0","7,920.0","7,292.0","7,512.0","7,932.0","8,580.0","8,940.0","9,936.0","10,908.0","12,892.0","13,176.0","13,152.0","14,396.0","16,949.0","18,092.0","18,526.0","18,607.0","17,914.0","18,939.0","19,340.0","20,232.0","20,782.0","21,320.0","20,610.0","21,601.0","22,748.0","22,965.0","22,977.0","24,857.0","25,160.0","22,808.0","23,015.0","22,772.0","26,344.0","25,427.0","27,280.0","30,695.0","32,564.0","34,330.0","35,903.0","36,626.0","37,677.0","37,485.0","38,157.0","39,916.0","42,108.0","45,539.0","46,735.0","48,112.0","47,667.0","48,908.0","48,989.0","50,364.0","51,582.0","50,962.0","52,849.0","55,855.0","57,151.0","58,327.0","56,620.0","55,859.0","56,179.0","56,200.0","55,232.0","55,004.0","54,595.0","54,552.0","56,624.0","61,743.0","61,906.0","63,525.0","65,311.0","64,987.0","68,236.0","68,306.0","71,827.0","72,523.0","73,127.0","76,191.0","77,689.0","81,614.0","83,357.0","84,051.0","84,238.0","83,059.0","87,691.0","88,845.0","93,208.0","93,796.0","95,964.0","99,228.0","102,208.0","105,920.0","110,116.0","113,344.0","114,155.0","116,694.0","118,648.0","125,182.0","131,319.0","136,153.0","145,456.0","150,647.0","153,217.0","158,288.0","154,280.0","148,417.0","147,269.0","145,720.0","153,215.0","165,433.0","168,663.0","167,313.0","166,918.0","169,344.0","177,093.0","186,894.0","189,452.0","202,792.0","202,389.0","214,062.0","221,259.0","222,298.0","226,907.0","227,958.0","237,717.0","237,496.0","245,276.0","258,210.0","264,457.0","258,505.0","263,356.0","270,783.0","268,485.0","275,231.0","276,358.0","245,172.0","220,775.0","221,634.0","223,077.0","234,667.0","241,455.0","256,747.0","270,523.0","267,922.0","271,795.0","272,534.0","270,121.0","273,155.0","269,452.0","275,080.0","277,843.0","284,179.0","279,760.0","290,932.0","290,549.0","295,584.0","287,157.0","308,334.0"
"56","37","    Nondurable goods","B698RC1","2,100.0","2,664.0","2,640.0","2,628.0","2,804.0","2,904.0","3,080.0","3,176.0","3,228.0","3,424.0","3,320.0","3,404.0","4,168.0","3,908.0","4,240.0","4,320.0","4,744.0","4,752.0","4,776.0","5,080.0","4,640.0","5,316.0","5,512.0","5,440.0","5,152.0","5,052.0","5,524.0","6,460.0","7,036.0","7,504.0","7,880.0","7,876.0","7,668.0","8,552.0","8,584.0","8,764.0","10,601.0","11,496.0","11,318.0","11,900.0","11,984.0","12,153.0","11,961.0","12,524.0","13,095.0","13,111.0","12,969.0","13,582.0","14,361.0","14,653.0","14,664.0","16,268.0","15,528.0","15,758.0","17,194.0","16,452.0","17,886.0","19,085.0","20,342.0","22,046.0","24,999.0","26,993.0","26,752.0","26,208.0","26,360.0","27,130.0","28,024.0","30,593.0","31,770.0","32,436.0","34,646.0","36,071.0","37,952.0","40,703.0","39,778.0","40,936.0","43,360.0","42,652.0","43,574.0","44,862.0","44,253.0","46,911.0","46,784.0","48,626.0","49,174.0","50,080.0","49,267.0","48,708.0","49,458.0","48,521.0","50,108.0","55,003.0","56,038.0","57,352.0","59,308.0","61,264.0","60,805.0","63,972.0","64,782.0","64,341.0","65,099.0","67,317.0","70,220.0","72,353.0","75,285.0","76,746.0","77,355.0","74,791.0","78,184.0","79,089.0","82,416.0","86,897.0","88,200.0","93,103.0","96,824.0","99,400.0","101,958.0","105,040.0","106,671.0","105,931.0","112,661.0","110,783.0","116,973.0","122,879.0","123,679.0","132,426.0","136,315.0","138,509.0","139,842.0","140,602.0","137,858.0","134,228.0","136,997.0","144,042.0","152,581.0","157,082.0","163,357.0","162,774.0","161,414.0","165,739.0","170,703.0","178,385.0","175,035.0","179,624.0","189,001.0","192,523.0","183,192.0","187,801.0","194,443.0","201,792.0","205,890.0","209,766.0","220,243.0","217,854.0","210,605.0","213,226.0","221,863.0","223,774.0","221,144.0","210,689.0","203,792.0","197,752.0","202,991.0","214,720.0","214,426.0","222,768.0","232,594.0","234,047.0","238,158.0","246,818.0","245,526.0","245,360.0","240,712.0","243,187.0","244,338.0","240,524.0","244,590.0","243,812.0","244,479.0","246,074.0","252,700.0","257,998.0"
"57","38","  Other","A653RC1","2,008.0","2,384.0","2,428.0","2,396.0","2,452.0","2,396.0","2,576.0","2,504.0","2,584.0","2,720.0","2,760.0","2,644.0","2,972.0","2,780.0","3,176.0","3,204.0","3,388.0","3,576.0","3,556.0","2,512.0","4,412.0","4,296.0","2,872.0","3,224.0","3,336.0","3,152.0","3,836.0","2,924.0","4,176.0","3,680.0","3,744.0","3,608.0","5,092.0","5,218.0","4,858.0","5,196.0","5,778.0","5,570.0","6,250.0","6,456.0","7,750.0","5,964.0","6,102.0","7,432.0","8,810.0","7,938.0","9,148.0","10,318.0","11,172.0","12,890.0","12,232.0","13,096.0","13,170.0","14,910.0","12,462.0","12,774.0","13,272.0","13,954.0","13,646.0","13,650.0","14,370.0","15,702.0","15,778.0","17,268.0","17,060.0","19,074.0","18,240.0","18,842.0","18,536.0","19,812.0","19,110.0","20,454.0","20,980.0","21,472.0","21,636.0","23,136.0","22,792.0","23,392.0","24,254.0","26,940.0","25,432.0","26,222.0","27,018.0","28,908.0","30,428.0","31,094.0","32,682.0","32,402.0","31,604.0","34,236.0","32,734.0","33,070.0","35,808.0","33,922.0","34,698.0","34,146.0","34,078.0","35,616.0","35,926.0","37,604.0","38,568.0","41,670.0","40,284.0","41,798.0","42,092.0","44,554.0","41,534.0","44,068.0","45,120.0","45,718.0","43,952.0","43,996.0","47,342.0","49,640.0","53,450.0","54,552.0","54,700.0","56,380.0","61,116.0","65,498.0","65,694.0","67,216.0","68,556.0","67,472.0","72,146.0","70,908.0","82,462.0","80,090.0","76,072.0","79,384.0","77,972.0","77,538.0","76,622.0","78,926.0","80,618.0","81,136.0","75,244.0","78,240.0","74,380.0","79,008.0","74,526.0","77,090.0","82,424.0","81,626.0","87,608.0","81,310.0","86,048.0","84,588.0","88,478.0","93,812.0","84,078.0","82,234.0","93,178.0","88,340.0","90,072.0","83,726.0","85,874.0","90,836.0","86,024.0","83,268.0","82,904.0","81,380.0","78,562.0","77,108.0","90,114.0","83,820.0","87,754.0","110,554.0","91,880.0","104,914.0","94,792.0","96,770.0","101,552.0","106,362.0","104,648.0","97,712.0","107,634.0","116,886.0","100,704.0","99,018.0","106,824.0","109,374.0"
"58","39","Imports of services \1\","B656RC1","13,031.0","13,555.0","13,828.0","14,298.0","14,169.0","15,136.0","15,251.0","15,065.0","15,276.0","15,855.0","15,842.0","16,195.0","17,081.0","17,317.0","16,803.0","17,926.0","18,900.0","19,429.0","19,038.0","19,897.0","21,482.0","22,994.0","23,010.0","24,292.0","23,952.0","22,981.0","23,283.0","24,702.0","25,398.0","25,792.0","26,928.0","27,935.0","28,809.0","29,891.0","29,733.0","30,821.0","32,948.0","33,707.0","35,656.0","37,050.0","37,646.0","39,022.0","40,532.0","42,350.0","44,657.0","44,131.0","45,055.0","47,188.0","49,539.0","50,190.0","49,405.0","50,641.0","51,854.0","53,271.0","52,078.0","53,365.0","52,742.0","55,189.0","57,530.0","58,382.0","65,524.0","68,576.0","69,734.0","71,331.0","71,920.0","74,146.0","73,647.0","76,023.0","81,713.0","78,890.0","84,675.0","86,166.0","88,149.0","93,275.0","94,520.0","99,834.0","101,227.0","100,419.0","101,728.0","104,100.0","104,168.0","104,676.0","106,980.0","109,132.0","116,391.0","118,956.0","123,819.0","127,462.0","123,350.0","122,898.0","121,233.0","123,815.0","122,353.0","121,069.0","123,993.0","124,041.0","123,445.0","126,136.0","127,142.0","132,125.0","134,604.0","135,538.0","138,091.0","138,215.0","141,435.0","144,088.0","146,124.0","148,845.0","152,209.0","154,354.0","159,348.0","160,161.0","165,754.0","167,692.0","172,519.0","174,514.0","177,436.0","182,746.0","187,403.0","192,171.0","191,593.0","193,636.0","200,182.0","204,198.0","212,578.0","219,934.0","229,566.0","222,545.0","223,171.0","224,323.0","219,338.0","207,969.0","225,016.0","225,761.0","227,898.0","239,866.0","237,998.0","235,092.0","254,410.0","263,465.0","277,937.0","286,861.0","290,869.0","300,785.0","302,983.0","307,010.0","313,157.0","319,696.0","338,473.0","344,791.0","344,166.0","362,987.0","366,497.0","376,179.0","384,527.0","390,378.0","406,148.0","414,967.0","423,477.0","417,925.0","389,023.0","385,734.0","393,001.0","403,776.0","403,360.0","408,605.0","420,707.0","428,040.0","423,331.0","443,527.0","451,665.0","448,013.0","449,949.0","454,912.0","457,256.0","463,568.0","458,825.0","466,271.0","469,716.0","477,780.0","481,198.0","486,124.0"
"59","40","  Transport","Y804RC1","3,093.0","3,580.0","3,636.0","3,835.0","3,712.0","4,062.0","4,352.0","4,106.0","4,176.0","4,560.0","4,556.0","4,387.0","4,997.0","4,940.0","5,056.0","5,471.0","6,282.0","6,334.0","6,568.0","6,752.0","7,254.0","7,881.0","8,107.0","8,903.0","8,176.0","7,514.0","7,876.0","8,318.0","8,996.0","9,036.0","9,594.0","10,053.0","10,296.0","10,847.0","10,756.0","10,982.0","11,504.0","11,702.0","12,205.0","12,668.0","12,922.0","13,694.0","14,520.0","15,224.0","15,581.0","15,556.0","15,057.0","15,395.0","16,985.0","17,158.0","16,973.0","16,728.0","16,996.0","16,664.0","16,084.0","16,188.0","16,868.0","17,528.0","18,800.0","19,720.0","19,460.0","20,636.0","20,856.0","21,372.0","20,984.0","22,480.0","21,912.0","22,968.0","24,144.0","23,180.0","24,868.0","24,888.0","23,796.0","26,116.0","26,688.0","28,576.0","28,840.0","28,892.0","28,276.0","28,476.0","29,732.0","30,200.0","30,976.0","30,768.0","34,120.0","34,924.0","36,144.0","36,796.0","33,684.0","35,156.0","35,476.0","35,644.0","34,112.0","33,496.0","34,812.0","35,072.0","34,984.0","35,880.0","35,932.0","36,948.0","37,416.0","38,664.0","40,500.0","39,748.0","40,632.0","41,744.0","42,424.0","42,000.0","41,576.0","43,540.0","43,976.0","43,768.0","45,708.0","47,416.0","47,372.0","47,900.0","48,216.0","49,748.0","50,824.0","52,552.0","46,826.0","47,631.0","51,215.0","52,809.0","54,786.0","56,843.0","59,997.0","58,800.0","57,855.0","56,891.0","52,840.0","47,774.0","48,437.0","50,992.0","51,846.0","54,689.0","55,357.0","56,269.0","59,876.0","59,949.0","66,365.0","68,532.0","69,868.0","71,865.0","75,982.0","74,859.0","74,406.0","77,325.0","76,697.0","78,350.0","78,107.0","78,692.0","76,753.0","80,412.0","81,194.0","78,945.0","81,424.0","84,084.0","86,953.0","83,489.0","68,022.0","61,413.0","62,086.0","65,009.0","68,907.0","74,319.0","78,435.0","76,851.0","79,544.0","80,988.0","82,552.0","82,424.0","83,884.0","85,000.0","85,484.0","85,748.0","89,828.0","89,908.0","90,084.0","93,196.0","92,280.0","94,180.0"
"60","41","  Travel (for all purposes including education)","Y805RC1","3,284.0","3,336.0","3,400.0","3,472.0","3,784.0","4,020.0","4,040.0","4,076.0","4,332.0","4,312.0","4,236.0","4,612.0","4,928.0","4,924.0","5,000.0","5,316.0","5,352.0","5,576.0","5,500.0","5,676.0","5,780.0","5,996.0","5,936.0","6,208.0","6,192.0","6,116.0","6,508.0","6,852.0","6,728.0","6,632.0","6,860.0","7,204.0","7,328.0","7,516.0","7,320.0","7,640.0","8,032.0","8,112.0","8,924.0","8,832.0","8,920.0","9,508.0","9,524.0","9,700.0","10,412.0","9,924.0","10,444.0","10,808.0","11,988.0","11,386.0","11,924.0","12,020.0","12,679.0","13,053.0","12,173.0","13,249.0","12,273.0","13,458.0","14,434.0","14,121.0","22,331.0","23,291.0","24,452.0","23,488.0","24,921.0","26,002.0","25,600.0","23,740.0","26,801.0","23,456.0","27,478.0","28,140.0","28,959.0","29,920.0","29,371.0","31,325.0","32,597.0","31,450.0","33,022.0","34,106.0","33,327.0","33,077.0","34,367.0","35,903.0","37,594.0","38,795.0","38,384.0","37,999.0","34,606.0","37,158.0","36,179.0","36,966.0","38,909.0","39,341.0","39,646.0","40,535.0","40,426.0","40,450.0","41,352.0","45,237.0","44,721.0","44,784.0","45,479.0","45,286.0","45,323.0","46,637.0","45,789.0","47,741.0","49,339.0","48,479.0","50,161.0","50,680.0","53,268.0","53,104.0","54,386.0","54,455.0","56,569.0","58,479.0","58,796.0","59,962.0","59,551.0","57,545.0","59,488.0","61,782.0","63,818.0","67,440.0","68,212.0","63,677.0","64,365.0","64,500.0","61,944.0","52,106.0","60,746.0","59,987.0","56,361.0","62,668.0","59,683.0","55,265.0","65,710.0","66,874.0","71,449.0","74,105.0","74,970.0","75,570.0","79,213.0","79,218.0","80,370.0","81,152.0","81,567.0","84,251.0","83,544.0","87,461.0","87,871.0","88,026.0","88,802.0","92,240.0","96,695.0","94,880.0","91,668.0","86,936.0","81,017.0","78,016.0","83,534.0","83,118.0","85,060.0","85,782.0","87,329.0","88,321.0","85,160.0","91,133.0","90,359.0","92,146.0","98,587.0","100,291.0","100,405.0","101,985.0","102,657.0","104,405.0","104,584.0","107,064.0","107,977.0","112,042.0"
"61","42","  Charges for the use of intellectual property n.e.c.","B908RC1","220.0","212.0","216.0","244.0","220.0","236.0","220.0","224.0","224.0","224.0","248.0","268.0","276.0","292.0","280.0","324.0","384.0","368.0","368.0","420.0","472.0","460.0","448.0","444.0","616.0","628.0","512.0","576.0","644.0","636.0","532.0","560.0","620.0","580.0","584.0","688.0","796.0","760.0","788.0","820.0","924.0","940.0","920.0","1,060.0","852.0","676.0","624.0","1,260.0","1,024.0","528.0","840.0","824.0","760.0","792.0","788.0","840.0","824.0","912.0","960.0","1,080.0","1,100.0","1,080.0","1,224.0","1,276.0","1,132.0","1,120.0","1,256.0","1,180.0","1,308.0","1,452.0","1,452.0","1,392.0","1,568.0","1,896.0","1,856.0","2,108.0","2,464.0","2,576.0","2,688.0","2,684.0","2,488.0","2,588.0","2,324.0","2,712.0","2,928.0","2,840.0","3,188.0","3,584.0","3,664.0","4,132.0","4,244.0","4,100.0","5,568.0","4,548.0","5,988.0","4,536.0","4,572.0","5,032.0","5,200.0","5,324.0","6,448.0","5,248.0","5,684.0","6,032.0","6,276.0","6,616.0","7,092.0","7,692.0","7,176.0","7,248.0","9,164.0","7,764.0","8,832.0","8,744.0","9,740.0","9,328.0","10,920.0","10,636.0","11,344.0","12,044.0","12,588.0","13,123.0","13,392.0","14,109.0","15,174.0","15,502.0","18,660.0","17,091.0","16,583.0","16,384.0","16,455.0","17,215.0","19,704.0","19,122.0","20,230.0","18,911.0","18,167.0","18,669.0","19,932.0","20,263.0","21,318.0","22,607.0","25,567.0","25,275.0","23,975.0","25,635.0","27,075.0","25,619.0","24,923.0","23,444.0","22,933.0","28,853.0","26,153.0","26,231.0","26,124.0","27,408.0","28,863.0","28,349.0","32,268.0","29,013.0","30,283.0","30,743.0","30,634.0","33,527.0","34,021.0","30,128.0","32,082.0","33,971.0","34,866.0","33,911.0","37,114.0","38,458.0","37,524.0","39,065.0","39,821.0","41,598.0","40,011.0","38,881.0","37,752.0","39,418.0","43,114.0","41,285.0"
"62","43","  Other business services \3\","Y806RC1","552.0","572.0","572.0","580.0","588.0","636.0","652.0","644.0","704.0","732.0","756.0","748.0","776.0","800.0","768.0","800.0","872.0","884.0","896.0","964.0","1,884.0","1,908.0","1,908.0","1,968.0","2,120.0","2,280.0","2,352.0","2,468.0","2,660.0","2,784.0","3,040.0","3,144.0","3,164.0","3,168.0","3,184.0","3,368.0","3,720.0","3,896.0","3,988.0","4,180.0","4,428.0","4,572.0","4,588.0","4,808.0","4,736.0","5,164.0","5,332.0","5,308.0","5,700.0","5,914.0","5,984.0","6,340.0","6,731.0","7,041.0","7,165.0","7,229.0","6,578.0","6,845.0","6,965.0","6,986.0","7,148.0","7,332.0","7,707.0","8,771.0","8,196.0","8,223.0","8,997.0","9,965.0","11,952.0","13,182.0","13,751.0","14,204.0","15,621.0","16,817.0","17,073.0","17,457.0","17,561.0","17,606.0","17,769.0","18,142.0","18,384.0","18,692.0","19,783.0","19,858.0","21,152.0","21,905.0","23,174.0","23,545.0","25,821.0","25,716.0","25,328.0","26,846.0","23,639.0","24,175.0","24,682.0","24,801.0","24,994.0","26,286.0","27,128.0","28,019.0","29,355.0","30,168.0","30,173.0","31,430.0","32,417.0","33,059.0","34,679.0","34,811.0","36,661.0","37,769.0","38,035.0","39,908.0","39,728.0","40,520.0","42,082.0","43,273.0","43,135.0","45,557.0","46,368.0","47,434.0","54,405.0","56,632.0","56,958.0","56,674.0","59,687.0","60,581.0","62,555.0","63,575.0","64,753.0","66,861.0","67,774.0","68,249.0","72,594.0","71,987.0","74,336.0","77,497.0","77,808.0","77,234.0","79,085.0","84,256.0","86,831.0","89,197.0","88,458.0","95,175.0","90,012.0","93,426.0","97,402.0","102,303.0","120,743.0","125,204.0","125,968.0","134,507.0","141,164.0","146,121.0","153,253.0","156,563.0","163,817.0","172,356.0","177,378.0","182,518.0","173,167.0","178,138.0","178,983.0","183,675.0","177,471.0","180,867.0","184,520.0","191,343.0","186,162.0","199,977.0","204,279.0","198,796.0","194,751.0","196,365.0","197,935.0","201,553.0","194,829.0","201,477.0","205,868.0","207,202.0","207,551.0","208,634.0"
"63","44","  Government goods and services n.e.c.","Y807RC1","5,362.0","5,327.0","5,464.0","5,615.0","5,297.0","5,606.0","5,399.0","5,423.0","5,240.0","5,419.0","5,430.0","5,552.0","5,460.0","5,701.0","5,019.0","5,315.0","5,286.0","5,527.0","4,950.0","5,313.0","5,312.0","5,957.0","5,803.0","5,945.0","6,004.0","5,583.0","5,155.0","5,596.0","5,462.0","5,780.0","5,958.0","6,010.0","6,417.0","6,768.0","6,849.0","7,071.0","7,788.0","8,093.0","8,575.0","9,342.0","9,208.0","9,032.0","9,672.0","10,222.0","11,708.0","11,415.0","12,174.0","12,965.0","12,366.0","13,704.0","12,156.0","13,177.0","13,108.0","14,116.0","14,240.0","14,208.0","14,528.0","14,748.0","14,640.0","14,704.0","13,668.0","14,384.0","13,616.0","14,528.0","14,784.0","14,408.0","13,956.0","16,228.0","15,588.0","15,624.0","15,056.0","15,400.0","15,992.0","16,244.0","17,184.0","17,956.0","17,292.0","17,364.0","17,388.0","18,056.0","17,552.0","17,384.0","16,744.0","17,052.0","17,876.0","17,616.0","19,892.0","22,412.0","22,564.0","17,688.0","16,860.0","16,988.0","16,820.0","16,216.0","15,572.0","15,784.0","15,008.0","15,000.0","14,080.0","13,280.0","13,300.0","13,228.0","12,664.0","11,916.0","13,056.0","12,332.0","12,432.0","12,844.0","13,612.0","13,392.0","14,012.0","13,976.0","14,084.0","13,732.0","14,732.0","15,328.0","14,376.0","14,088.0","15,804.0","15,868.0","13,868.0","14,268.0","14,580.0","14,132.0","14,248.0","14,564.0","15,032.0","14,220.0","14,396.0","14,444.0","15,072.0","17,376.0","18,304.0","18,440.0","19,868.0","20,800.0","21,616.0","22,200.0","24,240.0","26,420.0","26,112.0","26,428.0","25,912.0","26,732.0","27,588.0","27,620.0","27,620.0","26,988.0","28,215.0","27,162.0","27,148.0","26,887.0","27,815.0","28,554.0","28,287.0","28,384.0","28,600.0","28,654.0","28,686.0","29,579.0","30,294.0","31,307.0","31,743.0","32,496.0","31,994.0","31,636.0","32,492.0","31,720.0","31,770.0","31,673.0","31,480.0","30,251.0","29,188.0","28,126.0","27,525.0","26,605.0","25,456.0","25,582.0","25,427.0","24,908.0","24,302.0","24,027.0"
"64","45","  Other","B910RC1","520.0","528.0","540.0","552.0","568.0","576.0","588.0","592.0","600.0","608.0","616.0","628.0","644.0","660.0","680.0","700.0","724.0","740.0","756.0","772.0","780.0","792.0","808.0","824.0","844.0","860.0","880.0","892.0","908.0","924.0","944.0","964.0","984.0","1,012.0","1,040.0","1,072.0","1,108.0","1,144.0","1,176.0","1,208.0","1,244.0","1,276.0","1,308.0","1,336.0","1,368.0","1,396.0","1,424.0","1,452.0","1,476.0","1,500.0","1,528.0","1,552.0","1,580.0","1,605.0","1,628.0","1,651.0","1,671.0","1,698.0","1,731.0","1,771.0","1,817.0","1,853.0","1,879.0","1,896.0","1,903.0","1,913.0","1,926.0","1,942.0","1,920.0","1,996.0","2,070.0","2,142.0","2,213.0","2,282.0","2,348.0","2,412.0","2,473.0","2,531.0","2,585.0","2,636.0","2,685.0","2,735.0","2,786.0","2,839.0","2,721.0","2,876.0","3,037.0","3,126.0","3,011.0","3,048.0","3,146.0","3,271.0","3,305.0","3,293.0","3,293.0","3,313.0","3,461.0","3,488.0","3,450.0","3,317.0","3,364.0","3,446.0","3,591.0","3,803.0","3,731.0","3,700.0","3,708.0","3,757.0","3,845.0","3,926.0","4,000.0","4,065.0","4,134.0","4,176.0","4,207.0","4,230.0","4,220.0","4,238.0","4,267.0","4,311.0","4,355.0","4,437.0","4,549.0","4,692.0","4,865.0","5,004.0","5,110.0","5,182.0","5,219.0","5,243.0","5,253.0","5,249.0","5,231.0","5,233.0","5,257.0","5,301.0","5,367.0","5,455.0","5,567.0","5,703.0","5,862.0","5,992.0","6,094.0","6,168.0","6,213.0","6,252.0","6,284.0","6,309.0","6,328.0","6,380.0","6,466.0","6,587.0","6,741.0","6,835.0","6,867.0","6,838.0","6,749.0","6,644.0","6,524.0","6,390.0","6,240.0","6,117.0","6,021.0","5,951.0","5,907.0","5,873.0","5,849.0","5,834.0","5,829.0","5,845.0","5,881.0","5,938.0","6,015.0","6,065.0","6,086.0","6,079.0","6,044.0","6,018.0","6,001.0","5,992.0","5,974.0","5,956.0"
"65",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","46","  Exports of durable goods","A332RC1","20,669.0","24,247.0","24,770.0","26,022.0","26,464.0","28,262.0","27,471.0","27,261.0","28,055.0","28,120.0","28,491.0","26,804.0","30,364.0","30,152.0","31,536.0","33,694.0","37,312.0","41,130.0","43,244.0","47,456.0","51,784.0","57,290.0","58,376.0","63,420.0","63,482.0","65,030.0","64,810.0","67,624.0","68,182.0","69,628.0","71,598.0","74,196.0","72,898.0","75,352.0","75,378.0","74,054.0","76,703.0","86,420.0","88,122.0","98,812.0","103,170.0","105,797.0","109,340.0","120,215.0","133,116.0","135,322.0","133,602.0","140,558.0","141,215.0","149,080.0","141,811.0","140,573.0","133,040.0","134,335.0","128,141.0","118,281.0","120,774.0","122,142.0","122,208.0","129,928.0","130,804.0","133,572.0","136,441.0","140,013.0","139,786.0","142,571.0","137,811.0","139,311.0","139,355.0","145,467.0","143,868.0","152,672.0","152,813.0","161,796.0","169,111.0","184,041.0","198,655.0","210,291.0","213,165.0","225,546.0","232,456.0","242,420.0","246,919.0","248,217.0","262,036.0","264,154.0","268,467.0","266,492.0","272,409.0","284,924.0","290,703.0","294,225.0","300,933.0","297,434.0","307,000.0","311,399.0","311,017.0","315,896.0","314,991.0","329,560.0","334,275.0","346,525.0","363,906.0","370,371.0","384,362.0","391,377.0","406,274.0","412,394.0","415,766.0","420,712.0","425,673.0","443,323.0","462,422.0","488,603.0","504,162.0","498,481.0","501,052.0","483,468.0","482,142.0","502,964.0","492,748.0","496,924.0","512,619.0","532,508.0","546,975.0","571,153.0","591,283.0","584,067.0","573,183.0","540,923.0","503,061.0","483,970.0","479,387.0","498,459.0","504,402.0","488,836.0","486,108.0","491,112.0","499,709.0","530,331.0","545,542.0","562,355.0","573,001.0","581,917.0","600,747.0","622,633.0","632,727.0","663,032.0","691,542.0","708,439.0","715,708.0","744,369.0","755,018.0","772,165.0","792,484.0","812,009.0","825,571.0","864,975.0","866,031.0","760,350.0","650,883.0","630,497.0","672,006.0","733,193.0","755,507.0","796,499.0","811,137.0","842,593.0","862,030.0","891,095.0","907,203.0","915,624.0","942,499.0","941,870.0","940,939.0","938,469.0","938,644.0","961,629.0","956,826.0","972,009.0","962,917.0","989,642.0"
