"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"66","57","      Excluding imputations (55-56)","Y675RC1",102.3,90.6,105.6,120.8,129.8,121.2,143.6,177.2,210,237.2,238.2,215.5,246.6,227.1,279.1,382.1,392.5,359.3,402.9,452.5,442.7,444.4,468.9,492.9,524.3,622.4,680.4,742,814.7,741.4,733.7,646.8,588.8,749.9,877.3,1051.3,1201.9,1325,1119.6,846,980.4,1271.9,1314.6,1457.7,1428,1421.9
"67","58","      Taxes on corporate income","A054RC1",40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.4,445.5,309.1,269.4,370.6,379.1,447.6,468.9,513.9
"68","59","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1",51.8,44.4,54.6,65.3,68.5,55.5,72.6,92.5,112.2,130.8,124.4,100.9,133.5,130.8,164.1,203.8,217,175.2,187.5,216.3,201,195.6,236.3,253.5,274,350.8,392.2,452.6,512.8,453,449.4,369.9,380.3,556.1,646,772.2,826.3,917,730.1,569.3,770.3,980.7,1015.6,1140.2,1153.7,1140.9
"69","60","        Imputations (188-190+195-196+198-199)","Y519RC1",-10.5,-11.5,-12.8,-13.1,-11.3,-13,-19.4,-19.4,-23.3,-21.5,-23.8,-27.4,-28.8,-29.9,-34.4,-80.7,-76.1,-74.4,-85,-94.6,-95.6,-103.3,-94.1,-90.7,-79.2,-78.4,-70.4,-57.9,-56.5,-40.1,-25.5,-11.8,-5.1,-1.4,12.4,27.1,36.7,65.4,56,32.3,59.4,79.4,80.1,130.1,194.6,232.9
"70","61","        Excluding imputations (59-60)","Y520RC1",62.3,55.9,67.4,78.5,79.9,68.4,92,111.9,135.6,152.3,148.1,128.3,162.3,160.6,198.5,284.5,293.1,249.6,272.5,310.9,296.6,299,330.3,344.2,353.3,429.3,462.6,510.5,569.3,493.1,474.9,381.7,385.5,557.5,633.6,745.2,789.6,851.6,674.1,536.9,711,901.3,935.5,1010.1,959.1,908
"71","62","        Net dividends","A449RC1",20.4,20.4,20.3,21.9,23.1,23.5,26.4,30.1,33.7,39.6,41.5,47.3,58.3,61.3,71.3,78.5,85.7,88.3,95.6,98,126.4,144.1,156.2,161.5,184.7,197.8,226.2,263.1,292.2,314.8,306.4,355.4,329.9,352.3,401.9,501.8,319.7,648.1,678.5,628.1,456.5,442.5,548.8,680.1,777.7,724.4
"72","63","          Imputations (197)","Y234RC1",2,2.4,2.7,3,3.5,4.2,4.7,5.3,6.6,8.3,9.9,10.9,13,15.4,17.3,19.7,22.3,23.2,25,26,29.4,32.7,36.2,39.6,42.6,46.4,50.6,55.7,59.3,59.7,60.5,60,60,61,64.9,77.4,90.7,105.6,121.9,129.7,118,115.6,116.4,129.3,145,161.9
"73","64","          Excluding imputations (62-63)","Y676RC1",18.4,18,17.7,19,19.6,19.2,21.7,24.8,27.1,31.3,31.5,36.4,45.3,46,54,58.8,63.4,65.1,70.6,72.1,96.9,111.4,120,121.9,142.2,151.4,175.6,207.5,232.9,255.1,245.9,295.4,269.9,291.3,337,424.4,229,542.5,556.5,498.4,338.5,327,432.4,550.8,632.7,562.5
"74","65","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1",31.4,24,34.3,43.4,45.4,32,46.2,62.4,78.5,91.2,82.9,53.6,75.2,69.4,92.7,125.3,131.3,86.9,91.9,118.2,74.7,51.6,80.1,92,89.3,153,166.1,189.5,220.6,138.2,143.1,14.5,50.4,203.8,244.1,270.4,506.6,268.9,51.6,-58.8,313.8,538.1,466.9,460.1,376,416.5
"75","66","          Imputations (188-190+195-196-197+198-199)","Y677RC1",-12.5,-13.8,-15.5,-16.1,-14.8,-17.2,-24,-24.7,-30,-29.8,-33.7,-38.4,-41.8,-45.2,-51.7,-100.4,-98.4,-97.7,-110,-120.6,-125,-136.1,-130.3,-130.3,-121.8,-124.8,-120.9,-113.6,-115.8,-99.8,-85.9,-71.8,-65.1,-62.4,-52.5,-50.3,-54,-40.2,-66,-97.4,-58.7,-36.2,-36.3,0.8,49.6,71
"76","67","          Excluding imputations (65-66)","Y678RC1",44,37.9,49.8,59.5,60.2,49.2,70.2,87.1,108.5,121,116.6,92,117,114.7,144.5,225.7,229.7,184.6,201.9,238.8,199.7,187.6,210.4,222.3,211.1,277.8,287,303,336.4,237.9,229,86.3,115.6,266.2,296.6,320.8,560.6,309,117.6,38.6,372.5,574.3,503.1,459.3,326.4,345.5
"77","68","    Current surplus of government enterprises","A108RC1",0,-1.2,-1.7,-1.2,-2.2,-2.7,-4.4,-2.7,-3.3,-2.8,-3.2,-5.1,-5.2,-3.8,-2.3,-1.4,1.3,2,2.2,5,6.7,3.2,7.8,9.9,10.8,11.8,15.6,16.9,17.5,16.3,16.2,10.7,5.2,7,3.9,-1.8,-6.4,-9.3,-16.4,-21.2,-20.6,-22.9,-24.5,-19.3,-18.8,-18.3
"78","69","      Imputations (-192)","Y514RC1",-0.9,-1.1,-1.4,-1.5,-1.6,-1.6,-1,-0.8,-0.4,-0.4,-0.1,0.3,0.7,0.9,1.2,0.9,1.1,1.5,2.4,2.8,2.2,2.1,2.7,2.2,2.7,2.9,3.1,3.2,3.4,3,2.3,1.8,1.2,0.9,-2.4,-2.4,-2.4,-1.8,-1.9,-2,-1.2,-3.7,-12.6,-2.3,-1.9,-1.1
"79","70","      Excluding imputations (68-69)","Y679RC1",0.9,-0.1,-0.3,0.4,-0.6,-1.1,-3.4,-2,-2.9,-2.4,-3.1,-5.4,-5.9,-4.7,-3.5,-2.3,0.2,0.5,-0.3,2.2,4.5,1.1,5.2,7.7,8.1,9,12.5,13.7,14.1,13.3,13.9,9,3.9,6.1,6.3,0.6,-4,-7.5,-14.5,-19.2,-19.4,-19.2,-11.9,-17,-16.9,-17.2
"80","71","  Consumption of fixed capital","A262RC1",124.9,136.8,148.9,160.9,178.1,206.2,237.5,259.2,288.3,325.1,371.1,426,485,534.3,560.5,594.3,636.7,682.2,728,782.4,836.1,886.8,931.1,959.7,1003.6,1055.6,1122.8,1176,1240,1310.3,1400.9,1514.2,1604,1662.1,1727.2,1831.7,1982,2136,2264.4,2363.4,2368.4,2381.6,2450.6,2534.2,2632.8,2746.7
"81","72","    Imputations (165+168+213)","A2092C1",48,52,56.1,60,65.7,75,83.7,90.5,99.8,111.7,125.8,142.9,160,174.2,184.5,197.6,211.5,228.1,246.5,265.9,285,302.4,317.9,329.5,345.6,361.5,378.8,390.4,404,420.7,444.9,474.7,501.8,524.4,557.4,604.3,663.3,718,760.2,785.2,788.7,799.5,815.6,835.9,866.3,902
"82","73","    Excluding imputations (71-72)","A2093C1",76.8,84.7,92.7,100.9,112.4,131.2,153.9,168.7,188.6,213.4,245.3,283.1,325.1,360.1,376.1,396.7,425.2,454.1,481.4,516.5,551.1,584.4,613.3,630.3,658,694,744,785.6,836,889.6,955.9,1039.6,1102.2,1137.7,1169.8,1227.4,1318.6,1418,1504.1,1578.2,1579.7,1582.1,1635,1698.3,1766.6,1844.7
"83",NA,"          Personal income, outlays, and saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","74","Personal income","A065RC1",800.3,864.6,932.1,1023.6,1138.5,1249.3,1366.9,1498.5,1654.6,1859.7,2078.2,2317.5,2596.5,2779.5,2970.3,3281.8,3516.3,3725.7,3955.9,4276.3,4619.9,4906.4,5073.4,5413,5649,5937.3,6281,6667,7080.7,7593.7,7988.4,8637.1,8991.6,9153.9,9491.1,10052.9,10614,11393.9,12000.2,12502.2,12094.8,12477.1,13254.5,13915.1,14068.4,14694.2
"85","75","  Imputations (164-159+171+182+189+196+197-198+199+200+204+205+206+207+212)","A2106C1",74.1,84.4,93.6,101.3,103.2,113.3,132.2,134.5,145.2,164,174.4,185.1,198.6,217.9,259,304.8,331.9,339.1,359.6,398,433,464.6,489.7,559.4,604.1,648.8,657.2,664.8,683.2,711.9,748,787.1,840.9,897.5,978.4,1052.5,1078,1049.3,1048.4,1147.4,1236.9,1300.1,1381.1,1392.9,1429.9,1465.2
"86","76","  Excluding imputations (74-75)","A2107C1",726.2,780.2,838.5,922.3,1035.3,1136.1,1234.6,1364,1509.4,1695.7,1903.8,2132.4,2397.9,2561.6,2711.2,2977,3184.5,3386.6,3596.2,3878.4,4186.8,4441.8,4583.7,4853.6,5044.9,5288.5,5623.7,6002.2,6397.5,6881.8,7240.4,7850,8150.6,8256.3,8512.7,9000.4,9536,10344.7,10951.8,11354.9,10857.8,11177,11873.4,12522.2,12638.5,13229
"87","77","  Compensation of employees","A033RC1",586,625.1,667,733.6,815,890.3,950.2,1051.2,1169,1320.2,1481,1626.2,1795.3,1894.3,2013.9,2217.4,2389,2543.8,2724.3,2950,3142.6,3342.7,3452,3671.1,3820.7,4010.1,4202.6,4422.1,4714.7,5077.8,5410.3,5856.6,6046.5,6141.9,6364.5,6739.5,7086.8,7502.3,7898.3,8078.3,7787,7961.4,8269,8609.9,8839.7,9248.9
"88","78","    Imputations (189+203)","Y506RC1",23.6,25.5,27.4,30.3,27.8,27.8,34.3,32.3,35.8,40.1,45.5,50.9,59.4,70,82.8,85.3,100.9,117.6,129,153.2,185.5,210.1,223.1,263.9,278.5,286.4,283.8,298,313.7,341.3,382.2,422.6,450,443.3,447.4,519.7,555.8,569.3,596.6,569.8,565.8,567.1,571.1,577.9,602.1,618.6
"89","79","    Excluding imputations (77-78)","W519RC1",562.4,599.6,639.7,703.3,787.2,862.6,915.9,1018.9,1133.2,1280.1,1435.5,1575.3,1735.9,1824.3,1931.1,2132.1,2288.1,2426.2,2595.3,2796.9,2957,3132.6,3228.9,3407.2,3542.2,3723.7,3918.9,4124.1,4401,4736.5,5028.1,5434,5596.5,5698.6,5917.1,6219.9,6531,6933,7301.7,7508.4,7221.2,7394.4,7697.9,8032,8237.6,8630.3
"90","80","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",77,77.8,83.9,95.1,112.5,112.2,118.2,131,144.5,166,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.8,341.9,354.4,356,402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871,900.1,962.1,979,1053.7,979.2,1026.5,973,1032.7,1143.7,1241.4,1285.1,1346.7
"91","81","    Imputations (200+212)","A2101C1",0.8,0.8,0.9,1,1.4,1.4,1.5,2.1,2.8,3.1,3.3,2.3,2.1,1.9,2.9,3,3.1,3.6,3.3,3.1,2.9,2.9,2.4,3.3,3,3.4,2.8,3,3.1,2.8,3.2,2.8,2.8,3,3.1,3.7,4.3,3.7,2.3,0.7,0.2,0.8,0.8,1.2,1.5,1.6
"92","82","    Excluding imputations (80-81)","A2102C1",76.3,77,83,94.1,111.2,110.8,116.8,128.8,141.7,162.9,176.2,169.2,177.6,169.3,183.4,225.3,238,252.9,283.2,322.7,339.1,351.5,353.6,399.1,427.5,456.1,481.7,544.4,584.8,641.3,697.2,755,834,868,897,958.3,974.7,1050,976.9,1025.8,972.8,1031.9,1142.9,1240.2,1283.6,1345
"93","83","  Rental income of persons with capital consumption adjustment","A048RC1",20.4,20.7,21.9,22.8,23.3,23.3,22.5,20.6,16.2,16.9,16.6,19.7,25.4,26.1,27.5,27.9,29.5,21.9,20.2,25.1,24.4,31.4,42,64.3,93.6,117.5,129.2,147,152,169.9,183.1,187.7,207.5,217.3,238,255.4,238.4,207.5,189.4,262.1,333.7,402.8,485.3,525.3,563.4,610.8
"94","84","    Imputations (164)","B1156C1",14.4,14.5,15.5,15.3,14.5,14.9,13.9,12,7,7.1,5.7,5.6,5.8,2.1,1.3,-1.2,-4.2,-9.5,-9.8,-3.6,-3.3,-0.1,5.8,19.8,42.6,62.2,68.5,82.7,85,101.3,115.2,120.9,134.8,146.3,165.3,180.2,158.1,124.3,96.4,147.2,216.8,268.1,327,355.4,393.9,433.1
"95","85","    Excluding imputations (83-84)","A2103C1",6,6.2,6.4,7.5,8.7,8.5,8.6,8.6,9.1,9.8,10.8,14.1,19.6,24,26.2,29.1,33.7,31.4,30.1,28.7,27.8,31.4,36.2,44.5,51,55.3,60.7,64.2,67.1,68.6,67.9,66.9,72.8,71,72.7,75.2,80.4,83.2,93,114.9,116.9,134.7,158.3,169.9,169.5,177.7
"96","86","  Personal income receipts on assets","W210RC1",98.7,112.7,122.3,133.3,150.6,175.4,195.3,212.6,243.4,278,318.3,386,472.9,541.3,584.3,665.1,712.8,755.3,779.9,839.4,951.9,991.2,985.5,982.1,988.6,1029.4,1114,1176.5,1258.5,1342.5,1329.7,1453.5,1441.3,1390.4,1420.5,1503.7,1666.5,1938.4,2166.6,2167.1,1818,1739.6,1913.9,2123.8,2060.4,2117.5
"97","87","    Imputations (171+182+196+197)","Y507RC1",28.7,36.4,41,45.7,49.4,57,70.1,72.8,81.1,95.3,104.6,115.7,129.5,155.5,194.5,211.2,241.8,261.7,280.4,293.6,311.4,325.8,338,359,369.9,391.6,409.1,416.3,433.1,434.9,441,451.3,460.5,485.6,504.3,529.2,554,574.5,611,664.2,678.1,675.3,691.3,710.4,741.5,767.3
"98","88","    Excluding imputations (86-87)","Y508RC1",70,76.2,81.4,87.6,101.2,118.3,125.2,139.8,162.3,182.6,213.7,270.3,343.4,385.7,389.7,453.9,471,493.6,499.4,545.7,640.5,665.4,647.4,623.2,618.7,637.8,704.9,760.1,825.4,907.7,888.7,1002.2,980.8,904.8,916.1,974.5,1112.5,1363.9,1555.6,1502.8,1139.9,1064.4,1222.6,1413.3,1318.8,1350.2
"99","89","  Personal current transfer receipts","A577RC1",62.3,74.7,88.1,97.9,112.6,133.3,170,184.3,194.6,209.9,235.6,280.1,319,355.5,384.3,400.6,425.4,451.6,468.1,497.5,544.2,596.9,668.1,748,793,829,883.5,929.2,954.9,983.9,1026.2,1087.3,1192.6,1284.7,1347.3,1421.3,1516.7,1614.6,1728.1,1956.6,2147.5,2324.7,2360.5,2366.3,2426.6,2529.2
"100","90","    Imputations (-159-198+199)","A2111C1",7,7.8,9.8,9.9,10.8,13.2,13.8,16.7,19.8,19.6,16.6,12,3.5,-10.2,-20.7,8.2,-7.7,-32.3,-41,-45.8,-60.8,-71.2,-76.3,-82.4,-85.8,-91.3,-103.9,-132.2,-148.7,-165.6,-190.7,-207.2,-203.7,-176.9,-137.2,-175.2,-188.5,-216.3,-251.4,-227.6,-215.8,-202,-199.7,-242.6,-300.4,-347.1
"101","91","    Excluding imputations (89-90)","A2112C1",55.3,66.9,78.3,88,101.7,120.1,156.2,167.6,174.8,190.3,219,268.1,315.5,365.7,405,392.4,433.1,483.8,509.2,543.3,605,668,744.4,830.4,878.8,920.3,987.3,1061.4,1103.6,1149.5,1216.8,1294.5,1396.3,1461.5,1484.5,1596.5,1705.3,1830.9,1979.5,2184.2,2363.3,2526.7,2560.2,2608.9,2727,2876.3
"102","92","  Less: Contributions for government social insurance, domestic","A061RC1",44.1,46.4,51.2,59.2,75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,779.3,829.2,873.3,922.6,961.4,988.2,964.4,984.1,917.8,951.6,1106.8,1159
"103","93","    Imputations (208)","A1676C1",0.4,0.6,0.8,0.9,0.8,0.9,1.4,1.5,1.4,1.2,1.3,1.5,1.6,1.5,1.7,1.7,1.9,2.1,2.2,2.5,2.7,3,3.4,4.2,4.2,3.5,3.1,3,2.9,2.9,3,3.2,3.5,3.8,4.6,5.1,5.6,6.3,6.5,7,8.1,9.1,9.4,9.4,8.7,8.4
"104","94","    Excluding imputations (92-93)","W531RC1",43.7,45.8,50.3,58.3,74.7,84.3,88,99.8,111.7,130.1,151.4,164.7,194.1,207.4,224.2,255.7,279.5,301.4,320.9,359,382.6,407.1,426.8,450.8,473.3,504.7,529.7,552.1,584.4,621.8,658.3,702.7,729.7,747.7,774.7,824.1,867.7,916.3,954.9,981.2,956.3,975,908.4,942.1,1098.1,1150.5
"105","95","Personal current taxes","W055RC1",104.5,103.1,101.7,123.6,132.4,151,147.6,172.7,197.9,229.6,268.9,299.5,345.8,354.7,352.9,377.9,417.8,437.8,489.6,505.9,567.7,594.7,588.9,612.8,648.8,693.1,748.4,837.1,931.8,1032.4,1112.1,1236.6,1239.3,1054.7,1005.3,1050.6,1213.2,1357.1,1493.2,1507.8,1152.3,1239.3,1453.2,1511.4,1672.8,1780.2
"106","96","  Imputations (-158)","A2115C1",-12.7,-14.4,-15.8,-17.1,-18.5,-19.8,-21.8,-24.1,-26.6,-27.2,-28.1,-30.6,-33.9,-37,-39.4,-42.3,-44.9,-47.5,-51.8,-55.2,-59.8,-63.5,-68.2,-70.5,-70.3,-73.7,-73.8,-76.2,-78.9,-80.2,-83,-85.7,-90.5,-97.4,-103.1,-109.4,-117.5,-125.1,-134.4,-137.6,-144.7,-144.6,-146,-147,-149.3,-151.3
"107","97","  Excluding imputations (95-96)","A2116C1",117.2,117.5,117.5,140.7,150.9,170.8,169.4,196.7,224.5,256.9,297,330.1,379.6,391.7,392.3,420.2,462.7,485.3,541.4,561.1,627.5,658.2,657.1,683.3,719.1,766.8,822.3,913.3,1010.7,1112.7,1195.1,1322.2,1329.8,1152,1108.5,1160,1330.8,1482.2,1627.6,1645.4,1296.9,1383.8,1599.1,1658.4,1822,1931.5
"108","98","Disposable personal income","A067RC1",695.8,761.5,830.4,899.9,1006.1,1098.3,1219.3,1325.8,1456.7,1630.1,1809.3,2018,2250.7,2424.7,2617.4,2903.9,3098.5,3287.9,3466.3,3770.4,4052.1,4311.8,4484.5,4800.2,5000.2,5244.2,5532.6,5829.9,6148.8,6561.3,6876.3,7400.5,7752.3,8099.2,8485.8,9002.3,9400.8,10036.9,10507,10994.4,10942.5,11237.9,11801.4,12403.7,12395.6,12913.9
"109","99","  Imputations (75-96)","A2117C1",86.8,98.8,109.5,118.4,121.7,133.1,154,158.5,171.8,191.2,202.5,215.7,232.5,254.8,298.4,347.1,376.7,386.6,411.4,453.2,492.8,528.1,557.9,629.9,674.4,722.5,731.1,741,762.1,792.1,831,872.7,931.4,994.9,1081.6,1161.9,1195.6,1174.4,1182.8,1285,1381.6,1444.7,1527.1,1539.9,1579.2,1616.4
"110","100","  Excluding imputations (98-99)","A2118C1",609,662.8,721,781.5,884.5,965.2,1065.3,1167.2,1284.9,1438.8,1606.8,1802.3,2018.2,2169.9,2319,2556.8,2721.8,2901.3,3054.8,3317.2,3559.4,3783.6,3926.6,4170.3,4325.8,4521.7,4801.5,5088.9,5386.8,5769.2,6045.3,6527.8,6820.8,7104.3,7404.2,7840.4,8205.2,8862.5,9324.2,9709.4,9560.9,9793.2,10274.3,10863.8,10816.5,11297.5
"111","101","Personal outlays","A068RC1",620.7,665.5,720.3,790.7,874.3,956.6,1060.3,1178.5,1308.5,1463.5,1631.7,1804.8,1998.3,2147,2370.4,2591.8,2833.4,3018.5,3214.2,3475.7,3735.6,3976.3,4118.6,4374.2,4632.6,4912.8,5179.6,5484.7,5796.7,6156,6573,7092.8,7417.1,7693.9,8076.2,8592.9,9157.7,9705.5,10197.2,10457.7,10275.1,10607.9,11091.2,11457,11805.7,12293.7
"112","102","  Imputations (5-163+228)","A2119C1",28.9,37.1,33.1,29,29.4,46.2,61.5,52.5,39.4,42.7,53.7,85,104.1,133.4,132.1,119.8,152.3,142,146.6,170.6,199,240.4,283.2,310.2,349.3,368.5,391.5,391.6,395.1,406.3,436.3,484.3,492,510.4,526.2,516.5,489.8,522,673.4,909.1,1085.8,1169.8,1265.6,1261.9,1317.4,1387.7
"113","103","  Excluding imputations (101-102)","A2120C1",591.8,628.3,687.2,761.8,844.9,910.3,998.8,1126,1269.1,1420.8,1578,1719.7,1894.1,2013.7,2238.3,2472,2681.1,2876.5,3067.6,3305.1,3536.7,3735.9,3835.4,4064,4283.3,4544.3,4788.1,5093.1,5401.5,5749.7,6136.7,6608.6,6925.1,7183.5,7550,8076.4,8667.9,9183.5,9523.8,9548.6,9189.3,9438,9825.6,10195.1,10488.3,10906
"114","104","Personal saving","A071RC1",75,96.1,110.1,109.2,131.8,141.7,159,147.3,148.2,166.6,177.5,213.2,252.5,277.7,247,312.1,265.1,269.4,252.1,294.8,316.5,335.4,365.9,426,367.6,331.4,352.9,345.2,352.2,405.3,303.3,307.7,335.2,405.3,409.6,409.4,243.1,331.4,309.8,536.7,667.4,630,710.1,946.7,589.9,620.2
"115","105","  Imputations (199+209-165-168)","A2121C1",57.9,61.7,76.3,89.5,92.2,86.8,92.5,106,132.4,148.5,148.7,130.6,128.4,121.4,166.4,227.3,224.5,244.6,264.8,282.6,293.8,287.8,274.7,319.7,325.1,354,339.6,349.4,366.9,385.9,394.7,388.5,439.4,484.5,555.4,645.4,705.8,652.4,509.4,375.9,295.8,274.8,261.5,278,261.7,228.7
"116","106","  Excluding imputations (104-105)","A2122C1",17.1,34.4,33.8,19.7,39.6,54.9,66.5,41.3,15.8,18.1,28.8,82.6,124.1,156.3,80.6,84.8,40.6,24.8,-12.8,12.2,22.7,47.7,91.2,106.3,42.5,-22.6,13.4,-4.2,-14.7,19.5,-91.4,-80.8,-104.3,-79.3,-145.8,-236,-462.7,-321,-199.6,160.8,371.6,355.2,448.7,668.7,328.2,391.5
"117",NA,"          Government current receipts, expenditures, and net saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","107","Government current receipts","W021RC1",282.5,285.7,302.1,345.4,388.5,430,440.9,505.4,567,645.7,728.8,799.3,918.7,940.5,1001.7,1114.4,1216.5,1292.3,1406.1,1506.5,1631.4,1712.9,1763.3,1848.2,1952.3,2096.5,2222.8,2387.4,2565,2737.7,2908.1,3138.2,3123.2,2971.9,3048,3270.3,3669,4007.9,4208.8,4117.5,3699.5,3936.5,4132.2,4312.3,4827.6,4995.4
"119","108","  Imputations (172+183+208-192)","W568RC1",0.9,1.4,1.8,1.8,1.5,1.8,3.6,3.8,4.2,3.4,3.1,3.1,3.2,4.8,6.3,5.4,8.5,9.5,9.2,9.6,9,8.9,10.3,10.4,10.9,10.7,10.9,10.9,11.2,10.8,11,10.9,9.4,9.7,7.5,8.1,8.9,10.5,10.6,10.5,11.5,10.5,2.3,12.6,12.2,13.3
"120","109","  Excluding imputations (107-108)","W514RC1",281.6,284.3,300.4,343.6,387.1,428.2,437.3,501.5,562.8,642.3,725.8,796.2,915.5,935.7,995.4,1109,1208,1282.8,1396.8,1496.9,1622.4,1703.9,1753,1837.8,1941.4,2085.8,2211.9,2376.4,2553.8,2726.9,2897.1,3127.3,3113.8,2962.1,3040.4,3262.1,3660,3997.3,4198.2,4107.1,3688,3926.1,4129.9,4299.7,4815.5,4982.1
"121","110","Government current expenditures","W022RC1",283.5,317.5,352.4,385.9,416.6,468.3,543.5,582.4,630.5,692,765.1,880.2,1000.3,1110.3,1205.4,1285.9,1391.8,1484.5,1557.2,1646.9,1780.6,1920.2,2034.6,2218.4,2301.4,2377.2,2495.1,2578.3,2654.5,2719.6,2832.2,2971.8,3174,3363.3,3572.2,3777.9,4040.3,4274.3,4547.2,4916.6,5220.3,5502.5,5592.2,5623.1,5655.7,5794.6
"122","111","  Imputations (172+183+191+195+208+213-214)","A2047C1",-2.1,5.7,13.5,16.6,14.6,11,10,5.6,7.2,5.6,-2.3,-10.2,-10.5,-8.2,-13.1,-35.1,-51.2,-59.1,-68.5,-58.2,-47,-55.9,-42.2,-20.8,-9.3,-4.7,-3.4,-20.8,-25.2,-35.7,-52,-64,-61.2,-65.6,-48.7,-44.6,-52.6,-68.6,-109.1,-134.1,-72.5,-52.1,-42.6,12.3,45.2,28.9
"123","112","  Excluding imputations (110-111)","A2114C1",285.6,311.8,338.8,369.2,402,457.3,533.4,576.8,623.2,686.5,767.4,890.4,1010.8,1118.5,1218.5,1320.9,1443,1543.6,1625.7,1705.1,1827.6,1976.1,2076.8,2239.2,2310.7,2381.9,2498.6,2599.2,2679.7,2755.3,2884.2,3035.8,3235.2,3428.9,3621,3822.5,4092.8,4342.9,4656.3,5050.7,5292.8,5554.7,5634.8,5610.8,5610.5,5765.7
"124","113","Net government saving","A922RC1",-1,-31.8,-50.2,-40.5,-28,-38.3,-102.5,-77.1,-63.5,-46.4,-36.3,-80.9,-81.7,-169.7,-203.7,-171.4,-175.4,-192.2,-151.1,-140.4,-149.2,-207.4,-271.3,-370.2,-349,-280.7,-272.4,-191,-89.5,18.1,75.9,166.4,-50.8,-391.4,-524.3,-507.6,-371.3,-266.4,-338.4,-799,-1520.8,-1566,-1460.1,-1310.8,-828,-799.2
"125","114","  Imputations (214-191-192-195-213)","A2010C1",3,-4.3,-11.8,-14.8,-13.1,-9.2,-6.4,-1.8,-3,-2.2,5.4,13.3,13.7,13.1,19.4,40.5,59.7,68.6,77.8,67.8,56,64.9,52.5,31.2,20.2,15.4,14.3,31.8,36.4,46.6,63,74.9,70.6,75.4,56.3,52.7,61.5,79.1,119.7,144.6,84,62.6,44.9,0.3,-33.1,-15.6
"126","115","  Excluding imputations (113-114)","A2011C1",-4,-27.5,-38.5,-25.6,-14.9,-29.1,-96.1,-75.2,-60.5,-44.2,-41.7,-94.2,-95.3,-182.8,-223.1,-211.9,-235.1,-260.8,-228.8,-208.2,-205.2,-272.2,-323.8,-401.4,-369.2,-296,-286.7,-222.7,-125.9,-28.5,12.9,91.6,-121.4,-466.8,-580.6,-560.3,-432.8,-345.6,-458,-943.6,-1604.8,-1628.6,-1504.9,-1311.1,-795,-783.6
"127",NA,"          Current receipts from and payments to the rest of the world"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","116","Current receipts from the rest of the world","A1073C1",63.7,72.5,77,87.1,118.8,156.5,166.7,181.9,196.6,233.1,298.5,359.9,397.3,384.2,378.9,424.2,415.9,432.3,487.2,596.7,682,740.7,763.3,785.1,810.4,905.5,1042.6,1114,1233.9,1239.8,1350,1520.4,1396.8,1374.6,1462.2,1697.2,1954.3,2276.3,2616.3,2790.3,2330.1,2669.6,3004.2,3113.9,3221.2,3341.3
"129","117","  Imputations (174+186+187)","Q522RC1",0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,5.9,6.4,5.9,5.9,6,5.5,5.6,6.7,8.2,9.7,9.6,8.7,8.7,9,8.7,9.7,9.8,10.7,11.6,13.1,10.3,14.2,15,18.2,18.2,16.4,16.8,18.4,18.3,18.8
