"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"68","61","      Outpatient services","DOUTRA3",21.744,22.729,23.023,24.32,26.732,27.273,28.308,28.905,30.318,31.086,32.178,33.285,35.689,35.678,37.886,39.819,41.941,43.598,47.064,49.924,51.449,54.759,56.555,59.634,59.926,60.577,62.673,64.399,65.921,68.036,69.354,72.627,76.739,81.887,85.788,89.729,92.826,95.076,96.855,99.661,100,100.896,103.398,105.831,107.202,110.012
"69","62","        Physician services (44)","DPHYRA3",26.182,27.504,28.219,29.687,31.883,32.245,33.218,32.767,34.441,35.028,36.421,38.343,40.731,40.761,42.565,44.275,46.369,47.624,51.51,54.532,55.065,56.797,57.665,59.412,57.481,56.835,57.801,59.192,60.785,62.986,64.693,68.729,72.674,78.604,83.759,88.523,92.407,95.572,96.344,100.038,100,100.087,102.389,104.521,105.482,108.274
"70","63","        Dental services (45)","DDENRA3",43.944,46.872,46.446,49.025,55.446,56.783,58.255,61.539,63.649,65.661,65.631,65.566,70.278,70.282,71.549,72.257,74.453,75.689,78.343,77.935,78.384,78.66,77.011,79.756,79.752,81.281,83.357,83.912,85.449,87.911,89.925,93.477,97.962,102.226,101.129,103.143,103.111,102.058,102.88,102.866,100,99.62,99.473,98.812,97.044,98.329
"71","64","        Paramedical services (46)","DPMSRA3",8.748,8.716,8.634,9.289,10.767,11.296,12.227,13.459,14.241,14.875,15.751,15.974,17.64,17.572,20.421,22.864,24.885,27.13,30.019,33.389,36.669,43.154,47.318,52.543,56.568,59.112,63.075,65.688,67.055,68.883,69.307,71.18,75.394,79.531,83.148,86.45,89.437,91.497,95.236,97.766,100,102.698,106.62,110.84,114.215,117.719
"72","65","      Hospital and nursing home services","DHPNRA3",31.392,33.313,37.462,40.394,42.446,44.383,47.134,50.017,52.43,55.631,57.447,58.874,60.738,60.999,61.524,61.052,61.915,63.462,64.257,65.668,65.394,65.958,66.472,67.14,67.49,67.845,68.441,69.447,72.057,74.423,75.34,77.07,80.442,84.66,85.428,87.693,90.535,92.576,95.388,97.046,100,101.714,104.265,106.365,107.131,110.164
"73","66","        Hospitals (51)","DHSPRA3",33.073,34.963,39.18,42.312,44.331,46.492,49.51,52.708,55.205,58.517,60.582,61.96,64.09,64.631,64.247,63.029,63.598,64.813,65.785,66.469,65.599,65.156,65.496,65.795,65.862,66.088,66.156,66.955,69.507,71.912,73.272,75.33,79.331,84.153,84.42,86.859,89.788,91.974,94.791,96.53,100,101.606,104.333,106.737,107.546,110.574
"74","67","        Nursing homes (52)","DNRSRA3",23.083,24.944,28.508,30.521,32.509,33.529,35.155,36.73,38.657,41.223,42.028,43.525,44.28,43.436,47.674,50.419,52.552,55.558,55.51,60.371,63.094,68.925,70.373,73.142,75.167,76.286,80.033,82.221,85.111,87.235,85.795,85.824,86.032,87.274,90.546,91.924,94.323,95.625,98.405,99.655,100,102.258,103.914,104.463,105.01,108.072
"75","68","    Transportation services","DTRSRA3",35.459,36.699,38.252,40.449,41.122,41.351,41.908,44.002,47.111,48.247,49.704,46.758,45.018,44.038,47.357,52.909,58.454,60.996,63.498,67.166,68.676,68.604,65.346,68.651,72.538,79.414,85.4,92.399,99.369,103.719,109.586,114.873,114.097,110.744,111.479,114.439,115.536,115.821,117.023,110.904,100,99.107,101.531,103.28,106.56,111.791
"76","69","      Motor vehicle services","DMVSRA3",33.511,35.494,37.385,39.075,38.95,37.903,39.294,40.962,44.24,45.448,46.642,44.741,44.818,43.235,46.856,53.296,60.673,62.019,64.996,69.278,70.973,70.293,65.477,70.103,74.957,82.222,89.342,96.884,105.233,108.518,114.315,118.49,118.04,113.208,113.125,115.187,117.666,118.416,119.4,113.368,100,100.076,103.828,105.535,109.035,114.791
"77","70","        Motor vehicle maintenance and repair (60)","DVMRRA3",45.662,48.14,50.445,52.504,52.254,50.782,52.53,54.695,59.112,60.772,62.499,59.306,59.01,57.012,62.121,69.285,78.549,80.36,84.758,90.43,92.291,90.624,81.625,83.688,86.988,92.915,98.194,102.557,106.144,109.92,113.732,117.152,118.922,117.289,119.592,120.949,122.214,118.969,118.753,110.843,100,100.185,104.192,104.569,105.425,108.728
"78","71","        Other motor vehicle services (61)","DOVSRA3",9.664,10.594,11.595,12.511,12.618,12.404,13.083,13.77,14.789,15.097,15.212,15.975,16.851,16.074,16.718,21.844,25.527,25.959,26.194,27.753,29.086,30.258,33.413,42.874,50.68,60.407,70.897,84.39,101.996,104.242,114.055,119.758,114.626,102.971,97.578,101.252,106.596,116.992,120.943,119.636,100,99.805,102.9,108.114,118.724,131.185
"79","72","      Public transportation","DPUBRA3",38.5,38.22,39.074,42.213,44.456,47.282,46.077,49.001,51.655,52.6,54.581,49.563,44.492,44.636,47.314,51.073,53.016,57.912,59.377,61.716,62.824,63.985,63.993,64.462,66.253,72.187,75.58,81.275,85.049,91.723,97.682,105.447,103.911,104.335,107.23,112.552,110.074,109.184,110.933,104.606,100,96.601,95.744,97.589,100.34,104.327
"80","73","        Ground transportation (63)","DGRDRA3",78.343,77.112,77,78.377,79.439,82.636,80.42,80.997,81.225,78.861,78.952,71.546,65.384,62.662,62.149,62.651,63.133,59.57,58.495,63.199,64.655,67.645,69.906,70.772,73.065,75.687,77.37,75.286,76.702,84.813,89.798,93.986,98.618,95.391,93.097,97.792,99.725,104.349,105.622,104.911,100,98.8,100.997,103.358,104.67,108.238
"81","74","        Air transportation (64)","DAITRA3",24.884,24.973,26.302,30.465,33.398,36.287,35.407,39.515,43.37,45.771,48.697,44.258,39.298,40.53,44.62,49.847,52.324,61.559,64.419,65.601,66.736,67.396,66.612,67.105,68.416,75.914,79.566,89.36,94.256,100.521,107.31,117.037,110.807,113.551,119.82,125.521,119.364,113.883,115.763,104.638,100,94.26,90.64,91.471,95.12,99.214
"82","75","        Water transportation (65)","DWATRA3",0.429,0.46,0.485,0.558,0.655,0.723,0.719,0.807,0.905,0.944,1.101,1.209,1.286,1.421,2.783,5.419,8.861,12.149,13.209,15.083,13.953,10.475,6.272,4.149,8.468,17.268,28.025,38.568,45.446,47.921,51.545,61.327,70.327,73.159,82.176,88.572,88.816,92.502,97.534,100.231,100,106.283,112.18,126.255,133.36,141.78
"83","76","    Recreation services","DRCARA3",17.077,17.684,18.289,19.261,20.9,22.314,23.465,25.083,26.669,27.963,29.325,30.316,32.888,34.483,37.428,39.915,42.801,44.781,46.815,51.262,54.46,56.821,56.415,60.145,63.938,67.207,72.32,75.589,77.989,80.448,84.262,86.69,86.549,87.048,89.987,94.624,96.988,100.379,104.275,103.45,100,101.318,103.614,105.691,107.59,110.679
"84","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRA3",27.883,28.515,28.972,29.925,31.255,33.464,34.844,35.881,38.43,39.999,41.332,42.661,45.306,46.752,49.158,50.731,52.802,53.418,54.077,58.3,62.607,65.283,65.106,69.88,72.544,73.577,77.86,80.686,82.811,85.226,85.343,85.859,84.846,85.386,87.654,90.975,94.788,98.679,103.255,102.963,100,102.415,107.201,109.228,111.495,115.251
"85","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRA3",15.134,16.288,17.238,17.877,20.41,22.498,24.264,27.423,28.857,29.66,31.492,32.685,35.533,37.424,42.877,47.034,51.976,55.851,59.568,65.494,69.414,71.419,69.661,72.312,74.638,75.227,79.489,80.701,81.015,84.61,90.351,94.075,94.979,92.181,92.961,96.869,95.207,95.601,99.587,100.967,100,101.675,102.906,104.567,105.421,106.13
"86","79","      Gambling (91)","DGAMRA3",7.67,7.956,8.556,9.65,11.067,11.415,11.871,12.787,13.481,14.824,15.341,15.811,18.19,19.735,21.649,23.642,25.944,27.733,29.303,32.843,34.013,36.046,36.247,40.214,46.454,54.128,60.589,65.325,69.332,70.031,76.432,80.151,80.767,84.109,90.209,97.449,100.948,106.074,108.355,104.558,100,98.892,99.79,101.679,103.572,106.41
"87","80","      Other recreational services (81, 94, and part of 92)","DOTRRA3",12.557,12.292,12.441,14.173,15.079,14.987,15.717,17.346,18.556,19.929,22.68,23.521,25.434,26.729,28.271,31.078,33.269,35.793,39.835,43.868,47.352,50.321,50.664,52.502,56.599,61.457,67.553,73.25,77.239,82.219,86.886,89.213,87.357,88.006,89.985,93.987,98.055,102.276,107.969,108.098,100,103.11,103.184,106.884,110.016,117.135
"88","81","    Food services and accommodations","DFSARA3",39.247,40.607,40.564,43.661,45.839,45.419,47.308,50.161,51.502,53.685,55.35,55.375,55.927,56.297,58.147,59.757,60.553,62.303,65.559,69.459,71.378,73.919,73.966,75.85,77.532,78.721,78.862,79.323,81.018,83.132,85.179,89.059,88.893,90.236,93.548,97.314,100.794,104.053,105.373,104.294,100,101.545,104.152,106.85,108.517,111.784
"89","82","      Food services","DFSERA3",41.411,42.843,42.896,45.672,47.867,47.316,49.264,52.129,53.511,55.899,57.604,57.745,58.135,58.769,60.662,61.996,62.588,64.459,67.643,71.846,73.867,76.637,76.636,78.175,80.273,81.28,81.334,81.39,82.473,84.823,86.953,90.787,91.495,92.81,95.909,99.417,102.231,105.141,106.274,104.629,100,101.401,103.884,106.086,107.494,110.797
"90","83","        Purchased meals and beverages (102)","DPMBRA3",40.177,41.814,42.069,44.992,47.251,46.446,48.302,51.088,52.605,54.942,56.593,56.67,57.001,57.628,59.761,61.27,62.045,64.169,67.634,71.933,73.981,76.834,76.852,78.431,80.563,81.572,81.598,81.649,82.763,85.175,87.345,91.268,91.969,93.299,96.4,99.929,102.608,105.303,106.398,104.765,100,101.584,103.961,106.262,107.775,111.151
"91","84","        Food furnished to employees (including military) (103)","DFOORA3",79.394,74.334,68.066,66.164,66.272,73.643,78.413,83.668,80.89,84.838,88.182,90.265,92.475,93.273,87.867,83.869,78.845,72.949,67.499,68.707,69.903,70.118,69.528,69.813,70.834,71.764,72.691,72.909,72.987,73.418,74.261,75.255,76.225,77.043,80.095,82.899,90.091,99.913,102.272,100.24,100,95.578,101.377,100.472,98.612,99.615
"92","85","      Accommodations (104)","DACCRA3",25.069,25.963,25.163,31.002,33.218,33.847,35.42,38.474,39.596,40.275,41.75,40.869,42.695,41.146,42.773,46.369,48.579,49.569,53.378,55.397,56.695,57.813,58.162,62.255,61.361,63.685,64.359,67.247,72.556,73.292,74.868,78.992,73.885,75.394,79.959,85.234,92.534,97.776,100.142,102.27,100,102.444,105.835,111.658,114.966,118.006
"93","86","    Financial services and insurance","DIFSRA3",17.611,18.261,18.929,20.03,21.181,21.693,23.767,25.062,26.624,27.976,28.833,29.199,28.963,31.23,35.72,36.055,39.959,41.819,44.168,45.131,47.565,48.665,52.783,56.5,60.473,61.898,63.987,66.257,69.715,75.856,83.269,91.694,89.849,89.252,89.446,93.015,97.932,100.154,103.28,102.569,100,102.083,103.922,98.252,99.302,100.543
"94","87","      Financial services","DFNLRA3",8.273,8.6,9.325,9.867,10.349,10.552,12.196,13.026,14.024,14.54,14.748,14.693,14.455,16.306,21.135,21.302,24.531,26.472,28.837,28.649,30.415,31.018,33.998,38.204,42.154,45.316,49.06,53.673,57.943,65.338,75.352,85.257,82.204,82.379,82.215,86.213,90.336,93.966,97.91,98.519,100,100.221,101.084,96.76,97.017,97.912
"95","88","        Financial services furnished without payment (107)","DIMPRA3",9.388,10.556,11.6,12.446,13.602,14.094,16.729,17.715,19.278,20.026,20.011,19.246,18.767,21.152,28.115,27.876,32.201,33.537,37.311,37.999,39.849,40.469,44.136,49.835,53.689,57.861,62.805,66.93,70.759,75.803,81.764,85.125,82.123,80.627,79.599,84.567,87.99,87.028,90.439,92.275,100,102.661,105.14,98.714,101.395,105.647
"96","89","        Financial service charges, fees, and commissions (108)","DOFIRA3",8.055,7.09,7.449,7.637,7.204,6.969,7.273,8.022,8.309,8.551,9.17,10.228,10.302,11.649,14.221,14.942,17.068,20.133,20.885,19.645,21.409,22.007,24.327,27.127,31.074,33.266,35.863,40.856,45.466,54.937,68.694,85.13,82.033,84.049,84.849,87.747,92.641,101.497,106.035,105.258,100,97.679,96.85,94.711,92.467,89.955
"97","90","      Insurance","DINSRA3",50.483,52.22,51.773,54.788,58.398,60.076,61.865,64.227,67.192,71.682,75.257,77.69,77.8,79.72,77.379,78.268,82.024,81.599,81.607,87.478,91.208,93.707,100.374,101.43,104.561,100.472,97.556,93.383,94.534,97.27,98.45,103.45,104.153,102.004,102.903,105.625,112.037,111.572,113.117,109.879,100,105.257,108.765,100.763,103.246,105.13
"98","91","        Life insurance (110)","DLIFRA3",66.923,69.458,66.986,68.88,73.116,73.463,75.948,83.366,85.466,90.726,93.351,97.137,98.029,102.992,98.643,98.843,102.25,95.588,87.092,97.93,108.056,112.003,131.892,129.19,137.554,123.265,118.237,106.517,107.175,103.025,99.86,106.215,100.903,89.02,88.055,100.547,106.172,109.987,111.012,110.979,100,107.19,112.754,100.901,106.461,103.847
"99","92","        Net household insurance (111)","DFINRA3",45.063,48.427,49.888,54.839,61.973,78.181,83.218,79.478,86.003,101.768,109.562,107.012,101.46,96.903,94.08,96.928,96.08,95.086,102.776,109.994,110.112,104.57,99.631,90.547,84.622,85.106,80.066,81.242,73.571,83.902,84.434,84.113,83.738,80.076,83.153,90.152,91.69,88.378,105.514,112.991,100,100.753,108.415,106.847,113.015,119.715
"100","93","        Net health insurance (112)","DHINRA3",38.938,40.995,41.375,44.05,46.469,48.72,51.322,54.424,57.248,60.366,65.805,68.698,67.587,67.187,64.865,66.565,71.846,74.85,80.341,84.086,84.927,87.233,89.327,94.189,95.923,95.718,92.091,90.011,91.581,98.728,102.806,109.719,114.241,118.778,121.544,115.69,123.412,120.316,117.644,110.602,100,109.077,113.874,105.68,107.257,111.96
"101","94","        Net motor vehicle and other transportation insurance (116)","DTINRA3",50.694,50.983,51.629,56.437,60.973,62.376,61.851,57.163,61.392,66.433,68.228,68.815,70.114,72.362,72.78,72.787,74.283,76.478,79.878,82.003,81.957,83.648,81.904,82.353,82.142,83.254,84.034,84.423,86.142,88.335,89.618,90.032,91.572,90.083,89.833,94.896,100.466,99.606,108.04,106.581,100,95.583,93.304,89.828,89.724,91.304
"102","95","    Other services","DOTSRA3",34.764,35.884,36.03,37.598,38.662,37.42,37.726,39.165,41.087,43.262,43.646,43.401,43.185,44.083,46.962,49.319,52.736,53.316,57.059,59.353,61.198,62.261,60.02,62.388,63.753,66.242,67.612,69.95,73.909,79.435,81.859,87.652,91.498,91.989,94.551,96.777,97.882,100.801,102.903,102.627,100,100.581,102.504,104.058,104.351,108.522
"103","96","      Communication","DCOMRA3",9.677,10.354,10.702,11.386,12.495,12.982,14.192,15.062,16.132,17.53,18.899,19.957,20.307,20.959,21.722,22.071,23.389,24.326,26.224,27.574,29.269,30.525,31.512,34.553,36.304,38.7,40.816,44.532,49.114,53.307,59.673,68.327,71.969,73.111,75.112,78.924,82.12,87.828,96.691,101.698,100,104.211,111.634,116.139,118.469,125.381
"104","97","        Telecommunication services (71)","DTCSRA3",11.214,12.051,12.572,13.406,14.866,15.668,17.32,18.693,20.102,22.007,23.786,25.081,25.651,26.487,27.397,27.617,29.455,30.575,32.995,35.008,37.479,39.255,41.058,45.517,47.855,50.806,53.441,58.109,64.303,69.415,76.002,84.487,89.392,89.208,89.301,92.514,96.789,101.282,102.516,104.355,100,102.444,107.669,108.133,107.765,113.816
"105","98","        Postal and delivery services (68)","DPSSRA3",82.889,86.154,83.719,87.751,89.566,83.877,84.122,78.179,81.1,83.074,87.75,93.747,91.727,94.365,99.277,107.301,108.166,114.227,122.142,119.57,118.513,118.66,108.609,106.9,109.927,115.541,114.111,117.805,119.469,120.406,117.48,116.688,109.045,101.271,99.622,101.281,102.557,108.285,107.59,110.672,100,93.424,82.003,75.795,71.773,71.031
"106","99","        Internet access (72)","DINTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.022,0.047,0.098,0.213,0.352,0.522,1.163,2.443,3.944,5.072,7.358,13.755,23.216,25.296,30.143,36.264,41.208,42.213,50.001,78.644,92.638,100,111.227,128.691,146.282,157.194,168.244
"107","100","      Education services","DTEDRA3",58.982,62.739,65.577,67.935,70.132,67.827,69.678,71.591,72.247,75.692,75.981,75.986,75.402,74.261,75.65,76.078,77.141,77.685,79.145,82.334,85.906,87.577,86.843,86.991,85.819,86.157,87.328,89.838,92.335,95.041,97.248,100.653,102.513,100.204,99.53,97.486,97.427,98.412,99.82,100.275,100,102.316,102.418,100.463,99.189,98.95
"108","101","        Higher education (97)","DHEDRA3",54.663,59.462,63.523,66.31,68.861,68.123,67.845,68.842,70.262,70.866,72.978,75.122,76.742,77.892,78.014,77.269,76.775,77.007,77.441,78.502,80.541,82.15,82.432,82.051,80.532,80.526,81.092,83.308,86.171,89.109,91.881,95.712,98.363,96.597,97.317,95.921,96.525,97.665,98.525,98.978,100,102.582,102.438,100.477,98.99,97.811
"109","102","        Nursery, elementary, and secondary schools (98)","DNEHRA3",116.355,119.116,123.651,129.702,129.494,124.954,126.343,123.697,121.02,136.916,134.533,132.737,125.79,115.824,118.349,119.394,120.394,118.205,119.612,119.978,127.385,129.395,126.341,125.8,122.318,121.058,120.664,120.497,118.146,115.222,115.175,114.527,114.922,112.845,109.699,106.78,104.266,103.446,103.916,102.734,100,97.604,98.682,97.619,96.523,95.357
"110","103","        Commercial and vocational schools (99)","DVEDRA3",30.595,32.125,31.422,30.905,33.14,29.394,34.932,40.483,41.406,43.115,41.567,38.936,37.881,37.311,40.277,42.639,46.944,49.817,53.658,63.731,68.404,69.956,68.152,70.394,72.214,75.062,79.695,85.596,91.062,98.028,100.266,105.89,106.354,101.908,98.579,95.002,94.751,96.78,101.03,102.963,100,105.568,105.745,103.017,102.42,106.756
"111","104","      Professional and other services (121)","DPRSRA3",58.142,60.359,61.075,62.465,65.108,65.765,65.049,68.074,70.764,75.028,73.607,72.773,73.21,71.572,69.825,72.106,77.009,79.503,81.951,88.167,90.823,92.909,91.262,93.479,93.586,93.067,91.842,93.441,94.938,97.841,100.14,100.733,102.787,102.949,106.7,106.499,106.357,106.983,108.286,106.519,100,97.953,97.779,97.11,96.153,97.266
"112","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRA3",56.406,55.222,52.224,53.372,53.39,50.08,48.778,48.792,51.07,51.496,49.331,46.793,44.323,42.005,48.435,49.129,52.036,55.3,59.237,65.622,68.432,70.887,65.356,71.106,72.424,75.142,79.399,81.967,84.846,89.698,93.901,98.51,97.98,99.463,102.371,106.714,108.753,109.891,109.551,107.152,100,102.422,105.728,108.121,110.462,116.626
"113","106","      Social services and religious activities (120)","DSOCRA3",16.296,16.878,18.184,20.016,20.478,19.253,19.615,21.377,23.038,25.164,27.178,28.34,29.866,31.796,33.882,36.497,40.968,44.598,48.257,49.221,53.501,54.75,55.512,58.619,61.325,63.453,65.72,67.13,69.119,71.813,74.886,78.114,82.685,84.731,87.169,89.814,91.791,94.163,97.296,99.032,100,102.391,103.207,104.453,106.648,109.302
"114","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRA3",67.221,64.3,62.507,63.402,63.847,59.157,55.584,58.268,61.127,62.952,62.393,60.244,58.738,56.311,57.97,64.835,65.995,68.308,68.202,69.468,74.228,76.027,70.258,72.892,75.794,81.94,87.468,88.073,93.3,102.301,102.215,105.477,100.849,97.908,100.387,105.582,106.319,107.039,110.067,109.362,100,96.929,100.561,103.89,107.235,112.25
"115","108","      Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","109","        Foreign travel by U.S. residents (129)","DFTRRA3",23.364,26.425,26.112,28.701,28.123,25.781,25.265,26.532,27.433,28.421,27.722,27.165,28.297,32.485,37.454,55.242,60.874,55.099,68.672,71.149,72.54,76.287,69.876,73.393,77.656,82.594,82.676,86.288,93.796,102.719,91.919,103.331,97.712,93.183,92.736,105.699,107.668,110.752,108.525,106.848,100,103.09,103.968,113.169,116.746,125.909
"117","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRA3",13.706,14.789,15.731,17.042,19.355,20.843,22.466,25.337,25.438,27.134,28.744,31.485,34.625,32.118,28.717,38.814,38.622,44.037,47.276,54.461,63.739,71.342,75.009,82.583,85.931,87.013,92.272,97.931,100.53,98.022,101.718,105.334,90.502,85.422,81.549,89.849,94.071,93.333,101.669,108.827,100,110.483,115.528,119.972,126.704,127.338
"118","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",5.24,5.568,5.893,6.196,6.248,6.149,6.183,6.559,6.673,6.985,7.22,7.595,8.226,9.65,11.201,13.04,14.075,15.982,17.252,19.834,22.811,27.766,31.714,38.301,41.443,45.073,47.225,49.921,45.951,50.456,54.38,58.925,63.79,70.346,74.748,76.198,76.063,85.722,88.005,99.124,100,100.821,99.697,106.646,108.634,110.786
"119","112","    Gross output of nonprofit institutions (133) \2\","DNPERA3",23.098,24.276,26.005,27.489,28.277,28.645,29.742,31.341,32.543,34.327,35.296,36.359,37.862,39.496,40.995,42.423,43.895,46.063,47.925,50.511,52.342,55.48,57.527,60.636,62.138,63.474,64.321,65.963,66.913,70.125,72.512,75.264,78.863,83.542,85.256,87.489,89.66,93.149,95.304,98.382,100,101.255,102.283,105.271,106.549,108.032
"120","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRA3",36.036,37.714,40.585,42.988,44.543,45.592,47.872,50.334,52.613,55.63,57.108,58.442,60.123,60.538,60.798,60.747,62.063,63.616,65.472,67.264,67.608,68.847,69.438,70.441,71.103,71.369,71.634,72.817,75.903,78.513,80.165,82.041,84.987,88.722,89.221,91.771,94.863,95.928,98.034,98.117,100,101.402,103.143,104.847,105.899,107.167
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","2. Gross output is net of unrelated sales, secondary sales, and sales to business, government, and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","rest of the world; excludes own-account investment (construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","3. Excludes unrelated sales, secondary sales, and sales to business, government, and the rest of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Note.The figures in parentheses are the line numbers of the corresponding items in table 2.5.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
