"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"38","30","      Intellectual property products","Y067RA3",1,1.057,1.17,1.335,1.551,1.711,1.818,1.958,2.048,2.167,2.485,2.856,3.336,3.646,3.784,3.783,3.624,3.498,3.374,3.275,3.198,3.09,2.979,2.865,2.522,2.363,2.235,2.187,2.193,2.169,2.191,2.283,2.394,2.626,2.805,3.003,3.196,3.509,3.867,4.011,4.275,4.814,5.272,5.765,6.269,6.478,6.511,6.304,6.127,6.039,6.376,6.933,7.93,9.321,9.896,10.258,10.451,10.813,11.477,12.331,13.376,14.775,16.531,18.692,21.199,23.394,25.613,26.983,28.405,29.72,31.08,32.456,33.723,35.444,37.231,39.202,41.352,42.617,43.178,42.72,41.562,40.934,41.136,42.081,43.529,44.581,45.115,45.15,44.669,44.194
"39","31","        Software","Y068RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188,0.378,0.377,0.563,0.371,0.367,0.365,0.426,0.43,0.432,0.435,0.497,0.498,0.498,1.363,0.494,0.732,0.729,0.903,0.902,0.723,1.079,1.139,1.193,1.194,1.306,1.656,1.715,1.891,1.887,2.007,2.046,2.086,2.303,2.507,2.707,3.036,3.416
"40","32","        Research and development","Y069RA3",1.339,1.415,1.566,1.788,2.077,2.292,2.434,2.622,2.742,2.901,3.327,3.825,4.467,4.882,5.067,5.065,4.853,4.684,4.518,4.385,4.281,4.138,3.989,3.836,3.377,3.164,2.993,2.928,2.936,2.904,2.933,3.056,3.205,3.516,3.756,4.021,4.28,4.698,5.178,5.37,5.724,6.446,7.058,7.719,8.395,8.674,8.718,8.439,8.201,8.083,8.537,9.288,10.632,12.479,13.258,13.714,14,14.489,15.388,16.516,17.933,19.83,22.212,25.113,28.511,31.487,34.086,36.356,38.172,39.956,41.718,43.585,45.39,47.551,49.946,52.593,55.509,57.17,57.76,57.109,55.452,54.602,54.817,56.08,58.024,59.344,59.969,59.919,59.106,58.277
"41","33","State and local","B829RA3",11.86,12.02,12.291,12.481,12.454,12.793,13.011,13.319,13.859,14.632,15.231,15.52,15.898,16.03,16.042,16.051,15.899,16.165,16.245,16.223,16.269,16.608,16.17,16.544,16.893,16.868,17.312,17.727,18.356,18.429,18.934,19.024,19.808,20.064,20.039,20.161,20.375,20.629,20.733,20.946,21.462,21.642,21.949,22.49,23.118,23.455,23.965,24.399,24.495,24.563,24.59,24.465,24.879,25.483,25.859,26.15,26.99,26.807,27.035,27.765,27.56,27.748,28.092,28.385,28.905,29.159,29.93,30.337,30.788,31.482,31.819,32.156,32.443,33.268,34.199,34.699,35.113,35.385,35.796,36.705,37.149,37.353,37.498,38.157,38.855,39.608,40.179,40.512,40.881,41.227
"42","34","  Consumption expenditures","B991RA3",13.728,13.967,14.215,14.29,14.066,14.117,14.147,14.343,14.822,15.204,15.609,15.929,16.348,16.37,16.306,16.28,16.183,16.214,16.316,16.416,16.235,16.822,16.345,16.583,16.903,16.852,17.213,17.204,17.458,17.565,17.926,18.073,18.669,18.801,18.98,19.172,19.162,19.471,19.735,20.012,20.105,20.392,20.813,21.187,21.637,22.102,22.457,22.703,22.67,22.836,23.111,23.408,23.752,24.261,24.421,24.764,25.292,25.656,25.619,25.837,25.866,26.164,26.401,26.676,26.895,27.251,27.737,28.107,28.627,29.055,29.441,29.95,30.305,30.908,31.451,31.93,32.346,32.756,33.22,33.773,33.807,34.167,34.766,35.271,35.981,36.423,37.072,37.61,38.271,38.832
"43","35","  Gross investment","B799RA3",7.772,7.757,8.083,8.53,8.948,9.934,10.579,11.147,11.834,13.519,14.58,14.804,15.089,15.498,15.703,15.796,15.51,16.327,16.356,16.055,16.632,16.391,16.038,16.739,17.158,17.196,17.852,19.33,20.935,20.923,21.809,21.75,23.038,23.634,23.057,22.997,23.796,23.911,23.611,23.665,25.268,25.179,25.2,26.18,27.282,27.274,28.209,29.161,29.617,29.424,28.761,27.445,28.043,28.912,29.904,30.04,31.797,29.99,31.014,33.288,32.372,32.222,32.888,33.228,34.665,34.601,36.24,36.753,36.985,38.494,38.67,38.464,38.533,40.041,42.169,42.724,43.124,42.953,43.194,45.22,46.972,46.673,45.332,46.476,47.11,48.862,49.155,48.792,48.182,47.81
"44","36","    Structures","B842RA3",11.393,11.318,11.815,12.525,12.787,14.53,15.694,16.66,17.919,20.475,22.061,22.311,22.899,23.612,24.033,24.305,23.598,24.975,24.994,24.513,25.334,24.901,24.282,25.424,26.044,26.072,27.139,29.593,32.03,32.03,33.458,33.306,35.6,36.523,35.603,35.619,36.648,36.723,36.116,36.154,38.44,38.133,38.054,39.597,41.646,41.579,43.099,44.632,45.295,44.91,43.745,41.452,42.186,43.528,45.118,45.259,48.232,45.113,46.771,50.541,48.807,48.494,49.547,50.035,52.023,51.763,54.33,55.036,55.151,57.493,57.62,57.084,57.234,59.56,62.911,63.671,64.193,63.661,63.845,67.014,69.951,69.309,67.045,68.931,69.885,72.683,72.944,72.165,71.019,70.231
"45","37","    Equipment","Y070RA3",1.788,1.852,1.916,1.965,2.543,2.402,2.278,2.247,2.099,2.42,2.651,2.801,2.651,2.611,2.512,2.369,2.638,2.626,2.66,2.626,2.801,2.832,2.861,2.889,2.981,3.015,3.038,3.046,3.341,3.302,3.362,3.413,3.262,3.348,3.281,3.146,3.498,3.626,3.739,3.789,4.266,4.446,4.578,4.685,4.416,4.472,4.515,4.581,4.696,4.767,4.827,4.932,5.242,5.34,5.402,5.484,5.425,5.528,5.569,5.583,5.82,5.876,5.916,5.975,6.463,6.61,6.768,6.923,7.249,7.448,7.646,7.88,7.785,7.977,8.165,8.321,8.451,8.721,8.952,9.134,9.026,9.186,9.218,9.192,9.295,9.394,9.669,9.878,10.014,10.199
"46","38","    Intellectual property products","Y071RA3",0.796,0.791,0.79,0.791,0.795,0.804,0.819,0.84,0.866,0.892,0.917,0.941,0.965,0.986,1.004,1.019,1.031,1.045,1.06,1.078,1.098,1.121,1.146,1.173,1.202,1.239,1.283,1.335,1.395,1.447,1.489,1.523,1.548,1.572,1.593,1.611,1.628,1.65,1.68,1.717,1.76,1.804,1.847,1.89,1.933,1.971,2.006,2.037,2.063,2.095,2.133,2.177,2.264,2.392,2.47,2.551,2.597,2.657,2.73,2.818,2.882,2.951,3.051,3.18,3.325,3.48,3.645,3.768,3.864,3.952,4.019,4.092,4.228,4.383,4.565,4.75,4.923,5.127,5.318,5.543,5.711,5.84,5.918,6.033,6.123,6.249,6.361,6.48,6.644,6.831
"47","39","      Software","Y072RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019,0.019,0.019,0.019,0.077,0.192,0.229,0.267,0.246,0.245,0.263,0.299,0.298,0.298,0.335,0.408,0.497,0.605,0.734,0.804,0.841,0.858,0.836,0.815,0.882,0.971,1.094,1.215,1.314,1.441,1.53,1.65,1.67,1.657,1.596,1.616,1.628,1.693,1.74,1.801,1.929,2.075
"48","40","      Research and development","Y073RA3",1.922,1.91,1.906,1.908,1.918,1.941,1.977,2.027,2.09,2.153,2.213,2.272,2.329,2.379,2.423,2.459,2.488,2.521,2.559,2.602,2.651,2.706,2.766,2.832,2.902,2.991,3.098,3.223,3.368,3.492,3.595,3.677,3.738,3.794,3.844,3.889,3.928,3.984,4.055,4.143,4.248,4.353,4.457,4.561,4.665,4.759,4.843,4.916,4.979,5.057,5.148,5.254,5.375,5.502,5.634,5.772,5.915,6.061,6.212,6.366,6.522,6.692,6.875,7.071,7.282,7.484,7.678,7.862,8.037,8.224,8.422,8.632,8.855,9.089,9.333,9.586,9.848,10.138,10.457,10.805,11.184,11.52,11.813,12.06,12.262,12.46,12.655,12.845,13.029,13.243
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
