"","Table 5#8#6A# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"31","23","  Other","A385RX1",60.2,61.4,62.3,62.6,62.4,62.2,62.3,63.3,64,65,64.8,65.6,66.4,67.6,68.1,68.8,69.6,70,71,72.3,75.6,75.2,75.3,77.1,76,76.4,77.4,79.1,80.3,81.5,80.2,80,82.9,82.8,86,86,87.6,88.8,91.3,91.1,91.8,92,91.6,91.1,87.9,89.2,88.3,89.5,91.5,90.6,95.5,99.6,100.5,100.9,99.4,96.5,98.9,98.4,96.6,95.4,95.4,94.9,95.4,96.8,98.3,99.4,101.2,102.4,104.1,106.9,107.6,106.2,106.8,107.3,107.2,108.9,108.3,107.8,107.3,107.2,106.3,103.8,103.8,102.4,103,103.2,102.1,98.4,99.2,101.5,101.6,102.4,104.2,104.2,104.2,105.5,104.7,107.3,107.7,109.3,110.4,112.2,112,114.6,115.7,115.4,115.4,117.3,117.2,117.7,118.5,119.2,121.5,123.8,125.7,127
"32","24","    Durable goods","B386RX1",5,5,5.6,5.5,5.5,5.3,5,5.3,5.3,5.2,4.6,4.2,4.7,4.8,4.7,4.7,5.6,5.3,6,6.3,6.6,6.1,6.4,6.4,5.8,5.6,6,6.1,6.4,6.3,5.8,5.9,5.9,6.6,6.6,6.2,6.8,7.4,7.7,7.4,7.8,8,7.9,7.3,7.2,6.1,6.1,6.9,7.4,7.3,7.4,7.2,7.8,8.1,8,8.5,8.7,8.5,8.6,7.4,8.5,8.6,8.2,7.6,7.6,7.2,6.8,7,6.8,6.4,6,5.9,5.8,6,6.1,6.3,6.1,5.7,5.4,5.8,5.9,6,6.1,6.5,7,7,6.9,6.5,5.6,5.3,6,6,6.8,7,6.4,6.7,5.9,6.2,6.3,7,7.6,7.6,7.8,7.8,8,7.7,7.7,7.9,8.4,8,8.2,8.3,8.6,9,9.3,9.6
"33","25","    Nondurable goods","B387RX1",56.2,57.5,57.7,58,58,57.9,58.3,59,59.7,60.9,61.3,62.5,62.9,63.9,64.6,65.3,65.1,65.8,66.1,67.1,70.2,70.3,70.1,71.9,71.3,72,72.6,74.3,75.2,76.4,75.7,75.3,78.2,77.4,80.7,81.1,82.2,82.8,85,85.1,85.4,85.4,85.1,85.1,82.1,84.3,83.4,83.9,85.5,84.7,89.5,93.8,94.2,94.4,92.9,89.8,91.9,91.6,89.7,89.4,88.6,87.9,88.8,90.7,92.2,93.7,95.8,96.8,98.7,101.8,102.9,101.5,102.3,102.6,102.3,103.9,103.6,103.4,103.2,102.7,101.6,99.1,99,97.1,97.3,97.5,96.5,93.2,94.8,97.3,96.8,97.7,98.7,98.6,99,100.2,100.1,102.4,102.7,103.6,104.2,106,105.6,108.2,109.1,109.1,109.1,110.9,110.2,111.2,111.8,112.4,114.4,116.4,118,119.1
"34","26","Residual","A968RX1",12.8,12.4,12.2,12.7,12,11.2,11.3,9.2,9.5,9,9.2,7.4,8.1,7.9,7.7,8,6.7,8.8,10.6,9.1,6.1,4.5,4.8,2.1,4.2,5.7,4.5,3.2,2.3,1,1.2,2.4,0.9,0.5,-0.2,-0.1,-0.3,0.3,0.9,0.2,1.6,2,2.4,2.8,2.4,1.6,0.4,-0.1,0.2,0.5,0.4,-0.2,-1.2,-0.9,-1.4,-3.6,-4.9,-4.2,-5.5,-4.8,-5.4,-4.9,-4.6,-2.8,-3.4,-3.6,-4.4,-5.9,-6,-6.8,-8.1,-9.3,-8,-6.6,-7.2,-6.4,-6.7,-7,-5.6,-4.2,-2.5,-2.8,-3.1,-2.6,-3.2,-3.2,-3.1,-8.9,-10.7,-11.8,-12.4,-13.9,-15.5,-15.6,-16.5,-18.1,-17,-17.5,-17,-15.8,-15.5,-14.7,-14.3,-13.9,-13,-11.5,-10.6,-9.4,-9.5,-8.7,-7.3,-8.3,-7,-6,-6.5,-4.3
"35","27","    Final sales of domestic business \5\","A809RX1",234,234.4,235.5,235.2,236.5,236.3,238.8,237.5,241.1,243.1,245.7,249.5,253.1,258.1,261.8,269.9,277.7,279,279.5,278.9,276.9,277,275.2,268.7,270.5,273.7,277.1,281.5,287.1,287.8,290.2,295.5,298.6,304.5,308,311.3,310.7,326.4,329.6,334.5,335.3,334.8,341.6,342.4,342.5,331.8,338.2,342.5,344,344,343.9,340.6,338.2,337.7,333.6,339.2,343.4,349.5,356.9,365.2,368.1,375.5,379.4,385.8,394,396.9,403.5,404.6,409.1,411.1,417.4,420.6,419.1,426.4,432.8,432.6,440.9,447.8,450,455,458.3,462,468.8,468.2,473.7,473,473.7,469.8,465.3,470.2,471,470.6,480.5,484.8,489.7,495.9,495.1,499.9,504.4,512.1,515.6,520.7,526.5,532.7,535.8,540,548.5,553.9,560.1,569.1,572.6,583.1,588.3,592.6,604.7,608.1
"36","28","    Final sales of goods and structures of domestic business \5\","A810RX1",138.8,138.3,138.9,137.8,138.1,137.3,138.7,137.6,139.9,141,142.8,144.6,146.9,150.5,152.2,157.8,163.2,163.4,163.1,162.6,161.8,160.9,159.3,153.1,153.6,154.7,157.7,160,163.6,164,164.7,167.6,169.3,173.8,175.6,177.5,175.8,187.5,189.8,193.5,193.3,192.6,198.1,198.1,198,190,193.7,195.9,197.6,196.7,196.9,194.5,192.2,191.4,187.2,190.1,191.8,195.7,200.7,207.1,209.1,214.6,216.7,221.2,225.1,226.4,230,229.7,232.7,233.5,237.9,238.8,235.2,240.1,244.9,244,248.5,252.9,252.6,256.2,257.6,260.7,265.5,263.2,267.5,264.4,263.8,260.9,257.7,259.2,259.2,257.4,262.5,264.9,267.5,271.2,270.1,274,276,282,283.5,286.6,290.2,294.8,296.5,297.7,302.9,306.9,310.4,317,320,327,330.6,333.1,341.9,343.2
"37",NA,"Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","29","  Private inventories to final sales","A811RX2",3.35,3.38,3.41,3.43,3.42,3.44,3.42,3.42,3.42,3.43,3.42,3.37,3.33,3.31,3.3,3.22,3.16,3.19,3.21,3.27,3.32,3.36,3.39,3.51,3.47,3.4,3.36,3.3,3.27,3.31,3.32,3.27,3.26,3.24,3.26,3.26,3.31,3.18,3.19,3.18,3.21,3.25,3.2,3.2,3.21,3.32,3.22,3.17,3.2,3.21,3.26,3.31,3.32,3.32,3.36,3.26,3.18,3.12,3.06,3.01,3.05,3.05,3.08,3.07,3.02,3.01,2.98,2.99,2.98,2.98,2.93,2.9,2.94,2.9,2.86,2.91,2.86,2.83,2.83,2.82,2.83,2.83,2.79,2.81,2.78,2.81,2.82,2.84,2.85,2.81,2.81,2.83,2.77,2.76,2.74,2.72,2.75,2.74,2.71,2.68,2.69,2.71,2.71,2.72,2.74,2.74,2.7,2.68,2.65,2.62,2.63,2.6,2.6,2.63,2.61,2.63
"39","30","  Nonfarm inventories to final sales","A812RX2",2.6,2.63,2.66,2.7,2.68,2.7,2.7,2.71,2.7,2.71,2.7,2.67,2.64,2.63,2.63,2.58,2.55,2.57,2.59,2.65,2.71,2.75,2.78,2.91,2.85,2.78,2.74,2.7,2.68,2.72,2.73,2.71,2.71,2.68,2.7,2.7,2.74,2.65,2.65,2.66,2.68,2.72,2.67,2.67,2.69,2.79,2.71,2.67,2.69,2.7,2.73,2.78,2.77,2.76,2.79,2.7,2.64,2.59,2.57,2.54,2.58,2.58,2.61,2.61,2.56,2.55,2.52,2.53,2.53,2.53,2.49,2.47,2.5,2.48,2.45,2.5,2.47,2.45,2.46,2.46,2.47,2.47,2.45,2.46,2.44,2.47,2.48,2.49,2.5,2.46,2.47,2.48,2.43,2.41,2.4,2.38,2.41,2.4,2.39,2.37,2.37,2.38,2.38,2.39,2.41,2.42,2.4,2.38,2.36,2.33,2.34,2.31,2.31,2.34,2.32,2.35
"40","31","  Nonfarm inventories to final sales of goods and structures","A813RX2",4.39,4.46,4.51,4.6,4.59,4.65,4.64,4.68,4.66,4.66,4.65,4.61,4.55,4.5,4.52,4.41,4.33,4.39,4.43,4.55,4.64,4.73,4.8,5.11,5.03,4.92,4.82,4.74,4.69,4.77,4.82,4.78,4.78,4.7,4.74,4.73,4.85,4.61,4.61,4.59,4.65,4.72,4.6,4.62,4.64,4.87,4.73,4.67,4.69,4.71,4.77,4.86,4.87,4.87,4.97,4.81,4.72,4.63,4.56,4.48,4.54,4.52,4.58,4.55,4.48,4.48,4.42,4.46,4.45,4.46,4.37,4.34,4.46,4.41,4.32,4.43,4.38,4.34,4.39,4.37,4.4,4.38,4.32,4.38,4.33,4.42,4.45,4.48,4.51,4.47,4.48,4.54,4.44,4.42,4.39,4.35,4.42,4.39,4.37,4.3,4.31,4.33,4.32,4.32,4.36,4.39,4.34,4.3,4.26,4.19,4.18,4.12,4.12,4.16,4.11,4.16
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Inventories are as of the end of the quarter.  The quarter-to-quarter changes calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","from this table are at quarterly rates, whereas the change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","component of GDP is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Beginning with the fourth quarter of 1990, farm inventories includes materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3. Prior to the fourth quarter of 1958, inventories held by construction establishments are included in line 5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","4. Prior to 1981, inventories of auto and home supply stores are included in motor vehicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","dealers.  Beginning with 1981, these inventories are included in ""other durable goods.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","5. Quarterly totals at monthly rates.  Final sales of domestic business equals final sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","domestic product less gross output of general government, gross value added of nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","institutions, compensation paid to domestic workers, and imputed rental of owner-occupied nonfarm housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","It includes a small amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Note.  Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","periods are based on the 1972 Standard Industrial Classification (SIC).  Manufacturing estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","for 1981 and earlier periods and trade estimates for 1966 and earlier periods are based on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1972 SIC; later estimates for these industries are based on the 1987 SIC.  The resulting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","discontinuities are small.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Note. Chained (2009) dollar inventory series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","quantity index and the average of the end-of-year fixed-weighted inventories for 2008 and 2009, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","by 100. Chained (2009) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","index and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","estimates are usually not additive. The residual line is the difference between the first line and the sum of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
