"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218"
"31","23","    Paper manufacturing","KP3220",16079,16622,16487,16780,16557,16610,16363,16653,16670,16794,16992,16869,16756,16690,16706,16818,16962,16828,16808,16876,16581,16667,16493,17020,17008,17535,16501,16661,16582,16612,16608,17399,17182,16902,17428,17353,17196,17062,17146,17090,16451,16551,16638,16043,16617,16117,16457,16500,15864,16390,15861,15419,15458,14962,15840,16071,15670,15943,15761,15144,15502,15183,15422,15774,15992,15610,16057,16070,16318,16124,15868,15984,15858,15936,16054,15601,15490,15577,15368,15061,15141,15252,15123,15098,15768,15364,15645,15536,15364,15812,15558,15554,15274,15142,15325,15377,15692,15816,15756,15776,15716,15764,15251,15108,14884,15239,15280,15411,15721,15350,15433,15201,15584,15303,15010,15121,14977,15080,15017,16286,15346,15419,15511,15566,15722,15659,15756,15578,15663,15552,15643,15556,15681,15291,15219,15353,15045,15042,15043,14912,14711,14327,13989,13342,12895,14099,13200,13168,13320,13509,13493,13495,13531,13630,13695,13802,13800,13843,13918,13707,13667,13501,13674,13735,13750,13640,13596,13695,13889,13831,13871,13772,13666,13707,13693,13618,13546,13614,13694,13629,13578,13462,13492,13533,13512,13480,13496,13453,13460,13483,13328,13176,13094,13070,13022,13065,12975,12901,12893,12860,12877,12742,12627,12657,12732,12809,12818,12909,12977,12808,12882,12886,12867,12913,12753
"32","24","    Printing and related support activities","KP3230",9428,9667,9446,9473,9581,9661,9503,9487,9732,9633,9679,9564,9610,9633,9691,9675,9609,9515,9641,9727,9711,9757,9950,9344,9846,9791,9663,9652,9565,9670,9703,9719,9688,9679,9775,9780,9772,9645,9561,9795,9977,9974,9971,9695,9673,9581,9508,9710,9656,9754,9634,9380,9462,9236,9266,9204,9008,8991,8870,8878,8806,8725,8842,8739,8664,8732,8679,8936,8860,8954,8855,8855,8626,8743,8702,8733,8578,8395,8216,8438,8352,8185,8486,8413,8286,8262,8366,8288,8382,8663,8552,8385,8504,8511,8462,8616,8714,8683,8649,8576,8578,8567,8492,8586,8721,8659,8460,8463,8560,8574,8484,8655,8767,8731,8680,8648,8574,8554,8744,8794,8704,8763,8793,8739,8743,8742,8759,8799,8709,8915,9036,8683,8805,8418,8572,8707,8358,8360,8212,7983,7866,7850,7559,7409,7347,7236,7100,6951,6866,6804,6920,6838,6773,6692,6729,6834,6713,6779,6969,7064,6954,6965,6910,6792,6888,6799,6811,6880,6857,6848,6895,6735,6995,6755,6648,6757,6708,6558,6633,6602,6455,6455,6501,6503,6755,6488,6502,6585,6533,6587,6504,6415,6532,6471,6308,6398,6368,6126,6225,6151,6107,6124,6096,6099,6160,6122,6170,6169,6159,6289,6259,6177,6245,6236,6272
"33","25","    Petroleum and coal product manufacturing","KP3240",36379,36337,35532,36336,38297,38785,39375,39914,39228,39143,37480,36558,36382,37409,37441,37747,38051,38702,37744,38752,39108,37916,36443,37929,36280,39657,39241,35746,37628,39509,38497,37685,38416,39342,40251,38318,38806,37739,36850,36603,39095,38301,37329,37981,37374,37814,38409,36199,37652,37379,36344,36370,37371,35642,36786,39141,35950,40841,40663,43990,44383,42391,40671,37961,40728,39537,39515,39173,38751,36773,37977,38159,37153,33414,32203,34188,39299,37959,36966,37552,38036,39138,37957,38363,37208,37958,40025,39368,39843,39964,39740,39509,40760,39650,40020,42542,42876,42927,43865,44081,43844,44701,43826,45451,43062,38369,41699,42186,43606,42873,43379,40967,42664,40517,43440,40792,42338,40681,40750,41169,46361,47098,43093,40032,38593,40158,37707,40066,43139,46336,45696,47162,47304,47094,42267,44263,42179,42013,39512,41724,35874,39786,39107,41983,43503,44583,41967,38826,38681,39931,38814,38856,41832,44350,42287,42825,39228,42103,41355,39445,37100,38154,38321,38193,38357,39230,40718,42578,43850,41572,39845,39106,36635,37912,38571,39277,39180,40584,41500,41862,41537,42407,40475,38632,39564,39096,41662,41329,41505,42040,44057,44499,44996,44321,41410,40572,40986,40890,43507,42148,41402,41962,44335,45408,44319,43940,42087,41898,42709,43090,41773,41375,41477,42274,44924
"34","26","    Chemical manufacturing","KP3250",50622,51661,51602,51389,51897,51737,51405,52099,51844,52376,52720,51600,52495,52482,51361,51297,51667,51337,50748,50719,51224,50271,50516,51112,50233,51339,50976,51397,50775,51491,51591,51461,52012,52432,51821,51802,52346,51940,52360,53911,52581,53791,53510,53104,54091,52752,52328,53926,52309,53292,51654,50884,51591,49412,50617,51304,49901,50463,51645,51587,51892,52337,52655,53099,55011,57578,52958,53744,57123,55205,54911,55180,55001,55596,55507,52999,53080,53948,56814,55031,56507,56719,55456,55384,55969,55598,57132,56966,57739,58320,58841,58591,58026,60021,59972,59224,60072,60047,60438,60907,60463,60167,61076,62237,61280,60231,61598,60812,62248,60874,61400,62344,62846,62399,63014,63807,62313,61781,62009,63306,63004,64483,65173,65728,66444,66084,66316,66194,66015,67423,66415,67098,66146,64932,63786,64113,63665,64513,63056,61106,57165,58002,52924,50981,50973,51705,50607,50574,51104,51951,51923,52155,52378,53323,53982,54184,54122,54633,55774,55804,55196,55749,56280,57340,58523,56960,58324,58634,58604,57960,59434,59690,59312,59725,58646,59228,58113,57180,57866,57952,57253,57702,57102,56685,55478,54415,55507,55912,56152,55923,56229,56203,56060,55652,54968,54614,55731,55038,55354,55379,55654,55884,55966,56447,54839,54257,53725,53894,53429,53596,53579,53700,53569,52822,53231
"35","27","    Plastics and rubber product manufacturing","KP3260",16496,16722,16807,17036,16774,17113,17159,17237,17388,17433,17912,17918,17579,17678,17595,17505,17711,17409,17635,17892,17911,17983,17972,18148,18274,18827,18356,18209,18457,18451,18338,18596,18554,18855,18937,18989,19216,18570,19069,19687,19042,19313,18916,18650,18749,18487,18177,18146,17765,18048,17744,17313,17278,17068,18715,18428,18135,17920,17964,18114,18102,18205,18205,18802,18776,18233,18398,18307,18076,18258,18355,18174,18344,18233,18698,17783,18040,18163,18576,18228,18426,18487,18122,18324,18244,17524,18951,18489,18312,18572,18512,18608,18530,18474,18548,18734,18742,18661,18685,18810,18695,18464,18469,18670,19284,19235,19336,19077,19091,19190,19060,18800,19139,19261,18725,19110,18811,18450,18443,18851,18619,18548,18863,18912,18892,18583,18531,18389,18302,18578,18587,18102,18192,17957,17441,17902,17689,17711,17323,16626,16550,15896,15192,14968,13934,14477,13887,13817,13874,14003,14359,14352,14411,14579,14787,14940,14930,15177,15297,15368,15341,15203,15196,15326,15359,15308,15503,15738,15579,15356,15551,15409,15330,15530,15558,15617,15706,15735,15731,16078,15986,15965,16102,16038,15839,15780,16109,16075,16066,16141,16298,16199,16655,16398,15790,16094,16162,16213,16092,16265,16334,16521,16467,16367,16273,16516,16583,16469,16656,16521,16604,16598,16592,16566,16504
"36","28","Merchant wholesale industries","KP42W0",219215,225334,223685,223842,226370,227536,228835,227713,231956,230899,231761,231184,236021,236956,239643,240883,241477,241604,243078,244552,246665,247364,248306,251727,250035,254964,257272,256531,262230,264183,264749,264931,266048,269854,271635,271571,273909,269787,271761,275867,275268,277794,277644,278981,279092,279724,277522,281231,281079,280664,277567,277111,277753,273690,277998,279055,277802,277570,279435,280072,281870,283265,280366,285345,287226,289168,288420,290542,288664,285388,291094,287630,289971,285806,288107,288684,289129,292169,295169,293284,294323,297145,297882,298289,296548,302726,310315,309106,308577,310202,310535,312549,311928,310883,313687,320339,321574,321008,316635,322142,322795,323181,324818,326779,327367,330185,329558,331908,332028,335986,335932,334517,336775,337564,339776,341268,340783,340586,339249,343563,340638,342019,343176,346494,348876,349265,345572,350102,349699,349198,347375,344042,347667,343872,341899,346882,346725,348973,341986,340517,331712,332334,320737,321146,309251,314093,306257,305985,305671,302789,311331,306568,308479,306750,312227,310220,306666,312982,314447,319455,323128,329630,332819,331764,327911,329175,329888,325625,333329,323309,331072,330347,331059,336472,337413,341773,336232,339719,333131,337125,338554,340685,341578,347861,349132,348765,347719,345296,347821,342527,351297,352429,351294,352478,351165,355838,363332,362582,360571,362839,366192,369791,374953,374413,366908,368918,375927,378609,381351,381917,384928,383287,385555,388643,389545
"37","29","  Durable goods merchant wholesale industries","KP42WD0",90457,93844,92484,93848,94282,95181,96402,95503,98301,97912,98639,98216,100494,101256,102577,103463,103203,103952,104559,105061,105105,105749,105946,107163,108551,111441,112098,112453,114715,115677,116746,117110,117999,120197,120743,122425,123506,121911,122441,124082,123777,124230,124302,125364,125434,125959,125042,124218,124743,125244,124505,123169,123503,121098,122343,123237,121543,120127,121677,121144,122232,123726,122466,124471,125565,126434,126158,127573,126581,124819,126108,123881,125894,124135,126928,126920,126991,128979,130382,129346,131240,132641,134232,134460,133955,137646,142317,143747,143914,144701,145344,145236,144070,145589,147348,150921,150424,150696,149744,152065,152452,153356,154424,155875,156781,160695,159832,163190,163675,165110,164100,162616,166011,165739,167150,168615,168471,169744,170237,172270,171393,170175,171605,172299,171597,172319,170838,173830,174177,174425,176016,170733,175296,171170,173100,175236,173765,174102,171208,167629,165799,160962,152807,147771,138769,142658,136554,135048,134993,136230,138282,138841,139892,141083,143000,143915,143835,145960,147703,151395,152478,154411,156720,157442,157117,158869,159003,159190,163438,160275,164718,164350,162279,165417,170545,173214,170583,172129,170769,175089,175304,176789,175986,175441,176993,176317,176409,176822,178313,177131,181701,180116,182237,182190,181208,183102,184613,186636,184768,186218,189975,189617,188190,188461,186282,186632,189984,192972,193581,196409,196806,197011,198042,199015,199921
"38","30","    Motor vehicles, parts, and supplies wholesalers","KP42110",14229,14475,14458,14150,14749,14817,14633,13807,14876,14927,14786,13669,14954,14823,15415,15488,15559,15420,15634,15847,16029,15734,15913,16054,16070,17672,17010,17354,17633,17884,18302,17948,18369,18829,18513,18746,18483,18538,18350,18750,18333,18678,18369,18780,18794,18804,18940,18689,19041,19075,19372,19509,20066,19835,19853,20207,19251,20360,20589,19779,20502,20743,20708,21281,21332,21401,21788,22986,22031,21414,22457,21880,22232,20958,21666,22122,22120,22462,22683,22323,22677,22725,23452,24075,22525,23773,24211,25089,24425,24936,24591,24355,24777,24843,24071,24688,24289,25124,25162,24792,25037,25830,26234,27061,26159,27227,26881,27472,27908,28414,27592,27429,28718,28649,29407,29225,28574,30215,30100,31550,29843,29578,29859,30466,28847,28880,28893,29504,30527,29964,29648,28248,29086,27646,28963,28422,28616,26982,26555,25068,25658,24158,21991,19938,18964,19415,19492,18611,19283,21064,21385,22140,21989,22893,23032,22899,22883,23612,23294,23769,23697,24583,24785,24596,24454,24935,24107,24744,26389,26096,26053,25980,23218,24931,26513,27138,27417,28993,28361,29920,30523,30484,30001,30171,30358,30559,30753,31311,31119,30456,30980,30750,31001,30735,31123,31315,32225,32454,31329,31041,33838,31920,32289,31904,31222,31159,31688,32732,33263,34033,34034,33559,34140,33400,33720
"39","31","    Furniture and home furnishings wholesalers","KP42120",4095,4300,4016,4107,3973,3970,4026,3974,4371,4323,4225,4331,4437,4249,4373,4327,4314,4426,4370,4432,4440,4362,4563,4506,4529,4628,4585,4632,4708,4697,4939,4865,4828,5001,4937,5047,5152,5196,5159,5270,5343,5364,5337,5319,5474,5434,5332,5324,5330,5346,5397,5278,5121,5170,5163,5226,5124,5249,5287,5220,5312,5253,5342,5382,5349,5559,5328,5349,5298,5222,5353,5085,5292,5413,5396,5283,5443,5466,5554,5548,5579,5515,5499,5577,5641,5609,5724,5795,5847,5636,5783,5987,5918,5715,5719,5796,5746,5755,5696,5842,5758,5933,5860,5967,5907,6081,5860,6150,6146,6222,6217,6194,6180,6265,6279,6285,6315,6285,6387,6374,6305,6230,6366,6220,6365,6204,6108,5914,5895,6048,5939,5817,6073,5807,5684,5980,5627,5594,5584,5524,5530,4978,4888,4667,4473,4516,4334,4336,4187,4125,4196,4209,4245,4121,4061,4209,4241,4324,4376,4339,4432,4534,4243,4351,4305,4248,4317,4402,4302,4165,4305,4250,4248,4322,4549,4367,4336,4464,4428,4475,4598,4552,4530,4454,4518,4423,4394,4451,4458,4427,4473,4394,4419,4529,4474,4665,4745,4813,4842,4806,4824,4832,4909,4914,4739,4705,4672,4817,4693,4699,4746,4825,4920,5094,5189
"40","32","    Lumber and other construction materials wholesalers","KP42130",6489,6831,6746,6876,6589,6798,6791,6858,6845,6759,6647,6882,6973,6941,6879,6993,7074,7262,7402,7436,7418,7545,7576,7598,7381,7534,7624,7687,7780,7833,7744,7634,7808,7939,8136,7921,7982,7766,7865,7748,7834,7823,7697,7733,7766,7741,7720,7916,7877,7960,7982,8075,8095,7844,8094,8111,7998,8187,8309,8544,8573,8929,8768,8873,8616,8626,8356,8446,8572,8574,8449,8375,8972,8629,8976,8923,8898,9257,9583,9519,9836,9989,9944,9322,9483,9654,10377,10425,10400,10198,10242,10315,10063,10003,10227,10677,11037,10915,10664,10724,10788,10657,10967,10983,11243,11491,11741,11839,12731,11869,11723,11349,11107,11124,11074,11102,10738,10682,10647,11048,10829,10364,10884,10594,10707,10613,10133,10102,9983,9881,9957,9713,9792,9796,9767,10193,9941,9957,9894,9267,9251,9177,8380,7845,7658,7974,7754,7733,7681,7696,7596,7593,7448,7139,7191,6894,6868,6634,7461,8080,7340,7353,7349,7228,7158,7308,7355,6865,6858,6895,7563,7409,7632,7662,7520,7758,7724,7681,7609,8016,7835,7913,8117,8106,7838,7761,7830,7770,7967,7993,8111,8253,8225,8308,8209,8162,8317,8269,8570,8531,8388,8443,8262,8407,8238,8010,8148,8336,8497,8568,8557,8514,8604,8592,8509
"41","33","    Professional and commercial equipment wholesalers","KP42140",6144,6532,6437,6641,6807,7011,6976,7094,7395,7483,7794,7881,8091,8401,8529,8801,8762,9050,9196,9546,9541,9824,9698,10059,10460,10740,11035,11171,11531,11751,11951,12176,12133,12632,12685,12800,12730,12615,12811,12957,12765,12569,12720,13149,13027,13376,13015,12530,13377,13624,13590,13902,14089,13796,14052,13939,13958,13644,13923,14277,14464,14612,14638,14594,15137,15732,15553,15907,16243,16104,16186,15838,15964,16207,16512,16710,16331,16431,16689,16448,16552,16791,17293,17403,17905,18213,18204,18191,18368,19001,19449,18826,18762,19198,19708,20095,20007,20111,20083,20484,21117,20902,21242,21819,22510,22242,22235,22854,22652,22915,23624,23223,23392,23395,23665,24078,24717,25200,25212,25358,25736,25797,25965,26165,26647,27421,27248,27702,27556,27986,28304,27960,28285,28364,28573,28659,28457,29025,28750,28912,29406,28396,27675,27273,26109,26815,26905,27350,27129,27301,27908,27602,28062,29129,29618,30153,30432,30056,30324,31378,31660,31908,32546,32523,32843,33263,33273,33713,35261,34389,34890,35442,34453,35215,36969,36325,35725,36202,35903,35443,35701,35927,36006,36530,36545,36456,36210,35744,36007,36061,37589,36804,37031,37313,37097,36788,37082,37494,37445,38178,38109,38015,37853,38507,37942,38156,38695,39725,39428,40233,39847,39712,40078,40617,40980
"42","34","      Computers and software wholesalers","KP42430",1366,1451,1441,1526,1584,1650,1664,1745,1834,1841,1981,1993,2061,2190,2284,2432,2439,2561,2584,2661,2635,2711,2734,2812,3052,3211,3329,3370,3547,3505,3750,3869,3825,4088,4036,4127,4124,4075,4231,4278,4192,3976,4107,4335,4222,4364,4366,4016,4470,4489,4489,4451,4619,4500,4535,4589,4767,4571,4640,4796,4805,4872,4838,4805,5122,5405,5464,5684,5710,5659,5493,5481,5475,5636,5700,5927,5609,5623,5806,5602,5678,5924,6008,6098,6393,6476,6553,6648,6573,6865,7225,6722,6764,6899,7328,7570,7708,7746,7682,7923,8285,7991,8259,8570,8952,8632,8576,8750,8791,9043,9152,9289,9145,9262,9505,9700,10049,10195,10376,10352,10428,10299,10636,10638,11120,11834,11681,11849,11781,12275,12842,12510,12506,12669,12855,13034,13088,13461,13137,13510,14246,13308,13037,13090,11905,12547,12886,12944,12874,13390,13815,13570,14227,15036,15509,16258,16305,16064,16272,17370,17835,17945,18397,18338,18717,19050,18960,19037,20422,20028,20200,21141,20256,20346,21944,21332,20911,21565,21088,20463,20715,21274,21229,21805,21567,21235,21165,20789,21109,20861,22296,21988,21613,22032,21899,21611,22178,22760,22805,23355,22606,23245,22396,22881,22976,22441,23446,24303,23825,24006,24175,23836,23991,24368,24597
"43","35","      Other professional and commercial equipment wholesalers","KP424X0",8670,9233,8998,8944,9009,9129,8905,8643,8901,9126,9045,9231,9378,9407,9155,8973,8828,8869,9128,9607,9738,10030,9581,10054,9784,9654,9770,9890,9892,10579,9919,9888,9986,9944,10288,10153,10022,9988,9775,9900,9850,10299,10094,10088,10275,10444,9714,10046,10072,10470,10405,11105,10902,10742,11089,10716,10215,10252,10531,10692,10978,11039,11172,11187,11226,11448,11002,11004,11482,11394,11941,11423,11639,11631,11952,11728,11893,12013,11983,12083,12067,11876,12435,12397,12492,12764,12583,12362,12779,13083,12984,13126,12948,13289,13156,13229,12850,12928,13015,13114,13308,13545,13521,13738,13986,14178,14263,14761,14436,14363,15071,14365,14787,14613,14578,14785,15044,15407,15166,15367,15702,15948,15681,15902,15817,15770,15776,16076,15999,15865,15522,15548,15911,15808,15818,15706,15429,15609,15679,15432,15141,15111,14653,14175,14231,14274,14012,14401,14250,13903,14083,14020,13828,14090,14112,13916,14145,14010,14074,14057,13889,14028,14223,14256,14213,14310,14404,14757,14967,14498,14820,14502,14361,14994,15232,15165,14974,14857,14986,15094,15116,14852,14963,14958,15170,15364,15199,15088,15060,15308,15512,15061,15562,15478,15392,15347,15159,15065,14987,15200,15723,15145,15659,15854,15290,15885,15584,15821,15928,16487,16024,16166,16363,16542,16683
"44","36","    Metal and mineral (except petroleum) wholesalers","KP42150",11329,11603,11171,11738,11514,11854,11724,11732,11941,11942,11964,12026,11657,11656,12002,11708,11679,11684,11765,11889,12011,11904,11960,11997,12611,12436,12479,12119,12107,11998,12013,11730,11820,12291,12540,12861,13343,12847,12924,12706,12588,12595,12570,12568,12523,12527,12865,13149,12279,12470,12047,12181,12413,12253,12073,12324,12103,11758,11751,11463,11483,11398,11262,11677,11585,11944,11739,11446,11268,11370,10790,10531,10547,10273,10598,10451,10713,10678,10946,10740,10914,10823,11059,11316,11384,11617,12809,12622,12106,12514,12361,12637,12429,12167,12297,12686,12600,12588,12425,12672,12762,12958,12730,12947,12916,13750,13347,14043,13185,13427,13408,13079,13100,13399,13123,12993,13288,13308,13681,13387,13576,13450,13077,12796,12602,12464,12427,12618,12093,12816,12868,12585,12578,12107,11940,11142,10921,10639,10594,10886,11144,12290,12252,12194,10442,10349,9421,9078,8204,8288,8142,7991,7864,7973,8156,8132,8173,8239,8375,8224,8653,8823,9018,9151,9309,9173,9209,9094,9286,8934,9558,9030,9395,9449,9956,10096,10020,10329,10500,10866,10573,10546,10451,10286,10295,10541,10420,10341,10382,10572,10618,10634,10353,10625,10366,10625,10437,10532,10546,10650,10938,11312,10904,10621,10468,10804,11105,10891,11300,11608,12099,12281,12392,12624,12628
"45","37","    Electrical goods wholesalers","KP42160",13915,14138,14230,14291,14558,14543,14914,14968,14888,14575,14682,14937,14853,15040,15245,15308,15471,15305,15445,15348,15382,15784,15530,15538,15651,16141,16318,16508,16754,17041,17400,17601,17848,18218,18749,19457,19857,19534,19570,19951,20230,20798,20714,21077,21107,20657,20525,20940,20548,19876,19740,18873,18400,17379,17904,17821,17750,17820,18524,17790,17937,18091,17832,18183,18556,17939,18130,17946,17923,17724,18085,17978,18006,18315,18631,18500,18303,18998,19263,19005,19572,20222,20154,19970,20188,21045,21177,21923,22995,22498,22363,22622,22229,22247,22484,23034,23385,22709,23331,24071,23753,23761,23918,24068,24014,24728,24303,24545,24930,25504,25369,24923,26101,25846,26479,27362,27745,27474,27846,28755,28807,28556,28761,28193,28120,28792,28632,28962,29969,30123,30692,29699,30460,28843,29557,30713,30807,30806,31102,29882,29627,28562,26110,27005,26087,26609,24192,25700,25510,24294,25290,25844,25511,26716,27554,26992,26764,28155,28034,28939,29021,29681,30290,30454,29888,29939,30018,29768,30315,29712,30933,30904,31332,31266,30485,31090,31376,31456,31328,31881,32145,32413,32221,32478,32778,32578,32987,33062,34061,34177,34917,34922,34844,34239,34495,34513,34623,35964,35400,35056,36048,36037,35847,35984,35549,34996,36507,37119,36648,36867,36609,36718,36980,37843,38815
"46","38","    Hardware and plumbing and heating equipment wholesalers","KP42170",6717,6760,6782,7029,6809,6826,7027,6906,6995,7072,7029,7056,7235,7187,7024,7072,7207,7279,7322,7194,7172,7127,7343,7398,7425,7391,7484,7453,7506,7467,7526,7557,7456,7458,7499,7548,7672,7673,7768,7774,7894,7898,7762,7717,7800,7834,7652,7754,7526,7577,7458,7022,7387,7095,7222,7310,7270,7419,7511,7493,7512,7729,7603,7651,7449,7378,7403,7599,7363,7272,7279,7152,7467,7371,7635,7584,7756,7773,7874,7911,8067,8013,8106,8005,8050,8015,8604,8551,8550,8625,8573,8582,8610,8529,8662,8737,8877,8917,8860,8844,8931,9055,9106,9205,9315,9755,9945,9973,9687,10187,10156,10294,10747,10301,10191,10325,10130,10113,9918,10181,9865,10151,9709,10277,9883,10084,9898,10132,10054,10118,9930,9772,9786,9516,9574,9587,9527,9490,9496,8787,8811,8671,8151,8147,7808,8090,7543,7332,7395,7295,7512,7312,7430,7410,7287,7279,7557,7526,7525,7844,7894,7865,7972,7959,7827,7714,8034,8121,8180,7906,8309,8088,8016,8183,8051,8093,8256,8225,8310,8492,8391,8678,8624,8557,8621,8465,8603,8587,8493,8492,8568,8583,8967,8852,8711,8843,9027,9123,8996,9108,9051,9055,9112,9055,9019,9065,9186,9141,9257,9126,9127,9346,9722,9803,9740
"47","39","    Machinery, equipment, and supplies wholesalers","KP42180",22960,24375,23672,23954,24113,24372,25050,24420,24898,25201,25011,25228,26404,26575,26338,26796,26762,26653,26085,26214,26413,25794,26127,26292,25995,26034,26667,26212,26706,26855,26825,26926,26640,26717,26739,26734,27431,26947,26818,27319,27042,27670,27689,27510,27367,27633,27773,26653,26925,27614,27361,26560,26451,25878,25963,26425,26266,24225,24833,24455,23805,23857,23662,24321,24603,24391,23998,23462,23925,23584,23246,23263,23660,22920,23329,23350,23914,24081,24166,24370,24189,23953,23732,24168,23928,24730,26237,25773,25558,25570,26157,26167,25406,26634,26687,27919,26964,26939,26218,27593,27466,27755,27854,27227,27706,28452,28457,28911,28668,29093,28692,29093,28801,29106,29009,29321,29101,28688,29173,28577,29090,28275,28934,28799,29277,29191,29362,29406,30469,29890,30105,29646,30315,30232,30007,30745,30788,31875,29703,29897,29325,29718,28182,26114,23558,23745,23842,23044,22509,22090,21988,21930,22671,21114,21498,22320,21890,22509,23039,22767,23551,24394,25077,25562,25651,26342,26711,26794,26560,26117,26137,26971,26637,27726,28447,28639,28517,28830,28747,30353,29576,29744,30298,29534,30295,29623,29474,29470,29723,29292,30095,30043,31550,31484,31316,32591,32612,32629,32283,33198,33383,34589,33902,34285,34228,34747,35054,35585,35900,36146,36342,36806,36386,36510,36328
"48","40","    Miscellaneous durable goods wholesalers","KP42190",15369,15753,15506,15721,15330,14998,15696,15680,16131,15487,15865,15364,15077,15111,15489,15315,14639,14853,15096,14404,13951,14464,14378,14561,15131,15271,15117,15146,15715,15602,15279,15643,16151,15889,15722,16181,16160,15868,16150,16556,16830,16058,16590,16147,16344,16567,16161,16544,16056,15993,15567,15390,15051,15566,15482,15643,15435,14635,13861,14913,15266,15725,15046,15187,15248,15676,16037,16295,15503,15110,15552,15056,15118,15092,15282,14871,14789,15060,14793,14748,15124,15717,15949,15653,15676,15806,16395,16671,16723,16626,16643,16858,16914,17287,18457,18309,18428,18551,18075,17857,17434,17226,17076,16966,17281,17524,17567,17905,18116,17964,17608,17468,18348,18116,18350,18306,18088,17968,17458,17203,17420,17813,18113,18881,19154,18628,18128,19418,17787,17630,18501,17240,18812,18692,18921,19853,19288,19973,19719,19361,17119,14723,14822,14260,13499,15126,13026,11766,13061,14100,14286,14249,14716,14662,14696,15118,15102,15014,15330,16109,16263,15402,15579,15736,15769,16056,16081,15901,16536,16327,17034,16633,17312,16829,18028,19366,17263,16222,15833,15816,16186,16692,16023,15770,16133,16225,16092,16377,16439,16041,16788,16176,16302,16477,15937,15997,16003,15927,15866,16143,15974,15854,15660,15467,15507,15564,15585,15473,15302,15826,15960,15728,15401,15206,14868
"49","41","  Nondurable goods merchant wholesale industries","KP42WN0",134975,137357,137434,135434,137977,138018,137701,137724,138643,137916,137852,137796,140322,140290,141603,141761,142942,141892,142798,143873,146511,146363,147243,149649,145278,146942,148826,147343,150981,151945,151017,150695,150744,152145,153527,150998,152290,149644,151268,153862,153588,155961,155687,155797,155845,155885,154565,159999,159105,157950,155345,156610,156908,155413,158752,158779,159607,161266,161341,162834,163450,163037,161363,164462,165177,166262,165755,166329,165473,164021,168849,167756,167811,165315,164441,165075,165473,166378,167985,167166,165965,167381,166239,166412,165104,167458,170181,167122,166347,167191,166784,169129,169842,166886,167858,170877,172807,171868,168255,171505,171763,171148,171692,172145,171759,170497,170749,169572,169184,171754,172782,172892,171602,172698,173482,173479,173136,171577,169672,171969,169879,172579,172281,174951,178087,177750,175528,177081,176357,175657,172410,174098,173424,173549,169955,172782,173946,175766,171735,173451,166726,171567,167934,173382,170586,171423,169746,170984,170682,166536,173007,167672,168527,165650,169185,166359,162989,167116,166901,168298,170841,175371,176279,174557,171120,170733,171292,167101,170636,164036,167487,167132,169489,171877,168475,170276,167370,169281,164367,164487,165621,166369,167843,174002,173909,174148,173106,170541,171626,167789,172052,174361,171624,172731,172324,175030,180631,178306,177991,178876,178871,182427,188320,187595,182528,184079,187734,187740,189737,187963,190375,188710,189938,191972,192042
