"","Table 3#11#6# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"41","22","        Installation support","B911RX1","31,819.0","32,506.0","33,530.0","37,742.0","30,835.0","35,427.0","34,380.0","33,777.0","35,365.0","34,846.0","35,971.0","36,592.0","38,337.0","37,475.0","39,324.0","40,492.0","39,643.0","43,242.0","44,488.0","45,648.0","43,804.0","41,989.0","43,382.0","40,564.0","38,010.0","38,561.0","41,913.0","40,281.0","40,818.0","41,583.0","38,971.0","41,636.0","38,684.0","38,862.0","39,672.0","39,644.0","39,870.0","38,716.0","42,542.0","43,059.0","43,029.0","44,165.0","44,410.0","44,668.0","43,894.0","44,663.0","46,998.0","43,935.0","41,358.0","41,659.0","41,995.0","39,165.0","39,674.0","38,614.0","39,014.0","37,085.0","34,565.0","33,920.0","33,416.0","33,879.0","34,482.0","34,842.0","36,394.0","35,712.0","36,467.0","36,781.0","36,322.0","36,857.0"
"42","23","        Weapons support","B912RX1","11,995.0","12,088.0","13,992.0","18,907.0","9,773.0","16,239.0","14,949.0","16,175.0","18,563.0","17,970.0","16,878.0","17,628.0","19,152.0","18,628.0","22,090.0","25,989.0","21,494.0","26,878.0","27,552.0","28,013.0","26,050.0","24,854.0","28,684.0","26,235.0","27,532.0","27,240.0","32,100.0","27,442.0","28,120.0","30,425.0","26,567.0","32,268.0","28,051.0","29,744.0","31,341.0","30,498.0","30,736.0","28,187.0","34,457.0","32,592.0","29,422.0","32,125.0","33,930.0","34,996.0","33,365.0","35,815.0","40,010.0","36,012.0","32,014.0","35,185.0","36,399.0","31,092.0","32,947.0","31,828.0","31,926.0","29,344.0","26,145.0","25,236.0","24,167.0","24,591.0","24,581.0","24,768.0","25,883.0","24,290.0","25,521.0","27,081.0","26,459.0","27,282.0"
"43","24","        Personnel support","B913RX1","31,169.0","30,003.0","34,718.0","42,290.0","29,245.0","37,778.0","32,369.0","33,650.0","39,130.0","38,241.0","40,067.0","41,609.0","45,917.0","48,866.0","49,599.0","55,418.0","47,977.0","59,084.0","54,678.0","66,336.0","65,619.0","70,221.0","72,740.0","69,696.0","70,964.0","71,822.0","76,300.0","72,371.0","76,962.0","79,553.0","71,177.0","75,761.0","68,351.0","70,563.0","73,951.0","76,000.0","80,731.0","82,037.0","91,706.0","95,257.0","87,917.0","94,459.0","95,977.0","96,055.0","96,785.0","97,646.0","101,940.0","95,471.0","92,086.0","98,140.0","100,345.0","85,704.0","91,678.0","91,162.0","97,283.0","96,097.0","92,912.0","90,546.0","83,383.0","76,534.0","76,699.0","72,765.0","81,537.0","66,400.0","75,019.0","73,345.0","73,424.0","72,172.0"
"44","25","        Transportation of material","B786RX1","6,520.0","5,998.0","5,710.0","5,898.0","5,936.0","5,802.0","5,715.0","5,298.0","5,453.0","5,751.0","6,048.0","7,219.0","7,317.0","6,888.0","6,061.0","4,427.0","10,487.0","16,720.0","10,194.0","9,052.0","10,309.0","10,672.0","9,792.0","9,046.0","10,816.0","10,224.0","7,853.0","4,013.0","8,622.0","5,292.0","9,987.0","7,343.0","9,701.0","11,150.0","13,352.0","13,192.0","12,665.0","11,679.0","10,628.0","10,141.0","11,418.0","13,052.0","13,879.0","14,191.0","14,272.0","13,964.0","14,036.0","14,343.0","14,143.0","13,526.0","13,301.0","12,584.0","10,222.0","8,984.0","8,240.0","7,776.0","7,535.0","7,353.0","7,121.0","6,879.0","6,541.0","6,293.0","6,104.0","5,965.0","5,843.0","5,537.0","5,460.0","5,293.0"
"45","26","        Travel of persons","B785RX1","6,612.0","6,687.0","6,687.0","6,792.0","6,644.0","6,625.0","6,622.0","6,294.0","6,276.0","6,381.0","6,670.0","7,235.0","6,845.0","6,675.0","6,397.0","5,847.0","6,809.0","8,415.0","8,273.0","7,978.0","8,559.0","9,084.0","9,092.0","9,567.0","12,525.0","9,900.0","9,094.0","6,550.0","9,233.0","6,021.0","8,991.0","7,432.0","8,633.0","8,891.0","9,567.0","8,287.0","8,437.0","8,524.0","8,280.0","8,044.0","8,855.0","9,498.0","9,711.0","9,584.0","10,129.0","9,834.0","9,846.0","9,819.0","9,218.0","8,935.0","8,748.0","8,805.0","8,557.0","8,245.0","7,946.0","7,338.0","6,603.0","6,213.0","5,923.0","5,950.0","6,269.0","6,357.0","6,412.0","6,445.0","6,321.0","6,222.0","6,215.0","6,282.0"
"46","27","  Less: Own-account investment \4\","W088RX1","11,246.0","12,139.0","12,098.0","12,082.0","11,940.0","12,240.0","12,586.0","13,023.0","13,807.0","14,046.0","14,413.0","14,986.0","15,438.0","15,696.0","15,913.0","16,187.0","16,264.0","16,400.0","16,332.0","16,423.0","16,036.0","16,128.0","16,231.0","16,433.0","16,485.0","16,746.0","16,983.0","17,211.0","17,298.0","17,589.0","17,955.0","18,428.0","18,845.0","19,172.0","19,398.0","19,490.0","19,569.0","19,551.0","19,496.0","19,470.0","19,370.0","19,405.0","19,462.0","19,595.0","19,571.0","19,300.0","19,409.0","19,561.0","20,100.0","20,651.0","21,204.0","21,826.0","21,335.0","20,988.0","20,769.0","20,661.0","20,529.0","20,359.0","20,180.0","19,964.0","19,821.0","19,680.0","19,574.0","19,556.0","19,485.0","19,544.0","19,617.0","19,801.0"
"47","28","  Less: Sales to other sectors","W089RX1","1,245.0","2,341.0","4,035.0","2,514.0","4,588.0","1,967.0","3,106.0","1,511.0","4,204.0","2,005.0","2,354.0","2,577.0","2,239.0","1,765.0","5,053.0","2,442.0","3,376.0","3,130.0","3,015.0","2,962.0","2,912.0","3,007.0","3,150.0","3,421.0","3,445.0","3,730.0","4,080.0","4,464.0","4,825.0","4,963.0","4,869.0","4,554.0","3,829.0","3,479.0","3,289.0","3,440.0","3,694.0","3,855.0","3,926.0","3,974.0","3,926.0","3,773.0","3,830.0","3,660.0","3,546.0","3,506.0","3,548.0","3,656.0","3,700.0","3,743.0","3,786.0","3,778.0","3,453.0","3,405.0","3,406.0","3,445.0","3,435.0","3,413.0","3,486.0","3,478.0","3,383.0","3,303.0","3,250.0","3,211.0","3,256.0","3,241.0","3,217.0","3,179.0"
"48","29","Gross investment \5\","A788RX1","86,676.0","90,613.0","93,435.0","91,389.0","90,812.0","90,855.0","92,098.0","92,025.0","92,002.0","96,102.0","98,496.0","100,167.0","101,735.0","108,349.0","113,411.0","114,240.0","116,300.0","121,140.0","123,264.0","125,718.0","127,648.0","131,031.0","137,596.0","136,469.0","136,024.0","140,208.0","143,027.0","140,834.0","143,289.0","149,669.0","146,742.0","151,932.0","150,589.0","157,513.0","158,152.0","158,372.0","160,621.0","171,580.0","175,890.0","177,496.0","170,056.0","176,335.0","178,295.0","175,265.0","173,215.0","177,309.0","178,760.0","180,693.0","167,640.0","170,491.0","168,258.0","168,264.0","160,690.0","158,891.0","156,297.0","150,743.0","147,825.0","143,998.0","146,353.0","145,255.0","138,193.0","142,068.0","140,531.0","139,077.0","135,283.0","137,142.0","135,423.0","138,529.0"
"49","30","  Structures","A808RX1","9,116.0","8,884.0","8,401.0","7,723.0","7,824.0","7,993.0","8,818.0","8,129.0","7,451.0","8,191.0","7,589.0","7,894.0","8,191.0","8,534.0","9,101.0","9,065.0","9,737.0","9,867.0","10,025.0","9,468.0","9,623.0","9,044.0","9,350.0","8,181.0","8,807.0","8,471.0","8,744.0","8,113.0","8,145.0","8,552.0","8,197.0","9,143.0","9,165.0","11,685.0","10,532.0","9,643.0","10,517.0","13,073.0","14,434.0","15,816.0","16,270.0","16,891.0","17,878.0","17,473.0","16,078.0","16,872.0","17,335.0","16,662.0","15,215.0","14,121.0","12,256.0","10,503.0","9,179.0","7,868.0","6,564.0","7,109.0","6,299.0","6,226.0","6,147.0","5,191.0","4,991.0","4,697.0","4,612.0","4,359.0","4,053.0","4,111.0","3,589.0","4,343.0"
"50","31","  Equipment","Y050RX1","33,548.0","36,641.0","39,424.0","38,446.0","38,282.0","38,033.0","38,505.0","38,459.0","38,461.0","41,163.0","42,833.0","43,037.0","43,365.0","47,984.0","50,908.0","49,936.0","49,725.0","52,729.0","53,325.0","54,735.0","55,225.0","57,549.0","62,170.0","61,188.0","59,426.0","63,072.0","64,950.0","63,315.0","65,683.0","70,833.0","67,366.0","70,599.0","68,480.0","72,399.0","73,847.0","74,561.0","75,871.0","84,594.0","88,134.0","88,819.0","81,387.0","87,398.0","88,615.0","86,716.0","85,679.0","89,496.0","90,118.0","93,393.0","82,194.0","86,264.0","85,715.0","86,958.0","83,482.0","84,419.0","84,439.0","78,704.0","77,018.0","74,210.0","77,156.0","77,674.0","70,773.0","75,173.0","73,855.0","72,812.0","69,072.0","70,315.0","69,030.0","71,054.0"
"51","32","    Aircraft","B874RX1","4,949.0","5,565.0","7,272.0","5,542.0","7,917.0","6,037.0","7,194.0","6,041.0","6,218.0","6,331.0","9,843.0","9,379.0","7,197.0","9,315.0","9,902.0","10,214.0","9,476.0","9,421.0","8,263.0","9,709.0","8,526.0","9,927.0","11,946.0","13,839.0","12,636.0","13,821.0","14,480.0","14,560.0","13,516.0","15,797.0","12,165.0","15,009.0","12,737.0","14,681.0","13,641.0","12,780.0","9,030.0","14,697.0","14,689.0","16,706.0","12,438.0","15,159.0","12,782.0","13,580.0","15,086.0","17,052.0","15,910.0","18,985.0","18,088.0","20,459.0","20,953.0","20,450.0","18,982.0","19,817.0","22,178.0","18,807.0","22,502.0","19,140.0","21,809.0","24,576.0","18,245.0","22,189.0","20,445.0","19,781.0","16,395.0","19,169.0","18,296.0","18,043.0"
"52","33","    Missiles","B875RX1","3,039.0","3,023.0","3,099.0","3,487.0","2,645.0","2,679.0","2,312.0","4,278.0","3,981.0","3,945.0","3,440.0","3,587.0","3,956.0","3,736.0","3,462.0","3,783.0","3,145.0","3,182.0","3,927.0","5,131.0","4,243.0","3,844.0","4,714.0","4,678.0","3,355.0","4,760.0","3,675.0","5,154.0","5,035.0","5,014.0","3,564.0","5,212.0","5,696.0","4,662.0","3,825.0","3,763.0","4,431.0","4,699.0","4,505.0","3,786.0","4,237.0","4,708.0","6,466.0","4,840.0","5,580.0","5,666.0","5,355.0","5,293.0","4,998.0","5,311.0","4,770.0","4,269.0","6,096.0","6,565.0","6,225.0","6,551.0","5,006.0","5,958.0","7,246.0","5,755.0","5,459.0","6,032.0","6,335.0","6,983.0","6,107.0","5,955.0","5,456.0","7,179.0"
"53","34","    Ships","B876RX1","8,807.0","8,557.0","8,334.0","9,060.0","7,658.0","8,504.0","8,351.0","8,571.0","9,016.0","9,336.0","8,637.0","9,262.0","10,269.0","10,713.0","11,123.0","11,240.0","10,532.0","12,422.0","12,339.0","11,389.0","11,873.0","10,761.0","13,496.0","11,219.0","11,480.0","11,020.0","12,180.0","10,420.0","10,968.0","12,480.0","11,779.0","11,656.0","10,503.0","10,876.0","10,760.0","11,672.0","10,157.0","11,272.0","11,814.0","11,848.0","10,519.0","10,865.0","10,899.0","12,284.0","10,573.0","11,005.0","11,618.0","12,882.0","10,014.0","10,798.0","10,563.0","12,155.0","11,217.0","11,248.0","10,617.0","11,011.0","10,941.0","11,399.0","11,691.0","11,796.0","11,888.0","12,088.0","12,201.0","11,639.0","12,868.0","11,606.0","12,109.0","12,142.0"
"54","35","    Vehicles","B877RX1","1,566.0","1,902.0","1,606.0","2,064.0","1,925.0","2,166.0","2,123.0","1,729.0","2,066.0","2,276.0","1,846.0","2,311.0","2,425.0","2,847.0","3,431.0","2,822.0","3,941.0","3,605.0","3,263.0","2,850.0","3,061.0","3,395.0","2,768.0","2,881.0","3,025.0","4,623.0","5,036.0","3,974.0","4,990.0","5,301.0","5,902.0","5,183.0","5,283.0","6,942.0","7,276.0","6,419.0","8,979.0","8,844.0","10,089.0","10,239.0","8,870.0","9,153.0","9,434.0","9,351.0","9,149.0","9,692.0","9,576.0","9,656.0","7,386.0","7,041.0","6,864.0","6,782.0","5,608.0","5,662.0","5,527.0","5,115.0","3,711.0","3,824.0","3,563.0","3,225.0","3,042.0","2,863.0","2,746.0","2,219.0","2,115.0","2,158.0","2,109.0","2,077.0"
"55","36","    Electronics","Y051RX1","2,179.0","2,633.0","2,782.0","2,478.0","2,719.0","2,883.0","2,662.0","2,935.0","2,831.0","3,022.0","2,936.0","3,005.0","3,241.0","3,393.0","3,629.0","3,449.0","4,051.0","3,930.0","4,574.0","4,154.0","4,332.0","5,373.0","4,894.0","5,031.0","5,044.0","5,606.0","6,492.0","6,185.0","6,662.0","7,053.0","7,905.0","7,855.0","8,652.0","9,316.0","10,374.0","10,224.0","11,943.0","12,850.0","13,730.0","13,572.0","12,299.0","13,367.0","13,886.0","13,383.0","12,286.0","12,674.0","13,232.0","12,783.0","10,080.0","10,578.0","10,607.0","10,984.0","10,043.0","9,737.0","9,353.0","8,783.0","8,178.0","7,555.0","7,069.0","6,736.0","6,543.0","6,472.0","6,404.0","6,317.0","6,239.0","6,165.0","6,098.0","6,087.0"
"56","37","    Other equipment","B879RX1","14,438.0","16,117.0","17,075.0","17,309.0","15,862.0","16,712.0","16,669.0","15,887.0","15,360.0","17,342.0","16,586.0","16,114.0","17,235.0","18,905.0","20,298.0","19,387.0","19,298.0","21,252.0","21,992.0","22,454.0","24,241.0","24,859.0","25,322.0","24,128.0","24,521.0","23,796.0","23,597.0","23,394.0","24,896.0","25,686.0","26,382.0","26,032.0","25,761.0","26,096.0","28,021.0","29,796.0","31,336.0","32,222.0","33,313.0","32,685.0","33,038.0","34,146.0","35,142.0","33,266.0","32,987.0","33,399.0","34,424.0","33,753.0","31,538.0","31,925.0","31,857.0","32,188.0","31,300.0","31,135.0","30,355.0","28,132.0","26,622.0","26,018.0","25,466.0","25,448.0","25,216.0","25,277.0","25,368.0","25,520.0","24,759.0","24,946.0","24,565.0","25,032.0"
"57","38","  Intellectual property products","Y052RX1","45,521.0","46,222.0","46,312.0","45,807.0","45,331.0","45,541.0","45,686.0","46,177.0","46,656.0","47,337.0","48,431.0","49,679.0","50,694.0","52,213.0","53,788.0","55,702.0","57,485.0","59,100.0","60,494.0","61,939.0","63,250.0","64,705.0","66,252.0","67,146.0","67,995.0","68,726.0","69,388.0","69,437.0","69,459.0","70,239.0","71,177.0","72,181.0","72,956.0","73,443.0","73,784.0","74,178.0","74,236.0","73,936.0","73,355.0","72,878.0","72,400.0","72,044.0","71,804.0","71,076.0","71,437.0","70,951.0","71,325.0","70,667.0","70,173.0","70,057.0","70,213.0","70,734.0","67,968.0","66,588.0","65,317.0","64,847.0","64,422.0","63,444.0","63,012.0","62,421.0","62,309.0","62,209.0","62,048.0","61,882.0","62,029.0","62,604.0","62,678.0","63,019.0"
"58","39","    Software","Y053RX1","5,622.0","6,544.0","6,567.0","6,521.0","6,147.0","6,291.0","6,210.0","6,303.0","6,061.0","5,819.0","5,823.0","5,913.0","5,757.0","5,791.0","5,816.0","5,739.0","5,521.0","5,588.0","5,660.0","5,804.0","5,722.0","5,802.0","6,016.0","6,094.0","5,934.0","6,107.0","6,212.0","6,217.0","6,177.0","6,234.0","6,334.0","6,531.0","6,608.0","6,586.0","6,589.0","6,569.0","6,881.0","6,924.0","6,919.0","6,797.0","6,715.0","6,760.0","6,868.0","7,000.0","7,233.0","7,214.0","7,413.0","7,506.0","7,576.0","7,662.0","7,728.0","7,799.0","7,709.0","7,778.0","7,695.0","7,760.0","7,836.0","7,623.0","7,688.0","7,680.0","7,767.0","7,811.0","7,947.0","7,976.0","8,054.0","8,145.0","8,018.0","7,957.0"
"59","40","    Research and development","Y076RX1","39,747.0","39,432.0","39,497.0","39,038.0","38,972.0","39,024.0","39,261.0","39,654.0","40,407.0","41,365.0","42,466.0","43,627.0","44,826.0","46,323.0","47,885.0","49,901.0","51,939.0","53,493.0","54,819.0","56,119.0","57,525.0","58,903.0","60,232.0","61,049.0","62,069.0","62,622.0","63,176.0","63,221.0","63,284.0","64,008.0","64,845.0","65,650.0","66,348.0","66,858.0","67,197.0","67,611.0","67,355.0","67,012.0","66,435.0","66,081.0","65,684.0","65,284.0","64,935.0","64,077.0","64,208.0","63,743.0","63,922.0","63,176.0","62,618.0","62,421.0","62,513.0","62,965.0","60,300.0","58,866.0","57,681.0","57,155.0","56,663.0","55,890.0","55,400.0","54,821.0","54,630.0","54,492.0","54,208.0","54,017.0","54,092.0","54,579.0","54,767.0","55,158.0"
"60","41","Residual","A975RX1","-8,500.0","-6,800.0","-6,000.0","-5,100.0","-5,200.0","-5,200.0","-5,700.0","-5,900.0","-6,500.0","-5,200.0","-3,800.0","-5,000.0","-5,300.0","-4,600.0","-3,100.0","-3,900.0","-4,400.0","-3,600.0","-1,600.0","-2,300.0","-2,800.0","-1,500.0","-1,700.0","-600.0","-1,400.0","-800.0","-500.0","-800.0","-700.0","-400.0","200.0","200.0","0.0","200.0","200.0","500.0","500.0","600.0","-200.0","200.0","300.0","-300.0","0.0","-200.0","100.0","0.0","0.0","-100.0","700.0","400.0","200.0","600.0","793.0","292.0","-297.0","-416.0","-600.0","-816.0","-1,180.0","-1,799.0","-1,481.0","-1,679.0","-1,004.0","-1,013.0","-476.0","-821.0","-705.0","-800.0"
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. National defense consumption expenditures are defense services produced by government that are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2. Consumption of fixed capital, or depreciation, is included in government gross output as a partial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","measure of the services of general government fixed assets; the use of depreciation assumes a zero net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","4. Own-account investment is measured in current dollars by compensation of general government employees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","and related expenditures for goods and services and is classified as investment in structures, software,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","and research and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","5. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","for fixed assets; inventory investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","are usually not additive. The residual line is the difference between the first line and the sum of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
