"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"101","93","          Food products, not elsewhere classified","DOFDRX0",92703,93236,94035,95641,93939,95286,95321,96630,96245,97084,96891,96587,96935,96966,97562,98005,99357,100597,102928,103732,104842,104875,106594,108756,110026,109797,110699,113029,114251,115869,116495,118884,120259,120128,121144,122343,122071,121427,120444,116163,114147,115180,115587,115701,117175,116548,117016,118863,120036,120049,119238,118737,118304,117425,117347,117875,119890,118918,120145,120245,119513,120120,119596,119255,118733,118725,119037,118605
"102","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRX0",69044,69032,69514,70462,68634,69748,69676,70666,70372,71182,70895,71021,71128,71132,71311,71388,72818,73210,76086,76688,77073,77792,78165,79976,80959,80848,81604,82804,83572,84253,85083,85317,85081,84695,84762,85382,84515,85407,84913,81541,80551,80238,80162,80803,81772,81612,81736,83359,83236,83132,82796,82741,83257,83370,83281,82516,82850,81836,82435,82583,82954,83579,83589,83471,83461,83768,84112,83986
"103","95","          Coffee, tea, and other beverage materials","DCTMRX0",8214,8256,8298,8386,8159,8268,8315,8425,8407,8530,8487,8479,8458,8428,8398,8445,8591,8624,8862,8870,8956,9057,9083,9174,9116,8997,9059,9168,9253,9390,9489,9517,9492,9436,9462,9576,9635,9710,9747,9657,9675,9807,9729,9748,9781,9675,9593,9671,9647,9356,9214,9202,9285,9375,9518,9651,9809,9960,10132,10184,10271,10171,10048,10045,9980,10059,10128,10184
"104","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRX0",60838,60779,61219,62081,60480,61486,61365,62246,61969,62657,62413,62547,62675,62709,62918,62948,64232,64591,67229,67824,68123,68741,69088,70809,71853,71863,72559,73651,74333,74876,75607,75813,75602,75272,75313,75818,74887,75705,75172,71884,70875,70432,70432,71055,71991,71938,72146,73694,73595,73799,73615,73572,74004,74019,73777,72864,73033,71853,72276,72371,72654,73385,73524,73409,73467,73693,73966,73781
"105","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRX0",84887,86412,87303,89646,90388,92074,93791,95263,95570,96771,96182,96202,96986,97983,97750,98227,97934,96737,98101,98348,98813,99477,99799,100162,100571,101231,102165,104054,105616,106305,106906,108245,108690,108907,108427,108058,107266,108321,108883,106620,105753,105449,105593,107756,111096,111793,112015,113589,114632,115103,116646,117075,118956,120374,119424,120333,119975,118408,119115,119575,119900,121364,121673,121348,122842,123780,124736,124239
"106","98","        Spirits","DLIQRX0",16247,16540,16576,16883,16998,17334,17714,17892,17945,17886,17843,18117,18240,18202,18078,18112,18341,18534,19152,19419,19637,19994,20145,20391,20559,20891,21251,21785,22317,22646,22994,23439,23882,24274,24384,24259,24105,24325,24578,24339,24101,23884,23983,24343,25077,25318,25359,25842,26013,26063,26411,26592,27296,27803,27523,27971,27907,27680,27932,27936,28065,28407,28481,28367,28701,29021,29397,29399
"107","99","        Wine","DWINRX0",18122,18618,18924,19690,20108,20933,21682,22214,22823,23418,24049,24895,25522,25913,25966,26017,25982,25801,26314,26809,27009,27414,27764,27947,28220,28410,28599,29307,29763,29934,30152,30534,30716,31013,30943,30712,30687,30940,31049,30546,30337,30390,30533,31288,32382,32639,32862,33384,33756,34266,34985,35252,35862,36235,35980,36422,36444,36040,36315,36826,37001,37526,37526,37437,37823,38343,38836,38782
"108","100","        Beer","DMLTRX0",51120,51845,52395,53658,53844,54326,54880,55636,55227,55896,54647,53464,53475,54135,53973,54373,53857,52606,52808,52265,52305,52194,52010,51934,51897,52026,52404,53041,53606,53787,53809,54315,54117,53630,53105,53095,52477,53061,53261,51735,51315,51175,51077,52126,53639,53839,53803,54376,54878,54803,55293,55287,55871,56415,55998,56043,55738,54813,55004,54975,55007,55613,55840,55716,56485,56612,56732,56307
"109","101","      Food produced and consumed on farms (6)","DFFDRX0",456,450,425,399,391,371,371,355,335,304,294,323,326,353,356,348,321,301,286,277,321,317,334,336,349,357,384,376,418,465,456,462,380,348,339,358,395,381,355,379,394,401,410,373,375,360,344,319,291,287,286,290,266,260,280,337,428,508,558,568,520,489,485,491,530,521,519,522
"110","102","    Clothing and footwear","DCLORX0",240668,242744,244358,244989,248981,254374,257151,259325,255164,256830,256528,260953,263899,263976,262420,270618,269692,276913,283003,283664,290795,287376,290329,296149,300171,306489,305668,314753,316629,314417,317703,321032,323087,322893,325434,324191,321616,331113,324243,312274,308498,302726,305931,308840,315859,321042,321801,331955,334840,338048,332855,335431,340970,335564,341030,337903,342563,344787,342696,343800,341273,347153,349463,355753,354812,360507,361685,361475
"111","103","      Garments","DGARRX0",192234,193575,194653,194786,198019,203001,204836,207020,203644,204518,204804,208747,210766,211466,210151,217147,216346,221776,226243,226621,232322,229555,232121,237321,240537,245353,245063,251342,253008,250661,252180,254773,256279,255372,257787,257031,255336,262963,257466,248560,245577,241183,243848,246791,252306,256887,257306,265874,268162,269992,264623,266153,270020,266546,270983,268639,272581,274109,271830,271545,269079,274486,277808,284225,283024,287971,288756,288052
"112","104","        Women's and girls' clothing (10)","DWGCRX0",109864,110715,111485,111724,114596,118264,119434,119898,117439,118981,119754,122904,123998,123881,122825,126983,126745,129881,132646,133803,137386,135469,137298,139942,142658,146191,145734,149428,150855,148456,149829,151026,151128,151166,154378,153998,152744,158025,152989,148074,147380,144426,144886,146588,149803,153802,154128,159049,160014,160939,157903,159665,162980,159868,163896,161781,163719,166168,163585,163097,161661,164601,166872,171424,171346,173984,174451,175855
"113","105","        Men's and boys' clothing (11)","DMBCRX0",72946,73271,73712,73486,73943,74953,75321,76630,75868,75176,74567,75182,75793,76583,76333,79014,78172,79830,81097,79960,81569,80622,81281,83487,83410,84396,84097,85908,86085,85987,86055,86923,87918,86709,85263,85090,84626,86726,86264,82983,81007,79913,82016,82950,84790,85488,85606,88682,89381,90047,88397,88250,89053,88712,89053,88743,90402,89437,89613,89950,89215,91404,92298,94112,93072,95355,96304,94307
"114","106","        Children's and infants' clothing (12)","DCICRX0",9462,9633,9498,9618,9537,9854,10153,10558,10406,10425,10547,10733,11041,11065,11054,11221,11490,12120,12549,12891,13398,13496,13573,13929,14497,14796,15260,16035,16091,16252,16319,16850,17285,17522,18124,17927,17960,18215,18217,17502,17196,16840,16944,17252,17715,17596,17574,18144,18770,19012,18323,18234,17985,17962,18040,18110,18449,18529,18639,18494,18195,18471,18628,18674,18602,18612,17987,17918
"115","107","      Other clothing materials and footwear (13 and 17)","DOCCRX0",48408,49188,49755,50312,51063,51371,52372,52292,51514,52371,51712,52143,53109,52409,52177,53329,53214,55040,56703,57000,58428,57779,58145,58716,59526,61047,60501,63351,63557,63715,65533,66269,66822,67571,67678,67182,66291,68159,66786,63714,62921,61542,62082,62053,63556,64167,64501,66095,66689,68050,68220,69273,70952,69010,70042,69262,69987,70680,70857,72239,72177,72645,71645,71557,71803,72565,72952,73425
"116","108","        Clothing materials","DCSMRX0",3431,3461,3556,3622,3749,3912,3817,3782,3874,3896,3976,4212,4266,4288,4350,4557,4336,4410,4414,4265,4423,4281,4338,4259,4246,4187,4184,4216,4249,4032,4061,3879,3948,4040,3776,3760,3687,3851,3748,3793,3716,3626,3506,3651,3652,3606,3685,3667,3596,3687,3674,3586,3663,3653,3518,3727,3799,3692,3662,3520,3517,3596,3723,3832,3940,4068,4076,3912
"117","109","        Standard clothing issued to military personnel","DMICRX0",295,293,295,300,314,324,331,338,343,348,351,355,354,371,401,438,485,493,487,473,411,353,311,294,327,355,375,391,388,391,405,430,437,433,434,440,431,422,425,439,452,457,453,440,424,408,395,383,371,358,347,338,330,328,333,342,356,363,357,338,312,299,302,325,355,381,396,391
"118","110","        Shoes and other footwear","DSHURX0",44652,45407,45872,46355,46959,47083,48185,48136,47249,48082,47329,47498,48412,47667,47336,48231,48309,50058,51733,52209,53537,53100,53449,54128,54922,56484,55919,58727,58905,59284,61061,61964,62439,63097,63467,62982,62172,63885,62613,59482,58753,57458,58124,57961,59480,60154,60422,62048,62729,64010,64206,65363,66974,65039,66211,65201,65840,66638,66853,68402,68369,68768,67632,67413,67521,68131,68495,69134
"119","111","    Gasoline and other energy goods","DGOERX0",299488,305757,301565,302474,290983,295950,296593,294216,294966,290628,295398,295615,293942,296397,297524,297910,294844,293973,297378,300837,299788,300271,298364,298738,304202,296762,292330,298692,296252,294056,296101,303307,301631,297659,295463,292599,290164,285759,275861,281827,291862,284742,282297,279098,279326,282543,284191,282822,280155,273070,272692,271463,267052,272860,272371,267766,272194,274348,275749,276615,276274,274896,275127,280766,284807,284482,288132,286129
"120","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRX0",267143,272367,269674,271938,263042,266561,267776,265785,265636,262102,267125,267800,265789,266858,267987,267718,267035,265619,266768,269249,270296,271506,269681,272000,277015,270918,268361,275710,274365,270329,271942,279281,276892,273782,272010,269958,268782,265784,256216,258857,266650,260205,258995,255065,256326,260633,261805,260646,259136,254149,253180,252442,251436,255141,253218,250029,254445,256144,257979,256530,255205,256103,257295,262011,263724,265202,268220,266755
"121","113","        Gasoline and other motor fuel","DGASRX0",259888,265403,262889,264931,255967,259195,260344,258462,258491,255257,260340,261181,259165,260237,261281,260842,259941,258346,259338,261778,262854,264030,262109,264106,268676,262417,259742,266941,265649,261755,263361,270693,268245,265113,263392,261611,260684,257875,248775,251626,260174,254380,253284,249139,250006,253786,254508,252960,250751,245316,244097,243438,242191,245409,243470,240585,245198,247114,249054,247668,246308,247093,248170,252673,254355,255861,258807,257341
"122","114","        Lubricants and fluids","DLUBRX0",7403,7076,6859,7096,7230,7582,7654,7523,7287,6923,6817,6637,6652,6652,6742,6934,7201,7423,7601,7634,7588,7625,7780,8225,8825,9135,9364,9482,9424,9264,9247,9168,9261,9340,9313,8964,8643,8380,7698,7303,6519,5855,5676,5888,6326,6895,7379,7832,8709,9351,9682,9576,9901,10499,10536,10173,9885,9608,9471,9402,9454,9587,9720,9948,9986,9975,10058,10047
"123","115","      Fuel oil and other fuels (29)","DFULRX0",33956,35171,33284,31476,28560,30256,29575,29183,30187,29314,28935,28417,28808,30426,30397,31198,28435,29059,31632,32804,30307,29444,29385,27134,27558,26151,24136,23012,21872,23858,24328,24156,24914,24010,23567,22721,21454,20150,19839,22985,25133,24530,23306,24116,23010,21911,22369,22146,20983,18906,19498,18990,15551,17657,19138,17683,17707,18170,17724,20051,20969,18775,17806,18721,20907,19223,19873,19295
"124","116","        Fuel oil","DOILRX0",30446,31341,29551,27507,24041,26538,26554,25931,27184,25901,25463,25505,26156,27276,26638,27886,25312,25961,28160,28890,27042,26018,25677,23892,23090,22469,21662,20586,19366,20836,21034,21020,22091,21295,20518,19824,18602,16922,16692,19907,22547,21987,20861,21145,20232,19339,19819,19435,18092,16345,17097,16503,13272,15184,16380,15042,14968,15595,15102,17476,18516,16313,15506,16313,18384,16526,16817,16002
"125","117","        Other fuels","DLPFRX0",3594,3880,3773,3972,4515,3720,3039,3288,3053,3418,3473,2955,2739,3195,3736,3342,3153,3134,3499,3901,3282,3429,3709,3257,4555,3741,2435,2396,2490,3031,3328,3153,2805,2694,3063,2895,2865,3417,3299,3111,2600,2537,2429,2979,2788,2579,2552,2726,2980,2635,2408,2537,2399,2570,2891,2802,2944,2676,2758,2605,2420,2511,2337,2446,2543,2749,3116,3332
"126","118","    Other nondurable goods","DONGRX0",596017,599230,601932,626123,618857,634054,640738,650819,646455,651524,658886,667322,673774,671748,674635,682835,693778,700677,716141,727595,728404,737655,746132,750186,756258,762684,766780,777918,793810,799046,802717,817797,820779,825101,827531,827194,823730,833296,834300,821943,818972,809401,811931,816373,821028,828417,836621,845831,855110,862872,865468,869382,880066,878501,878596,885512,897071,899656,909379,918904,923324,940600,954372,961651,964055,978632,998278,1008570
"127","119","      Pharmaceutical and other medical products (40 and 41)","DPHMRX0",186777,189807,189128,204563,194747,210191,215117,222791,219842,223541,233530,239251,242577,239899,242269,245839,253515,255065,261782,267705,263920,270628,273737,275083,275158,275765,276587,279288,285245,294342,298012,305449,308873,311611,310105,308267,310858,314064,316741,318340,319612,320564,322528,320762,318739,321190,325037,324743,328606,327558,329024,332403,336011,333850,330998,334204,341131,345464,353233,359101,363957,371995,377399,381614,382254,387518,394218,399326
"128","120","        Pharmaceutical products","DPNPRX0",185046,188029,187324,202650,192792,208204,213060,220688,217739,221418,231431,237093,240418,237656,240000,243558,251185,252645,259234,265061,261217,267819,270844,272135,272130,272715,273453,276009,281873,290930,294518,301842,305164,307772,306200,304396,306982,310109,312808,314524,315832,316796,318777,316953,314835,317151,320887,320581,324420,323338,324692,328096,331568,329383,326488,329702,336592,340912,348620,354418,359249,367165,372524,376713,377280,382577,389199,394252
"129","121","          Prescription drugs","DRXDRX0",159871,162873,162629,177432,168047,182988,187490,194438,192268,196085,205961,210918,212987,209836,212598,216017,222965,223709,229246,234173,230386,236482,238694,239136,238014,238251,238331,240159,245569,254254,257192,263738,266372,268720,266622,264613,266791,269174,271785,274383,276188,277321,278995,276728,273988,276164,278726,277581,280575,279252,279735,283004,285810,283724,280780,283616,289550,294134,301175,306429,310566,317720,322722,326110,326609,331527,337367,341952
"130","122","          Nonprescription drugs","DNRDRX0",24503,24577,24205,25023,24398,25155,25554,26280,25582,25548,25866,26563,27688,27976,27643,27816,28524,29182,30206,31088,30990,31526,32302,33100,34149,34481,35114,35830,36299,36693,37342,38124,38804,39065,39572,39771,40180,40922,41013,40141,39647,39475,39778,40225,40864,40998,42201,43097,43970,44249,45194,45293,45984,45910,46020,46390,47352,46973,47589,48096,48792,49498,49785,50634,50702,50998,51753,52164
"131","123","        Other medical products","DOMPRX0",1776,1819,1838,1958,1968,2028,2095,2148,2141,2166,2163,2222,2227,2295,2320,2336,2389,2471,2595,2687,2736,2840,2919,2972,3045,3065,3146,3284,3375,3419,3500,3612,3712,3838,3900,3867,3874,3952,3931,3816,3780,3769,3750,3808,3907,4045,4160,4173,4197,4234,4357,4324,4470,4499,4551,4537,4569,4577,4633,4703,4723,4848,4889,4911,4995,4942,5019,5072
"132","124","      Recreational items (parts of 80, 92, and 93)","DREIRX0",75243,76157,78430,82357,83358,82722,84772,86257,86655,87429,87487,89046,90619,92337,93830,95718,95487,97211,99643,101343,101370,102246,104774,106922,109929,113243,114184,117115,120333,119839,120028,122459,124917,126408,128012,128751,127871,129393,129153,124571,123505,122902,122677,126247,128297,130893,132639,136149,138188,139938,141029,142227,145382,146472,150214,150947,155455,155102,155989,159314,161230,167655,172506,173016,174038,176976,181868,180434
"133","125","        Games, toys, and hobbies","DDOLRX0",20280,20659,21252,22165,22786,23542,24169,24396,24871,25081,25471,26610,26607,27660,28808,30259,29597,30480,31486,32216,32700,32551,33689,34930,36188,37418,37841,38518,39948,40503,40754,41114,42321,43347,44900,45982,46416,48322,48885,48813,49083,49000,50192,52712,54101,54818,56728,58796,60861,62491,63356,64931,67175,68766,70134,70783,73189,73820,75631,77615,78733,82584,84031,85533,87576,90048,92978,94403
"134","126","        Pets and related products","DPRPRX0",31514,31938,32461,35243,34963,34611,34626,35235,35524,36137,36609,36872,37765,37933,37956,38292,38701,40105,40906,41283,41722,41601,42586,43517,44234,45101,45652,46654,47493,46820,47206,48831,49513,50739,50561,50834,50308,50426,49075,47311,46963,46182,45523,46599,47376,47851,48330,49281,49453,50532,50470,50307,51075,51083,52322,52195,53458,52808,53279,53906,54874,55539,56025,55897,56174,57179,59093,59931
"135","127","        Flowers, seeds, and potted plants","DFLORX0",24592,24590,25877,26452,26812,24807,26067,26742,26289,26482,25550,25290,26312,26335,26122,25742,26235,25650,26127,26582,25573,26791,27162,27052,27992,29197,29251,30654,31443,30967,30590,31281,31846,31213,31276,30570,29675,28964,29429,26721,25773,26118,25406,25379,25269,26630,26075,26544,26472,25613,25951,25960,26238,25962,27093,27424,28330,28168,27081,27928,28041,30299,33138,32657,31836,31623,31857,28790
"136","128","        Film and photographic supplies","DFLMRX0",2624,2650,2625,2761,2688,2750,2781,2945,2819,2696,2646,2576,2627,2687,2737,2726,2666,2673,2720,2747,2725,2760,2701,2634,2594,2534,2456,2387,2415,2279,2209,2157,2054,1917,1838,1817,1817,1875,1826,1737,1687,1601,1544,1568,1587,1624,1598,1658,1636,1624,1626,1554,1559,1510,1487,1440,1456,1450,1429,1437,1269,1245,1211,1190,1173,1188,1219,1252
"137","129","      Household supplies (parts of 32 and 36)","DHOURX0",87005,87189,87658,89349,89367,88694,87982,88321,88759,89194,89034,89527,90502,90349,90894,93097,95113,96391,98466,100388,101164,101466,102778,103341,104024,105493,106472,108309,109445,108842,108799,109849,110391,110385,111501,111664,110700,111532,110960,107409,105249,104590,104581,106258,107438,109157,109836,111543,113131,114937,115047,114324,115728,116020,117247,118202,120883,119976,121661,122650,122714,124625,126026,127478,128174,129051,130913,131302
"138","130","        Household cleaning products","DCLERX0",34427,34325,34305,34865,34320,34471,34281,34382,34015,34151,34308,34507,34330,34368,34338,34841,34853,35128,36013,35935,36065,36148,36301,36731,36921,36975,36778,36617,36955,36647,36148,36034,35837,35671,35619,35726,35583,35788,35676,34129,33558,33251,33086,33182,33691,34285,34103,34509,34701,35614,35338,34574,34926,34785,34880,35224,35774,35802,36203,36611,36701,37267,37769,37713,37811,37600,38086,38207
"139","131","        Household paper products","DPAPRX0",34219,34666,34337,34950,34649,34083,33517,33623,34237,34574,34439,35375,35644,35554,36060,36359,37000,36879,37157,37375,37112,37144,36485,36548,36459,37035,37235,37787,37264,36445,36454,36454,36242,36210,36269,35936,35602,35532,35181,33467,32845,32641,32619,33047,33310,33203,32652,32838,33441,33928,33779,33236,33059,32880,32776,32652,32838,32480,32841,32712,33003,32951,33328,33511,33569,33634,34044,33811
"140","132","        Household linens","DLINRX0",14442,14355,14755,15132,15516,15404,15433,15618,15687,15717,15750,15583,16192,16083,16142,17103,18148,18651,19186,20325,20867,21029,22060,22040,22433,23079,23792,24710,25510,26025,26470,27468,28225,28362,29253,29493,29260,29758,29749,29941,29137,28893,28996,29875,30257,31308,32624,33572,34178,34295,35063,35613,36785,37493,38900,39369,41256,40810,41681,42543,42208,43542,43797,45217,45843,46680,47491,47806
"141","133","        Sewing items","DSEWRX0",1106,1115,1141,1155,1185,1227,1188,1170,1192,1192,1208,1269,1276,1275,1289,1350,1306,1351,1366,1336,1381,1343,1369,1364,1377,1369,1370,1394,1420,1359,1368,1323,1358,1400,1341,1352,1325,1367,1320,1330,1311,1286,1239,1279,1282,1270,1297,1298,1273,1305,1298,1266,1307,1299,1250,1300,1334,1301,1298,1277,1264,1290,1332,1370,1409,1446,1454,1409
"142","134","        Miscellaneous household products","DMHPRX0",7570,7674,7690,7818,7882,7603,7467,7359,7550,7567,7278,7045,7050,7097,7179,7202,7253,7623,7898,8151,8221,8245,8532,8693,8733,8813,8861,9180,9394,9201,9067,9075,9071,9051,9196,9271,9041,9146,9077,8528,8394,8519,8641,8878,8893,9095,9221,9428,9654,9890,9723,9868,9987,9987,10047,10310,10556,10442,10573,10586,10527,10758,10946,11020,10996,11274,11481,11786
"143","135","      Personal care products (part of 118)","DOPCRX0",67899,67988,68285,70455,70525,71701,72474,73421,72773,73764,73838,75530,76310,76268,75991,76666,78441,80320,83355,84452,85486,86363,87811,88701,91228,91736,92155,94398,96366,97494,98047,98652,99979,100755,102502,102491,103098,104271,103925,101498,99969,99396,99510,101477,102772,104986,106358,108889,109780,111754,113526,113038,114582,114514,115001,116336,118477,118416,119022,120030,119959,122566,122606,123923,123283,124514,126579,126160
"144","136","        Hair, dental, shaving, and miscellaneous personal care products except electrical products","DOPHRX0",36307,36422,36803,38325,37869,38822,39108,39469,39355,40133,40488,41801,41988,41747,41443,41823,42997,44059,45755,46239,46774,47485,48281,48666,50077,50190,50331,51732,52854,53178,53387,53685,54675,55168,56147,56033,56570,57144,57097,56132,55690,55044,55131,56323,56460,57965,59025,60493,60853,62081,63368,63011,63932,64031,64005,64495,65617,65619,65750,66065,66332,68473,68312,69095,68279,68552,69819,69858
"145","137","        Cosmetic / perfumes / bath / nail preparations and implements","DCOSRX0",29092,29020,28832,29336,29850,29937,30368,30892,30292,30402,30008,30217,30730,30856,30875,31099,31604,32276,33447,34011,34448,34519,35061,35502,36473,36795,37064,37762,38468,39312,39635,39916,40148,40426,41109,41214,41321,41837,41604,40292,39324,39464,39445,40114,41214,41798,42069,43009,43451,44048,44449,44282,44831,44670,45111,45857,46721,46709,47174,47868,47503,47805,47997,48468,48690,49535,50179,49722
"146","138","        Electric appliances for personal care","DEAPRX0",2638,2675,2758,2882,2922,3032,3098,3172,3213,3294,3374,3510,3603,3687,3706,3773,3854,3993,4160,4215,4278,4358,4467,4534,4678,4756,4769,4907,5046,5016,5040,5067,5164,5168,5252,5252,5213,5297,5230,5074,4954,4888,4934,5041,5098,5222,5264,5388,5475,5630,5724,5758,5835,5834,5897,5987,6142,6091,6091,6081,6118,6317,6317,6383,6314,6415,6573,6587
"147","139","      Tobacco (127)","DTOBRX0",123747,121850,120424,119513,119120,118737,118313,117794,117562,116811,115960,115003,113158,111114,109670,108831,108666,108975,109532,110290,111729,112299,112475,112251,111028,110770,110886,111398,114148,112425,110859,116272,111386,110349,110866,110155,105705,107612,108108,105972,106595,97552,97565,96368,97976,95290,94920,95159,93628,96636,94258,93195,94295,93824,91144,91720,89008,88844,87229,86772,84280,83116,83939,83806,82501,85385,88152,91885
"148","140","      Magazines, newspapers, and stationery (part of 90)","DNEWRX0",62174,62611,62319,63905,64082,65269,65267,65647,63788,63151,61947,61275,61404,61485,61378,61804,61100,61205,61862,62246,63547,63299,63147,62498,62955,63069,63526,63923,64605,63438,63204,63163,62165,60863,60710,61564,60684,62459,61431,58322,57995,57445,58265,58989,60319,61640,62853,64320,65951,66582,66987,68765,68649,68874,69805,70760,70089,69617,70209,69320,69852,70235,71788,72165,73890,75201,76491,77830
"149","141","        Newspapers and periodicals","DMAGRX0",41803,42152,41796,42707,42322,43218,43081,43825,42976,42658,41708,41163,41279,41681,41522,41879,41198,40739,40839,40746,41451,41066,40966,40229,40412,40250,40486,40710,41161,40065,39563,39057,38250,37109,37018,37917,37122,38635,37909,35701,35211,34833,35497,36175,37291,38097,39170,40097,41394,41861,42225,43556,43259,43492,44566,45006,44184,43656,43765,43244,43477,43671,44829,44991,45955,46650,47439,48530
"150","142","        Stationery and miscellaneous printed materials","DSTYRX0",20720,20825,20851,21501,21958,22276,22384,22118,21175,20873,20587,20440,20460,20202,20237,20318,20254,20733,21246,21682,22269,22387,22336,22398,22665,22925,23142,23313,23545,23452,23698,24133,23929,23744,23681,23661,23558,23847,23539,22625,22783,22612,22770,22814,23026,23542,23679,24218,24547,24710,24749,25192,25385,25372,25192,25715,25903,25986,26506,26133,26454,26654,27015,27248,28036,28683,29190,29367
"151","143","      Net expenditures abroad by U/S/ residents (131)","DNFRRX0",6128,5982,6621,6278,6651,7602,7579,7102,7354,7888,7804,7858,8862,8614,8210,7634,8286,7854,7306,6629,6819,7105,6595,6091,5699,5831,6068,6260,6638,5188,5823,4874,4681,5923,5015,5370,5178,4528,4544,6246,6435,6801,6597,6244,5549,5763,5629,6031,7111,6772,7270,7181,7303,7084,7314,6406,5942,5868,5713,5708,5649,5708,5735,5309,5899,5693,5904,5894
"152","144","        Expenditures abroad by U/S/ residents","DABDRX0",7555,7833,8049,7773,8242,8986,9249,8668,9061,9773,9507,9418,10602,10164,9889,9542,9930,9753,9551,8688,8885,9172,8647,8278,7926,8120,8343,8635,8779,8058,8103,8064,8391,8343,8157,7763,7780,7738,7956,10052,9874,9542,9420,9144,9921,10667,10528,10220,9988,9573,9939,10076,9889,9603,9759,9049,8821,8828,8521,8066,8008,8131,8006,8312,8541,8642,8545,8350
"153","145","          Government employees' expenditures abroad","DARTRX0",7256,7524,7732,7466,7916,8631,8885,8325,8704,9386,9132,9046,10184,9762,9500,9165,9522,9332,9125,8290,8470,8736,8227,7865,7520,7694,7897,8166,8289,7599,7629,7580,7873,7817,7637,7266,7285,7249,7455,9420,9251,8940,8824,8566,9294,9993,9863,9575,9358,8968,9311,9439,9226,8902,9032,8344,8138,8139,7835,7398,7336,7454,7305,7575,7776,7868,7779,7602
"154","146","          Private employees' expenditures abroad","DARSRX0",299,309,318,307,326,355,364,342,358,386,375,372,418,402,389,377,408,420,426,399,415,436,420,412,405,425,446,469,490,460,474,485,518,526,520,497,495,489,501,632,623,603,596,578,627,674,665,645,631,605,628,637,663,700,728,705,683,689,685,668,672,678,701,738,765,774,766,748
"155","147","        Less: Personal remittances in kind to nonresidents","DREMRX0",1427,1851,1428,1495,1591,1385,1669,1566,1707,1884,1703,1559,1740,1550,1679,1909,1644,1899,2244,2059,2066,2068,2051,2186,2227,2289,2275,2375,2141,2870,2280,3190,3710,2420,3142,2393,2601,3211,3412,3806,3439,2742,2823,2900,4372,4904,4898,4189,2877,2801,2669,2895,2586,2519,2446,2642,2878,2960,2807,2358,2360,2423,2271,3004,2642,2949,2640,2456
"156","148","Services","DSERRX0",5245389,5297451,5356195,5427430,5510763,5577287,5629228,5679888,5709575,5723745,5733702,5756818,5791933,5825165,5848159,5887428,5909399,5942311,5986872,6028993,6083984,6126762,6177086,6238426,6271489,6331814,6388449,6421912,6464403,6511278,6541209,6589501,6623820,6644894,6673418,6683577,6710521,6715490,6708062,6700304,6662509,6639488,6642706,6649398,6670610,6710336,6743979,6785643,6811987,6839240,6876640,6877739,6898047,6905967,6909712,6918754,6931443,6956829,6978141,7041709,7065672,7108528,7163844,7240386,7277393,7325326,7363376,7401644
"157","149","  Household consumption expenditures (for services)","DHCERX0",5108068,5159012,5216795,5286215,5363834,5429973,5474635,5519394,5548089,5557575,5563566,5581933,5612964,5639596,5653063,5686527,5708416,5737980,5781754,5823742,5875141,5918994,5970277,6032092,6073180,6127909,6183445,6204812,6237802,6276049,6301551,6351754,6385121,6409527,6434137,6432120,6451724,6446232,6430148,6412289,6383430,6366600,6369522,6370484,6391466,6428732,6466500,6510678,6539342,6565757,6596541,6602132,6616889,6611671,6614688,6614035,6633844,6661268,6679288,6737253,6762640,6804246,6856181,6934910,6977604,7024304,7052375,7085378
"158","150","    Housing and utilities","DHUTRX0",1531197,1546073,1562209,1562348,1570511,1592101,1606656,1632833,1641322,1639633,1646294,1644905,1644706,1651617,1654422,1664544,1668048,1673011,1675315,1687556,1698335,1710582,1720338,1742366,1760857,1782259,1802123,1808224,1803771,1824542,1835961,1828474,1837500,1840125,1845439,1840048,1854624,1860228,1854743,1870817,1874043,1877955,1881417,1890556,1897157,1896528,1906495,1916842,1918306,1924406,1937367,1931909,1915992,1933564,1939510,1927531,1938507,1938837,1933031,1944951,1966475,1959982,1954788,1963456,1980542,1976707,1980675,1973468
"159","151","      Housing","DHSGRX0",1263136,1273153,1283015,1292750,1302773,1313952,1325978,1339226,1353117,1364357,1370137,1371126,1369242,1368328,1369456,1372632,1377744,1383066,1390595,1399334,1408373,1420107,1434294,1450990,1469960,1487869,1502372,1514170,1524143,1531814,1537539,1541051,1542286,1544260,1548276,1554145,1561644,1568370,1574504,1580019,1584429,1588069,1593703,1600081,1602718,1605271,1610063,1616932,1626012,1635298,1641580,1646112,1647038,1646580,1646327,1646306,1646774,1648835,1652658,1658317,1665464,1671984,1677318,1681552,1685157,1688964,1692922,1696832
