"","Table 2#6# Personal Income and Its Disposition, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985"
"19",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12"
"20","1","Personal income","A065RC1","765,448.0","770,766.0","777,750.0","784,063.0","790,369.0","796,848.0","805,189.0","812,752.0","818,024.0","822,920.0","826,839.0","832,132.0","836,786.0","841,826.0","846,677.0","861,380.0","858,344.0","859,205.0","869,036.0","873,835.0","879,239.0","879,320.0","881,532.0","887,993.0","898,168.0","902,553.0","908,173.0","914,728.0","921,738.0","942,690.0","934,074.0","941,634.0","945,799.0","950,197.0","957,783.0","968,090.0","976,295.0","987,581.0","994,015.0","998,340.0","1,004,263.0","1,007,773.0","1,018,090.0","1,030,577.0","1,038,938.0","1,063,874.0","1,078,126.0","1,085,041.0","1,084,108.0","1,093,596.0","1,102,194.0","1,112,781.0","1,122,790.0","1,132,191.0","1,139,602.0","1,149,617.0","1,160,918.0","1,177,789.0","1,190,222.0","1,196,506.0","1,198,287.0","1,204,597.0","1,210,273.0","1,217,925.0","1,231,008.0","1,242,178.0","1,258,002.0","1,265,338.0","1,276,488.0","1,291,493.0","1,293,716.0","1,302,921.0","1,309,972.0","1,316,220.0","1,321,570.0","1,328,307.0","1,341,419.0","1,372,911.0","1,369,921.0","1,385,892.0","1,396,443.0","1,410,897.0","1,419,923.0","1,429,269.0","1,443,752.0","1,453,977.0","1,460,059.0","1,468,516.0","1,477,247.0","1,485,328.0","1,502,172.0","1,514,275.0","1,523,922.0","1,532,013.0","1,552,184.0","1,563,592.0","1,562,373.0","1,580,209.0","1,596,223.0","1,614,811.0","1,628,344.0","1,640,624.0","1,659,326.0","1,673,937.0","1,690,738.0","1,713,635.0","1,737,353.0","1,752,966.0","1,756,820.0","1,772,789.0","1,794,253.0","1,817,686.0","1,832,435.0","1,850,940.0","1,871,005.0","1,888,612.0","1,901,603.0","1,925,624.0","1,940,373.0","1,961,461.0","1,979,462.0","1,997,863.0","2,020,000.0","2,025,175.0","2,038,912.0","2,054,726.0","2,086,245.0","2,105,031.0","2,124,065.0","2,144,491.0","2,167,240.0","2,192,160.0","2,217,261.0","2,230,543.0","2,242,631.0","2,242,090.0","2,254,030.0","2,272,278.0","2,307,903.0","2,333,705.0","2,368,042.0","2,416,499.0","2,444,380.0","2,472,316.0","2,483,946.0","2,500,761.0","2,525,179.0","2,530,885.0","2,549,161.0","2,572,397.0","2,625,653.0","2,650,979.0","2,664,774.0","2,668,847.0","2,685,817.0","2,692,264.0","2,700,108.0","2,719,309.0","2,724,011.0","2,743,958.0","2,759,875.0","2,769,970.0","2,788,797.0","2,800,711.0","2,807,871.0","2,824,224.0","2,843,909.0","2,863,494.0","2,870,727.0","2,877,746.0","2,895,277.0","2,909,766.0","2,936,613.0","2,947,784.0","2,973,419.0","2,985,508.0","3,012,582.0","3,046,635.0","3,075,567.0","3,105,054.0","3,130,626.0","3,170,191.0","3,199,975.0","3,232,853.0","3,244,315.0","3,274,827.0","3,294,633.0","3,327,374.0","3,357,579.0","3,355,504.0","3,377,542.0","3,410,169.0","3,423,840.0","3,443,063.0","3,470,934.0","3,470,685.0","3,483,253.0","3,504,339.0","3,518,444.0","3,529,603.0","3,551,835.0","3,574,970.0","3,592,592.0","3,626,762.0"
"21","2","   Compensation of employees","W209RC1","560,228.0","563,357.0","569,095.0","573,578.0","578,168.0","582,964.0","590,016.0","595,528.0","599,555.0","603,593.0","606,574.0","609,529.0","613,557.0","616,336.0","620,087.0","620,870.0","622,766.0","622,338.0","627,812.0","630,234.0","631,924.0","629,244.0","630,573.0","635,661.0","646,510.0","649,823.0","653,263.0","657,415.0","662,876.0","665,175.0","667,617.0","673,904.0","675,054.0","677,607.0","681,940.0","693,177.0","703,687.0","711,945.0","716,028.0","721,175.0","724,523.0","728,540.0","731,146.0","738,449.0","744,736.0","754,794.0","761,017.0","767,644.0","780,277.0","788,826.0","794,173.0","800,324.0","805,182.0","811,192.0","817,667.0","821,755.0","828,844.0","836,617.0","845,503.0","850,098.0","856,131.0","861,081.0","865,345.0","870,640.0","881,375.0","891,219.0","897,982.0","901,667.0","908,863.0","918,093.0","914,633.0","916,809.0","920,360.0","919,487.0","923,676.0","925,985.0","934,670.0","941,722.0","947,675.0","961,172.0","968,210.0","977,908.0","987,021.0","994,217.0","1,010,991.0","1,018,368.0","1,023,566.0","1,031,575.0","1,040,053.0","1,043,573.0","1,052,187.0","1,062,396.0","1,069,128.0","1,075,981.0","1,088,963.0","1,098,028.0","1,103,501.0","1,117,022.0","1,128,279.0","1,140,460.0","1,154,263.0","1,165,380.0","1,175,966.0","1,183,381.0","1,196,670.0","1,212,124.0","1,221,689.0","1,229,093.0","1,241,788.0","1,254,021.0","1,271,582.0","1,291,688.0","1,300,560.0","1,316,566.0","1,328,391.0","1,338,148.0","1,350,961.0","1,370,287.0","1,382,126.0","1,396,576.0","1,413,516.0","1,425,925.0","1,442,573.0","1,444,496.0","1,457,008.0","1,473,330.0","1,487,289.0","1,497,323.0","1,511,797.0","1,524,680.0","1,539,470.0","1,555,012.0","1,565,307.0","1,578,816.0","1,593,551.0","1,594,051.0","1,598,992.0","1,608,475.0","1,613,205.0","1,632,521.0","1,647,868.0","1,675,568.0","1,696,164.0","1,710,229.0","1,734,689.0","1,743,853.0","1,757,163.0","1,767,449.0","1,775,891.0","1,789,031.0","1,801,383.0","1,818,469.0","1,826,301.0","1,837,870.0","1,845,698.0","1,845,416.0","1,858,717.0","1,869,149.0","1,871,415.0","1,873,666.0","1,888,443.0","1,893,149.0","1,902,294.0","1,907,214.0","1,906,461.0","1,912,842.0","1,917,915.0","1,930,572.0","1,947,648.0","1,944,533.0","1,957,595.0","1,970,840.0","1,991,993.0","2,002,883.0","2,021,107.0","2,028,785.0","2,043,848.0","2,074,955.0","2,083,143.0","2,099,553.0","2,133,114.0","2,146,928.0","2,161,251.0","2,186,096.0","2,191,697.0","2,212,597.0","2,229,791.0","2,238,914.0","2,259,208.0","2,263,609.0","2,282,536.0","2,303,099.0","2,310,954.0","2,322,797.0","2,347,378.0","2,349,442.0","2,361,987.0","2,383,559.0","2,388,454.0","2,405,988.0","2,425,756.0","2,439,822.0","2,451,650.0","2,479,799.0"
"22","3","     Wages and salaries","A576RC1","495,599.0","498,220.0","503,385.0","507,272.0","511,310.0","515,564.0","521,931.0","526,928.0","530,434.0","533,954.0","536,432.0","538,968.0","542,465.0","544,794.0","548,035.0","548,394.0","549,838.0","548,966.0","553,953.0","555,962.0","557,251.0","554,350.0","555,167.0","559,544.0","567,783.0","570,473.0","573,283.0","576,777.0","581,511.0","583,059.0","584,963.0","590,546.0","590,861.0","592,767.0","596,253.0","606,306.0","612,756.0","619,633.0","623,024.0","627,484.0","630,115.0","633,520.0","635,928.0","642,598.0","648,449.0","657,979.0","663,763.0","670,168.0","676,215.0","684,403.0","689,435.0","695,301.0","699,804.0","705,459.0","711,498.0","715,213.0","721,781.0","728,569.0","736,722.0","740,739.0","744,175.0","748,440.0","751,928.0","756,182.0","765,555.0","774,153.0","779,616.0","782,021.0","787,755.0","795,348.0","790,822.0","791,387.0","792,575.0","790,280.0","792,905.0","793,727.0","800,870.0","806,504.0","811,187.0","823,343.0","829,348.0","838,036.0","846,387.0","852,893.0","865,183.0","871,979.0","876,491.0","883,569.0","891,005.0","893,572.0","900,887.0","909,634.0","914,835.0","920,353.0","931,200.0","938,231.0","939,572.0","950,756.0","959,801.0","970,048.0","981,767.0","990,910.0","999,733.0","1,005,682.0","1,017,104.0","1,030,749.0","1,038,768.0","1,045,008.0","1,051,831.0","1,062,554.0","1,078,250.0","1,096,330.0","1,103,752.0","1,117,774.0","1,128,073.0","1,136,128.0","1,147,179.0","1,164,236.0","1,174,183.0","1,186,546.0","1,196,621.0","1,207,027.0","1,221,415.0","1,222,208.0","1,232,853.0","1,247,027.0","1,258,659.0","1,266,783.0","1,279,120.0","1,289,917.0","1,302,420.0","1,315,718.0","1,323,094.0","1,334,516.0","1,347,014.0","1,346,074.0","1,349,622.0","1,357,403.0","1,360,265.0","1,377,437.0","1,390,474.0","1,415,427.0","1,433,841.0","1,445,895.0","1,460,224.0","1,467,782.0","1,479,184.0","1,487,838.0","1,494,776.0","1,505,980.0","1,516,566.0","1,531,611.0","1,538,013.0","1,547,825.0","1,554,025.0","1,552,651.0","1,561,221.0","1,569,735.0","1,570,643.0","1,571,557.0","1,584,118.0","1,587,143.0","1,594,640.0","1,597,809.0","1,595,743.0","1,600,326.0","1,603,483.0","1,613,788.0","1,622,387.0","1,618,021.0","1,628,743.0","1,639,758.0","1,658,429.0","1,667,103.0","1,683,288.0","1,689,539.0","1,702,549.0","1,730,728.0","1,737,513.0","1,752,097.0","1,773,155.0","1,785,074.0","1,797,350.0","1,819,365.0","1,823,573.0","1,841,663.0","1,856,234.0","1,863,395.0","1,880,551.0","1,883,200.0","1,899,071.0","1,916,343.0","1,920,815.0","1,929,903.0","1,950,650.0","1,950,824.0","1,960,403.0","1,978,482.0","1,981,151.0","1,995,446.0","2,011,719.0","2,022,891.0","2,032,061.0","2,056,255.0"
"23","4","       Private industries","A132RC1","394,739.0","396,928.0","401,685.0","404,816.0","408,206.0","411,788.0","414,819.0","418,592.0","421,390.0","424,526.0","426,620.0","428,688.0","428,869.0","430,466.0","432,879.0","431,066.0","432,114.0","434,470.0","437,057.0","438,262.0","436,851.0","435,058.0","435,443.0","439,400.0","444,675.0","446,501.0","448,735.0","451,617.0","455,895.0","457,011.0","457,935.0","460,986.0","463,377.0","464,991.0","466,953.0","474,546.0","478,844.0","485,205.0","488,908.0","492,272.0","494,399.0","497,444.0","498,772.0","504,074.0","508,845.0","515,811.0","520,203.0","525,996.0","531,935.0","539,259.0","543,727.0","548,701.0","552,640.0","557,671.0","562,818.0","565,513.0","571,433.0","576,049.0","583,242.0","586,563.0","589,291.0","592,812.0","595,520.0","599,578.0","607,919.0","613,865.0","616,764.0","621,725.0","627,003.0","629,896.0","623,774.0","623,091.0","623,527.0","619,816.0","620,893.0","620,347.0","626,338.0","631,036.0","634,495.0","645,715.0","650,256.0","656,724.0","664,019.0","670,009.0","681,351.0","687,175.0","690,787.0","697,097.0","703,609.0","705,612.0","712,087.0","720,150.0","724,667.0","727,425.0","736,892.0","743,215.0","743,668.0","754,024.0","762,193.0","771,480.0","782,083.0","790,170.0","797,529.0","801,942.0","812,056.0","822,017.0","828,248.0","833,432.0","838,862.0","848,470.0","863,423.0","880,386.0","886,608.0","899,274.0","907,649.0","914,624.0","924,571.0","938,156.0","946,723.0","957,874.0","965,953.0","976,311.0","989,439.0","989,292.0","1,000,237.0","1,013,127.0","1,021,887.0","1,028,331.0","1,039,768.0","1,045,529.0","1,056,088.0","1,068,174.0","1,073,490.0","1,083,232.0","1,094,086.0","1,090,838.0","1,091,410.0","1,097,655.0","1,098,717.0","1,114,281.0","1,126,178.0","1,143,338.0","1,159,905.0","1,170,400.0","1,182,838.0","1,189,005.0","1,199,183.0","1,206,852.0","1,212,637.0","1,222,687.0","1,231,759.0","1,245,650.0","1,248,366.0","1,253,469.0","1,258,293.0","1,255,549.0","1,262,020.0","1,269,491.0","1,268,824.0","1,268,287.0","1,279,574.0","1,281,174.0","1,285,271.0","1,289,352.0","1,286,078.0","1,286,189.0","1,287,477.0","1,296,026.0","1,304,051.0","1,298,720.0","1,308,475.0","1,319,373.0","1,332,869.0","1,344,025.0","1,358,476.0","1,360,002.0","1,375,503.0","1,402,347.0","1,407,814.0","1,420,960.0","1,436,511.0","1,445,991.0","1,456,080.0","1,476,283.0","1,478,744.0","1,495,091.0","1,507,310.0","1,511,620.0","1,526,587.0","1,527,532.0","1,541,952.0","1,557,617.0","1,557,385.0","1,564,101.0","1,583,212.0","1,580,122.0","1,591,431.0","1,608,033.0","1,606,979.0","1,618,600.0","1,632,295.0","1,642,568.0","1,648,550.0","1,670,968.0"
"24","5","       Government","B202RC1","100,860.0","101,292.0","101,700.0","102,456.0","103,104.0","103,776.0","107,112.0","108,336.0","109,044.0","109,428.0","109,812.0","110,280.0","113,596.0","114,328.0","115,156.0","117,328.0","117,724.0","114,496.0","116,896.0","117,700.0","120,400.0","119,292.0","119,724.0","120,144.0","123,108.0","123,972.0","124,548.0","125,160.0","125,616.0","126,048.0","127,028.0","129,560.0","127,484.0","127,776.0","129,300.0","131,760.0","133,912.0","134,428.0","134,116.0","135,212.0","135,716.0","136,076.0","137,156.0","138,524.0","139,604.0","142,168.0","143,560.0","144,172.0","144,280.0","145,144.0","145,708.0","146,600.0","147,164.0","147,788.0","148,680.0","149,700.0","150,348.0","152,520.0","153,480.0","154,176.0","154,884.0","155,628.0","156,408.0","156,604.0","157,636.0","160,288.0","162,852.0","160,296.0","160,752.0","165,452.0","167,048.0","168,296.0","169,048.0","170,464.0","172,012.0","173,380.0","174,532.0","175,468.0","176,692.0","177,628.0","179,092.0","181,312.0","182,368.0","182,884.0","183,832.0","184,804.0","185,704.0","186,472.0","187,396.0","187,960.0","188,800.0","189,484.0","190,168.0","192,928.0","194,308.0","195,016.0","195,904.0","196,732.0","197,608.0","198,568.0","199,684.0","200,740.0","202,204.0","203,740.0","205,048.0","208,732.0","210,520.0","211,576.0","212,969.0","214,084.0","214,827.0","215,944.0","217,144.0","218,500.0","220,424.0","221,504.0","222,608.0","226,080.0","227,460.0","228,672.0","230,668.0","230,716.0","231,976.0","232,916.0","232,616.0","233,900.0","236,772.0","238,452.0","239,352.0","244,388.0","246,332.0","247,544.0","249,604.0","251,284.0","252,928.0","255,236.0","258,212.0","259,748.0","261,548.0","263,156.0","264,296.0","272,089.0","273,936.0","275,495.0","277,386.0","278,777.0","280,001.0","280,986.0","282,139.0","283,293.0","284,807.0","285,961.0","289,647.0","294,356.0","295,732.0","297,102.0","299,201.0","300,244.0","301,819.0","303,270.0","304,544.0","305,969.0","309,369.0","308,457.0","309,665.0","314,137.0","316,006.0","317,762.0","318,336.0","319,301.0","320,268.0","320,385.0","325,560.0","323,078.0","324,812.0","329,537.0","327,045.0","328,381.0","329,699.0","331,137.0","336,644.0","339,083.0","341,270.0","343,082.0","344,830.0","346,572.0","348,924.0","351,775.0","353,964.0","355,668.0","357,119.0","358,726.0","363,430.0","365,802.0","367,438.0","370,702.0","368,972.0","370,449.0","374,172.0","376,846.0","379,424.0","380,323.0","383,511.0","385,287.0"
"25","6","     Supplements to wages and salaries","A038RC1","64,629.0","65,137.0","65,709.0","66,306.0","66,858.0","67,400.0","68,085.0","68,600.0","69,121.0","69,639.0","70,142.0","70,562.0","71,092.0","71,541.0","72,053.0","72,477.0","72,928.0","73,372.0","73,859.0","74,272.0","74,673.0","74,893.0","75,406.0","76,117.0","78,727.0","79,350.0","79,980.0","80,638.0","81,365.0","82,116.0","82,654.0","83,358.0","84,193.0","84,841.0","85,687.0","86,871.0","90,931.0","92,312.0","93,004.0","93,690.0","94,408.0","95,020.0","95,218.0","95,851.0","96,286.0","96,816.0","97,254.0","97,476.0","104,062.0","104,423.0","104,737.0","105,024.0","105,378.0","105,733.0","106,169.0","106,542.0","107,063.0","108,049.0","108,781.0","109,360.0","111,956.0","112,641.0","113,417.0","114,458.0","115,820.0","117,066.0","118,366.0","119,645.0","121,108.0","122,745.0","123,811.0","125,422.0","127,785.0","129,207.0","130,772.0","132,258.0","133,800.0","135,218.0","136,488.0","137,828.0","138,862.0","139,873.0","140,634.0","141,323.0","145,808.0","146,389.0","147,074.0","148,006.0","149,048.0","150,001.0","151,301.0","152,761.0","154,293.0","155,627.0","157,764.0","159,798.0","163,929.0","166,266.0","168,478.0","170,413.0","172,496.0","174,470.0","176,233.0","177,700.0","179,566.0","181,375.0","182,921.0","184,084.0","189,956.0","191,467.0","193,332.0","195,357.0","196,808.0","198,792.0","200,318.0","202,020.0","203,782.0","206,051.0","207,943.0","210,029.0","216,896.0","218,899.0","221,158.0","222,289.0","224,155.0","226,302.0","228,630.0","230,539.0","232,677.0","234,763.0","237,049.0","239,294.0","242,214.0","244,299.0","246,536.0","247,977.0","249,370.0","251,072.0","252,940.0","255,083.0","257,394.0","260,141.0","262,323.0","264,335.0","274,465.0","276,071.0","277,979.0","279,612.0","281,115.0","283,051.0","284,817.0","286,858.0","288,289.0","290,045.0","291,673.0","292,765.0","297,496.0","299,413.0","300,772.0","302,109.0","304,325.0","306,005.0","307,654.0","309,406.0","310,718.0","312,516.0","314,433.0","316,784.0","325,260.0","326,512.0","328,853.0","331,082.0","333,563.0","335,780.0","337,819.0","339,247.0","341,299.0","344,226.0","345,631.0","347,456.0","359,959.0","361,854.0","363,901.0","366,732.0","368,123.0","370,934.0","373,557.0","375,519.0","378,656.0","380,409.0","383,465.0","386,756.0","390,138.0","392,894.0","396,729.0","398,618.0","401,584.0","405,077.0","407,303.0","410,542.0","414,037.0","416,931.0","419,589.0","423,544.0"
"26","7","       Employer contributions for employee pension and insurance funds \1\","B040RC1","42,669.0","43,081.0","43,461.0","43,938.0","44,358.0","44,732.0","45,201.0","45,584.0","45,973.0","46,323.0","46,730.0","47,090.0","47,464.0","47,877.0","48,257.0","48,645.0","49,072.0","49,480.0","49,895.0","50,332.0","50,745.0","51,109.0","51,598.0","52,141.0","52,747.0","53,298.0","53,820.0","54,370.0","54,941.0","55,596.0","56,242.0","56,886.0","57,577.0","58,225.0","58,939.0","59,787.0","60,679.0","61,496.0","62,176.0","62,766.0","63,376.0","63,856.0","64,258.0","64,651.0","64,966.0","65,232.0","65,418.0","65,508.0","65,566.0","65,663.0","65,749.0","65,856.0","66,030.0","66,205.0","66,389.0","66,642.0","66,911.0","67,261.0","67,621.0","68,032.0","68,504.0","69,045.0","69,677.0","70,418.0","71,264.0","72,222.0","73,210.0","74,405.0","75,640.0","77,025.0","78,535.0","80,182.0","81,933.0","83,595.0","85,100.0","86,562.0","87,780.0","88,934.0","89,928.0","90,764.0","91,462.0","92,041.0","92,478.0","92,783.0","92,984.0","93,253.0","93,698.0","94,330.0","95,024.0","95,857.0","96,797.0","97,885.0","99,105.0","100,499.0","101,988.0","103,674.0","105,465.0","107,154.0","108,838.0","110,365.0","111,860.0","113,354.0","114,793.0","116,104.0","117,406.0","118,663.0","119,801.0","120,880.0","121,796.0","122,743.0","123,780.0","124,857.0","125,984.0","127,200.0","128,474.0","129,756.0","131,098.0","132,479.0","133,927.0","135,425.0","137,024.0","138,463.0","139,942.0","141,289.0","142,567.0","144,030.0","145,722.0","147,307.0","148,857.0","150,523.0","152,137.0","153,746.0","155,418.0","156,987.0","158,600.0","160,209.0","161,746.0","163,280.0","164,728.0","166,199.0","167,634.0","169,157.0","170,535.0","171,911.0","173,185.0","174,491.0","175,775.0","177,048.0","178,335.0","179,587.0","180,837.0","182,146.0","183,433.0","184,877.0","186,205.0","187,501.0","188,836.0","190,189.0","191,584.0","193,017.0","194,513.0","196,001.0","197,518.0","199,090.0","200,738.0","202,464.0","204,297.0","206,156.0","208,008.0","209,788.0","211,517.0","213,170.0","214,739.0","216,284.0","217,663.0","219,019.0","220,255.0","221,430.0","222,583.0","223,688.0","224,983.0","226,230.0","227,593.0","228,924.0","230,399.0","231,962.0","233,745.0","235,527.0","237,488.0","239,373.0","241,469.0","243,716.0","246,246.0","248,594.0","250,941.0","253,130.0","255,328.0","257,525.0","259,835.0","262,150.0","264,457.0","266,619.0","268,665.0","270,688.0"
