"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"43","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1","632,620.0","635,346.0","640,009.0","646,218.0","646,452.0","653,584.0","654,839.0","659,105.0","667,630.0","672,010.0","680,101.0","688,097.0","699,619.0","708,125.0","710,334.0","708,775.0","709,818.0","708,709.0","710,872.0","713,351.0","716,588.0","724,516.0","736,549.0","746,344.0","749,354.0","752,293.0","762,058.0","758,797.0","760,000.0","760,621.0","764,240.0","771,585.0","777,965.0","781,732.0","783,359.0","780,478.0","784,481.0","780,983.0","781,272.0","779,441.0","789,855.0","798,344.0","801,594.0","796,395.0","793,481.0","802,431.0","813,042.0","821,899.0","821,009.0","823,279.0","812,154.0","827,197.0","839,389.0","833,223.0","842,538.0","839,864.0","844,802.0","853,055.0"
"44","25","Residual","D236RX1","-115,700.0","-105,800.0","-97,200.0","-93,600.0","-73,600.0","-82,600.0","-80,100.0","-79,000.0","-77,400.0","-75,500.0","-73,700.0","-52,100.0","-53,200.0","-53,100.0","-47,500.0","-48,600.0","-48,300.0","-36,900.0","-26,800.0","-24,400.0","-20,900.0","-19,800.0","-15,600.0","-12,900.0","-10,300.0","-4,700.0","-4,000.0","-6,400.0","-1,100.0","-3,200.0","-1,900.0","700.0","2,200.0","3,700.0","4,800.0","4,100.0","1,800.0","-100.0","-4,500.0","-1,200.0","-700.0","500.0","700.0","-500.0","-2,000.0","-1,600.0","-2,100.0","-3,000.0","-4,500.0","-9,300.0","-10,900.0","-13,300.0","-17,000.0","-17,700.0","-22,400.0","-26,200.0","-27,700.0","-30,400.0"
"45",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","26","  PCE excluding food and energy \4\","DPCCRX1","6,494,559.0","6,596,374.0","6,678,671.0","6,783,451.0","6,917,702.0","6,969,088.0","7,044,884.0","7,100,619.0","7,136,092.0","7,168,875.0","7,194,342.0","7,316,148.0","7,344,703.0","7,379,127.0","7,433,909.0","7,457,217.0","7,498,214.0","7,595,960.0","7,713,578.0","7,773,420.0","7,856,313.0","7,910,499.0","7,996,912.0","8,078,502.0","8,137,414.0","8,235,732.0","8,299,988.0","8,326,408.0","8,448,415.0","8,483,187.0","8,532,773.0","8,620,545.0","8,670,902.0","8,711,774.0","8,752,113.0","8,777,719.0","8,756,855.0","8,780,027.0","8,736,211.0","8,617,080.0","8,576,683.0","8,533,920.0","8,594,099.0","8,588,688.0","8,629,378.0","8,714,651.0","8,773,044.0","8,865,443.0","8,925,131.0","8,971,716.0","9,022,662.0","9,096,800.0","9,181,342.0","9,203,219.0","9,243,745.0","9,305,863.0","9,336,008.0","9,384,908.0"
"47","27","  Energy goods and services \5\","DNRGRX1","492,733.0","503,763.0","507,616.0","495,851.0","482,636.0","499,687.0","502,916.0","514,866.0","508,911.0","489,687.0","494,545.0","491,204.0","491,649.0","503,709.0","506,308.0","514,807.0","509,400.0","508,381.0","505,760.0","513,887.0","515,319.0","516,071.0","509,129.0","515,189.0","520,392.0","516,576.0","516,902.0","517,736.0","501,336.0","510,253.0","517,433.0","515,142.0","521,075.0","517,576.0","516,418.0","503,781.0","506,808.0","500,780.0","481,079.0","496,603.0","505,833.0","500,319.0","496,476.0","495,903.0","500,047.0","500,453.0","506,971.0","508,565.0","500,259.0","490,759.0","494,363.0","485,158.0","473,367.0","492,104.0","492,752.0","476,961.0","497,719.0","498,860.0"
"48","28","  Market-based PCE \6\","DPCMRX1","6,768,094.0","6,870,236.0","6,950,401.0","7,048,180.0","7,138,732.0","7,209,761.0","7,272,757.0","7,341,874.0","7,375,107.0","7,385,168.0","7,417,386.0","7,536,978.0","7,560,537.0","7,604,569.0","7,663,169.0","7,689,316.0","7,719,602.0","7,819,354.0","7,936,199.0","7,998,722.0","8,074,296.0","8,119,953.0","8,197,409.0","8,283,138.0","8,350,308.0","8,441,897.0","8,509,687.0","8,527,307.0","8,612,445.0","8,657,512.0","8,711,870.0","8,800,560.0","8,852,881.0","8,881,847.0","8,922,286.0","8,934,403.0","8,907,622.0","8,926,023.0","8,843,643.0","8,715,434.0","8,694,425.0","8,669,093.0","8,729,982.0","8,728,510.0","8,774,784.0","8,839,356.0","8,901,542.0","9,004,582.0","9,052,166.0","9,089,562.0","9,129,504.0","9,192,132.0","9,257,918.0","9,309,445.0","9,356,861.0","9,402,602.0","9,465,606.0","9,514,831.0"
"49","29","  Market-based PCE excluding food and energy \6\","DPCXRX1","5,636,842.0","5,722,551.0","5,792,376.0","5,885,761.0","5,989,712.0","6,037,007.0","6,095,029.0","6,146,756.0","6,185,731.0","6,206,096.0","6,235,591.0","6,353,376.0","6,378,262.0","6,411,433.0","6,463,930.0","6,477,366.0","6,505,731.0","6,605,134.0","6,711,428.0","6,767,615.0","6,834,181.0","6,878,064.0","6,955,097.0","7,027,184.0","7,078,243.0","7,169,893.0","7,230,884.0","7,238,957.0","7,338,592.0","7,366,840.0","7,411,615.0","7,492,319.0","7,536,961.0","7,573,584.0","7,614,725.0","7,638,197.0","7,610,936.0","7,633,661.0","7,586,706.0","7,456,547.0","7,427,817.0","7,401,866.0","7,461,843.0","7,453,699.0","7,489,116.0","7,559,070.0","7,611,208.0","7,701,399.0","7,756,348.0","7,802,798.0","7,840,608.0","7,916,497.0","7,992,231.0","8,016,691.0","8,060,619.0","8,124,803.0","8,158,775.0","8,210,108.0"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Note. Chained (2009) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","quantity index and the 2009 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","The residual line is the difference between the first line and the sum of the most",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
