"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181"
"34","15","  Goods \1\","A255RC1","30,772.0","39,116.0","38,536.0","38,828.0","39,348.0","40,068.0","41,180.0","42,824.0","43,376.0","47,440.0","49,640.0","45,744.0","55,092.0","54,092.0","57,288.0","61,264.0","66,460.0","70,040.0","72,100.0","78,772.0","88,832.0","106,388.0","110,600.0","112,260.0","100,936.0","92,264.0","98,772.0","104,028.0","113,540.0","121,324.0","128,920.0","134,744.0","147,624.0","153,150.0","153,170.0","156,572.0","170,334.0","175,133.0","179,406.0","184,766.0","192,181.0","204,075.0","216,775.0","238,116.0","259,655.0","248,467.0","234,146.0","252,012.0","270,185.0","271,773.0","260,492.0","268,806.0","257,623.0","245,844.0","257,204.0","241,495.0","242,508.0","262,761.0","285,851.0","299,589.0","322,454.0","337,923.0","339,856.0","345,030.0","325,388.0","344,425.0","340,520.0","362,845.0","357,705.0","365,100.0","374,759.0","382,460.0","389,537.0","409,063.0","422,798.0","437,679.0","441,486.0","445,679.0","451,121.0","470,214.0","481,986.0","490,713.0","477,447.0","489,020.0","510,376.0","495,803.0","506,283.0","519,820.0","496,967.0","491,023.0","500,436.0","514,455.0","523,470.0","537,882.0","553,860.0","564,495.0","575,865.0","590,145.0","592,109.0","612,924.0","627,223.0","662,022.0","695,660.0","722,344.0","745,464.0","764,255.0","759,719.0","760,356.0","784,526.0","798,397.0","814,409.0","832,459.0","861,459.0","871,959.0","898,369.0","910,830.0","920,800.0","926,876.0","922,498.0","952,829.0","977,717.0","1,023,626.0","1,077,433.0","1,122,393.0","1,193,191.0","1,231,243.0","1,283,053.0","1,294,049.0","1,264,038.0","1,188,413.0","1,144,716.0","1,104,968.0","1,122,540.0","1,196,465.0","1,223,993.0","1,249,355.0","1,273,810.0","1,277,193.0","1,286,431.0","1,340,574.0","1,407,607.0","1,490,467.0","1,530,475.0","1,606,963.0","1,638,962.0","1,679,028.0","1,725,787.0","1,820,844.0","1,852,955.0","1,896,674.0","1,938,643.0","1,897,645.0","1,939,030.0","1,978,178.0","2,011,657.0","2,072,236.0","2,161,870.0","2,261,931.0","2,270,161.0","1,891,600.0","1,521,590.0","1,474,942.0","1,604,858.0","1,747,864.0","1,842,326.0","1,933,171.0","1,985,515.0","2,043,827.0","2,163,800.0","2,234,625.0","2,252,428.0","2,287,596.0","2,319,560.0","2,307,430.0","2,274,977.0","2,279,607.0","2,281,923.0","2,301,893.0"
"35","16","    Durable","A333RC1","17,264.0","22,168.0","21,818.0","21,778.0","21,658.0","22,418.0","23,088.0","23,936.0","25,048.0","27,200.0","27,430.0","26,730.0","32,016.0","31,938.0","33,096.0","36,110.0","38,926.0","40,444.0","41,170.0","42,672.0","44,458.0","49,908.0","53,572.0","53,346.0","47,748.0","43,104.0","44,838.0","46,866.0","52,304.0","55,636.0","58,892.0","60,424.0","62,898.0","68,077.0","70,601.0","75,198.0","82,646.0","88,504.0","90,817.0","94,136.0","95,568.0","99,784.0","99,710.0","106,727.0","114,440.0","109,693.0","107,432.0","116,164.0","119,195.0","126,281.0","125,502.0","133,217.0","129,965.0","129,174.0","125,373.0","116,006.0","132,818.0","139,324.0","149,642.0","167,508.0","181,574.0","192,053.0","196,808.0","199,321.0","195,689.0","202,111.0","204,566.0","214,294.0","221,517.0","239,083.0","245,327.0","249,250.0","250,291.0","261,554.0","264,829.0","280,059.0","284,282.0","289,534.0","293,799.0","311,496.0","312,446.0","314,913.0","304,661.0","309,113.0","309,080.0","315,475.0","316,855.0","316,688.0","309,867.0","308,347.0","318,200.0","325,682.0","334,638.0","342,300.0","350,983.0","358,880.0","370,375.0","380,258.0","387,425.0","407,530.0","419,478.0","444,838.0","462,162.0","489,701.0","501,114.0","514,643.0","512,371.0","514,903.0","525,064.0","529,709.0","539,093.0","539,713.0","563,406.0","582,352.0","600,502.0","607,850.0","624,949.0","633,420.0","631,182.0","661,347.0","676,279.0","702,915.0","729,709.0","753,211.0","789,658.0","817,866.0","843,115.0","838,950.0","808,013.0","760,708.0","737,925.0","721,868.0","742,887.0","776,028.0","787,581.0","788,114.0","779,546.0","794,630.0","799,322.0","848,780.0","873,350.0","930,115.0","954,233.0","983,403.0","998,771.0","1,017,551.0","1,023,112.0","1,057,278.0","1,104,618.0","1,120,767.0","1,137,588.0","1,155,841.0","1,165,829.0","1,169,867.0","1,187,995.0","1,174,784.0","1,192,794.0","1,218,438.0","1,187,971.0","1,048,718.0","865,215.0","826,139.0","897,401.0","983,510.0","1,018,239.0","1,097,635.0","1,142,660.0","1,174,765.0","1,201,633.0","1,212,089.0","1,249,601.0","1,274,832.0","1,315,019.0","1,329,632.0","1,322,882.0","1,332,156.0","1,327,459.0","1,362,777.0"
"36","17","    Nondurable","A340RC1","13,508.0","16,948.0","16,718.0","17,050.0","17,690.0","17,650.0","18,092.0","18,888.0","18,328.0","20,240.0","22,210.0","19,014.0","23,076.0","22,154.0","24,192.0","25,154.0","27,534.0","29,596.0","30,930.0","36,100.0","44,374.0","56,480.0","57,028.0","58,914.0","53,188.0","49,160.0","53,934.0","57,162.0","61,236.0","65,688.0","70,028.0","74,320.0","84,726.0","85,073.0","82,569.0","81,374.0","87,688.0","86,629.0","88,589.0","90,630.0","96,613.0","104,291.0","117,065.0","131,389.0","145,215.0","138,774.0","126,714.0","135,848.0","150,990.0","145,492.0","134,990.0","135,589.0","127,658.0","116,670.0","131,831.0","125,489.0","109,690.0","123,437.0","136,209.0","132,081.0","140,880.0","145,870.0","143,048.0","145,709.0","129,699.0","142,314.0","135,954.0","148,551.0","136,188.0","126,017.0","129,432.0","133,210.0","139,246.0","147,509.0","157,969.0","157,620.0","157,204.0","156,145.0","157,322.0","158,718.0","169,540.0","175,800.0","172,786.0","179,907.0","201,296.0","180,328.0","189,428.0","203,132.0","187,100.0","182,676.0","182,236.0","188,773.0","188,832.0","195,582.0","202,877.0","205,615.0","205,490.0","209,887.0","204,684.0","205,394.0","207,745.0","217,184.0","233,498.0","232,643.0","244,350.0","249,612.0","247,348.0","245,453.0","259,462.0","268,688.0","275,316.0","292,746.0","298,053.0","289,607.0","297,867.0","302,980.0","295,851.0","293,456.0","291,316.0","291,482.0","301,438.0","320,711.0","347,724.0","369,182.0","403,533.0","413,377.0","439,938.0","455,099.0","456,025.0","427,705.0","406,791.0","383,100.0","379,653.0","420,437.0","436,412.0","461,241.0","494,264.0","482,563.0","487,109.0","491,794.0","534,257.0","560,352.0","576,242.0","623,560.0","640,191.0","661,477.0","702,675.0","763,566.0","748,337.0","775,907.0","801,055.0","741,804.0","773,201.0","808,311.0","823,662.0","897,452.0","969,076.0","1,043,493.0","1,082,190.0","842,882.0","656,375.0","648,803.0","707,457.0","764,354.0","824,087.0","835,536.0","842,855.0","869,062.0","962,167.0","1,022,536.0","1,002,827.0","1,012,764.0","1,004,541.0","977,798.0","952,095.0","947,451.0","954,464.0","939,116.0"
"37","18","  Services \1\","B656RC1","13,031.0","13,555.0","13,828.0","14,298.0","14,169.0","15,136.0","15,251.0","15,065.0","15,276.0","15,855.0","15,842.0","16,195.0","17,081.0","17,317.0","16,803.0","17,926.0","18,900.0","19,429.0","19,038.0","19,897.0","21,482.0","22,994.0","23,010.0","24,292.0","23,952.0","22,981.0","23,283.0","24,702.0","25,398.0","25,792.0","26,928.0","27,935.0","28,809.0","29,891.0","29,733.0","30,821.0","32,948.0","33,707.0","35,656.0","37,050.0","37,646.0","39,022.0","40,532.0","42,350.0","44,657.0","44,131.0","45,055.0","47,188.0","49,539.0","50,190.0","49,405.0","50,641.0","51,854.0","53,271.0","52,078.0","53,365.0","52,742.0","55,189.0","57,530.0","58,382.0","65,524.0","68,576.0","69,734.0","71,331.0","71,920.0","74,146.0","73,647.0","76,023.0","81,713.0","78,890.0","84,675.0","86,166.0","88,149.0","93,275.0","94,520.0","99,834.0","101,227.0","100,419.0","101,728.0","104,100.0","104,168.0","104,676.0","106,980.0","109,132.0","116,391.0","118,956.0","123,819.0","127,462.0","123,350.0","122,898.0","121,233.0","123,815.0","122,353.0","121,069.0","123,993.0","124,041.0","123,445.0","126,136.0","127,142.0","132,125.0","134,604.0","135,538.0","138,091.0","138,215.0","141,435.0","144,088.0","146,124.0","148,845.0","152,209.0","154,354.0","159,348.0","160,161.0","165,754.0","167,692.0","172,519.0","174,514.0","177,436.0","182,746.0","187,403.0","192,171.0","192,437.0","198,312.0","203,580.0","206,837.0","217,482.0","221,158.0","229,438.0","227,953.0","226,081.0","231,037.0","219,604.0","212,366.0","225,428.0","226,673.0","232,067.0","242,406.0","242,052.0","237,908.0","253,447.0","265,796.0","277,092.0","286,293.0","290,935.0","301,854.0","302,111.0","308,035.0","312,378.0","317,130.0","337,609.0","342,107.0","343,202.0","354,911.0","363,174.0","372,787.0","382,313.0","382,784.0","399,290.0","406,865.0","420,505.0","413,299.0","387,278.0","381,776.0","388,235.0","397,469.0","399,107.0","403,548.0","418,514.0","421,884.0","420,349.0","433,045.0","444,647.0","443,063.0","444,644.0","447,822.0","448,561.0","449,916.0","455,344.0","463,802.0"
"38","19","Income payments","A655RC1","4,750.0","5,373.0","6,112.0","6,421.0","6,585.0","6,538.0","6,440.0","6,197.0","5,871.0","6,099.0","6,692.0","7,005.0","7,017.0","7,630.0","7,765.0","8,467.0","9,611.0","10,796.0","11,356.0","11,926.0","12,603.0","13,931.0","15,185.0","15,481.0","15,529.0","14,873.0","15,090.0","14,588.0","15,638.0","15,609.0","15,435.0","15,383.0","15,015.0","16,204.0","17,245.0","19,168.0","20,379.0","23,835.0","25,349.0","29,121.0","31,938.0","34,655.0","37,319.0","41,649.0","45,585.0","43,812.0","40,455.0","49,776.0","54,337.0","59,733.0","63,214.0","59,073.0","62,332.0","66,255.0","66,423.0","62,923.0","59,753.0","62,051.0","67,374.0","70,010.0","77,795.0","85,669.0","89,935.0","88,901.0","86,944.0","86,663.0","87,525.0","88,056.0","94,320.0","96,633.0","91,031.0","95,484.0","98,015.0","103,245.0","108,132.0","113,801.0","120,482.0","123,659.0","133,291.0","140,403.0","149,043.0","158,098.0","154,362.0","150,135.0","154,244.0","152,892.0","157,585.0","151,900.0","147,315.0","139,437.0","136,423.0","123,931.0","122,058.0","125,038.0","119,691.0","117,112.0","113,940.0","122,912.0","120,394.0","137,162.0","137,149.0","152,351.0","168,766.0","184,446.0","190,598.0","198,267.0","210,231.0","205,206.0","202,369.0","209,294.0","219,017.0","227,808.0","246,234.0","251,543.0","262,254.0","263,845.0","263,677.0","269,944.0","271,749.0","268,809.0","273,148.0","283,601.0","306,019.0","314,387.0","332,567.0","352,307.0","350,344.0","347,512.0","320,853.0","288,288.0","283,418.0","201,459.0","248,533.0","281,390.0","283,425.0","255,477.0","283,073.0","280,656.0","292,576.0","295,976.0","311,224.0","352,452.0","363,504.0","418,262.0","434,706.0","461,467.0","481,787.0","551,082.0","585,595.0","648,243.0","686,682.0","702,450.0","733,437.0","777,321.0","762,697.0","722,869.0","724,222.0","714,157.0","673,176.0","623,638.0","506,344.0","496,731.0","474,021.0","508,958.0","493,012.0","506,685.0","520,796.0","535,724.0","524,205.0","554,245.0","550,088.0","539,668.0","570,007.0","555,708.0","564,389.0","572,798.0","575,867.0","....."
"39","20","  Wage and salary payments","B4189C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,803.0","2,719.0","2,583.0","2,655.0","2,588.0","2,536.0","2,180.0","2,096.0","1,909.0","1,917.0","1,713.0","1,909.0","2,062.0","2,218.0","2,298.0","2,630.0","3,286.0","3,370.0","3,482.0","3,778.0","3,608.0","3,936.0","4,104.0","4,516.0","4,716.0","4,752.0","4,704.0","4,872.0","4,847.0","5,091.0","5,139.0","5,483.0","5,779.0","5,983.0","5,991.0","6,079.0","6,211.0","6,251.0","6,251.0","6,363.0","6,046.0","6,246.0","6,286.0","6,646.0","6,431.0","6,607.0","6,735.0","6,915.0","6,754.0","6,838.0","7,070.0","7,338.0","11,224.0","11,468.0","11,384.0","11,588.0","10,764.0","11,012.0","10,924.0","11,140.0","11,604.0","11,576.0","11,812.0","11,880.0","12,240.0","12,548.0","12,096.0","12,592.0","11,972.0","11,768.0","11,992.0","12,204.0","12,592.0","13,132.0","12,860.0","13,520.0","14,600.0","14,924.0","15,104.0","15,184.0","15,284.0","15,576.0","15,404.0","15,864.0","14,396.0","14,860.0","14,644.0","15,024.0","16,264.0","15,884.0","15,716.0","15,896.0","14,352.0","13,672.0","12,888.0","12,364.0","13,360.0","13,984.0","14,404.0","14,124.0","13,688.0","14,080.0","14,452.0","14,540.0","14,124.0","14,976.0","14,808.0","14,604.0","14,388.0","....."
"40","21","  Income payments on assets","W161RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","91,512.0","93,914.0","88,450.0","92,828.0","95,432.0","100,710.0","105,953.0","111,705.0","118,571.0","121,744.0","131,577.0","138,493.0","146,971.0","155,880.0","152,064.0","147,506.0","150,957.0","149,522.0","154,104.0","148,122.0","143,709.0","135,503.0","132,321.0","119,413.0","117,342.0","120,286.0","114,983.0","112,245.0","109,089.0","117,821.0","115,254.0","131,674.0","131,371.0","146,368.0","162,770.0","178,368.0","184,387.0","192,020.0","203,979.0","198,839.0","196,323.0","203,052.0","212,731.0","221,162.0","239,804.0","244,936.0","255,518.0","256,931.0","256,923.0","263,106.0","264,679.0","261,475.0","261,928.0","272,132.0","294,635.0","302,799.0","321,804.0","341,294.0","339,420.0","336,372.0","309,249.0","276,708.0","271,606.0","189,579.0","236,293.0","268,842.0","271,329.0","242,885.0","271,101.0","268,896.0","280,584.0","283,769.0","298,632.0","339,320.0","350,644.0","404,742.0","420,102.0","446,543.0","466,683.0","535,902.0","570,311.0","632,668.0","671,274.0","686,586.0","719,040.0","762,460.0","748,053.0","707,846.0","707,958.0","698,272.0","657,456.0","607,738.0","491,991.0","483,059.0","461,133.0","496,594.0","479,656.0","492,700.0","506,394.0","521,601.0","510,518.0","540,162.0","535,638.0","525,128.0","555,882.0","540,734.0","549,581.0","558,193.0","561,476.0","....."
"41","22","    Interest","B1869C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","83,005.0","82,658.0","80,492.0","83,577.0","83,699.0","90,137.0","93,028.0","103,285.0","103,225.0","106,362.0","117,390.0","125,026.0","136,605.0","144,096.0","142,976.0","145,229.0","143,898.0","143,070.0","146,315.0","150,098.0","145,475.0","135,129.0","130,779.0","123,479.0","117,367.0","112,497.0","107,961.0","106,080.0","105,666.0","103,299.0","104,617.0","112,189.0","111,112.0","123,522.0","133,169.0","144,839.0","151,853.0","159,503.0","164,595.0","165,606.0","162,203.0","166,019.0","172,960.0","182,533.0","189,886.0","198,491.0","204,304.0","212,746.0","215,144.0","216,433.0","221,117.0","217,390.0","215,107.0","217,525.0","229,881.0","247,821.0","255,385.0","276,043.0","287,645.0","292,389.0","278,099.0","261,427.0","242,103.0","213,970.0","203,354.0","212,480.0","210,651.0","206,771.0","190,845.0","191,633.0","193,589.0","194,621.0","197,145.0","213,429.0","233,158.0","257,024.0","281,023.0","305,227.0","335,371.0","369,159.0","406,685.0","451,948.0","481,078.0","510,706.0","540,257.0","586,738.0","595,735.0","586,490.0","526,566.0","498,021.0","496,148.0","449,518.0","381,300.0","343,434.0","324,463.0","319,998.0","311,554.0","310,304.0","306,834.0","313,961.0","305,591.0","310,404.0","314,482.0","312,283.0","309,259.0","307,038.0","300,954.0","299,104.0","302,501.0","....."
"42","23","    Dividends","B3376C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,352.0","9,032.0","10,164.0","11,412.0","10,196.0","11,072.0","10,304.0","13,256.0","10,900.0","16,980.0","13,244.0","11,812.0","23,276.0","12,984.0","14,476.0","14,376.0","18,832.0","17,396.0","16,760.0","21,748.0","17,720.0","17,804.0","14,672.0","18,280.0","16,084.0","16,832.0","15,432.0","18,248.0","22,000.0","19,976.0","16,036.0","17,528.0","24,328.0","19,524.0","17,984.0","24,108.0","23,220.0","23,636.0","30,896.0","25,396.0","26,708.0","26,024.0","29,600.0","32,400.0","27,696.0","31,596.0","30,788.0","41,040.0","35,512.0","36,760.0","42,892.0","48,744.0","66,156.0","54,608.0","41,356.0","41,728.0","49,136.0","62,664.0","62,384.0","53,484.0","47,160.0","31,396.0","54,872.0","52,728.0","43,160.0","42,600.0","38,184.0","55,056.0","40,040.0","107,988.0","59,392.0","68,256.0","81,006.0","64,976.0","47,001.0","100,319.0","95,395.0","68,439.0","125,820.0","120,260.0","72,669.0","75,181.0","97,527.0","187,077.0","82,518.0","110,812.0","108,655.0","132,221.0","121,170.0","115,364.0","116,941.0","189,937.0","154,381.0","130,592.0","91,748.0","99,353.0","130,519.0","112,223.0","120,280.0","143,291.0","121,155.0","133,566.0","151,379.0","138,550.0","141,161.0","140,402.0","137,161.0","145,719.0","156,002.0","....."
"43","24","    Reinvested earnings on foreign direct investment in the United States","B3476C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-845.0","2,224.0","-2,206.0","-2,161.0","1,537.0","-499.0","2,621.0","-4,836.0","4,446.0","-1,598.0","943.0","1,655.0","-12,910.0","-1,200.0","-5,388.0","-12,099.0","-11,773.0","-10,944.0","-8,971.0","-23,724.0","-19,486.0","-17,430.0","-13,130.0","-22,346.0","-16,109.0","-9,043.0","-8,410.0","-12,083.0","-18,577.0","-5,454.0","-5,399.0","1,957.0","-4,069.0","3,322.0","11,617.0","9,421.0","9,314.0","8,881.0","8,488.0","7,837.0","7,412.0","11,009.0","10,171.0","6,229.0","22,222.0","14,849.0","20,426.0","3,145.0","6,267.0","9,913.0","670.0","-4,659.0","-19,335.0","-1.0","23,398.0","13,250.0","17,283.0","2,587.0","-10,609.0","-9,501.0","-16,010.0","-16,115.0","-25,369.0","-77,119.0","-10,221.0","13,762.0","22,494.0","-18,942.0","40,216.0","-30,725.0","27,603.0","20,892.0","20,481.0","60,915.0","70,485.0","47,399.0","43,684.0","72,877.0","5,492.0","46,483.0","90,957.0","105,539.0","92,669.0","-11,197.0","96,265.0","64,910.0","43,663.0","-10,865.0","60,222.0","84,887.0","44,367.0","-31,717.0","-43,690.0","9,033.0","44,922.0","77,243.0","37,583.0","70,173.0","79,280.0","64,349.0","83,772.0","96,192.0","69,777.0","74,295.0","105,462.0","93,294.0","111,466.0","113,370.0","102,973.0","....."
"44","25","Current taxes and transfer payments to the rest of the world (net)","A123RC1","4,900.0","6,760.0","5,472.0","6,636.0","5,892.0","6,796.0","6,936.0","6,848.0","7,496.0","7,712.0","7,516.0","8,892.0","9,672.0","8,612.0","9,880.0","8,744.0","7,064.0","8,672.0","7,840.0","7,896.0","6,944.0","11,020.0","7,996.0","8,980.0","9,988.0","11,784.0","6,652.0","8,144.0","7,244.0","7,156.0","10,640.0","7,448.0","7,708.0","8,456.0","8,164.0","8,120.0","8,420.0","8,980.0","8,516.0","9,452.0","9,332.0","9,960.0","10,632.0","12,284.0","12,852.0","10,756.0","11,728.0","15,136.0","15,477.0","16,333.0","18,061.0","18,285.0","19,065.0","19,103.0","19,416.0","21,759.0","17,398.0","18,943.0","20,576.0","25,065.0","20,572.0","21,164.0","23,947.0","28,888.0","23,804.0","24,586.0","26,875.0","27,337.0","24,468.0","28,483.0","29,438.0","28,665.0","24,064.0","25,538.0","26,351.0","31,287.0","27,876.0","26,144.0","27,353.0","34,583.0","28,131.0","27,079.0","30,874.0","35,514.0","31,021.0","35,653.0","34,561.0","25,704.0","-54,254.0","-9,402.0","17,063.0","26,960.0","33,985.0","38,655.0","43,425.0","51,580.0","38,826.0","41,959.0","45,207.0","55,427.0","39,731.0","41,474.0","46,134.0","56,974.0","43,713.0","42,522.0","44,197.0","45,766.0","51,398.0","44,640.0","45,155.0","56,859.0","46,234.0","47,352.0","49,032.0","63,078.0","55,004.0","56,235.0","59,533.0","69,360.0","54,547.0","56,040.0","55,115.0","64,817.0","58,711.0","60,952.0","64,210.0","80,371.0","68,624.0","71,276.0","72,658.0","77,709.0","82,671.0","68,628.0","68,737.0","73,978.0","81,839.0","79,634.0","79,508.0","81,715.0","100,547.0","94,050.0","93,076.0","100,115.0","124,171.0","109,804.0","107,660.0","118,101.0","92,241.0","104,678.0","110,844.0","99,225.0","139,457.0","116,667.0","123,170.0","123,577.0","145,581.0","141,669.0","137,811.0","127,957.0","127,736.0","137,360.0","144,515.0","134,935.0","153,636.0","135,662.0","142,338.0","136,475.0","157,097.0","150,804.0","143,600.0","144,410.0","146,141.0","145,447.0","144,335.0","142,602.0","152,401.0","154,551.0"
"45","26","  From persons (net)","B070RC1","992.0","1,180.0","1,120.0","1,168.0","1,260.0","1,340.0","1,284.0","1,260.0","1,268.0","1,296.0","1,408.0","1,432.0","1,352.0","1,388.0","1,360.0","1,420.0","1,184.0","1,248.0","1,272.0","2,512.0","1,372.0","1,368.0","1,364.0","1,348.0","1,348.0","1,196.0","1,460.0","1,348.0","1,444.0","1,304.0","1,340.0","1,416.0","1,404.0","1,412.0","1,356.0","1,328.0","1,384.0","1,600.0","1,560.0","1,756.0","1,548.0","1,516.0","1,704.0","2,088.0","1,888.0","1,860.0","1,960.0","2,100.0","5,229.0","5,381.0","5,669.0","6,033.0","6,404.0","6,757.0","6,874.0","6,918.0","6,436.0","6,868.0","7,284.0","7,403.0","7,636.0","7,905.0","7,814.0","8,241.0","8,411.0","8,164.0","8,537.0","8,195.0","8,881.0","8,869.0","9,166.0","9,658.0","9,470.0","9,955.0","10,395.0","10,290.0","10,722.0","10,712.0","10,527.0","11,197.0","11,147.0","11,429.0","11,397.0","12,234.0","12,050.0","11,802.0","12,540.0","12,487.0","13,756.0","13,835.0","14,054.0","14,683.0","11,535.0","12,603.0","19,302.0","14,526.0","16,269.0","16,697.0","17,314.0","17,998.0","18,493.0","18,866.0","19,086.0","19,276.0","18,908.0","18,941.0","20,163.0","23,007.0","21,425.0","22,657.0","22,940.0","23,520.0","25,103.0","25,128.0","25,584.0","26,837.0","26,879.0","28,743.0","30,381.0","32,661.0","31,397.0","32,796.0","32,521.0","31,993.0","35,047.0","34,630.0","34,435.0","34,483.0","37,405.0","38,115.0","38,770.0","38,034.0","40,016.0","39,822.0","40,877.0","41,809.0","40,541.0","41,347.0","38,947.0","43,926.0","43,484.0","44,144.0","44,022.0","42,746.0","48,940.0","48,196.0","47,624.0","48,660.0","46,667.0","52,086.0","52,619.0","55,002.0","57,611.0","58,662.0","59,990.0","61,046.0","64,799.0","67,712.0","69,792.0","62,354.0","63,734.0","65,162.0","65,936.0","69,444.0","74,375.0","71,351.0","72,669.0","73,643.0","73,848.0","74,523.0","72,891.0","75,029.0","73,006.0","72,393.0","67,912.0","74,374.0","75,896.0","75,031.0"
"46","27","  From government (net)","B088RC1","3,632.0","5,288.0","4,044.0","5,132.0","4,264.0","5,060.0","5,244.0","5,156.0","5,804.0","5,996.0","5,680.0","7,032.0","7,932.0","6,816.0","8,096.0","6,616.0","5,188.0","6,816.0","6,028.0","4,484.0","4,668.0","8,916.0","5,896.0","6,044.0","7,920.0","9,988.0","4,528.0","5,820.0","4,520.0","5,056.0","8,468.0","4,640.0","4,900.0","5,724.0","5,692.0","5,044.0","5,804.0","5,948.0","5,876.0","6,032.0","6,188.0","6,656.0","6,780.0","7,648.0","8,648.0","6,552.0","7,528.0","10,316.0","7,460.0","7,748.0","9,100.0","8,752.0","9,672.0","8,616.0","9,132.0","11,300.0","7,780.0","8,664.0","10,008.0","13,908.0","9,384.0","9,776.0","12,708.0","17,128.0","12,580.0","13,572.0","15,344.0","16,228.0","12,140.0","16,692.0","17,200.0","15,692.0","11,768.0","12,248.0","12,240.0","17,464.0","12,524.0","10,700.0","12,772.0","18,908.0","12,512.0","11,372.0","14,920.0","18,128.0","14,688.0","18,956.0","16,816.0","8,324.0","-72,884.0","-28,344.0","-2,012.0","7,220.0","17,276.0","20,576.0","18,488.0","31,664.0","17,260.0","20,012.0","22,536.0","31,912.0","15,580.0","17,260.0","21,072.0","30,664.0","16,124.0","15,024.0","15,392.0","15,672.0","23,308.0","15,176.0","15,520.0","26,032.0","13,556.0","13,672.0","14,088.0","25,468.0","14,484.0","13,572.0","15,792.0","25,724.0","14,792.0","16,284.0","15,164.0","25,924.0","15,124.0","15,796.0","17,912.0","31,284.0","13,760.0","14,580.0","15,600.0","20,932.0","30,432.0","17,828.0","17,016.0","21,200.0","28,685.0","26,028.0","26,798.0","21,794.0","34,772.0","24,086.0","25,327.0","23,955.0","40,390.0","27,719.0","31,454.0","41,626.0","26,394.0","32,958.0","34,209.0","19,320.0","45,555.0","25,150.0","31,681.0","40,036.0","42,738.0","38,909.0","35,427.0","30,511.0","39,147.0","52,462.0","60,084.0","43,845.0","52,323.0","40,466.0","46,955.0","46,033.0","52,949.0","59,460.0","50,338.0","48,640.0","51,009.0","47,574.0","48,727.0","34,409.0","41,502.0","44,756.0"
