"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"40","32","Social insurance funds","B118RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2
"41","33","Other","B119RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.8,0.8,1.9,1.4,2,2.6,2.7,2.7,2.5,2.5,2.5,2,1.9,2.4,2.6,3,3.2,3.8,3.7,3.4,3.5,4,3.8,4.4,4.2,4.3,4.1,3.8,4,4,4.1,5.1,5.3,5.2,4.6,5.1,4.6,4.1,4.6,4.1,5,3.9,3.5,3.5,3.7,4.4,4.1
"42",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","34","  Total receipts","W077RC1",13.5,14.3,15,15.2,15.9,16.6,17.1,17.6,18.2,18.3,19.2,19.2,19.7,20.2,20.9,21.1,22.2,22.1,22.3,23,23.4,23.9,24.6,25.2,25.1,26.5,26.4,26.5,27,27.3,27.8,28.2,29.1,29.8,30.7,31.3,32.1,32.9,33.7,34.3,35.8,36.1,36.8,37.1,37.8,38.9,39.5,41.8,42.4,42.8,45.1,45.3,45.8,47.1,47.7,48.2,49.6,50.4,51.5,52.6,53.8,54.7,55.5,56.5,57.5,58.8,60.5,61.9,63.4,64.8,66.2,67,68.1,69.8,71.3,72.9,76.1,78.4,80.5,81.9,83.4,84.1,87.8,91.5,94.9,98.2,100.7,103.4,105.9,109.1,113,116.7
"44","35","    Current receipts","W023RC1",13.2,14,14.7,14.9,15.5,16.2,16.6,17.1,17.6,17.8,18.6,18.7,19.1,19.5,20.2,20.4,21.6,21.5,21.7,22.4,22.7,23.2,23.8,24.4,24.4,25.6,25.6,25.7,26.2,26.5,26.9,27.4,28.1,28.8,29.6,30.2,31.1,31.8,32.6,33.2,34.2,34.5,35.1,35.3,35.5,36.3,36.9,38.7,38.9,39.9,41,41.9,43,44,44.5,45.2,46.1,47.3,48.3,49.3,50.3,51,52.2,52.8,53.6,54.8,56.3,57.4,59.2,60.2,61.1,62.2,63.3,65.1,66.6,68.1,71,73.3,75.3,76.8,78.3,79.8,82.4,85.9,88.2,91.9,93.6,96.2,99,102.2,106.4,109.7
"45","36","    Capital transfer receipts","W969RC1",0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.9,0.8,0.8,0.9,0.8,0.8,0.8,0.9,1,1.1,1,1.1,1.1,1.2,1.2,1.6,1.6,1.7,1.7,2.3,2.6,2.6,3.1,3.5,2.9,4.1,3.4,2.8,3.1,3.2,2.9,3.5,3.2,3.2,3.3,3.4,3.6,3.3,3.7,3.9,4,4.2,4.5,4.3,4.6,5.1,4.9,4.8,4.7,4.7,4.8,5.1,5.1,5.2,5.2,5.1,4.2,5.3,5.7,6.7,6.3,7.2,7.2,6.9,6.9,6.6,7
"46","37","  Total expenditures","W079RC1",14.1,14.7,15.8,16.3,17.3,18,18.8,19.2,19.8,20.7,21.7,22.2,22.9,23.7,23.6,23.9,24.2,24.8,25.2,25.5,25.8,26.7,26.4,27.1,27.9,27.9,28.7,29.2,30.2,31,32.1,32.5,33.8,34.5,34.8,35.4,36.4,37.3,38,38.8,40.2,41.1,41.9,43.1,44.5,45.5,46.6,47.7,48.7,48.8,48.9,48.8,50.3,51.7,52.7,53.5,55.6,56.1,57,58.9,59.2,59.7,60.4,61.4,63.2,64.1,66,67.5,68.8,70.7,71.6,72.7,74.2,76.6,79.2,80.9,83.1,85.3,87.5,90.7,92.7,94.5,97,100.6,104.1,108,110.7,113.8,116.2,119.3,121.9,124.2
"47","38","    Current expenditures","W024RC1",13.1,13.8,14.6,15,15.8,16.1,16.6,16.7,17.1,17.4,17.9,18.4,19.1,19.8,19.5,19.7,19.9,20,20.3,20.7,20.9,21.9,21.7,22.2,22.7,22.8,23.3,23.3,23.8,24.4,25.2,25.5,26.4,26.8,27.2,27.7,28.2,28.8,29.5,30.3,30.9,31.7,32.6,33.4,34.5,35.5,36.1,36.7,37.5,37.9,38.4,39.1,40.3,41.5,42,42.7,44,45.3,45.9,46.7,47.3,47.9,48.4,49.2,50.2,51.2,52.3,53.5,54.7,55.9,56.7,58,59.4,61,62.5,63.9,65.8,67.9,69.9,72,73.1,75.1,78.2,81.1,83.9,86.8,89.5,92.6,95.3,98.3,101.9,105.4
"48","39","    Gross government investment","A799RC1",2.7,2.7,2.9,3.2,3.5,3.9,4.3,4.6,4.8,5.4,5.7,5.7,5.6,5.7,6,6.3,6.6,7.1,7.3,7.2,7.4,7.4,7.4,7.5,7.8,7.7,8,8.5,8.9,9.2,9.5,9.5,9.8,10.1,10.3,10.4,11.1,11.4,11.5,11.6,12.5,12.6,12.6,12.9,13.2,13.3,13.9,14.4,14.7,14.4,14,13.3,13.5,14,14.4,14.5,15.4,14.5,15,16.1,15.8,15.9,16.2,16.5,17.2,17.3,18.1,18.5,18.6,19.4,19.6,19.5,19.7,20.7,21.9,22.4,22.7,23.1,23.4,24.7,25.8,25.7,25.3,26.1,27,28.2,28.4,28.9,29,29.5,28.9,27.9
"49","40","    Capital transfer payments","W080RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","41","    Net purchases of nonproduced assets","AD09RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.4,1.3,1.1,1,0.9,0.9
"51","42","    Less: Consumption of fixed capital","A919RC1",1.8,1.8,1.9,2,2,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.2,2.3,2.5,2.6,2.7,2.7,2.7,2.8,2.9,2.8,2.9,2.9,2.9,2.9,2.8,3,3,3,3,3.1,3.2,3.3,3.5,3.6,3.7,3.8,3.8,3.9,4,4,4,4.1,4.2,4.2,4.3,4.3,4.4,4.4,4.5,4.5,4.6,4.6,4.7,4.8,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.4,6.5,6.7,6.8,7,7.2,7.4,7.5,7.7,7.9,8.1,8.3,8.5,8.6,8.9,9.2,9.5,9.8,10.1
"52","43","  Net lending or net borrowing (-)","AD03RC1",-0.6,-0.4,-0.8,-1.1,-1.4,-1.4,-1.7,-1.6,-1.7,-2.4,-2.5,-2.9,-3.2,-3.5,-2.7,-2.9,-2,-2.6,-2.9,-2.4,-2.4,-2.8,-1.9,-2,-2.9,-1.4,-2.3,-2.7,-3.2,-3.7,-4.3,-4.2,-4.7,-4.7,-4.1,-4.1,-4.3,-4.3,-4.3,-4.5,-4.3,-5,-5.2,-6,-6.6,-6.6,-7.1,-5.8,-6.2,-6,-3.8,-3.6,-4.4,-4.7,-5,-5.3,-6,-5.6,-5.6,-6.4,-5.4,-5,-4.9,-4.9,-5.7,-5.4,-5.5,-5.7,-5.3,-5.9,-5.4,-5.7,-6.1,-6.8,-7.9,-8,-7,-6.9,-7,-8.8,-9.3,-10.5,-9.2,-9,-9.2,-9.8,-10,-10.4,-10.3,-10.1,-8.9,-7.4
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1. Prior to 1946, interest receipts (line 13) are not shown separately, but are shown net of interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","payments. Interest payments includes interest accrued on the actuarial liabilities of defined benefit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","pension plans for state and local government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
