"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"38","30","          Nondurable goods","A725RG3",7.308,7.935,8.293,8.917,10.015,10.036,10.173,10.083,9.715,9.151,9.001,8.979,8.93,9.084,9.672,10.2,9.535,9.565,9.545,9.557,8.789,8.765,8.77,8.788,8.458,8.391,8.348,8.379,9.727,9.739,9.699,9.795,10.816,10.886,11.056,11.273,11.503,11.595,11.562,11.536,12.157,12.161,11.917,11.746,11.493,11.212,11.383,11.358,11.543,11.364,11.298,11.249,11.378,11.493,11.562,11.573,11.473,11.366,11.305,11.285,11.309,11.268,11.306,11.252,11.078,11.025,11.042,10.984,10.975,10.91,10.985,10.941,11.084,11.06,11.185,11.219,11.322,11.403,11.68,11.51,11.517,11.534,11.558,11.595,11.586,11.634,11.655,11.701,11.789,11.825
"39","31","          Services","A489RG3",8.126,7.459,9.032,8.515,8.64,8.603,9.305,8.966,9.565,9.533,9.402,9.233,9.627,10.509,9.961,10.728,12.577,11.616,11.879,12.196,9.696,10.793,10.901,11.821,11.252,11.268,11.297,11.65,11.801,10.77,11.225,10.878,11.54,11.754,12.022,12.087,11.958,12.127,11.909,11.862,12.388,12.304,12.302,12.36,12.699,12.822,12.71,12.697,11.061,10.531,10.418,10.405,9.96,9.907,9.695,11.465,10.718,11.027,10.26,10.761,11.229,11.879,11.34,9.124,12.215,11.807,10.361,12.281,12.846,11.988,13.576,12.141,12.429,12.782,13.397,15.172,14.345,13.085,15.325,15.175,15.218,15.565,16.049,16.156,15.908,16.641,16.365,17.032,16.493,17.77
"40","32","      Less: Own-account investment \4\","W088RG3",14.969,14.897,14.807,14.662,14.414,14.34,14.414,14.618,15.065,15.249,15.33,15.318,15.108,14.995,15.112,15.328,16.095,16.316,16.511,16.713,17.005,17.145,17.262,17.389,17.469,17.555,17.52,17.545,17.503,17.55,17.575,17.657,17.819,17.964,17.995,18.015,18.027,18.095,18.141,18.206,18.328,18.512,18.768,19.098,19.586,19.887,20.038,20.046,19.947,19.882,19.868,19.92,20.056,20.166,20.364,20.485,20.601,20.677,20.753,20.824,20.892,20.91,20.923,20.97,20.946,20.973,21.056,21.202,21.424,21.558,21.681,21.714,21.7,21.704,21.722,21.77,21.823,21.832,21.838,21.805,21.762,21.792,21.903,22.119,22.382,22.612,22.82,22.987,23.106,23.339
"41","33","      Less: Sales to other sectors","W089RG3",9.274,9.643,9.866,10.055,10.197,10.315,10.605,10.431,10.781,10.717,10.458,10.384,10.431,10.595,10.764,11.222,11.516,11.466,11.406,11.459,11.395,11.558,11.811,11.726,11.897,12.172,11.885,11.865,12.009,12.383,12.314,12.925,12.625,12.815,12.446,12.702,12.642,12.735,12.78,12.9,13.242,13.323,13.359,13.224,13.569,13.562,13.628,13.739,13.829,13.943,14.011,14.095,14.131,14.136,14.158,14.156,14.171,14.195,14.195,14.146,14.255,14.249,14.203,14.24,14.274,14.378,14.338,14.465,14.518,14.669,14.632,14.586,14.59,14.599,14.6,14.644,14.561,14.636,14.686,14.773,14.862,14.987,15.126,15.313,15.641,15.745,16.037,15.941,16.237,16.32
"42","34","    Nondefense consumption expenditures \1\","A542RG3",8.075,7.633,8.51,8.781,8.131,7.94,7.85,7.793,8.456,8.497,8.444,8.765,8.827,8.636,8.362,7.668,9.376,8.89,8.862,9.079,9.449,9.529,9.591,9.788,9.847,9.983,10.108,10.249,10.12,10.307,10.189,10.291,10.635,10.828,10.509,10.533,10.533,10.736,10.697,10.638,10.865,11.099,11.08,11.372,11.657,11.927,11.767,11.97,12.344,12.205,11.982,11.968,11.926,11.922,12.421,12.548,12.653,12.699,12.695,12.784,12.909,12.952,12.982,13.414,13.33,13.335,13.4,13.525,13.829,14.036,14.4,14.428,14.519,14.555,14.676,14.986,15.233,15.206,15.349,15.483,15.443,15.558,15.591,15.736,16.175,16.391,16.752,17.1,17.119,17.249
"43","35","      Gross output of general government","W128RG3",7.959,8.13,8.787,9.078,8.388,8.242,8.155,8.065,8.752,8.79,8.722,9.035,9.102,8.923,8.667,7.998,9.667,9.216,9.186,9.389,9.748,9.841,9.89,10.077,10.135,10.271,10.391,10.53,10.428,10.578,10.472,10.578,10.925,11.111,10.815,10.841,10.845,11.06,11.031,10.995,11.223,11.43,11.428,11.701,12.012,12.268,12.11,12.3,12.638,12.518,12.31,12.309,12.272,12.275,12.741,12.863,12.967,13.01,13.006,13.096,13.225,13.267,13.3,13.702,13.632,13.634,13.708,13.838,14.126,14.328,14.662,14.689,14.771,14.801,14.913,15.195,15.411,15.402,15.528,15.641,15.599,15.705,15.757,15.924,16.33,16.549,16.898,17.248,17.313,17.435
"44","36","        Value added","W129RG3",5.88,6.052,6.563,6.746,6.052,5.926,5.819,5.756,6.462,6.441,6.439,6.803,6.755,6.414,6.444,6.092,7.44,7.026,6.935,7.026,7.402,7.484,7.509,7.679,7.807,7.963,8.118,8.168,8.131,8.197,8.189,8.241,8.434,8.759,8.529,8.595,8.726,9.025,8.83,8.876,9.058,9.236,9.264,9.496,9.87,10.091,10.055,10.224,10.547,10.598,10.609,10.615,10.57,10.465,11,11.137,11.249,11.324,11.372,11.45,11.497,11.488,11.507,11.933,11.921,11.956,11.948,12.07,12.439,12.496,12.731,12.776,12.895,13.013,13.12,13.373,13.53,13.542,13.619,13.632,13.674,13.694,13.716,14.147,14.328,14.478,14.795,15.117,15.149,15.271
"45","37","          Compensation of general government employees","W130RG3",3.863,3.992,4.282,4.49,3.953,3.856,3.734,3.706,4.222,4.2,4.274,4.507,4.466,4.223,4.247,3.954,4.968,4.651,4.567,4.656,4.948,5.011,5.018,5.15,5.232,5.382,5.49,5.547,5.524,5.597,5.574,5.62,5.775,6.026,5.822,5.878,5.972,6.217,6.046,6.088,6.229,6.365,6.366,6.552,6.877,7.042,7.006,7.135,7.41,7.436,7.443,7.448,7.404,7.305,7.759,7.862,7.954,8.013,8.053,8.117,8.161,8.15,8.161,8.519,8.501,8.524,8.508,8.612,8.934,8.982,9.19,9.235,9.35,9.458,9.549,9.776,9.914,9.911,9.967,9.966,10.006,10.02,10.03,10.455,10.603,10.722,11.007,11.293,11.271,11.332
"46","38","          Consumption of general government fixed capital \2\","B546RG3",15.779,15.875,18.274,17.21,16.778,16.767,17.645,17.163,17.903,18.036,16.427,17.527,17.576,17.053,17.042,17.529,18.445,18.211,18.431,18.12,18.335,18.364,18.589,18.676,19.064,18.705,19.027,18.801,18.691,18.43,18.669,18.63,18.723,19.051,19.197,19.184,19.429,19.493,19.608,19.553,19.733,19.922,20.246,20.377,20.257,20.565,20.627,20.833,20.84,21.059,21.1,21.1,21.167,21.294,21.345,21.529,21.603,21.692,21.712,21.749,21.709,21.743,21.82,22.013,22.108,22.192,22.288,22.347,22.482,22.515,22.592,22.573,22.553,22.59,22.69,22.827,22.947,23.047,23.176,23.267,23.277,23.31,23.379,23.483,23.707,23.913,24.168,24.452,24.738,25.087
"47","39","        Intermediate goods and services purchased \3\","W131RG3",18.974,18.946,19.991,20.62,20.936,20.493,20.293,20.037,21.021,21.27,20.7,20.481,20.386,20.46,19.871,19.69,19.844,18.828,19.403,20.51,20.416,20.567,20.787,20.987,20.696,20.856,20.951,21.416,21.073,21.515,21.032,21.344,22.305,22.168,21.556,21.394,20.833,20.696,21.645,21.11,21.588,21.992,21.604,22.108,21.928,22.249,21.391,21.83,22.354,21.662,20.803,20.765,20.641,21.262,21.193,21.259,21.326,21.124,20.827,20.972,21.564,21.845,21.907,22.254,21.895,21.708,22.227,22.39,22.265,23.17,24.018,23.964,23.859,23.387,23.518,23.925,24.415,24.222,24.74,25.872,24.986,25.652,25.976,23.889,25.936,26.66,27.049,27.476,27.746,27.821
"48","40","          Durable goods","A543RG3",41.249,41.509,50.15,45.347,44.31,43.739,46.433,43.589,47.324,45.895,44.329,43.541,43.835,44.639,44.175,45.922,49.861,46.786,46.885,44.201,46.153,45.351,45.299,45.589,46.561,45.143,47.263,47.332,46.811,45.157,46.063,45.825,46.903,47.428,47.549,45.822,45.849,45.874,46.013,45.52,45.624,45.713,46.206,46.434,47.49,47.635,47.984,49.295,53.496,55.631,55.697,58.55,61.372,64.624,65.337,66.412,66.567,67.413,65.31,67.076,68.475,69.155,68.432,69.993,71.589,72.201,72.188,73.607,76.529,79.26,76.389,75.76,73.637,72.334,71.978,72.679,72.886,73.261,73.406,73.6,73.971,73.781,74.241,74.677,75.51,75.405,75.661,76.033,76.386,76.704
"49","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","            Other nondurable goods","B828RG3",15.612,14.652,14.407,14.119,16.29,13.795,14.09,14.527,14.45,16.464,14.025,14.157,15.273,17.562,17.15,15.584,15.614,15.871,15.575,16.038,16.264,17.641,17.668,17.586,16.397,17.588,17.699,18.54,18.977,19.582,19.011,17.619,20.774,21.357,18.3,18.544,18.573,18.708,18.715,18.547,18.59,19.145,18.991,19.625,19.956,20.8,20.011,19.806,19.92,19.787,19.805,20.02,20.766,20.392,20.585,20.773,22.203,21.071,21.219,21.365,22.528,21.682,21.712,21.837,21.888,21.895,21.949,22.361,22.151,22.122,22.243,22.552,23.527,22.72,22.905,23.152,23.542,23.61,24.084,24.244,24.272,24.378,24.563,24.679,25.03,25.502,25.384,25.496,25.594,25.436
"52","44","          Services","A544RG3",10.343,10.179,11.433,11.881,11.914,12.155,12.316,12.33,12.271,12.213,11.919,11.75,11.845,11.762,11.88,11.894,12.531,12.11,12.372,12.785,13.168,12.94,13.082,13.344,13.254,13.42,13.54,13.96,13.272,14.081,13.418,14.085,14.329,14.406,14.018,13.81,13.989,14.174,14.663,14.885,15.089,15.33,15.245,15.287,15.079,15.272,14.958,15.483,14.624,14.765,14.936,15.148,15.058,15.181,15.296,15.36,15.229,15.326,15.298,15.477,15.837,15.759,15.854,16.134,16.173,16.069,16.267,16.891,16.655,17.023,17.117,17.276,17.401,17.419,17.551,17.62,17.686,17.848,18.042,18.179,18.11,18.628,18.847,19.259,19.166,19.451,19.691,20.037,20.436,20.801
"53","45","      Less: Own-account investment \4\","W136RG3",11.171,11.208,11.319,11.275,10.976,10.894,10.895,11.008,11.544,11.678,11.752,11.865,11.705,11.589,11.655,11.657,12.362,12.327,12.393,12.54,12.826,13.009,13.04,13.221,13.281,13.431,13.304,13.449,13.388,13.537,13.519,13.699,13.87,14.101,14.101,14.156,14.235,14.375,14.466,14.537,14.662,14.796,14.999,15.281,15.699,16.016,16.113,16.145,16.166,16.188,16.264,16.366,16.449,16.548,16.858,17.021,17.111,17.195,17.253,17.332,17.463,17.486,17.522,17.694,17.689,17.736,17.803,17.978,18.218,18.353,18.478,18.503,18.514,18.523,18.549,18.611,18.652,18.675,18.709,18.696,18.688,18.727,18.818,19.078,19.3,19.494,19.714,19.886,19.987,20.188
"54","46","      Less: Sales to other sectors","W137RG3",8.727,11.77,10.397,11.214,10.49,11.053,11.265,10.475,11.345,11.211,10.652,10.58,11.008,11.044,11.243,11.085,12.06,11.995,11.814,11.708,11.664,12.094,11.777,11.565,11.654,11.686,11.73,11.396,12.19,11.621,11.722,11.721,12.28,12.429,12.215,12.248,12.325,12.783,12.787,13.229,13.398,13.282,13.307,13.296,13.875,13.838,13.625,13.62,13.425,13.604,13.561,13.798,13.745,13.793,13.474,13.322,13.457,13.346,13.244,13.349,13.561,13.6,13.745,13.704,13.846,13.747,14.183,14.381,14.37,14.609,14.6,14.602,14.702,14.617,14.81,15.12,15.125,15.508,15.545,15.527,15.326,15.427,15.927,16.375,16.613,17.077,17.569,18.518,19.651,19.39
"55","47","State and local consumption expenditures \1\","A991RG3",5.186,5.273,5.371,5.546,5.753,5.869,6.1,6.223,6.158,6.073,6.095,6.063,6.073,6.14,6.298,6.431,6.59,6.663,6.781,6.883,6.934,7.012,7.148,7.206,7.28,7.287,7.275,7.332,7.373,7.514,7.619,7.661,7.68,7.715,7.76,7.847,8.003,8.062,8.178,8.263,8.363,8.48,8.544,8.598,8.682,8.753,8.778,8.808,8.955,8.998,9.012,9.05,9.196,9.262,9.331,9.396,9.482,9.611,9.696,9.78,9.898,9.911,9.913,9.98,10.107,10.174,10.198,10.289,10.335,10.396,10.456,10.514,10.645,10.701,10.81,10.894,11.079,11.239,11.406,11.538,11.743,11.892,12.069,12.24,12.444,12.649,12.828,13.07,13.244,13.499
"56","48","      Gross output of general government","W138RG3",5.134,5.22,5.316,5.484,5.685,5.785,6.002,6.11,6.047,5.965,5.985,5.961,5.973,6.038,6.193,6.324,6.48,6.548,6.657,6.754,6.801,6.873,6.998,7.052,7.12,7.131,7.127,7.18,7.221,7.345,7.439,7.479,7.502,7.536,7.578,7.658,7.801,7.86,7.97,8.051,8.149,8.258,8.319,8.372,8.45,8.516,8.545,8.576,8.693,8.736,8.755,8.799,8.934,9.007,9.078,9.142,9.222,9.327,9.403,9.478,9.587,9.602,9.614,9.674,9.784,9.846,9.876,9.962,10.007,10.062,10.122,10.178,10.296,10.354,10.457,10.539,10.706,10.851,11.01,11.13,11.307,11.442,11.607,11.761,11.954,12.146,12.319,12.544,12.711,12.954
"57","49","        Value added","W139RG3",4.151,4.216,4.295,4.441,4.607,4.732,4.919,5.038,4.991,4.924,4.942,4.912,4.921,4.982,5.1,5.201,5.328,5.398,5.518,5.607,5.646,5.725,5.847,5.905,5.975,5.977,5.954,6.005,6.054,6.191,6.294,6.332,6.346,6.377,6.414,6.49,6.63,6.681,6.78,6.856,6.93,7.042,7.106,7.159,7.235,7.305,7.315,7.34,7.402,7.429,7.443,7.479,7.626,7.695,7.763,7.83,7.908,8.03,8.112,8.192,8.303,8.32,8.326,8.396,8.516,8.581,8.609,8.703,8.745,8.803,8.863,8.909,9.042,9.089,9.185,9.256,9.435,9.576,9.722,9.851,10.041,10.185,10.357,10.522,10.713,10.906,11.084,11.299,11.456,11.683
"58","50","          Compensation of general government employees","B251RG3",3.636,3.677,3.737,3.867,4.014,4.128,4.305,4.425,4.383,4.336,4.367,4.346,4.391,4.458,4.557,4.619,4.7,4.747,4.856,4.94,4.998,5.062,5.166,5.255,5.312,5.332,5.314,5.392,5.465,5.575,5.694,5.726,5.764,5.794,5.793,5.858,5.978,6.01,6.096,6.167,6.243,6.347,6.418,6.487,6.59,6.652,6.653,6.677,6.734,6.768,6.789,6.833,6.989,7.061,7.132,7.202,7.283,7.408,7.494,7.575,7.683,7.695,7.7,7.767,7.891,7.954,7.982,8.076,8.117,8.176,8.237,8.283,8.413,8.453,8.547,8.615,8.795,8.922,9.066,9.188,9.384,9.535,9.701,9.862,10.038,10.233,10.422,10.621,10.766,10.975
"59","51","          Consumption of general government fixed capital \2\","B986RG3",11.109,11.524,11.897,12.251,12.661,12.926,13.213,13.279,13.147,12.786,12.572,12.402,11.792,11.716,12.113,12.832,13.681,14.111,14.37,14.492,14.219,14.503,14.867,14.393,14.656,14.358,14.252,13.846,13.489,14.029,13.819,13.952,13.568,13.606,14.234,14.477,14.894,15.212,15.496,15.625,15.648,15.842,15.783,15.554,15.168,15.336,15.491,15.511,15.637,15.554,15.446,15.34,15.297,15.288,15.287,15.289,15.302,15.327,15.33,15.365,15.492,15.58,15.61,15.692,15.727,15.795,15.827,15.897,15.935,15.959,15.988,16.024,16.17,16.322,16.407,16.516,16.614,16.938,17.088,17.276,17.339,17.334,17.556,17.735,18.101,18.224,18.193,18.59,18.885,19.34
"60","52","        Intermediate goods and services purchased \3\","W140RG3",9.414,9.606,9.771,10.015,10.36,10.263,10.588,10.58,10.449,10.307,10.331,10.346,10.371,10.447,10.765,11.033,11.318,11.358,11.368,11.486,11.561,11.569,11.666,11.673,11.7,11.762,11.892,11.933,11.898,11.888,11.892,11.927,11.998,12.038,12.103,12.175,12.289,12.38,12.507,12.591,12.802,12.85,12.866,12.899,12.955,12.974,13.112,13.176,13.578,13.707,13.751,13.833,13.844,13.919,13.983,14.008,14.069,14.046,14.058,14.083,14.142,14.141,14.178,14.165,14.179,14.209,14.236,14.249,14.3,14.318,14.364,14.459,14.46,14.56,14.678,14.796,14.86,14.99,15.175,15.215,15.281,15.341,15.43,15.498,15.657,15.802,15.916,16.144,16.331,16.598
"61","53","          Durable goods","B989RG3",16.704,16.982,17.204,17.549,17.772,18.129,19.132,19.657,19.777,18.816,18.618,18.579,18.612,18.913,19.817,20.947,21.446,21.627,21.462,21.756,21.99,21.938,21.985,21.93,22.24,22.012,21.924,21.983,21.887,22.506,22.725,23.012,23.622,23.933,24.8,25.491,25.952,25.481,25.408,25.588,25.242,24.911,24.698,24.578,24.596,24.607,24.835,25.411,24.359,25.02,24.77,24.912,25.047,25.026,25.232,25.224,25.868,25.975,25.96,26.547,26.059,25.956,26.146,26.038,26.035,26.641,26.729,26.733,26.791,27.248,27.238,27.254,27.257,27.741,27.662,27.674,28.289,28.666,28.921,29.218,29.18,29.577,29.868,29.943,30.428,30.962,30.95,31.291,31.744,31.974
"62","54","          Nondurable goods","B337RG3",12.097,12.491,12.699,13.204,13.865,13.941,14.039,13.807,13.289,12.848,12.794,12.776,12.782,12.962,13.588,14.108,14.713,14.715,14.686,14.771,14.613,14.452,14.508,14.383,14.332,14.46,14.742,14.67,14.604,14.547,14.419,14.408,14.494,14.485,14.537,14.594,14.785,14.927,14.988,15.068,15.511,15.594,15.504,15.441,15.295,15.174,15.27,15.291,14.633,14.735,14.708,14.788,14.71,14.83,14.899,14.938,15.012,14.914,14.927,14.928,15.02,14.979,15.035,15.003,15.05,15.057,15.122,15.129,15.214,15.104,15.157,15.267,15.249,15.408,15.6,15.809,15.873,15.992,16.259,16.218,16.247,16.286,16.401,16.439,16.595,16.732,16.856,16.95,17.061,17.343
"63","55","          Services","A988RG3",7.394,7.461,7.595,7.682,7.848,7.649,8.057,8.156,8.244,8.311,8.391,8.426,8.458,8.462,8.573,8.666,8.765,8.821,8.857,8.982,9.17,9.269,9.387,9.467,9.524,9.56,9.614,9.713,9.698,9.688,9.751,9.799,9.84,9.894,9.935,9.99,10.044,10.128,10.292,10.37,10.483,10.529,10.608,10.696,10.858,10.95,11.102,11.164,12.306,12.423,12.53,12.61,12.682,12.73,12.783,12.801,12.824,12.846,12.859,12.873,12.936,12.969,12.985,12.991,12.981,12.998,12.996,13.014,13.042,13.124,13.168,13.256,13.268,13.311,13.39,13.456,13.494,13.619,13.75,13.825,13.918,13.974,14.037,14.121,14.265,14.394,14.507,14.803,15.017,15.274
"64","56","      Less: Own-account investment \4\","W144RG3",7.851,7.926,7.929,8.067,8.294,8.343,8.577,8.75,8.618,8.45,8.488,8.491,8.641,8.794,8.979,9.099,9.288,9.332,9.555,9.749,9.679,9.793,9.978,10.119,10.267,10.345,10.318,10.463,10.666,10.883,11.091,11.17,11.27,11.32,11.348,11.489,11.638,11.71,11.893,12.049,12.199,12.404,12.56,12.668,12.799,12.925,12.931,13.012,12.499,12.593,12.621,12.671,12.791,12.848,12.905,12.969,13.045,13.115,13.177,13.222,13.307,13.319,13.326,13.371,13.476,13.53,13.527,13.587,13.612,13.645,13.691,13.787,13.873,13.92,14.01,14.115,14.231,14.378,14.538,14.66,14.797,14.92,15.047,15.207,15.418,15.619,15.816,16.042,16.27,16.514
"65","57","      Less: Sales to other sectors","W145RG3",5.108,5.2,5.301,5.427,5.592,5.569,5.694,5.667,5.623,5.57,5.577,5.607,5.618,5.674,5.816,5.951,6.11,6.145,6.177,6.228,6.269,6.291,6.334,6.349,6.364,6.402,6.471,6.48,6.499,6.495,6.497,6.523,6.563,6.597,6.627,6.652,6.716,6.777,6.839,6.893,6.98,7.03,7.069,7.112,7.141,7.166,7.238,7.272,7.275,7.32,7.37,7.465,7.532,7.668,7.765,7.834,7.876,7.831,7.849,7.881,7.948,7.977,8.048,8.08,8.09,8.13,8.202,8.265,8.311,8.334,8.4,8.447,8.498,8.571,8.65,8.719,8.804,8.874,8.999,9.055,9.1,9.167,9.282,9.357,9.492,9.626,9.774,9.921,10.05,10.238
"66","58","        Tuition and related educational charges","B1065G3",2.712,2.737,2.785,2.833,2.882,2.906,2.93,2.955,2.955,2.955,2.955,2.955,2.979,3.003,3.027,3.076,3.124,3.148,3.173,3.173,3.173,3.173,3.173,3.173,3.173,3.173,3.197,3.221,3.245,3.269,3.269,3.294,3.318,3.342,3.39,3.39,3.439,3.463,3.512,3.512,3.536,3.56,3.56,3.584,3.584,3.608,3.608,3.633,3.704,3.751,3.831,3.881,3.875,3.877,3.88,3.924,3.942,3.949,4.016,4.045,4.067,4.146,4.141,4.173,4.206,4.24,4.292,4.363,4.378,4.416,4.483,4.506,4.551,4.638,4.653,4.711,4.751,4.843,4.931,4.987,5.025,5.104,5.146,5.218,5.305,5.365,5.491,5.572,5.65,5.749
"67","59","        Health and hospital charges","B1066G3",2.851,2.956,3.062,3.131,3.2,3.235,3.269,3.269,3.269,3.304,3.303,3.338,3.337,3.407,3.477,3.547,3.617,3.688,3.758,3.793,3.829,3.864,3.934,3.969,4.004,4.04,4.075,4.075,4.11,4.111,4.146,4.181,4.217,4.287,4.287,4.288,4.323,4.358,4.394,4.464,4.501,4.572,4.642,4.712,4.747,4.781,4.851,4.885,4.852,4.883,4.963,5.158,5.25,5.577,5.775,5.885,5.845,5.771,5.738,5.741,5.794,5.874,5.93,5.985,6.006,6.039,6.126,6.176,6.271,6.322,6.367,6.448,6.481,6.532,6.561,6.585,6.622,6.687,6.772,6.894,7.004,7.104,7.235,7.345,7.478,7.608,7.723,7.852,7.97,8.122
"68","60","        Other sales \5\","W146RG3",10.181,10.333,10.498,10.758,11.118,11.016,11.317,11.233,11.111,10.937,10.957,11.009,11.03,11.113,11.422,11.703,12.048,12.077,12.097,12.205,12.283,12.315,12.375,12.388,12.399,12.473,12.617,12.631,12.643,12.622,12.6,12.631,12.698,12.721,12.78,12.847,12.969,13.093,13.21,13.296,13.493,13.553,13.593,13.628,13.673,13.693,13.825,13.873,13.879,13.947,13.953,13.977,14.074,14.122,14.201,14.268,14.419,14.359,14.401,14.472,14.598,14.553,14.706,14.722,14.709,14.771,14.862,14.949,14.983,14.978,15.078,15.123,15.206,15.306,15.496,15.632,15.818,15.888,16.107,16.107,16.099,16.137,16.311,16.361,16.558,16.774,16.996,17.238,17.438,17.768
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
