"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"38","30","          Nondurable goods","A725RA3",18.823,15.099,14.077,13.304,24.428,23.622,18.028,26.628,35.189,32.725,33.141,30.021,29.571,32.041,42.052,45.925,99.517,98.54,97.705,96.695,117.165,127.482,132.69,135.589,200.415,193.785,208.291,213.577,131.529,131.357,131.549,113.853,66.337,65.897,59.861,56.265,60.151,59.975,64.114,60.559,65.911,68.426,64.473,76.838,76.431,72.972,75.479,67.87,65.641,60.479,64.303,62.251,64.126,61.06,62.953,57.946,77.557,69.505,81.171,84.945,97.499,93.358,110.271,109.204,94.078,79.388,94.078,98.895,105.536,94.776,108.741,108.312,106.221,80.707,132.146,152.192,149.994,189.161,175.102,157.924,242.92,258.604,268.831,260.633,301.057,312.443,282.54,287.709,271.686,273.764
"39","31","          Services","A489RA3",1.597,3,3.306,3.767,3.988,3.972,3.535,3.761,2.859,3.59,3.954,2.704,2.901,2.937,2.678,3.841,13.495,12.912,22.072,20.711,19.671,24.201,24.72,25.955,17.388,12.746,16.674,21.917,19.203,11.648,12.262,8.372,18.833,11.89,19.861,18.03,16.749,19.364,17.425,19.802,21.552,23.112,24.615,24.211,23.5,22.695,24.103,24.016,18.682,13.468,14.397,15.288,15.261,16.241,19.919,18.635,19.05,19.379,20.206,19.068,20.765,20.176,21.506,26.464,20.432,21.324,27.052,23.794,21.097,19.954,19.054,16.25,15.544,18.51,20.683,23.605,22.858,21.815,29.005,26.539,29.975,32.898,32.095,33.018,34.84,33.681,31.195,32.984,28.824,31.858
"40","32","      Less: Own-account investment \4\","W088RA3",13.87,13.247,13.19,13.601,14.692,15.341,15.975,15.751,14.872,14.692,14.212,13.821,13.469,13.985,14.289,15.166,15.6,17.034,18.953,20.2,20.694,22.319,23.949,25.425,27.424,27.754,28.042,27.766,27.95,27.408,26.901,26.077,26.303,26.206,26.161,26.817,27.143,28.29,29.238,28.794,29.724,30.095,30.343,30.253,30.133,30.818,32.022,34.57,33.806,36.29,37.347,37.972,37.719,37.82,37.353,37.935,38.918,39.371,38.829,39.191,38.669,38.637,39.498,38.92,36.216,38.914,38.956,38.107,38.669,38.524,38.211,38.53,38.082,38.739,38.612,37.676,37.397,38.228,38.971,40.823,38.544,39.34,40.081,40.529,40.605,41.012,41.99,43.475,45.21,46.431
"41","33","      Less: Sales to other sectors","W089RA3",2.256,2.171,2.124,1.044,17.538,20.431,19.892,20.232,9.786,9.839,9.069,9.126,8.066,7.941,7.824,7.52,340.91,3.701,2.792,2.775,3.707,0.912,3.565,2.693,3.544,6.071,3.558,3.57,5.3,10.287,7.753,11.471,62.712,61.642,68.468,67.069,43.293,71.945,36.27,44.919,54.893,47.439,81.216,82.052,90.855,103.337,47.164,109.679,44.953,41.561,38.349,47.83,55.161,58.867,55.803,45.398,37.177,54.188,36.373,31.282,38.429,61.36,45.246,51.056,28.058,40.323,46.319,43.716,48.623,43.083,56.144,64.268,57.043,59.181,94.541,81.298,138.163,189.893,108.884,88.211,66.37,86.065,24.96,28.797,24.892,27.438,21.692,33.048,24.626,34.777
"42","34","    Nondefense consumption expenditures \1\","A542RA3",14.285,18.928,15.695,11.682,13.642,19.301,21.779,23.487,23.265,25.542,22.753,22.194,20.903,21.398,14.086,16.432,13.831,15.255,15.329,15.428,17.515,16.679,18.004,18.169,20.655,25.806,22.431,22.837,24.15,21.012,20.286,23.737,20.801,21.928,22.831,21.214,20.157,19.998,16.862,18.232,20.294,15.896,15.015,19.344,14.075,17.803,17.326,20.094,21.314,26.627,26.811,25.812,20.368,20.732,21.182,22.846,18.933,21.286,21.85,21.729,22.638,24.197,26.683,26.158,24.211,23.157,26.842,25.142,25.649,26.792,25.578,25.203,25.765,25.859,27.91,27.105,25.486,27.275,26.06,24.633,30.033,28.175,27.431,28.882,28.755,27.428,29.519,29.888,31.009,31.669
"43","35","      Gross output of general government","W128RA3",17.339,20.463,15.247,11.581,14.411,18.377,20.62,23.136,21.911,23.955,21.942,21.171,20.027,22.96,13.891,15.982,14.186,15.358,15.47,15.432,17.263,17.117,17.824,18.159,20.49,25.013,21.937,22.255,23.447,21.489,19.842,23.161,20.568,26.38,22.352,20.824,19.854,20.267,16.887,18.06,20.604,17.239,16.204,20.206,14.523,19.754,17.604,20.159,22.38,26.215,26.488,26.129,20.672,21.076,21.542,23.113,19.627,21.654,22.377,22.272,23.256,24.697,27.221,26.821,26.343,24.196,28.07,26.448,27.63,28.04,27.404,27.031,27.813,27.879,30.043,29.366,28.257,29.767,28.512,27.185,32.474,30.416,30.489,31.486,31.263,30.01,32.04,32.501,33.409,34.239
"44","36","        Value added","W129RA3",24.301,25.221,23.674,17.547,24.124,24.849,25.656,26.069,24.562,24.767,24.543,23.438,23.831,26.001,27.306,30.219,25.152,26.635,25.493,23.983,24.73,25.011,25.248,25.046,24.229,23.712,23.044,22.649,22.438,22.687,22.199,22.754,22.625,22.477,22.982,22.987,23.239,23.049,23.342,23.69,24.018,24.306,24.251,23.625,24.633,24.766,25.255,25.33,25.112,25.32,25.505,25.604,26.829,28.06,27.392,27.337,27.809,28.3,28.855,29.099,29.617,30.2,30.843,30.923,32.131,32.721,33.221,33.303,33.896,34.535,35.049,35.375,35.669,36.256,37.137,37.629,37.845,38.811,40.135,40.911,41.309,42.188,43.122,43.074,43.923,44.646,45.052,44.831,45.735,46.086
"45","37","          Compensation of general government employees","W130RA3",48.881,51.194,47.348,32.853,48.621,50.231,52.141,52.932,49.3,49.668,48.952,46.304,47.013,51.998,55.098,61.718,49.492,52.817,49.946,46.246,47.916,48.492,48.96,48.426,46.456,45.159,43.478,42.546,41.955,42.54,41.396,42.703,42.355,41.948,43.039,43.09,43.562,43.024,43.615,44.293,44.953,45.485,45.182,43.611,45.637,45.815,46.752,46.752,46.004,46.354,46.565,46.565,49.154,51.648,49.998,49.586,50.26,51.054,52.057,52.18,53.034,53.907,54.873,54.576,56.618,57.328,57.792,57.22,57.845,58.568,58.936,58.949,58.776,59.231,60.269,60.456,59.915,61.169,63.201,63.919,63.941,64.993,66.176,65.309,66.323,67.089,67.159,65.99,67.116,67.165
"46","38","          Consumption of general government fixed capital \2\","B546RA3",3.918,3.864,3.934,3.899,3.856,3.916,3.938,4.02,4.013,4.063,4.14,4.154,4.252,4.327,4.33,4.483,4.545,4.63,4.704,4.759,4.808,4.853,4.897,4.926,4.951,4.995,5.061,5.071,5.126,5.121,5.133,5.118,5.144,5.181,5.216,5.195,5.253,5.309,5.351,5.416,5.464,5.533,5.634,5.715,5.867,5.942,6.04,6.141,6.3,6.371,6.495,6.631,6.723,6.886,6.982,7.167,7.408,7.598,7.746,8.019,8.211,8.485,8.785,9.1,9.516,9.912,10.342,10.85,11.317,11.79,12.322,12.821,13.407,14.001,14.636,15.284,16.039,16.656,17.265,17.979,18.609,19.24,19.86,20.447,21.064,21.665,22.291,22.856,23.483,24.035
"47","39","        Intermediate goods and services purchased \3\","W131RA3",6.77,10.3,4.542,3.806,3.307,7.792,10.182,13.08,12.373,14.849,12.593,12.589,11.11,13.812,0.108,0.437,1.649,2.549,3.707,4.749,6.777,6.307,7.143,7.782,11.872,19.063,14.907,15.702,17.691,14.539,12.437,17.05,13.22,22.2,15.589,13.246,11.535,12.389,6.692,8.241,12.009,6.379,4.793,11.85,1.452,10.181,6.011,10.291,14.282,20.808,21.138,20.406,9.27,8.742,10.305,13.267,6.266,9.527,10.277,9.801,11.094,13.17,17.204,16.393,14.163,9.37,16.2,13.028,14.607,14.658,12.889,11.824,12.969,12.424,15.604,13.698,11.292,13.109,9.168,5.828,15.414,10.538,9.647,11.643,10.213,7.012,10.44,11.574,12.313,13.518
"48","40","          Durable goods","A543RA3",3.238,4.03,2.009,1.242,4.359,2.875,3.708,3.956,4.128,3.002,3.103,3.153,2.603,2.552,2.578,1.488,2.975,3.419,2.195,3.107,4.96,3.03,3.288,2.765,2.463,3.556,4.851,4.598,3.911,3.546,3.228,2.997,3.176,4.835,1.929,2.001,3.246,3.491,3.479,3.013,3.256,3.75,3.463,2.708,1.686,2.882,1.669,2.321,2.566,2.674,2.26,2.738,1.867,1.773,2.104,2.241,2.233,2.373,3.148,3.065,3.337,2.975,3.676,3.268,3.675,3.169,3.961,3.885,4.632,4.616,4.639,4.828,4.656,4.899,5.242,4.877,5.02,5.774,5.452,4.506,6.03,4.185,4.93,5.36,3.786,3.033,3.325,3.459,3.742,3.727
"49","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","            Other nondurable goods","B828RA3",8.722,10.009,3.093,3.026,5.102,8.174,7.991,10.256,5.659,7.11,7.711,7.641,6.474,5.109,5.057,3.227,4.304,5.199,4.996,7.015,9.299,6.154,6.489,5.167,5.118,7.319,7.192,7.589,7.127,6.97,6.238,6.867,6.036,9.761,4.171,4.85,7.521,7.654,7.695,6.935,8.068,8.876,7.922,5.429,3.287,5.358,3.435,4.162,5.738,5.616,5.224,6.919,5.649,4.633,5.55,6.299,6.636,8.642,8.797,10.097,14.732,11.811,11.871,12.29,13.363,12.445,11.923,13.264,15.517,13.888,10.189,12.073,12.478,13.056,14.546,14.39,12.859,15.013,14.845,12.239,18.812,10.99,14.003,17.631,12.636,7.689,9.341,11.21,13.251,10.289
"52","44","          Services","A544RA3",16.198,17.869,5.941,5.89,9.992,12.985,12.989,16.266,10.068,13.584,12.912,13.137,12.009,11.017,9.383,5.784,6.832,8.008,7.121,10,13.123,9.633,10.057,8.068,7.431,11.239,11.539,12.625,13.102,12.683,12.032,11.791,12.412,19.446,9.295,10.745,15.113,15.094,14.441,13.402,14.7,16.34,14.926,11.609,8.704,11.779,8.214,8.602,16.872,16.778,16.092,18.978,15.631,14.305,15.899,16.634,16.907,18.628,19.688,19.329,20.092,17.479,19.389,16.866,20.205,17.221,20.456,19.841,22.678,23.421,20.364,21.373,20.831,21.827,22.673,20.966,21.412,25.477,24.025,18.355,25.24,15.48,19.129,21.43,13.891,9.777,12.531,13.66,15.308,16.075
"53","45","      Less: Own-account investment \4\","W136RA3",3.263,3.716,3.91,4.155,4.741,5.733,6.45,7.806,6.545,6.472,8.205,9.001,9.34,9.431,13.173,12.278,12.842,14.146,15.331,14.737,16.034,16.609,17.367,17.126,18.222,17.241,16.622,15.669,16.13,15.952,15.011,15.005,15.196,14.947,15.501,14.707,14.809,15.39,16.556,16.121,16.699,17.785,19.455,20.115,20.07,20.154,20.997,21.435,22.21,22.179,21.119,21.472,21.214,23.611,24.259,25.706,26.321,25.278,26.85,28.832,28.621,31.714,34.027,37.08,37.237,40.368,44.747,45.759,47.299,49.362,52.406,55.006,56.514,60.275,62.293,64.463,67.11,67.444,67.739,67.782,70.593,68.777,68.582,67.236,65.928,64.604,64.018,65.17,65.885,67.164
"54","46","      Less: Sales to other sectors","W137RA3",189.439,144.309,38.259,35.612,80.635,25.53,23.322,61.378,19.497,18.522,37.802,22.334,22.76,141.447,15.549,17.079,41.207,32.029,30.728,26.261,19.223,47.509,20.855,30.921,30.632,24.498,26.729,27.454,26.737,73.345,23.703,32.728,36.567,292.237,32.32,32.199,31.812,59.463,29.359,27.306,59.199,88.149,71.329,72.543,27.241,123.391,29.299,29.287,87.897,30.724,40.04,68.659,43.64,39.979,40.939,38.78,42.002,38.154,44.766,38.151,47.868,37.978,44.154,38.139,114.581,34.384,48.012,41.076,77.437,33.353,51.534,41.066,51.742,37.731,47.126,43.81,58.457,48.465,39.873,39.546,47.037,32.735,79.37,63.044,60.801,63.58,70.057,73.141,63.827,71.803
"55","47","State and local consumption expenditures \1\","A991RA3",13.728,13.967,14.215,14.29,14.066,14.117,14.147,14.343,14.822,15.204,15.609,15.929,16.348,16.37,16.306,16.28,16.183,16.214,16.316,16.416,16.235,16.822,16.345,16.583,16.903,16.852,17.213,17.204,17.458,17.565,17.926,18.073,18.669,18.801,18.98,19.172,19.162,19.471,19.735,20.012,20.105,20.392,20.813,21.187,21.637,22.102,22.457,22.703,22.67,22.836,23.111,23.408,23.752,24.261,24.421,24.764,25.292,25.656,25.619,25.837,25.866,26.164,26.401,26.676,26.895,27.251,27.737,28.107,28.627,29.055,29.441,29.95,30.305,30.908,31.451,31.93,32.346,32.756,33.22,33.773,33.807,34.167,34.766,35.271,35.981,36.423,37.072,37.61,38.271,38.832
"56","48","      Gross output of general government","W138RA3",12.226,12.441,12.669,12.751,12.562,12.664,12.714,12.921,13.376,13.766,14.14,14.431,14.805,14.849,14.795,14.777,14.673,14.727,14.813,14.89,14.816,15.294,14.921,15.131,15.388,15.359,15.668,15.7,15.913,16.045,16.378,16.532,17.057,17.209,17.386,17.571,17.591,17.864,18.095,18.344,18.453,18.719,19.098,19.454,19.888,20.322,20.67,20.939,21.056,21.23,21.479,21.712,22.034,22.47,22.614,22.901,23.442,23.735,23.799,24.102,24.236,24.465,24.798,25.089,25.446,25.768,26.227,26.611,27.093,27.554,27.959,28.466,28.856,29.447,30.007,30.5,30.904,31.373,31.811,32.378,32.554,32.903,33.446,33.986,34.712,35.214,35.788,36.282,36.874,37.357
"57","49","        Value added","W139RA3",16.346,16.602,16.83,16.998,16.983,16.994,17.134,17.38,17.734,18.112,18.464,18.729,18.798,18.853,18.912,18.998,19.13,19.287,19.466,19.652,19.774,19.911,20.096,20.31,20.524,20.756,21.031,21.273,21.486,21.689,21.919,22.196,22.379,22.615,22.985,23.356,23.595,24.096,24.508,24.866,25.072,25.363,25.769,26.194,26.495,26.987,27.429,27.777,27.912,28.113,28.409,28.726,29.153,29.575,30.029,30.401,30.944,31.119,31.503,31.757,31.878,32.26,32.685,33.084,33.477,33.876,34.455,34.877,35.474,35.989,36.404,37.028,37.377,38.122,38.812,39.413,39.825,40.398,40.978,41.663,41.679,42.049,42.709,43.289,44.178,44.714,45.266,45.754,46.288,46.767
"58","50","          Compensation of general government employees","B251RA3",17.9,18.226,18.512,18.716,18.678,18.67,18.83,19.124,19.557,20.017,20.44,20.748,20.8,20.835,20.875,20.951,21.084,21.249,21.444,21.648,21.768,21.908,22.11,22.349,22.585,22.843,23.153,23.417,23.642,23.851,24.094,24.393,24.572,24.818,25.233,25.65,25.9,26.481,26.947,27.343,27.544,27.851,28.302,28.774,29.089,29.642,30.135,30.509,30.615,30.804,31.113,31.448,31.92,32.385,32.889,33.29,33.902,34.057,34.472,34.725,34.813,35.222,35.683,36.11,36.529,36.951,37.592,38.037,38.695,39.251,39.682,40.37,40.718,41.551,42.314,42.966,43.384,43.999,44.622,45.37,45.299,45.661,46.378,46.997,47.995,48.562,49.149,49.66,50.227,50.727
"59","51","          Consumption of general government fixed capital \2\","B986RA3",7.866,7.887,7.915,7.95,7.992,8.04,8.095,8.156,8.224,8.297,8.374,8.457,8.546,8.636,8.727,8.818,8.909,8.999,9.089,9.179,9.268,9.36,9.452,9.546,9.643,9.746,9.857,9.975,10.101,10.234,10.372,10.517,10.669,10.819,10.969,11.118,11.266,11.419,11.578,11.742,11.911,12.085,12.265,12.45,12.642,12.833,13.024,13.215,13.406,13.597,13.789,13.982,14.177,14.373,14.572,14.774,14.979,15.185,15.392,15.6,15.814,16.03,16.252,16.481,16.716,16.961,17.216,17.48,17.756,18.035,18.319,18.608,18.901,19.201,19.508,19.821,20.14,20.465,20.796,21.133,21.477,21.82,22.162,22.503,22.839,23.176,23.51,23.842,24.171,24.495
"60","52","        Intermediate goods and services purchased \3\","W140RA3",5.511,5.637,5.813,5.793,5.481,5.649,5.597,5.719,6.18,6.501,6.82,7.077,7.684,7.708,7.552,7.43,7.107,7.045,7.018,6.966,6.704,7.447,6.553,6.718,6.976,6.669,6.956,6.755,6.928,6.957,7.347,7.335,8.159,8.19,8.118,8.061,7.826,7.792,7.777,7.859,7.837,8.033,8.32,8.541,9.067,9.37,9.552,9.687,9.767,9.883,10.036,10.135,10.284,10.671,10.426,10.57,11.03,11.425,11.087,11.41,11.543,11.552,11.727,11.843,12.109,12.296,12.547,12.837,13.113,13.454,13.801,14.097,14.503,14.827,15.154,15.454,15.809,16.092,16.293,16.646,17.029,17.32,17.655,18.096,18.532,18.953,19.523,19.995,20.641,21.104
"61","53","          Durable goods","B989RA3",2.288,2.433,2.582,2.601,3.349,3.292,3.156,3.078,3.014,3.327,3.662,3.837,3.662,3.615,3.479,3.322,3.703,3.722,3.759,3.699,4.013,4.053,4.041,4.085,4.137,4.177,4.248,4.337,4.635,4.563,4.703,4.754,4.515,4.662,4.576,4.459,4.862,5.035,5.104,5.213,5.803,6.046,6.271,6.472,6.015,6.139,6.21,6.393,6.856,6.866,7.025,7.028,7.163,7.343,7.355,7.45,7.751,7.64,7.797,7.864,8.219,8.11,8.385,8.528,8.824,8.69,8.831,9.042,9.201,9.311,9.545,9.776,10.331,10.413,10.738,10.957,11.114,11.366,11.528,11.731,12.078,12.004,11.926,12.11,12.96,13.69,14.35,14.841,15.163,15.671
"62","54","          Nondurable goods","B337RA3",5.805,5.891,6.063,5.962,5.457,5.552,5.661,5.922,6.488,7.011,7.429,7.722,8.311,8.272,7.974,7.693,6.997,6.938,6.896,6.824,6.668,7.485,6.578,6.8,6.987,6.625,6.849,6.679,6.684,6.735,7.229,7.273,8.093,8.198,8.148,8.07,7.59,7.497,7.515,7.59,7.308,7.5,7.881,8.205,8.829,9.335,9.675,9.962,11.406,11.554,11.786,11.896,12.04,12.197,12.302,12.479,12.743,13.015,13.142,13.279,13.347,13.373,13.599,13.735,13.985,14.117,14.262,14.496,14.709,15.127,15.441,15.681,16.02,16.262,16.462,16.584,16.879,17.027,17.063,17.344,17.613,17.782,18.014,18.445,18.801,19.143,19.606,20.173,20.59,20.906
"63","55","          Services","A988RA3",5.731,5.892,6.075,6.127,5.842,6.117,5.914,5.933,6.377,6.516,6.745,6.984,7.723,7.815,7.781,7.81,7.723,7.646,7.621,7.588,7.135,7.923,6.903,7.039,7.39,7.078,7.451,7.18,7.477,7.502,7.842,7.772,8.767,8.718,8.631,8.602,8.465,8.446,8.39,8.473,8.567,8.757,8.975,9.112,9.707,9.875,9.95,9.964,9.004,9.115,9.216,9.32,9.472,10.035,9.525,9.653,10.261,10.804,10.095,10.573,10.717,10.731,10.857,10.955,11.226,11.491,11.824,12.161,12.492,12.812,13.193,13.532,13.957,14.366,14.775,15.203,15.621,15.995,16.312,16.731,17.191,17.613,18.071,18.552,18.978,19.402,20.024,20.429,21.264,21.812
"64","56","      Less: Own-account investment \4\","W144RA3",5.645,5.584,5.93,6.247,6.359,7.14,7.553,7.815,8.42,9.48,9.943,9.995,9.69,9.773,10.067,10.487,10.578,11.417,11.375,11.079,13.196,13.071,12.905,12.957,12.237,12.018,12.541,13.039,12.907,13.1,13.277,13.239,12.862,13.094,13.164,13.207,14.295,14.653,14.637,14.654,14.906,14.863,14.661,14.91,15.433,15.48,16.143,16.582,20.877,21.502,21.667,20.706,19.909,20.557,20.69,20.217,22.067,19.186,20.716,23.77,22.862,20.14,24.118,24.916,26.895,25.459,25.426,25.583,25.504,26.258,26.451,26.224,26.094,26.551,27.786,28.343,28.593,29.558,28.798,29.214,30.821,29.014,28.321,28.957,30.137,31.957,30.76,30.811,30.97,31.055
"65","57","      Less: Sales to other sectors","W145RA3",5.907,6.043,6.153,6.218,6.147,6.359,6.439,6.674,6.973,7.283,7.482,7.669,7.922,8.056,8.001,7.95,7.788,7.826,7.854,7.884,7.958,8.015,8.099,8.196,8.304,8.413,8.437,8.581,8.656,8.886,9.103,9.319,9.641,9.875,10.052,10.226,10.208,10.287,10.398,10.544,10.702,10.919,11.187,11.47,11.801,12.149,12.399,12.752,12.899,13.041,13.171,13.279,13.674,13.711,13.775,13.91,14.295,14.75,15.079,15.356,16.19,16.557,16.779,17.061,17.858,18.3,18.703,19.196,19.571,20.157,20.686,21.3,21.956,22.509,23.045,23.606,23.976,24.673,25.168,25.833,26.524,27.163,27.612,28.326,29.073,29.699,30.154,30.491,30.792,30.925
"66","58","        Tuition and related educational charges","B1065A3",3.821,3.963,4.066,4.166,4.436,4.737,5.032,5.152,5.312,5.473,5.635,5.626,5.402,5.516,5.292,5.193,5.257,5.202,5.31,5.302,5.455,5.451,5.606,5.762,5.919,6.074,6.02,6.12,6.216,6.465,6.605,6.848,7.087,7.17,7.348,7.776,7.94,8.156,8.455,8.866,9.213,9.415,9.823,10.164,10.432,10.769,11.177,11.648,12.592,12.568,12.565,12.783,13.343,13.811,14.246,14.435,14.733,15.122,15.4,15.88,16.486,16.864,17.579,18.189,18.733,19.406,20.074,20.725,21.745,22.662,23.469,24.489,25.465,26.201,27.331,28.253,29.302,29.998,30.682,31.543,32.536,33.303,34.367,35.288,36.921,37.925,38.421,39.182,40.136,41.079
"67","59","        Health and hospital charges","B1066A3",3.881,3.904,4.01,4.238,4.387,4.57,4.825,5.049,5.269,5.358,5.275,5.216,5.129,5.026,4.995,5.039,5.086,5.127,5.036,5.125,5.161,5.159,5.228,5.241,5.248,5.402,5.466,5.661,5.733,5.98,6.097,6.172,6.334,6.58,6.818,7.112,7.35,7.58,7.802,7.958,8.122,8.483,8.881,9.374,10.12,10.761,11.21,11.784,11.613,11.598,11.513,11.242,11.245,10.716,10.417,10.217,10.273,10.576,11.003,11.558,12.231,12.65,12.92,13.037,13.032,13.117,13.176,13.399,13.638,14.01,14.451,14.849,15.405,15.928,16.527,17.148,17.756,18.326,18.861,19.329,19.837,20.576,21.385,22.442,23.562,24.412,25.043,25.372,25.478,25.473
"68","60","        Other sales \5\","W146RA3",6.755,6.926,7.034,7.026,6.815,7.013,6.984,7.23,7.566,7.974,8.284,8.593,9.054,9.282,9.249,9.169,8.893,8.943,9.005,9.014,9.087,9.175,9.249,9.367,9.505,9.58,9.598,9.717,9.784,9.989,10.248,10.508,10.895,11.132,11.27,11.333,11.17,11.152,11.173,11.26,11.371,11.511,11.676,11.832,11.957,12.142,12.254,12.453,12.605,12.838,13.084,13.349,13.882,14.135,14.325,14.622,15.169,15.677,15.933,15.999,16.891,17.196,17.283,17.57,18.784,19.341,19.85,20.421,20.718,21.31,21.787,22.391,22.981,23.465,23.798,24.201,24.269,24.973,25.363,26.041,26.718,27.212,27.278,27.674,27.936,28.283,28.577,28.796,29.052,29.088
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
