"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"61","41","        Interest receipts","W706MC1","-2,458.0","-2,496.0","-2,659.0","-2,965.0","-3,098.0","-2,962.0","-3,307.0","-4,083.0","-4,745.0","-5,723.0","-7,131.0","-8,438.0","-11,043.0","-14,418.0","-15,302.0","-16,561.0","-17,647.0","-22,331.0","-17,281.0","-18,415.0","-16,727.0","-16,378.0","-22,332.0","-17,443.0","-15,080.0","-11,628.0","-11,691.0","-13,949.0","-12,136.0","-11,682.0","-12,365.0","-13,605.0","-11,418.0","-11,437.0","-11,406.0","-9,689.0","-9,038.0","-10,383.0","-11,373.0","-12,497.0","-30,908.0","-40,181.0"
"62","42","        Current surplus of government enterprises","W707MC1","406.0","973.0","1,645.0","1,276.0","1,376.0","2,214.0","3,017.0","3,104.0","2,872.0","3,013.0","2,305.0","3,777.0","3,902.0","2,724.0","2,955.0","3,292.0","3,220.0","1,839.0","2,539.0","2,563.0","1,071.0","5,113.0","2,863.0","1,122.0","-534.0","1,603.0","-144.0","1,416.0","364.0","-660.0","-1,165.0","31.0","4,900.0","895.0","-3,998.0","-1,671.0","3,699.0","3,337.0","2,297.0","3,511.0","3,967.0","4,862.0"
"63","43","        Other \4\","M318431","-2,597.0","-2,959.0","-2,996.0","-3,573.0","-3,710.0","-3,718.0","-4,856.0","-5,506.0","-6,868.0","-6,300.0","-7,368.0","-8,571.0","-10,726.0","-12,979.0","-13,723.0","-16,891.0","-20,773.0","-18,116.0","-20,337.0","-20,159.0","-21,837.0","-22,854.0","-25,338.0","-27,313.0","-33,061.0","-35,025.0","-30,089.0","-30,662.0","-37,302.0","-32,907.0","-31,100.0","-36,131.0","-39,475.0","-42,667.0","-43,386.0","-48,031.0","-54,031.0","-58,730.0","-62,542.0","-73,947.0","-84,257.0","-124,652.0"
"64","44","Plus: Timing differences","M318441","-818.0","-279.0","-30.0","-568.0","2,364.0","-192.0","-394.0","994.0","1,839.0","1,469.0","3,192.0","-1,767.0","-1,141.0","-1,821.0","70.0","3,245.0","-370.0","-2,096.0","10,430.0","-25.0","-2,449.0","8,979.0","1,081.0","-2,774.0","2,111.0","-4,951.0","6,370.0","13,752.0","-2,713.0","763.0","2,413.0","-9,728.0","9,305.0","-4,710.0","1,057.0","3,145.0","8,556.0","-6,512.0","9,641.0","14,952.0","-8,148.0","-6,075.0"
"65","45","        Purchases (increase in payables net of advances)","M318451","-1,365.0","-626.0","-344.0","-1,123.0","2,085.0","-1,042.0","-388.0","841.0","1,439.0","629.0","1,751.0","-1,842.0","-414.0","-1,901.0","-1,008.0","-56.0","-1,271.0","-209.0","5,702.0","3,846.0","-4,108.0","3,819.0","3,552.0","-2,032.0","1,361.0","-348.0","4,248.0","7,442.0","-696.0","253.0","1,126.0","-2,674.0","393.0","-1,612.0","-1,439.0","-218.0","-4,504.0","1,177.0","2,091.0","-2,114.0","-6,121.0","-10,214.0"
"66","46","        Interest payments","M318461","132.0","11.0","21.0","-88.0","26.0","-120.0","-13.0","-109.0","-222.0","-343.0","-543.0","-661.0","-907.0","-1,095.0","-769.0","-1,256.0","-1,217.0","-1,699.0","862.0","-1,647.0","-767.0","-1,264.0","-4,466.0","-1,478.0","1,450.0","1,339.0","84.0","644.0","-1,125.0","-1,526.0","-325.0","-1,454.0","155.0","-1,353.0","-1,324.0","-2,219.0","32.0","-1,260.0","1,727.0","-395.0","-676.0","-1,562.0"
"67","47","        Current transfer payments","M318471","134.0","338.0","216.0","317.0","528.0","946.0","-357.0","286.0","625.0","670.0","1,551.0","621.0","365.0","574.0","492.0","3,077.0","-44.0","75.0","2,582.0","-1,242.0","1,360.0","2,930.0","177.0","1,894.0","476.0","-3,779.0","329.0","4,051.0","168.0","310.0","-149.0","-4,303.0","6,331.0","2,032.0","2,369.0","3,588.0","-5,658.0","8,628.0","5,146.0","15,374.0","3,398.0","8,636.0"
"68","48","        Other \11\","W708MC1","281.0","-2.0","77.0","326.0","-275.0","24.0","364.0","-24.0","-3.0","513.0","433.0","115.0","-185.0","601.0","1,355.0","1,480.0","2,162.0","-263.0","1,284.0","-982.0","1,066.0","3,494.0","1,818.0","-1,158.0","-1,176.0","-2,163.0","1,709.0","1,615.0","-1,060.0","1,726.0","1,761.0","-1,297.0","2,426.0","-3,777.0","1,451.0","1,994.0","18,686.0","-15,057.0","677.0","2,087.0","-4,749.0","-2,935.0"
"69","49","Equals: Federal government current expenditures, NIPAs","M318491","178,210.0","192,658.0","212,253.0","232,603.0","255,657.0","275,123.0","323,790.0","362,760.0","400,704.0","441,868.0","487,387.0","564,587.0","656,783.0","729,271.0","809,428.0","853,160.0","937,139.0","998,785.0","1,031,933.0","1,079,943.0","1,155,487.0","1,238,025.0","1,292,560.0","1,423,529.0","1,495,865.0","1,532,003.0","1,607,454.0","1,649,247.0","1,702,714.0","1,734,998.0","1,782,184.0","1,855,004.0","1,952,791.0","2,075,573.0","2,227,017.0","2,357,415.0","2,530,241.0","2,702,703.0","2,842,815.0","3,077,825.0","3,337,863.0","3,658,774.0"
"70",NA,"      Net federal government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","50","Budget surplus or deficit (-) (1-19)","M318501","3,244.0","-2,845.0","-23,033.0","-23,227.0","-14,301.0","-3,460.0","-43,604.0","-65,605.0","-45,035.0","-48,762.0","-27,281.0","-58,961.0","-57,934.0","-110,654.0","-195,373.0","-178,224.0","-203,155.0","-221,099.0","-148,424.0","-154,261.0","-153,317.0","-220,466.0","-269,494.0","-290,340.0","-254,640.0","-203,186.0","-163,952.0","-107,431.0","-21,884.0","69,270.0","125,610.0","236,242.0","128,235.0","-157,757.0","-377,585.0","-412,727.0","-318,346.0","-248,181.0","-160,701.0","-458,553.0","-1,412,688.0","-1,293,489.0"
"72","51","Plus: Net investment (28)","M318511","541.0","-1,073.0","-3,113.0","-4,479.0","-3,704.0","-3,206.0","-1,441.0","1,161.0","1,956.0","1,559.0","4,632.0","5,948.0","7,438.0","9,292.0","14,013.0","18,409.0","25,276.0","28,224.0","30,730.0","23,055.0","20,677.0","20,680.0","17,926.0","13,493.0","8,544.0","-289.0","-2,186.0","-1,402.0","-9,215.0","-6,970.0","-5,141.0","-5,783.0","-7,945.0","-261.0","4,658.0","7,272.0","9,526.0","13,628.0","15,126.0","22,654.0","32,973.0","35,627.0"
"73","52","Less: Net capital transfers received (4-29)","M318521","-2,640.0","-2,007.0","-1,774.0","-354.0","-1,408.0","-2,038.0","-3,653.0","-4,720.0","-4,008.0","-6,069.0","-8,129.0","-9,721.0","-9,754.0","-6,994.0","-9,239.0","-11,034.0","-12,514.0","-13,984.0","-11,556.0","-12,187.0","-10,913.0","-9,341.0","-10,407.0","-10,773.0","-10,993.0","-9,412.0","-12,793.0","-10,856.0","-9,370.0","-4,375.0","-3,847.0","-6,476.0","-12,758.0","-18,722.0","-23,980.0","-22,093.0","-40,586.0","-24,138.0","-27,223.0","-30,585.0","-212,974.0","-123,908.0"
"74","53","      Federal employee retirement plans (3-21)","M318531","-1,178.0","-817.0","-1,060.0","-1,018.0","-1,421.0","-1,953.0","-2,033.0","-2,626.0","-1,431.0","-2,802.0","-2,841.0","-2,850.0","-3,728.0","-3,466.0","-2,709.0","-2,362.0","28,584.0","30,739.0","31,377.0","31,722.0","32,878.0","32,901.0","35,110.0","37,243.0","36,996.0","35,037.0","33,764.0","31,792.0","36,029.0","35,452.0","36,322.0","36,143.0","36,452.0","38,211.0","37,614.0","37,828.0","43,367.0","45,920.0","44,191.0","56,201.0","34,855.0","55,227.0"
"75","54","      Other coverage differences (5+6-26-27-30-35-38)","M318541","-755.0","-851.0","2,154.0","728.0","7,715.0","10,571.0","6,079.0","6,503.0","6,172.0","-333.0","3,361.0","2,759.0","11,624.0","6,715.0","18,828.0","14,747.0","-19,453.0","-9,286.0","719.0","-11,424.0","-22,857.0","-55,081.0","-80,248.0","-8,162.0","20,558.0","6,332.0","19,199.0","11,996.0","24,078.0","8,704.0","10,059.0","6,949.0","16,449.0","6,800.0","1,675.0","-2,887.0","-5,231.0","-25,762.0","18,392.0","-19,244.0","-93,470.0","122,951.0"
"76","55","      Timing differences (44-12)","M318551","425.0","2,603.0","219.0","-861.0","-101.0","-1,509.0","3,253.0","-5,296.0","1,311.0","-1,957.0","-688.0","3,135.0","5,728.0","6,557.0","-7,326.0","-4,236.0","361.0","-4,250.0","10,453.0","459.0","-6,027.0","6,388.0","-951.0","-1,964.0","251.0","-7,113.0","4,805.0","12,458.0","-8,349.0","-201.0","5,835.0","3,191.0","3,653.0","13,147.0","-21,556.0","-24,545.0","-22,995.0","-19,075.0","25,010.0","76,669.0","-13,613.0","-19,229.0"
"77","56","Equals: Federal government saving, national income and product accounts (18-49)","M318561","7,933.0","-2,846.0","-25,685.0","-26,201.0","-22,790.0","-11,737.0","-48,691.0","-58,305.0","-45,123.0","-36,042.0","-14,352.0","-46,336.0","-54,366.0","-104,174.0","-180,914.0","-156,930.0","-174,857.0","-196,094.0","-148,687.0","-139,776.0","-125,721.0","-174,653.0","-195,072.0","-293,191.0","-292,908.0","-228,319.0","-211,113.0","-154,223.0","-73,487.0","22,720.0","72,100.0","190,652.0","76,494.0","-197,454.0","-366,680.0","-393,758.0","-283,375.0","-211,498.0","-205,945.0","-518,940.0","-1,094,513.0","-1,292,903.0"
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","1. These transactions are included in the NIPA personal sector.  Beginning with October 2002, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","transactions include the Uniformed Services Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","2. Consists of estate and gift taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","3. Beginning with 1996, consists largely of Universal Service Fund receipts; prior to 1996 consisted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","largely of U.S. Treasury receipts from sales of foreign currencies to government agencies. Includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","certain revenues collected from and repaid to U.S. territories and the Commonwealths of Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","4. Includes proprietary receipts that are netted against outlays in the budget and that are classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","as receipts in the NIPAs.  Also includes some transactions that are not reflected in the budget data but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","that are added to both receipts and expenditures in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","5. Consists of transactions (not included in the budget totals) that record all cash flows arising from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","post-1991 direct loan obligations and loan guarantee commitments.  Many of these flows are for new loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","or loan repayments; consequently, related entries are included in ""Loan disbursements less loan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","repayments and sales.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","6. Consists largely of agencies or accounts such as the Postal Service and the Federal Financing Bank that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","were not included in the budget in some time periods, and beginning with 1996, the Universal Service Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Includes repayments of certain collections from the U.S. territories and the Commonwealths of Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","7. Net investment is gross investment less consumption of fixed capital for government enterprises and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","8. Consists of investment grants to state and local governments and maritime construction subsidies.  Does",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","not include the forgiveness of debts owed by foreign governments to the U.S. government or payments to the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Uniformed Services Retiree Health Care Fund to amortize unfunded liability; both are classified as capital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","transfers paid by the United States and are excluded from both budget outlays and NIPA current expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","9. Consists of net sales of land other than the Outer Continental Shelf and, beginning with 1995, includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","the auction of the radio spectrum.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","10. Consists largely of net expenditures of foreign currencies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","11. Primarily includes timing on subsidies and government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Note. Through 1976, fiscal year estimates reflect a July 1-June 30 federal fiscal year.  Beginning with 1977,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","fiscal year estimates reflect an October 1-September 30 federal fiscal year.  NIPA quarterly and fiscal year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","estimates in this table are consistent with the not seasonally adjusted estimates in table 3.22.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
