"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"44","37","          Compensation of general government employees","W130RA3",13.469,16.088,14.648,14.04,25.104,40.313,42.724,86.748,69.919,80.627,80.447,74.486,49.866,20.033,21.852,9.656,16.459,41.945,51.17,57.877,55.122,61.251,56.336,54.995,50.41,47.843,48.364,49.517,50.861,52.486,52.637,56.864,58.33,61.406,64.973,66.488,67.747,70.434,73.901,75.644,76.32,77.319,79.868,82.211,82.413,86.533,88.048,92.411,94.486,96.928,96.8,99.425,96.495,94.674,96.037,96.088,96.307,94.901,96.565,99.006,99.551,104.502,104.224,106.107,106.024,103.035,98.929,96.285,95.694,96.806,96.992,100,99.945,101.874,104.373,103.348
"45","38","          Consumption of general government fixed capital \2\","B546RA3",1.299,1.319,1.441,1.549,1.766,2.362,3.43,4.419,5.105,5.839,6.505,7.142,8.332,9.671,10.342,10.691,11.05,11.427,11.603,11.833,12.007,12.187,12.398,12.428,12.394,12.383,12.273,12.135,12.048,12.071,11.966,11.899,12.055,12.79,14.095,15.745,17.988,20.515,22.484,23.819,24.675,25.251,25.491,25.635,25.907,26.319,26.84,27.479,28.307,29.613,31.187,33.116,35.174,37.165,39.847,43.212,46.634,49.953,53.246,56.5,59.756,63.285,66.895,69.741,72.15,74.071,76.282,79.734,83.609,88.076,94.321,100,103.918,107.109,108.879,110.336
"46","39","        Intermediate goods and services purchased \3\","W131RA3",2.275,2.245,2.414,1.848,5.261,8.096,5.901,7.052,6.895,6.979,10.349,8.635,6.68,9.857,5.332,15.388,11.421,12.717,7.852,13.074,20.281,10.241,6.101,11.746,23.557,23.143,24.508,16.116,16.062,14.413,33.084,22.644,21.341,31.205,35.258,38.457,40.369,38.416,40.109,38.953,42.848,41.578,44.487,52.292,50.11,53.182,55.605,52.673,57.366,61.525,64.91,68.245,71.004,64.415,68.665,62.153,69.726,76.041,71.602,60.916,73.724,81.831,84.738,92.737,87.324,92.039,92.325,89.206,93.666,89.962,90.18,100,108.653,121.033,128.246,135.776
"47","40","          Durable goods","A543RA3",0.862,1.047,0.868,0.696,6.735,15.524,22.578,16.724,15.045,16.684,16.444,17.103,33.976,21.879,20.256,12.582,22.45,17.72,19.51,14.348,12.194,12.381,12.275,11.328,10.37,11.74,9.697,9.9,9.099,7.107,5.382,6.478,11.736,18.987,26.383,34.207,43.696,45.391,39.83,31.783,27.718,22.133,21.207,22.779,17.962,15.646,16.73,17.958,20.701,26.085,31.534,36.795,32.711,28.075,42.757,46.383,47.414,47.844,53.46,55.875,61.454,70.035,72.122,78.072,76.018,76.231,78.375,87.279,92.424,92.486,92.316,100,112.509,130.277,129.562,149.167
"48","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RA3",6.551,6.986,5.014,1.64,13.863,25.838,15.682,22.827,27.839,26.169,25.04,19.578,13.64,17.407,18.987,23.734,45.269,77.549,18.061,34.638,39.671,17.842,31.3,19.541,19.494,18.92,21.844,33.904,46.854,20.915,57.543,45.466,53.07,52.778,58.841,63.199,63.547,74.402,80.357,64.523,81.102,83.132,79.106,88.933,76.789,84.475,63.936,80.858,92.497,108.119,108.24,106.807,177.084,126.237,132.146,138.139,121.149,107.008,121.9,120.002,106.518,113.581,96.808,118.564,118.463,115.042,112.674,108.375,116.845,114.881,91.842,100,118.582,144.587,158.894,180.945
"51","44","          Services","A544RA3",4.006,3.817,4.734,4.236,8.307,10.428,6.781,8.482,7.172,7.539,8.896,7.627,6.136,7.501,15.489,14.752,21.186,19.485,8.469,11.989,11.075,10.48,7.676,13.079,13.117,14.155,14.707,16.122,15.814,14.563,19.073,22.374,26.467,30.841,38.74,44.387,45.846,49.802,45.948,40.568,39.622,45.033,49.089,58.099,58.31,58.98,62.109,55.749,58.991,63.442,67.862,67.464,61.363,59.057,61.99,62.593,65.458,65.484,72.152,71.778,72.75,82.44,84.763,92.661,85.576,92.014,92.003,88.607,92.277,87.779,91.016,100,107.307,119.036,126.008,132.751
"52","45","      Less: Own-account investment \4\","W136RA3",7.205,7.897,9.556,11.529,317.351,335.692,596.014,440.321,360.484,311.101,333.114,333.061,288.254,226.785,133.588,58.545,84.283,13.101,13.04,23.225,29.272,34.925,66.322,96.274,99.298,84.508,69.073,67.784,75.128,81.335,115.191,107.295,113.443,111.597,100.194,95.963,98.27,105.43,114.249,100.441,91.578,93.065,100.036,103.86,92.438,83.554,78.689,73.683,64.491,73.098,81.661,90.877,87.894,92.162,97.666,106.293,118.018,118.081,129.458,135.751,147.434,160.745,162.514,163.375,158.554,148.028,148.311,140.698,134.443,138.217,123.709,100,119.971,103.463,96.287,96.119
"53","46","            Sales to other sectors","W137RA3",1.061,1.213,0.607,0.341,0.341,0.607,0.455,0.531,0.796,0.91,1.976,2.388,2.565,4.575,22.553,73.768,174.065,201.602,97.385,45.6,23.45,47.026,31.112,28.313,26.116,37.393,93.97,35.345,69.576,49.984,54.31,39.023,38.96,40.17,56.874,48.592,43.102,44.519,53.083,63.928,68.107,64.814,64.053,88.399,82.737,84.099,80.148,96.547,120.765,134.218,153.685,133.243,116.255,105.298,117.759,119.351,122.947,130.046,138.541,149.216,150.496,137.925,160.96,132.733,107.031,114.35,107.5,107.199,69.969,94.618,66.678,100,63.531,55.675,61.673,69.049
"54","47","State and local consumption expenditures \1\","A991RA3",10.719,11.414,12.074,12.253,12.021,12.319,13.067,10.629,11.526,11.589,12.313,13.033,13.502,13.828,13.706,13.438,13.753,14.179,15.16,15.319,16.676,17.711,17.655,17.895,18.5,19.285,20.555,21.301,22.433,24.185,25.185,26.627,28.086,28.894,30.308,32.307,34.424,36.528,38.207,40.682,43.262,45.851,48.109,49.933,51.663,54.016,56.692,57.475,58.569,59.748,60.142,60.017,59.783,60.668,61.356,62.493,65.759,69.941,70.783,73.197,75.367,77.818,79.429,81.339,82.959,85.055,86.989,88.564,90.971,94.406,98.098,100,102.553,105.621,106.255,106.724
"55","48","      Gross output of general government","W138RA3",9.614,10.367,11.007,11.106,11.285,12.705,12.924,13.445,13.157,14.577,14.67,14.473,14.342,13.546,12.588,12.254,12.537,12.899,13.914,14.125,15.49,16.486,16.437,16.723,17.264,18.029,19.252,19.978,21.04,22.745,23.847,25.105,26.509,27.49,29.014,30.965,33.126,35.258,37.043,39.572,41.971,44.389,46.754,48.668,50.367,52.399,54.688,55.619,56.695,58.043,58.78,58.816,58.916,59.902,60.77,61.769,64.849,68.685,69.562,71.788,73.977,76.237,77.989,80.105,82.068,84.27,86.406,87.976,90.552,94.08,97.492,100,103.451,106.556,107.522,108.766
"56","49","        Value added","W139RA3",13.613,14.161,14.645,14.575,14.681,15.572,16.326,15.457,15.918,16.573,16.88,17.086,17.225,16.994,16.573,16.193,16.528,17.389,18.521,19.001,20.261,20.964,21.514,22.224,23.193,24.221,25.341,26.929,28.407,30.147,31.388,33.049,34.755,36.031,37.912,40.184,42.628,45.159,47.056,49.876,52.156,54.465,56.684,58.642,60.694,62.897,64.815,65.666,66.672,68.225,69.441,70.38,70.344,70.797,70.512,70.931,72.968,75.082,76.526,79.146,81.574,84.003,85.085,86.532,87.725,89.249,91.024,92.436,94.291,96.232,97.947,100,102.391,104.36,105.32,106.157
"57","50","          Compensation of general government employees","B251RA3",14.708,15.232,15.68,15.472,15.529,16.583,17.473,16.309,16.782,17.477,17.705,17.831,17.947,17.653,17.175,16.762,17.248,18.37,19.78,20.306,21.777,22.505,23.035,23.766,24.808,25.882,27.04,28.765,30.329,32.189,33.433,35.188,36.986,38.248,40.22,42.619,45.198,47.855,49.737,52.723,55.078,57.494,59.833,61.888,64.053,66.386,68.389,69.159,70.151,71.799,73.025,73.901,73.656,74.018,73.502,73.757,75.819,77.919,79.236,81.886,84.225,86.503,87.266,88.488,89.454,90.815,92.439,93.638,95.262,96.912,98.271,100,102.132,103.789,104.476,105.025
"58","51","          Consumption of general government fixed capital \2\","B986RA3",7.3,7.793,8.297,8.743,9.015,9.19,9.345,9.586,9.916,10.31,10.806,11.226,11.407,11.4,11.224,11.017,10.83,10.717,10.8,11.042,11.418,11.898,12.4,12.896,13.443,14.124,14.918,15.745,16.661,17.672,18.71,19.758,20.852,22.033,23.3,24.744,26.31,28,29.793,31.555,33.276,34.863,36.301,37.617,38.936,40.308,41.638,42.801,43.797,44.738,45.821,47.007,48.017,48.883,49.798,51.086,52.882,54.983,57.137,59.476,62.386,65.728,68.923,71.908,74.706,77.413,80.281,83.252,86.803,90.937,95.409,100,104.463,108.986,112.267,115.623
"59","52","        Intermediate goods and services purchased \3\","W140RA3",3.794,4.501,5.112,5.343,5.549,7.125,6.817,8.431,7.557,9.319,9.193,8.67,8.325,7.237,6.064,5.852,6.022,5.849,6.523,6.435,7.619,8.707,8.066,7.861,7.851,8.199,9.335,8.972,9.397,10.815,11.598,12.203,13.058,13.556,14.455,15.795,17.378,18.785,20.288,22.251,24.723,27.216,29.743,31.547,32.639,34.351,37.142,38.167,39.321,40.308,40.278,38.966,39.258,40.975,43.554,45.424,50.092,56.736,56.622,58.135,59.882,61.822,64.747,68.059,71.424,74.88,77.684,79.544,83.447,89.959,96.622,100,105.474,110.802,111.779,113.824
"60","53","          Durable goods","B989RA3",3.817,3.499,3.924,3.584,3.893,5.52,4.844,10.237,8.738,11.752,11.113,8.567,6.709,4.066,1.681,1.306,1.446,2.214,3.281,4.266,4.583,4.661,4.927,5.359,5.594,6.177,6.03,6.692,8.146,8.199,9.221,9.731,10.31,11.036,11.748,12.559,14.089,15.185,15.975,18.538,21.187,23.967,27.703,30.841,33.279,34.986,35.889,37.46,38.819,39.797,40.685,40.279,41.789,43.193,45.194,47.875,50.326,54.352,56.324,57.877,60.548,62.072,64.335,66.272,68.331,71.383,76.192,78.334,83.84,90.018,95.118,100,105.786,107.222,106.942,108.601
"61","54","          Nondurable goods","B337RA3",4.652,5.613,6.546,7.177,7.403,9.222,8.39,10.595,9.224,11.658,11.399,10.77,10.332,8.937,7.519,7.239,7.203,6.385,7.076,6.74,8.547,9.62,8.25,8.214,8.104,8.338,9.708,9.019,9.23,11.291,13.751,14.452,15.384,15.938,16.765,17.97,19.262,20.147,21.197,22.933,25.025,27.713,30.491,31.625,32.075,32.822,35.955,39.004,41.593,42.657,42.328,40.502,40.336,41.286,43.365,45.666,48.832,53.22,54.846,56.529,58.784,60.681,63.583,66.517,69.524,73.599,76.919,79.028,82.693,89.046,95.698,100,106.504,111.558,111.721,113.382
"62","55","          Services","A988RA3",3.136,3.761,4.144,4.145,4.32,5.687,5.831,6.488,6.077,7.148,7.192,7.04,6.98,6.337,5.494,5.349,5.687,5.933,6.558,6.553,7.328,8.568,8.417,7.983,8.02,8.432,9.568,9.311,9.763,10.888,10.494,11.049,11.886,12.321,13.288,14.774,16.546,18.322,20.199,22.229,24.91,27.246,29.478,31.506,32.82,35.154,37.922,37.485,37.646,38.577,38.642,37.596,38.081,40.366,43.328,44.832,50.621,58.768,57.52,58.938,60.32,62.322,65.322,68.96,72.629,75.818,78.183,79.894,83.773,90.388,97.186,100,104.944,110.7,112.158,114.424
"63","56","      Less: Own-account investment \4\","W144RA3",15.103,16.945,15.405,10.093,33.905,112.063,83.162,275.664,199.347,291.648,252.114,192.296,153.154,74.371,11.045,2.907,3.341,6.143,10.253,12.903,17.161,18.084,20.154,23.79,22.575,23.597,23.332,26.107,26.423,28.292,38.331,35.935,37.632,39.964,44.94,44.362,45.598,48.114,46.66,49.163,49.493,50.054,50.093,48.829,47.397,50.454,47.555,42.031,38.332,41.266,47.716,49.736,47.518,47.869,47.527,52.769,56.97,61.01,62.349,65.207,72.849,76.283,79.684,78.938,78.49,79.258,80.395,81.358,88.979,90.701,94.648,100,109.121,108.842,106.32,106.645
"64","57","            Sales to other sectors","W145RA3",3.848,4.702,5.383,5.554,5.666,5.994,6.085,5.042,5.258,5.666,6.044,6.475,6.706,6.763,6.686,6.663,6.764,6.612,7.479,7.732,8.845,9.622,9.417,9.64,9.992,10.625,11.73,12.151,12.909,14.355,15.152,15.743,16.82,18.679,20.524,22.479,25.015,27.302,30.061,32.979,34.545,36.159,39.473,42.323,44.185,44.156,44.6,47.123,48.587,50.88,53.211,54.056,56.432,58.106,60.156,60.021,62.043,64.071,65.108,66.35,68.239,69.518,71.811,75.046,78.635,81.374,84.407,85.999,88.927,92.949,95.182,100,106.807,110.291,112.855,117.305
"65","58","              Tuition and related educational charges","B1065A3",4.396,5.159,5.714,5.357,4.96,4.829,4.825,4.692,4.637,4.703,4.637,4.637,4.52,4.425,4.08,3.931,4.039,3.825,4.194,5.034,5.727,5.602,5.56,5.878,6.348,6.874,7.717,8.76,10.094,11.465,12.339,13.641,14.936,16.886,19.285,22.565,26.201,29.689,33.102,37.244,40.963,47.707,53.726,57.042,61.521,61.32,61.407,63.39,65.978,69.567,71.541,73.926,75.523,75.394,77.828,77.72,77.673,78.324,78.838,81.287,83.762,85.635,87.015,88.672,87.589,87.672,87.983,88.241,90.255,92.922,96.062,100,106.585,107.694,108.883,108.669
"66","59","              Health and hospital charges","B1066A3",6.609,8.265,9.237,8.883,7.954,7.513,7.047,6.873,6.765,6.894,6.759,6.714,6.492,6.08,5.826,5.533,5.524,4.847,4.604,5.408,6.065,5.799,5.851,5.971,6.254,6.889,7.711,8.816,10.012,12.601,13.217,12.246,12.481,14.614,15.155,16.366,18.682,21.346,24.205,28.263,29.255,29.784,34.692,39.764,44.12,45.483,46.742,49.683,50.606,54.142,58.701,59.2,62.926,64.802,66.442,64.855,66.361,68.1,68.138,68.159,68.711,69.427,72.358,76.555,81.077,84.28,88.061,87.693,89.832,94.881,95.632,100,108.926,114.159,118.055,125.362
"67","60","              Other sales","W146RA3",2.711,3.302,3.903,4.406,5.026,5.747,6.052,4.494,4.887,5.479,6.165,6.89,7.378,7.64,7.686,7.795,7.938,8.021,9.509,9.331,10.744,12.265,11.892,12.138,12.483,13.109,14.381,14.226,14.539,15.236,16.071,17.438,18.944,20.445,22.89,24.836,26.994,28.47,30.717,32.138,33.345,34.083,34.99,35.679,34.627,33.6,33.485,35.587,37.013,37.676,38.032,38.643,39.825,41.741,43.954,45.391,48.682,51.511,53.889,56.056,59.318,61.046,62.835,65.409,69.961,73.407,76.802,82.123,86.774,90.064,93.961,100,103.764,106.157,107.609,110.978
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
