"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"58","51","      Sports and recreational vehicles (79)","DWHLRG3",26.51,27.117,27.018,27.289,27.645,27.835,27.931,28.365,29.075,30.097,31.324,30.227,33.967,35.188,36.77,40.926,45.136,47.382,50.352,53.446,57.072,62.456,66.385,69.022,69.896,72.313,74.369,74.345,74.713,77.096,79.419,81.367,83.017,84.763,85.658,87.659,90.112,90.871,90.244,90.424,92.516,94.248,95.589,95.132,94.356,94.738,96.292,98.736,98.101,99.095,100,100.434,102.774,104.369,104.848
"59","52","        Motorcycles","DMCYRG3",26.571,26.214,26.212,26.122,25.981,25.869,25.29,24.863,25.09,25.824,26.192,27.043,28.045,27.851,27.879,29.479,32.002,34.033,35.879,38.613,41.661,44.917,47.684,49.564,50.847,52.305,53.964,56.263,59.162,61.884,64.649,66.458,69.478,72.345,75.991,82.656,87.853,92.201,93.595,93.698,94.438,96.899,98.016,98.394,98.787,98.996,100.05,99.553,97.034,98.012,100,98.996,97.22,99.523,98
"60","53","        Bicycles and accessories","DBCYRG3",35.5,35.821,36.124,36.454,36.742,36.214,36.038,36.483,37.434,38.583,39.97,40.714,42.158,43.513,45.752,49.838,53.546,54.377,55.098,56.669,60.415,66.333,70.544,73.401,73.972,76.658,78.806,78.011,77.757,80.014,82.308,84.306,85.716,87.23,87.525,88.455,90.339,90.353,89.271,89.448,91.869,93.438,94.825,94.089,92.941,93.337,95.084,98.49,98.46,99.51,100,100.891,104.565,105.937,107.1
"61","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRG3",24.097,24.875,24.672,24.975,25.424,25.857,26.153,26.765,27.52,28.555,29.934,27.902,33.101,34.79,36.808,42.261,47.332,49.712,53.307,56.645,60.295,66.369,70.577,73.378,73.978,76.662,78.769,77.958,77.737,80.083,82.327,84.306,85.716,87.238,87.53,88.496,90.343,90.329,89.284,89.483,91.887,93.423,94.837,94.096,92.914,93.363,95.086,98.493,98.469,99.463,100,100.904,104.579,105.935,107.096
"62","55","          Pleasure boats","DBOARG3",24.084,24.857,24.663,24.955,25.415,25.851,26.141,26.755,27.497,28.526,29.937,27.908,33.017,34.783,36.847,42.081,47.243,49.688,53.318,56.648,60.318,66.358,70.572,73.377,74.007,76.665,78.792,77.907,77.729,80.074,82.341,84.303,85.721,87.236,87.529,88.51,90.335,90.314,89.289,89.47,91.889,93.428,94.841,94.102,92.889,93.406,95.088,98.518,98.478,99.487,100,100.908,104.58,105.948,107.11
"63","56","          Pleasure aircraft","DAIRRG3",24.084,24.87,24.651,24.941,25.405,25.822,26.156,26.746,27.517,28.554,29.939,27.889,32.95,34.771,36.969,42.176,47.259,49.699,53.335,56.642,60.298,66.334,70.556,73.369,74.008,76.658,78.785,77.909,77.726,80.111,82.355,84.325,85.738,87.24,87.526,88.487,90.347,90.343,89.292,89.488,91.88,93.455,94.833,94.087,92.905,93.319,95.077,98.545,98.48,99.477,100,100.897,104.595,105.941,107.116
"64","57","          Other recreational vehicles","DREVRG3",24.084,24.881,24.646,24.997,25.403,25.833,26.133,26.743,27.521,28.565,29.898,27.868,33.159,34.767,36.721,42.443,47.417,49.731,53.294,56.641,60.272,66.388,70.59,73.385,73.954,76.664,78.752,78.011,77.744,80.085,82.307,84.302,85.706,87.234,87.528,88.484,90.345,90.336,89.273,89.489,91.881,93.411,94.828,94.086,92.931,93.325,95.08,98.46,98.456,99.436,100,100.901,104.576,105.919,107.096
"65","58","      Recreational books (part of 90)","DRBKRG3",15.902,15.987,16.109,16.217,16.446,16.01,16.343,16.886,17.358,18.255,19.417,20.504,21.731,22.797,23.465,23.914,28.381,32.091,35.085,38.331,41.396,45.478,50.246,55.943,60.039,61.258,65.679,68.663,70.105,72.327,74.967,79.17,81.852,83.861,86.019,87.673,89.174,92.448,93.529,96.11,94.408,94.295,95.383,98.194,97.413,97.61,97.223,96.6,97.417,99.05,100,98.963,96.625,94.749,94.502
"66","59","      Musical instruments (part of 80)","DMSCRG3",42.938,43.891,44.636,45.398,45.981,45.729,45.38,45.288,46.257,48.83,52.396,54.798,57.359,58.272,58.641,61.293,65.933,67.526,68.332,71.305,74.934,80.697,86.337,90.842,91.779,92.157,91.791,92.138,93.596,97.998,101.324,102.392,102.51,103.779,104.673,105.55,103.943,105.013,103.884,103.437,102.041,101.901,102.866,102.796,101.873,100.594,100.448,100.327,97.753,98.95,100,100.168,98.035,98.271,100.581
"67","60","    Other durable goods","DODGRG3",28.808,28.888,28.828,28.705,28.857,29.596,29.445,29.436,30.137,30.799,32.324,33.164,34.074,35.177,36.325,39.119,42.093,44.144,46.08,48.638,52.65,63.419,66.908,67.554,69.732,71.221,71.998,73.699,78.716,83.857,87.755,93.287,96.74,99.294,100.058,101.656,103.348,102.732,101.29,99.438,96.935,95.652,95.957,94.577,92.774,92.532,91.949,93.334,95.718,98.866,100,100.43,103.601,104.174,104.06
"68","61","      Jewelry and watches (part of 119)","DJRYRG3",39.629,39.615,39.593,39.616,39.845,42.295,41.113,39.19,39.665,40.896,43.213,43.959,44.796,45.897,47.52,50.257,53.865,55.633,56.427,59.425,64.838,81.033,84.324,82.348,83.679,84.248,83.402,84.182,90.498,95.401,98.992,104.905,108.178,109.474,108.678,109.367,108.144,104.269,100.213,96.531,94.236,91.584,91.657,89.187,86.121,86.583,85.311,87.406,91.797,98.122,100,102.207,110.963,112.032,112.291
"69","62","        Jewelry","DJLYRG3",39.037,39.024,39.002,39.025,39.25,41.664,40.5,38.605,39.073,40.289,42.57,43.304,44.129,45.213,46.81,49.505,53.06,54.802,55.586,58.542,63.878,79.835,83.067,81.121,82.434,82.993,82.16,82.931,89.15,93.98,97.518,103.342,106.567,107.844,107.059,107.738,106.533,102.714,98.721,95.095,92.873,89.937,90.213,87.909,84.799,85.062,83.623,85.803,90.726,97.866,100,102.685,112.481,113.499,113.423
"70","63","        Watches","DWTCRG3",44.249,44.234,44.209,44.235,44.49,47.226,45.907,43.759,44.29,45.646,48.241,49.082,50.011,51.249,53.07,56.134,60.158,62.126,63.007,66.334,72.362,90.421,94.161,91.951,93.43,94.077,93.131,93.983,101.052,106.527,110.536,117.138,120.794,122.241,121.353,122.117,120.759,116.449,111.899,107.763,104.849,104.797,103.062,99.194,96.522,98.652,98.828,100.163,100.121,100.055,100,98.648,100.101,101.502,104.279
"71","64","      Therapeutic appliances and equipment (42)","DTAERG3",21.455,21.762,22.026,22.062,22.06,22.187,22.43,22.837,23.452,23.955,24.673,25.713,26.813,27.464,28.125,29.699,32.131,34.092,36.156,38.26,40.417,43.909,47.354,50.549,53.024,55.046,57.248,59.503,62.4,65.063,67.731,70.752,73.607,76.543,78.711,80.224,82.648,83.951,85.14,86.557,87.385,89.228,90.967,91.175,91.464,92.932,94.424,96.563,98.077,98.956,100,99.369,99.978,101.039,101.518
"72","65","        Therapeutic medical equipment","DTMERG3",28.215,28.268,27.916,27.489,27.221,27.155,27.082,27.153,27.049,27.102,27.378,28.016,28.48,28.545,28.64,29.643,32.133,34.068,36.247,38.597,40.889,44.185,48.221,52.747,56.024,58.626,61.173,64.159,66.557,68.72,72.421,75.905,79.243,82.264,85.008,86.627,89.434,90.832,91.894,93.074,93.928,94.67,94.709,94.347,94.692,95.535,95.999,97.391,98.368,98.662,100,97.896,98.163,99.397,99.824
"73","66","        Corrective eyeglasses and contact lenses","DEYERG3",17.971,18.406,19.01,19.306,19.44,19.658,20.058,20.635,21.618,22.352,23.303,24.567,26.037,27.031,28.027,29.971,32.386,34.378,36.384,38.342,40.421,44.097,47.083,49.163,50.981,52.553,54.501,56.233,59.473,62.457,64.482,67.217,69.786,72.639,74.5,75.939,78.151,79.388,80.605,82.096,82.899,85.303,88.046,88.619,88.87,90.782,93.063,95.82,97.81,99.22,100,100.676,101.59,102.495,103.025
"74","67","      Educational books (96)","DEBKRG3",6.592,6.624,6.62,6.485,6.477,6.48,6.797,7.133,7.365,7.745,8.176,8.486,9.053,9.65,9.965,10.312,10.987,11.729,12.472,13.461,14.32,15.52,17.414,19.67,21.67,23.427,25.404,27.484,29.54,31.609,33.649,36.39,38.278,40.384,41.795,43.305,44.965,47.519,49.832,52.174,54.297,58.077,61.406,65.868,69.598,72.829,75.852,80.639,87.214,93.351,100,104.916,109.858,116.727,123.355
"75","68","      Luggage and similar personal items (part of 119)","DLUGRG3",32.883,32.849,32.352,31.96,32.297,32.025,32.222,34.032,35.408,35.381,37.127,38.073,38.803,40.399,41.777,47.428,51.315,54.762,59.687,62.853,68.439,85.692,89.2,87.141,88.568,89.132,88.258,89.049,95.339,108.474,116.237,127.122,131.956,135.434,135.227,138.626,148.191,148.547,142.267,132.637,117.6,111.257,109.692,106.135,103.766,98.781,97.065,97.413,98.218,99.765,100,98.888,97.512,97.062,95.613
"76","69","      Telephone and facsimile equipment (67)","DTCERG3",36.567,36.781,36.759,36.011,35.966,35.977,37.755,39.597,40.905,43.005,45.387,47.072,50.281,53.611,55.32,57.309,61.044,65.158,69.109,75.155,79.787,86.407,96.825,109.271,120.224,130.002,140.928,152.485,164.031,175.586,186.895,202.053,212.569,224.255,232.129,240.515,249.807,263.957,276.759,268.709,238.134,215.097,193.055,175.967,156.531,140.746,129.481,117.654,109.197,104.688,100,96.311,93.031,88.037,83.709
"77","70","  Nondurable goods","DNDGRG3",19.94,20.178,20.263,20.373,20.576,20.851,21.227,21.906,22.306,23.11,24.109,25.194,25.905,26.736,28.891,33.261,35.831,36.998,39.118,41.618,46.103,51.76,55.757,57.022,58.001,59.207,60.315,59.545,61.57,63.527,66.679,70.501,72.559,73.614,74.212,74.607,75.387,77.094,77.899,77.326,79.248,82.651,83.529,83.538,85.264,88.214,91.592,94.438,97.214,102.653,100,103.085,109.128,111.765,111.994
"78","71","    Food and beverages purchased for off-premises consumption","DFXARG3",17.507,17.654,17.743,17.877,18.065,18.43,18.802,19.595,19.62,20.215,21.121,22.299,22.807,23.894,26.919,31.012,33.343,33.963,35.964,39.405,43.275,46.913,50.256,51.578,52.17,53.738,54.323,55.601,57.356,59.066,62.181,65.219,67.266,67.783,68.731,69.881,71.396,73.574,74.976,75.918,77.161,78.969,81.271,82.5,84.062,86.686,88.2,89.683,93.182,98.851,100,100.309,104.276,106.657,107.777
"79","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRG3",16.465,16.602,16.69,16.819,17.009,17.397,17.761,18.564,18.567,19.143,20.049,21.235,21.703,22.817,26.063,30.458,32.792,33.386,35.575,39.147,43.075,46.736,50.12,51.328,51.733,53.372,53.876,55.103,56.947,58.699,61.982,65.07,66.354,66.684,67.737,69.053,70.739,72.96,74.388,75.415,76.6,78.318,80.719,81.893,83.485,86.205,87.79,89.307,93.011,99.113,100,100.284,104.826,107.472,108.562
"80","73","        Food purchased for off-premises consumption","DFOFRG3",16.6,16.762,16.859,17.031,17.219,17.45,17.866,18.775,18.796,19.401,20.37,21.443,21.884,23.135,26.604,31.023,33.16,33.147,33.783,37.297,41.237,44.6,47.961,49.129,49.452,51.156,51.65,52.675,54.838,56.87,60.35,63.646,65.103,65.419,66.602,67.883,69.275,71.913,73.541,74.703,75.903,77.539,80.103,81.414,83.194,86.235,87.77,89.22,92.921,99.314,100,100.487,105.319,108.176,109.515
"81","74","          Cereals and bakery products","DCBPRG3",15.229,15.64,16.061,16.297,16.466,16.752,16.995,17.926,18.211,18.213,18.592,20.237,19.885,21.59,23.811,29.481,29.996,29.031,28.295,29.789,32.607,36.357,39.809,41.401,42.458,44.075,45.531,46.54,47.908,50.744,54.768,57.599,59.744,61.826,63.508,65.825,67.218,69.388,70.52,71.736,73.094,74.411,76.649,78.335,80.232,81.558,82.723,84.271,87.934,96.873,100,99.143,103.045,106.059,107.255
"82","75","            Cereals","DGRARG3",19.563,19.878,20.116,20.441,19.867,20.989,21.535,22.27,22.505,22.112,21.941,26.362,22.732,30.449,32.564,38.837,37.177,34.768,31.871,33.171,35.867,40.622,44.916,46.614,47.328,48.985,50.688,51.965,53.4,57.213,62.288,65.419,68.045,70.529,72.389,75.285,76.047,76.579,76.74,77.525,78.901,79.327,80.57,82.002,83.509,83.946,84.178,84.454,87.786,96.597,100,98.144,102.422,105.03,104.909
"83","76","            Bakery products","DBAKRG3",13.497,13.901,14.338,14.542,14.86,14.95,15.115,16.038,16.318,16.407,16.893,17.814,18.324,18.436,20.571,25.871,27.03,26.549,26.573,28.118,30.946,34.259,37.332,38.865,40.049,41.634,42.975,43.863,45.195,47.56,51.069,53.753,55.657,57.536,59.134,61.156,62.89,65.962,67.643,69.099,70.454,72.192,74.873,76.663,78.718,80.43,82.02,84.181,88.009,97.014,100,99.653,103.368,106.58,108.425
"84","77","          Meats and poultry","DMAPRG3",20.461,20.126,19.863,20.453,20.173,19.799,21.008,22.602,22.123,22.752,24.739,25.858,26.039,28.41,35.404,35.968,38.237,37.851,37.406,43.944,50.569,52.007,53.599,55.118,54.336,55.176,54.273,56.029,58.864,60.435,63.241,67.525,68.662,67.37,69.128,69.596,69.57,72.48,74.461,73.365,73.691,76.67,80.221,81.076,84.027,90.484,92.498,92.442,95.898,99.657,100,101.612,108.352,112.524,115.052
"85","78","            Beef and veal","DBEERG3",17.503,17.053,16.773,17.381,17.175,16.678,17.486,18.392,18.514,19.274,21.181,22.149,23.114,25.287,30.25,31.126,31.423,30.433,30.278,37.096,46.85,49.3,49.464,49.892,48.87,49.18,47.862,47.891,51.22,53.745,56.911,61.038,62.477,62.029,63.973,63,62.117,61.698,62.704,62.483,63.813,67.846,73.517,73.596,80.017,89.503,91.838,92.588,96.709,101.044,100,102.838,113.352,120.562,122.966
"86","79","            Pork","DPORRG3",20.499,20.352,21.343,21.536,20.985,20.882,23.639,27.11,24.95,24.988,27.201,28.884,26.178,30.339,39.954,40.038,48.671,49.657,47.162,52.976,53.127,51.08,55.529,62.184,61.083,59.976,59.613,63.884,68.773,66.252,66.208,75.156,77.424,73.243,75.015,75.697,75.631,82.779,87.069,82.264,80.486,86.317,89.583,89.249,90.963,96.103,98.036,97.809,99.799,102.048,100,104.718,113.662,113.965,115.01
"87","80","            Other meats","DMEARG3",19.403,18.987,19.065,19.216,19.111,19.173,20.201,22.282,22.105,22.402,23.944,25.626,25.539,27.406,33.938,35.108,37.225,39.422,39.176,45.878,52.31,53.873,55.812,57.068,56.443,56.246,56.194,57.18,60.414,61.575,62.826,68.185,70.278,69.826,70.321,71.544,72.165,74.406,76.126,75.257,76.028,78,80.229,83.059,85.215,88.986,91.078,92.729,94.843,97.762,100,99.954,106.39,108.201,108.174
"88","81","            Poultry","DPOURG3",29.48,29.959,26.97,28.583,28.181,27.566,28.396,29.909,28.035,28.914,30.538,30.366,30.545,30.976,42.557,41.146,45.468,43.592,43.938,48.26,50.134,52.302,54.069,52.722,52.912,58.055,57.06,60.714,59.459,63.126,68.916,68.333,67.547,66.759,68.942,70.479,71.063,75.225,76.998,76.992,77.291,78.218,80.68,81.784,82.788,88.949,90.706,89.115,93.672,98.37,100,99.89,102.791,108.385,113.52
"89","82","          Fish and seafood","DFISRG3",10.933,10.934,11.176,11.652,11.629,11.342,11.698,12.444,12.877,13.104,13.811,15.178,16.755,18.27,20.905,24.135,26.161,29.281,32.385,35.313,38.48,41.702,44.85,46.119,46.313,47.427,49.389,53.535,58.741,61.636,63.933,64.825,64.973,65.893,67.587,69.986,72.958,72.981,74.503,75.908,77.031,79.109,79.407,78.168,78.982,80.789,83.168,87.081,91.07,96.459,100,101.118,108.297,110.856,113.594
"90","83","          Milk, dairy products, and eggs","DMDERG3",18.057,18.652,19.081,18.858,18.869,19.035,19.109,20.81,21.065,21.872,23.05,24.097,24.453,24.889,28.317,33.413,34.17,37.067,37.579,39.52,43.98,47.74,51.311,51.819,52.557,53.613,53.688,54.074,54.94,56.083,60.476,65.782,65.015,65.818,66.455,67.197,67.991,73.22,74.523,76.308,79.386,80.205,83.357,83.795,85.08,91.271,90.839,90.809,99.792,109.132,100,101.437,108.683,111.09,111.827
"91","84","            Fresh milk","DMILRG3",21.962,22.476,22.579,22.454,22.358,22.413,22.315,23.703,24.674,25.726,26.435,27.566,28.306,28.705,31.336,37.641,38.001,39.68,40.086,42.296,47.051,51.1,54.005,54.231,54.511,54.838,55.535,55.18,56.307,57.41,61.605,67.95,65.589,67.972,68.744,70.508,70.448,75.63,76.83,78.695,83.383,83.616,87.462,85.829,86.536,96.716,98.545,97.336,108.44,115.234,100,103.669,113.096,114.408,115.765
"92","85","            Processed dairy products","DDAIRG3",12.231,12.688,13.511,13.442,13.495,13.87,14.267,15.936,16.674,17.035,17.948,19.242,20.174,20.777,23.034,27.951,29.264,33.071,34.085,36.541,40.863,45.365,49.336,50.474,51.326,52.231,53.455,53.907,55.285,56.554,59.745,64.69,65.279,66.249,66.176,66.731,67.581,71.529,73.411,76.141,80.079,80.898,83.865,85.275,84.944,89.468,90.558,90.104,94.282,103.644,100,100.12,105.575,108.306,107.922
"93","86","            Eggs","DGGSRG3",31.272,33.449,33.791,31.877,32.356,32.045,31.325,35.66,29.861,31.804,37.696,36.903,32.372,32.147,47.51,47.562,47.084,51.428,49.347,46.904,51.145,49.774,54.02,52.211,54.135,59.168,49.957,53.475,50.19,50.887,64.285,66.951,65.026,57.885,62.091,60.375,63.468,75.184,74.017,71.484,67.496,69.561,71.945,72.943,82.667,86.856,76.042,79.698,102.611,117.344,100,101.53,110.926,114.49,118.249
"94","87","          Fats and oils","DFATRG3",18.464,17.806,18.984,18.853,18.295,18.287,19.53,20.03,20.087,19.913,20.001,21.26,23.194,23.431,25.322,35.793,39.896,34.901,38.475,41.99,45.176,47.946,52.853,51.153,51.609,56.265,57.279,55.761,56.358,58.747,62.668,65.055,67.46,66.199,65.942,67.577,69.338,70.733,71.127,73.142,73.664,73.27,77.377,77.259,78.228,83.377,83.343,83.487,85.943,97.609,100,99.707,108.876,115.609,113.884
"95","88","          Fresh fruits and vegetables","DFAVRG3",13.437,14.131,13.729,14.21,14.835,16.053,16.404,16.742,16.771,18.302,18.68,19.584,20.298,21.589,25.38,27.294,27.987,28.716,32.515,36.197,37.758,39.585,43.661,44.216,43.496,46.881,46.335,46.58,50.864,53.024,56.303,59.152,61.589,59.48,60.712,61.849,67.44,68.163,69.192,73.886,74.488,75.731,78.858,82.517,84.657,87.652,91.178,95.922,99.555,104.785,100,100.883,105.529,102.927,106.621
"96","89","            Fruit (fresh)","DFRURG3",15.249,16.586,16.883,17.073,18.793,18.932,18.138,18.918,19.23,21.715,21.013,21.28,22.54,23.829,26.651,28.956,30.882,30.88,35.559,41.485,45.129,46.388,47.248,50.65,46.829,50.128,53.383,52.554,56.376,58.888,60.603,65.401,71.387,65.788,64.868,66.853,71.455,75.493,75.47,76.933,82.071,79.585,81.685,83.309,86.073,88.393,91.697,97.223,101.608,106.484,100,99.328,102.689,103.772,105.683
"97","90","            Vegetables (fresh)","DVEGRG3",12.444,12.815,12.099,12.697,12.847,14.525,15.447,15.554,15.439,16.473,17.404,18.629,19.051,20.345,24.766,26.435,26.272,27.541,30.751,32.956,33.283,35.4,41.267,40.25,41.191,44.594,41.935,42.791,47.335,49.275,53.548,55.117,55.292,55.477,58.242,58.798,65.082,63.705,65.359,72.018,69.947,73.316,77.043,81.908,83.662,87.083,90.754,94.956,98.055,103.538,100,102.055,107.693,102.303,107.309
"98","91","          Processed fruits and vegetables","DPFVRG3",16.613,16.035,16.703,16.187,17.067,17.44,16.901,17.319,17.064,18.079,18.216,18.76,19.978,20.762,22.626,30.374,31.037,32.073,32.98,36.254,38.722,41.24,45.946,48.145,48.24,50.655,51.595,50.66,52.097,55.338,59.189,61.592,60.796,61.244,60.88,62.662,63.336,65.898,67.256,69.016,70.324,71.054,73.343,76.104,76.795,77.743,80.334,82.677,85.668,93.684,100,98.698,101.578,105.472,105.787
"99","92","          Sugar and sweets","DSWERG3",12.751,12.826,12.568,12.581,13.605,14.313,14.062,13.796,14.221,14.701,15.516,16.367,16.975,17.187,18.273,27.169,34.87,30.995,32.612,36.566,39.333,47.963,51.859,51.634,52.485,54.379,55.603,57.162,58.021,59.451,62.093,64.676,66.885,68.709,68.711,69.463,70.417,73.378,75.353,76.42,77.337,78.181,79.09,80.712,82.269,82.844,83.862,87.057,89.764,94.695,100,102.191,105.534,109.005,107.14
"100","93","          Food products, not elsewhere classified","DOFDRG3",17.091,17.201,17.364,17.099,17.403,17.848,18.028,17.879,18.068,18.421,19.046,19.77,20.359,20.721,21.511,25.975,29.453,30.617,31.701,34.089,37.706,41.856,46.362,48.469,50.166,51.778,53.468,54.936,57.282,59.188,62.751,65.032,67.639,68.799,70.159,71.769,73.311,75.882,78.207,79.606,81.216,82.96,84.776,85.272,86.126,86.646,88.095,89.272,90.939,96.011,100,99.716,102.155,105.979,106.539
"101","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRG3",14.293,14.191,14.202,13.973,14.164,15.875,15.765,15.66,15.524,15.84,16.23,18.198,18.869,18.833,20.197,24.11,27.777,33.086,49.734,53.426,56.734,62.999,66.266,67.738,68.847,69.862,70.43,73.269,72.551,72.11,73.897,75.459,75.516,75.948,76.072,77.641,81.508,80.603,80.56,80.599,81.673,83.999,85.175,85.333,85.548,85.977,87.91,89.89,93.618,97.676,100,98.815,101.266,102.379,101.663
"102","95","          Coffee, tea, and other beverage materials","DCTMRG3",18.115,17.986,18,17.709,17.951,20.12,19.98,19.848,19.676,20.075,20.57,23.064,23.914,23.869,25.598,30.557,35.205,41.933,63.034,60.551,57.349,62.657,53.786,54.886,54.804,56.709,57.956,72.334,63.133,62.2,64.747,62.831,61.382,58.618,57.89,70.72,85.124,77.858,86.952,87.358,85.443,86.484,85.644,85.045,85.953,86.129,90.438,91.904,95.562,99.59,100,100.632,108.079,109.18,105.705
"103","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRG3",13.506,13.409,13.42,13.203,13.383,15.001,14.896,14.797,14.669,14.967,15.336,17.195,17.829,17.795,19.084,22.781,26.247,31.263,46.994,51.626,56.095,62.491,68.477,70.023,71.422,72.192,72.58,72.776,73.922,73.599,75.213,77.44,77.773,78.758,79.032,78.696,81.039,81.038,79.692,79.682,81.156,83.655,85.104,85.365,85.488,85.95,87.578,89.622,93.358,97.419,100,98.568,100.368,101.483,101.13
"104","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRG3",26.635,27.055,27.147,27.275,27.54,27.7,27.864,28.181,28.589,29.234,29.873,30.881,31.766,32.297,32.831,34.861,37.25,38.047,38.64,40.717,43.906,47.568,50.728,52.822,54.803,55.845,57.104,58.74,59.787,61.2,63.075,65.706,73.37,75.389,75.465,75.372,75.573,77.425,78.605,79.016,80.672,83.05,84.725,86.328,87.674,89.661,90.731,92.004,94.19,97.17,100,100.418,100.918,101.758,103.024
"105","98","        Spirits","DLIQRG3",34.375,34.903,35.103,35.24,35.627,35.772,35.875,36.111,36.531,37.023,37.438,38.355,38.877,39.689,39.884,40.495,41.657,42.372,42.932,44.628,46.221,48.638,51.271,52.964,54.042,54.495,56.372,60.617,61.122,61.908,63.885,66.913,73.982,75.197,76.021,76.477,77.151,78.062,79.741,80.721,82.553,85.785,88.781,90.583,91.514,92.663,93.785,94.952,95.655,97.793,100,99.774,99.879,99.853,100.953
"106","99","        Wine","DWINRG3",24.65,25.045,25.145,25.178,25.444,25.551,25.674,25.832,26.091,27.131,28.288,30.488,31.955,33.183,35.329,38.477,40.21,41.115,42.293,46.393,50.471,54.688,58.645,61.042,60.925,60.022,60.51,61.734,63.597,64.615,66.319,68.198,76.939,78.432,78.987,78.396,78.392,81.499,85.026,85.765,86.801,88.107,88.019,88.508,88.978,89.375,90.769,92.802,94.649,98.03,100,98.624,97.873,97.737,98.369
"107","100","        Beer","DMLTRG3",21.988,22.34,22.382,22.51,22.707,22.875,23.068,23.442,23.851,24.49,25.151,25.989,26.93,27.161,27.575,30.218,33.473,34.293,34.799,36.705,40.448,44.476,47.6,49.717,52.476,54.188,55.425,56.326,57.315,58.997,60.849,63.502,70.955,73.415,73.049,72.91,73.009,74.747,75.031,75.155,76.951,79.434,81.392,83.43,85.34,88.446,89.319,90.214,93.241,96.373,100,101.802,103.261,105.137,106.891
"108","101","      Food produced and consumed on farms (6)","DFFDRG3",30.251,29.438,29.479,29.996,29.125,28.171,31.072,34.254,32.916,34.781,38.157,38.669,39.233,46.161,60.509,53.982,55.175,56.675,56.893,72.827,87.45,84.122,83.669,86.177,81.646,84.993,79.609,80.781,88.227,89.702,94.485,101.905,97.805,94.033,96.512,89.095,88.924,89.607,95.032,84.595,80.9,85.38,91.032,81.286,92.672,104.125,104.567,103.289,113.123,111.37,100,113.058,134.599,136.849,144.788
"109","102","    Clothing and footwear","DCLORG3",53.423,54.139,54.452,54.615,55.094,55.613,56.098,57.648,60.024,63.416,66.846,69.333,71.798,73.101,75.528,81.131,84.769,87.489,91.223,92.947,94.765,98.241,101.484,102.971,104.38,104.922,107.174,106.732,109.807,113.34,114.999,118.747,121.007,121.908,121.256,119.216,116.431,115.029,115.065,112.971,111.475,110.148,107.965,105.13,102.526,102.171,101.268,100.872,99.936,99.13,100,99.347,101,104.651,105.648
"110","103","      Garments","DGARRG3",57.793,58.327,58.615,58.657,59.159,59.777,60.193,61.493,63.925,67.582,71.129,73.553,76.21,77.427,79.862,86.047,89.96,92.727,96.64,98.199,99.073,101.914,104.904,106.282,108.003,108.526,111.177,110.77,114.109,117.534,118.82,122.921,125.217,125.771,124.91,122.607,119.366,117.784,117.988,115.703,114.496,113.19,110.606,107.357,104.476,104.076,102.366,101.723,100.82,99.456,100,98.928,100.859,104.768,105.392
"111","104","        Women's and girls' clothing (10)","DWGCRG3",67.72,68.022,68.141,68.036,68.471,69.046,69.326,70.652,73.663,77.909,81.479,83.962,87.448,88.964,91.477,97.715,101.472,104.142,107.9,109.538,109.913,111.726,113.247,113.312,114.487,114.426,117.144,115.709,120.017,123.361,123.584,128.533,130.31,130.744,129.781,127.034,122.347,119.347,119.205,116.101,114.036,112.43,110.323,107.14,104.611,104.51,102.494,102.421,102.036,99.435,100,99.073,101.009,104.548,104.919
"112","105","        Men's and boys' clothing (11)","DMBCRG3",48.113,48.97,49.558,49.827,50.459,51.181,51.797,53.166,55.075,58.227,61.973,64.504,66.337,67.2,69.642,75.096,78.366,81.145,84.905,86.203,87.598,91.241,95.538,98.421,100.465,101.701,104.004,104.452,106.798,110.3,113.073,115.658,118.754,119.497,119.066,117.277,115.794,115.858,116.802,115.76,115.36,114.176,110.644,107.167,103.851,103.386,102.186,100.47,98.922,99.514,100,98.501,100.939,105.214,107.022
"113","106","        Children's and infants' clothing (12)","DCICRG3",34.486,34.355,33.134,32.481,32.471,32.585,32.752,33.01,33.371,34.797,35.912,36.595,37.387,38.456,39.736,50.172,60.277,63.53,69.668,72.355,73.797,79.836,86.798,89.953,94.431,95.834,100.079,104.428,104.426,108.213,110.382,116.222,118.304,118.768,115.787,114.481,113.664,115.127,113.245,110.331,112.711,113.995,112.837,110.469,106.68,103.578,101.946,101.76,99.517,99.366,100,99.741,99.176,104.55,101.736
