"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"62","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRX0",21650,25308,23609,24365,25216,24189,24047,26086,24619,24935,23676,25304,30221,26178,27462,24983,25135,25506,23955,24944,25881,24437,25271,24826,24629,23630,23576,24546,23458,24227,25280,24407,22960,24654,26093,25684,26437,26350,24752,26220,25219,25416,25160,25798,26093,23834,25744,25664,25952,23915,26850,27559,28637,27644,29827,30846,30310,32529,31029,31545,30092,32719,33402,31687,31539,31259,32436,32531,32223,33473,32466,34313,32406,34209,35744,34841,34914,36942,35632,35497,34570,33323,34404,32850,37778,36988,34175,34753,34820,34252,33787,32732,36304,36280,36676,35811,37956,34153,35347,36195,37114,36212,36428,37847,37088,36953,34539,35411,34235,34570,34331,32638,33230,32672,31177,31665,29224,26387,25874,24226,26246,22742,22895,22642,22725,22210,23127,24161,24402,22827,24917,23442,21261,22001,22420,23350,22570,22900,22589,22991,22509,23455,24284,21981,22368,22812,22618,22859,23101,22810,23905,22074,22805,22194,22377,23735,24202,23312,24782,23809,23572,23909,23039,24476,23904,23728,22804,23235,23135,23619,23605,24520,25526,26877,25896,27689,27363,27082,26404,23977,25877,25813
"63","55","          Pleasure boats","DBOARX0",9734,11119,9979,10634,11294,10581,10598,12990,10851,10281,9040,10479,14106,10686,12282,10770,11402,11341,10141,11504,12100,10749,12267,11626,11140,11182,10597,10847,10216,11297,12036,10652,10497,12333,12089,12334,13121,12241,11519,12222,11759,11594,11290,11406,11345,10377,11059,11180,10040,9849,12391,12449,12538,12060,13003,13871,13875,15015,14221,13993,12751,15154,15671,14778,14670,13980,14815,13814,13422,13807,13326,14212,14027,14836,15735,16353,15380,16956,15472,16292,14876,15101,14957,14173,17930,16864,15104,14814,15792,15444,16172,15487,17990,17293,16882,16391,18141,15441,15278,15575,16500,17085,16278,17920,16141,16973,16553,16105,15732,16360,15961,16074,15756,15793,15123,15451,14168,13593,13211,12874,13959,10846,11579,11705,11421,10678,11317,11637,12308,10966,12975,11814,10397,11209,9829,10901,10698,11053,10847,11089,10401,11190,11608,10067,10241,10677,11515,11175,11010,10854,11948,9972,11114,10062,10263,11315,11071,10631,11972,10867,10966,11159,10233,11090,11495,11542,11040,10916,10944,10838,10628,11377,12145,13102,12613,13803,13046,13816,12909,11709,13400,13375
"64","56","          Pleasure aircraft","DAIRRX0",1130,1078,1202,1149,1083,1080,1134,995,1046,1133,1285,1079,1175,1241,1241,1140,1087,1143,1075,1144,1232,1240,1168,1309,1428,1040,912,1167,1159,1108,1058,1046,940,952,1011,952,871,1016,945,1025,988,958,1084,1022,1244,961,1052,1051,1049,984,987,1076,1150,1157,1175,1282,1303,1262,1380,1303,1431,1296,1411,1290,1267,1283,1384,1435,1451,1513,1489,1569,1474,1709,1672,1599,1712,1769,1601,1708,1566,1641,1439,1619,1564,1777,1970,1837,1685,1603,1685,1588,1775,1790,2280,1888,2149,1614,1838,2226,2100,1911,2038,2081,2246,2318,2015,2187,2099,1915,1925,1668,2095,2181,2085,2058,1663,1492,1546,1394,1527,1490,1437,1179,1362,1377,1438,1262,1665,1387,1531,1509,1432,1413,1459,1569,1412,1356,1392,1519,1368,1428,1554,1386,1461,1358,1389,1372,1497,1366,1365,1489,1505,1530,1453,1608,1576,1573,1561,1620,1584,1802,1739,1602,1591,1650,1497,1575,1818,2053,2110,2153,2174,2229,1961,2197,2141,1850,2433,1799,1973,1966
"65","57","          Other recreational vehicles","DREVRX0",10786,13112,12429,12583,12839,12528,12315,12102,12723,13522,13352,13747,14940,14252,13939,13074,12646,13022,12740,12297,12549,12449,11836,11891,12061,11409,12069,12532,12084,11823,12186,12709,11524,11369,12993,12399,12446,13093,12290,12973,12472,12864,12787,13371,13504,12496,13633,13434,14864,13082,13473,14035,14950,14428,15651,15693,15133,16252,15428,16249,15910,16269,16321,15620,15603,15996,16238,17283,17351,18153,17651,18534,16906,17666,18337,16889,17823,18218,18559,17498,18129,16582,18009,17059,18285,18347,17101,18104,17344,17206,15931,15658,16540,17197,17515,17533,17666,17098,18232,18395,18515,17216,18113,17847,18702,17662,15972,17120,16404,16296,16445,14896,15379,14698,13968,14156,13394,11302,11117,9958,10760,10407,9879,9758,9941,10155,10371,11262,10429,10474,10411,10119,9432,9379,11131,10880,10460,10491,10349,10384,10740,10837,11122,10529,10666,10776,9714,10312,10595,10591,10592,10612,10186,10603,10661,10813,11555,11108,11249,11323,11022,10948,11068,11784,10818,10536,10267,10744,10373,10728,10866,10990,11207,11546,11322,11689,12176,11416,11062,10470,10504,10471
"66","58","      Recreational books (part of 90)","DRBKRX0",22500,23264,23708,23597,23292,24086,24891,23750,24323,24809,24747,25446,24215,25443,25756,26203,26171,25892,26365,25560,26362,26478,26328,26036,24969,26494,26678,25956,25886,25594,25666,26390,25535,25940,26088,26159,26986,25621,26134,26683,26450,25923,26176,26175,26712,26362,26601,26721,27254,26740,26320,26955,26927,28245,27469,27792,27784,27082,27294,26757,27527,27862,27516,27354,27623,27490,27715,27916,27477,27351,27068,27411,27331,27631,27807,27717,27512,27197,28200,27954,27356,27989,27809,28454,28738,28253,28698,28573,28289,28927,27988,27331,27815,27693,27598,27539,27575,27266,27476,27176,27377,27405,28713,27679,28195,28116,28296,28277,27875,27530,27597,28315,28248,27362,27935,28599,26649,26438,26290,26254,26510,26026,26113,26595,26105,26523,26144,27639,26468,26323,25920,26723,27433,26962,27428,26595,27548,27440,27355,27516,27325,27471,27730,27999,27738,27842,27846,27429,27832,27906,27600,29459,28545,28245,28087,27113,27838,28495,28606,29421,29223,29471,29513,29596,29677,30053,30386,30151,30499,30387,30220,30505,30324,30425,30256,30746,31310,31106,31117,30853,30090,30683
"67","59","      Musical instruments (part of 80)","DMSCRX0",3527,3698,3716,3643,3700,3722,3870,3810,4016,3975,4332,4160,4135,4288,4779,4745,4632,4694,4591,4913,4936,4889,4658,4657,4459,4793,4702,4880,4887,4762,4912,4796,4598,4742,4824,5181,5083,4956,4944,4982,5142,5119,5173,5057,4989,5016,5132,4879,5082,4834,4891,4751,4757,4733,4739,5111,5037,5118,5284,5303,5239,5315,5219,5234,5328,5317,5432,5392,5398,5210,5197,5256,5310,5464,5054,5271,5222,5274,5325,5351,5173,5775,5068,5242,6118,5805,5829,5558,5521,5089,5159,5241,5497,5388,5419,5415,5272,5422,5602,5729,5550,5430,5479,5474,5338,5767,5542,5568,5701,5275,5368,5253,5254,5392,5402,5305,5069,4786,4807,4644,4520,4681,4597,4554,4313,4790,4670,4457,4561,4484,4420,4819,4619,4500,4465,4474,4573,4638,4547,4658,4400,4681,4627,4668,4645,4717,4712,4690,4808,4730,4683,4729,4831,4710,5013,4859,5081,5152,5505,5319,5218,5303,5361,4898,5230,5279,5201,5228,5007,5127,5171,5147,5130,4943,5214,5309,5243,5303,5246,5240,5260,5368
"68","60","    Other durable goods","DODGRX0",101004,101968,103124,101960,103275,104974,106652,105765,107105,109714,110830,115393,110924,113635,113092,114073,117061,117315,116563,115888,117988,116106,115090,117029,113555,116000,113931,113111,112319,109805,110674,112892,109397,111377,114539,117417,116792,117840,117483,119045,119566,119502,119014,121318,120386,121590,121901,124133,122349,121902,123920,126305,127972,131411,133585,135127,134903,136827,139303,139971,140297,142545,143380,141739,141361,140838,141341,142309,144159,144814,145021,145475,147679,151325,149626,152573,150696,153779,152362,154175,152390,157821,157400,160082,161770,164896,164849,162466,163800,163203,162947,162840,166065,164673,166597,169018,166571,166426,169985,171378,172572,172389,173707,174328,175823,174176,175797,173204,173429,167595,170749,168724,170119,170395,170533,169261,163052,161065,159235,153802,158198,158384,154182,156230,157600,159466,157175,160325,159228,157568,159132,160605,160650,162366,163602,163105,161938,162424,165431,165480,165342,170367,170400,167406,169256,169576,173418,175332,173424,173651,174166,176765,175898,175285,174366,172925,175089,178938,178328,181218,182456,182156,185456,183506,186093,186646,189233,194528,190864,193494,194144,197757,196940,195794,195864,197328,197583,201437,200273,202036,200467,196723
"69","61","      Jewelry and watches (part of 119)","DJRYRX0",47308,47116,48582,47398,48088,48909,49518,49527,49704,51151,51384,53939,51691,52007,51615,52134,54048,54379,54608,54861,55865,54559,53321,54099,52438,52882,52248,52615,52520,50159,50958,52063,50855,51576,52750,51832,52677,55010,55044,54537,55079,54777,53983,56107,54320,55514,55979,57759,57838,56826,56975,57946,58872,60113,60834,60955,61565,62456,64190,65006,63705,65372,65551,64398,63865,63599,64299,64768,66692,67570,67283,66966,67899,69758,68559,71635,68510,71724,69377,69896,67234,71433,71267,73180,72221,76361,76246,73048,73554,72683,72908,72304,73345,72477,72754,73906,72082,70784,72874,73746,74616,72425,73843,73619,74234,73194,73668,73181,72265,68345,70590,68171,68514,68909,68805,67719,64080,62839,60318,57649,59004,60091,58086,59904,60143,60383,59889,61416,61382,60259,60941,61587,62110,61901,62143,61118,60162,60089,62126,60758,59239,63249,62493,59190,62014,60586,62600,64544,62944,62958,62237,62949,63678,62334,62143,61009,62088,64502,63142,64563,66075,65757,67398,65860,65857,66623,67801,69903,69771,70156,70717,72305,70075,69538,68676,68886,69740,72561,71719,72198,72739,75314
"70","62","        Jewelry","DJLYRX0",42814,42660,43983,42782,43330,44057,44461,44507,44716,46032,46235,48418,46512,46885,46595,47076,48718,49037,49219,49538,50373,49148,48112,48812,47161,47496,46821,47360,47326,45127,45791,46806,45950,46351,47361,46494,47141,49328,49056,48662,49122,49044,48498,50166,48529,49532,49871,51421,51603,50738,51053,51883,52810,53769,54312,54267,54995,55700,57412,58264,57127,58616,58642,57484,57027,56756,57440,58043,59816,60700,60355,59808,60824,62442,61489,64309,61642,64633,62475,62680,60309,64184,63908,65493,64789,68373,68526,65631,65815,65067,65412,64740,65661,64968,64969,65901,64480,63104,65133,65879,66551,64273,65613,65670,66013,65024,65354,64848,64014,60413,62259,60258,60490,60707,60631,59688,56554,55587,53521,51067,52320,53305,51434,52970,53258,53350,52806,54207,54048,53102,53565,54154,54923,54780,54760,53829,52896,52872,54762,53480,52058,55530,54742,51778,54187,53038,54756,56148,54765,54822,54245,54711,55501,54186,54007,52928,53841,56006,54957,56326,57613,57339,58865,57548,57483,58171,58993,60996,60922,61348,61838,63212,61309,60820,60021,59719,60768,63176,62545,62994,63370,65796
"71","63","        Watches","DWTCRX0",4596,4561,4706,4704,4839,4933,5123,5091,5065,5199,5229,5591,5259,5214,5119,5160,5424,5439,5483,5432,5591,5501,5307,5387,5354,5455,5483,5337,5283,5108,5236,5330,5008,5296,5456,5399,5585,5745,6014,5908,5989,5786,5559,5986,5831,6016,6135,6362,6270,6126,5984,6120,6134,6396,6563,6713,6614,6791,6833,6815,6653,6833,6968,6956,6881,6882,6906,6796,6957,6966,7010,7204,7146,7383,7153,7422,6982,7228,7026,7299,7007,7353,7444,7757,7522,8064,7835,7524,7806,7687,7588,7636,7755,7590,7833,8043,7663,7715,7795,7917,8104,8160,8245,7990,8242,8186,8324,8339,8257,7932,8328,7913,8024,8200,8172,8029,7525,7252,6802,6585,6688,6790,6652,6932,6885,7031,7081,7206,7333,7155,7378,7434,7183,7117,7381,7288,7270,7218,7362,7278,7186,7727,7766,7435,7856,7567,7869,8454,8234,8187,8035,8300,8221,8210,8200,8158,8330,8570,8239,8276,8506,8461,8567,8343,8410,8487,8866,8948,8887,8838,8910,9126,8794,8748,8684,9251,9018,9440,9221,9249,9423,9560
"72","64","      Therapeutic appliances and equipment (42)","DTAERX0",33146,33622,32959,32959,33119,33539,34068,33765,34024,34701,35038,36960,35201,36324,36398,36692,36738,36515,35366,35437,36031,35243,35563,37126,35051,35795,35399,34985,34715,34086,34085,34590,34221,34457,35010,37534,35444,35897,35276,36631,37211,37812,37935,38389,38143,38547,38186,38586,36517,37100,38407,39063,38878,40289,41414,42094,40802,41203,41643,41302,42456,43067,43442,42914,42684,42151,42124,42601,42730,42456,43194,43368,43819,44737,44867,44604,44969,44992,45542,46081,46848,47524,47345,47537,48166,48050,47804,47853,48298,48118,48101,48091,49356,48751,49854,50348,49868,50677,51301,52119,52358,53505,52812,54070,54776,53992,54069,52300,53368,52222,52933,52715,53399,53637,53882,53485,53096,52704,53171,51820,53518,52308,52077,52588,52357,52805,52034,52640,52407,52625,53005,53690,52640,54301,54629,55739,54864,55344,56139,57257,57445,57794,57611,57826,56377,57672,58572,58265,58634,58704,59007,60096,59255,59824,59365,59442,59492,60527,61168,61842,60725,60417,61856,61524,62048,61207,62356,63724,60922,62260,62431,63029,63239,63661,63803,64185,63996,65471,65357,65859,63868,64349
"73","65","        Therapeutic medical equipment","DTMERX0",10907,11050,11029,11167,11399,11385,11356,11479,11599,11761,12111,12924,12147,12331,12556,12579,12696,12941,12991,13023,13529,13488,13439,13683,13374,13574,13615,13723,13797,13576,13746,13879,13503,13585,13739,14982,13894,14250,14335,14631,14563,14631,14723,14749,14851,14999,14740,14910,15071,15242,15532,15655,15690,16198,16611,16734,16587,16884,17294,17482,17183,17497,17966,18080,18145,18312,18385,18735,18889,18774,19108,19302,19527,19545,19633,19784,19773,19819,20034,20412,20585,21074,21195,21380,21711,21862,21938,21912,22304,22313,22476,22670,23123,23208,23625,23773,23832,24303,24464,24828,24932,25195,25107,25437,25561,25301,25365,24914,25323,25018,25294,25443,25810,25852,25853,25588,25243,25034,24963,24479,24778,24549,24443,24540,24449,24616,24476,24432,24494,24572,24745,25219,24993,25566,25868,26284,26109,26567,26720,27155,27106,27158,26978,27060,26741,27164,27449,27454,27593,27445,28038,28655,28050,28115,28142,28170,28360,28634,29036,29316,28996,28832,29435,29403,29610,29307,29532,30051,29299,29765,29785,29961,30178,30435,30805,31002,30926,31167,31371,31728,30986,31431
"74","66","        Corrective eyeglasses and contact lenses","DEYERX0",22582,22924,22247,22089,21996,22454,23044,22586,22722,23250,23210,24317,23341,24313,24138,24419,24336,23830,22574,22613,22675,21900,22286,23648,21827,22383,21929,21383,21024,20612,20430,20808,20830,20987,21393,22663,21673,21759,21031,22111,22779,23325,23354,23794,23432,23690,23595,23828,21525,21945,22980,23523,23296,24207,24925,25495,24318,24413,24429,23878,25378,25676,25564,24903,24600,23878,23773,23894,23865,23705,24110,24085,24310,25231,25272,24847,25230,25206,25542,25699,26297,26480,26176,26181,26477,26205,25877,25954,26002,25809,25627,25419,26233,25540,26227,26574,26035,26374,26837,27291,27426,28313,27706,28635,29220,28694,28708,27386,28045,27206,27640,27276,27594,27789,28030,27897,27854,27670,28209,27341,28742,27759,27633,28048,27908,28188,27557,28208,27913,28053,28260,28472,27653,28738,28766,29457,28763,28794,29428,30109,30341,30635,30629,30763,29641,30508,31120,30812,31040,31254,30978,31456,31210,31708,31231,31278,31144,31899,32140,32532,31743,31598,32432,32136,32451,31915,32831,33678,31639,32509,32659,33077,33073,33239,33022,33208,33096,34313,34003,34153,32913,32958
"75","67","      Educational books (96)","DEBKRX0",15291,15910,15944,15874,15683,15778,16320,14369,15016,15839,16559,16678,14539,15880,15875,16262,16333,16158,16246,14953,15405,15355,15229,14616,13531,15809,15912,15097,15112,14684,14697,15434,14716,14713,14968,15700,16364,14560,14804,15055,14906,14152,14294,14038,15091,14528,14672,14284,14402,14096,13861,14197,14182,14670,14195,14328,14437,13944,14061,13530,13928,13885,13826,13668,13696,13581,13560,13540,13450,13339,13127,13141,13143,13137,13185,12987,12881,12775,13116,13039,12428,12688,12581,12669,12669,12477,12502,12388,12203,12311,11878,11582,11586,11525,11406,11306,11162,11005,10900,10676,10767,10763,11187,10596,10614,10704,10731,10538,10406,10358,10354,10550,10461,10247,10359,10395,9694,9656,9574,9439,9546,9347,9324,9388,9142,9158,9031,9516,9094,8983,8805,8971,9158,8897,9089,8865,9007,8932,8920,9077,8966,8951,9022,8967,8808,8926,8741,8515,8561,8505,8411,8861,8518,8404,8316,8033,8160,8311,8327,8518,8388,8340,8329,8244,8187,8184,8232,8169,8221,8229,8200,8238,8107,8112,8029,8237,8272,8171,8090,7950,7960,8012
"76","68","      Luggage and similar personal items (part of 119)","DLUGRX0",10229,10420,10491,10460,10771,11049,11206,11474,11855,11861,12000,12058,12403,12814,12561,12428,13387,13534,13490,13110,13364,13435,13316,13250,13824,13893,12832,12507,12108,12455,12360,12436,11160,11937,12821,13440,13617,13240,13305,13661,13212,13347,13390,13464,13518,13482,13500,13732,13669,13667,14071,14327,14862,14982,15396,15712,15937,16702,16815,17091,17210,17360,17441,17363,17497,17564,17452,17433,17400,17590,17604,17987,18604,19392,18650,19111,19570,19658,19402,20011,20080,20399,20209,20761,21702,21462,21393,21738,21814,21761,21562,21948,22412,22491,22779,23188,23064,23325,24083,23744,23579,24011,23992,23956,24141,24019,24357,24351,24485,24075,24405,24485,24585,24657,24590,24919,23367,23315,23235,22610,22801,23112,22140,21943,23532,24542,23599,24026,23700,23506,23711,23501,23736,23701,24512,24258,24852,24859,25312,25506,26207,27151,28011,28086,28496,28803,29580,29826,29350,29308,30389,30573,30270,30258,30255,30367,31158,31355,31423,32032,32784,33134,32858,33124,35387,35972,35947,37841,36955,37958,37877,38849,40285,39238,40186,40810,39994,39074,39606,41278,40596,32595
"77","69","      Telephone and facsimile equipment (67)","DTCERX0",1713,1765,1848,1869,1956,2006,2051,2118,2165,2210,2216,2303,2360,2405,2434,2495,2464,2501,2549,2660,2667,2691,2729,2812,2860,2773,2796,2847,2851,2946,3051,3115,3095,3176,3351,3434,3398,3414,3396,3489,3518,3526,3519,3504,3600,3667,3721,3825,3906,3989,4168,4341,4569,4803,4973,5158,5247,5386,5518,5747,5716,5694,5857,5969,6093,6279,6288,6346,6368,6368,6289,6395,6546,6647,6668,6691,6858,6917,7034,7175,7436,7625,7770,7809,8495,8369,8643,8833,9207,9499,9601,9866,10236,10259,10532,10937,10971,11097,11297,11530,11708,11971,12234,12342,12318,12494,13136,13018,13021,12669,12573,12866,13190,12972,12927,12777,12825,12570,12945,12302,13326,13521,12563,12419,12425,12574,12626,12722,12647,12197,12668,12850,12994,13573,13215,13134,13072,13234,12939,12912,13603,13244,13327,13559,13674,13828,14157,14325,14160,14430,14526,14685,14462,14938,14742,14649,14731,14596,14783,14687,14863,14940,15426,15262,15315,15314,15527,15550,15514,15482,15471,15945,16162,16140,16272,16343,16602,16992,16323,15564,16082,16454
"78","70","  Nondurable goods","DNDGRX0",1770183,1781910,1788561,1790631,1800935,1798731,1792125,1806307,1816809,1818784,1828179,1878538,1807265,1820944,1848894,1857208,1865054,1863885,1862358,1873117,1887440,1888285,1885130,1903602,1892673,1880935,1869510,1889302,1899958,1880206,1901488,1906552,1887682,1910033,1914161,1919782,1921277,1922337,1921595,1915274,1917342,1935504,1931319,1925236,1925736,1942860,1955374,1959435,1965083,1961242,1971576,1973303,1969881,1997705,2002554,2025910,2022444,2020793,2039559,2032453,2047827,2030334,2060706,2051687,2058263,2047902,2056649,2068790,2080126,2084784,2083165,2093566,2115176,2122887,2103987,2127341,2116059,2126206,2122733,2137906,2123087,2159219,2164212,2169160,2177193,2190068,2178996,2190822,2190256,2186833,2198369,2195018,2207436,2226525,2230499,2253993,2243753,2236847,2244104,2238141,2237395,2235861,2248542,2234902,2237124,2230539,2240648,2244052,2232257,2207413,2238798,2243065,2243001,2239183,2228140,2221451,2186907,2189502,2180293,2165903,2179904,2187177,2173394,2169997,2169632,2153500,2164038,2176088,2177366,2182174,2177294,2190945,2193176,2203368,2208339,2209059,2209931,2217236,2208887,2232078,2236995,2245609,2260205,2257543,2262093,2263785,2261839,2268709,2259113,2271588,2268529,2260360,2262530,2276078,2274678,2262347,2273530,2287667,2289667,2298662,2295871,2287314,2301297,2300474,2307102,2305632,2306669,2307655,2314555,2323753,2328332,2323167,2336180,2335645,2346573,2336756,2362329,2358847,2364037,2373723,2352569,2359395
"79","71","    Food and beverages purchased for off-premises consumption","DFXARX0",654415,657963,659725,663509,665482,663489,666269,669486,674689,669808,673466,699180,665947,674106,683163,683957,681326,688943,685348,684856,687843,692778,691940,694375,695263,689985,687482,695728,698163,693635,692293,692801,696288,693913,693126,699018,691983,692444,694558,689485,696202,697641,699919,697066,694957,699753,705116,705251,708977,709066,708722,710009,704624,709150,716251,720065,719890,718451,719394,714480,726371,721097,726061,726891,724619,723853,725842,729222,737406,736119,737473,742240,747528,751599,750818,751826,750061,756552,754690,759981,763340,768756,767249,768952,766794,775931,772185,777110,781547,778650,780529,782743,779148,788362,788506,798347,795725,792733,790996,788104,789258,790003,793353,787181,788830,788844,792842,797505,789846,786050,791941,790214,791483,796373,787652,782776,776291,768404,763668,757699,760385,761258,762701,764033,769049,768486,769836,770043,775808,776441,777065,784394,781452,791799,785138,780280,781341,780086,775953,787834,787705,789569,796737,799755,799179,799298,794825,802286,798310,801443,800218,800486,795690,799661,802872,791703,802750,803803,804894,809379,809113,806833,811331,809456,814426,816300,812069,812224,815201,818804,818713,810394,817535,818015,820366,818137,823971,822664,825993,832793,830497,827079
"80","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX0",569381,573064,574446,576563,578710,577355,579473,582157,586356,581068,584725,607114,576730,583483,590976,592808,588924,595430,591608,590852,593099,597073,595731,599354,598625,594122,592100,599289,600356,596425,595794,596332,599647,597636,596513,602164,595244,595113,596357,591066,597739,599052,601177,599304,596775,602172,606600,605305,610403,610813,610640,612110,608311,612273,618457,621355,621277,619460,621163,615817,627200,622228,626740,627494,624308,624152,625657,629137,637292,635145,637062,642227,647869,649646,649892,650385,648823,654646,652933,657480,660110,664763,663042,663962,661393,668718,666669,670412,674591,671983,673433,675345,671518,680344,679745,688984,686894,683455,681923,679833,679558,680210,683590,679167,680329,681159,684673,688113,682073,678738,683988,682409,683235,686258,677802,673596,667673,660430,656532,651888,654047,655245,656631,657958,662843,663200,664582,664068,669030,669236,669803,674465,671212,679732,673007,667966,669455,667828,665467,674349,674614,675866,682390,686102,684892,683910,679954,687136,682813,685144,683320,683170,678062,681970,684481,675214,684314,685373,685549,689381,689048,687118,691606,690023,694066,695036,691062,690237,693564,696580,696746,688879,694677,694851,696636,694396,699259,698606,701506,707720,705336,701872
"81","73","        Food purchased for off-premises consumption","DFOFRX0",500471,503843,505462,507501,509646,508554,510450,512833,516364,511769,514727,535239,508872,515064,521800,523214,519686,525445,522306,521366,523286,526325,526030,528156,528324,523867,521892,528189,529036,525580,524793,526004,528595,526632,526140,530795,524301,524010,525265,520791,526508,527412,529323,527604,526668,531437,534827,534003,538522,538051,537066,539023,535747,538479,542607,545482,544771,543500,543761,539122,549675,545953,549360,549766,546326,546534,548110,551125,558406,555500,556953,562128,566836,568499,569255,570045,568382,572939,571670,576104,577991,581876,580530,580998,578337,584828,582944,586433,590194,587648,588292,590024,586767,595182,595075,602923,601275,598078,597745,595145,594920,595513,598148,594723,595988,596520,599429,601905,597488,594809,599004,598045,597675,600022,592192,588380,583880,578299,574817,571140,572877,574299,577098,577587,582463,583233,584535,584076,588587,588995,589164,592936,590172,597282,591178,586404,587726,586296,584130,592695,592399,593376,599359,601578,601601,600702,596556,603806,599780,601750,600707,600105,595110,599118,601602,593509,601385,602263,602391,606120,605599,604180,607847,606042,610928,611189,608028,607294,609374,612475,612594,605666,610083,610554,611368,609577,613734,613309,615761,622095,619429,615856
"82","74","          Cereals and bakery products","DCBPRX0",100276,101401,101614,101791,102322,102185,102521,104113,104747,104020,104980,108955,104126,105875,107505,107697,107198,109290,108467,108629,109590,109585,109708,110344,110621,110331,110343,111646,112105,111644,111775,111845,112820,113272,113118,114118,113058,113159,114157,113116,113774,113882,114449,114020,113612,114188,115375,115536,115714,115367,115105,115486,114191,115388,115916,116427,115736,115822,116015,115726,116961,116028,116744,116384,117096,116320,116463,116838,117382,117264,117770,118732,119123,118984,118824,120623,120242,121096,121398,121653,122611,123201,122999,124116,122850,124748,123684,124943,124998,124806,124386,124657,124050,125577,124549,125883,126160,124959,125370,124937,124526,124103,125042,124434,125155,125256,126130,126130,125908,123918,123397,123699,122245,123120,120931,120869,119749,118387,117863,116434,116623,117109,117493,117211,117931,118044,117389,117831,118679,118708,118824,119344,119367,120990,119533,119075,119570,119004,118903,120657,120553,121332,122808,123098,123093,124141,123999,125735,124794,124715,125281,124542,123532,123400,123215,121530,123288,122918,122873,123452,123036,123494,123693,123722,124639,124542,123707,123319,123431,124702,124692,122342,123182,122561,123254,122651,123457,123807,124548,127668,124004,124065
"83","75","            Cereals","DGRARX0",33355,33613,33342,33480,33500,33204,33368,33727,33686,33494,33756,34916,33303,33804,34037,34010,33541,34281,34089,34072,33993,33937,34034,34278,34343,34173,34087,34373,34301,33933,33853,33602,33779,33625,33369,33666,33105,33148,33166,32816,32967,33017,33056,33016,32846,32903,33119,33116,33425,33630,33505,34038,33773,34346,34647,34982,35216,35388,35351,35230,35557,35300,35984,36188,36284,35978,36274,36303,36246,36543,36849,36962,37381,37354,37308,37936,38150,38702,38796,38943,39321,39589,39879,39866,39959,41008,40644,40749,40976,41041,41150,41383,41546,42121,41710,42091,42600,41836,42164,41902,42077,42103,42472,42304,42235,42348,42582,42974,42694,41802,41405,41777,41283,41444,40747,40660,40268,39763,39532,39294,39538,39628,39734,39834,39998,40165,39698,39719,39858,39956,39965,40399,40409,40904,40507,40182,40527,40316,40250,40527,40667,40725,41557,41032,40816,40787,40482,41254,40671,40247,40807,40535,39992,40091,39840,39317,39858,40039,40115,40351,40143,40237,40590,40667,41266,41195,40884,40816,41177,41226,41525,40955,41041,40862,41134,41306,41532,41154,41481,41966,41569,41943
"84","76","            Bakery products","DBAKRX0",66679,67557,68083,68111,68640,68830,68995,70244,70948,70409,71110,73934,70729,71981,73406,73634,73639,74981,74345,74531,75607,75663,75684,76072,76288,76176,76281,77306,77854,77777,77997,78339,79147,79776,79895,80598,80116,80173,81174,80484,80994,81051,81587,81191,80956,81483,82464,82632,82482,81910,81776,81596,80557,81169,81386,81552,80602,80510,80745,80579,81491,80813,80821,80247,80867,80399,80236,80586,81199,80769,80963,81820,81781,81668,81553,82722,82116,82412,82620,82725,83304,83624,83127,84261,82895,83742,83041,84199,84024,83765,83234,83272,82503,83456,82838,83790,83560,83122,83205,83035,82449,82001,82571,82131,82920,82908,83547,83160,83215,82116,81990,81923,80963,81675,80183,80209,79481,78624,78330,77139,77084,77480,77759,77377,77933,77879,77690,78113,78822,78752,78859,78946,78960,80087,79027,78892,79044,78689,78654,80127,79885,80603,81255,82056,82264,83337,83499,84466,84104,84446,84456,83988,83519,83290,83355,82194,83410,82860,82740,83084,82875,83237,83087,83040,83364,83338,82812,82494,82255,83466,83164,81392,82139,81698,82121,81358,81937,82648,83066,85679,82439,82138
