"","Table 7#2#5B# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"34","15","      Trucks","B705RC1","6,912.0","7,078.0","7,272.0","7,370.0","6,602.0","6,386.0","6,508.0","5,335.0","6,188.0","6,925.0","7,443.0","8,436.0","9,069.0","9,639.0","9,132.0","9,896.0","11,349.0","10,994.0","11,096.0","11,417.0","11,564.0","11,967.0","11,832.0","11,084.0","9,003.0","8,489.0","9,285.0","9,975.0","10,825.0","11,637.0","13,327.0","12,724.0","15,667.0","16,106.0","15,905.0","17,710.0","18,213.0","20,516.0","19,898.0","22,109.0","22,836.0","22,332.0","22,345.0","21,055.0","18,789.0","16,248.0","17,778.0","16,957.0","17,612.0","19,157.0","18,945.0","18,550.0","19,815.0","18,518.0","17,137.0","17,198.0","18,839.0","19,679.0","22,060.0","26,010.0","27,417.0","29,501.0","29,638.0","31,128.0","32,366.0","33,500.0","33,567.0","36,031.0","30,938.0","31,148.0","31,214.0","30,324.0","29,828.0","33,428.0","33,761.0","32,832.0","32,946.0","32,720.0","33,165.0","36,256.0","34,223.0","35,060.0","33,657.0","31,381.0","32,431.0","30,981.0","31,144.0","29,925.0","28,096.0","29,208.0","30,717.0","32,207.0","33,097.0","36,609.0","38,593.0","41,285.0","43,373.0","48,317.0","49,799.0","54,616.0","59,675.0","59,353.0","62,929.0","67,729.0","70,946.0","68,989.0","71,566.0","75,357.0","77,525.0","80,018.0","85,498.0","90,369.0","90,628.0","90,057.0","94,368.0","99,096.0","100,007.0","108,748.0","102,383.0","115,892.0","119,788.0","119,006.0","128,534.0","128,216.0","128,067.0","121,666.0","118,875.0","105,678.0","107,852.0","102,862.0","100,011.0","100,409.0","95,869.0","98,151.0","103,016.0","98,196.0","90,164.0","92,948.0","102,348.0","107,464.0","106,864.0","111,301.0","124,192.0","129,432.0","125,525.0","132,573.0","142,427.0","136,347.0","151,043.0","144,649.0","143,841.0","146,690.0","143,571.0","132,661.0","134,336.0","131,913.0","128,827.0","110,156.0","96,442.0","75,335.0","59,290.0","61,825.0","66,529.0","78,518.0","87,593.0","94,182.0","101,791.0","108,298.0","116,074.0","114,211.0","129,775.0","132,355.0","131,435.0","137,594.0","138,827.0","140,526.0","146,663.0","152,838.0","152,875.0"
"35","16","        Light trucks (including utility vehicles)","B196RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12,787.0","14,641.0","14,971.0","15,162.0","16,336.0","16,003.0","16,838.0","17,329.0","15,827.0","15,995.0","16,351.0","15,101.0","17,489.0","17,060.0","17,117.0","16,779.0","16,290.0","17,829.0","18,536.0","18,955.0","19,552.0","21,288.0","21,358.0","23,010.0","23,462.0","27,147.0","27,307.0","30,441.0","35,634.0","35,311.0","37,415.0","40,808.0","41,214.0","40,500.0","43,078.0","46,188.0","51,244.0","53,857.0","59,640.0","66,104.0","67,705.0","67,398.0","70,526.0","73,379.0","72,931.0","80,617.0","71,319.0","82,118.0","86,183.0","85,568.0","93,951.0","93,094.0","94,416.0","89,901.0","90,284.0","81,204.0","84,516.0","81,259.0","80,050.0","81,143.0","77,716.0","77,084.0","79,669.0","75,451.0","72,065.0","72,722.0","80,726.0","84,244.0","81,270.0","84,392.0","94,513.0","97,211.0","91,073.0","98,002.0","107,383.0","100,925.0","113,110.0","106,057.0","105,304.0","107,449.0","107,128.0","102,711.0","107,706.0","106,208.0","103,710.0","84,859.0","72,730.0","51,559.0","41,686.0","45,302.0","48,389.0","57,039.0","65,799.0","71,280.0","76,367.0","82,640.0","86,283.0","82,081.0","95,274.0","94,519.0","91,856.0","96,131.0","99,352.0","103,446.0","109,962.0","113,063.0","113,606.0"
"36","17","        Other","B197RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","17,041.0","18,787.0","18,789.0","17,670.0","16,610.0","16,717.0","16,326.0","18,927.0","18,396.0","19,065.0","17,306.0","16,280.0","14,942.0","13,921.0","14,027.0","13,147.0","11,806.0","11,378.0","12,181.0","13,252.0","13,545.0","15,321.0","17,235.0","18,275.0","19,911.0","21,170.0","22,492.0","24,175.0","24,041.0","24,042.0","25,514.0","26,922.0","29,731.0","28,489.0","28,488.0","29,169.0","26,281.0","26,161.0","25,858.0","24,265.0","22,923.0","22,659.0","23,842.0","25,717.0","27,076.0","28,131.0","31,064.0","33,774.0","33,605.0","33,438.0","34,584.0","35,122.0","33,650.0","31,765.0","28,592.0","24,474.0","23,337.0","21,603.0","19,961.0","19,267.0","18,153.0","21,067.0","23,347.0","22,745.0","18,099.0","20,227.0","21,622.0","23,220.0","25,594.0","26,909.0","29,678.0","32,221.0","34,452.0","34,571.0","35,044.0","35,422.0","37,933.0","38,591.0","38,537.0","39,241.0","36,443.0","29,950.0","26,631.0","25,706.0","25,117.0","25,297.0","23,712.0","23,776.0","17,604.0","16,522.0","18,140.0","21,479.0","21,793.0","22,902.0","25,424.0","25,658.0","29,791.0","32,130.0","34,501.0","37,837.0","39,579.0","41,463.0","39,475.0","37,080.0","36,700.0","39,774.0","39,270.0"
"37","18","    Net purchases of used autos and used light trucks","W242RC1","-2,285.0","-2,413.0","-2,424.0","-2,550.0","-2,345.0","-2,721.0","-2,552.0","-1,662.0","-2,634.0","-2,271.0","-2,285.0","-2,231.0","-1,999.0","-2,230.0","-2,384.0","-2,851.0","-3,014.0","-3,029.0","-2,893.0","-2,396.0","-2,596.0","-2,943.0","-3,684.0","-3,509.0","-3,494.0","-3,767.0","-4,500.0","-4,479.0","-4,595.0","-4,866.0","-4,758.0","-4,789.0","-5,153.0","-5,159.0","-4,857.0","-4,983.0","-4,917.0","-5,642.0","-5,735.0","-6,114.0","-6,559.0","-6,456.0","-7,151.0","-6,458.0","-7,148.0","-5,989.0","-6,867.0","-7,433.0","-8,159.0","-7,594.0","-8,692.0","-7,499.0","-7,995.0","-8,409.0","-8,899.0","-9,068.0","-8,611.0","-8,760.0","-9,482.0","-11,003.0","-13,257.0","-15,071.0","-17,161.0","-16,219.0","-18,305.0","-18,517.0","-20,637.0","-16,760.0","-16,471.0","-17,319.0","-18,788.0","-16,831.0","-16,445.0","-18,966.0","-22,753.0","-24,961.0","-23,053.0","-23,136.0","-24,608.0","-24,116.0","-22,823.0","-26,471.0","-25,585.0","-23,658.0","-25,245.0","-25,086.0","-27,299.0","-27,633.0","-26,982.0","-28,356.0","-31,662.0","-30,233.0","-30,796.0","-35,101.0","-35,402.0","-37,406.0","-35,565.0","-40,024.0","-36,960.0","-39,232.0","-40,974.0","-40,535.0","-41,296.0","-43,999.0","-44,802.0","-44,115.0","-47,238.0","-47,497.0","-51,781.0","-55,196.0","-56,887.0","-53,506.0","-55,570.0","-54,291.0","-56,360.0","-59,217.0","-62,102.0","-69,331.0","-61,039.0","-69,363.0","-70,728.0","-69,456.0","-74,385.0","-75,585.0","-78,211.0","-74,431.0","-75,976.0","-71,404.0","-77,559.0","-73,558.0","-72,983.0","-67,748.0","-64,313.0","-73,711.0","-75,897.0","-72,255.0","-65,572.0","-60,610.0","-65,129.0","-64,891.0","-60,576.0","-63,383.0","-66,586.0","-66,784.0","-63,705.0","-66,166.0","-69,479.0","-67,830.0","-70,297.0","-66,194.0","-68,209.0","-70,312.0","-72,306.0","-71,149.0","-77,327.0","-74,223.0","-74,182.0","-75,831.0","-77,063.0","-68,609.0","-66,147.0","-72,611.0","-78,327.0","-93,883.0","-82,204.0","-73,529.0","-73,369.0","-69,020.0","-71,265.0","-66,103.0","-68,166.0","-65,354.0","-65,563.0","-63,361.0","-63,587.0","-74,162.0","-81,397.0","-81,649.0","-82,239.0"
"38","19","      Used autos","B140RC1","-2,257.0","-2,384.0","-2,395.0","-2,520.0","-2,318.0","-2,695.0","-2,526.0","-1,641.0","-2,609.0","-2,243.0","-2,256.0","-2,197.0","-1,964.0","-2,194.0","-2,347.0","-2,807.0","-2,959.0","-2,970.0","-2,826.0","-2,317.0","-2,512.0","-2,850.0","-3,580.0","-3,398.0","-3,393.0","-3,661.0","-4,377.0","-4,345.0","-4,452.0","-4,717.0","-4,598.0","-4,649.0","-5,012.0","-5,031.0","-4,730.0","-4,827.0","-4,729.0","-5,398.0","-5,471.0","-5,802.0","-6,247.0","-6,155.0","-6,832.0","-6,126.0","-6,821.0","-5,678.0","-6,496.0","-7,058.0","-7,757.0","-7,145.0","-8,245.0","-7,069.0","-7,551.0","-8,008.0","-8,539.0","-8,713.0","-8,057.0","-8,001.0","-8,577.0","-9,957.0","-12,125.0","-13,855.0","-15,930.0","-14,853.0","-16,626.0","-16,807.0","-18,596.0","-14,742.0","-14,568.0","-15,025.0","-15,828.0","-14,015.0","-13,521.0","-15,258.0","-18,736.0","-20,813.0","-18,540.0","-18,492.0","-19,946.0","-19,343.0","-18,148.0","-21,774.0","-20,245.0","-18,117.0","-18,022.0","-17,773.0","-19,784.0","-20,093.0","-19,822.0","-20,780.0","-23,060.0","-21,443.0","-20,937.0","-24,171.0","-23,674.0","-25,386.0","-23,984.0","-27,952.0","-25,355.0","-27,101.0","-29,322.0","-29,212.0","-30,407.0","-32,298.0","-32,986.0","-31,870.0","-34,151.0","-32,820.0","-34,406.0","-37,191.0","-38,324.0","-34,279.0","-38,775.0","-35,982.0","-35,870.0","-35,204.0","-36,560.0","-40,043.0","-36,876.0","-42,358.0","-39,061.0","-39,004.0","-39,886.0","-39,667.0","-42,286.0","-38,789.0","-39,458.0","-38,631.0","-39,750.0","-38,780.0","-36,458.0","-32,268.0","-32,058.0","-36,422.0","-36,982.0","-35,314.0","-32,912.0","-30,364.0","-31,724.0","-31,084.0","-30,038.0","-32,938.0","-33,067.0","-33,880.0","-33,320.0","-33,050.0","-33,948.0","-35,442.0","-33,544.0","-32,790.0","-33,987.0","-34,321.0","-34,086.0","-32,911.0","-35,109.0","-33,353.0","-35,070.0","-35,926.0","-36,723.0","-31,214.0","-27,604.0","-31,662.0","-35,141.0","-43,152.0","-39,267.0","-33,878.0","-33,040.0","-30,175.0","-34,083.0","-33,426.0","-32,376.0","-30,942.0","-34,107.0","-30,938.0","-29,806.0","-33,229.0","-34,543.0","-33,354.0","-33,995.0"
"39","20","      Used light trucks (including utility vehicles)","W243RC1","-28.0","-29.0","-29.0","-30.0","-27.0","-26.0","-26.0","-21.0","-25.0","-28.0","-29.0","-34.0","-35.0","-36.0","-37.0","-44.0","-55.0","-59.0","-67.0","-79.0","-84.0","-93.0","-104.0","-111.0","-101.0","-106.0","-123.0","-134.0","-143.0","-149.0","-160.0","-140.0","-141.0","-128.0","-127.0","-156.0","-188.0","-244.0","-264.0","-312.0","-312.0","-301.0","-319.0","-332.0","-327.0","-311.0","-371.0","-375.0","-402.0","-449.0","-447.0","-430.0","-444.0","-401.0","-360.0","-355.0","-554.0","-759.0","-905.0","-1,046.0","-1,132.0","-1,216.0","-1,231.0","-1,366.0","-1,679.0","-1,710.0","-2,041.0","-2,018.0","-1,903.0","-2,294.0","-2,960.0","-2,816.0","-2,924.0","-3,708.0","-4,017.0","-4,148.0","-4,513.0","-4,644.0","-4,662.0","-4,773.0","-4,675.0","-4,697.0","-5,340.0","-5,541.0","-7,223.0","-7,313.0","-7,515.0","-7,540.0","-7,160.0","-7,576.0","-8,602.0","-8,790.0","-9,859.0","-10,930.0","-11,728.0","-12,020.0","-11,581.0","-12,072.0","-11,605.0","-12,131.0","-11,652.0","-11,323.0","-10,889.0","-11,701.0","-11,816.0","-12,245.0","-13,087.0","-14,677.0","-17,375.0","-18,005.0","-18,563.0","-19,227.0","-16,795.0","-18,309.0","-20,490.0","-24,013.0","-25,542.0","-29,288.0","-24,163.0","-27,005.0","-31,667.0","-30,452.0","-34,499.0","-35,918.0","-35,925.0","-35,642.0","-36,518.0","-32,773.0","-37,809.0","-34,778.0","-36,525.0","-35,480.0","-32,255.0","-37,289.0","-38,915.0","-36,941.0","-32,660.0","-30,246.0","-33,405.0","-33,807.0","-30,538.0","-30,445.0","-33,519.0","-32,904.0","-30,385.0","-33,116.0","-35,531.0","-32,388.0","-36,753.0","-33,404.0","-34,222.0","-35,991.0","-38,220.0","-38,238.0","-42,218.0","-40,870.0","-39,112.0","-39,905.0","-40,340.0","-37,395.0","-38,543.0","-40,949.0","-43,186.0","-50,731.0","-42,937.0","-39,651.0","-40,329.0","-38,845.0","-37,182.0","-32,677.0","-35,790.0","-34,412.0","-31,456.0","-32,423.0","-33,781.0","-40,933.0","-46,854.0","-48,295.0","-48,244.0"
"40","21","  Gross government investment","AB64RC1","1,207.0","1,224.0","1,228.0","1,229.0","1,243.0","1,294.0","1,318.0","1,297.0","1,397.0","1,364.0","1,355.0","1,352.0","1,350.0","1,392.0","1,472.0","1,598.0","1,645.0","1,748.0","1,953.0","2,195.0","1,914.0","2,258.0","2,488.0","2,492.0","2,446.0","2,407.0","2,449.0","2,518.0","2,558.0","2,788.0","2,947.0","3,127.0","3,347.0","3,297.0","3,160.0","3,388.0","3,405.0","3,819.0","3,806.0","4,121.0","4,262.0","4,065.0","4,502.0","4,591.0","4,584.0","4,288.0","4,807.0","4,873.0","5,183.0","5,154.0","4,999.0","4,767.0","5,013.0","4,803.0","4,749.0","5,155.0","4,369.0","5,358.0","5,975.0","6,445.0","7,150.0","8,680.0","7,437.0","7,797.0","8,363.0","8,588.0","7,970.0","7,651.0","7,256.0","8,333.0","8,996.0","7,084.0","7,103.0","6,928.0","8,597.0","6,303.0","8,283.0","7,320.0","8,116.0","7,403.0","9,297.0","9,721.0","11,615.0","8,895.0","10,689.0","9,260.0","10,723.0","10,717.0","12,634.0","8,446.0","8,931.0","8,057.0","9,422.0","10,078.0","8,671.0","13,087.0","8,734.0","11,268.0","10,034.0","8,766.0","8,472.0","8,740.0","10,965.0","8,913.0","8,404.0","9,780.0","9,328.0","11,136.0","10,906.0","8,987.0","8,831.0","9,878.0","10,115.0","10,390.0","11,213.0","9,550.0","9,859.0","11,932.0","10,912.0","12,168.0","11,341.0","10,557.0","12,232.0","14,007.0","12,927.0","12,632.0","12,379.0","12,493.0","13,785.0","12,691.0","12,355.0","12,230.0","12,562.0","12,968.0","13,805.0","13,209.0","15,329.0","13,483.0","14,415.0","12,926.0","14,512.0","14,171.0","14,456.0","13,659.0","14,979.0","14,441.0","17,061.0","15,085.0","15,175.0","16,534.0","18,434.0","18,862.0","16,113.0","16,207.0","20,796.0","19,477.0","19,087.0","19,173.0","20,889.0","15,274.0","17,872.0","16,455.0","18,063.0","17,696.0","17,761.0","16,712.0","17,951.0","16,699.0","17,434.0","16,465.0","16,738.0","14,207.0","14,370.0","16,473.0","19,833.0","17,233.0","18,054.0","19,511.0","19,240.0"
"41","22","    Autos","B144RC1","456.0","475.0","486.0","499.0","502.0","530.0","525.0","475.0","575.0","558.0","570.0","577.0","586.0","600.0","603.0","623.0","600.0","590.0","584.0","567.0","617.0","670.0","734.0","703.0","690.0","716.0","752.0","738.0","773.0","795.0","825.0","879.0","1,047.0","1,040.0","1,004.0","1,037.0","1,103.0","1,235.0","1,290.0","1,319.0","1,349.0","1,270.0","1,386.0","1,259.0","1,359.0","1,294.0","1,396.0","1,479.0","1,690.0","1,543.0","1,435.0","1,383.0","1,459.0","1,505.0","1,611.0","1,721.0","1,549.0","1,490.0","1,652.0","1,661.0","1,767.0","1,931.0","1,947.0","1,862.0","2,105.0","1,870.0","1,705.0","1,756.0","2,039.0","1,697.0","1,799.0","1,965.0","1,871.0","2,038.0","1,928.0","2,005.0","2,547.0","2,173.0","2,330.0","2,582.0","2,720.0","3,055.0","2,835.0","2,438.0","3,131.0","2,913.0","2,981.0","3,871.0","3,365.0","2,628.0","2,575.0","2,484.0","2,806.0","3,318.0","3,529.0","3,611.0","3,295.0","3,309.0","3,252.0","2,867.0","3,214.0","3,338.0","3,572.0","3,237.0","3,094.0","3,747.0","3,392.0","4,033.0","3,644.0","3,044.0","3,059.0","3,917.0","3,310.0","3,068.0","2,984.0","3,235.0","3,103.0","3,607.0","3,287.0","3,388.0","3,383.0","3,239.0","3,355.0","3,845.0","3,181.0","3,261.0","3,771.0","3,311.0","3,033.0","3,529.0","3,677.0","3,429.0","3,250.0","3,124.0","3,311.0","3,478.0","3,534.0","3,216.0","3,131.0","3,293.0","3,395.0","3,211.0","3,007.0","3,530.0","3,974.0","3,391.0","3,729.0","3,569.0","3,663.0","4,172.0","4,333.0","4,352.0","4,067.0","4,512.0","4,047.0","4,592.0","4,382.0","4,097.0","4,158.0","3,830.0","3,887.0","3,277.0","3,604.0","3,465.0","3,153.0","3,702.0","3,181.0","3,297.0","3,350.0","3,550.0","3,312.0","2,890.0","2,628.0","2,686.0","3,084.0","2,840.0","2,738.0","2,673.0","2,838.0"
"42","23","    Trucks","B708RC1","751.0","749.0","742.0","730.0","741.0","764.0","793.0","822.0","822.0","806.0","785.0","775.0","764.0","792.0","869.0","975.0","1,045.0","1,158.0","1,369.0","1,628.0","1,297.0","1,588.0","1,754.0","1,789.0","1,756.0","1,691.0","1,697.0","1,780.0","1,785.0","1,993.0","2,122.0","2,248.0","2,300.0","2,257.0","2,156.0","2,351.0","2,302.0","2,584.0","2,516.0","2,802.0","2,913.0","2,795.0","3,116.0","3,332.0","3,225.0","2,994.0","3,411.0","3,394.0","3,493.0","3,611.0","3,564.0","3,384.0","3,554.0","3,298.0","3,138.0","3,434.0","2,820.0","3,868.0","4,323.0","4,784.0","5,383.0","6,749.0","5,490.0","5,935.0","6,258.0","6,718.0","6,265.0","5,895.0","5,217.0","6,636.0","7,197.0","5,119.0","5,232.0","4,890.0","6,669.0","4,298.0","5,736.0","5,147.0","5,786.0","4,821.0","6,577.0","6,666.0","8,780.0","6,457.0","7,558.0","6,347.0","7,742.0","6,846.0","9,269.0","5,818.0","6,356.0","5,573.0","6,616.0","6,760.0","5,142.0","9,476.0","5,439.0","7,959.0","6,782.0","5,899.0","5,258.0","5,402.0","7,393.0","5,676.0","5,310.0","6,033.0","5,936.0","7,103.0","7,262.0","5,943.0","5,772.0","5,961.0","6,805.0","7,322.0","8,229.0","6,315.0","6,756.0","8,325.0","7,625.0","8,780.0","7,958.0","7,318.0","8,877.0","10,162.0","9,746.0","9,371.0","8,608.0","9,182.0","10,752.0","9,162.0","8,678.0","8,801.0","9,312.0","9,844.0","10,494.0","9,731.0","11,795.0","10,267.0","11,284.0","9,633.0","11,117.0","10,960.0","11,449.0","10,129.0","11,005.0","11,050.0","13,332.0","11,516.0","11,512.0","12,362.0","14,101.0","14,510.0","12,046.0","11,695.0","16,749.0","14,885.0","14,705.0","15,076.0","16,731.0","11,444.0","13,985.0","13,178.0","14,459.0","14,231.0","14,608.0","13,010.0","14,770.0","13,402.0","14,084.0","12,915.0","13,426.0","11,317.0","11,742.0","13,787.0","16,749.0","14,393.0","15,316.0","16,838.0","16,402.0"
"43","24","  Net exports","AB63RC1","-1,660.0","-2,596.0","-2,816.0","-2,900.0","-2,976.0","-2,768.0","-2,908.0","-3,400.0","-3,584.0","-3,700.0","-4,560.0","-4,636.0","-4,800.0","-4,832.0","-4,428.0","-5,216.0","-4,952.0","-5,308.0","-5,028.0","-5,092.0","-5,184.0","-5,412.0","-5,340.0","-4,192.0","-3,228.0","-2,684.0","-3,392.0","-4,104.0","-5,824.0","-6,036.0","-5,476.0","-5,356.0","-5,661.0","-6,834.0","-8,225.0","-9,750.0","-10,103.0","-11,100.0","-10,790.0","-10,743.0","-9,729.0","-10,531.0","-9,972.0","-10,075.0","-12,735.0","-12,493.0","-14,479.0","-13,788.0","-13,255.0","-14,553.0","-13,766.0","-17,124.0","-19,480.0","-19,828.0","-20,495.0","-17,919.0","-20,925.0","-22,974.0","-21,897.0","-26,191.0","-29,244.0","-31,232.0","-31,081.0","-31,780.0","-32,050.0","-34,960.0","-36,367.0","-39,944.0","-40,162.0","-44,111.0","-49,264.0","-46,585.0","-46,581.0","-48,041.0","-46,611.0","-45,951.0","-44,102.0","-42,632.0","-41,189.0","-44,389.0","-41,094.0","-42,059.0","-36,203.0","-36,493.0","-38,087.0","-42,169.0","-42,690.0","-44,830.0","-38,462.0","-35,461.0","-39,660.0","-40,662.0","-40,735.0","-38,189.0","-35,771.0","-38,140.0","-43,855.0","-43,417.0","-43,295.0","-43,314.0","-41,229.0","-49,631.0","-51,126.0","-58,256.0","-55,870.0","-56,564.0","-49,246.0","-48,693.0","-50,910.0","-56,143.0","-56,627.0","-52,716.0","-62,150.0","-61,579.0","-61,233.0","-57,958.0","-61,994.0","-66,160.0","-66,543.0","-77,587.0","-86,676.0","-88,859.0","-94,665.0","-95,425.0","-101,226.0","-100,087.0","-104,162.0","-102,989.0","-103,916.0","-100,611.0","-100,519.0","-98,344.0","-101,573.0","-103,514.0","-106,573.0","-107,198.0","-99,886.0","-104,360.0","-98,974.0","-105,328.0","-107,287.0","-110,976.0","-106,418.0","-103,098.0","-97,915.0","-100,536.0","-102,157.0","-108,759.0","-111,997.0","-112,068.0","-105,988.0","-114,163.0","-101,780.0","-93,964.0","-100,578.0","-90,210.0","-93,639.0","-87,160.0","-66,183.0","-59,028.0","-40,449.0","-41,948.0","-59,998.0","-70,657.0","-65,210.0","-80,442.0","-80,908.0","-78,892.0","-80,325.0","-59,492.0","-81,067.0","-83,796.0","-93,087.0","-92,812.0","-100,989.0","-99,988.0","-90,642.0","-99,577.0","-110,063.0"
"44","25","    Exports","AB69RC1","1,496.0","1,596.0","1,608.0","1,600.0","1,248.0","1,712.0","1,556.0","1,148.0","1,716.0","1,948.0","1,972.0","1,588.0","1,776.0","1,932.0","2,092.0","2,336.0","2,620.0","2,612.0","2,620.0","3,000.0","3,392.0","3,496.0","3,792.0","4,232.0","4,340.0","4,944.0","5,536.0","5,520.0","5,060.0","5,268.0","5,324.0","5,692.0","5,891.0","5,716.0","5,593.0","5,475.0","5,755.0","6,667.0","6,697.0","7,776.0","8,028.0","8,541.0","8,419.0","9,545.0","8,249.0","7,411.0","7,044.0","8,270.0","8,173.0","8,221.0","8,658.0","7,300.0","6,026.0","6,804.0","6,131.0","5,611.0","5,789.0","6,695.0","7,339.0","7,982.0","7,989.0","7,622.0","8,209.0","8,514.0","8,927.0","9,272.0","10,281.0","10,319.0","10,374.0","11,629.0","10,195.0","10,258.0","10,745.0","12,099.0","10,783.0","13,855.0","13,456.0","13,690.0","15,224.0","14,921.0","18,649.0","14,179.0","14,515.0","15,908.0","16,050.0","15,382.0","13,275.0","12,255.0","17,007.0","16,263.0","17,886.0","16,529.0","17,451.0","18,713.0","20,262.0","21,146.0","19,441.0","19,882.0","18,470.0","21,898.0","22,331.0","22,305.0","23,860.0","22,285.0","24,960.0","22,806.0","24,180.0","23,633.0","25,050.0","23,726.0","26,185.0","25,809.0","25,390.0","26,344.0","28,016.0","28,010.0","28,750.0","25,966.0","23,210.0","25,609.0","24,882.0","25,630.0","24,813.0","25,833.0","27,586.0","27,005.0","25,070.0","24,842.0","22,865.0","25,585.0","26,794.0","26,300.0","26,757.0","28,830.0","29,350.0","30,727.0","31,493.0","33,430.0","30,287.0","34,179.0","32,271.0","34,955.0","39,019.0","39,904.0","43,109.0","42,712.0","43,589.0","46,471.0","48,863.0","47,698.0","49,903.0","49,863.0","54,057.0","60,996.0","62,193.0","65,860.0","64,548.0","68,172.0","71,740.0","56,829.0","34,139.0","32,870.0","42,490.0","50,396.0","53,034.0","54,014.0","54,514.0","58,361.0","62,077.0","66,002.0","69,028.0","69,542.0","73,545.0","74,630.0","72,505.0","73,526.0","75,597.0","78,816.0","77,323.0"
"45","26","      Autos","B142RC1","1,052.0","972.0","1,036.0","1,036.0","668.0","1,132.0","944.0","604.0","1,108.0","1,300.0","1,292.0","1,036.0","1,128.0","1,256.0","1,404.0","1,504.0","1,720.0","1,768.0","1,784.0","2,028.0","2,172.0","2,236.0","2,332.0","2,596.0","2,512.0","2,636.0","3,068.0","3,328.0","3,168.0","3,204.0","3,244.0","3,452.0","3,799.0","3,836.0","3,497.0","3,379.0","3,435.0","3,891.0","4,077.0","4,448.0","4,840.0","5,157.0","5,174.0","5,856.0","5,319.0","4,436.0","3,916.0","4,955.0","4,732.0","4,794.0","5,341.0","3,961.0","3,120.0","3,976.0","3,950.0","3,117.0","3,933.0","4,665.0","5,041.0","5,484.0","5,490.0","5,222.0","5,456.0","5,691.0","6,302.0","6,226.0","6,903.0","6,721.0","7,117.0","7,290.0","6,627.0","6,430.0","6,575.0","7,705.0","6,497.0","8,471.0","8,302.0","8,537.0","9,746.0","9,376.0","9,959.0","9,164.0","8,431.0","10,078.0","9,778.0","10,193.0","9,412.0","7,870.0","10,816.0","10,732.0","12,392.0","11,003.0","10,896.0","11,043.0","12,179.0","12,046.0","10,854.0","11,450.0","10,248.0","11,805.0","12,130.0","12,168.0","12,424.0","11,409.0","12,730.0","11,585.0","11,868.0","12,198.0","12,955.0","11,718.0","13,174.0","12,645.0","12,076.0","12,694.0","12,667.0","12,287.0","12,866.0","11,675.0","11,149.0","12,550.0","11,838.0","12,150.0","11,308.0","12,008.0","12,667.0","12,640.0","11,861.0","11,772.0","11,264.0","13,052.0","14,468.0","13,915.0","13,800.0","15,262.0","15,319.0","15,210.0","16,227.0","15,828.0","14,706.0","16,288.0","15,083.0","16,325.0","16,494.0","17,968.0","20,065.0","19,605.0","19,944.0","22,047.0","23,422.0","22,822.0","24,289.0","25,119.0","27,398.0","30,903.0","33,002.0","35,607.0","36,444.0","38,950.0","41,085.0","32,522.0","17,649.0","17,405.0","22,154.0","26,136.0","27,118.0","26,952.0","27,352.0","30,634.0","32,086.0","33,412.0","33,892.0","36,226.0","39,224.0","39,352.0","37,782.0","40,136.0","40,499.0","42,420.0","42,089.0"
