"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"75","66","      Inventory valuation adjustment","B058RC1",-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,14.1,15.7,-4,-16.8,8,-2.6,-11.3,-34.3,-30.7,-38,-47.2,-44.5,0.6,-39.1
"76","67","      Corporate capital consumption adjustment","A059RC1",9,8.1,7.8,9.8,9.1,5.6,-1.7,-4,-3,-4,-6.6,-10,4.2,14.6,33.3,54,75.1,61.1,61,58.9,51.5,35.7,27,24.6,28.7,41.6,50.2,57.7,69,73.8,79.7,63.6,63.4,109.4,85.6,51.8,-153.4,-176.4,-180.5,-67.1,-94.3,19.7
"77",NA,"  Sole proprietors and partnerships:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","68","    Proprietors' income with IVA and CCAdj","A1645C1",77.1,78,84.2,95.5,113,112.9,119.1,131.7,145.4,166.9,180.4,172.9,181,174.1,189.6,231.8,245.1,261.6,292.6,333,349.7,363.6,365.5,413,447.7,482.7,513.5,581.3,625.6,685.6,745.4,816.1,869.3,889,929.4,1031.4,1067.4,1130,1086.9,1093.7,935.3,1029.3
"79","69","      Farm proprietors' income with IVA and CCAdj","B042RC1",12.8,12.9,13.4,17,29.1,23.5,22,17.2,16,19.9,22.2,11.7,19,13.3,6.2,20.9,21,22.8,28.9,26.8,33,32.2,27.5,35.8,32,35.6,23.4,38.4,32.6,28.9,28.5,29.6,30.5,18.5,36.5,49.7,43.9,29.3,37.8,51.8,39.2,52.2
"80","70","        Proprietors' income with IVA","A043RC1",13.6,13.8,14.5,18.2,30.3,25.3,24.6,20.1,19.3,23.6,26.6,17.3,25.6,20.4,13.1,27.6,27.2,28.9,34.8,32.5,38.8,37.9,33.2,41.4,37.4,40.9,28.7,43.6,37.4,33.5,33,34.1,35,22.8,41,54.5,49.4,35.4,43.9,58.3,45.5,58
"81","71","        Capital consumption adjustment","B044RC1",-0.8,-0.9,-1.1,-1.2,-1.3,-1.8,-2.6,-2.9,-3.3,-3.7,-4.4,-5.6,-6.5,-7.1,-7,-6.7,-6.2,-6.1,-5.9,-5.7,-5.8,-5.7,-5.7,-5.6,-5.4,-5.3,-5.3,-5.1,-4.8,-4.6,-4.5,-4.5,-4.4,-4.4,-4.4,-4.9,-5.5,-6,-6.1,-6.5,-6.3,-5.8
"82","72","      Nonfarm proprietors' income with IVA and CCAdj","A1646C1",64.2,65.1,70.8,78.5,84,89.5,97.1,114.5,129.4,146.9,158.3,161.2,162,160.8,183.5,210.9,224.1,238.7,263.7,306.2,316.6,331.4,338,377.2,415.6,447.1,490.1,542.9,593,656.7,716.9,786.5,838.8,870.6,892.9,981.8,1023.5,1100.7,1049.1,1041.9,896.1,977.1
"83","73","        Proprietor's income (without IVA and CCAdj)","A1647C1",65,66.1,72,79.3,85.8,93.1,98.7,115.8,130.4,148.2,159.1,161.6,156.6,153.6,167.3,184.4,188.9,198.2,227.4,269.3,278.9,303,311.8,348.3,384.7,419.7,462.3,508.4,547.9,606.3,655.7,715.4,742.9,761.8,773.1,858.9,933.3,1000.6,955.6,880.6,739.8,785
"84","74","          Inventory valuation adjustment","B179RC1",-0.5,-0.5,-0.6,-0.7,-1.9,-3.4,-1.1,-1.1,-1.1,-1.9,-2.6,-2.9,-1.3,-0.5,-0.5,-0.4,-0.2,0,-0.8,-1.2,-1.3,-1.1,-0.1,-0.5,-0.4,-0.7,-1.5,-0.4,1,1.3,-0.9,-1.7,1,-0.4,-1.5,-4.2,-4.1,-3.6,-7,-6.3,0.2,-6
"85","75","          Capital consumption adjustment","A2205C1",-0.3,-0.4,-0.7,-0.1,0,-0.2,-0.5,-0.2,0.2,0.7,1.9,2.5,6.6,7.7,16.7,26.8,35.4,40.5,37.1,38.1,39.1,29.5,26.3,29.4,31.3,28.1,29.3,34.9,44.1,49.1,62,72.8,94.9,109.2,121.3,127.2,94.3,103.7,100.5,167.7,156.1,198.1
"86",NA,"  Other private business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","76","    Proprietors' income with IVA and CCAdj","A1654C1",0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.7,1,1.3,1,1,1.6,1.9,1.9,1.5,1.8,1.9,1.9,2.4,2.5,2.3,2.6,2,1.5,1.4,1.4,1.3,1.2,2.3,2.4,3,3.5,4.2,6,7.1
"88","77","      Proprietors' income with IVA","B1207C1",0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.6,1.9,1.6,1.6,2.2,2.5,2.6,2.2,2.5,2.6,2.6,3.1,3.2,3,3.3,2.6,2,1.9,2,1.8,1.8,2.9,3.1,3.7,4.4,5.2,6.9,8
"89","78","      Capital consumption adjustment","B1411C1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.6,-0.6,-0.7,-0.8,-0.9,-0.9,-0.9
"90","79","    Rental income of persons with CCAdj","W155RC1",6,6.2,6.3,7.3,8.7,8.5,8.7,8.7,9.5,10.1,11.4,14.3,20.1,24.2,25.8,28.5,32.5,29,27.4,25.8,25.3,29.2,34.4,42.1,47.6,52.1,56.1,58.4,61.3,60.7,60.5,60.7,64.6,58.8,55,55,56.8,59.4,71.1,96.2,107.8,113.6
"91","80","      Rental income of persons (without CCAdj)","W488RC1",7,7.2,7.4,8.6,10.2,10.4,10.9,11.2,12.4,13.7,15.6,19.2,25.6,30.1,31.7,34.6,38.7,35.4,34.1,32.7,32.6,36.6,41.8,49.6,55.3,60.1,64.5,67,70.2,70,70.3,71.1,75.6,70.1,67,68.4,71.6,75.6,87.7,112.5,122.8,128.2
"92","81","      Capital consumption adjustment","B050RC1",-0.9,-1,-1.1,-1.3,-1.6,-1.9,-2.3,-2.5,-2.9,-3.5,-4.2,-4.9,-5.5,-5.8,-5.9,-6,-6.1,-6.4,-6.7,-7,-7.2,-7.4,-7.4,-7.5,-7.8,-8,-8.4,-8.6,-8.9,-9.2,-9.7,-10.3,-11,-11.3,-12,-13.4,-14.8,-16.2,-16.6,-16.2,-15.1,-14.7
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","1. Prior to 1959, the current surplus of government enterprises (lines 18 and 40) is not available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","separately; the current surplus of government enterprises is included in line 17, taxes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","on production and imports less subsidies plus business current transfer payments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
