"","Table 1#6#7# Percent Change From Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"37","29","        Information processing equipment","Y034RV1",NA,14.8,7.7,2.7,-4.7,2.4,4.1,1.9,0,-2.3,-0.7,3.4,5.9,-4,4.9,7.8,14.9,2.6,2.5,-3.3,2.8,-3.6,-9.8,-5.8,5.3,3.8,1.7,1.9,-5.9,4.8,0.8,12.2,-1.7,-5.5,-0.7,3.1,11.7,-14.5,27.9,-4.2,11.9,-1.5,-1,18.2,-8.6,2.5,0.6,-0.7,0.2,1.7,2.7,1.5,-4.2,1.8,-2.7,-1.9,-1.9,2.3,-5.9,0.6,-3.1,-0.7,-4.6,-4.8,-4.7,-1.9,-2.8,-2.5,-0.2,-0.8,-4.2,-0.2,-1.9,-6.5,2.8,-10,-5.4,-5,-5.9,-2.7,0.2,0.1,1.6,-1.1,-2.9,-0.8,-0.7,2.6,1.1,0,0.9,1.5
"38","30","          Computers and peripheral equipment","B935RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.1,-50.1,-26.1,-58.6,264.1,-26.3,-36,-48.7,36.1,-72.8,12.6,-36.9,13.5,-50.1,-50.6,-40.7,-17,-18.3,-15.7,-8.1,-12.1,-34.1,-19.9,3.8,-36.9,25.7,-48.2,-28.7,-34.2,-35.7,-22.8,-15.6,-9.4,-1,-15,-20.4,-16.9,-18.8,-5.9,-6,-8.3,-10.5,-6.5
"39","31","          Other","A937RV1",NA,14.8,7.7,2.7,-4.7,2.4,4.1,1.9,0,-2.3,-0.7,3.4,5.9,-4.1,4.9,7.8,14.9,2.6,2.5,-3.3,2.8,-3.6,-9.8,-5.8,5.3,3.8,1.7,1.9,-5.9,4.8,0.8,12.2,-1.7,-5.5,-0.7,3.1,11.7,-14.5,27.9,-4.2,11.9,-1.5,-1,18.2,-8.7,2.5,0.7,-0.6,-0.2,1.8,3.2,2.3,-1.6,-1.4,-1.2,0.2,0.7,0.2,0.4,-0.2,-0.8,-1.2,0,1.2,1.2,0.9,-0.1,-0.5,0.7,0.9,1.5,3.1,-2.7,-0.1,-0.2,0.3,0.5,2.8,2.5,2.9,4.4,2.5,2.2,2.3,1.5,3.2,4,4.7,2.9,2,3.8,3.4
"40","32","        Industrial equipment","A680RV1",NA,19.3,8.1,12.4,-3.7,7.9,21.8,13.4,2.5,-1.2,-3.7,-6.9,5.8,7.1,17.5,19.8,27.7,1.4,-2.5,3.4,-4.3,8.9,-3.1,1.7,2.9,6.8,3.3,-0.4,7.4,-0.8,-5,1.3,6.6,3.5,6.8,16.5,6.9,16,7,12.5,8,-0.1,7.5,7.7,-2.1,2.3,1,0.7,1.8,3.8,4.1,2.9,2.3,0.7,0.4,-1,-1,-1.9,-0.9,-0.6,-0.5,1.1,1.6,0.8,-0.3,-0.4,0,0.7,1.1,1.1,1.5,1.7,1.4,1.5,1.5,1.6,2.1,3.2,4.7,5.4,4.7,3.7,3.5,3.7,3.4,5.6,5.1,5.1,1.9,1.6,3,4.8
"41","33","        Transportation equipment","A681RV1",NA,5.8,6,8.3,1.4,5.2,18.7,14.4,-1.5,1.3,-2.7,1.5,1.5,4.6,1.4,5.6,8.1,6.4,8,9.9,8.9,4.4,-0.1,-3.4,-6,-7,-1.4,-5.5,16.2,19.3,-9.3,2.4,-16.7,4.3,11.2,2.3,17.6,9.9,9.4,6.2,9.3,-0.1,-1.8,-6.2,8.7,3.9,-0.1,1.5,5.8,0.9,-0.2,0.1,-3.8,2.9,2.1,-1,0.3,-2.2,0,-2.4,-0.4,-2.1,1.1,-2.2,1.1,-1,-0.2,-1.8,-1.4,-0.2,0.2,-1.5,-0.5,1.4,-0.1,-2,-1.3,1.4,0.9,2.6,-0.1,1.7,2.8,4.8,0.8,3.2,2.8,4.3,-0.1,3.2,6.9,4
"42","34","        Other equipment","A862RV1",NA,34.6,15.6,-9.1,-3.5,29.3,18,-1.6,-2.5,8.4,2.1,-12,-3.8,14.2,12,15.4,5.5,8,-1,4.4,-0.9,-3.6,2.8,2.4,-1.3,5.5,3.7,3.4,0.3,2.9,-1.6,-5.6,2.5,0.5,7.4,9.8,-3.9,3.5,6.6,4.9,4.1,1.9,5.9,13,-3.7,0.8,-0.2,0.5,2.7,3,1.8,-0.7,1.3,2.6,1.5,2.2,-2.1,-1.6,1,-0.1,2.7,1.8,0.5,-0.4,1.2,-0.1,1.6,1.9,1.1,0.9,0.2,-1.6,2.9,0.4,2,1.7,1.5,3.5,2.7,5,3.5,2.6,2.3,3.3,3.4,4.9,5.2,3.9,3.1,3.1,2.6,3.2
"43","35","      Intellectual property products","Y001RV1",NA,4.2,8.7,9.6,1.3,6.8,5.5,-2.4,0.4,-2,-1.1,-0.2,0.3,4.6,9.2,9.7,4.4,6.4,3.4,3.4,-1.6,-0.1,1.7,0.9,3.8,1.6,1.1,-0.2,2.1,-0.7,0.2,0.5,7.2,1.1,2.7,2.7,5.5,4.2,4.1,2.7,4.3,2.5,2.4,1.1,4.8,1.9,1.2,1.2,-0.2,3.4,3,2.6,0.9,0.3,1.1,0.7,0.3,0.4,1.2,1,0,0.7,0,0.1,-1.2,0.5,1.4,1.9,1.7,2.1,1.2,0.2,-0.3,1.1,1.6,1.1,2.2,1.7,0.9,1.2,0.5,2.1,2.7,3.7,4.6,2.8,3,4.2,5.3,4.2,5.4,4.5
"44","36","        Software \1\","B985RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6,-1.4,-2.9,-8.3,-7.1,-5.6,-4.2,0.4,0.3,0.4,0.2,-8.6,-4,-5.1,-5.5,-3.2,-4.1,-1.9,-0.8,4.1,1.6,1.6,-0.7,-6,-2.7,-3.9,-3.4,-4.4,-2,-2.5,-1.8,-0.4,-1,-1.4,-0.3,0.7,0.1,1.2,1.4,0.6,-0.4,2.3,2.2
"45","37","        Research and development","Y006RV1",NA,2.8,5.6,8.4,11.1,6.6,2.6,-1.3,-5.3,-4.1,-1.2,1.4,4.1,6.4,8.6,10.7,12.6,8.4,4.8,1.4,-1.9,-0.8,0.3,1.4,2.6,1.4,0.3,-0.8,-1.8,-0.8,0.4,1.5,2.2,1.9,3.1,4,5,4.5,3.6,2.8,1.9,1.6,1.4,1.1,0.9,1.3,1.6,1.9,2.2,1.8,1.4,1.1,0.7,0.4,0.2,-0.1,-0.3,-0.1,0,0.2,0.3,0.1,-0.2,-0.5,-0.7,-0.2,0.2,0.7,1.2,0.5,-0.1,-0.8,-1.5,-0.9,-0.2,0.4,1,0.8,0.6,0.4,0.2,0.6,1.1,1.6,2.1,2.6,3.1,3.7,4.2,4.2,4.1,4.1
"46","38","        Entertainment, literary, and artistic originals","Y020RV1",NA,5.7,12.1,11.2,-9.2,7.1,9.3,-3.8,7,-0.1,-1.2,-1.8,-3.2,2.8,9.9,8.6,-5,3.8,1.6,6.3,-1.2,1,4.1,0,6.2,2,2.5,1,9.9,-0.5,0,-1.5,16.4,0.1,2,0.5,6.1,3.5,5,2.4,9.6,4.4,4.4,1,13,3.3,0.4,-0.1,-4.8,6.5,6.2,5.9,1.5,0.4,3.7,2.8,1.5,1.4,3.7,2.6,-0.2,2.6,0.8,1.8,-2,2.6,4.6,5.1,2.3,5.9,4.2,2.9,3.4,6.3,7,3.8,6.6,4.7,2.5,3.8,1.4,6.5,7.8,10,12.2,4.2,3.5,6.4,9.5,6.1,9.8,6.4
"47","39","    Residential","A011RV1",NA,24.1,9.1,10.3,7.4,4.4,9.5,2.2,3.2,-0.5,-9,0.2,-0.5,10.7,16.1,-0.7,13.8,4.7,2.1,3.7,2.1,3.5,3.8,-2.4,0.3,0.5,3.5,-1.6,-2.2,1.2,4.8,-0.2,1.8,3.4,2.8,0.2,3.3,6.2,0.7,-1.8,-1.2,1,2.8,-1.5,-1.8,0.4,0,0.3,0.6,0.3,-0.1,0.3,1.2,1.5,0.1,0.4,-1.3,1.6,0.1,-0.3,0.7,0,-0.2,-0.5,0.1,-1.6,-4.4,2.7,-3.7,6.6,1.3,8.9,-0.4,0.4,-0.2,11.3,-5.4,15.3,-2.4,9.1,0.8,1.2,2.3,7.5,7.3,3.6,0.2,16.7,8.4,5.9,1.7,6.1
"48","40","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","41","    Farm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","    Nonfarm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","Government consumption expenditures and gross investment","A822RV1",NA,-1,-7.6,5.1,7.2,5.1,8.3,2.5,6.1,-2.7,-3.5,4.8,-1.3,-1.4,7.8,3.2,18.4,-2.8,3,5.6,-3.6,5.2,4.6,4.4,-2.4,0.7,-1.1,1.7,2.4,4.1,2.6,3.5,2.1,7,4.3,4.7,6.9,6.3,3.7,2.4,7,4.1,2.6,3.2,2.7,3.7,2.8,1.9,1.8,-0.4,-0.3,0.3,1.4,0.6,4,3.7,0.2,2.4,0.1,2.2,3,1.9,1.2,1.4,6.2,0.8,-1.7,7.2,2.9,1,4,0.5,2.8,2.3,4.2,6.3,2.8,2.8,6.3,1.9,1.6,4.1,4.5,6.4,5,5.1,5.6,6.8,3.1,6.8,9,6
"52","44","  Federal","A823RV1",NA,-4.7,-15.6,0.4,2.5,3,4,0,13.1,-0.4,-5.2,10.2,0.4,-4.2,4.9,-2.6,21.3,-7.4,1.1,6,-5.2,5.3,3.2,6.1,-4.8,1.4,-1.3,2.8,4.1,2,2.7,3.9,4.5,9.9,3,4.6,5.6,6.9,1.9,1.6,8.7,3.1,3,5,4.6,3.7,3.3,2.5,-0.2,-0.7,-0.2,0.2,-0.4,-0.4,5.3,4.8,-1.5,1.3,-1.6,1.9,2.1,2.3,1.9,0.7,7.7,-0.3,-3.4,10,3.9,0.4,5.6,-0.6,1.4,2.1,4.6,8.9,0.7,0,7.1,0,-1.4,4.4,3.6,7.3,3.4,4.6,6.9,5.8,0.7,5.7,10.7,5
"53","45","    National defense","A824RV1",NA,-2.1,-27.9,-0.4,9.4,6,5.9,1,7.1,-1.5,-2.5,6.7,1.1,-2.4,8.8,1.2,11.1,-7,0.7,6,-7.3,5.4,3.1,6.1,-5.8,1.2,-2.3,2.7,5.4,1.5,3.6,4.2,3.4,10.4,5.2,5.1,6.4,6.7,2.2,2,9,2.3,3.2,4.5,4.5,3,4.4,2.1,-1.9,-0.3,0.9,0.4,-0.5,-0.6,3.9,5.1,-2.1,1.3,-2,1.8,1.8,2.6,2.1,-1.2,10.1,-0.4,-4.5,11.9,3.2,-0.8,5.5,-0.9,1.4,2.7,5.3,10.2,-0.5,-0.1,8.5,-0.8,-1.8,4.9,4.2,8.4,2.1,4.6,6.9,5.5,0.4,6.2,10.6,4.8
"54","46","      Consumption expenditures","A997RV1",NA,-2.4,-31,-1.5,10.2,6.1,4.8,1,7.3,-0.2,-2.7,8,0.5,-3.3,9.6,-2.4,11.2,-10.3,-0.2,5.9,-9.2,7.7,3.2,7.8,-5.3,2.3,-2.5,4.5,7,1.7,2.6,3.6,6.1,12.8,5,4.4,4.6,7.1,1.3,1.7,9.5,2.5,2.8,5,6.9,3.7,4.4,1.9,-2.8,-0.6,0.8,0.2,0,-1,4.5,7.3,-3.1,1.2,-2.9,1,3.8,3.3,1.4,-3.1,15.9,-1.1,-5.7,16.4,4.4,-1.5,7.5,-1.4,2.7,2.5,7.3,12.8,-0.2,-1.5,11.2,-1.6,-1.8,5.6,4.7,9.9,2.5,4.9,7.9,5.4,-0.3,5.5,12.8,4.5
"55","47","      Gross investment","A788RV1",NA,-0.2,6.1,6.1,2.5,4.9,11,1,6,-7,-2.1,0.9,3.4,1.7,4.4,20.9,10,6.4,2.9,6.2,-2.1,-0.7,2.9,1.6,-7,-1.5,-1.9,-2.2,1.3,0.7,6.6,5.8,-4,3.8,5.7,7.4,11.9,5.5,5.1,3,7.5,1.8,4.4,3.1,-2.2,1.3,4.3,2.8,0.6,0.6,1.2,0.8,-1.7,0.3,2.4,0.3,0.2,1.7,0.1,3.7,-2.4,1,3.8,3.3,-3,1.6,-1.2,0.9,0,1,0.1,0.5,-2.2,3.4,-0.5,1.7,-1.3,4.8,-0.1,2.2,-1.7,2.6,2.6,3.3,0.5,3.1,2.9,5.9,3.4,8.9,1.8,5.9
"56","48","    Nondefense","A825RV1",NA,-17.4,58,6.3,-22.5,-6.8,-0.7,-2.6,33.1,3,-12.1,21.1,-0.8,-8.2,-7.9,-17.9,82.4,-12.5,2.2,5,13.6,5.2,3.5,5.9,2.7,2.6,5.3,3.5,-4.2,5.4,-3.2,2.6,11.5,6.8,-9.1,1.3,0.8,7.9,0,-1.3,7.3,8.8,1.3,8.7,4.8,8.3,-3.2,5.4,10.5,-3,-5.3,-0.4,-0.3,0.5,12.7,3,1.8,1.2,0.3,2.4,3.3,1.2,0.8,9.2,-1.6,0.3,1.2,3.4,6.4,4.9,6.1,0.2,1.2,0.2,2.2,5.2,4.3,0.7,2.4,2.6,0.1,2.5,1.3,3,8.5,4.7,6.8,6.7,1.9,3.9,11.1,5.9
"57","49","      Consumption expenditures","A542RV1",NA,-20.2,54.5,13.4,-26.5,-9.1,-4.5,-2.9,38.6,2,-2.5,16.1,2.9,-8.4,-12.1,-29.3,123.5,-19.2,-1.3,10.2,17.3,3.4,2.6,8.5,2.4,5.6,5.1,5.7,-4.9,7.6,-4.5,4.1,14.1,7.5,-11.3,0.9,0,7.9,-1.4,-2.2,8.8,8.9,-0.7,11,10.4,9.6,-5.3,7.1,13.1,-4.4,-7.1,-0.5,-1.4,-0.1,17.8,4.2,3.4,1.5,-0.1,2.8,4,1.3,0.9,14,-2.5,0.2,2,3.8,9.3,6.1,10.8,0.8,2.5,1,3.4,8.7,6.8,-0.7,3.8,3.5,-1,3,0.9,3.8,11.6,5.4,9.1,8.6,0.4,3.1,14.5,5.9
"58","50","      Gross investment","A798RV1",NA,10.2,86.5,-21.7,-3.7,4.4,18.7,-1.3,10,8.4,-41.4,41.7,-9.3,-4.3,3.4,12.9,15.3,5,11,-6,4.7,10,6.2,-0.9,4.7,-8.1,6.8,-5.6,-1.3,-4.8,2.5,-4.5,-1.8,3.1,5.1,3.3,4.4,7.7,5.6,1.9,2.8,9,5.9,2.4,-7.6,4.7,1.6,1.5,3.8,1.9,1,-0.6,1.7,1.3,1.8,0.4,-1.1,1,1.2,1.3,1.8,1,0.6,0.8,0.3,0.7,0,2.9,2.4,3.2,0.1,-0.5,-0.5,-0.8,0.9,1.1,1.7,2.2,1,1.6,1.4,1.7,1.9,1.9,4.4,3.6,3.6,4.2,4,5.1,5.8,6
"59","51","  State and local","A829RV1",NA,6.9,9,13.6,15.3,8.8,15.5,6.7,-4.2,-6.2,-0.7,-2.8,-3.7,2.9,11.9,11.8,14.2,6.7,7.4,5.1,0.6,5,8.5,-0.2,4.3,-1.4,-0.3,-0.9,-1.4,9.4,2.4,2.4,-2.7,1.6,6.8,5,9.4,5.4,6.9,3.9,4,6,1.9,0,-0.3,3.7,2,0.9,5.3,0,-0.4,0.4,4.3,2,2.2,1.9,2.7,4.1,2.6,2.8,4.4,1.1,0.3,2.6,3.9,2.4,0.9,3.2,1.4,1.9,1.9,1.9,4.7,2.5,3.6,3.1,5.6,6.6,5.2,4.7,5.7,3.7,5.7,5.1,7.3,5.7,4.1,8.2,6.1,8.2,7,7.3
"60","52","      Consumption expenditures","A991RV1",NA,6.9,7.6,13.7,15.8,8.3,16.7,8.3,-4.1,-5.4,1.5,-2.1,0.7,4.5,10.7,8.7,10.3,4.5,7.3,6.2,3,4.6,8,3.3,4.2,0.4,-0.7,3.2,2.3,7.9,5.7,2.2,1,1.8,2.4,4.6,8.2,3,5.9,4.2,4.9,5.7,3.1,2.6,4,3.3,1.1,1.4,6.8,1.9,0.6,1.7,6.6,2.9,3,2.8,3.7,5.6,3.6,3.5,4.9,0.5,0.1,2.7,5.2,2.7,0.9,3.6,1.8,2.4,2.3,2.2,5.1,2.1,4.1,3.1,7,5.9,6.1,4.7,7.3,5.2,6.1,5.8,6.8,6.8,5.8,7.8,5.4,7.9,7.9,6.6
"61","53","      Gross investment","A799RV1",NA,7,14.4,13.1,13.4,10.1,11.9,1.6,-4.7,-8.4,-6,-4.4,-14.2,-1.2,15.2,20.1,24.5,12.2,7.6,2.6,-4.9,6,10,-8.2,4.5,-5.4,0.3,-9.7,-9,12.8,-4.4,2.8,-10.4,1.2,17.1,5.9,12,10.6,9.2,3.3,1.9,6.7,-0.3,-5.2,-8.8,4.5,3.9,-0.3,2.1,-4,-2.6,-2.3,-1,-0.1,0.2,0,0.2,0.5,0.2,1.1,3.4,2.5,0.9,2.2,0.8,1.7,0.8,2.2,0.5,0.9,0.9,1.3,3.8,3.6,2.5,2.8,2.6,8.3,3.1,4.4,2,0.2,4.9,3.6,8.5,3.2,0.1,9.4,7.7,9.2,4.5,9
"62",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","54","  Final sales of computers to domestic purchasers \2\","W489RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","55","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","56","  Food \3\","B981RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","57","  Energy goods and services","B982RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","58","  Gross domestic purchases excluding food and energy","B983RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","59","  Gross domestic product","A191RV1",NA,5.6,6.4,8.5,4.6,4.8,7.1,-0.2,-1.3,-2.5,-3,0.1,-1.3,1.7,8.6,6.5,14.1,2.3,1.3,5.4,0.5,1.6,3,1.4,0.5,0.9,1.5,1.2,1.7,0.8,-0.4,0.6,1.5,2.3,2.8,2.7,4,3.8,4.5,2.5,4.6,2.9,3.1,2.3,3.4,1.7,1,0.5,2,1.1,1.7,1.6,0.8,1.5,1.8,1.8,0.5,0.8,0.9,1,2,1.1,0.9,0.9,2,0.3,0.4,2.7,1.5,1.2,2,1.7,1.7,1.9,1.9,2.6,2.5,3.7,3.6,3.3,1.7,2.4,3.6,4.5,4.4,4.5,3.9,5.7,4.1,5.4,5.8,5.1
"69","60","      Gross domestic product excluding final sales of computers","BB00RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","61","      Food \3\","BB10RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","62","      Energy goods and services","BB11RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","63","      Gross domestic product excluding food and energy","BB03RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","64","  Final sales of domestic product","A190RV1",NA,5.5,5.9,9,4.4,4.7,7.3,0.2,-1.1,-2.4,-3.1,0.1,-1.2,1.8,8.6,6.2,13.9,2.2,1.6,5.5,0.6,1.7,3.1,1.6,0.6,1,1.6,1.3,1.6,0.8,-0.3,0.6,1.6,2.3,2.8,2.6,4,3.8,4.5,2.5,4.6,2.9,3.2,2.4,3.4,1.7,0.9,0.5,2.1,1.1,1.7,1.5,0.8,1.5,1.9,1.8,0.5,0.8,0.9,1,2.1,1.1,0.9,0.9,2,0.3,0.4,2.7,1.6,1.2,2,1.8,1.8,1.9,1.9,2.6,2.5,3.7,3.6,3.3,1.7,2.4,3.7,4.5,4.5,4.6,4,5.8,4.1,5.4,5.9,5.1
"74","65","  Final sales to domestic purchasers","A713RV1",NA,4.4,5.3,9.2,4.9,5.1,7.6,0.3,-1.1,-2.2,-2.8,0.4,-0.7,2.1,9,6.6,14.3,2.4,1.4,5.2,0.4,1.4,2.8,1.4,0.4,0.8,1.5,1.3,1.9,0.9,-0.2,0.6,1.3,2.2,2.7,2.6,3.9,3.8,4.4,2.5,4.4,2.8,3,2.2,3.2,1.6,0.9,0.5,2.2,1.1,1.6,1.5,0.7,1.5,1.8,1.8,0.4,0.6,0.9,0.8,1.8,1.3,0.9,1,2.1,0.4,0.6,2.7,1.7,1.4,1.9,1.6,1.5,1.9,2,2.9,2.2,3.8,3.3,3.1,1.3,2.4,3.8,4.4,4.5,4.3,4.3,5.8,3.9,5.5,5.7,5.1
