"","Table 3#2# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"44","25","Current transfer payments","W014RC1","61,000.0","64,332.0","64,968.0","67,888.0","69,740.0","81,004.0","81,968.0","85,356.0","87,992.0","96,612.0","95,964.0","99,612.0","103,372.0","110,540.0","104,828.0","127,300.0","122,620.0","124,780.0","124,612.0","126,316.0","133,032.0","144,608.0","148,616.0","155,764.0","168,704.0","189,524.0","187,348.0","190,744.0","194,187.0","193,851.0","203,931.0","206,455.0","206,852.0","209,820.0","218,920.0","220,524.0","227,568.0","229,832.0","237,020.0","241,084.0","242,747.0","246,971.0","264,199.0","269,655.0","279,949.0","284,601.0","316,381.0","322,509.0","322,196.0","323,421.0","339,861.0","338,836.0","343,274.0","350,684.0","364,737.0","382,852.0","379,593.0","387,725.0","382,202.0","386,834.0","389,716.0","393,905.0","395,074.0","409,177.0","413,426.0","416,327.0","422,905.0","426,605.0","433,140.0","445,503.0","454,863.0","447,631.0","445,540.0","453,509.0","451,829.0","459,379.0","475,442.0","475,331.0","483,230.0","493,491.0","509,859.0","512,995.0","527,969.0","538,143.0","556,626.0","570,360.0","575,221.0","582,069.0","528,443.0","588,210.0","624,771.0","653,213.0","698,166.0","714,833.0","723,757.0","744,088.0","748,668.0","758,219.0","770,392.0","792,035.0","785,045.0","793,960.0","804,046.0","827,439.0","835,561.0","841,154.0","848,139.0","850,103.0","882,814.0","888,913.0","890,254.0","903,933.0","910,398.0","913,353.0","918,845.0","940,634.0","939,356.0","939,431.0","949,733.0","967,918.0","973,611.0","975,950.0","989,048.0","1,006,421.0","1,006,698.0","1,027,098.0","1,046,540.0","1,070,012.0","1,096,366.0","1,118,575.0","1,135,439.0","1,168,465.0","1,209,869.0","1,234,831.0","1,243,164.0","1,262,622.0","1,285,363.0","1,329,382.0","1,341,940.0","1,354,945.0","1,380,924.0","1,384,803.0","1,389,191.0","1,417,661.0","1,464,827.0","1,463,000.0","1,483,273.0","1,508,261.0","1,554,262.0","1,576,162.0","1,592,892.0","1,586,239.0","1,660,926.0","1,660,138.0","1,681,918.0","1,712,198.0","1,751,202.0","2,085,643.0","1,873,427.0","1,874,050.0","1,998,783.0","2,197,128.0","2,177,313.0","2,198,545.0","2,318,536.0","2,311,317.0","2,346,336.0","2,356,691.0","2,336,659.0","2,359,199.0","2,306,503.0","2,305,640.0","2,288,613.0","2,290,041.0","2,303,185.0","2,321,530.0","2,328,210.0","2,339,231.0","2,360,983.0","2,355,588.0","2,390,261.0","2,429,775.0","2,471,685.0","2,484,012.0","2,539,424.0","2,541,949.0"
"45","26","  Government social benefits","W015RC1","45,124.0","45,924.0","46,720.0","47,596.0","48,912.0","58,212.0","57,704.0","60,600.0","61,784.0","68,700.0","68,048.0","69,032.0","71,140.0","71,188.0","71,236.0","81,716.0","83,312.0","84,772.0","86,228.0","88,496.0","95,068.0","101,976.0","107,852.0","113,512.0","122,348.0","136,116.0","138,816.0","139,996.0","143,703.0","142,095.0","147,911.0","150,271.0","152,312.0","151,432.0","157,088.0","159,256.0","161,188.0","160,676.0","168,640.0","171,104.0","175,335.0","178,683.0","193,215.0","197,035.0","205,397.0","210,677.0","239,093.0","240,193.0","244,575.0","245,779.0","263,727.0","265,947.0","269,249.0","276,457.0","291,657.0","306,577.0","305,890.0","311,042.0","304,886.0","307,054.0","309,904.0","312,060.0","312,788.0","318,900.0","327,182.0","328,126.0","331,602.0","332,610.0","342,653.0","346,285.0","351,945.0","353,761.0","357,785.0","361,801.0","362,217.0","364,065.0","379,517.0","380,641.0","383,949.0","387,665.0","408,783.0","413,227.0","418,995.0","426,411.0","443,404.0","449,576.0","454,184.0","465,568.0","487,124.0","497,272.0","501,056.0","515,596.0","545,643.0","557,455.0","561,819.0","566,999.0","583,294.0","588,338.0","592,070.0","595,994.0","608,392.0","612,876.0","616,784.0","625,256.0","643,696.0","651,904.0","657,032.0","662,904.0","682,623.0","688,159.0","691,311.0","696,483.0","712,248.0","715,512.0","716,960.0","718,120.0","727,885.0","728,953.0","731,597.0","732,941.0","743,966.0","747,122.0","749,674.0","752,762.0","765,325.0","781,549.0","786,277.0","795,289.0","826,700.0","840,380.0","858,936.0","874,776.0","904,441.0","930,077.0","934,245.0","939,649.0","957,066.0","974,114.0","984,366.0","994,802.0","1,015,633.0","1,024,293.0","1,033,597.0","1,047,241.0","1,077,757.0","1,087,713.0","1,102,237.0","1,114,833.0","1,185,345.0","1,197,097.0","1,206,477.0","1,217,553.0","1,253,455.0","1,269,663.0","1,284,735.0","1,302,251.0","1,336,813.0","1,676,653.0","1,460,753.0","1,445,901.0","1,538,224.0","1,664,776.0","1,652,936.0","1,672,972.0","1,768,750.0","1,770,698.0","1,776,226.0","1,782,050.0","1,786,817.0","1,793,921.0","1,799,321.0","1,807,661.0","1,791,993.0","1,795,723.0","1,803,648.0","1,814,814.0","1,835,063.0","1,834,930.0","1,844,965.0","1,853,019.0","1,868,426.0","1,894,786.0","1,905,542.0","1,918,346.0","1,955,523.0","1,974,862.0"
"46","27","    To persons","B087RC1","44,568.0","45,348.0","46,124.0","46,984.0","48,276.0","57,476.0","56,948.0","59,844.0","61,024.0","67,868.0","67,228.0","68,200.0","70,224.0","70,240.0","70,336.0","80,620.0","82,180.0","83,628.0","85,060.0","87,308.0","94,116.0","100,656.0","106,388.0","111,960.0","120,540.0","134,168.0","136,776.0","137,844.0","141,335.0","139,635.0","145,351.0","147,699.0","149,804.0","148,924.0","154,440.0","156,604.0","158,532.0","157,980.0","165,876.0","168,252.0","172,487.0","175,691.0","190,075.0","193,819.0","202,137.0","207,265.0","235,429.0","236,357.0","240,519.0","241,591.0","259,283.0","261,483.0","265,229.0","272,217.0","287,521.0","302,561.0","302,182.0","307,406.0","301,314.0","303,470.0","306,372.0","308,380.0","309,132.0","315,076.0","323,206.0","324,154.0","327,538.0","328,510.0","338,329.0","341,993.0","347,797.0","348,933.0","353,553.0","357,585.0","357,893.0","359,717.0","375,041.0","376,093.0","379,341.0","382,977.0","403,927.0","408,343.0","413,687.0","420,931.0","437,452.0","443,356.0","447,872.0","459,396.0","481,012.0","491,288.0","495,124.0","508,536.0","539,955.0","550,499.0","555,503.0","561,059.0","577,642.0","582,002.0","585,686.0","589,570.0","601,752.0","606,152.0","609,972.0","618,128.0","637,580.0","644,924.0","650,032.0","655,828.0","674,991.0","680,667.0","683,711.0","688,911.0","704,464.0","707,548.0","709,184.0","710,244.0","719,697.0","720,665.0","723,465.0","724,717.0","735,530.0","738,630.0","741,090.0","744,162.0","756,821.0","772,861.0","777,541.0","786,545.0","817,332.0","831,040.0","849,432.0","865,236.0","894,881.0","920,421.0","924,545.0","929,953.0","947,102.0","964,050.0","974,250.0","984,586.0","1,005,101.0","1,013,725.0","1,023,005.0","1,036,325.0","1,066,669.0","1,076,541.0","1,090,933.0","1,103,457.0","1,173,089.0","1,184,725.0","1,194,069.0","1,204,881.0","1,240,303.0","1,256,323.0","1,271,311.0","1,288,903.0","1,323,105.0","1,657,169.0","1,446,621.0","1,431,321.0","1,522,888.0","1,647,956.0","1,637,064.0","1,656,936.0","1,752,482.0","1,754,230.0","1,759,582.0","1,765,362.0","1,769,829.0","1,776,849.0","1,782,205.0","1,790,525.0","1,774,314.0","1,777,822.0","1,785,591.0","1,796,651.0","1,816,510.0","1,816,131.0","1,825,993.0","1,834,023.0","1,849,098.0","1,875,343.0","1,886,023.0","1,898,763.0","1,935,712.0","1,954,868.0"
"47","28","    To the rest of the world \8\","W016RC1","556.0","576.0","596.0","612.0","636.0","736.0","756.0","756.0","760.0","832.0","820.0","832.0","916.0","948.0","900.0","1,096.0","1,132.0","1,144.0","1,168.0","1,188.0","952.0","1,320.0","1,464.0","1,552.0","1,808.0","1,948.0","2,040.0","2,152.0","2,368.0","2,460.0","2,560.0","2,572.0","2,508.0","2,508.0","2,648.0","2,652.0","2,656.0","2,696.0","2,764.0","2,852.0","2,848.0","2,992.0","3,140.0","3,216.0","3,260.0","3,412.0","3,664.0","3,836.0","4,056.0","4,188.0","4,444.0","4,464.0","4,020.0","4,240.0","4,136.0","4,016.0","3,708.0","3,636.0","3,572.0","3,584.0","3,532.0","3,680.0","3,656.0","3,824.0","3,976.0","3,972.0","4,064.0","4,100.0","4,324.0","4,292.0","4,148.0","4,828.0","4,232.0","4,216.0","4,324.0","4,348.0","4,476.0","4,548.0","4,608.0","4,688.0","4,856.0","4,884.0","5,308.0","5,480.0","5,952.0","6,220.0","6,312.0","6,172.0","6,112.0","5,984.0","5,932.0","7,060.0","5,688.0","6,956.0","6,316.0","5,940.0","5,652.0","6,336.0","6,384.0","6,424.0","6,640.0","6,724.0","6,812.0","7,128.0","6,116.0","6,980.0","7,000.0","7,076.0","7,632.0","7,492.0","7,600.0","7,572.0","7,784.0","7,964.0","7,776.0","7,876.0","8,188.0","8,288.0","8,132.0","8,224.0","8,436.0","8,492.0","8,584.0","8,600.0","8,504.0","8,688.0","8,736.0","8,744.0","9,368.0","9,340.0","9,504.0","9,540.0","9,560.0","9,656.0","9,700.0","9,696.0","9,964.0","10,064.0","10,116.0","10,216.0","10,532.0","10,568.0","10,592.0","10,916.0","11,088.0","11,172.0","11,304.0","11,376.0","12,256.0","12,372.0","12,408.0","12,672.0","13,152.0","13,340.0","13,424.0","13,348.0","13,708.0","19,484.0","14,132.0","14,580.0","15,336.0","16,820.0","15,872.0","16,036.0","16,268.0","16,468.0","16,644.0","16,688.0","16,988.0","17,072.0","17,116.0","17,136.0","17,679.0","17,902.0","18,057.0","18,163.0","18,552.0","18,799.0","18,972.0","18,996.0","19,328.0","19,444.0","19,519.0","19,584.0","19,811.0","19,994.0"
"48","29","  Other current transfer payments","W010RC1","15,876.0","18,408.0","18,248.0","20,292.0","20,828.0","22,792.0","24,264.0","24,756.0","26,208.0","27,912.0","27,916.0","30,580.0","32,232.0","39,352.0","33,592.0","45,584.0","39,308.0","40,008.0","38,384.0","37,820.0","37,964.0","42,632.0","40,764.0","42,252.0","46,356.0","53,408.0","48,532.0","50,748.0","50,484.0","51,756.0","56,020.0","56,184.0","54,540.0","58,388.0","61,832.0","61,268.0","66,380.0","69,156.0","68,380.0","69,980.0","67,412.0","68,288.0","70,984.0","72,620.0","74,552.0","73,924.0","77,288.0","82,316.0","77,621.0","77,642.0","76,134.0","72,889.0","74,025.0","74,227.0","73,080.0","76,275.0","73,703.0","76,684.0","77,316.0","79,780.0","79,812.0","81,845.0","82,286.0","90,277.0","86,244.0","88,201.0","91,303.0","93,995.0","90,487.0","99,218.0","102,918.0","93,870.0","87,755.0","91,708.0","89,612.0","95,314.0","95,925.0","94,690.0","99,281.0","105,826.0","101,076.0","99,768.0","108,974.0","111,732.0","113,223.0","120,784.0","121,037.0","116,501.0","41,319.0","90,938.0","123,715.0","137,617.0","152,523.0","157,378.0","161,938.0","177,089.0","165,374.0","169,881.0","178,322.0","196,041.0","176,653.0","181,084.0","187,262.0","202,183.0","191,865.0","189,250.0","191,107.0","187,199.0","200,191.0","200,754.0","198,943.0","207,450.0","198,150.0","197,841.0","201,885.0","222,514.0","211,471.0","210,478.0","218,136.0","234,977.0","229,645.0","228,828.0","239,374.0","253,659.0","241,373.0","245,550.0","260,263.0","274,723.0","269,666.0","278,195.0","276,503.0","293,689.0","305,428.0","304,754.0","308,919.0","322,973.0","328,298.0","355,268.0","357,574.0","360,144.0","365,291.0","360,510.0","355,594.0","370,420.0","387,070.0","375,288.0","381,037.0","393,428.0","368,917.0","379,066.0","386,415.0","368,686.0","407,470.0","390,475.0","397,183.0","409,947.0","414,389.0","408,990.0","412,674.0","428,149.0","460,558.0","532,352.0","524,377.0","525,573.0","549,786.0","540,619.0","570,109.0","574,640.0","549,843.0","565,279.0","507,182.0","497,980.0","496,620.0","494,318.0","499,537.0","506,716.0","493,147.0","504,302.0","516,017.0","502,569.0","521,835.0","534,988.0","566,143.0","565,665.0","583,901.0","567,087.0"
"49","30","    Grants-in-aid to state and local governments","B089RC1","12,228.0","13,092.0","14,176.0","15,144.0","16,584.0","17,860.0","19,172.0","19,752.0","20,512.0","22,052.0","22,352.0","23,652.0","24,440.0","32,708.0","25,616.0","39,288.0","34,348.0","33,408.0","32,604.0","33,596.0","33,312.0","34,108.0","35,404.0","36,808.0","39,256.0","44,344.0","44,972.0","45,932.0","47,048.0","47,816.0","48,724.0","52,720.0","50,724.0","53,724.0","57,292.0","57,300.0","61,508.0","64,092.0","63,416.0","64,912.0","62,112.0","62,640.0","65,236.0","65,932.0","66,692.0","68,184.0","70,744.0","73,140.0","71,465.0","71,370.0","68,818.0","65,985.0","65,837.0","67,331.0","65,576.0","66,299.0","67,223.0","69,160.0","68,404.0","66,972.0","71,308.0","73,097.0","70,670.0","74,281.0","74,804.0","75,337.0","76,431.0","78,103.0","79,739.0","83,790.0","86,670.0","79,502.0","76,895.0","80,180.0","78,228.0","78,226.0","84,105.0","84,114.0","87,037.0","87,690.0","88,736.0","89,128.0","94,962.0","94,536.0","99,915.0","103,196.0","105,489.0","108,829.0","115,627.0","120,538.0","127,031.0","132,893.0","136,179.0","139,022.0","145,046.0","146,477.0","148,778.0","151,381.0","157,214.0","165,477.0","162,397.0","164,912.0","167,274.0","172,811.0","175,585.0","174,798.0","175,831.0","171,691.0","177,147.0","185,470.0","182,879.0","180,330.0","184,594.0","184,233.0","187,473.0","196,266.0","197,347.0","197,010.0","201,788.0","207,049.0","214,719.0","211,806.0","223,124.0","226,970.0","224,473.0","227,390.0","239,502.0","241,060.0","253,980.0","262,211.0","258,466.0","270,372.0","273,615.0","285,449.0","289,986.0","299,666.0","298,245.0","324,865.0","328,942.0","334,792.0","327,171.0","333,546.0","328,021.0","340,063.0","341,852.0","343,726.0","342,540.0","345,295.0","338,657.0","342,067.0","347,360.0","335,046.0","356,790.0","358,768.0","359,810.0","360,514.0","364,007.0","368,521.0","369,297.0","382,195.0","415,957.0","476,090.0","461,868.0","478,326.0","492,162.0","492,250.0","517,234.0","519,520.0","494,724.0","500,789.0","452,083.0","442,204.0","439,702.0","439,060.0","443,024.0","454,114.0","440,467.0","450,519.0","458,393.0","451,136.0","468,645.0","484,161.0","514,061.0","512,463.0","525,513.0","520,245.0"
"50","31","    To the rest of the world \6,8\","W017RC1","3,648.0","5,316.0","4,072.0","5,148.0","4,244.0","4,932.0","5,092.0","5,004.0","5,696.0","5,860.0","5,564.0","6,928.0","7,792.0","6,644.0","7,976.0","6,296.0","4,960.0","6,600.0","5,780.0","4,224.0","4,652.0","8,524.0","5,360.0","5,444.0","7,100.0","9,064.0","3,560.0","4,816.0","3,436.0","3,940.0","7,296.0","3,464.0","3,816.0","4,664.0","4,540.0","3,968.0","4,872.0","5,064.0","4,964.0","5,068.0","5,300.0","5,648.0","5,748.0","6,688.0","7,860.0","5,740.0","6,544.0","9,176.0","6,156.0","6,272.0","7,316.0","6,904.0","8,188.0","6,896.0","7,504.0","9,976.0","6,480.0","7,524.0","8,912.0","12,808.0","8,504.0","8,748.0","11,616.0","15,996.0","11,440.0","12,864.0","14,872.0","15,892.0","10,748.0","15,428.0","16,248.0","14,368.0","10,860.0","11,528.0","11,384.0","17,088.0","11,820.0","10,576.0","12,244.0","18,136.0","12,340.0","10,640.0","14,012.0","17,196.0","13,308.0","17,588.0","15,548.0","7,672.0","-74,308.0","-29,600.0","-3,316.0","4,724.0","16,344.0","18,356.0","16,892.0","30,612.0","16,596.0","18,500.0","21,108.0","30,564.0","14,256.0","16,172.0","19,988.0","29,372.0","16,280.0","14,452.0","15,276.0","15,508.0","23,044.0","15,284.0","16,064.0","27,120.0","13,556.0","13,608.0","14,412.0","26,248.0","14,124.0","13,468.0","16,348.0","27,928.0","14,926.0","17,022.0","16,250.0","26,689.0","16,900.0","18,159.0","20,761.0","33,663.0","15,686.0","15,984.0","18,037.0","23,317.0","31,813.0","19,305.0","18,933.0","23,307.0","30,053.0","30,403.0","28,632.0","25,352.0","38,120.0","26,964.0","27,573.0","30,357.0","45,218.0","31,562.0","38,497.0","48,133.0","30,260.0","36,998.0","39,055.0","33,640.0","50,680.0","31,707.0","37,373.0","49,433.0","50,382.0","40,469.0","43,377.0","45,954.0","44,601.0","56,262.0","62,509.0","47,247.0","57,623.0","48,369.0","52,876.0","55,120.0","55,118.0","64,489.0","55,099.0","55,775.0","56,919.0","55,257.0","56,513.0","52,602.0","52,680.0","53,782.0","57,624.0","51,433.0","53,190.0","50,828.0","52,082.0","53,202.0","58,388.0","46,842.0"
"51","32","Interest payments \4\","A091RC1","25,660.0","26,664.0","27,824.0","29,708.0","31,524.0","32,880.0","34,272.0","34,644.0","34,744.0","34,756.0","35,408.0","36,032.0","36,528.0","37,184.0","37,892.0","38,916.0","40,944.0","42,644.0","44,196.0","45,380.0","46,184.0","47,376.0","48,860.0","49,516.0","50,292.0","51,468.0","53,036.0","55,072.0","56,872.0","58,092.0","59,440.0","61,180.0","62,044.0","63,776.0","65,780.0","69,444.0","73,960.0","77,340.0","80,944.0","84,204.0","87,564.0","89,912.0","92,276.0","96,072.0","102,252.0","107,264.0","108,068.0","112,532.0","126,032.0","129,536.0","135,744.0","142,404.0","146,800.0","150,908.0","155,932.0","157,084.0","158,888.0","163,136.0","170,052.0","175,808.0","182,800.0","188,412.0","198,788.0","205,308.0","208,260.0","213,144.0","214,520.0","219,044.0","222,568.0","224,276.0","224,708.0","225,264.0","226,988.0","229,136.0","233,152.0","239,984.0","244,124.0","244,608.0","248,860.0","254,068.0","263,236.0","269,260.0","271,388.0","274,756.0","280,316.0","285,016.0","293,212.0","297,640.0","300,884.0","304,124.0","304,380.0","308,044.0","306,436.0","307,912.0","307,676.0","305,524.0","310,764.0","311,852.0","312,504.0","310,636.0","309,236.0","316,624.0","323,992.0","333,508.0","344,356.0","352,040.0","355,632.0","357,276.0","359,124.0","357,216.0","361,172.0","362,440.0","362,184.0","364,768.0","367,076.0","368,372.0","368,336.0","367,648.0","366,204.0","360,088.0","353,188.0","352,736.0","349,948.0","352,864.0","355,028.0","355,900.0","353,092.0","350,892.0","346,564.0","336,360.0","326,276.0","315,700.0","302,668.0","306,260.0","301,440.0","300,312.0","292,848.0","291,392.0","291,188.0","294,984.0","299,600.0","299,600.0","309,832.0","315,264.0","321,344.0","342,152.0","343,224.0","370,996.0","354,988.0","375,360.0","390,152.0","368,884.0","390,804.0","430,044.0","411,672.0","400,344.0","400,620.0","401,932.0","413,628.0","335,676.0","305,044.0","372,040.0","372,656.0","364,724.0","360,784.0","385,192.0","381,244.0","395,080.0","409,312.0","456,567.0","420,952.0","415,854.0","413,073.0","426,933.0","395,761.0","455,748.0","401,859.0","414,253.0","423,310.0","424,856.0","433,825.0","448,208.0","445,902.0","432,319.0","382,608.0","457,225.0"
"52","33","  To persons and business \4\","B092RC1","24,908.0","25,900.0","27,040.0","28,900.0","30,776.0","31,980.0","33,264.0","33,504.0","33,540.0","33,276.0","33,460.0","33,656.0","34,192.0","34,796.0","35,288.0","36,040.0","37,776.0","38,996.0","40,344.0","41,444.0","42,488.0","43,372.0","44,724.0","45,164.0","45,784.0","47,272.0","48,676.0","50,804.0","52,832.0","54,020.0","55,020.0","56,632.0","57,540.0","58,972.0","60,524.0","63,060.0","66,580.0","69,428.0","72,840.0","74,668.0","77,032.0","79,588.0","81,852.0","85,124.0","90,708.0","96,220.0","96,692.0","99,032.0","110,832.0","113,096.0","119,072.0","125,612.0","129,128.0","133,768.0","137,416.0","138,448.0","140,976.0","145,292.0","152,044.0","157,332.0","163,968.0","169,052.0","178,156.0","183,464.0","186,228.0","191,192.0","192,224.0","196,708.0","199,104.0","201,176.0","201,216.0","201,944.0","202,924.0","204,980.0","209,660.0","215,280.0","217,968.0","216,452.0","218,972.0","223,248.0","229,632.0","235,016.0","236,160.0","239,668.0","244,864.0","249,268.0","257,056.0","260,732.0","263,832.0","267,928.0","268,152.0","273,244.0","272,060.0","273,540.0","273,368.0","271,492.0","276,792.0","278,020.0","277,848.0","276,440.0","275,176.0","281,852.0","287,748.0","293,164.0","303,724.0","306,072.0","305,684.0","305,476.0","305,724.0","302,184.0","304,688.0","300,300.0","296,168.0","295,808.0","296,048.0","295,608.0","295,976.0","294,852.0","294,408.0","288,704.0","283,364.0","285,168.0","284,520.0","288,696.0","291,064.0","290,280.0","288,888.0","287,140.0","284,736.0","277,068.0","271,592.0","263,168.0","252,564.0","257,148.0","252,904.0","250,796.0","244,296.0","245,092.0","243,904.0","247,420.0","250,348.0","245,128.0","253,296.0","256,256.0","258,112.0","275,808.0","274,592.0","297,236.0","276,348.0","290,192.0","302,608.0","276,744.0","294,116.0","328,888.0","313,076.0","300,616.0","302,280.0","303,648.0","318,924.0","238,800.0","209,952.0","283,380.0","286,980.0","278,776.0","272,712.0","295,040.0","286,436.0","297,792.0","312,276.0","359,047.0","322,524.0","318,978.0","318,975.0","334,349.0","299,069.0","355,558.0","303,172.0","316,124.0","328,106.0","330,695.0","340,338.0","355,461.0","351,177.0","337,716.0","288,643.0","361,865.0"
"53","34","  To the rest of the world","B093RC1","752.0","764.0","784.0","808.0","748.0","900.0","1,008.0","1,140.0","1,204.0","1,480.0","1,948.0","2,376.0","2,336.0","2,388.0","2,604.0","2,876.0","3,168.0","3,648.0","3,852.0","3,936.0","3,696.0","4,004.0","4,136.0","4,352.0","4,508.0","4,196.0","4,360.0","4,268.0","4,040.0","4,072.0","4,420.0","4,548.0","4,504.0","4,804.0","5,256.0","6,384.0","7,380.0","7,912.0","8,104.0","9,536.0","10,532.0","10,324.0","10,424.0","10,948.0","11,544.0","11,044.0","11,376.0","13,500.0","15,200.0","16,440.0","16,672.0","16,792.0","17,672.0","17,140.0","18,516.0","18,636.0","17,912.0","17,844.0","18,008.0","18,476.0","18,832.0","19,360.0","20,632.0","21,844.0","22,032.0","21,952.0","22,296.0","22,336.0","23,464.0","23,100.0","23,492.0","23,320.0","24,064.0","24,156.0","23,492.0","24,704.0","26,156.0","28,156.0","29,888.0","30,820.0","33,604.0","34,244.0","35,228.0","35,088.0","35,452.0","35,748.0","36,156.0","36,908.0","37,052.0","36,196.0","36,228.0","34,800.0","34,376.0","34,372.0","34,308.0","34,032.0","33,972.0","33,832.0","34,656.0","34,196.0","34,060.0","34,772.0","36,244.0","40,344.0","40,632.0","45,968.0","49,948.0","51,800.0","53,400.0","55,032.0","56,484.0","62,140.0","66,016.0","68,960.0","71,028.0","72,764.0","72,360.0","72,796.0","71,796.0","71,384.0","69,824.0","67,568.0","65,428.0","64,168.0","63,964.0","65,620.0","64,204.0","63,752.0","61,828.0","59,292.0","54,684.0","52,532.0","50,104.0","49,112.0","48,536.0","49,516.0","48,552.0","46,300.0","47,284.0","47,564.0","49,252.0","54,472.0","56,536.0","59,008.0","63,232.0","66,344.0","68,632.0","73,760.0","78,640.0","85,168.0","87,544.0","92,140.0","96,688.0","101,156.0","98,596.0","99,728.0","98,340.0","98,284.0","94,704.0","96,876.0","95,092.0","88,660.0","85,676.0","85,948.0","88,072.0","90,152.0","94,808.0","97,288.0","97,036.0","97,520.0","98,428.0","96,876.0","94,097.0","92,585.0","96,691.0","100,191.0","98,687.0","98,129.0","95,204.0","94,162.0","93,488.0","92,746.0","94,725.0","94,603.0","93,966.0","95,360.0"
"54","35","Subsidies \7\","B096RC1","4,316.0","4,440.0","4,644.0","4,636.0","4,712.0","4,796.0","4,716.0","4,788.0","4,736.0","4,780.0","4,476.0","4,572.0","6,056.0","6,152.0","7,120.0","7,004.0","5,876.0","5,628.0","4,632.0","4,460.0","3,452.0","2,780.0","3,052.0","3,480.0","4,080.0","4,112.0","4,400.0","4,752.0","4,956.0","4,652.0","4,872.0","5,264.0","5,612.0","5,652.0","6,208.0","10,088.0","8,460.0","8,140.0","8,048.0","10,140.0","8,052.0","8,452.0","7,792.0","8,520.0","8,852.0","9,276.0","9,716.0","9,940.0","10,176.0","10,308.0","10,712.0","13,088.0","13,552.0","13,152.0","12,580.0","18,968.0","19,444.0","21,136.0","21,756.0","21,112.0","20,812.0","20,604.0","20,504.0","20,800.0","20,776.0","20,664.0","21,012.0","21,680.0","22,788.0","23,876.0","25,148.0","26,544.0","28,012.0","30,176.0","31,032.0","30,808.0","30,044.0","29,496.0","28,872.0","28,188.0","27,576.0","27,012.0","26,720.0","26,900.0","26,756.0","26,580.0","26,556.0","26,584.0","26,732.0","26,800.0","27,088.0","27,684.0","28,176.0","28,832.0","30,008.0","31,784.0","35,096.0","37,192.0","37,328.0","35,656.0","33,216.0","32,032.0","31,608.0","31,876.0","33,648.0","34,304.0","34,840.0","35,216.0","35,196.0","35,116.0","34,856.0","34,444.0","33,968.0","33,216.0","32,984.0","33,328.0","33,356.0","34,556.0","36,340.0","39,436.0","42,028.0","44,608.0","46,020.0","46,464.0","44,584.0","44,956.0","45,268.0","46,416.0","47,188.0","47,632.0","66,328.0","43,080.0","40,808.0","39,256.0","39,688.0","42,172.0","44,887.0","56,735.0","47,949.0","46,324.0","44,350.0","43,286.0","44,753.0","51,682.0","56,173.0","60,329.0","61,736.0","63,915.0","55,347.0","51,171.0","49,556.0","48,301.0","47,649.0","47,520.0","47,188.0","47,451.0","47,882.0","48,699.0","49,905.0","51,868.0","53,247.0","54,212.0","65,845.0","54,460.0","53,248.0","53,366.0","54,620.0","55,946.0","57,698.0","59,480.0","60,552.0","60,347.0","57,965.0","57,598.0","55,823.0","58,923.0","58,731.0","59,252.0","58,990.0","58,564.0","57,638.0","57,426.0","57,687.0","56,988.0","57,093.0","57,927.0"
