"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"53","33","     Excluding imputations (31-32)","A2100C1","562,408.0","599,625.0","639,652.0","703,337.0","787,235.0","862,588.0","915,909.0","1,018,942.0","1,133,215.0","1,280,236.0","1,435,580.0","1,575,396.0","1,736,010.0","1,824,493.0","1,931,249.0","2,132,306.0","2,288,308.0","2,427,992.0","2,596,664.0","2,797,740.0","2,958,308.0","3,134,865.0","3,231,648.0","3,410,176.0","3,545,508.0","3,727,696.0","3,922,959.0","4,128,270.0","4,405,365.0","4,741,045.0","5,035,286.0","5,440,595.0","5,603,730.0","5,706,417.0","5,925,318.0","6,229,118.0","6,542,093.0","6,944,353.0","7,312,192.0","7,520,131.0","7,229,865.0","7,402,413.0","7,708,850.0","8,048,803.0"
"54","34","  Taxes on production and imports","W056RC1","83,856.0","91,413.0","100,493.0","107,928.0","117,220.0","124,902.0","135,292.0","146,388.0","159,664.0","170,898.0","180,101.0","200,330.0","235,644.0","240,933.0","263,281.0","289,773.0","308,133.0","323,373.0","347,545.0","374,464.0","398,867.0","424,990.0","457,091.0","483,376.0","503,125.0","545,248.0","557,903.0","580,754.0","611,615.0","639,473.0","673,585.0","708,556.0","727,690.0","762,602.0","808,004.0","863,941.0","934,530.0","991,945.0","1,034,562.0","1,041,917.0","1,026,146.0","1,057,110.0","1,097,140.0","1,122,920.0"
"55","35","    Imputations (157)","A2094C1","12,702.0","14,426.0","15,842.0","17,092.0","18,471.0","19,781.0","21,758.0","24,065.0","26,596.0","27,221.0","28,055.0","30,579.0","33,868.0","36,962.0","39,404.0","42,291.0","44,867.0","47,475.0","51,785.0","55,192.0","59,757.0","63,527.0","68,192.0","70,472.0","70,348.0","73,741.0","73,846.0","76,174.0","78,866.0","80,231.0","82,987.0","85,663.0","90,487.0","97,372.0","103,148.0","109,403.0","117,548.0","125,093.0","134,393.0","137,631.0","144,655.0","144,569.0","145,226.0","146,854.0"
"56","36","    Excluding imputations (34-35)","A2095C1","71,154.0","76,987.0","84,651.0","90,836.0","98,749.0","105,121.0","113,534.0","122,323.0","133,068.0","143,677.0","152,046.0","169,751.0","201,776.0","203,971.0","223,877.0","247,482.0","263,266.0","275,898.0","295,760.0","319,272.0","339,110.0","361,463.0","388,899.0","412,904.0","432,777.0","471,507.0","484,057.0","504,580.0","532,749.0","559,242.0","590,598.0","622,893.0","637,203.0","665,230.0","704,856.0","754,538.0","816,982.0","866,852.0","900,169.0","904,286.0","881,491.0","912,541.0","951,914.0","976,066.0"
"57","37","  Less: Subsidies","A107RC1","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","7,100.0","8,936.0","8,531.0","9,800.0","11,473.0","15,017.0","21,304.0","21,065.0","21,360.0","24,895.0","30,282.0","29,502.0","27,428.0","26,993.0","27,488.0","30,088.0","36,681.0","32,523.0","34,812.0","35,234.0","33,810.0","36,368.0","45,209.0","45,840.0","58,722.0","41,390.0","49,057.0","46,387.0","60,910.0","51,467.0","54,584.0","52,558.0","58,348.0","55,861.0","59,953.0","57,291.0"
"58","38","    Imputations (158)","B1154C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","121.0","105.0","99.0","131.0","223.0","253.0","288.0","270.0","276.0","180.0","172.0","159.0","181.0","208.0","216.0","298.0","309.0","500.0","261.0","265.0","309.0","338.0","463.0","417.0","533.0","256.0","581.0","1,388.0","4,041.0","2,083.0","7,940.0","3,588.0","1,981.0","1,511.0","905.0","710.0"
"59","39","    Excluding imputations (37-38)","A2096C1","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","6,979.0","8,831.0","8,432.0","9,669.0","11,250.0","14,764.0","21,016.0","20,795.0","21,084.0","24,715.0","30,110.0","29,343.0","27,247.0","26,785.0","27,272.0","29,790.0","36,372.0","32,023.0","34,551.0","34,969.0","33,501.0","36,030.0","44,746.0","45,423.0","58,189.0","41,134.0","48,476.0","44,999.0","56,869.0","49,384.0","46,644.0","48,970.0","56,367.0","54,350.0","59,048.0","56,581.0"
"60","40","  Net operating surplus","W271RC1","228,094.0","222,030.0","246,587.0","279,475.0","317,322.0","323,328.0","357,139.0","405,382.0","456,750.0","526,070.0","563,553.0","575,706.0","669,614.0","683,489.0","767,374.0","921,407.0","982,878.0","987,141.0","1,058,783.0","1,174,846.0","1,242,112.0","1,258,430.0","1,270,185.0","1,341,287.0","1,432,351.0","1,589,495.0","1,720,891.0","1,895,859.0","2,059,368.0","2,153,557.0","2,251,412.0","2,344,152.0","2,410,111.0","2,517,303.0","2,665,425.0","2,885,482.0","3,175,712.0","3,482,969.0","3,307,044.0","3,178,556.0","3,213,863.0","3,556,983.0","3,811,159.0","4,033,162.0"
"61","41","    Imputations (162+163+187-189-191+194-195+199+211+214)","W517RC1","43,760.0","48,401.0","54,014.0","59,346.0","67,844.0","77,958.0","84,629.0","94,713.0","102,230.0","121,554.0","135,297.0","149,306.0","165,694.0","180,383.0","209,794.0","223,266.0","253,910.0","261,898.0","270,141.0","287,107.0","294,712.0","307,175.0","327,928.0","352,377.0","393,571.0","432,434.0","464,431.0","479,796.0","504,483.0","540,357.0","573,593.0","625,168.0","661,139.0","715,812.0","762,985.0","773,034.0","819,639.0","845,214.0","848,329.0","933,344.0","953,294.0","990,509.0","1,025,567.0","1,060,647.0"
"62","42","    Excluding imputations (40-41)","W518RC1","184,334.0","173,629.0","192,573.0","220,129.0","249,478.0","245,370.0","272,510.0","310,669.0","354,520.0","404,516.0","428,256.0","426,400.0","503,920.0","503,106.0","557,580.0","698,141.0","728,968.0","725,243.0","788,642.0","887,739.0","947,400.0","951,255.0","942,257.0","988,910.0","1,038,780.0","1,157,061.0","1,256,460.0","1,416,063.0","1,554,885.0","1,613,200.0","1,677,819.0","1,718,984.0","1,748,972.0","1,801,491.0","1,902,440.0","2,112,448.0","2,356,073.0","2,637,755.0","2,458,715.0","2,245,212.0","2,260,569.0","2,566,474.0","2,785,592.0","2,972,515.0"
"63","43","    Net interest and miscellaneous payments, domestic industries","W272RC1","34,091.0","41,201.0","45,502.0","50,255.0","59,516.0","75,436.0","87,462.0","89,567.0","104,647.0","119,959.0","143,638.0","187,369.0","234,962.0","273,368.0","289,556.0","336,178.0","360,564.0","385,935.0","398,673.0","428,198.0","483,716.0","489,147.0","450,637.0","422,771.0","412,974.0","416,034.0","436,595.0","447,914.0","493,738.0","557,809.0","575,661.0","667,591.0","677,833.0","592,896.0","557,449.0","510,145.0","632,153.0","758,143.0","880,736.0","916,383.0","760,855.0","670,577.0","624,640.0","597,358.0"
"64","44","      Imputations (214)","A2104C1","33,022.0","37,936.0","42,000.0","47,579.0","53,983.0","63,366.0","75,989.0","83,871.0","95,737.0","113,018.0","133,468.0","156,467.0","181,777.0","214,841.0","259,153.0","281,999.0","324,239.0","356,153.0","379,956.0","403,693.0","425,483.0","448,885.0","457,147.0","470,754.0","479,189.0","500,934.0","528,950.0","544,774.0","575,569.0","598,904.0","624,957.0","673,057.0","689,225.0","703,183.0","685,652.0","701,334.0","762,848.0","818,710.0","887,427.0","932,257.0","846,833.0","817,512.0","797,394.0","766,422.0"
"65","45","      Excluding imputations (43-44)","A2105C1","1,069.0","3,265.0","3,502.0","2,676.0","5,533.0","12,070.0","11,473.0","5,696.0","8,910.0","6,941.0","10,170.0","30,902.0","53,185.0","58,527.0","30,403.0","54,179.0","36,325.0","29,782.0","18,717.0","24,505.0","58,233.0","40,262.0","-6,510.0","-47,983.0","-66,215.0","-84,900.0","-92,355.0","-96,860.0","-81,831.0","-41,095.0","-49,296.0","-5,466.0","-11,392.0","-110,287.0","-128,203.0","-191,189.0","-130,695.0","-60,567.0","-6,691.0","-15,874.0","-85,978.0","-146,935.0","-172,754.0","-169,064.0"
"66","46","    Business current transfer payments (net)","B029RC1","4,798.0","4,357.0","4,157.0","4,779.0","5,740.0","6,788.0","9,036.0","9,136.0","8,081.0","10,374.0","12,752.0","13,997.0","16,913.0","19,316.0","21,681.0","29,158.0","34,060.0","35,961.0","33,294.0","32,755.0","38,266.0","39,179.0","38,889.0","39,719.0","39,389.0","40,714.0","44,965.0","52,649.0","50,061.0","64,079.0","67,813.0","85,315.0","99,145.0","80,663.0","76,259.0","81,350.0","93,908.0","82,591.0","98,560.0","116,435.0","127,161.0","128,464.0","129,588.0","106,939.0"
"67","47","      Imputations (162-197+198)","Y505RC1","6,980.0","7,791.0","9,864.0","10,116.0","10,966.0","12,937.0","13,642.0","16,949.0","20,451.0","20,300.0","16,838.0","12,093.0","4,385.0","-9,423.0","-20,015.0","24,841.0","12,132.0","-8,913.0","-13,394.0","-16,629.0","-27,702.0","-32,840.0","-34,267.0","-39,798.0","-39,977.0","-41,582.0","-49,567.0","-75,231.0","-83,708.0","-102,909.0","-123,012.0","-137,701.0","-137,028.0","-109,423.0","-72,127.0","-102,552.0","-99,486.0","-116,400.0","-132,395.0","-108,583.0","-103,970.0","-96,010.0","-109,123.0","-104,670.0"
"68","48","      Excluding imputations (46-47)","W530RC1","-2,182.0","-3,434.0","-5,707.0","-5,337.0","-5,226.0","-6,149.0","-4,606.0","-7,813.0","-12,370.0","-9,926.0","-4,086.0","1,904.0","12,528.0","28,739.0","41,696.0","4,317.0","21,928.0","44,874.0","46,688.0","49,384.0","65,968.0","72,019.0","73,156.0","79,517.0","79,366.0","82,296.0","94,532.0","127,880.0","133,769.0","166,988.0","190,825.0","223,016.0","236,173.0","190,086.0","148,386.0","183,902.0","193,394.0","198,991.0","230,955.0","225,018.0","231,131.0","224,474.0","238,711.0","211,609.0"
"69","49","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","77,005.0","77,803.0","83,904.0","95,094.0","112,521.0","112,213.0","118,238.0","130,974.0","144,492.0","165,974.0","179,438.0","171,569.0","179,680.0","171,191.0","186,250.0","228,247.0","241,052.0","256,479.0","286,468.0","325,843.0","341,938.0","354,449.0","355,956.0","402,362.0","430,510.0","459,500.0","484,456.0","547,371.0","587,854.0","644,194.0","700,438.0","757,771.0","836,785.0","871,037.0","900,067.0","962,053.0","978,957.0","1,053,685.0","979,170.0","1,026,474.0","972,996.0","1,032,693.0","1,155,132.0","1,224,912.0"
"70","50","      Imputations (199+211)","A2101C1","752.0","762.0","864.0","1,011.0","1,361.0","1,379.0","1,483.0","2,129.0","2,801.0","3,086.0","3,250.0","2,341.0","2,058.0","1,919.0","2,856.0","2,984.0","3,056.0","3,573.0","3,312.0","3,102.0","2,886.0","2,930.0","2,401.0","3,254.0","3,014.0","3,382.0","2,755.0","2,989.0","3,062.0","2,849.0","3,226.0","2,780.0","2,819.0","3,024.0","3,091.0","3,712.0","4,303.0","3,660.0","2,259.0","661.0","152.0","794.0","789.0","903.0"
"71","51","      Excluding imputations (49-50)","A2102C1","76,253.0","77,041.0","83,040.0","94,083.0","111,160.0","110,834.0","116,755.0","128,845.0","141,691.0","162,888.0","176,188.0","169,228.0","177,622.0","169,272.0","183,394.0","225,263.0","237,996.0","252,906.0","283,156.0","322,741.0","339,052.0","351,519.0","353,555.0","399,108.0","427,496.0","456,118.0","481,701.0","544,382.0","584,792.0","641,345.0","697,212.0","754,991.0","833,966.0","868,013.0","896,976.0","958,341.0","974,654.0","1,050,025.0","976,911.0","1,025,813.0","972,844.0","1,031,899.0","1,154,343.0","1,224,009.0"
"72","52","    Rental income of persons with capital consumption adjustment","A048RC1","20,374.0","20,724.0","21,930.0","22,826.0","23,257.0","23,338.0","22,529.0","20,621.0","16,194.0","16,911.0","16,568.0","19,734.0","25,415.0","26,138.0","27,488.0","27,886.0","29,505.0","21,904.0","20,208.0","25,115.0","24,411.0","31,357.0","42,006.0","64,326.0","93,639.0","117,470.0","129,187.0","146,951.0","152,047.0","169,864.0","183,105.0","187,722.0","207,542.0","217,302.0","238,023.0","255,418.0","238,441.0","207,521.0","189,410.0","262,106.0","333,700.0","402,755.0","484,382.0","541,156.0"
"73","53","      Imputations (163)","B1156C1","14,414.0","14,508.0","15,481.0","15,311.0","14,544.0","14,850.0","13,900.0","11,998.0","7,048.0","7,139.0","5,727.0","5,631.0","5,770.0","2,147.0","1,260.0","-1,181.0","-4,181.0","-9,459.0","-9,849.0","-3,586.0","-3,339.0","-68.0","5,803.0","19,815.0","42,601.0","62,165.0","68,533.0","82,712.0","84,954.0","101,291.0","115,189.0","120,852.0","134,778.0","146,301.0","165,348.0","180,194.0","158,055.0","124,340.0","96,397.0","147,234.0","216,751.0","268,070.0","327,401.0","367,341.0"
"74","54","      Excluding imputations (52-53)","A2103C1","5,960.0","6,216.0","6,449.0","7,515.0","8,713.0","8,488.0","8,629.0","8,623.0","9,146.0","9,772.0","10,841.0","14,103.0","19,645.0","23,991.0","26,228.0","29,067.0","33,686.0","31,363.0","30,057.0","28,701.0","27,750.0","31,425.0","36,203.0","44,511.0","51,038.0","55,305.0","60,654.0","64,239.0","67,093.0","68,573.0","67,916.0","66,870.0","72,764.0","71,001.0","72,675.0","75,224.0","80,386.0","83,181.0","93,013.0","114,872.0","116,949.0","134,685.0","156,981.0","173,815.0"
"75","55","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1","91,821.0","79,144.0","92,792.0","107,677.0","118,492.0","108,236.0","124,228.0","157,790.0","186,670.0","215,699.0","214,369.0","188,088.0","217,815.0","197,270.0","244,711.0","301,313.0","316,390.0","284,899.0","317,973.0","357,895.0","347,109.0","341,065.0","374,858.0","402,180.0","445,068.0","543,948.0","610,070.0","684,084.0","758,214.0","701,349.0","708,225.0","635,025.0","583,644.0","748,412.0","889,738.0","1,078,313.0","1,238,650.0","1,390,341.0","1,175,609.0","878,365.0","1,039,781.0","1,345,380.0","1,441,180.0","1,590,518.0"
"76","56","      Imputations (187-189+194-195+197-198)","Y674RC1","-10,508.0","-11,499.0","-12,822.0","-13,131.0","-11,365.0","-13,022.0","-19,402.0","-19,479.0","-23,378.0","-21,559.0","-23,886.0","-27,559.0","-28,980.0","-30,038.0","-34,632.0","-86,257.0","-82,446.0","-80,909.0","-92,327.0","-102,319.0","-104,795.0","-113,842.0","-105,842.0","-103,843.0","-93,943.0","-95,320.0","-89,335.0","-78,667.0","-78,747.0","-62,743.0","-49,056.0","-35,573.0","-29,899.0","-28,167.0","-16,566.0","-7,219.0","-3,686.0","16,740.0","-3,455.0","-36,212.0","-5,236.0","3,848.0","12,090.0","33,239.0"
"77","57","      Excluding imputations (55-56)","Y675RC1","102,329.0","90,643.0","105,614.0","120,808.0","129,857.0","121,258.0","143,630.0","177,269.0","210,048.0","237,258.0","238,255.0","215,647.0","246,795.0","227,308.0","279,343.0","387,570.0","398,836.0","365,808.0","410,300.0","460,214.0","451,904.0","454,907.0","480,700.0","506,023.0","539,011.0","639,268.0","699,405.0","762,751.0","836,961.0","764,092.0","757,281.0","670,598.0","613,543.0","776,579.0","906,304.0","1,085,532.0","1,242,336.0","1,373,601.0","1,179,064.0","914,577.0","1,045,017.0","1,341,532.0","1,429,090.0","1,557,279.0"
"78","58","      Taxes on corporate income","A054RC1","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,360.0","445,530.0","309,100.0","269,444.0","370,571.0","374,224.0","434,798.0"
"79","59","      Profits after tax with inventory valuation adjustment and capital consumption adjustments","W273RC1","51,844.0","44,387.0","54,627.0","65,336.0","68,519.0","55,451.0","72,582.0","92,502.0","112,229.0","130,841.0","124,353.0","100,898.0","133,476.0","130,771.0","164,063.0","203,782.0","216,984.0","175,224.0","187,532.0","216,265.0","201,041.0","195,641.0","236,267.0","253,492.0","274,034.0","350,807.0","392,232.0","452,615.0","512,793.0","452,983.0","449,441.0","369,933.0","380,348.0","556,076.0","645,971.0","772,220.0","826,266.0","916,981.0","730,079.0","569,265.0","770,337.0","974,809.0","1,066,956.0","1,155,720.0"
"80","60","        Imputations (187-189+194-195+197-198)","Y519RC1","-10,508.0","-11,499.0","-12,822.0","-13,131.0","-11,365.0","-13,022.0","-19,402.0","-19,479.0","-23,378.0","-21,559.0","-23,886.0","-27,559.0","-28,980.0","-30,038.0","-34,632.0","-86,257.0","-82,446.0","-80,909.0","-92,327.0","-102,319.0","-104,795.0","-113,842.0","-105,842.0","-103,843.0","-93,943.0","-95,320.0","-89,335.0","-78,667.0","-78,747.0","-62,743.0","-49,056.0","-35,573.0","-29,899.0","-28,167.0","-16,566.0","-7,219.0","-3,686.0","16,740.0","-3,455.0","-36,212.0","-5,236.0","3,848.0","12,090.0","33,239.0"
"81","61","        Excluding imputations (59-60)","Y520RC1","62,352.0","55,886.0","67,449.0","78,467.0","79,884.0","68,473.0","91,984.0","111,981.0","135,607.0","152,400.0","148,239.0","128,457.0","162,456.0","160,809.0","198,695.0","290,039.0","299,430.0","256,133.0","279,859.0","318,584.0","305,836.0","309,483.0","342,109.0","357,335.0","367,977.0","446,127.0","481,567.0","531,282.0","591,540.0","515,726.0","498,497.0","405,506.0","410,247.0","584,243.0","662,537.0","779,439.0","829,952.0","900,241.0","733,534.0","605,477.0","775,573.0","970,961.0","1,054,866.0","1,122,481.0"
"82","62","        Net dividends","A449RC1","20,403.0","20,371.0","20,337.0","21,942.0","23,107.0","23,454.0","26,404.0","30,055.0","33,690.0","39,609.0","41,479.0","47,322.0","58,311.0","61,331.0","71,319.0","78,515.0","85,709.0","88,297.0","95,607.0","98,025.0","126,374.0","144,088.0","156,186.0","161,482.0","184,738.0","197,807.0","226,178.0","263,137.0","292,242.0","314,802.0","306,370.0","355,444.0","329,910.0","352,279.0","401,878.0","501,771.0","319,666.0","648,104.0","678,479.0","628,101.0","456,867.0","442,534.0","545,148.0","613,555.0"
"83","63","          Imputations (196)","Y615RC1","2,030.0","2,343.0","2,652.0","2,949.0","3,445.0","4,194.0","4,646.0","5,220.0","6,573.0","8,213.0","9,849.0","10,817.0","12,841.0","15,181.0","17,095.0","14,163.0","15,970.0","16,745.0","17,636.0","18,234.0","20,231.0","22,220.0","24,441.0","26,483.0","27,855.0","29,500.0","31,609.0","34,892.0","37,071.0","37,020.0","36,882.0","36,248.0","35,240.0","34,270.0","35,918.0","43,122.0","50,323.0","56,911.0","62,517.0","61,177.0","53,455.0","51,419.0","51,296.0","54,128.0"
"84","64","          Excluding imputations (62-63)","Y676RC1","18,373.0","18,028.0","17,685.0","18,993.0","19,662.0","19,260.0","21,758.0","24,835.0","27,117.0","31,396.0","31,630.0","36,505.0","45,470.0","46,150.0","54,224.0","64,352.0","69,739.0","71,552.0","77,971.0","79,791.0","106,143.0","121,868.0","131,745.0","134,999.0","156,883.0","168,307.0","194,569.0","228,245.0","255,171.0","277,782.0","269,488.0","319,196.0","294,670.0","318,009.0","365,960.0","458,649.0","269,343.0","591,193.0","615,962.0","566,924.0","403,412.0","391,115.0","493,852.0","559,427.0"
"85","65","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1","31,441.0","24,016.0","34,290.0","43,394.0","45,412.0","31,997.0","46,178.0","62,447.0","78,539.0","91,232.0","82,874.0","53,576.0","75,165.0","69,440.0","92,744.0","125,267.0","131,275.0","86,927.0","91,925.0","118,240.0","74,667.0","51,553.0","80,081.0","92,010.0","89,296.0","153,000.0","166,054.0","189,478.0","220,551.0","138,181.0","143,071.0","14,489.0","50,438.0","203,797.0","244,093.0","270,449.0","506,600.0","268,877.0","51,600.0","-58,836.0","313,470.0","532,275.0","521,808.0","542,165.0"
"86","66","          Imputations (187-189+194-195-196+197-198)","Y677RC1","-12,538.0","-13,842.0","-15,474.0","-16,080.0","-14,810.0","-17,216.0","-24,048.0","-24,699.0","-29,951.0","-29,772.0","-33,735.0","-38,376.0","-41,821.0","-45,219.0","-51,727.0","-100,420.0","-98,416.0","-97,654.0","-109,963.0","-120,553.0","-125,026.0","-136,062.0","-130,283.0","-130,326.0","-121,798.0","-124,820.0","-120,944.0","-113,559.0","-115,818.0","-99,763.0","-85,938.0","-71,821.0","-65,139.0","-62,437.0","-52,484.0","-50,341.0","-54,009.0","-40,171.0","-65,972.0","-97,389.0","-58,691.0","-47,571.0","-39,206.0","-20,889.0"
"87","67","          Excluding imputations (65-66)","Y678RC1","43,979.0","37,858.0","49,764.0","59,474.0","60,222.0","49,213.0","70,226.0","87,146.0","108,490.0","121,004.0","116,609.0","91,952.0","116,986.0","114,659.0","144,471.0","225,687.0","229,691.0","184,581.0","201,888.0","238,793.0","199,693.0","187,615.0","210,364.0","222,336.0","211,094.0","277,820.0","286,998.0","303,037.0","336,369.0","237,944.0","229,009.0","86,310.0","115,577.0","266,234.0","296,577.0","320,790.0","560,609.0","309,048.0","117,572.0","38,553.0","372,161.0","579,846.0","561,014.0","563,054.0"
"88","68","    Current surplus of government enterprises","A108RC1","5.0","-1,199.0","-1,698.0","-1,156.0","-2,204.0","-2,683.0","-4,354.0","-2,706.0","-3,334.0","-2,847.0","-3,212.0","-5,051.0","-5,171.0","-3,794.0","-2,312.0","-1,375.0","1,307.0","1,963.0","2,167.0","5,040.0","6,672.0","3,233.0","7,839.0","9,929.0","10,771.0","11,829.0","15,618.0","16,890.0","17,454.0","16,262.0","16,170.0","10,728.0","5,162.0","6,993.0","3,889.0","-1,797.0","-6,397.0","-9,312.0","-16,441.0","-21,207.0","-20,630.0","-22,886.0","-23,763.0","-27,721.0"
"89","69","      Imputations (-191)","Y514RC1","-900.0","-1,097.0","-1,373.0","-1,540.0","-1,645.0","-1,552.0","-983.0","-755.0","-429.0","-430.0","-100.0","333.0","684.0","937.0","1,172.0","880.0","1,110.0","1,453.0","2,443.0","2,846.0","2,179.0","2,110.0","2,686.0","2,195.0","2,687.0","2,855.0","3,095.0","3,219.0","3,353.0","2,965.0","2,289.0","1,753.0","1,244.0","894.0","-2,413.0","-2,435.0","-2,395.0","-1,836.0","-1,904.0","-2,013.0","-1,236.0","-3,705.0","-2,984.0","-2,588.0"
"90","70","      Excluding imputations (68-69)","Y679RC1","905.0","-102.0","-325.0","384.0","-559.0","-1,131.0","-3,371.0","-1,951.0","-2,905.0","-2,417.0","-3,112.0","-5,384.0","-5,855.0","-4,731.0","-3,484.0","-2,255.0","197.0","510.0","-276.0","2,194.0","4,493.0","1,123.0","5,153.0","7,734.0","8,084.0","8,974.0","12,523.0","13,671.0","14,101.0","13,297.0","13,881.0","8,975.0","3,918.0","6,099.0","6,302.0","638.0","-4,002.0","-7,476.0","-14,537.0","-19,194.0","-19,394.0","-19,181.0","-20,779.0","-25,133.0"
"91","71","  Consumption of fixed capital","A262RC1","124,863.0","136,783.0","148,865.0","160,897.0","178,080.0","206,168.0","237,537.0","259,209.0","288,334.0","325,063.0","371,133.0","426,007.0","485,046.0","534,316.0","560,546.0","594,334.0","636,653.0","682,163.0","727,952.0","782,387.0","836,110.0","886,829.0","931,125.0","959,725.0","1,003,598.0","1,055,572.0","1,122,783.0","1,176,020.0","1,239,955.0","1,310,271.0","1,400,861.0","1,514,240.0","1,603,979.0","1,662,068.0","1,727,220.0","1,831,699.0","1,981,956.0","2,136,019.0","2,264,350.0","2,363,373.0","2,368,382.0","2,381,591.0","2,452,573.0","2,542,865.0"
"92","72","    Imputations (164+167+212)","A2092C1","48,014.0","52,034.0","56,122.0","60,016.0","65,704.0","74,988.0","83,666.0","90,535.0","99,762.0","111,680.0","125,836.0","142,928.0","159,957.0","174,182.0","184,459.0","197,617.0","211,464.0","228,094.0","246,520.0","265,886.0","284,962.0","302,443.0","317,875.0","329,458.0","345,640.0","361,535.0","378,774.0","390,381.0","404,004.0","420,674.0","444,943.0","474,671.0","501,762.0","524,384.0","557,404.0","604,288.0","663,323.0","718,016.0","760,238.0","785,184.0","788,717.0","799,473.0","819,299.0","839,265.0"
"93","73","    Excluding imputations (71-72)","A2093C1","76,849.0","84,749.0","92,743.0","100,881.0","112,376.0","131,180.0","153,871.0","168,674.0","188,572.0","213,383.0","245,297.0","283,079.0","325,089.0","360,134.0","376,087.0","396,717.0","425,189.0","454,069.0","481,432.0","516,501.0","551,148.0","584,386.0","613,250.0","630,267.0","657,958.0","694,037.0","744,009.0","785,639.0","835,951.0","889,597.0","955,918.0","1,039,569.0","1,102,217.0","1,137,684.0","1,169,816.0","1,227,411.0","1,318,633.0","1,418,003.0","1,504,112.0","1,578,189.0","1,579,665.0","1,582,118.0","1,633,274.0","1,703,600.0"
"94",NA,"          Personal income, outlays, and saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","74","Personal income","A065RC1","800,258.0","864,598.0","932,137.0","1,023,574.0","1,138,525.0","1,249,341.0","1,366,884.0","1,498,086.0","1,654,209.0","1,859,470.0","2,077,948.0","2,316,805.0","2,595,890.0","2,778,836.0","2,969,720.0","3,281,266.0","3,515,857.0","3,725,099.0","3,955,336.0","4,275,344.0","4,618,234.0","4,904,461.0","5,071,112.0","5,410,782.0","5,646,765.0","5,934,716.0","6,276,468.0","6,661,901.0","7,075,002.0","7,587,688.0","7,983,820.0","8,632,760.0","8,987,097.0","9,149,524.0","9,487,576.0","10,049,200.0","10,610,270.0","11,389,840.0","11,995,740.0","12,430,568.0","12,082,091.0","12,435,193.0","13,191,317.0","13,743,772.0"
"96","75","  Imputations (163-158+170+181+188+195+196-197+198+199+203+204+205+206+211)","A2106C1","74,066.0","84,349.0","93,623.0","101,313.0","103,180.0","113,268.0","132,234.0","134,477.0","145,186.0","164,013.0","174,392.0","185,060.0","198,629.0","217,860.0","259,008.0","304,416.0","331,412.0","338,600.0","359,073.0","397,327.0","431,999.0","463,677.0","488,540.0","558,135.0","602,501.0","647,041.0","655,775.0","663,144.0","680,801.0","708,763.0","745,887.0","784,955.0","838,890.0","895,557.0","976,473.0","1,050,396.0","1,075,710.0","1,046,744.0","1,045,638.0","1,144,564.0","1,233,546.0","1,306,946.0","1,377,829.0","1,426,851.0"
"97","76","  Excluding imputations (74-75)","A2107C1","726,192.0","780,249.0","838,514.0","922,261.0","1,035,345.0","1,136,073.0","1,234,650.0","1,363,609.0","1,509,023.0","1,695,457.0","1,903,556.0","2,131,745.0","2,397,261.0","2,560,976.0","2,710,712.0","2,976,850.0","3,184,445.0","3,386,499.0","3,596,263.0","3,878,017.0","4,186,235.0","4,440,784.0","4,582,572.0","4,852,647.0","5,044,264.0","5,287,675.0","5,620,693.0","5,998,757.0","6,394,201.0","6,878,925.0","7,237,933.0","7,847,805.0","8,148,207.0","8,253,967.0","8,511,103.0","8,998,804.0","9,534,560.0","10,343,096.0","10,950,102.0","11,286,004.0","10,848,545.0","11,128,247.0","11,813,488.0","12,316,921.0"
