"","Table 7#16# Relation of Corporate Profits, Taxes, and Dividends ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"60","36","  Earnings remitted to foreign residents from their unincorporated U.S. affiliates","B1634C1","124.0","121.0","229.0","311.0","259.0","113.0","211.0","658.0","319.0","543.0","812.0","976.0","951.0","955.0","1,194.0","1,015.0","1,056.0","1,427.0","1,486.0","1,309.0","1,684.0","1,421.0","1,837.0","1,912.0","2,742.0","2,759.0","2,754.0","3,741.0","3,518.0","3,455.0","5,284.0","4,070.0","3,885.0","6,384.0","3,326.0","3,902.0","4,242.0","4,679.0","4,603.0","11,348.0","6,163.0","5,525.0",".....","....."
"61","37","  Interest payments of regulated investment companies","B1635C1","-237.0","-408.0","-294.0","-424.0","-817.0","-1,054.0","-1,036.0","-958.0","-1,479.0","-1,824.0","-4,379.0","-8,703.0","-18,339.0","-23,218.0","-17,541.0","-21,708.0","-24,439.0","-28,457.0","-45,077.0","-53,480.0","-67,499.0","-68,043.0","-60,286.0","-64,685.0","-70,462.0","-78,025.0","-97,918.0","-105,404.0","-121,448.0","-138,214.0","-154,125.0","-187,881.0","-151,761.0","-98,590.0","-82,490.0","-91,280.0","-142,758.0","-202,808.0","-248,579.0","-201,804.0","-134,427.0","-129,747.0",".....","....."
"62",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","38","  Dividends received by U.S. corporations","B1198C1","7,935.0","8,705.0","9,685.0","11,110.0","14,883.0","21,235.0","14,286.0","19,461.0","21,308.0","22,599.0","29,538.0","33,219.0","31,232.0","32,107.0","33,589.0","36,568.0","37,737.0","37,907.0","39,045.0","64,631.0","58,305.0","56,638.0","52,282.0","54,141.0","54,704.0","63,333.0","74,130.0","93,467.0","108,687.0","113,397.0","118,829.0","129,850.0","117,616.0","113,651.0","120,975.0","157,113.0","485,242.0","228,623.0","285,328.0","311,218.0","292,625.0","320,650.0",".....","....."
"64","39","  Earnings of U.S. residents remitted by their unincorporated foreign affiliates","B1636C1","1,907.0","1,685.0","2,083.0","2,217.0","3,463.0","4,613.0","3,524.0","4,876.0","5,463.0","6,036.0","9,330.0","8,752.0","9,252.0","9,746.0","5,934.0","4,752.0","5,993.0","7,222.0","5,717.0","6,622.0","3,085.0","2,450.0","3,093.0","9,626.0","7,584.0","6,495.0","5,993.0","7,009.0","6,938.0","5,559.0","8,249.0","3,243.0","2,790.0","4,994.0","11,092.0","10,238.0","6,315.0","5,052.0","5,737.0","3,464.0","1,684.0","4,996.0",".....","....."
"65","40","Equals: Net corporate dividend payments, NIPAs","B056RC1","24,239.0","24,307.0","25,027.0","26,836.0","29,907.0","33,219.0","32,960.0","39,014.0","44,769.0","50,793.0","57,520.0","64,070.0","73,756.0","77,716.0","83,464.0","90,807.0","97,546.0","106,180.0","112,312.0","129,919.0","157,974.0","169,062.0","180,513.0","189,516.0","205,320.0","235,973.0","258,950.0","303,528.0","339,452.0","357,072.0","347,896.0","384,684.0","370,577.0","400,180.0","433,972.0","564,089.0","580,527.0","726,006.0","818,909.0","808,614.0","568,739.0","563,949.0","701,580.0","770,335.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Consists largely of an adjustment to expense all meals and entertainment, of oilwell bonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","payments written off, of adjustments for insurance carriers and savings and loan associations,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","of amortization of intangible assets, and of tax-exempt interest income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Consists of the Farm Credit System beginning with 1947 and the Federal Home Loan banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","beginning with 1952.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","3. Consists of nonprofit organizations serving business and of credit unions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","4. Intellectual property products consists of software, research and development, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","entertainment, literary, and artistic originals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","5. Consists of disaster losses valued at historic-cost less net insurance receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for disaster-related losses valued at replacement-cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","6. Includes the imputed financial service charge paid by corporations to domestic securities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","dealers who do not charge an explicit commission.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","7. Employer expenses for defined benefit employee pension plans include actual employer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","contributions, imputed employer contributions, and imputed interest for unfunded (or overfunded)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","actuarial liability.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","8. Beginning with 1984, the investment tax credit is included in other tax credits (line 29).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","9. Consists largely of an adjustment to remove capital gains distributions of regulated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","investment companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
