"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"44","35","    Farm","B018RY2",-0.15,0.95,-0.31,-0.31,-0.91,2.35,-2.18,2.13,-0.07,-0.64,0.66,-0.16,0.51,-0.93,-0.03,-0.23,0.32,-0.6,1.81,-1.12,0.22,0.33,0.16,-0.08,-0.13,-0.18,-0.1,0.25,0.41,-0.74,0.42,0.06,-0.06,-0.01,-0.26,0.31,-0.19,0.18,0.07,-0.14,-0.08,0.23,-0.12,0.09,-0.23,0.41,-0.23,0.31,-0.13,0.1,-0.35,0.51,-0.05,-0.61,0.59,0.04,-0.15,-0.11,-0.05,0.24,0.05,-0.06,0.13,-0.19,0.27,-0.32,0.27,-0.05,-0.02,-0.05,0.02,0.02,-0.02,0.03,0.03,-0.07
"45","36","    Nonfarm","A015RY2",-1.71,-1.52,-1.18,2.18,2.06,0.26,2.19,-1.13,-1.97,1.3,1.34,1.51,-2.29,-0.47,-0.02,-0.08,2.52,-2.33,0.7,-1.73,2.63,0.43,-1.53,-0.2,-0.78,1.72,-0.19,-0.79,-0.59,1.6,-0.55,-0.11,0.63,-0.07,0.14,0.35,0.77,-0.66,-0.17,0.14,-0.65,0.34,0.18,0.4,-0.03,-1.69,1.64,-0.06,0.25,-0.5,-0.56,0.69,-1.29,0.9,1.36,-1.1,-0.16,0.53,-0.09,-0.06,-0.26,-0.2,0.16,0.27,0.36,-0.14,-0.26,0.59,0.05,0.02,-0.12,-0.9,0.45,0.02,0.32,-0.22
"46","37","Net exports of goods and services","A019RY2",-0.31,-0.22,-0.2,-0.11,0.33,-0.84,0.24,0.46,0.89,0.07,0.53,-0.65,-1.21,-1.18,0.01,0.68,3.82,1.08,-2.18,0.08,-1.31,0.81,-0.59,-0.7,0.4,-0.04,0.37,0.25,-0.89,0,0.72,0.06,-0.21,0.24,0.36,-0.3,-0.29,-0.22,-0.3,-0.04,0.34,-0.19,-0.21,0.82,0.75,0.89,-1.08,-0.72,0.05,0.66,1.68,-0.15,-0.6,-1.35,-1.58,-0.42,-0.3,0.17,0.82,0.52,0.43,0.69,-0.04,-0.59,-0.43,0.11,-0.14,-0.34,-1.16,-0.99,-0.86,-0.2,-0.69,-0.46,-0.73,-0.29
"47","38","  Exports","A020RY2",-0.97,-0.77,-0.81,0.02,0.41,0.21,0.19,0.95,-0.05,0.25,0.62,0.12,-1.54,-0.43,0.16,0.88,3.25,0.91,-1.63,-0.05,-0.66,0.98,-0.22,-0.31,0.19,0.44,0.7,0.43,-0.69,0.45,0.78,0.03,0.25,0.35,0.59,0.15,0.36,0.12,0.41,0.25,0.56,0.1,0.42,1.12,0.58,-0.05,0.37,0.2,0.82,0.82,0.97,0.12,-0.73,-0.22,0.63,0.23,0.54,0.78,1.24,0.99,0.81,0.63,0.68,0.32,0.85,1.04,0.91,1.3,0.27,0.47,0.93,-0.6,-0.23,0.17,0.8,0.7
"48","39","    Goods","A253RY2",-0.89,-0.69,-0.72,-0.01,0.33,0.17,0.17,0.8,0.06,0.21,0.56,0.1,-1.45,-0.47,0.11,0.8,2.86,0.82,-1.5,-0.03,-0.61,0.79,-0.21,-0.25,0.18,0.36,0.6,0.32,-0.63,-0.02,0.76,0.02,0.17,0.29,0.52,0.02,0.27,0.02,0.3,0.2,0.44,-0.02,0.43,1.01,0.46,-0.16,0.31,0.08,0.68,0.77,0.86,-0.09,-0.67,-0.19,0.46,0.2,0.26,0.56,1.04,0.75,0.56,0.46,0.52,0.23,0.67,0.85,0.68,1.11,0.18,0.29,0.84,-0.48,-0.28,0.12,0.59,0.51
"49","40","    Services","A646RY2",-0.08,-0.08,-0.09,0.03,0.08,0.05,0.02,0.14,-0.1,0.04,0.06,0.02,-0.09,0.03,0.04,0.07,0.38,0.09,-0.13,-0.02,-0.05,0.19,0,-0.05,0.01,0.09,0.1,0.11,-0.06,0.48,0.02,0.01,0.08,0.06,0.07,0.13,0.09,0.1,0.1,0.05,0.12,0.11,-0.01,0.11,0.12,0.1,0.05,0.11,0.15,0.06,0.11,0.21,-0.06,-0.03,0.17,0.02,0.28,0.21,0.2,0.24,0.26,0.16,0.16,0.09,0.18,0.19,0.22,0.19,0.09,0.18,0.09,-0.12,0.06,0.05,0.22,0.18
"50","41","  Imports","A021RY2",0.66,0.55,0.62,-0.14,-0.08,-1.05,0.05,-0.49,0.94,-0.17,-0.08,-0.77,0.33,-0.75,-0.15,-0.2,0.57,0.17,-0.55,0.13,-0.65,-0.17,-0.37,-0.39,0.21,-0.48,-0.33,-0.18,-0.2,-0.45,-0.06,0.03,-0.47,-0.12,-0.23,-0.45,-0.65,-0.34,-0.7,-0.29,-0.22,-0.29,-0.63,-0.29,0.18,0.94,-1.45,-0.92,-0.78,-0.16,0.71,-0.27,0.12,-1.13,-2.21,-0.65,-0.84,-0.61,-0.42,-0.47,-0.39,0.06,-0.72,-0.91,-1.29,-0.93,-1.05,-1.64,-1.43,-1.46,-1.79,0.4,-0.46,-0.63,-1.53,-0.98
"51","42","    Goods","A255RY2",0.63,0.4,0.5,-0.28,-0.06,-1,0.13,-0.37,0.79,-0.23,-0.13,-0.48,0.85,-0.27,-0.07,0.01,-0.27,0.1,-0.36,0.11,-0.59,0.07,-0.06,-0.17,0.22,-0.31,-0.25,-0.08,-0.08,-0.48,0.05,0,-0.4,-0.12,-0.19,-0.41,-0.49,-0.17,-0.68,-0.2,-0.15,-0.33,-0.57,-0.34,0.17,0.87,-1.35,-0.84,-0.67,-0.14,0.67,-0.18,0.2,-1,-1.83,-0.52,-0.82,-0.39,-0.36,-0.38,-0.26,0.01,-0.77,-0.85,-1.18,-0.87,-0.94,-1.45,-1.2,-1.31,-1.55,0.39,-0.41,-0.56,-1.3,-0.89
"52","43","    Services","A656RY2",0.03,0.15,0.12,0.15,-0.01,-0.05,-0.08,-0.12,0.15,0.06,0.05,-0.29,-0.52,-0.48,-0.08,-0.2,0.84,0.07,-0.19,0.02,-0.06,-0.23,-0.31,-0.22,-0.01,-0.17,-0.09,-0.1,-0.12,0.03,-0.11,0.02,-0.07,0,-0.04,-0.04,-0.16,-0.16,-0.03,-0.09,-0.07,0.04,-0.06,0.05,0,0.07,-0.1,-0.07,-0.11,-0.02,0.04,-0.09,-0.08,-0.13,-0.39,-0.13,-0.02,-0.22,-0.07,-0.1,-0.13,0.05,0.05,-0.06,-0.11,-0.06,-0.11,-0.19,-0.23,-0.15,-0.25,0.01,-0.05,-0.07,-0.23,-0.09
"53","44","Government consumption expenditures and gross investment","A822RY2",0.93,0.47,-0.44,-0.53,1.98,0.43,2.5,-0.66,1.09,1.41,0.45,9.81,27.75,18.59,5.87,-6.04,-28.67,-2.65,1.08,1.83,0.02,5.84,4.11,1.67,-1.64,-0.84,0.01,0.93,0.69,0.76,0.03,1.07,1.36,0.58,0.49,0.65,1.87,1.68,0.73,-0.06,-0.55,-0.5,-0.16,-0.08,0.52,0.48,0.1,0.23,0.6,0.37,0.38,0.19,0.35,0.77,0.7,1.41,1.27,0.52,0.27,0.52,0.64,0.23,0.11,-0.18,0,0.1,0.18,0.34,0.34,0.67,0.36,0.6,0.8,0.53,0.41,0.34
"54","45","  Federal","A823RY2",0.18,0.07,0.06,0.75,1.39,0.09,2.44,-0.66,0.59,0.48,0.76,10.34,28.38,19.07,6.02,-6.17,-29.06,-3.32,0.71,0.9,-0.56,5.78,4,1.33,-2.25,-1.39,-0.24,0.46,-0.01,0.42,-0.35,0.51,1.07,0.01,-0.17,0,1.24,1.17,0.1,-0.42,-0.86,-0.85,-0.42,-0.41,0.08,0.03,0,0.19,0.22,0.2,0.39,0.42,0.35,0.63,0.3,0.74,0.55,0.36,-0.15,0.14,0.18,-0.02,-0.15,-0.35,-0.3,-0.2,-0.08,-0.07,-0.07,0.14,0.05,0.23,0.43,0.45,0.36,0.16
"55","46","    National defense","A824RY2",0.06,0.01,0,-0.05,-0.18,0.28,0.27,0.01,0.06,0.16,1.17,10.77,28.94,19.46,5.87,-5.9,-29.49,-3.61,0.06,0.35,-0.1,6.11,3.79,0.93,-2.14,-1.27,-0.09,0.48,-0.06,-0.23,-0.17,0.45,0.63,-0.25,-0.4,-0.19,1.21,1.19,0.16,-0.49,-0.83,-0.97,-0.61,-0.39,-0.05,-0.06,-0.02,0.07,0.05,0.17,0.25,0.38,0.48,0.5,0.35,0.6,0.47,0.35,-0.03,-0.03,0,-0.07,-0.32,-0.33,-0.27,-0.19,-0.07,-0.13,-0.09,0.08,-0.02,0.15,0.29,0.37,0.32,0.12
"56","47","      Consumption expenditures","A997RY2",0.04,-0.03,0.02,-0.09,-0.2,0.3,0.06,-0.03,0.07,0.15,0.67,5.01,14.42,12.73,5.53,-1.17,-20.05,-3.29,-0.3,0.01,0.14,4.03,2.58,0.48,-1.42,-0.65,0.02,0.6,-0.21,-0.7,0.09,0.19,0.54,0.09,-0.21,0.03,1,1,0.36,-0.33,-0.73,-0.58,-0.43,-0.47,-0.19,-0.14,-0.1,0.05,0.06,0.06,0.19,0.29,0.36,0.31,0.18,0.36,0.27,0.22,0.07,-0.04,-0.04,-0.01,-0.28,-0.21,-0.21,-0.15,-0.07,-0.05,-0.09,0.05,-0.03,0.13,0.23,0.33,0.26,0.11
"57","48","      Gross investment","A788RY2",0.03,0.04,-0.01,0.04,0.02,-0.02,0.21,0.04,-0.01,0.01,0.5,5.76,14.53,6.73,0.34,-4.73,-9.43,-0.32,0.37,0.34,-0.24,2.08,1.21,0.44,-0.72,-0.61,-0.11,-0.13,0.15,0.47,-0.27,0.26,0.09,-0.34,-0.19,-0.22,0.22,0.19,-0.2,-0.15,-0.1,-0.39,-0.18,0.08,0.14,0.08,0.07,0.02,0,0.11,0.06,0.09,0.12,0.19,0.17,0.25,0.2,0.13,-0.1,0.01,0.03,-0.07,-0.04,-0.12,-0.06,-0.04,0.01,-0.08,0.01,0.02,0.01,0.02,0.06,0.04,0.06,0.01
"58","49","    Nondefense","A825RY2",0.11,0.07,0.05,0.8,1.57,-0.19,2.17,-0.67,0.53,0.32,-0.41,-0.42,-0.56,-0.39,0.16,-0.27,0.43,0.29,0.65,0.55,-0.47,-0.33,0.21,0.4,-0.11,-0.12,-0.15,-0.01,0.05,0.65,-0.18,0.06,0.44,0.26,0.23,0.19,0.03,-0.02,-0.06,0.06,-0.03,0.12,0.18,-0.02,0.13,0.09,0.03,0.12,0.16,0.03,0.14,0.04,-0.13,0.13,-0.05,0.14,0.08,0.01,-0.12,0.17,0.18,0.06,0.17,-0.02,-0.03,-0.01,-0.02,0.06,0.02,0.06,0.07,0.08,0.14,0.08,0.04,0.04
"59","50","      Consumption expenditures","A542RY2",0.06,-0.02,-0.1,0.52,1.22,-0.6,2.36,-0.56,0.52,0.43,-0.4,-0.87,-0.24,-0.34,0.35,-0.35,0.54,0.12,0.57,0.41,-0.54,-0.27,0.22,0.45,-0.07,-0.03,-0.21,-0.05,0,0.65,-0.24,-0.02,0.36,0.17,0.14,0.1,0.01,0.09,0,0.1,-0.01,0.1,0.17,-0.03,0.12,0.08,0,0.1,0.09,0.04,0.11,0.04,-0.1,0.08,-0.08,0.11,0.07,-0.03,-0.09,0.15,0.15,0.02,0.12,-0.03,0.02,-0.03,-0.04,0.06,-0.02,0.04,0.1,0.08,0.12,0.08,0.04,0.02
"60","51","      Gross investment","A798RY2",0.05,0.08,0.15,0.28,0.35,0.41,-0.19,-0.1,0.01,-0.12,0,0.45,-0.32,-0.05,-0.19,0.08,-0.11,0.16,0.07,0.13,0.07,-0.06,-0.01,-0.05,-0.03,-0.09,0.06,0.03,0.05,0,0.06,0.08,0.07,0.09,0.08,0.09,0.02,-0.12,-0.06,-0.04,-0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.02,0.07,-0.01,0.03,0,-0.03,0.05,0.03,0.03,0.01,0.04,-0.03,0.02,0.03,0.03,0.04,0.01,-0.05,0.02,0.03,0,0.04,0.02,-0.03,0,0.02,0,0,0.02
"61","52","  State and local","A829RY2",0.75,0.4,-0.49,-1.28,0.58,0.35,0.06,0,0.5,0.93,-0.31,-0.54,-0.63,-0.49,-0.15,0.13,0.39,0.68,0.37,0.93,0.58,0.06,0.11,0.34,0.6,0.55,0.25,0.47,0.7,0.34,0.39,0.56,0.29,0.57,0.65,0.66,0.63,0.51,0.63,0.37,0.31,0.36,0.26,0.33,0.44,0.45,0.09,0.04,0.38,0.17,-0.01,-0.23,0.01,0.13,0.4,0.67,0.71,0.17,0.42,0.39,0.46,0.24,0.26,0.17,0.3,0.3,0.26,0.41,0.41,0.54,0.31,0.37,0.37,0.08,0.05,0.17
"62","53","    Consumption expenditures","A991RY2",0.32,0.35,0.11,-0.17,0.22,0.5,-1.47,0.46,0.03,0.37,0.34,0.21,0.12,-0.04,-0.07,0.08,0.11,0.29,0.05,0.41,0.32,-0.02,0.07,0.16,0.21,0.34,0.19,0.29,0.44,0.26,0.35,0.35,0.2,0.33,0.45,0.45,0.43,0.33,0.49,0.49,0.49,0.44,0.35,0.32,0.42,0.47,0.14,0.19,0.19,0.06,-0.02,-0.04,0.13,0.11,0.17,0.46,0.58,0.11,0.32,0.27,0.3,0.19,0.23,0.19,0.24,0.21,0.17,0.25,0.35,0.36,0.18,0.24,0.29,0.06,0.04,0.11
"63","54","    Gross investment","A799RY2",0.43,0.05,-0.6,-1.11,0.36,-0.16,1.53,-0.46,0.47,0.56,-0.66,-0.74,-0.75,-0.45,-0.08,0.05,0.28,0.39,0.32,0.52,0.26,0.07,0.05,0.18,0.4,0.21,0.06,0.19,0.26,0.08,0.04,0.21,0.1,0.24,0.2,0.2,0.19,0.18,0.14,-0.13,-0.18,-0.08,-0.09,0.01,0.02,-0.02,-0.05,-0.14,0.19,0.11,0.01,-0.2,-0.13,0.03,0.23,0.2,0.14,0.05,0.11,0.11,0.16,0.05,0.03,-0.02,0.06,0.09,0.09,0.15,0.06,0.18,0.13,0.13,0.08,0.02,0.01,0.06
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
