"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"38","28","    Nonresidential","A008RY2",NA,-0.59,-0.66,1.33,2.62,-1.26,0.21,1,-2.06,-1.55,-1.77,-0.36,1.36,3.32,3.45,-0.07,-1.16,0.47,0.52,-0.54,0.54,0.75,-2.95,3.34,2.06,0.41,0.92,-0.28,-0.97,-0.27,1.09,0.04,0.77,2.31,2,1.22,-0.61,0.73,0.39,0,0.23,-0.08,0.93,-0.99,-2.69,-1.53,-0.41,1.45,1.18,1.14,1.07,-0.11,1.48,0.63,-0.72,-0.07,-0.57,0.92,0.4,1.22,0.79,1.07,0.5,-0.16,0.1,1.24,1.12,1.18,0.88,0.97,1.35,0.92,2.81,1.66,1.68,1.89,1.96,0.75,0.62,0.01,-0.75,-0.1,-0.08,0.92,1.37,-0.57,0.6,1.21,1.17,0.49,1.06,-0.24
"39","29","      Structures","A009RY2",NA,-0.05,0.14,-0.12,0.39,0.48,0.5,0.27,-0.21,-0.26,-0.53,-0.27,0.74,0.73,0.8,0.32,-0.02,0.45,-0.07,-0.47,0.12,0.17,0.15,0.53,0.38,0.26,0.1,0.3,0.23,0.17,0.02,-0.03,0.45,0.33,0.42,0.27,0.34,0.46,0.02,-0.09,-0.16,-0.02,0,-0.08,-0.27,-0.5,-0.33,0.22,-0.06,0.42,0.4,-0.11,0.6,0.17,0.03,0.54,-0.07,-0.24,0.01,-0.07,0.26,0.49,0.37,-0.34,-0.47,0.62,0.1,0.27,0.35,0.46,0.46,0.11,0.74,1.02,0.17,0.72,0.38,-0.3,0.34,-0.53,0.16,-0.42,0.15,0.02,0.29,-0.12,-0.09,0.29,0.23,0.11,0.68,-0.11
"40","30","      Equipment","Y033RY2",NA,-0.51,-0.79,1.51,2.21,-1.69,-0.3,0.74,-1.74,-1.28,-1.26,-0.22,0.5,2.54,2.63,-0.36,-1.05,0.05,0.54,-0.19,0.17,0.37,-3.31,2.55,1.52,-0.01,0.75,-0.63,-1.24,-0.46,1.04,0.01,0.27,1.87,1.44,0.74,-1.16,0.1,0.26,-0.02,0.43,-0.07,0.87,-0.93,-2.45,-1.11,-0.21,1.06,1.1,0.63,0.69,-0.04,0.8,0.39,-0.96,-0.74,-0.66,0.98,0.28,1.23,0.53,0.52,0.07,0.06,0.39,0.43,0.92,0.84,0.55,0.45,0.79,0.68,1.81,0.44,1.31,0.97,1.37,0.88,0.11,0.37,-1.02,0.28,-0.34,0.78,0.96,-0.61,0.58,0.83,0.9,0.25,0.33,-0.21
"41","31","        Information processing equipment","Y034RY2",NA,-0.17,0.12,-0.04,0.17,-0.12,-0.05,0.23,-0.15,-0.25,-0.13,-0.04,0.09,0.34,0.05,0.18,-0.18,0.14,0.16,0.04,0.14,0.3,-0.36,0.26,0.16,0.03,0.12,-0.28,-0.05,-0.14,0.05,0.02,-0.08,0.25,0.4,0.17,-0.18,0.37,-0.15,0.07,0.06,0.29,0.28,-0.35,-0.21,-0.21,0.07,0.11,0.04,0.05,0.07,0.3,0.15,0.21,-0.08,0.24,-0.18,0.36,0.07,0.1,0.25,-0.1,-0.09,0.1,0.23,0.23,0.17,0.04,0.21,0.07,0.01,0.3,0.05,0.26,0.2,0.28,0.33,0.33,0.25,0.22,-0.12,0.06,-0.08,0.29,0.08,-0.08,0.12,-0.05,0.35,0.39,0.33,0.21
"42","32","          Computers and peripheral equipment","B935RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.01,0.03,0.07,0.01,0.04,0.05,0,0.01,0.07,0,0.03,0,0.07,0.11,0.12,0.11,0.08,0.04,0.08,0.02,0.02,0.05,0.05,0.1,0.04,0.17,0.1,0.16,0.16,0.16,0,0.03,-0.01,0.09,0.02,0.05,0.07,-0.01,0.08,0.14,0.09,0.07
"43","33","          Other","A937RY2",NA,-0.17,0.12,-0.04,0.17,-0.12,-0.05,0.23,-0.15,-0.25,-0.13,-0.04,0.09,0.34,0.05,0.18,-0.18,0.14,0.16,0.04,0.14,0.3,-0.36,0.26,0.16,0.03,0.12,-0.28,-0.05,-0.14,0.05,0.02,-0.08,0.25,0.4,0.17,-0.18,0.37,-0.15,0.07,0.06,0.29,0.28,-0.35,-0.21,-0.21,0.07,0.1,0.05,0.05,0.05,0.27,0.08,0.2,-0.13,0.19,-0.19,0.35,0,0.1,0.22,-0.09,-0.16,-0.01,0.1,0.12,0.09,0,0.13,0.05,-0.01,0.25,0,0.17,0.17,0.1,0.24,0.17,0.09,0.06,-0.12,0.03,-0.06,0.2,0.06,-0.13,0.04,-0.04,0.27,0.25,0.24,0.14
"44","34","        Industrial equipment","A680RY2",NA,-0.54,0.06,-0.7,0.6,-0.43,-0.47,0.4,-0.63,-0.97,-0.38,-0.24,0.42,1.01,0.14,0.92,-0.95,0.54,0.68,-0.19,0.09,0.51,-1.05,0.18,0.56,0.3,0.24,0.06,-0.14,-0.01,0.49,-0.4,-0.55,0.37,0.38,0.54,-0.28,0.15,0.59,-0.23,0.02,-0.03,0.07,-0.31,-0.69,-0.44,-0.32,0.22,0.17,-0.15,0.02,0.4,0.15,0.51,-0.44,-0.23,-0.42,0.24,0.04,0.46,0,0.06,-0.26,-0.2,0.33,0.3,0.29,0.18,0.11,0.01,0.34,0.56,0.1,0.31,0.43,0.15,0.26,0.47,0.1,0.07,0.07,-0.17,-0.39,0.16,0.11,-0.21,-0.11,0.14,0.26,0.15,0.22,-0.08
"45","35","        Transportation equipment","A681RY2",NA,0.19,-0.4,1.1,0.37,-0.63,-0.09,-0.4,0.18,0.28,0,0.13,-0.33,0.44,2.06,-0.87,-0.04,-0.49,-0.27,-0.54,0,-0.56,-1.03,1.42,0.56,0.23,0.16,-0.02,-0.65,-0.59,0.17,0.24,0.87,0.73,0.47,-0.35,-0.61,-0.15,-0.4,0.44,0.23,-0.01,0.46,-0.22,-1.45,-0.7,-0.21,0.69,0.81,0.64,0.53,-0.8,0.8,-0.3,0,-0.7,-0.22,0.24,0.24,0.71,0.22,0.27,0.29,0.03,-0.41,-0.3,0.21,0.41,0.17,0.23,0.45,-0.58,1.53,-0.04,0.29,0.29,0.5,-0.02,-0.25,0.02,-0.48,0.27,0.28,0.12,0.95,-0.31,0.41,0.44,0.17,-0.17,-0.19,-0.42
"46","36","        Other equipment","A862RY2",NA,0.02,-0.57,1.16,1.06,-0.5,0.32,0.52,-1.14,-0.34,-0.76,-0.07,0.33,0.75,0.39,-0.59,0.12,-0.14,-0.03,0.51,-0.06,0.13,-0.87,0.68,0.24,-0.58,0.22,-0.4,-0.39,0.27,0.32,0.15,0.03,0.51,0.19,0.37,-0.1,-0.28,0.22,-0.31,0.12,-0.32,0.06,-0.05,-0.1,0.24,0.25,0.04,0.07,0.09,0.07,0.06,-0.31,-0.03,-0.44,-0.05,0.16,0.14,-0.07,-0.05,0.05,0.29,0.12,0.13,0.24,0.2,0.25,0.21,0.05,0.14,0,0.4,0.13,-0.09,0.38,0.24,0.27,0.1,0.01,0.06,-0.49,0.12,-0.16,0.2,-0.18,-0.01,0.17,0.3,0.12,-0.12,-0.03,0.08
"47","37","      Intellectual property products","Y001RY2",NA,-0.04,0,-0.06,0.03,-0.05,0.01,-0.02,-0.11,-0.01,0.03,0.13,0.12,0.06,0.02,-0.03,-0.08,-0.03,0.05,0.11,0.25,0.21,0.21,0.26,0.16,0.17,0.07,0.05,0.04,0.02,0.04,0.06,0.05,0.11,0.15,0.21,0.21,0.18,0.11,0.11,-0.04,0.01,0.06,0.02,0.02,0.07,0.13,0.17,0.15,0.09,-0.02,0.04,0.09,0.07,0.21,0.12,0.16,0.18,0.11,0.06,0.01,0.06,0.06,0.12,0.18,0.2,0.11,0.07,-0.02,0.06,0.11,0.12,0.26,0.19,0.2,0.21,0.21,0.18,0.17,0.16,0.12,0.05,0.11,0.11,0.12,0.17,0.11,0.09,0.05,0.13,0.05,0.07
"48","38","        Software \4\","B985RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.02,0.03,0.03,0.02,0.01,0,0,0,0.01,0.01,0.01,0.02,0.03,0.03,0.05,0.05,0.03,0.01,0,-0.01,-0.01,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.01,-0.01,0.01,0.02,0.02,0.02,0.03,0.04,0.07,0.08,0.07
"49","39","        Research and development \5\","Y006RY2",NA,0.03,0.02,0.04,0.01,-0.02,0,-0.06,-0.13,-0.06,-0.01,0.03,0.13,0.11,0.08,0.01,-0.04,0.01,0.04,0.12,0.21,0.15,0.17,0.2,0.12,0.12,0.08,0.05,0.04,0.02,-0.01,0,-0.05,0.06,0.12,0.2,0.27,0.2,0.09,0.06,-0.06,-0.03,0.03,0.03,0.05,0.05,0.11,0.08,0.04,0.08,0.01,0.08,0.16,0.09,0.04,0.02,0.03,0.08,0.08,0.09,0.07,0.09,0.05,0.06,0.08,0.08,0.07,0.05,0.06,0.08,0.09,0.1,0.14,0.11,0.1,0.12,0.09,0.11,0.12,0.11,0.11,0.08,0.1,0.07,0.1,0.08,0.07,0.08,0.06,0.07,0.06,0.04
"50","40","        Entertainment, literary, and artistic originals","Y020RY2",NA,-0.07,-0.03,-0.1,0.01,-0.03,0,0.04,0.02,0.06,0.04,0.1,-0.01,-0.06,-0.06,-0.04,-0.04,-0.04,0.01,-0.01,0.03,0.06,0.05,0.05,0.03,0.05,0,0,0,0.01,0.05,0.06,0.1,0.05,0.02,0.01,-0.06,-0.02,0.02,0.05,0.02,0.04,0.03,-0.01,-0.03,0.03,0.02,0.09,0.11,0.01,-0.04,-0.06,-0.11,-0.06,0.15,0.08,0.13,0.1,0.02,-0.04,-0.06,-0.04,0,0.04,0.07,0.07,-0.01,-0.02,-0.09,-0.03,0.02,0.03,0.09,0.05,0.05,0.04,0.08,0.02,0,0,-0.01,-0.04,0.02,0.03,0.01,0.06,0.02,-0.01,-0.06,-0.01,-0.09,-0.03
"51","41","    Residential","A011RY2",NA,-0.88,2.67,3.97,-0.31,1.38,-0.75,-1.74,-1.63,-0.33,1.74,2.67,2.88,2.62,1.6,-1.35,-1.4,-3.37,-1.36,0.18,0.51,0.37,-0.21,1.13,0.34,0.07,-0.76,-0.16,0.22,1.32,1.32,1.43,1.76,0.33,-0.55,-1.01,-0.6,-0.15,-0.43,-0.33,-0.29,-0.47,-0.25,-0.02,-0.71,0.07,1.31,1.96,2.27,0.77,-0.42,-0.62,0.67,-1.73,-0.58,-0.02,0.08,0.08,1.02,0.67,0.35,0.61,-0.01,-0.03,0.69,1.42,0.4,0.65,1.3,-1.08,-0.33,-0.35,0.1,0.17,0.1,-0.37,0.46,-1.42,-0.56,-1.69,-0.4,1.6,0.83,0.93,0.06,0.42,0.34,0.24,0.6,-0.17,-0.14,-1.2
"52","42","  Change in private inventories","A014RY2",NA,-3.25,-3.84,5.37,3.95,4.18,1.46,-2.3,-6.26,-5.98,5,-4.82,9.87,1.66,1.37,11.04,-6.32,4.56,-4.73,-5.03,0.66,-5.82,6.42,0.19,-1.05,-0.08,-1.36,-3.8,0.58,-0.98,0.61,1.42,3.87,1.41,-0.39,1.33,-0.9,-1.17,-0.57,-0.21,-0.9,0.49,0.75,-4.16,-0.72,0.23,3.5,1.84,0.36,3.46,-5.06,2.77,4.46,-5.51,1.11,-6.83,2.02,3.18,3.39,-0.67,2.42,-2.14,0.64,-1.71,2.49,-1.6,0.58,-0.99,0.43,-0.06,0.53,0.03,3.46,-1.66,0.72,-0.91,3.29,-0.38,-0.57,2.11,-0.58,-3.95,1.15,-0.43,0,2.77,-2.79,-0.74,2.2,-0.72,0.49,-1.86
"53","43","    Farm","B018RY2",NA,-2.6,-1.32,0.28,3.19,3.85,0.34,-0.99,-2.29,-0.99,0.35,0.73,0.23,-0.69,1.53,0.48,0.07,-0.05,-0.41,0.04,0.08,0.46,0.4,-1.28,0.35,-0.99,0.71,0.72,-0.26,-0.59,0.1,-0.78,0.05,-0.13,0.05,0.13,-0.52,-0.15,0.06,-0.02,0.6,0.21,0.55,-0.2,1.51,-0.21,-0.23,-1.09,-0.75,-0.49,-0.02,0.22,0.68,0.4,0.32,-0.41,0.26,-0.05,0.1,0.04,0.1,-0.39,0.14,0.19,1.18,-1.54,-0.52,0.19,-0.43,-0.07,0.02,0.22,0.4,0.39,0.05,0.01,-0.24,-0.74,0.19,-0.1,0.96,0.49,-1.02,-0.68,1.72,0.8,-1.78,-0.96,1.47,0.05,-0.89,-0.38
"54","44","    Nonfarm","A015RY2",NA,-0.65,-2.52,5.09,0.76,0.33,1.12,-1.31,-3.97,-4.98,4.65,-5.55,9.63,2.34,-0.16,10.56,-6.39,4.62,-4.32,-5.07,0.59,-6.28,6.02,1.47,-1.4,0.91,-2.07,-4.53,0.84,-0.39,0.5,2.2,3.82,1.54,-0.45,1.2,-0.38,-1.01,-0.63,-0.19,-1.5,0.28,0.19,-3.96,-2.22,0.44,3.74,2.94,1.11,3.96,-5.04,2.56,3.79,-5.91,0.79,-6.42,1.76,3.24,3.29,-0.71,2.32,-1.75,0.5,-1.9,1.31,-0.06,1.1,-1.18,0.86,0.01,0.51,-0.19,3.06,-2.05,0.67,-0.93,3.52,0.36,-0.77,2.21,-1.54,-4.44,2.17,0.25,-1.72,1.97,-1.01,0.22,0.73,-0.77,1.38,-1.48
"55","45","Net exports of goods and services","A019RY2",NA,-0.68,-0.16,-4.22,-2.98,-3,-0.32,-0.6,2.84,0.02,-1.31,-2.86,-0.56,-0.49,-2.77,1.25,0.8,2.33,1.96,0.15,-0.76,-2.22,-2.41,-1.28,0.24,-0.7,0.67,0.24,0.13,0.67,0.36,0.48,-0.39,-1.37,0.7,-0.56,0.07,1.25,0.42,1.63,-0.01,-0.8,-0.26,-0.61,-2.05,-0.63,0.28,-0.97,0.52,-0.31,0.34,-0.03,1.65,1.13,0.02,1.21,-0.07,-0.47,-1.14,0.21,-0.54,1.46,-1.34,-0.61,0.83,1.82,-1.48,1.01,1.25,-0.01,-0.58,0.16,-1.59,1.62,-1.27,0.62,-0.8,0.43,-1.76,0.46,0.13,-0.02,-0.72,-0.4,-0.52,0.11,0.02,-0.09,-0.55,0.48,-0.24,0.94
"56","46","  Exports","A020RY2",NA,-0.42,-1.68,-3.52,-1.31,-2.37,0.49,-0.79,2.44,-0.16,-1.87,-2.66,-0.21,0.23,0.44,1.29,0.82,1.78,0.5,-0.17,1.14,-2.19,-1.36,0.2,-0.18,0.15,0.65,-0.53,-0.73,2.11,-0.58,0.7,0.57,-0.43,1.03,0.05,0.8,1.2,0.62,0.88,1.31,-0.62,-0.55,-0.55,-1.83,0.12,0.1,-0.01,1.12,0.61,0.56,-0.47,2.23,1.22,-0.51,0.41,-0.14,-0.27,-0.1,0.6,-0.05,1.81,-1.14,-0.41,0.44,2.19,-1.08,0.95,1.22,0.34,-0.15,0.6,-2.22,3.46,-1.21,1.44,-0.36,0.86,-0.78,0.65,0.39,-0.19,-0.49,0.56,0.58,0.41,1.18,-0.26,-2.43,3.94,-0.51,0.71
"57","47","    Goods","A253RY2",NA,-0.79,-1.6,-3.36,-1.08,-2.22,0.44,-0.78,2.26,-0.27,-1.51,-2.29,-0.42,0.18,0.47,1.12,0.59,1.52,0.41,-0.3,0.96,-2.03,-1.03,0.25,-0.43,0.24,0.63,-0.48,-0.74,2.13,-0.74,0.7,0.5,-0.46,0.84,0.02,0.74,1.02,0.58,0.72,1.14,-0.57,-0.57,-1.02,-1.1,-0.13,0.11,-0.15,-0.72,0.35,1.2,-0.61,2.06,0.71,0.27,0.03,0.1,-1.07,0.75,0.26,-0.18,0.92,0.03,-0.76,0.05,1.42,0.27,0.7,0.7,-0.01,0.43,0.33,-2.32,2.57,-0.47,1.28,-0.15,-0.24,0.06,0.33,-0.06,-0.04,-0.26,0.28,0.5,0.24,1.03,-0.36,-2.02,3.39,-0.41,0.54
"58","48","    Services","A646RY2",NA,0.37,-0.08,-0.16,-0.24,-0.15,0.05,-0.01,0.19,0.1,-0.36,-0.37,0.21,0.05,-0.03,0.17,0.24,0.26,0.09,0.13,0.18,-0.16,-0.32,-0.05,0.25,-0.09,0.02,-0.05,0.01,-0.02,0.16,0.01,0.07,0.03,0.2,0.03,0.06,0.18,0.05,0.16,0.17,-0.05,0.01,0.47,-0.73,0.24,-0.01,0.14,1.83,0.26,-0.63,0.14,0.16,0.51,-0.78,0.39,-0.24,0.79,-0.85,0.33,0.13,0.89,-1.16,0.35,0.38,0.77,-1.34,0.25,0.52,0.35,-0.58,0.27,0.1,0.89,-0.74,0.16,-0.21,1.11,-0.84,0.32,0.45,-0.14,-0.23,0.28,0.08,0.17,0.15,0.1,-0.4,0.55,-0.1,0.17
"59","49","  Imports","A021RY2",NA,-0.26,1.52,-0.7,-1.67,-0.63,-0.81,0.2,0.4,0.18,0.55,-0.19,-0.36,-0.72,-3.21,-0.04,-0.02,0.55,1.46,0.32,-1.9,-0.03,-1.05,-1.48,0.42,-0.85,0.03,0.77,0.86,-1.44,0.94,-0.22,-0.95,-0.94,-0.33,-0.61,-0.73,0.05,-0.2,0.75,-1.32,-0.18,0.3,-0.06,-0.22,-0.74,0.18,-0.96,-0.59,-0.92,-0.22,0.44,-0.58,-0.09,0.53,0.8,0.07,-0.19,-1.04,-0.39,-0.49,-0.36,-0.21,-0.2,0.39,-0.37,-0.41,0.06,0.03,-0.35,-0.43,-0.44,0.63,-1.85,-0.06,-0.82,-0.44,-0.43,-0.99,-0.19,-0.26,0.17,-0.23,-0.95,-1.1,-0.3,-1.16,0.17,1.88,-3.46,0.27,0.23
"60","50","    Goods","A255RY2",NA,-0.22,1.42,-0.14,-1.56,-0.46,-0.29,-0.04,0.2,0.26,0.23,-0.35,-0.24,-0.62,-3.05,0.26,0.28,0.61,1.9,0.81,-1.56,-0.23,-0.47,-0.77,0.25,-0.64,0.31,0.91,0.32,-1.11,0.88,0,-1.12,-0.18,-0.1,-1.1,-0.51,0.34,0.07,-0.16,-0.31,-0.19,0.16,-0.53,0.5,-0.26,-0.2,-0.95,-0.82,-0.86,-0.19,0.43,-0.18,-0.11,0.65,0.53,0.1,-0.18,-1.08,-0.27,-0.39,-0.34,-0.2,0.02,0.15,-0.37,-0.28,0.03,0.1,-0.37,-0.41,-0.38,0.55,-1.69,-0.11,-0.59,-0.32,-0.19,-0.8,-0.14,-0.02,0.39,-0.09,-1.15,-1.07,-0.35,-0.97,0.24,1.87,-3.28,0.32,0.38
"61","51","    Services","A656RY2",NA,-0.04,0.1,-0.56,-0.1,-0.17,-0.52,0.23,0.2,-0.08,0.32,0.16,-0.11,-0.1,-0.16,-0.3,-0.3,-0.06,-0.44,-0.49,-0.33,0.19,-0.58,-0.71,0.17,-0.21,-0.28,-0.14,0.54,-0.33,0.06,-0.22,0.17,-0.77,-0.24,0.49,-0.22,-0.29,-0.27,0.91,-1.02,0.01,0.13,0.47,-0.72,-0.49,0.39,-0.02,0.22,-0.06,-0.03,0.01,-0.4,0.02,-0.12,0.27,-0.03,-0.01,0.04,-0.12,-0.1,-0.01,-0.01,-0.22,0.24,-0.01,-0.12,0.03,-0.07,0.02,-0.02,-0.06,0.07,-0.16,0.04,-0.23,-0.12,-0.24,-0.19,-0.05,-0.25,-0.23,-0.14,0.2,-0.04,0.05,-0.19,-0.08,0.01,-0.18,-0.04,-0.16
"62","52","Government consumption expenditures and gross investment","A822RY2",NA,0.65,0.65,-0.24,1.23,2.24,1.3,2.24,1.58,2.94,0.66,-1.44,-0.66,1.53,-0.71,4.79,7.34,10.01,9.23,4.83,3.02,3.29,1,1.81,3.2,2.13,-0.99,-0.17,-2.45,-3.28,-1.94,-0.44,0.34,-0.64,0.77,-1.62,0.13,1.88,-0.66,2.27,1.93,-0.43,0.85,1.63,-0.57,2.41,0.63,1.91,-1.27,1.08,0.69,-0.77,-1.42,0.93,2.14,0.61,1.35,0.24,1.94,2.03,1.8,0.44,2.13,0.66,-1.23,0.11,4.1,-0.95,0.31,0.82,0.13,-0.02,-0.02,1.1,2.97,1.76,1.75,1.67,2.47,1.61,3.93,-0.38,1.09,0.78,1.8,0.56,0.32,0.1,0.28,-0.3,0.21,-1.25
"63","53","  Federal","A823RY2",NA,0.34,0.12,-0.62,1.23,1.57,0.88,1.66,0.59,1.48,-0.5,-2.01,-1.46,1.26,-0.75,4.78,7.61,9.55,9.09,4.86,2.91,2.71,1.72,1.15,2.62,2.16,-1.7,-0.85,-3.47,-3.41,-2.79,-0.6,-0.95,-1.05,0.79,-1.82,-0.21,1.47,-0.82,1.93,1.15,-0.71,0.38,0.81,-1.54,1.89,-0.16,1.25,-1.4,0.97,0.66,-0.59,-2.02,0.09,1.61,0.21,0.17,0.48,1.62,1.02,2.07,0.19,1.68,0.28,-1.92,-0.23,3.1,-1.46,-0.26,-0.04,-0.29,-0.43,-0.38,0.12,1.87,1.17,1.27,1.38,2.01,0.6,3.44,-0.6,0.93,0.06,1.03,-0.26,-0.28,-0.25,-0.12,-0.66,0.1,-1.17
"64","54","    National defense","A824RY2",NA,-1.89,1.35,0.89,-0.25,-0.71,-0.24,1.08,0.69,0.51,-0.06,-1.9,-0.92,0.34,1.85,4.32,8.23,8.87,9.18,4.68,2.05,3.15,1.34,1.1,1.84,0.52,-0.64,-1.02,-3.77,-2.34,-2.52,-1.71,0.03,-1.62,0.6,-1.42,-0.09,1.27,-0.09,1.52,0.48,0.42,0.5,-0.55,-0.33,0.59,0.03,0.38,-1.69,-0.66,0.68,-0.44,-0.7,-0.37,1.35,-0.49,1.19,-0.19,1.38,0.84,1.67,-0.48,0.78,0.04,-1.66,-0.26,1.76,-1.21,-0.65,-0.52,-0.08,-0.57,-0.64,-0.15,1.16,1.09,1.37,0.82,2.35,1.06,2.38,0.07,1.01,-0.4,1,-0.02,-0.72,-0.36,-0.31,-0.77,0.01,-0.76
"65","55","      Consumption expenditures","A997RY2",NA,-1.77,0.34,0.64,-0.93,-1,-0.09,0.64,0.05,-0.1,-0.18,-1.37,0.24,0.36,1.24,3.86,5.77,5.85,5.85,1.51,2.24,2.75,0.79,0.76,0.41,-0.41,-0.25,0.43,-3.9,-1.62,-0.8,-1.38,0.41,-1.75,1.15,-1.05,-0.21,1.04,-0.69,0.89,0.55,0.83,0.02,-0.39,-0.37,0.25,-0.17,-0.25,-2.9,-0.71,0.39,0.05,-0.54,0.21,0.7,-0.29,-0.07,0.01,0.85,0.75,1.28,-0.12,0.54,0.47,-0.87,-0.06,1.15,-0.31,-0.69,-0.24,0.07,-0.44,-0.21,0.3,0.92,1.31,0.54,1.24,1.35,0.68,1.84,0.47,0.33,0.03,1.45,0.16,-0.59,0.01,-1,0.32,-0.32,0.07
"66","56","      Gross investment","A788RY2",NA,-0.12,1.01,0.25,0.68,0.29,-0.15,0.44,0.64,0.6,0.12,-0.54,-1.15,-0.02,0.61,0.46,2.46,3.03,3.32,3.17,-0.19,0.4,0.55,0.34,1.43,0.92,-0.39,-1.45,0.13,-0.72,-1.72,-0.33,-0.38,0.12,-0.55,-0.36,0.12,0.22,0.6,0.63,-0.06,-0.41,0.48,-0.16,0.04,0.34,0.2,0.63,1.21,0.05,0.29,-0.49,-0.16,-0.57,0.66,-0.2,1.26,-0.2,0.53,0.09,0.39,-0.36,0.24,-0.43,-0.79,-0.2,0.61,-0.9,0.04,-0.29,-0.15,-0.13,-0.43,-0.45,0.25,-0.22,0.83,-0.42,1,0.38,0.53,-0.4,0.68,-0.44,-0.45,-0.18,-0.13,-0.37,0.69,-1.09,0.33,-0.83
"67","57","    Nondefense","A825RY2",NA,2.22,-1.23,-1.51,1.48,2.28,1.12,0.58,-0.1,0.98,-0.43,-0.1,-0.55,0.92,-2.6,0.45,-0.63,0.68,-0.09,0.18,0.86,-0.44,0.38,0.05,0.78,1.64,-1.06,0.18,0.3,-1.07,-0.26,1.1,-0.98,0.58,0.19,-0.41,-0.13,0.2,-0.74,0.41,0.66,-1.13,-0.12,1.36,-1.21,1.3,-0.19,0.87,0.29,1.63,-0.03,-0.15,-1.32,0.46,0.26,0.7,-1.03,0.68,0.24,0.18,0.4,0.67,0.9,0.24,-0.26,0.03,1.34,-0.25,0.39,0.49,-0.21,0.14,0.27,0.27,0.71,0.08,-0.1,0.55,-0.34,-0.46,1.06,-0.67,-0.08,0.46,0.03,-0.24,0.44,0.11,0.19,0.12,0.1,-0.41
"68","58","      Consumption expenditures","A542RY2",NA,1.91,-1.24,-1.68,1.02,2.27,0.94,0.58,-0.21,0.85,-1.11,-0.19,-0.39,0.45,-2.44,0.87,-0.77,0.59,0.1,0.07,0.7,-0.27,0.46,0.11,0.88,1.73,-1.08,0.15,0.44,-1.04,-0.21,1.21,-0.9,0.48,0.4,-0.47,-0.28,-0.02,-0.93,0.43,0.61,-1.29,-0.22,1.36,-1.5,1.22,-0.14,0.83,0.29,1.59,0.02,-0.27,-1.46,0.13,0.15,0.52,-1.16,0.72,0.17,-0.03,0.26,0.43,0.69,-0.14,-0.53,-0.27,1.02,-0.46,0.14,0.3,-0.32,-0.1,0.16,0.03,0.54,-0.18,-0.38,0.45,-0.28,-0.34,1.29,-0.43,-0.16,0.35,0,-0.28,0.48,0.09,0.26,0.14,0.22,-0.34
"69","59","      Gross investment","A798RY2",NA,0.32,0.01,0.18,0.46,0.01,0.18,0,0.11,0.12,0.68,0.09,-0.16,0.47,-0.16,-0.41,0.14,0.09,-0.19,0.12,0.16,-0.17,-0.08,-0.06,-0.1,-0.09,0.02,0.02,-0.14,-0.03,-0.05,-0.11,-0.08,0.09,-0.21,0.07,0.16,0.22,0.2,-0.02,0.05,0.16,0.09,0,0.28,0.08,-0.05,0.03,0,0.04,-0.05,0.12,0.14,0.33,0.11,0.18,0.13,-0.04,0.07,0.21,0.14,0.24,0.21,0.38,0.27,0.31,0.32,0.21,0.25,0.19,0.11,0.24,0.11,0.24,0.17,0.26,0.28,0.11,-0.06,-0.12,-0.22,-0.24,0.08,0.11,0.02,0.04,-0.04,0.02,-0.07,-0.03,-0.12,-0.07
"70","60","  State and local","A829RY2",NA,0.31,0.52,0.38,0,0.67,0.42,0.57,0.99,1.45,1.16,0.57,0.8,0.27,0.04,0.02,-0.27,0.46,0.14,-0.03,0.1,0.58,-0.72,0.65,0.58,-0.03,0.71,0.67,1.01,0.12,0.84,0.16,1.29,0.41,-0.02,0.2,0.34,0.41,0.17,0.34,0.79,0.28,0.47,0.82,0.97,0.52,0.79,0.66,0.13,0.11,0.04,-0.17,0.59,0.84,0.52,0.4,1.18,-0.25,0.32,1.01,-0.27,0.25,0.45,0.38,0.69,0.33,1,0.51,0.58,0.85,0.41,0.41,0.36,0.98,1.1,0.59,0.48,0.3,0.46,1,0.49,0.23,0.16,0.72,0.77,0.82,0.6,0.35,0.4,0.36,0.11,-0.08
